"","Table 5#1# Saving and Investment                                ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84"
"36","18","    Federal","A918RC1","216.0","202.0","193.0","181.0","187.0","227.0","269.0","315.0","352.0","384.0","407.0","460.0","824.0","2,126.0","4,752.0","7,464.0","8,671.0","9,252.0","8,767.0","7,521.0","6,551.0","5,786.0","6,067.0","6,808.0","7,601.0","8,237.0","8,648.0","9,218.0","9,741.0","9,854.0","10,214.0","10,576.0","10,872.0","11,467.0","12,089.0","12,322.0","12,617.0","13,095.0","13,854.0","14,679.0","15,386.0","16,054.0","16,456.0","16,610.0","17,029.0","18,180.0","19,714.0","21,376.0","23,049.0","24,976.0","26,953.0","29,998.0","33,799.0","37,576.0","40,684.0","44,549.0","48,033.0","51,563.0","55,175.0","59,094.0","63,310.0","67,747.0","72,047.0","74,595.0","77,835.0","80,087.0","81,702.0","81,934.0","82,528.0","82,827.0","85,044.0","87,773.0","88,596.0","89,152.0","90,839.0","94,818.0","100,436.0","106,561.0","112,587.0","119,763.0","125,638.0"
"37","19","    State and local","A919RC1","742.0","748.0","716.0","636.0","720.0","850.0","830.0","916.0","970.0","1,006.0","1,032.0","1,073.0","1,206.0","1,409.0","1,486.0","1,424.0","1,396.0","1,530.0","1,824.0","2,090.0","2,130.0","2,129.0","2,563.0","2,737.0","2,831.0","2,889.0","3,081.0","3,545.0","3,854.0","4,013.0","4,239.0","4,425.0","4,679.0","5,012.0","5,365.0","5,747.0","6,242.0","6,878.0","7,522.0","8,317.0","9,315.0","10,557.0","11,789.0","12,828.0","14,294.0","17,671.0","20,216.0","21,250.0","22,579.0","24,476.0","27,486.0","31,797.0","36,294.0","39,528.0","40,902.0","42,332.0","44,636.0","47,849.0","51,434.0","54,806.0","58,538.0","63,039.0","66,880.0","69,856.0","73,797.0","78,127.0","83,139.0","87,231.0","91,567.0","96,153.0","102,109.0","109,723.0","116,032.0","121,794.0","127,280.0","137,073.0","150,129.0","162,728.0","177,858.0","191,158.0","199,600.0"
"38","20","    Gross domestic investment, capital account transactions, and net lending, NIPAs","A928RC1","20,085.0","14,617.0","9,115.0","3,584.0","3,818.0","6,781.0","9,423.0","12,678.0","16,157.0","12,433.0","14,861.0","19,556.0","30,194.0","38,928.0","43,089.0","42,477.0","33,630.0","39,552.0","48,842.0","57,533.0","47,437.0","62,013.0","78,656.0","76,918.0","79,100.0","76,494.0","90,376.0","97,608.0","99,541.0","91,760.0","106,562.0","110,330.0","113,703.0","125,220.0","132,344.0","144,150.0","159,953.0","174,901.0","175,059.0","186,350.0","201,317.0","199,680.0","220,238.0","246,208.0","300,196.0","311,645.0","313,159.0","365,449.0","417,930.0","502,393.0","580,183.0","588,016.0","682,635.0","626,240.0","652,090.0","784,891.0","780,669.0","777,060.0","815,125.0","891,984.0","980,252.0","1,001,799.0","1,031,049.0","1,042,287.0","1,094,214.0","1,203,477.0","1,271,558.0","1,370,273.0","1,511,691.0","1,569,094.0","1,636,962.0","1,666,170.0","1,592,317.0","1,538,852.0","1,569,361.0","1,716,322.0","1,823,705.0","1,953,828.0","2,025,376.0","1,925,150.0","1,712,513.0"
"39","21","Gross domestic investment","W170RC1","19,313.0","13,927.0","8,918.0","3,415.0","3,668.0","6,352.0","9,477.0","12,771.0","15,945.0","11,270.0","13,833.0","18,015.0","28,910.0","38,982.0","45,200.0","44,446.0","34,956.0","34,639.0","39,557.0","55,120.0","46,562.0","63,862.0","77,785.0","76,334.0","80,428.0","76,331.0","90,012.0","94,935.0","94,835.0","90,970.0","107,835.0","107,158.0","109,489.0","121,422.0","127,396.0","136,683.0","153,796.0","171,092.0","171,576.0","184,816.0","199,712.0","195,955.0","219,927.0","250,249.0","291,335.0","305,675.0","293,320.0","358,355.0","428,843.0","515,020.0","581,350.0","579,505.0","679,266.0","629,546.0","687,151.0","874,975.0","894,983.0","919,745.0","969,231.0","1,007,720.0","1,072,617.0","1,076,717.0","1,023,191.0","1,087,891.0","1,172,775.0","1,318,204.0","1,376,642.0","1,484,417.0","1,641,020.0","1,773,637.0","1,928,868.0","2,076,536.0","1,983,963.0","1,990,428.0","2,085,481.0","2,340,920.0","2,564,243.0","2,752,229.0","2,750,029.0","2,632,384.0","2,142,615.0"
"40","22","  Gross private domestic investment","A006RC1","16,481.0","10,759.0","5,932.0","1,268.0","1,742.0","3,691.0","6,701.0","8,640.0","12,153.0","7,078.0","9,342.0","13,642.0","18,115.0","10,436.0","6,125.0","7,798.0","10,841.0","31,148.0","34,960.0","48,102.0","36,866.0","54,063.0","60,161.0","54,024.0","56,437.0","53,819.0","69,036.0","72,026.0","70,458.0","64,487.0","78,533.0","78,891.0","78,160.0","88,132.0","93,756.0","102,057.0","118,241.0","131,305.0","128,599.0","141,179.0","156,444.0","152,378.0","178,168.0","207,608.0","244,489.0","249,418.0","230,219.0","291,960.0","361,340.0","437,953.0","492,875.0","479,252.0","572,381.0","517,232.0","564,300.0","735,623.0","736,181.0","746,519.0","784,951.0","821,571.0","874,948.0","860,968.0","802,891.0","864,786.0","953,345.0","1,097,288.0","1,144,044.0","1,240,191.0","1,388,657.0","1,510,784.0","1,641,508.0","1,772,210.0","1,661,928.0","1,646,957.0","1,729,694.0","1,968,550.0","2,172,228.0","2,327,174.0","2,288,473.0","2,136,053.0","1,628,823.0"
"41","23","  Gross government investment","A782RC1","2,832.0","3,168.0","2,986.0","2,147.0","1,926.0","2,661.0","2,776.0","4,131.0","3,792.0","4,192.0","4,491.0","4,373.0","10,795.0","28,546.0","39,075.0","36,648.0","24,115.0","3,491.0","4,597.0","7,018.0","9,696.0","9,799.0","17,624.0","22,310.0","23,991.0","22,512.0","20,976.0","22,909.0","24,377.0","26,483.0","29,302.0","28,267.0","31,329.0","33,290.0","33,640.0","34,626.0","35,555.0","39,787.0","42,977.0","43,637.0","43,268.0","43,577.0","41,759.0","42,641.0","46,846.0","56,257.0","63,101.0","66,395.0","67,503.0","77,067.0","88,475.0","100,253.0","106,885.0","112,314.0","122,851.0","139,352.0","158,802.0","173,226.0","184,280.0","186,149.0","197,669.0","215,749.0","220,300.0","223,105.0","219,430.0","220,916.0","232,598.0","244,226.0","252,363.0","262,853.0","287,360.0","304,326.0","322,035.0","343,471.0","355,787.0","372,370.0","392,015.0","425,055.0","461,556.0","496,331.0","513,792.0"
"42","24","Capital account transactions (net) \1\","W167RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","-86.0","-108.0","-137.0","-172.0","-190.0","-227.0","-359.0","-195.0","6,731.0","4,649.0","-806.0","1,460.0","1,881.0","1,125.0","936.0","1,247.0","989.0","5,230.0","1,351.0","-11,664.0","1,829.0","3,782.0","-1,067.0","-11,082.0","4,183.0","2,171.0","-423.0","2,973.0"
"43","25","Net lending or net borrowing (-), NIPAs \2\","W162RC1","772.0","690.0","197.0","169.0","150.0","429.0","-54.0","-93.0","212.0","1,163.0","1,028.0","1,541.0","1,284.0","-54.0","-2,111.0","-1,969.0","-1,326.0","4,913.0","9,285.0","2,413.0","875.0","-1,849.0","871.0","584.0","-1,328.0","163.0","364.0","2,673.0","4,706.0","790.0","-1,273.0","3,172.0","4,214.0","3,798.0","4,948.0","7,467.0","6,157.0","3,809.0","3,483.0","1,534.0","1,605.0","3,725.0","311.0","-4,041.0","8,861.0","5,970.0","19,839.0","7,094.0","-10,913.0","-12,627.0","-1,167.0","8,511.0","3,369.0","-3,220.0","-34,953.0","-89,947.0","-114,142.0","-142,495.0","-153,879.0","-115,377.0","-92,170.0","-81,649.0","3,209.0","-44,798.0","-80,021.0","-116,608.0","-106,209.0","-115,080.0","-130,576.0","-205,532.0","-297,136.0","-411,717.0","-379,982.0","-453,405.0","-519,902.0","-623,531.0","-729,456.0","-802,584.0","-726,824.0","-706,811.0","-433,075.0"
"44","26","    Statistical discrepancy","A030RC1","765.0","-414.0","771.0","301.0","544.0","399.0","-211.0","1,200.0","-30.0","685.0","1,300.0","1,089.0","339.0","-875.0","-1,797.0","2,579.0","3,869.0","1,169.0","2,268.0","-493.0","1,820.0","1,374.0","3,576.0","2,747.0","3,966.0","3,114.0","2,380.0","-1,767.0","-74.0","956.0","479.0","-952.0","-589.0","318.0","-824.0","774.0","1,499.0","6,173.0","4,506.0","4,315.0","2,871.0","6,877.0","11,014.0","8,946.0","8,019.0","9,814.0","16,306.0","23,470.0","21,213.0","26,055.0","46,973.0","45,292.0","36,581.0","4,750.0","49,695.0","31,539.0","42,301.0","67,744.0","32,873.0","-9,533.0","56,105.0","84,200.0","79,737.0","109,992.0","135,795.0","108,809.0","52,522.0","25,920.0","-13,974.0","-85,321.0","-71,067.0","-133,986.0","-103,354.0","-22,072.0","16,611.0","-7,849.0","-79,660.0","-220,572.0","-14,828.0","101,036.0","217,273.0"
"45",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","27","  Gross private saving","A126RC1","15,806.0","12,497.0","8,547.0","3,142.0","2,891.0","6,263.0","9,285.0","11,163.0","12,619.0","9,721.0","12,177.0","15,293.0","23,687.0","43,465.0","51,269.0","56,298.0","46,997.0","31,076.0","29,238.0","43,531.0","41,075.0","45,847.0","54,208.0","57,915.0","59,417.0","60,710.0","67,078.0","74,702.0","78,578.0","79,501.0","84,588.0","84,860.0","91,907.0","100,764.0","104,723.0","118,017.0","129,822.0","138,744.0","151,501.0","153,987.0","157,209.0","174,572.0","203,205.0","217,095.0","256,971.0","271,138.0","325,096.0","345,642.0","384,083.0","437,113.0","479,731.0","528,762.0","625,162.0","681,854.0","692,164.0","813,999.0","801,960.0","783,787.0","813,012.0","908,800.0","916,105.0","957,071.0","1,036,628.0","1,091,723.0","1,087,956.0","1,148,617.0","1,251,188.0","1,300,451.0","1,375,408.0","1,394,941.0","1,380,259.0","1,376,181.0","1,466,461.0","1,656,833.0","1,749,844.0","1,880,108.0","1,909,883.0","2,057,857.0","1,964,565.0","2,195,929.0","2,420,678.0"
"47","28","  Gross government saving","A927RC1","3,514.0","2,534.0","-202.0","141.0","383.0","119.0","348.0","315.0","3,568.0","2,027.0","1,384.0","3,175.0","6,168.0","-3,662.0","-6,383.0","-16,400.0","-17,232.0","7,305.0","17,336.0","14,494.0","4,541.0","14,792.0","20,872.0","16,255.0","15,718.0","12,670.0","20,917.0","24,673.0","21,038.0","11,302.0","21,494.0","26,422.0","22,385.0","24,138.0","28,445.0","25,360.0","28,632.0","29,984.0","19,052.0","28,049.0","41,236.0","18,231.0","6,019.0","20,167.0","35,206.0","30,693.0","-28,243.0","-3,663.0","12,634.0","39,225.0","53,478.0","13,962.0","20,891.0","-60,364.0","-89,768.0","-60,646.0","-63,593.0","-74,470.0","-30,758.0","-7,282.0","8,042.0","-39,470.0","-85,315.0","-159,428.0","-129,537.0","-53,949.0","-32,152.0","43,902.0","150,257.0","259,469.0","327,771.0","423,968.0","229,209.0","-95,909.0","-197,094.0","-155,937.0","-6,517.0","116,544.0","75,640.0","-371,815.0","-920,385.0"
"48","29","    Federal","A926RC1","1,264.0","448.0","-1,885.0","-1,155.0","-706.0","-1,944.0","-1,629.0","-2,889.0","579.0","-944.0","-1,669.0","148.0","3,048.0","-6,582.0","-9,334.0","-19,399.0","-20,222.0","4,289.0","14,083.0","11,174.0","953.0","11,351.0","15,739.0","10,530.0","9,392.0","6,551.0","14,329.0","16,728.0","12,992.0","4,410.0","13,476.0","17,699.0","13,422.0","13,887.0","17,378.0","13,227.0","15,861.0","15,348.0","4,541.0","12,240.0","23,942.0","566.0","-12,238.0","-8,288.0","5,200.0","3,691.0","-50,928.0","-32,290.0","-23,081.0","-3,926.0","12,993.0","-26,618.0","-22,958.0","-97,695.0","-135,556.0","-126,916.0","-130,580.0","-143,043.0","-94,169.0","-79,326.0","-70,630.0","-108,695.0","-146,387.0","-227,890.0","-202,392.0","-140,304.0","-124,468.0","-66,315.0","22,390.0","116,410.0","183,850.0","272,980.0","129,095.0","-163,622.0","-285,543.0","-284,649.0","-182,574.0","-97,223.0","-123,894.0","-522,793.0","-1,100,828.0"
"49","30","    State and local","A925RC1","2,250.0","2,086.0","1,683.0","1,296.0","1,089.0","2,063.0","1,977.0","3,204.0","2,989.0","2,971.0","3,053.0","3,027.0","3,120.0","2,920.0","2,951.0","2,999.0","2,990.0","3,016.0","3,253.0","3,320.0","3,588.0","3,441.0","5,133.0","5,725.0","6,326.0","6,119.0","6,588.0","7,945.0","8,046.0","6,892.0","8,018.0","8,723.0","8,963.0","10,251.0","11,067.0","12,133.0","12,771.0","14,636.0","14,511.0","15,809.0","17,294.0","17,665.0","18,257.0","28,455.0","30,006.0","27,002.0","22,685.0","28,627.0","35,715.0","43,151.0","40,485.0","40,580.0","43,849.0","37,331.0","45,788.0","66,270.0","66,987.0","68,573.0","63,411.0","72,044.0","78,672.0","69,225.0","61,072.0","68,462.0","72,855.0","86,355.0","92,316.0","110,217.0","127,867.0","143,059.0","143,921.0","150,988.0","100,114.0","67,713.0","88,449.0","128,712.0","176,057.0","213,767.0","199,534.0","150,978.0","180,443.0"
"50","31","  Net domestic investment","W171RC1","9,646.0","4,476.0","123.0","-4,271.0","-3,737.0","-1,422.0","1,665.0","4,685.0","6,969.0","2,037.0","4,573.0","8,335.0","17,860.0","25,301.0","28,701.0","24,902.0","13,847.0","11,543.0","12,908.0","26,655.0","17,382.0","33,920.0","43,993.0","40,049.0","41,791.0","35,735.0","47,226.0","47,831.0","43,991.0","37,715.0","52,422.0","50,574.0","51,307.0","60,864.0","64,064.0","70,317.0","83,077.0","94,638.0","88,641.0","94,398.0","100,521.0","87,642.0","102,154.0","123,098.0","150,553.0","141,989.0","102,941.0","150,185.0","197,067.0","253,606.0","282,449.0","235,420.0","285,924.0","196,004.0","236,046.0","400,628.0","389,540.0","381,270.0","398,137.0","396,706.0","421,165.0","385,515.0","298,831.0","343,540.0","394,760.0","499,037.0","507,182.0","571,900.0","677,215.0","753,090.0","834,478.0","892,212.0","727,742.0","685,449.0","731,429.0","908,155.0","1,022,868.0","1,091,552.0","990,011.0","785,298.0","278,623.0"
"51","32","  Gross saving as a percentage of gross national income","W206RC1","18.6","16.3","10.9","5.6","5.8","9.7","13.0","13.9","17.5","13.7","14.9","18.4","23.5","24.4","22.4","18.3","13.6","17.3","19.2","21.4","17.1","20.6","22.2","20.7","19.9","19.3","21.2","22.5","21.5","19.4","20.8","21.0","20.8","21.2","21.4","21.5","21.9","21.5","20.5","20.0","20.1","18.6","18.6","19.2","21.1","20.1","18.2","18.8","19.6","20.8","20.9","19.5","20.7","18.9","17.1","19.1","17.6","16.1","16.6","17.6","17.0","16.0","16.0","14.9","14.6","15.6","16.5","17.1","18.2","18.6","18.1","17.8","16.2","14.6","13.9","14.4","14.9","15.9","14.4","12.6","10.6"
"52","33","  Net saving as a percentage of gross national income","W207RC1","9.3","6.0","-0.6","-7.5","-7.4","-2.1","2.5","4.1","7.8","2.9","4.7","8.7","14.8","16.0","14.1","9.4","3.9","6.9","8.2","10.9","6.2","10.4","12.2","10.6","9.7","8.6","10.9","11.8","10.5","8.0","10.0","10.3","10.2","10.9","11.2","11.5","12.1","11.7","10.5","10.1","10.0","8.1","8.1","8.9","10.9","9.2","6.5","7.4","8.1","9.4","9.2","7.2","8.1","5.7","4.3","7.1","5.5","3.9","4.5","5.7","5.0","3.9","3.8","3.0","2.7","3.9","4.7","5.5","6.7","7.1","6.5","6.1","4.2","2.4","1.8","2.4","2.8","3.8","2.0","-0.2","-2.6"
"53","34","  Disaster losses \3\","W771RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","118.0","1,587.0","629.0","181.0","0.0","159.0","333.0","0.0","1,102.0","546.0","0.0","871.0","1,086.0","0.0","1,706.0","0.0","0.0","0.0","8,958.0","0.0","1,519.0","17,942.0","4,139.0","20,415.0","2,425.0","0.0","0.0","0.0","3,500.0","0.0","19,201.0","0.0","0.0","29,449.0","110,415.0","0.0","0.0","17,394.0","0.0"
"54","35","    Private","W772RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","118.0","1,587.0","629.0","181.0","0.0","159.0","333.0","0.0","1,102.0","546.0","0.0","871.0","1,086.0","0.0","1,706.0","0.0","0.0","0.0","7,937.0","0.0","1,519.0","17,942.0","4,139.0","18,366.0","2,425.0","0.0","0.0","0.0","3,500.0","0.0","17,461.0","0.0","0.0","29,449.0","99,173.0","0.0","0.0","17,394.0","0.0"
"55","36","      Domestic business","W773RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","68.0","954.0","473.0","67.0","0.0","99.0","259.0","0.0","816.0","445.0","0.0","562.0","632.0","0.0","494.0","0.0","0.0","0.0","4,679.0","0.0","343.0","8,152.0","2,517.0","13,588.0","1,206.0","0.0","0.0","0.0","2,231.0","0.0","15,472.0","0.0","0.0","17,409.0","48,804.0","0.0","0.0","9,944.0","0.0"
"56","37","      Households and institutions","W774RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","50.0","633.0","156.0","114.0","0.0","60.0","74.0","0.0","286.0","101.0","0.0","309.0","454.0","0.0","1,212.0","0.0","0.0","0.0","3,258.0","0.0","1,176.0","9,790.0","1,622.0","4,778.0","1,219.0","0.0","0.0","0.0","1,269.0","0.0","1,989.0","0.0","0.0","12,040.0","50,369.0","0.0","0.0","7,450.0","0.0"
"57","38","    Government","W775RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,021.0","0.0","0.0","0.0","0.0","2,049.0","0.0","0.0","0.0","0.0","0.0","0.0","1,740.0","0.0","0.0","0.0","11,242.0","0.0","0.0","0.0","0.0"
"58","39","      Federal","W776RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","493.0","0.0","0.0","0.0","0.0"
"59","40","      State and local","W777RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,021.0","0.0","0.0","0.0","0.0","2,049.0","0.0","0.0","0.0","0.0","0.0","0.0","1,740.0","0.0","0.0","0.0","10,749.0","0.0","0.0","0.0","0.0"
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","1. Consists of capital transfers and the acquisition and disposal of nonproduced",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","nonfinancial assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","2. Prior to 1982, equals the balance on current account, NIPAs as shown in table 4.1;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","estimates of capital account transactions (line 24) are not available.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Consists of damages to fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
