"","Table 6#16D# Corporate Profits by Industry                      ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40"
"31","12","    Other financial \2\","N398RC1","187,450.0","199,057.0","200,283.0","209,599.0","233,922.0","240,116.0","240,227.0","252,430.0","276,788.0","282,716.0","299,210.0","308,336.0","327,188.0","332,605.0","343,871.0","365,441.0","425,060.0","388,917.0","439,290.0","414,735.0","435,454.0","434,205.0","399,034.0","387,821.0","346,029.0","367,739.0","340,633.0","265,966.0","321,092.0","299,732.0","262,894.0","89,220.0","225,084.0","234,591.0","304,763.0","359,940.0","368,676.0"
"32","13","  Nonfinancial","N399RC1","350,923.0","362,784.0","333,066.0","245,608.0","296,307.0","327,386.0","341,662.0","393,465.0","390,316.0","391,046.0","421,224.0","455,813.0","561,051.0","622,363.0","666,811.0","661,001.0","860,730.0","925,751.0","893,936.0","1,025,381.0","1,068,476.0","1,048,258.0","1,136,978.0","1,065,812.0","1,039,003.0","1,061,682.0","984,238.0","974,486.0","743,645.0","765,968.0","827,529.0","736,596.0","757,981.0","773,273.0","792,249.0","851,352.0","991,799.0"
"33","14","    Utilities","N419RC1","28,048.0","29,660.0","26,376.0","16,899.0","8,561.0","12,075.0","14,216.0","14,161.0","12,864.0","11,210.0","11,754.0","13,752.0","16,124.0","18,660.0","19,256.0","23,650.0","27,997.0","29,365.0","22,623.0","39,140.0","45,208.0","53,120.0","60,836.0","58,441.0","51,325.0","46,609.0","47,298.0","51,241.0","33,089.0","43,132.0","43,505.0","40,775.0","53,631.0","53,445.0","61,502.0","47,826.0","....."
"34","15","    Manufacturing","N400RC1","81,598.0","81,468.0","48,066.0","-12,248.0","32,708.0","46,367.0","51,915.0","59,699.0","60,336.0","49,107.0","66,857.0","101,441.0","131,666.0","148,130.0","161,335.0","175,284.0","242,751.0","234,800.0","246,491.0","264,869.0","294,363.0","302,267.0","336,410.0","285,046.0","288,879.0","315,959.0","244,031.0","265,694.0","187,582.0","160,133.0","205,671.0","148,638.0","121,564.0","132,322.0","129,657.0","160,548.0","....."
"35","16","      Durable goods","N406RC1","11,641.0","-4,008.0","-39,007.0","-76,323.0","-25,705.0","-8,371.0","1,413.0","1,823.0","-3,393.0","-9,372.0","-11,956.0","7,353.0","31,078.0","40,313.0","43,224.0","48,057.0","86,424.0","93,637.0","96,527.0","105,616.0","125,269.0","94,886.0","134,063.0","121,237.0","105,916.0","100,563.0","84,889.0","92,837.0","60,983.0","19,658.0","40,453.0","1,515.0","7,997.0","11,903.0","6,707.0","32,947.0","....."
"36","17","        Fabricated metal products","N408RC1","12,247.0","10,978.0","9,118.0","6,786.0","8,441.0","9,090.0","8,831.0","9,926.0","6,537.0","8,139.0","6,465.0","10,919.0","10,917.0","12,835.0","11,116.0","13,738.0","16,986.0","18,003.0","19,840.0","17,471.0","19,567.0","16,674.0","18,065.0","20,403.0","19,076.0","20,558.0","22,513.0","22,996.0","18,511.0","14,919.0","17,709.0","19,243.0","19,258.0","13,678.0","10,882.0","9,973.0","....."
"37","18","        Machinery","N409RC1","9,420.0","4,189.0","-6,977.0","1,201.0","1,898.0","1,651.0","1,428.0","542.0","-16.0","1,778.0","581.0","1,700.0","3,813.0","7,171.0","9,206.0","8,252.0","11,454.0","12,524.0","14,310.0","19,864.0","18,834.0","18,749.0","20,060.0","19,295.0","19,960.0","20,990.0","19,311.0","19,045.0","17,090.0","13,063.0","14,572.0","19,615.0","12,831.0","10,396.0","8,119.0","12,716.0","....."
"38","19","        Computer and electronic products","N501RC1","-22,971.0","-36,249.0","-57,295.0","-77,770.0","-48,220.0","-37,636.0","-27,843.0","-23,702.0","-17,182.0","-15,981.0","-16,804.0","-8,856.0","-6,221.0","-5,825.0","-3,867.0","-1,431.0","6,543.0","8,569.0","9,976.0","11,008.0","10,101.0","19,139.0","22,617.0","17,725.0","16,966.0","10,530.0","11,646.0","5,502.0","14,471.0","1,960.0","102.0","2,157.0","3,159.0","3,869.0","3,124.0","4,154.0","....."
"39","20","        Electrical equipment, appliances, and components","N410RC1","3,916.0","1,849.0","1,399.0","591.0","365.0","-1,267.0","229.0","723.0","1,717.0","1,950.0","2,419.0","2,686.0","2,487.0","2,480.0","-133.0","-2,292.0","-4,271.0","-4,074.0","-361.0","2,927.0","12,631.0","8,822.0","12,254.0","12,105.0","3,549.0","-2,080.0","-4,530.0","-1,377.0","-3,575.0","-1,963.0","-2,649.0","-8,383.0","-6,334.0","-9,084.0","-9,638.0","-9,027.0","....."
"40","21","        Motor vehicles, bodies and trailers, and parts","N411RC1","-7,458.0","-9,409.0","-5,937.0","-12,626.0","-9,684.0","-763.0","-2,329.0","-5,347.0","-5,168.0","-12,864.0","-14,753.0","-13,858.0","-1,557.0","-8,244.0","-9,569.0","-7,779.0","3,912.0","3,895.0","-212.0","-3,012.0","1,166.0","-13,948.0","-5,607.0","-8,842.0","-15,071.0","-8,694.0","-24,926.0","-17,034.0","-35,308.0","-55,723.0","-45,435.0","-53,389.0","-54,838.0","-38,461.0","-16,583.0","-3,743.0","....."
"41","22","        Other durable goods \3\","N412RC1","16,488.0","24,633.0","20,685.0","5,496.0","21,495.0","20,553.0","21,097.0","19,681.0","10,718.0","7,605.0","10,136.0","14,763.0","21,639.0","31,896.0","36,471.0","37,569.0","51,799.0","54,719.0","52,973.0","57,357.0","62,971.0","45,450.0","66,674.0","60,550.0","61,437.0","59,260.0","60,876.0","63,706.0","49,795.0","47,402.0","56,155.0","22,272.0","33,921.0","31,505.0","10,803.0","18,874.0","....."
"42","23","      Nondurable goods","N401RC1","69,957.0","85,476.0","87,073.0","64,075.0","58,412.0","54,739.0","50,502.0","57,876.0","63,729.0","58,479.0","78,812.0","94,088.0","100,588.0","107,817.0","118,111.0","127,227.0","156,327.0","141,164.0","149,964.0","159,253.0","169,094.0","207,381.0","202,347.0","163,809.0","182,963.0","215,396.0","159,141.0","172,857.0","126,598.0","140,475.0","165,218.0","147,123.0","113,567.0","120,419.0","122,949.0","127,600.0","....."
"43","24","        Food and beverage and tobacco products","N402RC1","21,880.0","31,311.0","30,151.0","29,525.0","25,913.0","26,448.0","25,616.0","23,047.0","21,931.0","23,639.0","22,611.0","27,674.0","24,567.0","22,345.0","27,455.0","22,945.0","28,195.0","25,513.0","26,906.0","28,473.0","30,302.0","32,726.0","33,685.0","33,118.0","28,175.0","33,509.0","29,318.0","29,756.0","29,152.0","37,058.0","37,349.0","31,256.0","34,684.0","33,068.0","35,135.0","29,361.0","....."
"44","25","        Petroleum and coal products","N404RC1","34,552.0","33,311.0","32,391.0","18,516.0","5,784.0","1,372.0","-770.0","-1,070.0","17,678.0","16,043.0","27,076.0","33,147.0","41,333.0","46,736.0","40,560.0","67,756.0","71,881.0","75,650.0","80,739.0","89,489.0","73,444.0","89,128.0","84,143.0","59,855.0","78,010.0","110,948.0","64,769.0","57,494.0","64,464.0","42,537.0","79,336.0","79,696.0","29,421.0","15,219.0","15,843.0","25,277.0","....."
"45","26","        Chemical products","N403RC1","6,001.0","13,139.0","14,731.0","12,687.0","15,132.0","16,286.0","17,456.0","22,276.0","17,547.0","15,286.0","21,579.0","21,136.0","19,323.0","24,819.0","32,258.0","22,564.0","38,864.0","20,095.0","21,790.0","22,080.0","46,346.0","59,905.0","61,521.0","42,324.0","52,430.0","50,186.0","42,555.0","62,448.0","16,406.0","48,173.0","39,072.0","21,746.0","29,639.0","39,377.0","37,440.0","37,297.0","....."
"46","27","        Other nondurable goods \4\","N405RC1","7,525.0","7,716.0","9,800.0","3,347.0","11,583.0","10,632.0","8,200.0","13,623.0","6,573.0","3,511.0","7,546.0","12,130.0","15,364.0","13,916.0","17,838.0","13,961.0","17,387.0","19,906.0","20,530.0","19,212.0","19,003.0","25,622.0","22,998.0","28,512.0","24,348.0","20,753.0","22,499.0","23,160.0","16,577.0","12,706.0","9,461.0","14,425.0","19,823.0","32,755.0","34,531.0","35,665.0","....."
"47","28","    Wholesale trade","N414RC1","38,941.0","42,140.0","52,893.0","71,215.0","56,906.0","54,619.0","41,025.0","43,998.0","44,020.0","51,044.0","61,639.0","62,618.0","71,334.0","79,989.0","84,299.0","66,864.0","90,479.0","105,657.0","83,525.0","89,194.0","104,421.0","100,697.0","107,392.0","102,166.0","107,908.0","117,017.0","107,864.0","75,985.0","46,603.0","56,593.0","85,847.0","111,503.0","94,015.0","87,535.0","80,618.0","89,502.0","....."
"48","29","    Retail trade","N415RC1","67,285.0","68,830.0","74,399.0","80,064.0","80,861.0","78,634.0","80,085.0","86,656.0","86,388.0","94,765.0","88,883.0","85,645.0","102,290.0","94,981.0","88,605.0","87,616.0","101,009.0","128,126.0","117,934.0","143,291.0","132,290.0","123,281.0","136,411.0","140,692.0","127,935.0","137,182.0","118,705.0","102,407.0","75,602.0","80,231.0","77,137.0","79,732.0","83,108.0","95,052.0","98,815.0","87,773.0","....."
"49","30","    Transportation and warehousing","N417RC1","2,628.0","3,809.0","3,168.0","-4,665.0","-470.0","-2,781.0","-1,084.0","3,828.0","3,957.0","8,449.0","7,942.0","9,353.0","14,222.0","20,504.0","13,087.0","9,776.0","25,724.0","28,547.0","28,196.0","33,681.0","43,358.0","45,313.0","40,250.0","39,573.0","32,928.0","32,959.0","30,925.0","23,366.0","12,919.0","11,927.0","9,155.0","11,510.0","6,711.0","1,286.0","4,782.0","10,841.0","....."
"50","31","    Information","N502RC1","-20,677.0","-20,308.0","-24,281.0","-32,360.0","-13,340.0","-6,453.0","-2,520.0","7,098.0","-2,384.0","3,188.0","12,595.0","6,240.0","14,822.0","47,647.0","66,267.0","53,844.0","76,205.0","85,675.0","78,461.0","84,809.0","84,061.0","92,629.0","100,797.0","92,105.0","90,466.0","77,546.0","93,902.0","99,406.0","91,557.0","101,819.0","81,858.0","63,595.0","95,351.0","99,390.0","106,997.0","133,860.0","....."
"51","32","    Other nonfinancial \5\","N420RC1","153,100.0","157,185.0","152,445.0","126,703.0","131,081.0","144,925.0","158,025.0","178,025.0","185,135.0","173,283.0","171,554.0","176,764.0","210,593.0","212,452.0","233,962.0","243,967.0","296,565.0","313,581.0","316,706.0","370,397.0","364,775.0","330,951.0","354,882.0","347,789.0","339,562.0","334,410.0","341,513.0","356,387.0","296,293.0","312,133.0","324,356.0","280,843.0","303,601.0","304,243.0","309,878.0","321,002.0","....."
"52","33","Rest of the world","B394RC1","160,068.0","171,010.0","146,559.0","201,165.0","158,747.0","145,932.0","156,564.0","170,307.0","149,137.0","158,942.0","163,118.0","191,808.0","213,178.0","197,252.0","215,244.0","194,434.0","234,176.0","233,258.0","252,947.0","237,386.0","246,942.0","255,283.0","250,998.0","274,141.0","282,224.0","311,159.0","370,515.0","427,108.0","412,255.0","367,016.0","397,171.0","332,360.0","315,756.0","301,204.0","323,180.0","307,132.0","336,596.0"
"53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","1. Consists of finance and insurance and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","2. Consists of credit intermediation and related activities; securities, commodity contracts,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","and other financial investments and related activities; insurance carriers and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","activities; funds, trusts, and other financial vehicles; and bank and other holding companies.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","3. Consists of wood products; nonmetallic mineral products; primary metals; other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","transportation equipment; furniture and related products; and miscellaneous manufacturing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","4. Consists of textile mills and textile product mills; apparel; leather and allied products;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","paper products; printing and related support activities; and plastics and rubber products.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","5. Consists of agriculture, forestry, fishing, and hunting; mining; construction; real",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","estate and rental and leasing; professional, scientific, and  technical services;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","administrative and waste management services; educational services; health care and social",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","assistance; arts, entertainment, and recreation; accommodation and food services; and other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","services, except government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Note. Estimates in this table are based on the 2002 North American Industry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
