"","Table 6#2D# Compensation of Employees by Industry               ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"75","68","      Miscellaneous professional, scientific, and technical services \5\","N4070C0",222331,241451,273804,284089,284652,291810,309748,341844,376640,403461,426677
"76","69","    Management of companies and enterprises \6\","N4071C0",116708,124880,146207,149546,152097,164009,173038,185764,200620,218005,220639
"77","70","    Administrative and waste management services","N4072C0",177527,192300,218859,224045,227483,239737,248253,274664,292416,309244,310728
"78","71","      Administrative and support services","N4073C0",164441,178333,204397,208768,211670,223177,230746,255805,272525,288587,289224
"79","72","      Waste management and remediation services","N4074C0",13087,13967,14462,15277,15813,16561,17507,18859,19891,20657,21504
"80","73","    Educational services","N4075C0",63881,69269,74272,79716,88841,94596,102534,106119,113405,121321,129402
"81","74","    Health care and social assistance","N4076C0",431722,457209,485236,521254,564159,608478,649147,687431,733176,773433,818628
"82","75","      Ambulatory health care services","N4077C0",195661,204989,217872,233872,251722,269891,288408,306777,328613,346882,366249
"83","76","      Hospitals","N4078C0",145591,153694,161029,174535,190351,208183,223237,236333,252587,265628,282885
"84","77","      Nursing and residential care facilities","N4079C0",56096,59837,64055,68701,73931,78195,82225,84696,89717,94115,98715
"85","78","      Social assistance","N4080C0",34373,38689,42280,44147,48155,52209,55276,59625,62259,66808,70779
"86","79","    Arts, entertainment, and recreation","N4081C0",45720,49743,55123,57825,61379,64145,67525,69179,75890,78456,81893
"87","80","      Performing arts, spectator sports, museums, and related activities","N4082C0",21425,23626,26303,27708,29611,31336,32938,33373,36880,39280,41470
"88","81","      Amusements, gambling, and recreation industries","N4083C0",24295,26118,28819,30116,31768,32809,34587,35805,39010,39176,40423
"89","82","    Accommodation and food services","N4084C0",149331,164337,174976,182993,188194,197841,211801,221994,231411,249193,253199
"90","83","      Accommodation","N4085C0",41562,46322,49862,50552,49836,51983,55701,58361,59878,65047,65041
"91","84","      Food services and drinking places","N4086C0",107769,118015,125114,132441,138358,145858,156100,163633,171533,184146,188158
"92","85","    Other services, except government","N4087C0",150823,157640,170139,175732,186970,194207,205035,209496,217806,230703,239543
"93","86","  Government","A4076C0",918697,964683,1020253,1079303,1150423,1225919,1291135,1355850,1420257,1497226,1569870
"94","87","    Federal","B4077C0",269159,276641,293056,302172,329031,354687,385423,407239,425227,445164,466847
"95","88","      General government","B568RC0",214253,220592,232963,242096,268381,297768,323011,344448,360145,379481,401969
"96","89","        Civilian","B4079C0",129816,134293,142394,145533,158348,170575,184932,194530,202637,212693,223647
"97","90","        Military \7\","W4080C0",84437,86299,90569,96563,110033,127193,138079,149918,157508,166788,178322
"98","91","      Government enterprises","A4081C0",54906,56049,60093,60076,60650,56919,62412,62791,65082,65683,64878
"99","92","    State and local","B4082C0",649538,688042,727197,777131,821392,871232,905712,948611,995030,1052062,1103023
"100","93","      General government","B251RC0",606411,642463,678997,725042,765758,811655,842913,883338,927128,979941,1026913
"101","94","        Education","B4084C0",324381,344260,365026,388464,410133,437189,453376,474646,500392,528143,552082
"102","95","        Other \8\","B4085C0",282030,298203,313971,336578,355625,374466,389537,408689,426736,451797,474831
"103","96","      Government enterprises \8\","B4086C0",43127,45579,48200,52089,55634,59577,62799,65276,67902,72122,76110
"104","97","Rest of the world","A4187C0",-4563,-5213,-4690,-5215,-5574,-5704,-6148,-6407,-6613,-7100,-7325
"105","98","  Receipts from the rest of the world","B4188C0",2437,2748,2835,2879,2811,2813,2822,2890,2883,2970,3045
"106","99","  Less: Payments to the rest of the world \9\","B4189C0",7000,7961,7525,8094,8385,8517,8970,9297,9496,10070,10370
"107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","1. NAICS crop and animal production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","2. Consists of furniture and home furnishings stores; electronics and appliance stores; building",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","material and garden equipment and supplies dealers; health and personal care stores; gasoline",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","stations; clothing and clothing accessories stores; sporting goods, hobby, book, and music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","stores; miscellaneous store retailers; and nonstore retailers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","3. Consists of scenic and sightseeing transportation; transportation support activities; and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","couriers and messengers.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","4. Intangible assets include patents, trademarks, and franchise agreements, but not copyrights.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","5. Consists of accounting, tax preparation, bookkeeping, and payroll services; architectural,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","engineering, and related services; specialized design services; management, scientific, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","technical consulting services; scientific research and development services; advertising and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","related services; and other professional, scientific, and technical services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","6. Consists of offices of bank and other holding companies and of corporate, subsidiary, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","regional managing offices.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","7. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","8. Employees of Indian tribal governments are classified in state and local government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124","9. Includes estimates of foreign professional workers and undocumented Mexican migratory",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","workers employed temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Note. Estimates in this table are based on the 2002 North American Industry Classification",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127","System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
