"","Table 1#1#6A# Real Gross Domestic Product, Chained (1937) Dollar","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"21","14","Net exports of goods and services","A019AX1",0.8,0.4,0.2,0,-0.1,0.2,-0.5,-0.3,0.1,0.9,1,1.5,0.8,-0.4,-1.9,-1.9,-1.1,4.6,6.1
"22","15","  Exports","A020AX1",4.8,4,3.3,2.6,2.6,2.9,3.1,3.2,4,4,4.2,4.8,4.9,3.2,2.7,2.9,4.1,8.9,10.2
"23","16","    Goods","A253AX1",4.3,3.5,2.9,2.3,2.3,2.5,2.6,2.7,3.5,3.5,3.7,4.3,4.4,2.7,2.1,2.2,3.4,7.8,9
"24","17","    Services","A646AX1",0.5,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.7,1.1,1.2
"25","18","  Imports","A021AX1",4.1,3.5,3.1,2.6,2.7,2.7,3.6,3.5,4,3.1,3.2,3.3,4.1,3.7,4.7,4.9,5.2,4.3,4.1
"26","19","    Goods","A255AX1",3.1,2.7,2.3,1.9,2.1,2.1,3,2.8,3.2,2.4,2.6,2.8,3.3,2.3,2.6,2.7,2.7,3.1,3
"27","20","    Services","B656AX1",0.9,0.9,0.7,0.7,0.6,0.6,0.6,0.7,0.8,0.7,0.6,0.6,0.8,1.3,1.9,2,2.3,1.1,1
"28","21","Government consumption expenditures and gross investment","A822AX1",9.2,10.2,10.6,10.2,9.9,11.1,11.5,13.4,12.8,13.8,15,15.4,25.6,60.3,89.7,101,88.2,30.3,25.7
"29","22","  Federal","A823AX1",1.9,2.1,2.2,2.2,2.7,3.7,3.7,5.7,5.1,5.6,6,6.8,17.8,54.7,86.5,98.8,84.8,22.8,16.8
"30","23","    National defense","A824AX1",1,1,1,1,1,0.9,1.1,1.3,1.3,1.4,1.5,2.6,14.1,51.7,84.1,96.1,82.7,19.8,13.3
"31","24","    Nondefense","A825AX1",0.9,1,1.1,1.1,1.7,2.8,2.7,4.4,3.8,4.3,4.5,4.1,3.7,2.9,2.3,2.6,2,2.9,3.4
"32","25","  State and local","A829AX1",7.2,7.9,8.3,7.9,7.1,7.4,7.7,7.7,7.7,8.2,9,8.7,8.1,7.4,6.7,6.5,6.7,7.3,8.4
"33","26","Residual","A960AX1",-1.2,0.3,1.1,2.8,1.6,1,0.3,0.2,-0.1,1.2,1.1,0.1,-0.6,-2.7,-6.7,-8.4,-4.6,7.7,10.3
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Note. Chained (1937) dollar series are calculated as the product of the chain-type quantity",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","index and the 1937 current-dollar value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Because the formula for the chain-type quantity indexes uses weights of more than",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","The residual line is the difference between the first line and the sum of the most",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
