"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","Taxes on production and imports","W056RC1",6.8,7,6.7,6.6,6.9,7.6,8,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,762.8,806.8,863.4,930.2,986.8,1028.7,1047.3
"17","10","Less: Subsidies \1\","A107RC1",0,0,0.1,0.1,0.1,0.4,0.5,0.2,0.2,0.4,0.7,0.6,0.3,0.4,0.4,0.9,1,1.2,0.2,0.3,0.3,0.6,0.7,0.4,0.1,-0.1,-0.2,0.4,0.7,0.9,1.1,1.1,2,2.3,2.2,2.7,3,3.9,3.8,4.2,4.5,4.8,4.7,6.6,5.2,3.3,4.5,5.1,7.1,8.9,8.5,9.8,11.5,15,21.3,21.1,21.4,24.9,30.3,29.5,27.4,27,27.5,30.1,36.7,32.5,34.8,35.2,33.8,36.4,45.2,45.8,58.7,41.4,49.1,46.4,60.9,51.4,54.8,53.5
"18","11","Net operating surplus","W271RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.7,130.8,136.8,149.4,158.8,171.2,189.7,203.2,205.8,218.6,225.5,219.3,243.3,275.4,310.2,314.1,351,392.3,444,508.8,546.4,560.6,652.9,669.2,756.1,910.6,971,995.9,1078.1,1199,1270.6,1298.6,1317.3,1400.3,1486.7,1641.9,1770.3,1959,2134.7,2227.4,2342.6,2444.9,2479.8,2521.6,2625.4,2926.3,3236,3539.7,3494.9,3454.8
"19","12","  Private enterprises","W260RC1",35.2,28.3,20.6,13.1,12.1,16.2,20.8,23.3,26.3,22.6,25,29.3,39.8,52.7,62.3,63.5,60.6,62.6,67.3,79.9,73.8,84.9,96.5,96.4,97.5,98.4,112.1,113.6,116.7,116.5,128.7,129.9,135.9,148.5,157.5,169.9,188.3,202.2,204.9,217.4,224.4,219.3,243.6,274.9,310.6,315,354.3,394.1,446.7,511,549.3,565.7,658.5,673.6,759.3,912.6,970.4,995.1,1078,1196.4,1265.6,1297,1311.6,1392,1478,1632.3,1757.2,1944.7,2120.6,2214.1,2328.5,2435.7,2475.7,2515.3,2618.5,2925,3239.4,3544,3501.5,3461.7
"20","13","    Net interest and miscellaneous payments, domestic industries","W272RC1",4,4.3,4.3,4.1,3.7,3.8,3.9,3.7,3.6,3.6,3.6,3.3,3.3,3.2,2.9,2.5,2.3,1.9,2.4,2.5,2.8,3.1,3.5,4,4.6,5.4,6.1,6.8,8,9.4,9.5,10.4,12.1,13.8,14.7,16.9,19.1,21.9,24.9,26.7,33.2,39.9,44.2,48.9,57.5,72.7,83.2,85.2,99.8,116.2,141.5,183,228.9,267,283.1,327.1,352.8,387.2,395.7,418.1,474,483.6,462,428.7,407,412.1,417.5,437.2,487.3,560.2,569.9,642.5,656.9,609.6,595.5,569.3,678.9,830.1,964.1,1043.1
"21","14","    Business current transfer payments (net)","B029RC1",0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.8,0.9,0.7,0.7,0.7,0.7,0.9,1.2,1.3,1.2,1,1.4,1.7,1.9,1.8,1.8,1.9,2,2.2,2.7,3.1,3.6,3.5,3.8,4.3,4.9,4.5,4.3,4.9,6,7.1,9.4,9.5,8.5,10.8,13.3,14.7,17.9,20.6,22.6,30.3,35.2,36.9,34.1,33.6,39.2,40.1,39.9,40.7,40.5,41.9,45.8,53.8,51.3,65.2,69,87,101.3,82.4,76.1,81.7,95.9,83,102.2,118.8
"22","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1",14.1,10.9,8.4,5.1,5.3,7,10.1,10.4,12.5,10.6,11.1,12.3,16.6,23.4,28.3,29.4,30.8,35.7,34.5,39.2,34.6,37.5,42.7,43.1,42,42.3,44.3,45.9,47.8,50.2,50.3,50.7,53.2,55.3,56.5,59.4,63.9,68.2,69.8,74.2,77.5,78.5,84.7,96,113.6,113.5,119.6,132.2,146,167.5,181.1,173.5,181.6,174.8,190.7,233.1,246.1,262.6,294.2,334.8,351.6,365.1,367.3,414.9,449.6,485.1,516,583.7,628.2,687.5,746.8,817.5,870.7,890.3,930.6,1033.8,1069.8,1133,1096.4,1106.3
"23","16","    Rental income of persons with capital consumption adjustment","A048RC1",6.2,5.5,4.5,3.6,2.9,2.6,2.6,2.7,3,3.6,3.8,3.9,4.5,5.5,6.1,6.4,6.7,7.1,7.2,7.8,8.1,9.1,10,11.2,12.4,13.4,13.8,14.1,14.5,15.2,16,17,17.7,18.6,19.3,19.4,19.9,20.5,20.9,20.6,20.9,21.1,22.2,23.1,23.9,24,23.4,22.1,19.6,20.9,22.6,28.5,36.5,38.1,38.2,40,41.9,33.8,34.2,40.2,42.4,49.8,61.6,84.6,114.1,142.9,154.6,170.4,176.5,191.5,208.2,215.3,232.4,218.7,204.2,198.4,178.2,146.5,144.9,210.4
"24","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1",10.4,7.2,2.8,-0.2,-0.3,2.3,3.7,5.9,6.6,4.5,6.1,9.4,14.9,20.1,24.4,24.4,19.9,17.2,22.5,29.6,27.6,34.4,39.1,37,37.3,36.4,46.6,45.2,44.5,39.9,51.1,50,50.9,58.6,64.3,71.1,81.8,88,85.4,91.6,87.9,75.4,88.2,101.9,109.6,97.7,118.7,145.1,172.7,195.6,190.7,166,193.6,173.1,224.8,282,294.4,274.7,319.8,369.6,358.4,358.4,380.8,423.1,466.8,550.3,623.2,699.5,777.3,709.7,734.8,673.6,614.5,714.3,812,1041.9,1216.6,1351.5,1193.9,983.2
"25","18","      Taxes on corporate income","A054RC1",1.4,0.8,0.5,0.4,0.5,0.7,1,1.4,1.5,1,1.4,2.8,7.6,11.4,14.1,12.9,10.7,9.1,11.3,12.4,10.2,17.9,22.6,19.4,20.3,17.6,22,22,21.4,19,23.7,22.8,22.9,24.1,26.4,28.2,31.1,33.9,32.9,39.6,40,34.8,38.2,42.3,50,52.8,51.6,65.3,74.4,84.9,90,87.2,84.3,66.5,80.6,97.5,99.4,109.7,130.4,141.6,146.1,145.4,138.6,148.7,171,193.1,217.8,231.5,245.4,248.4,258.8,265.1,203.3,192.3,243.8,306.1,412.4,473.3,451.5,292.2
"26","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1",9.1,6.4,2.3,-0.6,-0.8,1.6,2.7,4.5,5.1,3.5,4.6,6.5,7.3,8.6,10.3,11.4,9.2,8.1,11.2,17.2,17.4,16.4,16.5,17.6,17,18.7,24.6,23.2,23.1,21,27.4,27.2,28,34.5,37.9,42.9,50.8,54.1,52.5,52,47.9,40.6,50.1,59.6,59.6,44.9,67,79.8,98.3,110.7,100.7,78.8,109.3,106.6,144.1,184.5,195,165,189.4,228,212.4,212.9,242.2,274.4,295.7,357.1,405.4,468.1,531.9,461.3,476,408.5,411.2,522,568.3,735.8,804.3,878.2,742.4,691
"27","20","        Net dividends","A449RC1",5.6,5.3,4.1,2.6,2,2.5,2.7,4.4,4.5,2.9,3.6,3.8,4.2,4,4.2,4.3,4.4,5.1,5.6,6.2,6.4,7.9,7.4,7.5,7.8,7.9,8.9,9.5,9.9,9.8,10.7,11.4,11.5,12.4,13.6,15,16.9,17.8,18.3,20.2,20.4,20.4,20.3,21.9,23.1,23.5,26.4,30.1,33.7,39.6,41.5,47.3,58.3,61.3,71.3,78.5,85.7,88.3,95.6,98,126.4,144.1,156.4,160,182.3,197.6,221.6,257.3,284,309.2,295.7,348.5,330.1,351.2,392.8,488,296.5,626.9,641.6,543.3
"28","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1",3.5,1,-1.7,-3.2,-2.8,-0.9,0.1,0.1,0.5,0.6,1.1,2.8,3.1,4.6,6.1,7.1,4.8,3,5.6,11,11,8.6,9.1,10.1,9.3,10.9,15.7,13.7,13.3,11.1,16.7,15.8,16.5,22.1,24.3,27.9,33.9,36.3,34.2,31.8,27.5,20.3,29.7,37.6,36.5,21.4,40.6,49.7,64.6,71.1,59.2,31.4,50.9,45.3,72.8,106,109.3,76.7,93.8,130,86,68.8,85.9,114.5,113.4,159.6,183.8,210.7,247.9,152.1,180.3,60.1,81.1,170.8,175.5,247.8,507.8,251.3,100.8,147.7
"29","22","  Current surplus of government enterprises \1\","A108RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9,0.8,0.9,1.4,1.3,1.3,1,0.9,1.2,1,0,-0.2,0.5,-0.4,-0.9,-3.2,-1.8,-2.7,-2.2,-2.9,-5.1,-5.6,-4.5,-3.2,-1.9,0.6,0.9,0.2,2.6,4.9,1.6,5.7,8.2,8.7,9.6,13.1,14.4,14.1,13.3,14.1,9.1,4,6.3,7,1.2,-3.5,-4.2,-6.6,-6.9
"30","23","Consumption of fixed capital","A262RC1",9.7,9.5,8.8,7.7,7.4,7.8,7.8,8.1,9,9.2,9.3,9.7,11.1,13.7,16.5,19.5,21.1,23.1,26.6,28.5,29.2,29.9,33.8,36.3,38.6,40.6,42.8,47.1,50.8,53.3,55.4,56.6,58.2,60.6,63.3,66.4,70.7,76.5,82.9,90.4,99.2,108.3,117.8,127.2,140.8,163.7,190.4,208.2,231.8,261.4,298.9,344.1,393.3,433.5,451.1,474.3,505.4,538.5,571.1,611,651.5,691.2,724.4,744.4,778,819.2,869.5,912.5,963.8,1020.5,1094.4,1184.3,1256.2,1305,1354.1,1432.8,1541.4,1660.7,1760,1847.1
"31","24","  Private","A024RC1",8.7,8.5,7.9,6.9,6.5,6.7,6.7,6.9,7.7,7.8,7.8,8.1,9,10.1,10.3,10.7,11,12.3,16.1,18.9,20.5,22,25.2,26.7,28.2,29.5,31.1,34.3,37.2,39.4,41,41.6,42.6,44.1,45.9,48.3,51.9,56.5,61.6,67.4,74.5,81.7,89.5,97.7,109.5,127.8,150.4,165.5,186.1,212,244.5,282.3,323.2,356.4,369.5,387.5,412.8,439.1,464.5,497.1,529.6,560.4,585.4,599.9,626.4,661,704.6,743.4,789.7,841.6,907.2,986.8,1051.6,1094,1135.9,1200.9,1290.8,1391.4,1469.6,1536.2
"32","25","  Government","A264RC1",1,1,0.9,0.8,0.9,1.1,1.1,1.2,1.3,1.4,1.4,1.5,2,3.5,6.2,8.9,10.1,10.8,10.6,9.6,8.7,7.9,8.6,9.5,10.4,11.1,11.7,12.8,13.6,13.9,14.5,15,15.6,16.5,17.5,18.1,18.9,20,21.4,23,24.7,26.6,28.2,29.4,31.3,35.9,39.9,42.6,45.6,49.5,54.4,61.8,70.1,77.1,81.6,86.9,92.7,99.4,106.6,113.9,121.8,130.8,138.9,144.5,151.6,158.2,164.8,169.2,174.1,179,187.2,197.5,204.6,210.9,218.1,231.9,250.6,269.3,290.4,310.9
"33",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","26","  Statistical discrepancy","A030RC1",0.8,-0.4,0.8,0.3,0.5,0.4,-0.2,1.2,0,0.7,1.3,1.1,0.3,-0.9,-1.8,2.6,3.9,1.2,2.3,-0.5,1.8,1.4,3.6,2.7,4,3.1,2.4,-1.8,-0.1,1,0.5,-1,-0.6,0.3,-0.8,0.8,1.5,6.2,4.5,4.3,2.9,6.9,11,8.9,8,9.8,16.3,23.5,21.2,26.1,47,45.3,36.6,4.8,49.7,31.5,42.3,67.7,32.9,-9.5,56.1,84.2,79.7,110,135.8,108.8,52.5,25.9,-14,-85.3,-71.1,-134,-103.4,-22.1,16.6,-7.8,-79.7,-220.6,-14.8,101
"35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
