"","Table 1#1#5# Gross Domestic Product                             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83"
"16","9","    Nonresidential","A008RC1",11,8.6,5.3,2.9,2.5,3.3,4.3,5.8,7.5,5.5,6.1,7.7,9.7,6.3,5.4,7.4,10.6,17.3,23.5,26.8,24.9,27.8,31.8,31.9,35.1,34.7,39,44.5,47.5,42.5,46.5,49.4,48.8,53.1,56,63,74.8,85.4,86.4,93.4,104.7,109,114.1,128.8,153.3,169.5,173.7,192.4,228.7,280.6,333.9,362.4,420,426.5,417.2,489.6,526.2,519.8,524.1,563.8,607.7,622.4,598.2,612.1,666.6,731.4,810,875.4,968.6,1061.1,1154.9,1268.7,1227.8,1125.4,1135.7,1223,1347.3,1505.3,1640.2,1693.6
"17","10","      Structures","B009RC1",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.3,2.2,1.8,2.4,3.3,7.4,8.1,9.5,9.2,10,12,12.2,13.6,13.9,15.2,18.2,19,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,275.1,283.9,318.1,329.7,282.8,281.9,306.7,351.8,433.7,535.4,609.5
"18","11","      Equipment and software","B010RC1",5.5,4.2,2.6,1.5,1.4,2.1,2.8,3.9,4.8,3.4,3.9,5.2,6.4,4.1,3.7,5,7.3,9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.4,29.8,29.1,32.3,34.8,39.2,46.5,54,54.9,59.9,67,68.7,71.5,81.7,98.3,108.2,112.4,126.4,154.1,187,216.2,226.2,252.7,248.9,262.9,312.2,331.7,343.3,349.9,381,414,419.5,414.6,439.6,489.4,544.6,602.8,650.8,718.3,786,871,950.5,898.1,842.7,853.8,916.4,995.6,1071.7,1104.8,1084.1
"19","12","    Residential","A011RC1",4,2.4,1.8,0.8,0.6,0.9,1.3,1.7,2.1,2.1,3,3.5,4.1,2.2,1.4,1.4,1.7,7.8,12.1,15.6,14.6,20.5,18.4,18.6,19.4,21.1,25,23.6,22.2,22.3,28.1,26.3,26.4,29,32.1,34.3,34.2,32.3,32.4,38.7,42.6,41.4,55.8,69.7,75.3,66,62.7,82.5,110.3,131.6,141,123.2,122.6,105.7,152.9,180.6,188.2,220.1,233.7,239.3,239.5,224,205.1,236.3,266,302.1,302.9,334.1,349.1,385.9,425.8,449,472.4,509.5,577.6,680.6,775,761.9,629,477.2
"20","13","  Change in private inventories","A014RC1",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5,4,0.8,-0.4,3.9,3.2,3,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2,8.3,9.1,15.9,14,-6.3,17.1,22.3,25.8,18,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,71,63.7,60.8,54.5,-38.3,12,16.4,64.9,50,60,19.4,-34.8
"21","14","Net exports of goods and services","A019RC1",0.4,0.3,0,0,0.1,0.3,-0.2,-0.1,0.1,1,0.8,1.5,1,-0.3,-2.2,-2,-0.8,7.2,10.8,5.5,5.2,0.7,2.5,1.2,-0.7,0.4,0.5,2.4,4.1,0.5,0.4,4.2,4.9,4.1,4.9,6.9,5.6,3.9,3.6,1.4,1.4,4,0.6,-3.4,4.1,-0.8,16,-1.6,-23.1,-25.4,-22.5,-13.1,-12.5,-20,-51.7,-102.7,-115.2,-132.5,-145,-110.1,-87.9,-77.6,-27,-32.8,-64.4,-92.7,-90.7,-96.3,-101.4,-161.8,-262.1,-382.1,-371,-427.2,-504.1,-618.7,-722.7,-769.3,-713.8,-707.8
"22","15","  Exports","B020RC1",5.9,4.4,2.9,2,2,2.6,2.8,3,4,3.8,4,4.9,5.5,4.4,4,4.9,6.8,14.2,18.7,15.5,14.5,12.4,17.1,16.5,15.3,15.8,17.7,21.3,24,20.6,22.7,27,27.6,29.1,31.1,35,37.1,40.9,43.5,47.9,51.9,59.7,63,70.8,95.3,126.7,138.7,149.5,159.4,186.9,230.1,280.8,305.2,283.2,277,302.4,302,320.3,363.8,443.9,503.1,552.1,596.6,635,655.6,720.7,811.9,867.7,954.4,953.9,989.3,1093.2,1027.7,1003,1041,1180.2,1305.1,1471,1655.9,1831.1
"23","16","    Goods","A253RC1",5.3,3.9,2.5,1.7,1.7,2.2,2.4,2.6,3.5,3.2,3.3,4.1,4.5,3.4,2.9,3.6,5.4,11.8,16.1,13.3,12.2,10.2,14.2,13.4,12.4,12.9,14.4,17.6,19.6,16.4,16.5,20.5,20.9,21.7,23.3,26.7,27.8,30.7,32.2,35.3,38.3,44.5,45.6,51.8,73.9,101,109.6,117.8,123.7,145.4,184,225.8,239.1,215,207.3,225.6,222.2,226,257.5,325.8,369.4,396.6,423.6,448,459.9,510.1,583.3,618.3,687.7,680.9,697.2,784.3,731.2,700.3,726.8,817,906.1,1024.4,1139.4,1266.9
"24","17","    Services","A646RC1",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.6,0.8,0.9,1,1.1,1.3,1.4,2.4,2.6,2.3,2.3,2.1,2.9,3,2.9,2.9,3.3,3.7,4.5,4.1,6.3,6.6,6.7,7.4,7.7,8.3,9.4,10.2,11.3,12.6,13.7,15.2,17.4,19,21.3,25.7,29.1,31.7,35.7,41.5,46.1,55,66.1,68.2,69.7,76.7,79.8,94.3,106.2,118.1,133.8,155.5,173,187,195.7,210.6,228.6,249.3,266.7,273,292.1,308.9,296.5,302.7,314.2,363.2,399,446.6,516.5,564.2
"25","18","  Imports","B021RC1",5.6,4.1,2.9,1.9,1.9,2.2,3,3.2,4,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7,7.9,10.1,9.2,11.6,14.6,15.3,16,15.4,17.2,18.9,19.9,20,22.3,22.8,22.7,25,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554,591,629.7,623.5,667.8,720,813.4,902.6,964,1055.8,1115.7,1251.4,1475.3,1398.7,1430.2,1545.1,1798.9,2027.8,2240.3,2369.7,2538.9
"26","19","    Goods","A255RC1",4.5,3.1,2.1,1.3,1.5,1.8,2.5,2.5,3.2,2.2,2.4,2.7,3.4,2.7,3.4,3.8,3.9,5.1,6,7.6,6.9,9.1,11.2,10.8,11,10.4,11.5,12.8,13.3,13,15.3,15.2,15.1,16.9,17.7,19.4,22.2,26.3,27.8,33.9,36.8,40.9,46.6,56.9,71.8,104.5,99,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1047.7,1246.5,1171.7,1193.9,1289.3,1501.7,1708,1884.9,1987.7,2126.4
"27","20","    Services","B656RC1",1.1,1,0.8,0.6,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,1,1.9,2.8,3.1,3.7,1.9,2,2.5,2.4,2.5,3.4,4.5,5,5.1,5.7,6.1,6.7,7.1,7,7.6,7.6,8.1,8.4,8.7,9.3,10.7,12.2,12.6,13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,203.7,228.8,227,236.3,255.9,297.3,319.8,355.4,382.1,412.4
"28","21","Government consumption expenditures and gross investment","A822RC1",9.4,10,9.9,8.7,8.7,10.5,10.9,13.1,12.8,13.8,14.8,15,26.5,62.7,94.8,105.3,93,39.6,36.3,40.5,46.6,46.7,68.1,83.6,90.5,86.1,86.4,91.4,99.7,106,110,111.5,119.5,130.1,136.4,143.2,151.4,171.6,192.5,209.3,221.4,233.7,246.4,263.4,281.7,317.9,357.7,383,414.1,453.6,500.7,566.1,627.5,680.4,733.4,796.9,878.9,949.3,999.4,1038.9,1100.6,1181.7,1236.1,1273.5,1294.8,1329.8,1374,1421,1474.4,1526.1,1631.3,1731,1846.4,1983.3,2112.6,2232.8,2369.9,2518.4,2676.5,2883.2
"29","22","  Federal","A823RC1",1.7,1.8,1.9,1.8,2.3,3.3,3.4,5.6,5.1,5.7,6,6.5,18,54.1,86.5,96.9,84,28.8,22.6,24.2,27.6,26,45,59.1,64.4,57.2,54.9,56.7,61.3,63.8,65.3,64.1,67.9,75.2,76.9,78.4,80.4,92.4,104.6,111.3,113.3,113.4,113.6,119.6,122.5,134.5,149,159.7,175.4,190.9,210.6,243.7,280.2,310.8,342.9,374.3,412.8,438.4,459.5,461.6,481.4,507.5,526.6,532.9,525,518.6,518.8,527,531,531,554.9,576.1,611.7,680.6,756.5,824.6,876.3,931.7,976.7,1082.6
"30","23","    National defense","A824RC1",0.9,0.9,0.9,0.9,0.9,0.8,1,1.2,1.3,1.4,1.5,2.5,14.3,51.1,84.2,94.5,81.9,25.1,18.2,18.2,19.8,19.5,39.2,52.3,55.9,49.2,46.9,49.2,53.6,55.4,53.8,53.3,56.5,61.1,61,60.2,60.6,71.7,83.4,89.2,89.5,87.6,84.6,86.9,88.1,95.6,103.9,111.1,120.9,130.5,145.2,168,196.2,225.9,250.6,281.5,311.2,330.8,350,354.7,362.1,373.9,383.1,376.8,363,353.8,348.8,354.8,349.8,346.1,361.1,371,393,437.7,497.9,550.8,589,624.9,662.1,737.9
"31","24","    Nondefense","A825RC1",0.8,0.9,0.9,0.9,1.4,2.5,2.3,4.3,3.8,4.4,4.5,4,3.7,3,2.3,2.5,2.1,3.7,4.4,5.9,7.9,6.5,5.8,6.8,8.5,8.1,7.9,7.5,7.7,8.4,11.5,10.7,11.4,14.1,15.9,18.2,19.8,20.8,21.2,22,23.8,25.8,29.1,32.7,34.3,39,45.1,48.6,54.5,60.4,65.4,75.8,83.9,84.9,92.3,92.7,101.6,107.6,109.6,106.8,119.3,133.6,143.4,156.1,162,164.8,170,172.2,181.1,184.9,193.8,205,218.7,242.9,258.5,273.9,287.3,306.8,314.5,344.7
"32","25","  State and local","A829RC1",7.6,8.2,8,6.9,6.4,7.2,7.5,7.5,7.7,8.1,8.8,8.6,8.6,8.6,8.4,8.4,9,10.8,13.7,16.3,19,20.7,23,24.4,26.1,28.9,31.6,34.7,38.3,42.2,44.7,47.5,51.6,54.9,59.5,64.8,71,79.2,87.9,98,108.2,120.3,132.8,143.8,159.2,183.4,208.7,223.3,238.7,262.7,290.2,322.4,347.3,369.7,390.5,422.6,466.1,510.9,539.9,577.3,619.2,674.2,709.5,740.6,769.8,811.2,855.3,894,943.5,995,1076.3,1154.9,1234.7,1302.7,1356.1,1408.2,1493.6,1586.7,1699.8,1800.6
