"","Table 4#1# Foreign Transactions in the National Income and Produ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"19","12","    Nondurable","A340RC",3.2,2.3,1.7,1.1,1.2,1.3,1.8,1.8,2.2,1.6,1.7,1.7,2.1,1.8,2.5,2.7,2.7,3.6,4.2,5.2,4.8,6.1,7.4,6.7,6.9,6.7,7.1,7.6,8,8,8.7,8.9,9,9.9,10.3,11,11.8,13.1,13.2,15.1,16.1,18.1,19.9,23.6,31,54.2,53.4,67.8,83.4,88.4,112.3,136.6,141.8,125.4,125.4,143.9,139.1,131.2,150.6,157.3,174.5,193.5,185.2,198.4,206.9,223.1,247.3,275.1,297.8,293,330.7,422.5,412.8
"20","13","  Services \1\","B656RC",1.1,1,0.8,0.6,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,1,1.9,2.8,3.1,3.7,1.9,2,2.5,2.4,2.5,3.4,4.5,5,5.1,5.7,6.1,6.7,7.1,7,7.6,7.6,8.1,8.4,8.7,9.3,10.7,12.2,12.6,13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56,68.8,73.9,82.2,93.1,101.1,105.2,120.6,121.6,119.8,125.7,135.4,145.2,154.8,170.7,186.7,193.9,223.5,215.8
"21","14","Income payments","A655RC",0.4,0.3,0.3,0.2,0.1,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,0.9,1,1.1,1.2,1.2,1.5,1.8,1.8,1.8,2.1,2.4,2.7,3.1,3.4,4.1,5.8,6.6,6.4,7.7,11.1,14.6,14.9,15.7,17.2,25.3,37.5,46.5,60.9,65.9,65.6,87.6,87.8,95.6,109.2,133.4,156.8,159.3,143,127.6,130.1,167.5,211.9,227.5,274.2,289.6,294.1,360,295
"22","15","Transfer payments (net)","A123RC",0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.8,2.9,2.6,4.5,5.6,4,3.5,2.5,2.5,2.3,2.5,2.4,2.3,2.3,2.4,2.4,2.7,2.8,2.8,3,3,3.2,3.4,3.2,3.2,3.6,4.1,4.3,4.6,5.4,5.4,6,6,6.4,7.5,9,13.4,16.1,17.2,20.3,22.1,24.2,23.4,25.4,26.3,26.8,-11,34.2,36.8,38,34,39.8,40.8,44.5,48.9,53.7,49.8
"23","16","  From persons (net)","B070RC",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.4,0.5,0.7,0.7,0.7,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.7,0.7,0.8,0.8,1,1,1.1,1.3,1.3,1.4,1.5,1.3,1.3,1.3,1.3,1.5,1.6,1.8,5.5,6.5,6.8,7.7,8.1,9,9.9,10.6,11.4,12,13,12.5,14.4,15.6,16.5,18.2,21.2,24.3,27.3,29.5,31.1
"24","17","  From government (net)","B088RC",0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,-0.1,-0.1,0.4,2.3,2,3.9,5.1,3.6,3.1,2.1,2,1.8,2.1,1.9,1.8,1.8,1.8,1.8,2.1,2.1,2.1,2.1,2,2.2,2.1,1.9,1.8,1.9,2.3,2.5,2.4,3.1,3.4,3.6,3.3,3.6,3.9,4.8,4.8,6.1,7,9.1,11.1,12.1,10.2,10.3,10.4,10,-29,16.2,16.7,15.3,9.8,13.6,10.6,11,11.4,13.6,9.6
"25","18","  From business","B930RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,1,0.7,1.1,1.4,1.4,2,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5,5.5,5.7,7.1,7.7,8,8.9,9.2,10.2,10.6,9.1
"26","19","Net foreign investment","A124RC",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1,1.5,1.3,-0.1,-2.1,-2,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.8,4.8,0.9,-1.2,3.2,4.3,3.9,5,7.5,6.2,3.9,3.5,1.7,1.8,4,0.6,-3.6,8.7,7.1,21.4,8.9,-9,-10.4,1.4,11.4,6.3,-0.2,-32,-87,-110.9,-140.6,-152,-113.2,-86.7,-69.2,14.9,-38.7,-72.9,-108.3,-98,-110.7,-123.1,-199.7,-276,-395.8,-376.7
"27"," 1. Exports and imports of certain goods, primarily military equipment purchased and sold by the Federal Government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,"in services.  Beginning with 1986, repairs and alterations of equipment are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,"reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
