"","Table 6#17C# Corporate Profits Before Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17"
"43","36","  Transportation and public utilities",43499,47824,44641,45931,51911,58488,69300,82954,85894,92023,83991,78867,57813,37387,26210
"44","37","    Transportation",4475,7213,2209,954,909,2219,6368,10316,11613,16157,18639,21013,15628,13102,652
"45","38","      Railroad transportation",1230,1774,-251,829,860,1037,1161,2964,3184,3025,1287,342,6,NA,NA
"46","39","      Local and interurban passenger transit",35,64,201,-20,319,319,228,326,423,584,490,685,415,NA,NA
"47","40","      Trucking and warehousing",1821,2122,1999,2513,3334,4539,5224,5207,3595,4445,5483,8851,8072,NA,NA
"48","41","      Water transportation",4,434,538,543,597,301,453,391,444,662,932,832,358,NA,NA
"49","42","      Transportation by air",242,1778,-1402,-3969,-5596,-5305,-2280,-38,2166,5168,8334,7547,5032,NA,NA
"50","43","      Pipelines, except natural gas",889,802,756,734,696,664,711,677,788,772,683,1109,499,NA,NA
"51","44","      Transportation services",254,239,368,324,699,664,871,789,1013,1501,1430,1647,1246,NA,NA
"52","45","    Communications",19846,19519,18268,20049,23430,27604,33202,36837,33604,35012,25570,22684,6008,-5591,-6046
"53","46","      Telephone and telegraph",19825,19575,19011,20520,22877,25730,29700,32564,30543,34562,25012,22068,12211,NA,NA
"54","47","      Radio and television",21,-56,-743,-471,553,1874,3502,4273,3061,450,558,616,-6203,NA,NA
"55","48","    Electric, gas, and sanitary services",19178,21092,24164,24928,27572,28665,29730,35801,40677,40854,39782,35170,36177,29876,31604
"56","49","  Wholesale trade",21498,25953,24854,21201,22266,26481,30614,36883,35546,41588,46315,49044,55101,64549,41164
"57","50","  Retail trade",25885,24707,25193,24896,29584,36265,41831,49187,47471,54806,62648,74172,77637,75773,78962
"58","51","  Finance, insurance, and real estate",59076,68513,75244,88334,115431,123398,129104,117726,160062,171827,195658,174415,197925,222617,211099
"59","52","    Depository institutions",52192,55112,63734,75027,88314,95692,86732,81639,99679,99677,106853,99015,114753,NA,NA
"60","53","      Federal Reserve banks",15698,17612,20169,21395,20273,17828,16127,17784,22202,21784,23383,24575,25790,NA,NA
"61","54","      Commercial and mutual depository institutions",36494,37500,43565,53632,68041,77864,70605,63855,77477,77893,83470,74440,88963,NA,NA
"62","55","    Nondepository institutions",3576,4842,7277,8513,10699,14635,16557,17343,19594,22356,22144,22572,28215,NA,NA
"63","56","    Security and commodity brokers",1158,-1351,-2710,419,-1471,1843,3986,5995,1806,5121,11349,14185,9679,NA,NA
"64","57","    Insurance carriers",91,10592,12975,8393,19196,9616,16132,19298,24444,28529,23593,15107,4681,NA,NA
"65","58","    Insurance agents, brokers, and service",2970,2446,2507,2831,2904,3024,3130,3917,4129,4453,4628,6100,5751,NA,NA
"66","59","    Real estate",-1096,-855,-3018,-4970,-6880,-4049,-1785,-483,1674,3369,5691,8037,8535,NA,NA
"67","60","    Holding and other investment offices",185,-2273,-5521,-1879,2669,2637,4352,-9983,8736,8322,21400,9399,26311,NA,NA
"68","61","  Services",14776,15745,16111,19836,24288,33150,41506,46326,51327,56453,61055,51650,52748,13076,17559
"69","62","    Hotels and other lodging places",-640,-588,-1066,-1478,-1102,-324,708,1318,2072,2544,2727,1782,3203,NA,NA
"70","63","    Personal services",878,1058,1642,1637,1537,1697,1783,2207,2510,2327,2866,3815,3299,NA,NA
"71","64","    Business services",4686,6001,6416,6925,7282,12450,16380,17101,18917,20679,24726,14771,7252,NA,NA
"72","65","    Auto repair, services, and parking",68,39,-403,-210,4,-190,338,255,170,368,1292,2053,1752,NA,NA
"73","66","    Miscellaneous repair services",504,692,760,792,798,822,881,911,996,1236,1208,1238,1361,NA,NA
"74","67","    Motion pictures",-691,-169,-731,-936,-1332,-52,-113,-646,-395,-155,-1329,-2383,-881,NA,NA
"75","68","    Amusement and recreation services",-526,240,651,414,659,1593,1517,1571,1315,2439,3370,911,755,NA,NA
"76","69","    Other services",10497,8472,8842,12692,16442,17154,20012,23609,25742,27015,26195,29463,36007,NA,NA
"77","70","      Health services",6384,5033,4800,7503,11267,11133,13209,15401,15198,15477,13433,13804,18631,NA,NA
"78","71","      Legal services",1714,1151,1233,1448,1331,1937,1801,2193,2892,3044,3637,3989,4543,NA,NA
"79","72","      Educational services",334,339,310,473,659,590,474,684,823,677,557,1270,952,NA,NA
"80","73","      Other \1\",2065,1949,2499,3268,3185,3494,4528,5331,6829,7817,8568,10400,11881,NA,NA
"81","74","Rest of the world \2\",48032,56683,64240,72722,74315,68716,76741,77238,92012,100853,110690,102259,120235,143336,150760
"82","75","  Receipts from the rest of the world",59320,71701,75248,79909,73652,74891,89733,104463,128354,140623,159424,145347,175539,203847,172397
"83","76","  Less: Payments to the rest of the world",11288,15018,11008,7187,-663,6175,12992,27225,36342,39770,48734,43088,55304,60511,21637
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85"," 1. Consists of social services; membership organizations;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","engineering and management services, except for commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","research and testing services and for management and public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","relations; and services, not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89"," 2. Consists of receipts by all U.S. residents, including both",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","corporations and persons, of dividends from their incorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","foreign affiliates, their share of reinvested earnings of their",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","incorporated foreign affiliates, and earnings of unincorporated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","foreign affiliates (line 75), net of corresponding payments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","(line 76).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
