"","Table 8#6# Contributions to Percent Change in Real Government Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75"
"11","2","  Federal","A823RZ",1.98,0.65,0.36,4.66,8.98,0.65,16.33,-3.82,4.04,1.21,3.29,69.64,137.66,50.31,13.11,-13.14,-66.36,-18.5,4.59,5.57,-3.37,35.73,20.48,5.54,-9.4,-6.18,-1.08,2.21,-0.04,4.19,-1.78,2.23,4.72,-0.17,-0.96,0.11,6.01,5.25,0.51,-1.78,-3.63,-3.49,-1.03,-2.28,-0.19,0,-0.49,0.74,1.12,1.02,2.02,2.02,1.63,2.87,1.47,3.58,2.58,1.71,-0.84,0.59,0.89,-0.14,-0.7,-1.63,-1.48,-1.06,-0.35,-0.14,-0.28,0.82,0.43,1.61
"12","3","    National defense","A824RZ",0.7,0.05,0.03,-0.31,-1.09,1.68,1.79,0.06,0.42,1.28,7.1,72.43,140.58,51.44,12.8,-12.61,-67.37,-20.62,0.26,2.03,-0.72,37.77,19.44,3.84,-8.95,-5.64,-0.39,2.28,-0.28,1.3,-0.96,1.97,2.79,-1.2,-1.96,-0.75,5.84,5.37,0.79,-2.04,-3.47,-3.92,-1.79,-2.24,-0.8,-0.37,-0.63,0.22,0.23,0.82,1.22,1.81,2.34,2.26,1.66,2.95,2.22,1.65,-0.27,-0.26,-0.01,-0.35,-1.52,-1.59,-1.35,-0.99,-0.34,-0.65,-0.42,0.48,-0.01,1.06
"13","4","      Consumption expenditures","A997RZ",0.4,-0.25,0.11,-0.56,-1.24,1.8,0.42,-0.21,0.51,1.19,3.99,33.57,69.19,33.58,12.02,-2.56,-45.63,-18.84,-2.21,-0.16,0.6,24.9,13.29,2.07,-5.93,-2.96,0.11,2.88,-0.96,-0.88,0.23,0.72,2.51,0.37,-1.1,0.21,4.51,4.47,1.66,-1.46,-3.05,-2.62,-2.08,-2.12,-0.91,-0.76,-0.56,0.16,0.24,0.26,0.94,1.39,1.77,1.39,0.9,1.74,1.29,1.04,0.23,-0.28,-0.2,-0.02,-1.34,-1.02,-1.11,-0.83,-0.44,-0.27,-0.54,0.31,-0.08,0.92
"14","5","        Durable goods \2\","A998RZ",0.11,0.07,0.03,0.04,-0.03,0,0.14,0.01,0,0.1,0.18,8.04,23.95,9.42,1.15,0.62,-13.44,1.78,1.07,0.48,1.49,4.85,5.29,1.14,-2.79,-1.33,-0.36,0.28,0.2,-1.12,-0.94,-0.74,0.74,-0.03,-0.59,0.44,1.23,0.14,0.67,-0.61,-0.3,-0.82,0.06,-0.28,-0.32,0.39,-0.23,0.4,0.27,0.13,0.04,0.31,0.25,0.58,0.06,0.27,0.21,0.19,0,-0.18,-0.18,-0.04,-0.24,-0.18,-0.31,-0.18,-0.01,0.01,0.01,0.09,0,0.09
"15","6","        Nondurable goods","A725RZ",0.15,0.13,0.17,-0.06,-0.78,0.69,0.03,-0.5,0.13,0,0.28,3.17,15.09,5.21,0.89,-2.32,-6.25,-1.16,0.88,0.31,0.09,2.9,0.98,1.93,-1.71,-2.13,-0.03,0.4,0.03,0.23,0.15,0.39,0.56,-0.14,0.16,-0.12,0.72,1.45,0.53,-0.44,-1,-0.4,0.01,-0.48,-0.24,-0.31,-0.26,-0.08,0.01,0.04,0.15,0.12,-0.02,0.05,-0.08,-0.01,0.26,-0.02,-0.04,-0.03,-0.12,0.01,-0.06,-0.06,-0.06,-0.11,0.06,0,0.02,0.05,0.03,0.03
"16","7","        Services","A489RZ",0.14,-0.45,-0.09,-0.54,-0.43,1.11,0.25,0.28,0.39,1.09,3.53,22.35,30.15,18.95,9.98,-0.85,-25.94,-19.46,-4.15,-0.95,-0.99,17.15,7.03,-1,-1.43,0.49,0.5,2.2,-1.19,0,1.02,1.06,1.21,0.54,-0.67,-0.11,2.56,2.88,0.46,-0.41,-1.75,-1.4,-2.15,-1.35,-0.35,-0.84,-0.07,-0.15,-0.04,0.09,0.75,0.96,1.53,0.75,0.91,1.48,0.81,0.87,0.26,-0.06,0.1,0.01,-1.05,-0.79,-0.75,-0.55,-0.49,-0.29,-0.56,0.18,-0.11,0.8
"17","8","          Compensation of general government employees, except own-account investment \3\","A395RZ",0.17,-0.16,-0.38,-0.68,-0.13,0.9,0.01,0.26,0.29,0.54,3.36,15.97,20.63,15.05,4.76,-1.81,-24.56,-15.68,-0.58,0.98,0.9,11.85,2.98,-0.4,-1.09,-0.91,-0.47,-0.26,-1,-0.41,-0.01,0.31,0.64,-0.25,0,0.01,1.5,1.36,0.2,0.02,-1.15,-1.2,-1.21,-0.78,-0.22,-0.2,-0.27,-0.12,0.09,-0.11,0.07,0.37,0.28,0.19,0.18,0.25,0.06,0.11,-0.15,-0.01,-0.07,-0.04,-0.69,-0.49,-0.55,-0.55,-0.41,-0.34,-0.28,-0.23,-0.03,0.05
"18","9","          Consumption of general government fixed capital \4\","B432RZ",-0.03,-0.02,-0.02,-0.04,0.01,0,0.04,0.02,0.08,0.1,0.12,1.8,4.86,4.26,3.25,1.6,-0.49,-4.35,-4.39,-2.76,-1.72,-0.34,0.9,0.86,0.54,0.16,0.06,0.03,0.01,0.2,0.25,0.2,0.27,0.19,0.07,-0.01,0.03,0.16,0.13,0.03,-0.07,-0.19,-0.23,-0.22,-0.19,-0.1,-0.04,-0.05,-0.02,0.01,0.05,0.09,0.12,0.18,0.25,0.33,0.35,0.32,0.24,0.19,0.16,0.12,0.07,0.02,-0.02,-0.04,-0.03,-0.02,-0.02,0,0,-0.01
"19","10","          Other services","A726RZ",0,-0.26,0.32,0.17,-0.31,0.21,0.2,0.01,0.02,0.45,0.06,4.58,4.66,-0.36,1.97,-0.64,-0.89,0.57,0.81,0.83,-0.17,5.64,3.14,-1.46,-0.88,1.24,0.92,2.43,-0.2,0.22,0.78,0.56,0.3,0.6,-0.73,-0.11,1.03,1.37,0.12,-0.45,-0.53,0,-0.7,-0.36,0.06,-0.55,0.24,0.01,-0.1,0.19,0.63,0.5,1.13,0.38,0.49,0.9,0.41,0.43,0.17,-0.24,0.01,-0.07,-0.43,-0.32,-0.18,0.04,-0.06,0.07,-0.27,0.4,-0.08,0.76
"20","11","      Gross investment","A788RZ",0.3,0.3,-0.08,0.24,0.15,-0.12,1.37,0.27,-0.1,0.09,3.1,38.86,71.39,17.86,0.77,-10.05,-21.74,-1.78,2.47,2.19,-1.32,12.87,6.14,1.77,-3.02,-2.68,-0.5,-0.59,0.68,2.18,-1.19,1.26,0.29,-1.57,-0.86,-0.96,1.34,0.9,-0.87,-0.58,-0.41,-1.3,0.29,-0.12,0.12,0.39,-0.07,0.06,-0.02,0.56,0.28,0.42,0.58,0.87,0.76,1.21,0.94,0.61,-0.49,0.01,0.19,-0.33,-0.18,-0.57,-0.24,-0.16,0.1,-0.38,0.12,0.17,0.07,0.14
"21","12","        Structures","A808RZ",0.17,0.19,0,0.01,0.2,-0.11,1.02,0.26,-0.27,-0.2,2.74,18.07,20.66,-7.99,-3.45,-0.81,-1.5,-0.41,0.54,-0.02,0.22,2.83,1.72,0.07,-0.55,-0.72,-0.17,0.05,0.26,-0.09,-0.26,0.12,-0.34,-0.27,-0.28,-0.09,0.04,-0.06,-0.02,0.04,-0.12,0.15,-0.07,-0.01,-0.06,-0.02,-0.07,0.01,0.01,-0.09,0.08,-0.03,0.09,0.11,-0.02,0.14,0.06,0.06,-0.06,-0.14,-0.04,-0.13,0.04,-0.04,0.03,0.02,0.02,-0.08,-0.03,-0.02,-0.01,-0.01
"22","13","        Equipment and software","A873RZ",0.14,0.11,-0.08,0.23,-0.05,-0.01,0.35,0.02,0.17,0.29,0.37,20.79,50.74,25.86,4.22,-9.24,-20.24,-1.37,1.93,2.21,-1.54,10.04,4.42,1.7,-2.46,-1.96,-0.33,-0.65,0.43,2.27,-0.93,1.13,0.62,-1.3,-0.58,-0.87,1.29,0.95,-0.86,-0.62,-0.29,-1.44,0.36,-0.11,0.18,0.41,0,0.06,-0.02,0.65,0.2,0.45,0.49,0.76,0.78,1.07,0.87,0.55,-0.43,0.16,0.23,-0.19,-0.22,-0.53,-0.27,-0.18,0.08,-0.3,0.15,0.19,0.08,0.14
"23","14","    Nondefense","A825RZ",1.28,0.6,0.33,4.97,10.07,-1.03,14.54,-3.88,3.62,-0.07,-3.81,-2.79,-2.93,-1.13,0.31,-0.54,1.01,2.12,4.33,3.54,-2.65,-2.04,1.04,1.71,-0.45,-0.54,-0.69,-0.08,0.24,2.89,-0.82,0.26,1.93,1.03,1,0.86,0.17,-0.12,-0.28,0.26,-0.16,0.42,0.76,-0.04,0.61,0.37,0.14,0.51,0.89,0.19,0.79,0.21,-0.72,0.61,-0.19,0.63,0.36,0.06,-0.57,0.86,0.9,0.21,0.82,-0.04,-0.13,-0.06,0,0.51,0.14,0.34,0.44,0.55
"24","15","      Consumption expenditures","A542RZ",0.69,-0.14,-0.83,3.15,7.85,-3.48,15.83,-3.22,3.59,0.51,-3.84,-5.88,-1.33,-1,0.72,-0.72,1.25,1.18,3.86,2.67,-3.07,-1.69,1.1,1.94,-0.3,-0.15,-0.97,-0.23,-0.01,2.89,-1.09,-0.11,1.59,0.64,0.63,0.47,0.08,0.4,-0.01,0.43,-0.07,0.35,0.7,-0.08,0.57,0.3,0.03,0.41,0.54,0.24,0.63,0.22,-0.58,0.37,-0.34,0.5,0.31,-0.12,-0.44,0.74,0.73,0.06,0.62,-0.15,0.02,-0.17,-0.2,0.4,-0.14,0.08,0.4,0.47
"25","16","        Durable goods \2\","A543RZ",0,0.01,0,0.04,0.5,0.1,-0.19,-0.02,0.12,-0.03,0.04,0.69,-0.31,-0.06,-0.2,-0.27,0.02,0.41,0.44,0.18,-0.01,-0.01,-0.03,-0.04,-0.06,0.02,0.06,-0.02,0.02,-0.08,0,0.05,0.05,0.05,0.05,0.07,-0.01,-0.07,-0.06,-0.04,-0.03,0,-0.02,0.01,-0.02,0.02,-0.02,0.01,-0.01,-0.04,0.13,0.01,0.04,0.02,0,-0.02,-0.02,0,-0.01,0.01,0.03,0.01,0.03,0.04,0.04,-0.01,0.02,0.02,-0.1,0.09,0.01,0.01
"26","17","        Nondurable goods","A729RZ",0.05,-0.21,-0.41,0.72,1.37,-1.61,1,0.58,-0.02,-0.12,-2.42,-1.62,1.61,-1.71,1.38,-0.88,0.26,0.54,1.49,2.94,-3.3,-0.79,0.5,2.25,-0.19,0.2,-1.72,-0.05,-0.05,2.54,-1.86,-0.64,0.88,-0.23,-0.14,0.04,-0.56,0.49,0.3,0.46,-0.45,0,0.12,-0.18,0.24,0.01,0.13,0.07,-0.02,-0.02,0.25,0.58,-0.35,0.09,-0.45,0.35,0.4,-0.57,-0.57,0.61,-0.01,0.01,0.08,0.01,-0.01,-0.02,-0.02,0.12,0.02,-0.13,-0.01,0.13
"27","18","        Services","A544RZ",0.63,0.06,-0.42,2.39,5.99,-1.97,15.01,-3.78,3.5,0.66,-1.46,-4.95,-2.64,0.77,-0.45,0.42,0.97,0.24,1.93,-0.45,0.24,-0.89,0.62,-0.27,-0.05,-0.38,0.69,-0.15,0.02,0.42,0.77,0.48,0.67,0.82,0.72,0.36,0.65,-0.02,-0.25,0,0.41,0.35,0.59,0.09,0.35,0.27,-0.08,0.33,0.57,0.29,0.25,-0.38,-0.26,0.26,0.11,0.16,-0.07,0.45,0.14,0.12,0.72,0.03,0.5,-0.21,-0.01,-0.13,-0.2,0.26,-0.07,0.12,0.4,0.34
"28","19","          Compensation of general government employees, except own-account investment \3\","B545RZ",0.7,-0.38,-0.18,1.68,5.02,-0.81,13.74,-4.03,3.19,0,-1.38,-4.86,-3,0.18,-0.34,0.21,1.12,1.12,0.84,-0.34,0.66,-0.59,-0.15,-0.32,-0.15,0.06,0.09,0.09,0.12,-0.03,0.33,0.11,0.24,0.28,0.12,0.09,0.19,0.21,0.12,0.05,0.06,0.16,0.15,0.03,0.28,0.11,0.29,0.15,0.16,-0.01,0.16,-0.17,-0.11,0.08,0,0.01,-0.07,0.08,0.12,0.02,0.24,-0.01,0.09,-0.02,-0.16,-0.23,-0.15,-0.03,0.06,0.02,0.17,-0.03
"29","20","          Consumption of general government fixed capital \4\","B546RZ",0.01,0.05,0.04,0.07,0.21,0.33,0.29,0.18,0.19,0.2,0.14,0.27,0.19,0.04,0.01,0.01,0.02,0.03,0.04,0.02,0.02,0.02,0,0,0,-0.01,-0.01,0,0,-0.01,0,0.01,0.04,0.06,0.08,0.1,0.11,0.08,0.05,0.03,0.02,0.01,0,0.01,0.01,0.02,0.02,0.02,0.06,0.04,0.06,0.06,0.05,0.07,0.08,0.08,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.04,0.05,0.06,0.09,0.11,0.12,0.15,0.14,0.11
"30","21","          Other services","B730RZ",-0.08,0.4,-0.28,0.64,0.76,-1.48,0.99,0.08,0.12,0.46,-0.22,-0.37,0.16,0.55,-0.13,0.21,-0.17,-0.91,1.06,-0.14,-0.45,-0.32,0.77,0.05,0.11,-0.43,0.61,-0.24,-0.1,0.46,0.44,0.36,0.39,0.48,0.52,0.17,0.35,-0.31,-0.41,-0.08,0.32,0.18,0.44,0.06,0.05,0.15,-0.39,0.16,0.36,0.26,0.03,-0.26,-0.2,0.11,0.02,0.08,-0.06,0.31,-0.04,0.04,0.41,-0.01,0.36,-0.23,0.1,0.03,-0.14,0.19,-0.25,-0.05,0.1,0.26
"31","22","      Gross investment","A798RZ",0.59,0.74,1.16,1.83,2.22,2.45,-1.29,-0.67,0.03,-0.58,0.03,3.1,-1.59,-0.13,-0.41,0.19,-0.24,0.93,0.48,0.88,0.41,-0.35,-0.06,-0.23,-0.14,-0.39,0.27,0.15,0.25,0.01,0.27,0.37,0.34,0.39,0.38,0.39,0.08,-0.52,-0.27,-0.17,-0.09,0.07,0.06,0.05,0.04,0.07,0.11,0.1,0.35,-0.05,0.16,-0.01,-0.14,0.24,0.15,0.13,0.04,0.18,-0.13,0.12,0.17,0.15,0.21,0.11,-0.15,0.1,0.19,0.11,0.28,0.26,0.04,0.08
"32","23","        Structures","A830RZ",0.54,0.72,1.22,1.63,0.25,2.05,-0.53,-0.64,-0.42,-0.5,-0.14,0.16,-0.53,-0.09,-0.21,-0.04,-0.17,0.76,0.83,0.96,0.3,-0.34,-0.11,-0.07,-0.15,-0.32,0.25,0.18,0.28,0.07,0.17,0.16,0.18,0.13,0.13,0.1,-0.01,-0.4,-0.12,-0.15,0.01,0.09,0.03,0.08,-0.03,0.04,0.08,0.04,0.19,-0.09,0.01,-0.02,-0.22,-0.03,0.03,0.02,0.06,0.09,-0.24,-0.02,0.08,0.08,0.08,0.06,-0.09,0,0,-0.12,0.08,0,-0.08,-0.04
"33","24","        Equipment and software","B880RZ",0.05,0.02,-0.06,0.19,1.97,0.4,-0.76,-0.02,0.45,-0.08,0.17,2.94,-1.06,-0.04,-0.2,0.23,-0.07,0.17,-0.36,-0.08,0.12,-0.01,0.05,-0.16,0,-0.07,0.02,-0.03,-0.03,-0.06,0.1,0.2,0.16,0.26,0.25,0.3,0.09,-0.13,-0.15,-0.02,-0.09,-0.02,0.03,-0.03,0.07,0.03,0.04,0.06,0.16,0.04,0.15,0.01,0.08,0.27,0.12,0.11,-0.01,0.09,0.11,0.14,0.09,0.07,0.12,0.06,-0.06,0.11,0.19,0.23,0.2,0.25,0.12,0.11
"34","25","  State and local","A829RZ",8.18,3.67,-3.69,-8.25,3.77,2.32,-0.29,0.21,3.44,7.94,-1.79,-3.5,-2.98,-1.25,-0.31,0.21,0.91,3.9,2.49,6.11,3.41,0.35,0.55,1.46,2.52,2.44,1.15,2.24,3.25,1.44,1.75,2.59,1.31,2.53,2.92,3.02,2.96,2.29,2.67,1.36,1.37,1.64,1.15,1.56,2.01,1.91,0.58,0.25,1.97,0.9,-0.03,-1.12,-0.08,0.47,2,2.87,2.86,1.26,2,2.16,2.37,1.29,1.17,0.83,1.57,1.51,1.46,2.49,2.2,3.04,2.29,2.05
"35","26","    Consumption expenditures","A991RZ",3.49,3.21,0.87,-1,1.44,3.3,-10.49,3.21,0.15,3.71,2.28,1.52,0.71,-0.08,-0.15,0.11,0.27,1.67,0.33,2.72,1.9,-0.1,0.31,0.71,0.86,1.55,0.87,1.36,2.04,1.07,1.59,1.64,0.86,1.48,2.01,2.1,2.05,1.48,2.09,1.9,2.17,1.99,1.54,1.49,1.91,2.02,0.77,0.92,1,0.36,-0.09,-0.16,0.57,0.36,0.92,1.87,2.2,1,1.48,1.6,1.56,1.05,1.03,0.89,1.22,0.99,1.08,1.35,1.82,2,1.97,1.66
"36","27","      Durable goods \2\","B989RZ",-0.09,0.1,-0.04,-0.08,-0.13,0.03,-0.01,0.1,0.07,0.09,-0.12,-0.11,-0.04,-0.02,0,0,0.02,0.07,0.08,0.02,0,0.02,0.02,0.01,0.03,-0.01,0.03,0.07,0,0.02,0.02,0.02,0.02,0.02,0.03,0.05,0.03,0.03,0.03,0.03,0.03,0.05,0.04,0.09,0.07,0.06,0.07,0.06,0.02,0.01,-0.02,0.03,0.03,0.05,0.05,0.05,0.08,0.04,0.03,0.04,0.03,0.05,0.04,0.01,0.01,0.02,0.03,0.06,0.07,0.07,0.07,0.06
"37","28","      Nondurable goods","B337RZ",1.17,1.06,0.73,-0.13,0.61,-0.38,-0.76,-0.15,0.85,0.44,0.21,0.11,-0.08,-0.08,-0.02,0,-0.12,0.19,-0.19,0.75,0.39,-0.54,-0.02,-0.02,0.05,0.3,-0.16,0.04,0.4,0.44,0.1,0.16,0.02,0.06,0.15,0.16,0.12,0.07,0.2,0.29,0.38,0.38,0.17,0.11,0.13,0.47,0.38,0.32,0.14,-0.06,-0.29,-0.05,0.11,0.25,0.26,0.33,0.42,0.13,0.13,0.19,0.18,0.27,0.26,0.25,0.29,0.19,0.3,0.17,0.39,0.48,0.42,0.36
"38","29","      Services","A988RZ",2.42,2.05,0.18,-0.79,0.96,3.65,-9.72,3.26,-0.76,3.17,2.18,1.52,0.82,0.03,-0.13,0.11,0.37,1.42,0.43,1.95,1.51,0.43,0.31,0.72,0.79,1.26,1,1.25,1.64,0.61,1.47,1.46,0.81,1.4,1.84,1.89,1.9,1.38,1.86,1.58,1.76,1.56,1.34,1.28,1.71,1.49,0.33,0.54,0.84,0.4,0.22,-0.14,0.42,0.06,0.6,1.49,1.7,0.84,1.33,1.37,1.34,0.73,0.72,0.63,0.92,0.77,0.75,1.12,1.35,1.45,1.48,1.24
"39","30","        Compensation of general government employees, except own-account investment \3\","B987RZ",1.26,1.15,-0.3,-0.85,-0.57,3.05,-9.12,2.98,-1.48,2.21,1.76,1.19,0.91,0.23,-0.08,0.14,0.33,1.16,0.52,1.44,0.67,0.48,0.49,0.66,0.64,0.76,1.12,1.04,1.18,0.71,1.13,1.15,0.78,1.15,1.43,1.49,1.5,1.03,1.52,1.18,1.23,1.22,1.11,1.14,1.19,1.02,0.42,0.52,0.81,0.55,0.4,-0.1,0.17,-0.23,0.09,0.91,0.9,0.56,1.1,0.95,0.93,0.25,0.4,0.36,0.45,0.61,0.42,0.61,0.63,0.45,0.75,0.79
"40","31","        Consumption of general government fixed capital \4\","B986RZ",0.43,0.38,0.3,0.19,0.13,0.11,0.16,0.19,0.23,0.45,0.21,0.09,0,-0.03,-0.02,-0.02,-0.01,0.02,0.09,0.14,0.15,0.16,0.12,0.11,0.12,0.14,0.15,0.18,0.18,0.17,0.16,0.17,0.16,0.17,0.19,0.2,0.21,0.2,0.18,0.17,0.16,0.15,0.13,0.13,0.15,0.14,0.12,0.1,0.09,0.1,0.11,0.09,0.08,0.08,0.11,0.14,0.15,0.15,0.16,0.19,0.21,0.2,0.18,0.17,0.18,0.2,0.21,0.24,0.27,0.29,0.28,0.24
"41","32","        Other services","B575RZ",0.73,0.51,0.18,-0.13,1.4,0.49,-0.76,0.09,0.49,0.51,0.21,0.24,-0.09,-0.17,-0.02,-0.01,0.05,0.24,-0.18,0.37,0.69,-0.21,-0.3,-0.05,0.03,0.35,-0.28,0.03,0.28,-0.27,0.18,0.15,-0.13,0.08,0.23,0.2,0.19,0.15,0.16,0.22,0.38,0.19,0.09,0.01,0.38,0.33,-0.21,-0.08,-0.06,-0.25,-0.29,-0.13,0.17,0.21,0.4,0.45,0.65,0.13,0.07,0.23,0.2,0.28,0.14,0.09,0.29,-0.04,0.12,0.27,0.45,0.7,0.45,0.21
"42","33","    Gross investment","A799RZ",4.69,0.46,-4.56,-7.25,2.34,-0.98,10.2,-3,3.28,4.24,-4.06,-5.02,-3.68,-1.17,-0.16,0.1,0.64,2.23,2.16,3.39,1.51,0.44,0.24,0.75,1.65,0.89,0.28,0.88,1.21,0.37,0.16,0.95,0.44,1.05,0.91,0.92,0.9,0.81,0.58,-0.54,-0.8,-0.35,-0.39,0.07,0.1,-0.12,-0.19,-0.67,0.98,0.55,0.06,-0.96,-0.64,0.11,1.08,1,0.66,0.26,0.51,0.55,0.82,0.24,0.14,-0.06,0.34,0.52,0.37,1.15,0.38,1.04,0.32,0.39
"43","34","      Structures","A842RZ",5.05,0.23,-4.42,-6.9,2.42,-0.97,10.24,-3.31,3.14,3.97,-3.78,-4.69,-3.54,-1.12,-0.16,0.11,0.58,2,1.93,3.34,1.49,0.4,0.18,0.71,1.58,0.92,0.17,0.67,1.21,0.3,0.04,0.92,0.37,0.9,0.76,0.84,0.78,0.76,0.53,-0.63,-0.85,-0.37,-0.53,-0.08,-0.03,-0.09,-0.17,-0.64,0.89,0.41,-0.05,-0.95,-0.73,-0.1,0.8,0.72,0.48,0.17,0.35,0.17,0.6,0.27,0.03,-0.18,0.06,0.28,0.11,0.86,-0.05,0.68,0.1,0.23
