"","Table 8#20# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"18","11","  Other private business","A2065C","1.6","1.8","2.1","2.3","2.7","3.1","3.5","3.9","4.5","5.2","5.9","6.9","7.8","8.9",9.8,10.7,11.9,13,14.3,15.7,17.1,18.1,19.9,21.8,24,26.8,30.3,34.8,40.2,44.9,50.6,59,70.8,84.8,100.2,116.1,132.3,144.9,163.2,183.2,202.3,217.6,233.6,253.5,269.5,277.7,276.9,268.5,268.1,288.4,297,312.4,326.6,347.1,381.5,404.6
"19","12","    Rental income of persons","B1130C","1.6","1.8","2.0","2.2","2.6","3.0","3.3","3.8","4.3","5.0","5.8","6.7","7.6","8.7",9.6,10.5,11.6,12.7,14,15.3,16.6,17.5,19.2,21,23.1,25.8,29.3,33.6,38.7,42.8,48.2,56.3,67.5,80.4,94.5,108.7,124.1,135.8,153.8,173.2,191.9,206.1,220.8,239.4,255.2,263.2,262.1,251.7,252.3,272.3,280.3,295.4,309.3,329.5,363.7,386.7
"20","13","    Nonprofit institutions serving individuals","B1131C","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1",0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.8,0.8,0.9,1.1,1.3,1.4,1.6,1.7,2.1,2.7,3.4,4.4,5.2,6.1,6.7,7.8,8.3,9.5,10.7,11.7,11.9,12.3,12.8,14.8,13.9,14.7,15.4,15.8,16,16.4,16.6,16.7
"21","14","    Proprietors' income","B2631C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.1","0.1","0.1","0.1","0.1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.3,0.6,0.8,1,1.2,1.7,2.3,3,3,3,2.7,2.3,2.1,2,2.1,2.5,2.4,2.2,2,1.9,1.9,1.4,1.3,1.2,1.2,1.2,1.2,1.2
"22","15","Persons","B069RC","0.7","1.1","1.4","1.8","2.3","2.5","2.9","3.6","3.8","4.4","5.1","5.5","5.6","6.1",7,7.3,7.8,8.9,10,11.1,12,12.5,13.8,15.7,16.8,17.8,19.6,22.4,24.2,24.5,26.6,30.7,37.5,44.5,49.4,54.6,58.8,65,75,83.2,90.6,91.5,92.9,106.4,115.8,118.9,118.7,115.4,117.9,134.7,149.9,164.8,173.7,179.5,205.4,205.4
"23","16","Government","A180RC",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",10.4,10.2,11.1,12,12.9,13.7,15.1,16.4,18.8,20.7,23.4,24.5,26.3,31.3,35.6,40,46.3,50.8,60.2,72.9,89.1,116.7,138.9,156.9,187.3,211.5,226.1,236.5,253.7,276.9,297.8,314.6,316.3,316,326.9,357.5,366.6,371.2,372.2,360,363.6,341.1
"24","17","  Federal","A091RC",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",8.4,7.9,8.6,9.3,10,10.6,11.6,12.7,14.6,15.8,17.7,17.9,18.8,22.8,26,28.9,33.8,37.1,45.3,55.7,69.7,93.9,111.8,124.6,150.3,169.4,178.2,184.6,199.3,219.3,237.5,250.9,251.3,251.3,261.2,289.6,296.2,298.6,296.8,281.3,282.2,257.8
"25","18","  State and local","B111RC","0.6","0.6","0.5","0.6","0.6","0.7","0.7","0.8","0.9","1.1","1.2","1.4","1.6","1.8",2.1,2.2,2.5,2.7,2.9,3.1,3.4,3.8,4.2,4.8,5.6,6.5,7.5,8.5,9.6,11.1,12.5,13.7,14.9,17.2,19.4,22.8,27.1,32.3,37,42.1,48,51.9,54.4,57.6,60.4,63.7,65,64.7,65.7,67.8,70.4,72.6,75.4,78.7,81.4,83.3
"26","19","Rest of the world","A2067C1","0.2","0.2","0.3","0.3","0.3","0.4","0.4","0.4","0.5","0.5","0.5","0.6","0.7","0.8",1,1.2,1.4,1.6,1.8,2.1,2.4,2.7,3.1,3.7,4.1,4.1,4.4,6,9.5,9.9,11.5,13.7,18,27.5,37.5,57.1,65.1,60.3,75.6,65,60.8,62.6,79.1,100.9,107.2,92.7,74.7,63.3,78.3,102.1,103.2,120.1,138.9,139.1,177.2,142.1
"27","20","  To business and persons","B1132C","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.4","0.5",0.7,0.8,0.9,1.1,1.3,1.6,1.8,2,2.3,2.7,3.2,3.2,3.5,5,8.5,8.8,10.2,12.1,16.2,25.2,35,53.9,61.5,55.7,70.6,59.8,54.8,57.6,72.7,96.3,99.3,87.2,69.6,59.4,75.1,98.2,99.1,116.9,135.7,136.2,173.6,138.9
"28","21","  To Federal Government","B1133C","0.0","0.1","0.1","0.1","0.1","0.2","0.2","0.3","0.3","0.3","0.2","0.2","0.3","0.3",0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.8,0.9,0.9,0.9,0.9,0.9,1.1,1.1,1.3,1.6,1.8,2.2,2.5,3.1,3.6,4.6,5,5.3,6,5,6.4,4.6,8,5.5,5.1,3.9,3.2,3.9,4.1,3.2,3.2,2.9,3.6,3.2
"29","22","      Monetary interest received","A2068C",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",46,48.6,54.4,60.5,67.2,74.6,84.3,92.4,105,123.8,142.3,151.5,168.9,213.6,267.4,276.2,297.8,337.7,413.5,538.3,684.1,909,1019.5,1007.8,1171.8,1251.1,1299.9,1363.8,1532.7,1811.2,1848.8,1750.3,1571.9,1495.8,1617.6,1857,1933,2095.6,2284.8,2367.7,2773.5,2639.2
"30","23","Domestic business \1\","A2069C","6.0","6.4","7.1","7.8","8.6","9.6","10.8","12.1","12.9","14.6","16.7","19.0","20.1","23.2",26.4,27.7,30.9,34.3,37.9,41.7,47,51.4,59.4,71,81.3,86.2,97.4,127.7,162.1,163.8,175.7,196.6,243.1,317.5,402,537.1,585,567.4,642.8,699.8,722.8,778.7,892.5,1066.3,1073.7,1008.4,899.1,870,954.1,1136.2,1193.3,1315,1408.4,1511.2,1791.8,1668.3
"31","24","  Corporate business","A2070C","5.9","6.3","7.1","7.7","8.5","9.5","10.7","11.9","12.7","14.3","16.5","18.7","19.8","22.9",26,27.3,30.4,33.8,37.4,41.2,46.7,50.9,58.8,70.2,80.6,85.2,96.1,126.5,160.6,162.2,174.2,195.1,241.1,313.8,395.4,528.1,577,558.8,635.6,690.8,713.3,767.6,880.8,1052.8,1059.4,995.1,886.6,854.1,934,1111.1,1157.8,1268.9,1363.2,1456.5,1713.3,1613.2
"32","25","    Financial","B1134C","5.2","5.7","6.4","7.0","7.7","8.6","9.7","10.9","11.7","13.2","15.1","17.1","18.2","20.9",23.8,25,27.9,30.8,34.1,37.7,42.5,46.2,52.9,62.4,71.2,75.8,85.6,111.1,140.5,142.1,151.9,169.4,208,266.7,332.4,441.5,486.7,471.6,532.9,572.7,592,642.8,740.9,883.8,884.1,819.7,726,708.8,770,925.3,950.5,1040.9,1136.2,1208.3,1426.7,1332.5
"33","26","    Nonfinancial","B1135C","0.7","0.6","0.7","0.7","0.8","0.9","1.0","1.0","1.0","1.2","1.4","1.6","1.6","2.0",2.3,2.3,2.5,3,3.3,3.5,4.2,4.7,5.9,7.9,9.3,9.4,10.5,15.3,20.1,20.1,22.3,25.7,33.1,47.1,63,86.6,90.2,87.3,102.7,118.1,121.3,124.8,139.9,169,175.3,175.4,160.7,145.3,164,185.8,207.3,228,227,248.2,286.6,280.7
"34","27","  Financial sole proprietorships and partnerships \3\","B1136C","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.3","0.3",0.3,0.4,0.5,0.5,0.5,0.4,0.3,0.5,0.6,0.8,0.7,0.9,1.2,1.2,1.5,1.6,1.4,1.4,1.9,3.5,6.3,8.6,7.8,8.3,7,8.9,9.4,11,11.5,13.3,14,13.1,12.3,15.8,19.9,25,35.4,46,45.1,54.6,78.5,55
"35","28","  Other private business","B1137C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0,0,0,0,0,0,0
"36","29","Persons \3\","B1138C","4.6","5.1","5.6","6.1","6.7","7.3","7.7","8.5","9.4","10.1","11.3","12.9","14.1","15.5",17.3,18.5,20.8,23.2,26,29.1,32.5,35.6,39.1,44.6,51.5,56.2,61.1,71,85.1,91.7,101.5,117.7,135.4,168.4,213.8,280,327.1,331.9,394.4,409.2,424.9,424,452.5,526,548.5,527.9,490,452.9,467.5,485.5,491.3,493.8,571.5,555.3,619.9,630.4
"37","30","  Publicly administered government employee retirement plans","B1169C","0.2","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.5","0.5","0.5","0.6","0.7","0.9",1,1.1,1.3,1.5,1.7,1.9,2.2,2.6,2.7,2.9,3.8,4.4,5.3,5.7,6.3,7.8,9.6,10.5,12,14.4,18.3,21.9,29.2,35.1,39.2,45.8,52.7,58.4,63.2,69.3,72.8,77.4,75.8,81,90.4,101.7,101.7,115.8,118.5,120.6,121.8,115.8
"38","31","  Other","B1170C","4.4","4.9","5.3","5.8","6.4","7.0","7.4","8.1","9.0","9.6","10.8","12.3","13.4","14.7",16.3,17.3,19.5,21.7,24.3,27.2,30.4,33,36.4,41.6,47.7,51.8,55.8,65.2,78.8,84,91.9,107.2,123.4,154,195.5,258,297.9,296.8,355.2,363.5,372.2,365.6,389.4,456.7,475.6,450.6,414.2,371.9,377.2,383.8,389.6,378,453,434.6,498.2,514.6
"39","32","Government","A2071C",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",1.7,1.8,2,2.2,2.3,2.7,3.2,3.7,4.4,4.6,5.3,5.4,5.8,7.7,10.1,10.8,11.1,12.9,18.1,25.4,33.1,42.4,49.1,54,62.6,70.2,75.5,73.6,79.7,84,87.2,84.3,77,73,75.1,80.4,82.6,85.3,83.8,86.4,91.5,94
"40","33","  Federal","B1139C",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",1,1.1,1.3,1.3,1.2,1.4,1.6,1.9,2.2,1.9,2,2,2,2.1,2.4,2.9,3.5,4.1,6.2,8.4,10.8,14.4,17.4,19.6,22.3,24.5,27.1,24.2,26.6,25.1,26,24.6,21.1,20,20.5,20.9,21.3,20.9,17,16.1,17.9,18.4
"41","34","  State and local","B1140C","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.4","0.5","0.5","0.6",0.7,0.7,0.8,0.9,1.1,1.3,1.6,1.9,2.2,2.8,3.3,3.4,3.8,5.5,7.7,7.9,7.6,8.7,11.9,17.1,22.2,28,31.6,34.4,40.3,45.7,48.4,49.4,53.1,58.9,61.2,59.7,55.9,52.9,54.6,59.6,61.3,64.4,66.8,70.3,73.7,75.6
"42","35","Rest of the world","A2072C","0.0","0.1","0.0","0.0","0.1","0.1","0.1","0.1","0.1","0.1","0.2","0.3","0.3","0.4",0.6,0.6,0.6,0.8,1,1.1,1.5,1.6,2.2,3.6,4.2,3.7,4.6,7.3,10.1,9.8,9.5,10.6,16.9,27,35.2,49.5,58.2,54.5,72.1,71.8,76.7,87.5,107.9,135,139.5,129.6,105.8,100,120.9,154.8,165.9,201.5,221.1,214.9,270.2,246.5
"43","36","  From business","B1141C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.1",0.3,0.3,0.3,0.4,0.5,0.6,0.9,1,1.5,2.8,3.1,1.9,2,3.5,5.8,5.2,5,5,8.2,15.9,22.5,32.2,39,35.5,50.9,48.7,52.1,61.3,76.2,96.6,98.7,88.7,66.7,60.6,76.7,97.5,98.3,113.5,129.9,140.3,187.2,165.8
"44","37","  From Federal Government","B093RC","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.1","0.1","0.1","0.2","0.2","0.1","0.3",0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.7,0.8,1,1.8,2.7,3.8,4.3,4.5,4.5,5.5,8.7,11.1,12.7,17.3,19.3,19,21.2,23.1,24.6,26.2,31.7,38.4,40.8,40.9,39.1,39.4,44.2,57.4,67.6,88.1,91.1,74.5,83,80.7
"45","38","      Imputed interest paid","A2073C","3.6","4.1","4.3","4.5","5.1","5.6","6.1","7.1","7.5","8.4","9.4","10.0","10.6","11.6",12.8,13.5,14.3,15,16.5,17.6,19.4,20.9,23,27.5,30.7,32,34.6,40.5,47.4,52.8,55.1,61.9,77.7,91.5,103.2,109,115.3,140.4,156.9,187.6,208.2,243.1,256.8,272.6,287.7,310.6,330.4,346.6,353.7,396.4,411.6,472.5,495.5,516.7,574.8,574.5
"46","39","Domestic corporate business (financial)","A2073C","3.6","4.1","4.3","4.5","5.1","5.6","6.1","7.1","7.5","8.4","9.4","10.0","10.6","11.6",12.8,13.5,14.3,15,16.5,17.6,19.4,20.9,23,27.5,30.7,32,34.6,40.5,47.4,52.8,55.1,61.9,77.7,91.5,103.2,109,115.3,140.4,156.9,187.6,208.2,243.1,256.8,272.6,287.7,310.6,330.4,346.6,353.7,396.4,411.6,472.5,495.5,516.7,574.8,574.5
"47","40","  Banks, credit agencies, and investment companies","B1310C","2.5","2.7","3.0","3.2","3.5","3.9","4.3","5.0","5.3","6.0","6.7","7.1","7.3","8.0",8.9,9.2,9.7,10,11,11.7,13,14.2,15.8,19.4,22.1,22.6,24.6,29.3,34.5,38.1,38.8,43,54.9,64.9,71.6,76.9,84.7,99.4,109.6,126,140.7,160.3,166.7,170.2,178.7,195.7,211.7,219.4,235,255.5,269.3,306.5,323.8,336.5,375.9,373.2
"48","41","  Life insurance carriers","B1311C","1.1","1.3","1.3","1.4","1.6","1.7","1.8","2.0","2.2","2.4","2.7","3.0","3.3","3.5",3.9,4.3,4.7,5.1,5.5,5.9,6.3,6.8,7.2,8.1,8.6,9.4,10,11.2,12.9,14.7,16.3,18.9,22.8,26.5,31.6,32.1,30.6,41,47.3,61.6,67.5,82.8,90.1,102.3,109,114.8,118.7,127.2,118.6,140.9,142.3,166,171.7,180.2,198.9,201.3
"49","42","      Imputed interest received","A2074C","3.6","4.1","4.3","4.5","5.1","5.6","6.1","7.1","7.5","8.4","9.4","10.0","10.6","11.6",12.8,13.5,14.3,15,16.5,17.6,19.4,20.9,23,27.5,30.7,32,34.6,40.5,47.4,52.8,55.1,61.9,77.7,91.5,103.2,109,115.3,140.4,156.9,187.6,208.2,243.1,256.8,272.6,287.7,310.6,330.4,346.6,353.7,396.4,411.6,472.5,495.5,516.7,574.8,574.5
"50","43","Domestic business \1\","A2075C","1.0","1.1","1.3","1.3","1.5","1.7","1.9","2.0","2.1","2.3","2.6","2.8","2.9","3.2",3.5,3.7,3.9,4,4.3,4.6,5.1,5.5,6.3,7.6,8.3,8.2,8.7,10.6,12.8,12.8,12.6,13.7,17.2,21.5,25.4,31.2,34.5,33,37,39.6,41.6,43.1,44.6,47.6,48.2,49.5,52,54.7,57.6,65.9,67.2,74.4,74.5,76.3,84.8,84.3
"51","44","  Corporate business","A2076C","0.6","0.8","0.8","0.9","1.0","1.1","1.3","1.5","1.5","1.6","1.9","2.0","2.1","2.2",2.4,2.6,2.8,2.9,3.1,3.3,3.7,4,4.6,5.7,6.2,6.2,6.5,8.2,9.9,10,10,11,13.3,15.6,17.7,20.8,21.8,21.1,23.6,25.4,27.1,28.3,29.6,31.3,31,32.2,35.3,37.9,40.3,45.4,47.7,54,55.7,56,60.8,61.6
"52","45","    Financial","B1143C","0.1","0.1","0.1","0.1","0.1","0.2","0.2","0.2","0.2","0.2","0.3","0.3","0.3","0.5",0.6,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1.1,1.2,1.4,1.5,1.4,1.8,2.1,2.1,2.1,2.4,2.9,3.5,4.4,5.5,6.3,6.1,6.4,6.2,6.4,6.3,6.6,6.9,7,7.4,7.7,7.6,7.9,7.9,8.3,9.3,9.9,10.1,10.8,11.9
"53","46","    Nonfinancial","B1144C","0.6","0.7","0.7","0.8","0.9","1.0","1.1","1.2","1.2","1.4","1.6","1.7","1.8","1.7",1.9,1.9,2,2.2,2.3,2.5,2.8,3.1,3.5,4.4,4.8,4.7,5.1,6.3,7.8,7.9,7.9,8.6,10.4,12.1,13.3,15.3,15.6,15,17.2,19.2,20.7,22,23.1,24.4,24,24.8,27.6,30.3,32.4,37.5,39.4,44.7,45.8,45.9,50,49.6
"54","47","  Sole proprietorships and partnerships","A2077C","0.3","0.4","0.4","0.4","0.5","0.5","0.6","0.6","0.6","0.7","0.7","0.8","0.8","1.0",1.1,1.1,1.1,1.1,1.2,1.3,1.5,1.5,1.7,2,2.1,2,2.2,2.5,2.9,2.7,2.5,2.7,3.9,5.9,7.6,10.3,12.6,11.8,13.3,14.1,14.4,14.7,14.8,16.1,17.1,17.2,16.6,16.6,17.1,20.4,19.3,20.2,18.6,20,23.8,22.6
"55","48","    Farm","B1146C","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.2",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.9,0.8,0.7,0.8,0.9,1.1,1.3,1.5,1.6,1.3,1.3,1.2,1,1,1,1.1,1.1,1.1,1.1,1.1,1.2,1.7,1.7,1.8,1.7,1.5,1.4,1.3
"56","49","    Nonfarm","B1145C","0.2","0.3","0.3","0.3","0.3","0.4","0.4","0.5","0.5","0.5","0.6","0.7","0.7","0.8",0.9,0.8,0.9,0.9,0.9,1,1.1,1.2,1.3,1.5,1.5,1.5,1.6,1.7,2.1,1.9,1.8,1.9,3,4.7,6.3,8.8,11,10.6,12,12.9,13.4,13.7,13.8,15,16,16.1,15.5,15.5,15.9,18.7,17.7,18.4,17,18.6,22.3,21.3
"57","50","  Other private business","B2078C","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"58","51","Persons","A1147C","2.2","2.7","2.7","2.9","3.3","3.5","3.8","4.5","4.9","5.5","6.1","6.5","6.9","7.5",8.3,8.8,9.4,9.8,10.9,11.7,12.8,13.8,15,17.8,20,21.2,23.2,26.6,31,36.3,39,44.2,55.9,65.1,72.6,72.7,74.5,99.7,111,137.1,154.3,185.7,198,210.5,224,243.8,260.2,272.7,274.9,307,319.3,370.2,392.9,414,457,460.8
"59","52","  From banks, credit agencies, and investment companies","B1611C","1.2","1.3","1.4","1.5","1.7","1.8","1.9","2.5","2.7","3.1","3.4","3.5","3.7","4.0",4.4,4.5,4.7,4.8,5.4,5.8,6.5,7.1,7.8,9.7,11.4,11.9,13.1,15.4,18,21.5,22.7,25.3,33.1,38.5,41,40.7,43.9,58.7,63.7,75.5,86.8,102.9,107.9,108.2,115,129,141.5,145.5,156.3,166.1,177,204.2,221.2,233.8,258.1,259.5
