"","Table 3#19# Relation of State and Local Government Current Recei","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"18","10","        Capital transfers received \6\","L31910",2.9,3.3,3.1,3.3,3.6,4.3,4.8,4.9,4.9,5.9,7,6.6,6.5,6.9,7.6,8.3,9.5,11.2,12.5,13.2,14.5,17.4,18.7,17,17.1,18.6,20.5,23,22.7,22.4,23.6,24.1,25.4,25.9,27.1,29.4,31.8,32.8,34.3,35
"19","11","        Financial transactions \4\","L31911",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.5,1.2,0.4,0.6,0.8,1,1.2,1.5,1.3,1.5,1.8,2.1,2.3,1.5,1.7,1.9,2,2.1,2,1.8,1.8,1.7,1.5,1.6
"20","12","        Sale of land","L31912",0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.2,0.3,0.3,1.2,0.3,0.2,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.8,0.6,0.8,0.8,0.7,0.8,0.7,0.8,0.8,0.9,0.7,0.6,0.7,0.6,0.7,0.7,1.2,1.6
"21","13","        Other","L31913",-0.5,0.1,0.4,0.1,0.1,0.3,0.5,0.2,0.2,-0.2,-0.1,-0.2,-0.4,0,-0.1,-0.1,-0.5,-0.4,2.1,-1.2,-1.5,-0.7,-1.4,-2.2,0.6,0.6,1.1,1.1,0.8,0.6,0.9,0.7,0.6,2,0.2,1.7,1.8,3,2.9,4.4
"22","14","      Netting and grossing differences","L31914",9.9,10.8,11.5,12.4,13.7,14.5,15.9,17.4,19.1,20.8,23.4,26.7,30.1,32.8,36.9,42.9,48.7,53.5,59.5,68.2,80.3,95.1,110.7,130,139.5,152.8,171.4,184.6,195.4,207,228.7,248.5,261,273.4,283.6,298.4,317.4,337.1,351,366
"23","15","        Revenues of government enterprises","L31915",6.2,6.8,7.2,7.5,8.3,8.5,9.1,9.6,10.1,10.7,11.7,13,14.3,15.6,17.9,19.4,22,25.1,28.1,32.2,36.5,41.6,48.2,54.8,60.8,66.6,74.3,79.6,84.3,90,98.7,105,110.6,115.9,122.6,132.6,139.1,146.7,151.9,155.1
"24","16","        Government sales included in Census total revenue \7\","L31916",3.1,3.4,3.6,4.1,4.6,5,5.6,6.4,7.2,8.2,9.3,10.5,12.1,13.6,14.6,16.3,17.6,20,22.7,25.1,28.6,32.3,36.8,42.3,46,50.3,53.8,58,62.5,67.7,75,82.7,89.6,99.6,107.3,114.6,122.3,129.5,134.3,142.2
"25","17","        Interest and dividends received, excluding retirement plans","L31917",0.7,0.7,0.7,0.8,0.9,1,1.2,1.5,1.8,1.9,2.5,3.3,3.7,3.7,4.5,7.2,9.2,8.5,8.7,11,15.4,21.5,26,33.2,32.9,36.1,43.5,47.3,48.9,49.6,55.3,61.2,61.2,58.6,54.5,52.1,57,61.6,65.6,69.4
"26","18","        Employer contributions to own social insurance funds","L31918",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.3,-0.3,-0.4,-0.6,-0.7,-0.9,-1,-0.7,-0.8,-0.8
"27","19","Plus: Timing differences","L31919",-0.1,-0.7,-0.4,-0.1,0,0.2,0.4,0.4,-0.1,1.6,1,1.2,0,0.3,0.3,0.8,0.4,0,-0.6,-0.3,-1,-0.5,-1.1,-0.3,-0.2,4.5,-3.8,4.7,5.4,-4.7,11.5,-2.9,3.4,-5.5,-2,3.8,1.9,7,-1.6,12.6
"28","20","        Corporate profits taxes \8\","L31920",0.1,0,-0.1,0.1,0.1,0.1,0,0.1,0.2,0.1,0.2,-0.3,0.3,0.1,0.1,0,-0.2,1.4,0.9,0.6,0.5,0.3,0.3,-1.7,-0.2,1.7,0.1,1.5,0.5,1.2,0.6,-1.2,0.8,0.7,-1.7,-0.2,0,0.7,-0.7,0.5
"29","21","        Other \8\","L31921",-0.2,-0.8,-0.3,-0.2,-0.1,0.2,0.4,0.2,-0.2,1.5,0.8,1.5,-0.3,0.2,0.2,0.8,0.6,-1.3,-1.5,-0.9,-1.5,-0.8,-1.4,1.3,0,2.8,-3.9,3.3,4.9,-5.9,11,-1.7,2.6,-6.3,-0.3,4,1.9,6.4,-1,12.1
"30","22","Equals: State and local government current receipts, national income and product accounts","L31922",37.5,40.7,44,47.8,51.3,56,60.4,67.8,74.1,85,94,108.5,120.2,141.1,160.2,171.4,188.2,211.6,236,264.5,280.5,304.6,332.3,352.3,371.6,419,447.5,488.1,527.2,548,605.6,637.5,686.3,742,795,851,899.8,939.8,978.7,1053.1
"31",NA,"      Current expenditures"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","23","Census total expenditures","L31923",58.6,61,67,70.5,75.8,80.6,87,94.9,106,116.2,131.6,148.1,170.8,190.5,205.2,226,269.2,304.2,324.6,346.8,381.9,434.1,487,524.8,566.9,600.2,657.9,717.5,777,826.8,890.9,975.9,1063.3,1156.8,1210.8,1264.3,1351.4,1397.6,1460.7,1529.3
"33","24","Less: Coverage differences","L31924",14.6,13.1,15,14.9,15.3,16.4,17.4,18.1,19.3,20.3,22,23.1,27.3,27.7,27.3,28.7,39.3,45.4,39.7,34.3,39.5,48.8,55.4,51.9,56.7,49.7,59.3,68.7,75.8,79.1,87,100.7,115,133.5,136,134.5,152,155.4,165.6,172.4
"34","25","        State and local employee retirement plan transactions \9\","L31925",0.2,0.1,0,0.2,0.1,0.2,0.5,0.3,0.4,0.2,0.5,0.5,0.5,0.9,1.3,1.3,1.3,1.4,1.6,1.7,2.5,2.5,2.9,3.6,4.6,5.9,6.9,8.5,10.4,13.4,16.4,18.5,22.2,27.7,31.1,38.8,40.2,45.9,48,58.5
"35","26","          Employer contributions to own retirement plans","L31926",-0.9,-1.2,-1.4,-1.4,-1.6,-1.7,-1.8,-2,-2.3,-2.7,-2.9,-3.3,-3.8,-4.1,-4.7,-5.5,-6.4,-7.2,-8.2,-9.3,-10,-11.7,-13.1,-14.6,-15.1,-16.8,-18.1,-18.8,-20,-19.7,-19.6,-21.2,-21.4,-20.4,-22.4,-19,-23.5,-25,-27.6,-25.3
"36","27","          Benefits paid","L31927",1.1,1.3,1.4,1.6,1.7,1.8,2.3,2.2,2.6,2.8,3.2,3.6,4.2,4.8,5.8,6.6,7.4,8.4,9.6,10.8,12.3,14,15.7,17.8,19.3,22.3,24.4,26.5,29.6,32.1,34.9,38.4,42.1,46.4,51.6,55.7,61.4,68,72.1,80.2
"37","28","          Administrative expenses","L31928",0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.8,0.9,1,1.1,1.3,1.5,1.7,1.9,2.1,2.3,2.9,3.5,3.6
"38","29","        Unemployment insurance fund benefits paid \5\","L31929",3.3,2.4,3.5,2.8,2.8,2.6,2.3,1.9,1.9,2.1,2,2.7,4.7,4.7,4.1,4.7,12.3,17.9,14.7,10.7,8.9,12.1,17.9,18.1,24.2,14.1,15,14.9,15.2,13.1,12.9,16.5,22.1,32.9,35.4,28.6,35.2,29.5,27.2,17.8
"39","30","        Net investment \10\","L31930",10.2,9.8,10.5,10.7,11.2,12.1,13.1,14.2,15.5,16.2,17.8,18.3,20.1,20.3,20,20.7,23.4,24,21.5,19.9,26,31.8,31.8,27.2,26,27.8,35,42.3,46.8,48.5,53.7,60.4,64.9,67.4,64.1,61.9,70.6,73.5,84.7,89.4
"40","31","        Services provided without payment by domestic securities brokers","L31931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.2,-0.3,-0.4,-0.7,-0.8,-0.7,-0.7,-0.8,-0.8,-0.9,-1.1,-1.3,-1.4,-1.1,-1,-1.2
"41","32","        Purchases of land","L31932",1,1,1.1,1.2,1.3,1.5,1.5,1.6,1.6,1.7,1.8,1.7,2,1.8,2,2,2.3,2.1,2,1.9,2.1,2.4,2.6,2.7,2.8,3.1,3.5,4.2,4.6,5.2,5.1,6.2,6.6,6.4,6.5,6.6,7.2,7.6,6.8,7.9
"42","33","        Other","L31933",-0.1,-0.1,-0.1,-0.1,0,0,0,0.1,-0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.5,-0.7,-0.8,-0.5,-0.5,-0.5,-0.4,-0.3,-0.2,-0.1,0,0,0,0,0,0,0
"43","34","      Netting and grossing differences","L31934",9.9,10.8,11.5,12.4,13.7,14.5,15.9,17.4,19.1,20.8,23.4,26.7,30.1,32.8,36.9,42.9,48.7,53.5,59.5,68.2,80.3,95.1,110.7,130,139.5,152.8,171.4,184.6,195.4,207,228.7,248.5,261,273.4,283.6,298.4,317.4,337.1,351,366
"44","35","        Revenues of government enterprises","L31935",6.2,6.8,7.2,7.5,8.3,8.5,9.1,9.6,10.1,10.7,11.7,13,14.3,15.6,17.9,19.4,22,25.1,28.1,32.2,36.5,41.6,48.2,54.8,60.8,66.6,74.3,79.6,84.3,90,98.7,105,110.6,115.9,122.6,132.6,139.1,146.7,151.9,155.1
"45","36","        Government sales included in Census total revenue \7\","L31936",3.1,3.4,3.6,4.1,4.6,5,5.6,6.4,7.2,8.2,9.3,10.5,12.1,13.6,14.6,16.3,17.6,20,22.7,25.1,28.6,32.3,36.8,42.3,46,50.3,53.8,58,62.5,67.7,75,82.7,89.6,99.6,107.3,114.6,122.3,129.5,134.3,142.2
"46","37","        Interest and dividends received, excluding retirement plans","L31937",0.7,0.7,0.7,0.8,0.9,1,1.2,1.5,1.8,1.9,2.5,3.3,3.7,3.7,4.5,7.2,9.2,8.5,8.7,11,15.4,21.5,26,33.2,32.9,36.1,43.5,47.3,48.9,49.6,55.3,61.2,61.2,58.6,54.5,52.1,57,61.6,65.6,69.4
"47","38","        Employer contributions to own social insurance funds","L31938",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,-0.3,-0.3,-0.4,-0.6,-0.7,-0.9,-1,-0.7,-0.8,-0.8
"48","39","Plus: Timing differences, excess of accruals over disbursements, and other \8\","L31939",0.1,-0.6,-0.8,-0.1,-0.9,0.2,0.5,0.7,0,1.9,1,1.5,2.3,-0.1,2.5,4.2,2.2,2.6,1.4,1.8,3.4,2.1,2.5,6.5,5.2,0.9,0.6,-3,1,-0.2,1.4,1.1,4.4,2.1,9,13.4,5.8,13.3,12.9,16.1
"49","40","Equals: State and local government current expenditures, national income and product accounts","L31940",34.1,36.5,39.8,43.2,45.9,49.9,54.1,60,67.6,77,87.2,99.7,115.7,129.8,143.5,158.6,183.5,207.9,226.8,246,265.4,292.3,323.5,349.5,376,398.7,427.8,461.1,506.9,540.5,576.6,627.9,691.7,752,800.2,844.8,887.9,918.4,957.1,1007
"50",NA,"      Surplus or deficit (-)"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","41","Census total revenue less Census total expenditures (1-23)","L31941",-4.6,-0.7,-2.5,-1.1,-0.4,0.9,1.2,2.7,0.6,1.3,0.6,2.1,-4.7,0.3,12.4,11.9,-5.2,-0.9,13.3,24.8,23.1,17.5,19.7,22.9,26.5,51.8,62.2,65.9,67.3,57.3,62.9,56.2,17.6,33.2,56.8,67.2,66.5,116,154,191.6
"52","42","Plus: Net investment (30)","L31942",10.2,9.8,10.5,10.7,11.2,12.1,13.1,14.2,15.5,16.2,17.8,18.3,20.1,20.3,20,20.7,23.4,24,21.5,19.9,26,31.8,31.8,27.2,26,27.8,35,42.3,46.8,48.5,53.7,60.4,64.9,67.4,64.1,61.9,70.6,73.5,84.7,89.4
"53","43","Less: Net capital transfers received (10)","L31943",2.9,3.3,3.1,3.3,3.6,4.3,4.8,4.9,4.9,5.9,7,6.6,6.5,6.9,7.6,8.3,9.5,11.2,12.5,13.2,14.5,17.4,18.7,17,17.1,18.6,20.5,23,22.7,22.4,23.6,24.1,25.4,25.9,27.1,29.4,31.8,32.8,34.3,35
"54","44","      State and local employee retirement plans (3-25)","L31944",1.6,2,2.3,2.3,2.7,2.9,2.9,3.5,3.9,4.6,5.2,6,6.9,7.6,8.8,9.6,11.1,13.1,12.9,17.3,19.4,22.9,27.5,30.6,37.9,40.3,46.3,60.9,69.1,64.4,64.8,75.8,65,78.2,81.9,75.5,82.4,119.5,149.9,179
"55","45","      Other coverage differences (8+9+11+12+13-29-31-32-33)","L31945",-2.6,-0.6,-1.2,-0.7,-0.2,-0.3,0.1,0.5,0.7,-1.2,-0.7,-1.3,-4.8,-4.6,-2.9,-1.5,-9,-7.5,-1.9,-6.2,-4.3,-6.1,-7.2,-7.1,-3.6,3.9,6.2,5.2,6.4,7.1,9.4,3,-3.7,-1.1,6,8.2,7.1,9.6,18.3,17.4
"56","46","      Timing differences (39-19)","L31946",0.2,0.1,-0.4,0,-0.9,-0.1,0.2,0.3,0.1,0.2,0,0.3,2.3,-0.5,2.2,3.4,1.8,2.6,2,2.1,4.4,2.6,3.7,6.8,5.4,-3.5,4.4,-7.7,-4.3,4.5,-10.1,4,1.1,7.6,11.1,9.7,3.9,6.3,14.6,3.5
"57","47","Equals: State and local government current surplus or deficit (-), national income and product accounts (22-40)","L31947",3.4,4.2,4.2,4.7,5.4,6.1,6.2,7.8,6.5,8,6.9,8.8,4.5,11.2,16.7,12.7,4.8,3.7,9.3,18.4,15.1,12.4,8.9,2.9,-4.4,20.4,19.7,26.9,20.3,7.5,28.9,9.6,-5.4,-10,-5.2,6.3,11.9,21.4,21.6,46.1
"58"," 1. Contributions received, interest received, and dividends received are included in the NIPA personal sector.  Capital gains ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,"net of losses are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,"excluded from the NIPA's.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61"," 2. Consists of employer and employee contributions, except employer contributions to their own employee retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62"," 3. Prior to 1968, dividends received is included in interest received (line 5).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63"," 4. Prior to 1985, capital gains (net of losses) of State and local employee retirement plans is included in line 11.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64"," 5. Unemployment insurance is recorded as a Federal program in the NIPA's.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65"," 6. Consists of estate and gift taxes and Federal investment grants.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66"," 7. In the NIPA's, final expenditure components of GDP are recorded net of sales or receipts; all current-account sales by ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,"general government",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,"are therefore deducted in the calculation of NIPA current expenditures.  However, most sales by general government are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,"in Census total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,"revenue; a reconciliation item for these sales is therefore required for both receipts and expenditures.  The amount of the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,"reconciliation item",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,"is less than the sales shown in table 3.9 because Census total revenue does not include medical vendor payments made by State and ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,"local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,"governments to public institutions (classified as an intragovernmental transaction by Census) or the administrative expenses of ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,"State and local",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,"employee retirement plans (treated in the NIPA's as sales by government to the personal sector).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77"," 8. Differences that arise from restating the Census Bureau data to a year ending June 30 are included in timing.  Census Bureau ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,"measures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,"of State and local government revenue and expenditures (lines 1 and 23) primarily represent a fiscal year ending June 30, but ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,"some governments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,"use other fiscal years.  The NIPA measures shown in this table are for the fiscal year ending June 30, and are consistent with ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",NA,"the not",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
