"","Table 5#4#6U# Real Private Fixed Investment in Structures by Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63"
"11","3","  Commercial and health care","W001RX0",197223,198911,199725,199943,201408,210673,217456,219585,217747,209658,195687,184884,181494,173216,167135,162450,156662,158452,162393,163575,161160,167450,167097,161234,163987,163298,161061,162824,166532,171944,176651,175419,183811,189698,192811,193194,191332,188947,183270,167783,146194,133075,120130,107350,99696,95574,93072,92438,89549,94076,97378,98178,100021,101442,104360,103459,103328,101956,106301,114072
"12","4","    Office \1\","W031RX0",87285,86167,86268,82885,85995,94975,99101,102236,101454,94330,82994,73479,67289,62285,59025,55508,50212,49165,51445,54703,52022,52567,52133,51383,56074,54862,51263,51604,54514,59742,62581,61666,64944,64543,66444,68630,68645,67007,66050,60327,50600,45520,40688,34589,31766,28620,27489,27236,25754,26996,27862,29184,29867,29901,32648,33489,32953,32250,34203,36349
"13","5","    Health care","W032RX0",30447,29849,30545,30380,29054,30557,31280,31894,31089,29454,28515,28797,31203,33086,34027,34491,34377,35085,34411,35548,35413,36877,35635,34696,34949,34853,37300,35717,35722,36649,37593,37830,38969,38737,39352,39822,40054,41154,42033,42700,41805,41260,39052,36849,34448,34873,35022,34944,33156,32841,34466,34718,35839,36560,35670,33865,34108,33547,34931,35592
"14","6","      Hospitals and special care","C311RX0",22453,22265,21976,22174,21212,22305,23280,24030,23590,22871,21790,21595,24154,25759,26756,26943,25978,26386,25991,26147,25411,25943,25141,24805,24832,24864,26633,26223,26931,28287,29551,29938,30677,30200,30207,30602,30428,30821,31812,32972,32579,32079,30914,29489,28676,28832,28640,28258,27065,27024,27847,27849,29013,29267,28030,26869,26735,26087,27930,28241
"15","7","        Hospitals","W033RX0",16301,15698,15408,15185,14724,15411,16681,17474,18100,17485,16523,16270,18749,20294,21551,22044,21378,22151,22008,22198,21648,22384,21931,21704,21905,22167,23838,23550,24040,25016,25926,26167,27203,26756,26827,27349,26681,26628,27768,29306,29129,28887,27472,25819,25489,25513,25278,25191,24132,23917,24067,23687,24453,24688,23477,22943,22848,22197,24059,23679
"16","8","        Special care","W034RX0",6148,6563,6563,6985,6484,6889,6595,6552,5488,5384,5264,5323,5403,5463,5204,4899,4600,4235,3982,3950,3763,3559,3210,3101,2928,2697,2795,2672,2891,3271,3625,3771,3474,3444,3380,3253,3746,4193,4044,3666,3450,3193,3442,3669,3187,3319,3361,3067,2933,3107,3779,4160,4558,4577,4551,3924,3885,3889,3869,4560
"17","9","      Medical buildings","W035RX0",7995,7585,8570,8207,7842,8254,8002,7866,7500,6585,6726,7204,7050,7329,7274,7550,8400,8700,8422,9402,10003,10934,10495,9892,10118,9991,10667,9495,8790,8362,8042,7892,8292,8537,9145,9220,9627,10333,10221,9728,9226,9182,8138,7360,5771,6040,6382,6687,6091,5817,6618,6869,6826,7293,7640,6996,7373,7460,7001,7350
"18","10","    Multimerchandise shopping","W036RX0",23556,24351,24282,23861,23390,21751,22640,23697,25077,25156,24178,23349,24608,23082,21867,21396,21116,21623,22190,22627,23737,25253,26289,25221,25956,26489,27730,30483,32260,33361,34448,32157,34794,38397,37377,37985,35817,33997,32480,28327,22569,19298,16746,14950,13951,13052,12735,11708,12553,13520,13640,14073,14907,14822,14300,13550,13391,13685,15036,18167
"19","11","    Food and beverage establishments","W037RX0",11470,13528,13094,14060,14038,13877,13311,12640,12193,12717,14524,12866,11554,11342,11291,11981,12122,11326,11820,12283,11534,11905,11256,9332,10328,9938,8496,9238,9123,8222,8409,8001,7966,8459,9690,8359,8839,9568,8026,6435,5319,4996,4594,4562,4689,4567,4864,4816,4703,5297,5731,5434,5510,5505,5602,5525,5868,5766,5035,5086
"20","12","    Warehouses","W038RX0",21363,20977,21061,21748,22124,22072,22273,23156,23859,24466,22809,21207,19938,17443,15608,15523,16676,17417,18180,16906,15684,15903,16749,15233,15544,15658,15402,15788,16129,15891,16521,17034,17387,19138,17986,17757,18078,17922,17097,15143,12054,9788,9312,7765,6614,6224,4984,5508,6070,6763,7038,6480,6537,6374,6812,7430,7686,7657,8314,9596
"21","13","    Other commercial \2\","W039RX0",25711,26719,27095,29582,29613,30446,32012,29169,27329,26647,25339,27354,28555,27148,26204,24204,22548,24137,24855,22036,23206,25344,25530,25843,21764,22081,21113,20434,19361,18734,17790,19363,20467,21306,22858,21505,20703,19944,18043,15039,13873,12208,9724,8627,8229,8278,8040,8293,7363,8663,8658,8307,7402,8332,9294,9505,9231,8953,8695,9128
"22","14","  Manufacturing","C307RX0",58981,53882,52627,50173,52242,57023,56279,56883,60633,57186,54844,43589,36540,32705,28830,28185,27242,29724,29929,30086,29105,28089,29099,34117,34779,33447,33990,34596,34434,36798,38534,36134,37274,39356,46176,49655,50019,53841,55094,56251,61472,60074,55143,48495,46192,44152,38838,34064,32357,37401,42328,44415,43260,44596,45209,47031,46384,43973,49102,44976
"23","15","  Power and communication","W003RX0",61032,57860,64591,67852,68148,67682,75992,78000,64489,76571,76650,81246,83280,74107,66334,67990,71702,69014,64410,63483,59956,52662,55563,56214,57230,58337,57859,59056,60650,59620,61847,64655,72631,82253,90568,98180,100180,95393,90033,92217,93805,96341,100936,92025,72732,80350,78340,89998,66270,72264,78124,79578,82647,82203,85641,101593,76240,82605,83203,79025
"24","16","    Power","W028RX0",38477,31666,34448,36352,41256,41361,48270,49313,36646,46853,49267,55356,56664,47808,41671,43491,53004,49460,44786,43897,41544,33333,35259,35007,33526,35233,35376,36948,37091,36717,38294,40876,46366,54739,62561,69681,70968,67242,66182,69920,74397,76299,80952,72608,55757,63588,61868,74201,50674,56870,62915,65309,67944,67387,70784,87069,63629,69811,70437,66794
"25","17","      Electric","C571RX0",25874,20729,24424,26769,31470,31588,38400,39520,27281,37232,39333,44783,45333,36327,30142,31868,41246,37895,33520,32952,31371,24405,27061,27244,26053,27975,28168,29970,30305,29576,30312,31501,34983,41629,47901,53710,54262,50869,50519,54879,59152,60450,64323,57652,41692,46021,43327,58395,39767,45320,50249,51832,53923,54579,58591,74067,48890,56336,57412,52143
"26","18","      Other power","W029RX0",12834,11180,10120,9597,9703,9682,9632,9525,9362,9396,9676,10212,11002,11421,11639,11694,11615,11478,11250,10899,10088,8874,8160,7739,7442,7281,7233,7052,6874,7185,7989,9342,11343,13089,14646,15947,16676,16325,15617,15057,15274,15855,16616,14935,14050,17542,18513,15837,10952,11648,12788,13575,14100,12983,12496,13559,14684,13628,13222,14662
"27","19","    Communication","C314RX0",22101,25288,29048,30375,26164,25645,27108,28043,27006,28959,26793,25497,26187,25732,24090,23974,18585,19366,19364,19316,18158,18931,19886,20765,23238,22630,22022,21676,23072,22452,23105,23390,25866,27246,27881,28475,29161,28092,23832,22302,19383,20049,20008,19411,16914,16738,16444,15914,15461,15362,15268,14395,14830,14929,14982,14737,12730,12946,12924,12377
"28","20","  Mining exploration, shafts, and wells","E318RX0",62196,66063,61680,67989,71678,79477,83558,87214,94643,97307,100997,86629,68363,66142,71989,71141,74286,79934,80471,82544,81993,83240,85385,86092,90938,93093,92926,91495,99540,100824,99612,98100,97704,98298,98602,96928,96492,103444,108693,111363,96700,73597,63875,65703,76548,86847,93064,94665,97931,104452,112822,120972,123716,125776,123744,123117,122632,131138,134490,133854
"29","21","    Petroleum and natural gas","C319RX0",62548,66656,61854,68308,71686,79740,83946,87823,95905,98912,102981,87968,67457,63818,68932,68036,72731,78910,79302,80916,79364,79695,81118,81373,86306,88217,87533,85285,92240,92607,90894,89570,90015,91074,91639,90052,89506,96528,102036,105151,91114,68164,58314,59908,70261,80056,85906,87235,90284,96549,104623,112445,114781,116563,114398,113728,114634,122783,125411,124724
"30","22","    Mining","C320RX0",1396,1396,1452,1551,1761,1856,1909,1912,1825,1736,1645,1576,2199,2884,3434,3450,2644,2479,2581,2905,3504,4104,4615,4938,4972,5196,5610,6304,7344,8220,8715,8537,7696,7232,6970,6882,6988,6888,6600,6134,5571,5444,5561,5799,6296,6795,7159,7437,7654,7899,8176,8489,8909,9193,9338,9384,7956,8302,9048,9104
"31","23","  Other structures","W004RX0",96423,96716,92401,93195,96901,98860,99354,94929,89180,89787,106559,86381,81838,81068,76279,75107,73424,77791,76295,75040,74119,77237,78031,77511,74472,71591,71640,73041,75166,80141,80855,82608,82408,90232,95537,98851,100962,105567,105653,101440,91978,90274,82579,73099,65022,62946,60932,58961,54062,57483,58417,59248,59433,62245,63080,62676,60138,65534,65963,67786
"32","24","    Religious","C309RX0",10883,10714,10373,10388,11159,11024,11202,11050,10915,11196,11398,11201,11316,11108,10670,10742,10920,11039,11211,10514,9611,9981,9914,9719,9279,8662,8389,8008,8151,8066,7745,7766,7611,7440,7410,6984,6966,6725,6782,7118,6736,6232,6076,5664,5591,5696,5278,5385,4640,4317,4463,4072,4030,3885,3812,3613,3739,3387,3102,3186
"33","25","    Educational and vocational","W044RX0",16724,18091,17645,17947,18933,20389,21796,21221,20664,20979,21910,23276,22638,22240,20694,20889,20764,21668,22097,20840,19829,18925,18736,19317,18850,18549,18282,17183,18016,17847,17263,18614,17906,18912,20443,19397,19905,19845,19927,19100,18330,18427,18278,16372,16013,15114,14051,13561,13505,14383,14697,15277,15924,15962,16177,15387,14845,15962,15027,14801
"34","26","    Lodging","W045RX0",30500,29332,28031,27746,28713,29793,28275,26358,24574,24914,25057,21908,18233,18571,16125,15403,15316,17648,15141,14798,15447,17757,19104,19106,17896,16758,17060,18123,18597,22257,23753,24876,26729,32124,35404,38964,37995,43262,44436,42203,36577,35946,29577,23611,17011,14810,13846,12534,10493,10601,10618,11579,11977,13704,14080,15057,14619,16681,17846,20109
"35","27","    Amusement and recreation","W046RX0",17624,17328,16095,15967,16149,15358,14576,12839,12259,12904,12556,12641,12289,12100,11685,11163,10858,12115,12122,12603,11703,12506,12377,12128,11100,9694,9380,9948,10309,11539,12083,11971,10910,11682,12476,12845,12636,12402,11931,11405,10743,10882,10089,8617,7943,8657,8160,7841,7415,8958,8900,8370,7051,6951,7399,7077,6425,7020,7700,6949
"36","28","    Transportation","W047RX0",8886,8565,8354,8404,8406,8629,8922,9130,9027,8926,8438,8238,7906,8234,8263,8206,8015,7527,7582,7674,7623,7875,7752,7809,7616,7720,7866,8299,8911,9560,9462,9111,9108,9400,9446,9621,9931,10205,10084,9908,9250,8923,8888,9161,9881,9732,9726,9936,8947,8996,9400,9872,10181,11227,11221,11137,10647,11438,11776,12471
"37","29","      Air","W048RX0",1773,1901,1982,2202,2260,2531,2912,3244,3303,3219,2680,2394,1844,2021,1908,1825,1744,1258,1297,1337,1186,1368,1200,1247,1085,1063,944,954,934,1165,914,635,817,1081,1050,971,851,919,832,904,719,590,493,482,436,430,432,350,323,691,656,802,1122,1058,1050,1203,1005,1066,943,1039
"38","30","      Land \3\","W049RX0",7127,6701,6423,6275,6226,6201,6145,6049,5894,5870,5878,5941,6110,6272,6402,6421,6306,6264,6284,6339,6428,6509,6544,6555,6518,6643,6904,7327,7960,8369,8536,8479,8283,8295,8375,8635,9074,9277,9248,8996,8529,8334,8395,8679,9441,9298,9289,9575,8614,8320,8755,9090,9104,10204,10206,9982,9675,10407,10859,11463
"39","31","    Farm","C316RX0",6728,8054,7133,7721,7995,7851,8809,8934,7334,7028,6849,6363,7144,7115,7545,7778,6405,6513,6660,6533,7204,6916,6559,5822,5990,6368,6654,7034,6578,5964,5571,5723,5790,6360,6070,6401,8703,8062,7557,7211,6705,6602,6540,6701,6744,6260,6132,5909,6033,7028,7237,6920,7189,7276,7112,6884,6837,6893,6779,6654
"40","32","    Other \4\","W050RX0",5262,5150,5302,5595,6098,6409,6461,6070,5196,4653,4338,4177,3663,3248,3081,3103,3300,3561,3832,4084,4303,4355,4222,3961,3710,3597,3619,3780,4063,4333,4514,4538,4584,4577,4541,4500,4547,4522,4269,3828,3201,2907,2926,3013,2215,2986,4044,3927,3361,3288,2978,2887,2694,2817,2822,2977,2790,3786,3376,3263
"41","33","    Brokers' commissions on sale of structures","C321RX0",2347,2276,2251,2257,2356,2431,2470,2357,2313,2347,2230,2157,2103,1976,1851,1840,1854,1889,1887,1906,1899,1926,2000,2040,2081,2107,2138,2244,2343,2448,2545,2629,2792,3024,3248,3444,3500,3564,3637,3646,3475,3261,3052,2733,2463,2465,2368,2440,2185,2399,2569,2646,2706,2743,2793,2910,2621,2658,2704,2694
"42","34","    Net purchases of used structures","E322RX0",-2407,-2427,-2435,-2437,-2406,-2365,-2341,-2270,-2434,-2499,16498,-2472,-2385,-2529,-2826,-3194,-3159,-3167,-3150,-3006,-2731,-2428,-2115,-1797,-1475,-1273,-1183,-1203,-1320,-1545,-1873,-2283,-2799,-3162,-3352,-3381,-3274,-3184,-3117,-3085,-3057,-2893,-2831,-2785,-2929,-2887,-2836,-2771,-2724,-2675,-2638,-2614,-2609,-2612,-2616,-2605,-2599,-2579,-2565,-2538
"43","35","Residential","A012RX0",616068,625485,629982,634591,637512,634132,624091,624634,627378,637234,641215,636842,657945,674455,676588,688874,701648,712471,753443,775877,784791,809894,815506,826689,846429,862216,871827,869565,861120,817489,771448,735189,701119,672799,629354,576389,530472,506680,481669,434917,392584,368809,387084,387230,374362,394609,359330,366203,367733,370145,375677,386794,407799,413694,427710,447778,461233,476890,488731,477491
"44","36","  Permanent site","A943RX0",354472,353942,356863,365489,369666,365148,353532,354001,358833,365237,366871,359869,365639,377249,381009,385336,393479,398772,420114,444519,447223,461884,469565,469988,483388,491511,498019,506237,504378,470165,433747,398016,371909,355181,327994,289401,255731,239455,213466,183914,147026,124470,132060,131941,131275,135491,126012,121168,121592,121118,124890,128056,138399,147329,157756,172328,184307,191358,193908,196419
"45","37","    Single-family structures","A944RX0",309227,308022,309133,318284,323529,318471,308849,307695,311746,317799,319248,311572,316296,326798,330686,335415,342576,347777,367245,391176,393434,406044,411553,411588,423446,429825,435400,443483,441820,408923,374218,337794,313736,301433,277699,241842,209448,192970,168211,142219,109485,93076,106762,112021,115700,121677,112629,107678,108243,107231,109480,111749,120766,126607,134628,146417,155802,160473,161987,161616
"46","38","    Multifamily structures","C292RX0",42197,42983,44982,44143,42810,43547,41585,43431,44199,44422,44588,45586,46627,47571,47313,46723,47631,47579,49115,48872,49302,51252,53599,54041,55414,57251,58181,58113,58020,57536,56575,58328,56607,51994,48797,46651,45952,46404,45325,41756,37573,31363,25257,19959,15766,14141,13680,13751,13600,14115,15625,16524,17873,20955,23374,26181,28804,31232,32298,35333
"47","39","  Other structures","A863RX0",262335,271867,273465,269859,268772,269745,270918,271000,269139,272648,274941,277278,292248,297283,295817,303629,308327,313824,333361,331999,338071,348513,346559,357185,363629,371288,374395,364032,357386,347854,338141,337609,329677,318076,301818,287459,275183,267618,268371,251026,245583,244365,255007,255256,243095,259105,233341,244982,246073,248925,250718,258658,269371,266461,270148,275791,277423,286065,295307,281742
"48","40","    Manufactured homes","A945RX0",21737,20620,19572,19113,18253,16167,14604,12265,11229,11582,12714,13438,13056,12854,13186,12161,11263,10815,11556,11245,11635,10818,11407,12652,13349,12622,13495,15525,13092,11961,10967,10044,10050,9992,10057,9813,9281,8482,7941,6800,5070,4263,4766,4751,4946,5644,4441,3351,3188,4567,4815,5004,4362,4960,4880,4260,4125,5227,5197,4851
"49","41","    Dormitories","C295RX0",1556,1648,1855,2028,2021,1769,1713,1703,2060,1852,1939,2016,1962,1868,1676,2014,2007,2050,2144,2010,1917,2035,1802,1434,1469,1357,1528,1775,1897,1942,1970,1945,2185,2543,2670,3392,3451,3442,3825,3812,3312,2955,2109,1608,1513,1593,1767,1866,1898,2237,2373,2247,2735,2796,2999,3261,3212,3166,3587,3605
"50","42","    Improvements","A946RX0",140120,141752,143517,145433,145713,146839,148111,149097,149348,149941,150636,152831,156593,159424,162374,163708,163965,167194,169800,170620,170477,170510,170411,173130,175197,176584,175873,175471,175551,175047,175002,173984,172071,171839,167419,164668,159214,155635,155815,152448,153022,153083,153355,147364,144975,152758,148736,151532,149285,151785,148780,155727,160211,154181,153578,155412,155553,158551,163363,160386
"51","43","    Brokers' commissions and other ownership transfer costs \5\","A758RX0",105660,113858,114208,109149,107808,108500,109274,110157,109265,112337,113320,113398,124802,127459,123793,130365,135057,137639,152459,150729,155963,165778,163357,169609,172572,178833,181319,170303,166416,159285,151450,152945,147224,136483,125287,114043,108221,105190,105812,92571,88201,87965,98773,105757,96972,104629,83314,92754,95416,93178,97555,98169,105083,108040,112584,117029,118726,123290,127374,116904
"52","44","    Net purchases of used structures","A759RX0",-5004,-4860,-4492,-4177,-3244,-1879,-1238,-902,-1464,-2018,-2555,-3086,-3703,-3958,-4263,-4342,-4232,-4220,-4137,-3941,-3690,-3331,-2871,-2321,-1707,-1358,-1246,-1363,-1842,-2267,-2686,-2939,-3168,-3493,-3860,-4290,-4829,-5056,-5001,-4621,-4048,-3887,-3997,-4212,-5286,-5427,-5129,-4489,-3558,-2916,-2559,-2487,-2735,-2907,-3005,-3065,-3006,-2965,-2939,-2852
"53","45","Residual","A971RX0",7400,6800,10000,6100,3700,-2400,-6200,-8600,-12600,-12600,-14400,-5400,8700,13600,12100,15000,15200,13700,18700,20300,23100,26500,25800,27400,27100,28400,30000,28500,26300,21600,17200,14300,10600,7700,3800,700,-600,0,700,1400,200,-400,-200,-300,-400,-100,300,900,-700,-100,-500,0,-500,-1300,-1500,-500,-2600,-2800,-2900,-3600
"54",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","46","  Private fixed investment in new structures","W040RX0",1009962,1005591,1009647,1025470,1038591,1051079,1054440,1055395,1046731,1057113,1046860,1014308,1000935,993769,982896,983499,989182,1007756,1033278,1060840,1055818,1073117,1087064,1090847,1113027,1120313,1125470,1139454,1149540,1123332,1090964,1050646,1037407,1044893,1034971,1005028,966657,954282,924058,876807,798604,737632,714556,672251,643047,665997,645978,649663,616546,645666,670012,693469,714707,724832,740456,773442,753817,781726,803014,802265
"56","47","    Nonresidential structures \6\","A771RX0",497902,492866,492666,497813,508147,529290,547802,549838,534537,537391,521574,490018,463920,438763,418462,413007,410018,420817,419011,419325,410188,412115,417988,417432,422372,419974,417583,421203,436706,449959,458184,457993,474839,500709,524117,536736,538789,547366,543177,529766,490052,452888,422367,386583,360156,370268,364824,371549,340292,365622,389002,402158,408947,415824,421813,439136,407905,424724,438245,438401
"57","48","    Residential structures \7\","A756RX0",519106,519198,523056,533327,536921,531219,519286,518470,522948,530106,533620,529539,538683,552899,559738,564804,572439,580613,605529,630579,633441,647712,655695,659581,675877,684660,691570,701666,697765,661480,623534,585338,557180,540293,508585,467310,427522,406858,380972,347016,308468,284767,292281,285638,282672,295483,280999,278022,276049,279913,280908,291183,305631,308837,318476,334130,345762,356848,364607,363705
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
