"","Table 1#8#3# Command-Basis Real Gross Domestic Product and Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"16","8","Plus: Income receipts from the rest of the world, command basis \1\","C645RA3",1.922,2.053,2.063,2.275,2.413,2.508,2.593,2.486,2.503,2.424,2.399,2.235,2.398,2.525,2.859,2.836,2.748,3.141,3.245,3.367,3.152,3.227,3.175,3.158,3.121,3.272,3.029,3.093,3.221,3.205,3.234,3.567,3.681,3.731,3.788,3.854,4.179,4.105,4.223,3.831,4.341,4.596,4.462,3.752,3.837,3.802,3.766,3.807,3.866,3.949,4.25,4.521,4.601,4.603,4.718,4.814,5.04,4.883,5.036,5.17,5.081,5.466,5.525,6.164,5.96,5.886,6.053,6.265,6.676,6.542,6.681,6.466,7.145,7.353,7.048,6.674,6.883,6.937,6.994,7.289,7.237,7.079,7.53,7.53,7.854,8.157,8.398,8.384,8.753
"17","9","Less: Income payments to the rest of the world, command basis \1\","C655RA3",0.747,0.737,0.72,0.85,0.805,0.813,0.951,0.84,0.979,0.956,0.994,1.005,1.057,1.087,1.107,1.118,1.19,1.202,1.181,1.15,1.097,1.174,1.179,1.222,1.22,1.215,1.254,1.314,1.254,1.242,1.224,1.229,1.272,1.382,1.41,1.407,1.418,1.378,1.44,1.452,1.46,1.449,1.479,1.482,1.494,1.388,1.458,1.534,1.621,1.708,1.811,1.918,2.14,2.069,2.039,1.951,1.975,1.992,2.07,2.132,2.042,2.076,2.092,2.117,2.139,2.245,2.344,2.424,2.461,2.521,2.523,2.668,2.703,2.757,2.836,2.923,2.978,3.037,3.239,3.331,3.333,3.32,3.293,3.459,3.677,3.922,4.028,4.077,4.518
"18","10","Equals: Command-basis gross national product \1,3\","CB22RA3",14.258,14.291,14.316,14.591,14.759,14.976,15.059,15.13,14.884,14.762,14.955,14.802,15.401,15.849,16.481,16.795,17.022,17.325,17.631,17.647,17.793,17.775,17.968,18.555,18.894,19.043,18.926,18.604,18.491,18.491,18.735,19.149,19.731,20.027,20.3,20.486,20.415,20.502,20.515,20.787,20.995,20.961,21.124,20.769,20.274,20.376,20.926,21.486,21.858,22.374,22.352,22.44,22.99,22.859,22.882,22.563,22.733,23.171,23.557,24.067,24.512,24.755,24.979,25.054,25.347,25.672,26.151,26.391,26.971,27.245,27.605,27.685,28.432,28.818,29.353,30.023,30.79,30.861,31.109,31.399,31.689,31.665,31.955,32.201,32.871,33.43,33.646,33.793,34.352
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Command-basis net domestic product \4\","C362RA3",14.982,15.032,15.07,15.398,15.589,15.843,15.943,16.029,15.738,15.592,15.821,15.644,16.346,16.864,17.588,17.949,18.21,18.53,18.869,18.857,19.015,18.966,19.173,19.848,20.225,20.364,20.212,19.8,19.628,19.604,19.869,20.324,20.991,21.325,21.627,21.824,21.699,21.783,21.771,22.1,22.302,22.225,22.405,21.988,21.361,21.456,22.098,22.756,23.189,23.795,23.745,23.826,24.479,24.304,24.307,23.896,24.067,24.578,25.014,25.595,26.102,26.348,26.585,26.612,26.943,27.31,27.846,28.092,28.734,29.038,29.424,29.499,30.315,30.723,31.336,32.112,32.968,33.002,33.253,33.539,33.839,33.77,34.043,34.296,35.042,35.656,35.858,35.989,36.607
"21","12","  Net domestic product","A362RA3",14.666,14.655,14.65,14.905,15.171,15.486,15.579,15.607,15.36,15.293,15.482,15.315,16.004,16.539,17.248,17.571,17.8,18.108,18.488,18.5,18.682,18.678,18.792,19.455,19.829,19.966,19.805,19.43,19.299,19.303,19.523,19.939,20.559,20.917,21.206,21.317,21.186,21.35,21.297,21.668,21.799,21.717,21.928,21.641,20.953,21.074,21.611,22.166,22.657,23.288,23.246,23.324,23.898,23.759,23.786,23.425,23.561,24.033,24.448,24.982,25.457,25.746,25.983,26.026,26.375,26.714,27.244,27.443,28.099,28.425,28.82,28.871,29.62,30.024,30.655,31.43,32.235,32.305,32.491,32.736,33.007,32.969,33.214,33.45,34.172,34.771,34.989,35.111,35.679
"22","13","  Command-basis net national product \4\","C027RA3",14.921,14.978,15.017,15.347,15.546,15.803,15.9,15.985,15.691,15.543,15.767,15.583,16.284,16.804,17.538,17.894,18.146,18.484,18.826,18.822,18.97,18.921,19.124,19.789,20.161,20.307,20.142,19.734,19.573,19.549,19.814,20.283,20.949,21.277,21.578,21.778,21.671,21.752,21.744,22.048,22.276,22.213,22.383,21.932,21.314,21.411,22.043,22.693,23.123,23.724,23.685,23.776,24.417,24.247,24.257,23.859,24.04,24.536,24.973,25.554,26.056,26.319,26.556,26.616,26.932,27.286,27.823,28.074,28.731,29.022,29.412,29.469,30.312,30.726,31.313,32.059,32.916,32.95,33.193,33.488,33.783,33.707,34.002,34.245,34.993,35.607,35.815,35.942,36.555
"23","14","  Net national product","A027RA3",14.626,14.619,14.613,14.872,15.145,15.462,15.555,15.582,15.332,15.264,15.448,15.273,15.962,16.498,17.22,17.54,17.762,18.087,18.469,18.489,18.662,18.659,18.769,19.423,19.792,19.936,19.762,19.39,19.27,19.273,19.493,19.922,20.54,20.893,21.181,21.295,21.182,21.343,21.294,21.641,21.798,21.73,21.931,21.609,20.93,21.053,21.58,22.128,22.615,23.241,23.21,23.297,23.86,23.726,23.76,23.411,23.558,24.016,24.431,24.964,25.434,25.74,25.977,26.05,26.385,26.713,27.243,27.447,28.119,28.432,28.831,28.864,29.639,30.048,30.655,31.4,32.206,32.276,32.456,32.708,32.975,32.93,33.197,33.424,34.146,34.746,34.97,35.089,35.653
"24",NA,"  Percent change from preceding period:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","15","    Real gross domestic product","A191RL1",NA,-0.6,-0.3,6.2,6.5,7.6,2.2,0.6,-5.4,-1.4,4.6,-3.7,17.2,12.7,16.6,7.2,5.1,6.8,8.2,0.7,4.1,0.4,2.7,13.9,7.7,3.1,-2.4,-6.2,-1.9,0.5,4.6,8.3,12,6.8,5.4,2.3,-1.8,3.2,-0.5,6.7,2.5,-1,3.9,-4.1,-10.4,2.5,9.7,9.7,8.3,10.5,-0.5,1.4,9.3,-1.9,0.7,-5,2.4,7.7,6.6,8.4,7.4,4.5,3.7,1,5.3,5.1,7.7,3.1,9.3,4.7,5.5,1.1,10.2,5.5,8.4,10,10.2,1.3,2.7,3.3,3.6,0.1,3.2,3.1,8.5,7,2.8,1.7,6.5
"26","16","    Command-basis gross domestic product","C191RL1",NA,0.8,0.6,7.8,4.5,5.9,2.3,1.9,-6.3,-3.2,5.4,-3.8,17.1,12.1,16.6,7.9,5.7,6.9,7.2,0.2,3.6,-0.4,4.5,13.8,7.6,3.1,-2.2,-6.7,-2.6,0,5.4,8.9,12.7,6.2,5.6,3.7,-1.7,1.8,0.2,5.8,3.6,-0.9,3.3,-6,-9.3,2,11.4,11.2,7.2,9.8,-0.6,1.5,10.3,-2.3,0.3,-5.6,2.9,8.1,6.8,8.9,7.7,3.8,3.7,0.8,5,5.4,7.7,3.6,8.9,4.3,5.3,1.4,10.9,5.5,7.9,9.8,10.6,0.9,3.3,3.7,3.8,-0.2,3.5,3.2,8.6,7,2.5,1.8,6.8
"27","17","    Real gross national product","A001RL1",NA,-0.5,-0.3,6.3,6.7,7.7,2.2,0.6,-5.5,-1.5,4.5,-3.9,17.2,12.8,17,7.2,5,7.2,8.3,0.8,3.9,0.5,2.6,13.8,7.6,3.2,-2.7,-6.1,-1.7,0.5,4.6,8.5,12,6.7,5.5,2.3,-1.5,3.1,-0.4,6.3,2.9,-0.7,3.8,-4.7,-10.3,2.5,9.6,9.6,8.3,10.4,-0.3,1.6,9.1,-1.8,0.8,-4.9,2.5,7.5,6.6,8.4,7.3,4.7,3.7,1.4,5.1,4.9,7.7,3.1,9.5,4.5,5.6,0.9,10.5,5.6,8.1,9.6,10.2,1.3,2.6,3.4,3.5,0,3.5,3,8.5,7,2.8,1.7,6.4
"28","18","    Command-basis gross national product","CB22RL1",NA,0.9,0.7,7.9,4.7,6,2.2,1.9,-6.3,-3.2,5.3,-4,17.2,12.2,16.9,7.8,5.5,7.3,7.3,0.4,3.4,-0.4,4.4,13.7,7.5,3.2,-2.4,-6.6,-2.4,0,5.4,9.1,12.7,6.1,5.6,3.7,-1.4,1.7,0.3,5.4,4.1,-0.6,3.1,-6.6,-9.2,2,11.2,11.1,7.1,9.8,-0.4,1.6,10.2,-2.3,0.4,-5.5,3,7.9,6.8,8.9,7.6,4,3.7,1.2,4.8,5.2,7.7,3.7,9.1,4.1,5.4,1.2,11.2,5.5,7.6,9.4,10.6,0.9,3.3,3.8,3.7,-0.3,3.7,3.1,8.6,7,2.6,1.8,6.8
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Deflator is the gross domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2. This measure is called ""real gross domestic income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","3. This measure is called ""real gross national income"" in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","System of National Accounts, 2008.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","4. Deflator is the net domestic purchases price index.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
