"","Table 3#19# Relation of State and Local Government Current Recei","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14"
"45","36","        Imputed banking and insurance services","W726RC1",-0.4,-0.3,-0.4,-0.4,-0.4,-0.4,-0.5,-0.5,-0.5,-0.6,-0.6
"46","37","        Other","L319331",-0.1,-0.1,-0.1,-0.1,0,0,0,0.1,-0.1,0.1,0
"47","38","Less: Netting and grossing differences","L319341",8.2,8.9,9.5,10.3,11.3,12.2,13.3,14.6,16.1,17.9,19.9
"48","39","        Current expenditures of government enterprises \7\","W727RC1",4.9,5.3,5.7,6,6.4,6.9,7.4,8,8.6,9.4,10.3
"49","40","        Government sales included in Census total revenue \8\","L319361",3,3.3,3.6,4,4.5,4.9,5.5,6.3,7.2,8.1,9.2
"50","41","        Insurance claims included in Census total revenue","W728RC1",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4
"51","42","        Employer contributions to own social insurance funds","L319381",0,0,0,0,0,0,0,0,0,0,0
"52","43","Plus: Timing and other differences \9\","L319391",-0.5,-0.8,-1,-0.3,-1.3,0.3,0.5,0.6,0,2.2,1.1
"53","44","Equals: State and local government current expenditures, NIPAs","L319401",35.6,38.5,41.9,45.4,48.3,52.6,57.2,63.3,71,80.8,91.4
"54",NA,"      Net state and local government saving"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","45","Census total revenue less Census total expenditures (1-25)","L319411",-4.6,-0.7,-2.5,-1.1,-0.4,0.9,1.2,2.7,0.6,1.3,0.6
"56","46","Plus: Net investment (32)","L319421",10.2,9.8,10.5,10.7,11.2,12.1,13.1,14.2,15.5,16.2,17.8
"57","47","Less: Net capital transfers received (10)","L319431",2.9,3.3,3.1,3.3,3.6,4.3,4.8,4.9,4.9,5.9,7
"58","48","      State and local employee retirement plans (3-27)","L319441",1.6,2,2.3,2.3,2.7,2.9,2.9,3.5,3.9,4.6,5.2
"59","49","      Other coverage differences (8+9+11+12+13+14+15-31-33-34-35-36-37)","L319451",-2.1,-0.7,-1.6,-0.9,-0.3,-0.6,-0.3,0.3,0.5,-1.1,-0.7
"60","50","      Timing and other differences (43-21)","L319461",-0.3,0.2,0,0.2,-0.8,0.3,0.6,0.5,0.3,0.1,0
"61","51","Equals: State and local government net saving, national income and product accounts (24-44)","L319471",3.5,4.2,4.2,4.7,5.5,6.1,6.2,7.8,6.5,8,6.9
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","1. Contributions received, interest received, and dividends received are included in the NIPA personal sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Capital gains net of losses are excluded from the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2. Consists of employer and employee contributions, except employer contributions to their own employee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","retirement plans.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","3. Prior to 1968, dividends received is included in interest received (line 5).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","4. Prior to 1985, capital gains (net of losses) of state and local employee retirement plans is included in line 11.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","5. Unemployment insurance is recorded as a federal program in the NIPAs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","6. Consists of estate and gift taxes and federal investment grants.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","7. Excludes current expenditures of Indian tribal government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","8. In the NIPAs, final expenditure components of gross domestic product are recorded net of sales or receipts; all",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","current-account sales by general government are therefore deducted in the calculation of NIPA current",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","expenditures.  However, most sales by general government are included in Census total revenue; a reconciliation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","item for these sales is therefore required for both receipts and expenditures.  The amount of the reconciliation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","item is less than the sales shown in table 3.10.5 because Census total revenue does not include medical vendor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","payments made by state and local governments to public institutions (classified as an intragovernmental transaction",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","by Census) or the administrative expenses of state and local employee retirement plans (treated in the NIPAs as",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","sales by government to the personal sector).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","9. Includes timing differences that arise from restating the Census Bureau data to a year ending June 30.  Census",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Bureau measures of state and local government revenue and expenditures (lines 1 and 25) primarily represent a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","fiscal year ending June 30, but some governments use other fiscal years.  The NIPA measures shown in this table are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","for the fiscal year ending June 30, and are consistent with the not seasonally adjusted estimates in table 3.23.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","10. These transactions are included in the NIPA personal sector.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","11. Net investment is gross investment less consumption of fixed capital for government enterprises and general",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
