"","Table 5#3#1# Percent Change From Preceding Period in Real Privat","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"26","19","    Permanent site","A943RL1",24.1,-5.6,47.1,-20.1,-5.8,3.3,10,18.2,-13.4,-9.1,2.6,27.4,-11.7,-0.5,14,13.4,6.7,-4.4,-12.3,-4.7,17.5,2.9
"27","20","      Single family","A944RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,-11.6,-5.2,6.7,6.8,9.7,-2.3,-10.9,-2,9.9,-5.1
"28","21","      Multifamily","C292RL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.6,-12,26,45.4,34.2,-0.7,-10.1,-16.2,-13.1,44.5,24.4
"29","22","    Other structures \5\","A863RL1",10.5,-12.9,7.6,-1.7,11.1,4.1,4.1,10.7,6.9,0.9,-2.7,21.5,4.2,2,0.6,7.9,3.5,-0.1,-1.5,-0.1,5,2.3
"30","23","  Equipment","B013RL1",3.7,-6.2,26,-7.5,-0.5,5.2,3,13.9,10.7,0.3,6.2,15,-6.2,0.3,6,11.5,7.2,11.7,2.3,2.5,19.2,14.1
"31",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","24","  Private fixed investment in structures","A349RL1",13.9,-6,25.4,-8.4,-1.2,5.7,6.3,12.6,-1.1,-3.5,-2,15.3,-1.2,0.7,7.5,7.3,7.6,4.7,-1.8,-2.9,7.5,4
"33","25","  Private fixed investment in equipment and software","A327RL1",5.2,-12.2,10.6,2.7,-2.8,9,-5.4,13.7,2.8,2.6,-14.3,12,4,-1.9,11.5,8.5,12.7,18.2,15.8,-0.6,6.4,8.9
"34","26","  Private fixed investment in new structures \6\","W040RL1",16.5,-5.4,26,-8.5,-1.6,5.9,6.1,12.2,-0.2,-3.1,-1.7,14.1,-1,1,7.2,6.7,7.8,4.7,-1.5,-2.9,7.2,4.1
"35","27","    Nonresidential structures","A771RL1",8.5,-2.1,7.8,8.2,-0.4,8.9,3.4,5.7,12.6,-0.4,-5.5,2.9,8.1,1.7,5,1.2,10.1,15.1,6.4,-2.8,1.4,5.5
"36","28","    Residential structures","A756RL1",22,-7.5,37.7,-17,-2.4,3.7,8,16.8,-8.4,-5.3,1.6,23.2,-7.2,0.5,8.9,10.9,6.1,-3.1,-8.4,-3,13.1,2.8
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
