"","Table 3#9#2# Contributions to Percent Change in Real Government ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"11",NA,"Percentage points at annual rates:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2","      Consumption expenditures \1\","A955RZ2",NA,2.74,2.18,-9.62,-3.4,16.79,6.1,9.46,7.26,9.32,-5.49,-8.12,2.85,3.49,-13.16,29.05,33.66,43.28,35.65,6.27,14.34,13.98,3.06,4.61,8.6,4.98,-3.58,2.68,-14.04,-9.85,-1.73,0.01,-0.62,-7.3,10.39,-4.69,-4.06,8.5,-9.04,12.16,7.61,0.02,0.91,6.64,-7.63,10.47,-4.3,5.66,-10.75,9.36,5.45,0.89,-7.61,3.85,5.04,3.19,-3.42,6.05,3.87,4.42,6.48,3.88,6.69,1.47,-0.45,0.47,11.73,-0.32,0.7,2.03,-0.13,-1.45,1.08,4.37,10.01,8.8,2.76,10.15,6.61,3.61,14.79,1.2,2.83,3.29,8.61,0.87,1.42,2.52,-1.68
"13","3","      Gross investment \2\","A782RZ2",NA,-0.19,1.53,3.84,11.55,3.9,1.92,8.45,4.67,10.05,9.57,-0.11,-9.38,3.22,5.7,-1.01,16.45,24.15,18.06,17.97,-1.37,0.29,0.96,2.76,5.67,4.12,-1.16,-3.92,3.76,-3.57,-7.57,-2.42,0.13,3.38,-7.93,-3.7,3.84,0.15,5.31,-1.35,0.87,-2.48,2.2,0.84,3.24,-0.06,6.82,3.15,8.18,-3.12,-0.32,-5.18,-0.04,-0.57,4.96,-0.38,8.76,-5.09,4.21,4.66,0.78,-1.7,2.73,-0.89,-1.97,-0.98,6.56,-3.26,0.79,0.59,0.37,0.3,-2.04,0.89,4.56,0.08,4.63,-2.88,4.67,3.06,3.3,-3.36,1.4,-0.54,-1.44,0.99,-0.58,-2.19,2.06
"14","4","        Structures","A760RZ2",NA,3.25,3.69,4.37,1.67,5.07,3.55,1.52,3.81,6.32,6.88,1.09,-0.75,3.18,0.55,2.39,2.27,7.64,2.51,1.32,2.84,0.38,0.26,1.62,1.64,-0.97,0.09,2.26,3.04,-1.68,1.07,-0.97,1.2,0.36,-2.26,-0.56,1.21,1.32,0.79,0.09,2.78,-0.66,0.48,1.41,3.96,-0.08,2.48,2.99,0.39,-0.44,-2.31,-3.81,0.95,2.16,2.44,0.89,4.32,-4.46,1.12,4.13,-1.92,0.3,-0.3,1.17,1,0.19,3.83,-2.55,1.2,1.81,0.17,-0.14,-0.55,2.35,3.17,0.91,0.77,-0.84,-0.11,1.93,1.55,-1.35,-1.07,1.12,0.48,1.56,0.12,-0.37,-1.11
"15","5","        Equipment and software","A871RZ2",NA,-3.44,-2.15,-0.53,9.88,-1.16,-1.64,6.93,0.86,3.73,2.68,-1.2,-8.63,0.04,5.15,-3.41,14.18,16.52,15.55,16.66,-4.21,-0.09,0.7,1.14,4.03,5.09,-1.25,-6.18,0.72,-1.89,-8.65,-1.44,-1.06,3.02,-5.68,-3.14,2.63,-1.17,4.52,-1.44,-1.91,-1.82,1.72,-0.58,-0.72,0.02,4.34,0.16,7.79,-2.68,1.99,-1.37,-0.99,-2.73,2.52,-1.26,4.43,-0.63,3.09,0.54,2.71,-1.99,3.03,-2.06,-2.96,-1.17,2.74,-0.71,-0.41,-1.22,0.19,0.45,-1.49,-1.46,1.39,-0.83,3.87,-2.03,4.77,1.13,1.75,-2,2.47,-1.67,-1.93,-0.57,-0.7,-1.82,3.17
"16","6","Federal","A823RZ2",NA,0.57,0.24,-8.33,8.34,15.77,5.11,13.84,5.33,10.17,-2.55,-11.42,-10.78,5.2,-7.58,27.82,51.39,64.06,52.69,24.32,12.51,11.62,7.15,4.61,11.73,9.27,-7.75,-4.07,-14.57,-13.95,-13.04,-3.06,-6.34,-5.8,2.69,-9.28,-1.82,6.77,-4.48,9.19,4.6,-3.75,0.94,3.64,-8.7,8.07,-0.95,5.75,-4.02,5.72,4.93,-3.45,-10.48,-0.86,7.38,0.87,-0.2,2.12,6.55,4.22,8.48,0.96,7.22,-1.24,-5.59,-2.08,13.39,-6,-1.13,-1.45,-1.72,-3.06,-2.71,0.49,9.04,6.08,5.04,5.79,9.05,1.9,15.62,-3.18,3.49,-0.42,3.93,-1.69,-1.81,-1.28,-1.15
"17","7","    Consumption expenditures","A957RZ2",NA,0.71,0,-10.36,-1.44,16.11,5.79,7.67,3.21,6.2,-8.58,-10.57,-0.48,3.3,-12.63,29.21,34.26,42.85,34.9,5.69,15.23,10.81,5.43,3.37,6.96,5.22,-5.31,2.73,-15.27,-10.4,-3.66,-0.77,-3.86,-8,9.46,-5.69,-4,6.86,-10.43,10.66,7.08,-1.46,-1.23,4.74,-9.87,8.11,-6.05,4.4,-11.35,8.5,4.08,-0.56,-9.39,1.25,4.17,1.47,-6.02,4.21,4.03,3.26,6.26,2.41,5.51,0.13,-1.51,-1.22,9.37,-2.02,-1.6,0.09,-1.86,-3.68,-0.59,1.72,7.53,6.77,0.93,8.44,4.69,1.35,14.52,-0.18,0.52,1.42,6.09,-0.74,-0.94,0.49,-3.91
"18","8","    Gross investment","A787RZ2",NA,-0.15,0.25,2.03,9.79,-0.35,-0.67,6.17,2.12,3.98,6.03,-0.85,-10.3,1.89,5.05,-1.38,17.12,21.21,17.79,18.63,-2.72,0.81,1.72,1.24,4.77,4.05,-2.44,-6.8,0.7,-3.55,-9.38,-2.29,-2.48,2.2,-6.76,-3.59,2.18,-0.09,5.95,-1.47,-2.48,-2.29,2.17,-1.1,1.17,-0.04,5.09,1.35,7.33,-2.78,0.85,-2.88,-1.09,-2.11,3.21,-0.59,5.82,-2.1,2.52,0.96,2.22,-1.45,1.71,-1.38,-4.08,-0.86,4.02,-3.98,0.48,-1.54,0.14,0.61,-2.12,-1.23,1.51,-0.69,4.11,-2.65,4.35,0.56,1.1,-2.99,2.97,-1.84,-2.16,-0.95,-0.88,-1.77,2.75
"19","9","      Structures","A801RZ2",NA,3.41,2.52,2.65,1.01,0.56,0.74,-0.81,1,0.78,3.7,0.59,-1.9,1.79,-0.25,1.79,3.4,4.68,2.29,1.93,1.68,0.94,1.05,0.13,0.82,-1.01,-1.17,-0.61,0.25,-1.7,-0.67,-0.79,-1.58,-0.73,-1.16,-0.59,-0.06,1.22,1.55,0.02,-0.08,-0.29,0.58,-0.42,1.64,-0.01,0.79,1.25,-0.36,-0.04,-1.1,-1.43,0.16,0.73,0.74,0.74,1.33,-1.39,-0.53,0.44,-0.32,0.58,-1.29,0.73,-0.78,0.42,1.42,-3.16,1.1,-0.19,0.07,0.31,-0.67,0.36,0.25,0.26,0.34,-0.44,-0.28,-0.46,-0.7,-0.92,0.51,-0.18,-0.18,-0.32,-0.05,0.15,-0.34
"20","10","      Equipment and software","A872RZ2",NA,-3.56,-2.27,-0.62,8.78,-0.91,-1.42,6.98,1.12,3.19,2.33,-1.43,-8.4,0.1,5.3,-3.17,13.72,16.53,15.5,16.69,-4.4,-0.12,0.67,1.11,3.94,5.06,-1.27,-6.19,0.45,-1.86,-8.71,-1.5,-0.9,2.93,-5.61,-2.99,2.23,-1.31,4.4,-1.49,-2.4,-2,1.59,-0.68,-0.47,-0.03,4.31,0.1,7.68,-2.74,1.94,-1.45,-1.25,-2.83,2.46,-1.34,4.48,-0.71,3.05,0.52,2.54,-2.03,3,-2.11,-3.31,-1.29,2.6,-0.82,-0.63,-1.35,0.07,0.3,-1.44,-1.59,1.26,-0.94,3.78,-2.2,4.63,1.02,1.8,-2.08,2.46,-1.66,-1.98,-0.63,-0.83,-1.92,3.09
"21","11","  National defense","A824RZ2",NA,-13.93,9.96,1.63,-0.07,-0.89,-2.47,9.19,4.73,3.54,-0.5,-10.6,-6.47,1.41,10.31,24.57,53.3,58.02,51.75,22.73,8.81,13.64,5.63,4.51,8.15,2.13,-3.18,-4.71,-16.01,-9.42,-11.84,-7.86,-1.33,-8.09,2.24,-7.17,-0.77,5.9,-0.62,7.23,1.36,1.79,1.79,-2.57,-2.34,2.21,-0.09,1.69,-5.57,-2.39,4.92,-2.61,-3.5,-2.93,6.19,-2.29,4.97,-1.24,5.5,3.38,7.07,-2.09,3.15,-2.21,-4.41,-1.88,6.93,-4.45,-2.5,-3.28,-0.53,-3.43,-3.65,-0.73,5.85,6.09,5.94,3.45,10.89,4.34,10.82,0.06,4.32,-1.9,4.31,-0.17,-3.41,-1.51,-1.76
"22","12","    Consumption expenditures","A997RZ2",NA,-13.78,3.29,0.11,-4.54,-2.51,-1.35,6.15,0.57,-0.32,-1.28,-7.65,0.45,1.42,6.55,21.46,36.38,37.81,32.67,7.38,10.31,12.12,3.68,3.48,2.43,-1.47,-1.03,2.14,-17.48,-4.6,-3.74,-5.97,0.87,-10.88,8.32,-3.07,-2.68,6.8,-5.81,8.57,3.76,4.25,-0.16,-1.64,-2.44,1.91,-4.86,0.46,-13.06,0.67,3.72,0.32,-2.15,0.02,3.2,-0.92,-0.3,0.46,3.36,3.01,4.9,-0.13,1.81,-0.08,-0.51,-0.48,3.82,-0.34,-2.47,-1.99,0.02,-3.34,-1.44,1.25,4.52,7.17,2.13,5.75,6.45,3.14,8.86,2.3,1.39,-0.04,5.98,0.46,-2.87,0.24,-4.65
"23","13","    Gross investment","A788RZ2",NA,-0.15,6.67,1.52,4.47,1.62,-1.12,3.04,4.15,3.86,0.78,-2.95,-6.92,-0.01,3.76,3.11,16.92,20.21,19.08,15.35,-1.51,1.52,1.95,1.03,5.72,3.6,-2.15,-6.85,1.47,-4.82,-8.09,-1.89,-2.2,2.79,-6.08,-4.1,1.91,-0.9,5.18,-1.34,-2.4,-2.46,1.95,-0.93,0.1,0.3,4.77,1.23,7.49,-3.05,1.2,-2.93,-1.36,-2.95,3,-1.38,5.27,-1.7,2.14,0.37,2.18,-1.96,1.34,-2.13,-3.9,-1.4,3.11,-4.11,-0.03,-1.29,-0.55,-0.09,-2.21,-1.98,1.33,-1.08,3.81,-2.3,4.44,1.21,1.96,-2.23,2.93,-1.86,-1.67,-0.63,-0.54,-1.75,2.9
"24","14","      Structures","A808RZ2",NA,1.42,1.42,1.28,0.36,-0.09,0.21,-0.62,0.53,-0.52,0.08,0.57,-0.41,0.07,0.66,2.36,3.92,4.68,2.46,1.69,1.34,1.67,1.32,0.15,0.6,-0.89,-1.01,-0.68,0.62,-1.74,-0.59,-0.16,-1.12,-0.44,-0.95,-0.6,-0.33,0.49,0.7,0.11,-0.09,-0.41,0.33,-0.26,0.61,-0.06,0.75,1.08,-0.42,-0.36,-0.82,-1.32,-0.09,0.1,0.72,0.32,0.95,-0.77,-0.88,0.09,-0.2,0.1,-1.33,0.17,-0.39,0.1,1.28,-3.3,0.95,-0.34,0.21,-0.02,-0.59,0.1,0.26,-0.05,0.09,-0.12,0.18,-0.26,0.08,-0.37,0.28,-0.15,-0.05,-0.19,0.31,0.16,-0.11
"25","15","      Equipment and software","A873RZ2",NA,-1.57,5.24,0.24,4.11,1.71,-1.33,3.66,3.62,4.38,0.7,-3.51,-6.51,-0.08,3.1,0.75,13,15.53,16.62,13.65,-2.85,-0.15,0.63,0.88,5.12,4.49,-1.15,-6.17,0.85,-3.08,-7.5,-1.73,-1.08,3.23,-5.13,-3.5,2.24,-1.39,4.48,-1.46,-2.31,-2.05,1.62,-0.68,-0.5,0.36,4.02,0.16,7.9,-2.7,2.02,-1.61,-1.27,-3.05,2.28,-1.69,4.32,-0.92,3.03,0.28,2.37,-2.05,2.67,-2.3,-3.51,-1.5,1.83,-0.81,-0.98,-0.95,-0.76,-0.07,-1.61,-2.08,1.07,-1.03,3.71,-2.18,4.26,1.47,1.89,-1.86,2.65,-1.7,-1.62,-0.44,-0.85,-1.91,3.01
"26","16","  Nondefense","A825RZ2",NA,14.5,-9.72,-9.96,8.41,16.66,7.58,4.65,0.61,6.63,-2.05,-0.82,-4.31,3.79,-17.89,3.25,-1.92,6.05,0.94,1.59,3.71,-2.01,1.52,0.1,3.58,7.13,-4.57,0.64,1.45,-4.53,-1.2,4.8,-5.01,2.29,0.45,-2.1,-1.06,0.87,-3.86,1.96,3.24,-5.54,-0.85,6.21,-6.36,5.85,-0.87,4.07,1.55,8.11,0.01,-0.84,-6.98,2.08,1.18,3.17,-5.18,3.35,1.05,0.84,1.41,3.05,4.07,0.96,-1.18,-0.21,6.45,-1.55,1.37,1.83,-1.19,0.37,0.94,1.22,3.19,-0.01,-0.9,2.34,-1.84,-2.44,4.8,-3.24,-0.83,1.48,-0.39,-1.52,1.6,0.23,0.6
"27","17","    Consumption expenditures","A542RZ2",NA,14.5,-3.29,-10.47,3.1,18.63,7.14,1.52,2.64,6.52,-7.29,-2.92,-0.93,1.89,-19.18,7.75,-2.12,5.04,2.23,-1.69,4.92,-1.3,1.75,-0.11,4.54,6.69,-4.28,0.58,2.21,-5.8,0.08,5.2,-4.73,2.88,1.13,-2.62,-1.32,0.06,-4.62,2.09,3.32,-5.71,-1.07,6.38,-7.43,6.2,-1.19,3.94,1.71,7.84,0.37,-0.89,-7.25,1.23,0.97,2.38,-5.72,3.75,0.67,0.25,1.37,2.54,3.7,0.21,-1,-0.74,5.54,-1.68,0.87,2.08,-1.88,-0.33,0.85,0.47,3.01,-0.4,-1.21,2.69,-1.76,-1.79,5.67,-2.48,-0.87,1.46,0.11,-1.2,1.94,0.26,0.75
"28","18","    Gross investment","A798RZ2",NA,0,-6.42,0.51,5.32,-1.97,0.44,3.13,-2.03,0.12,5.24,2.1,-3.38,1.9,1.29,-4.49,0.2,1,-1.29,3.28,-1.21,-0.71,-0.23,0.21,-0.95,0.44,-0.29,0.05,-0.77,1.27,-1.29,-0.4,-0.28,-0.59,-0.68,0.51,0.27,0.81,0.76,-0.13,-0.08,0.17,0.22,-0.16,1.07,-0.34,0.32,0.12,-0.16,0.27,-0.35,0.05,0.27,0.84,0.21,0.78,0.55,-0.4,0.38,0.59,0.04,0.51,0.38,0.75,-0.18,0.54,0.91,0.13,0.5,-0.25,0.69,0.7,0.09,0.75,0.18,0.39,0.31,-0.35,-0.09,-0.65,-0.87,-0.76,0.04,0.02,-0.49,-0.32,-0.34,-0.02,-0.14
"29","19","      Structures","A830RZ2",NA,1.99,1.09,1.37,0.65,0.65,0.53,-0.2,0.47,1.3,3.61,0.02,-1.49,1.72,-0.91,-0.58,-0.52,0,-0.17,0.24,0.34,-0.73,-0.27,-0.02,0.23,-0.12,-0.16,0.07,-0.37,0.04,-0.08,-0.63,-0.46,-0.29,-0.21,0.01,0.27,0.73,0.84,-0.09,0.01,0.12,0.25,-0.16,1.04,0.05,0.03,0.18,0.06,0.31,-0.28,-0.11,0.25,0.63,0.02,0.43,0.38,-0.62,0.35,0.36,-0.12,0.49,0.05,0.57,-0.39,0.32,0.13,0.14,0.15,0.15,-0.14,0.33,-0.08,0.26,-0.01,0.31,0.25,-0.32,-0.46,-0.19,-0.78,-0.55,0.23,-0.03,-0.13,-0.13,-0.35,-0.01,-0.23
"30","20","      Equipment and software","B880RZ2",NA,-1.99,-7.52,-0.86,4.67,-2.62,-0.08,3.32,-2.51,-1.19,1.63,2.08,-1.89,0.19,2.2,-3.92,0.72,1,-1.12,3.04,-1.55,0.02,0.04,0.23,-1.18,0.56,-0.13,-0.02,-0.4,1.23,-1.21,0.23,0.18,-0.3,-0.48,0.51,0,0.08,-0.08,-0.04,-0.09,0.05,-0.03,0,0.03,-0.39,0.29,-0.05,-0.22,-0.04,-0.08,0.15,0.02,0.22,0.19,0.36,0.16,0.22,0.03,0.24,0.16,0.02,0.33,0.19,0.2,0.22,0.77,-0.01,0.35,-0.4,0.83,0.37,0.17,0.49,0.19,0.08,0.06,-0.02,0.37,-0.45,-0.09,-0.22,-0.19,0.05,-0.36,-0.19,0.02,-0.01,0.08
"31","21","State and local","A829RZ2",NA,1.98,3.47,2.55,-0.19,4.92,2.9,4.07,6.6,9.2,6.62,3.18,4.26,1.51,0.12,0.22,-1.27,3.37,1.01,-0.07,0.45,2.65,-3.13,2.76,2.54,-0.17,3.01,2.83,4.28,0.53,3.73,0.65,5.86,1.88,-0.23,0.88,1.6,1.89,0.75,1.62,3.87,1.28,2.17,3.84,4.31,2.34,3.47,3.06,1.45,0.52,0.2,-0.84,2.84,4.14,2.62,1.95,5.54,-1.16,1.52,4.86,-1.21,1.23,2.2,1.82,3.18,1.57,4.9,2.41,2.61,4.07,1.96,1.92,1.75,4.77,5.53,2.8,2.35,1.48,2.23,4.76,2.47,1.02,0.74,3.17,3.24,3.54,2.66,1.61,1.54
"32","22","  Consumption expenditures","A991RZ2",NA,2.03,2.19,0.74,-1.96,0.67,0.31,1.79,4.04,3.13,3.09,2.45,3.33,0.19,-0.53,-0.15,-0.6,0.43,0.74,0.58,-0.9,3.17,-2.37,1.24,1.64,-0.24,1.73,-0.05,1.22,0.55,1.93,0.78,3.24,0.7,0.94,1,-0.06,1.65,1.39,1.5,0.53,1.48,2.14,1.9,2.24,2.36,1.74,1.26,0.6,0.86,1.36,1.45,1.78,2.6,0.87,1.73,2.6,1.84,-0.16,1.16,0.22,1.47,1.18,1.34,1.06,1.69,2.36,1.69,2.3,1.95,1.73,2.23,1.67,2.65,2.48,2.03,1.83,1.71,1.91,2.26,0.27,1.38,2.31,1.87,2.53,1.61,2.35,2.03,2.23
"33","23","  Gross investment","A799RZ2",NA,-0.05,1.29,1.81,1.76,4.25,2.59,2.28,2.55,6.07,3.54,0.73,0.93,1.33,0.65,0.37,-0.67,2.94,0.27,-0.65,1.35,-0.52,-0.76,1.52,0.9,0.08,1.28,2.88,3.06,-0.01,1.81,-0.13,2.62,1.18,-1.17,-0.11,1.66,0.24,-0.64,0.12,3.35,-0.19,0.03,1.93,2.07,-0.02,1.73,1.8,0.85,-0.33,-1.16,-2.29,1.05,1.54,1.75,0.22,2.94,-2.99,1.69,3.7,-1.43,-0.25,1.02,0.49,2.12,-0.12,2.54,0.72,0.31,2.13,0.23,-0.31,0.08,2.12,3.05,0.76,0.52,-0.23,0.32,2.5,2.2,-0.36,-1.57,1.29,0.72,1.94,0.3,-0.42,-0.69
"34","24","    Structures","A842RZ2",NA,-0.16,1.17,1.72,0.66,4.5,2.81,2.33,2.81,5.54,3.19,0.5,1.16,1.39,0.81,0.6,-1.13,2.95,0.22,-0.62,1.16,-0.55,-0.79,1.49,0.81,0.04,1.26,2.87,2.79,0.02,1.75,-0.18,2.77,1.09,-1.1,0.03,1.26,0.1,-0.76,0.07,2.85,-0.37,-0.1,1.83,2.31,-0.07,1.69,1.74,0.75,-0.39,-1.21,-2.38,0.79,1.43,1.69,0.14,2.99,-3.07,1.65,3.68,-1.61,-0.29,0.98,0.44,1.77,-0.24,2.41,0.61,0.1,2,0.1,-0.45,0.13,1.99,2.92,0.65,0.43,-0.4,0.18,2.39,2.25,-0.44,-1.58,1.3,0.66,1.88,0.17,-0.52,-0.77
"35","25","    Equipment and software","B881RZ2",NA,0.12,0.12,0.09,1.1,-0.25,-0.22,-0.05,-0.26,0.54,0.35,0.23,-0.23,-0.06,-0.16,-0.24,0.46,-0.02,0.05,-0.04,0.19,0.03,0.03,0.03,0.09,0.03,0.02,0.01,0.27,-0.04,0.06,0.05,-0.16,0.09,-0.07,-0.15,0.4,0.14,0.12,0.05,0.49,0.18,0.13,0.1,-0.25,0.05,0.04,0.06,0.1,0.06,0.05,0.09,0.27,0.1,0.06,0.07,-0.05,0.08,0.04,0.02,0.17,0.04,0.04,0.05,0.34,0.12,0.13,0.11,0.22,0.13,0.12,0.14,-0.05,0.13,0.14,0.11,0.09,0.17,0.14,0.11,-0.05,0.08,0.01,-0.01,0.05,0.05,0.13,0.1,0.08
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
