"","Table 1#3#6# Real Gross Value Added by Sector, Chained Dollars  ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"11","4","  Farm","B359RX1",17.2,16.2,19.6,19.1,18.2,14.2,17.8,15.3,18.7,18.2,20.3,17.8,19.9,21.6,21,20.8,20.7,20.9,18.8,21.6,20.7,21.8,20.6,21.7,22.8,23.6,24.1,24.1,23.2,24,23.8,25.1,25.4,24.9,25.7,24.9,26.5,25.5,27.6,26.6,27.5
"12","5","Households and institutions","A193RX1",117.6,115.1,111.2,106.8,105.8,107.2,108.1,109.5,111,110.8,113.1,117.2,121.3,127.7,129.9,135.4,139.8,142.1,150.8,160.4,170.2,183.7,195.9,207.9,220.2,232.9,251.8,267.5,281.6,297.7,314.5,335.6,349.6,368.9,384,399.9,419.7,438.9,457.1,480.1,501.2
"13","6","  Households","B701RX1",69.4,67.2,64.3,61.1,60.7,61.9,62.4,63,64,63.6,65.1,66.8,69.1,73.6,75.1,78.7,82,81.9,87.1,90.8,96.7,105.5,113.5,121.2,128.7,136.6,148.5,158.1,166.7,176.1,186.2,197.3,206.5,217.9,226.9,236,246.9,256.8,267.1,274.6,285.9
"14","7","  Nonprofit institutions serving households \3\","B702RX1",45.2,46.5,47,46.9,46.1,45.6,46.2,47.2,47.5,48.2,48.7,52.2,54.1,54.6,55,56.3,56.4,60.5,63.9,71.8,75.6,79.3,82.4,85.9,90.3,94.7,100.7,106.1,111.3,117.9,124.1,135.2,139.2,146.6,152.6,159.4,168.6,178.5,186.6,204.9,214.9
"15","8","General government \4\","A765RX1",172.3,180.4,183.6,181.2,191.2,215.8,230.1,269.4,256.9,277.1,282.3,295.7,363.4,555.7,912.4,1105.7,1109.5,601.5,473.9,453.9,452.2,458.5,548,594.1,605.3,606.1,608.4,619.9,632.9,639.3,648.1,670.5,694.2,721.3,742.8,768.4,794.2,843.9,888.7,923.6,947.2
"16","9","  Federal","A766RX1",38.2,41,39.2,37.5,46.3,61.6,68.3,112.8,97.8,110.4,112.6,123.2,187.5,378.8,734.3,929.1,929.6,435.6,307.4,283.9,271.2,271.2,357.1,398,400,390.3,381.4,377.6,376.4,365.9,362.8,369.8,377.6,393.2,396.7,400.7,403.4,429.9,457.9,465.7,467.1
"17","10","  State and local","A767RX1",128,133.2,137.8,137.1,138.1,146.5,153.6,145.4,149.7,155.9,158.8,160.7,162,159.9,155.9,152.3,155.5,163.6,173.9,178.4,190.2,196.9,202,208.7,217.8,227.4,238,252.9,266.7,283.1,294.9,310.5,326.5,338.5,356.1,377.5,400.5,424.2,442.1,468.6,490
"18","11","Residual","A961RX1",72.9,46.1,38,15.1,5.5,0.2,12.4,3.5,29.1,7.3,24.2,27.7,25.5,-58.4,-267.8,-381.5,-389.1,-115.1,-63.1,-33.3,-42.7,-26.3,-74.3,-93.9,-87.8,-91.4,-74.5,-79.9,-88.1,-98.5,-86.4,-96.6,-105.6,-107.6,-106.5,-105.9,-98.4,-108.2,-122.9,-131.8,-134.5
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","12","  Gross housing value added","A2009X1",73.2,72.8,72.4,71.9,69.8,72,72,71.9,73,75.6,76.7,78.7,82.6,88.5,93.2,97.1,99.3,102.2,107.6,113.2,120.8,129.2,138.9,149.3,158.1,167.6,176.9,186.3,197.7,208.9,223.4,237.2,250.5,265.9,278.9,291.6,307.1,320.9,335.6,348.3,364.6
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Note. Chained (2005) dollar series are calculated as the product of the chain-type quantity index",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","and the 2005 current-dollar value of the corresponding series, divided by 100. Because the formula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","for the chain-type quantity indexes uses weights of more than one period, the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","chained-dollar estimates are usually not additive. The residual line is the difference between the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","first line and the sum of the most detailed lines.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
