"","Table 1#3#3# Real Gross Value Added by Sector, Quantity Indexes ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"16","8","General government \4\","B765RA3",34.471,33.026,32.571,31.904,31.796,31.294,31.541,31.764,31.714,31.681,31.522,31.012,30.618,31.103,31.732,34.226,35.186,37.765,39.623,40.01,40.766,41.377,41.679,41.621,41.947,42.158,42.311,42.133,42.067,42.091,42.246,42.358,42.317,42.112,42.387,42.603,42.681,42.886,43.374,43.67,43.794,44.047,44.359,44.046,43.946,44.239,44.807,45.022,44.807,44.961,45.194,45.496,45.965,46.721,46.861,47.158,47.615,47.896,48.466,49.333,49.735,50.109,50.447,50.561,50.955,51.481,52.073,52.333,52.756,53.289,53.739,54.177,54.248,54.864,55.612,56.435,57.167,58.103,59.29,60.437,61.14,61.458,62.236,62.641,63.506,64.24,64.723,64.719,65.229
"17","9","  Federal","B766RA3",75.281,70.392,68.528,66.039,65.688,64.01,64.494,64.671,63.723,62.791,61.497,59.241,57.778,59.199,61.113,69.187,72.078,80.314,86.174,87.034,89.319,91.056,91.627,90.888,91.464,91.601,91.422,90.19,89.417,88.975,88.904,88.569,87.955,86.659,86.671,86.48,86.14,85.582,86.201,86.31,86.212,86.342,86.39,84.245,83.167,82.953,83.791,83.673,82.579,82.604,82.668,82.914,83.45,84.967,84.315,84.395,84.59,85.109,86.09,88.424,89.509,89.813,89.885,89.248,89.598,90.382,90.94,90.759,90.699,91.226,91.724,91.65,91.027,91.258,92.078,93.374,94.834,96.586,99.179,101.374,103.798,103.941,104.926,104.808,105.484,106.638,106.875,105.592,105.966
"18","10","  State and local","B767RA3",17.066,17.333,17.57,17.749,17.734,17.748,17.895,18.151,18.521,18.915,19.279,19.558,19.632,19.691,19.751,19.846,19.983,20.147,20.333,20.527,20.653,20.799,20.992,21.218,21.44,21.68,21.968,22.222,22.443,22.653,22.897,23.186,23.376,23.621,24.008,24.394,24.643,25.165,25.598,25.971,26.185,26.489,26.91,27.357,27.67,28.182,28.643,29.005,29.164,29.373,29.682,30.013,30.459,30.899,31.373,31.761,32.328,32.508,32.908,33.172,33.297,33.696,34.141,34.559,34.97,35.388,35.99,36.43,37.052,37.589,38.021,38.675,39.037,39.814,40.534,41.161,41.589,42.187,42.794,43.51,43.523,43.907,44.594,45.199,46.129,46.687,47.262,47.771,48.33
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009A3",10.074,10.142,10.239,10.36,10.501,10.656,10.822,10.995,11.175,11.361,11.552,11.748,11.943,12.151,12.366,12.588,12.811,13.048,13.293,13.543,13.817,14.058,14.285,14.5,14.677,14.885,15.099,15.321,15.565,15.792,16.018,16.241,16.462,16.68,16.897,17.113,17.316,17.548,17.794,18.053,18.352,18.621,18.886,19.15,19.376,19.657,19.957,20.276,20.705,20.984,21.369,21.731,22.04,22.311,22.631,23.03,23.312,23.552,23.873,24.335,24.599,25.052,25.397,25.874,26.027,26.281,26.609,26.936,27.174,27.464,27.785,28.244,28.571,28.91,29.332,29.716,29.951,30.21,30.619,30.988,31.301,31.629,32.042,32.394,32.66,32.798,33.141,33.573,33.968
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
