"","Table 2#3#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"16","8","  Nondurable goods","DNDGRA3",21.561,21.93,22.032,21.743,21.814,22.027,21.892,22.178,22.262,22.323,22.126,22.487,22.774,23.038,23.436,22.916,23.338,22.997,23.481,23.756,23.56,24.107,24.53,24.89,25.045,25.16,24.929,24.965,25.205,25.137,25.454,25.882,26.151,26.634,26.813,27.357,27.666,27.596,27.615,27.836,28.004,28.11,28.5,28.314,28.059,28.314,28.831,29.227,29.608,29.853,29.967,30.152,30.228,30.558,30.379,30.4,30.581,30.99,31.014,31.435,31.696,31.823,32.07,32.25,32.427,32.537,32.835,32.793,33.355,33.991,34.655,34.722,35.054,35.389,35.919,37.251,37.522,37.878,38.15,38.044,38.472,38.758,38.722,38.897,39.662,40.15,40.79,40.799,41.252
"17","9","    Food and beverages purchased for off-premises consumption","DFXARA3",35.708,36.421,36.275,35.373,35.442,36.048,35.232,35.882,35.917,35.91,35.745,35.721,36.518,36.669,36.744,36.376,36.579,36.494,37.143,36.896,36.698,37.703,38.215,38.508,39.321,39.368,39.089,39.094,39.769,39.641,40.502,41.159,41.407,42.042,42.379,43.015,43.669,43.468,43.479,43.828,44.151,44.572,44.992,44.885,44.541,44.48,44.892,45.435,46.264,46.545,46.823,47.132,46.97,47.263,46.98,46.886,47.277,47.797,47.705,47.939,47.9,47.84,48.238,48.007,48.008,48.275,48.579,48.694,48.986,49.839,50.569,50.755,51.313,51.698,52.41,54.745,54.491,54.612,54.766,54.502,55.583,55.886,55.583,56.313,56.985,58.01,59.037,59.237,59.977
"18","10","    Clothing and footwear","DCLORA3",12.204,12.057,12.253,12.24,12.125,12.201,12.316,12.592,12.611,12.452,11.999,12.468,12.447,12.662,13.126,12.542,12.807,12.338,12.599,12.775,12.678,13.128,13.526,13.822,13.341,13.665,13.405,13.217,13.371,13.372,13.32,13.616,13.773,14.151,14.035,14.334,14.34,14.393,14.527,14.508,14.327,14.266,14.571,14.198,14.059,14.329,14.65,14.903,14.959,15.344,15.24,15.385,15.431,15.538,15.285,15.227,15.365,15.525,15.651,16.075,16.158,16.339,16.412,16.545,16.479,16.581,16.874,16.719,17.41,17.868,18.132,18.312,18.331,18.3,18.682,19.393,19.805,19.878,20.105,19.925,19.937,20.09,20.18,20.061,20.624,20.766,21.124,20.973,21.183
"19","11","    Gasoline and other energy goods","DGOERA3",27.943,28.892,29.19,29.117,29.782,29.848,30.151,29.808,29.54,29.983,29.999,30.351,30.51,31.666,32.28,31.5,32.749,32.507,33.342,34.055,33.92,34.308,34.824,35.244,35.37,35.252,35.644,35.563,35.762,35.865,36.601,37.565,38.174,39.108,39.516,40.593,40.996,41.078,40.576,41.471,42.043,41.541,42.352,42.25,42.489,43.759,44.538,44.938,45.017,45.105,44.941,44.939,45.32,46.383,45.581,45.587,45.032,46.188,45.159,45.285,46.567,46.67,46.612,47.712,48.872,48.363,48.205,48.61,49.463,50.683,52.23,52.019,51.778,53.096,54.334,54.924,54.967,56.352,57.107,57.394,57.289,57.844,57.711,58.768,59.994,60.08,60.717,60.601,61.935
"20","12","    Other nondurable goods","DONGRA3",11.452,11.936,12.086,12.102,12.274,12.228,12.399,12.384,12.675,12.997,13.134,13.64,13.765,13.896,14.367,13.999,14.536,14.175,14.562,15.354,15.058,15.126,15.35,15.758,16.035,15.963,15.723,16.115,15.953,15.832,15.869,15.975,16.253,16.462,16.762,17.241,17.483,17.365,17.37,17.535,17.856,17.994,18.241,18.244,17.863,18.09,18.765,19.087,19.398,19.402,19.672,19.783,20.034,20.407,20.639,20.877,21.041,21.352,21.627,22.195,22.649,22.869,23.201,23.568,23.926,24.02,24.352,24.194,24.635,24.958,25.662,25.515,26.073,26.479,26.688,27.621,28.241,28.843,29.1,29.176,29.486,29.779,29.888,29.603,30.39,30.749,31.181,31.236,31.362
"21","13","Services","DSERRA3",11.719,11.888,11.862,11.801,11.927,12.114,12.179,12.302,12.38,12.443,12.417,12.454,12.609,12.928,13.128,13.211,13.572,13.664,13.835,13.869,14.041,14.26,14.45,14.656,14.806,14.983,15.075,14.963,15.102,15.364,15.631,15.821,16.006,16.123,16.289,16.613,16.773,16.934,17.112,17.335,17.402,17.552,17.681,17.875,17.858,18.116,18.359,18.469,18.708,18.986,19.241,19.473,19.649,19.868,19.845,20.037,20.237,20.533,20.595,20.958,21.156,21.472,21.657,21.931,22.017,22.258,22.648,22.957,23.327,23.652,23.961,24.289,24.565,24.936,25.278,25.707,25.974,26.257,26.474,26.763,27.01,27.272,27.644,27.877,28.314,28.76,29.131,29.454,29.717
"22","14","  Household consumption expenditures (for services)","DHCERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.63,19.931,20.205,20.437,20.587,20.802,20.768,20.981,21.212,21.509,21.569,21.942,22.146,22.497,22.707,23.012,23.104,23.342,23.736,24.043,24.403,24.748,25.084,25.439,25.743,26.121,26.455,26.892,27.17,27.49,27.738,28.065,28.315,28.57,28.93,29.146,29.606,30.092,30.492,30.839,31.127
"23","15","    Housing and utilities","DHUTRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.028,21.235,21.616,21.922,22.223,22.443,22.672,23.048,23.233,23.583,23.785,24.224,24.531,24.889,25.207,25.686,25.919,25.975,26.43,26.675,27.045,27.303,27.65,28.092,28.377,28.812,29.187,29.546,29.8,30.126,30.483,30.809,31.021,31.485,31.822,32.348,32.764,32.913,33.423,33.93,34.448
"24","16","    Health care","DHLCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.911,16.032,16.09,16.047,16.266,16.384,15.958,16.29,16.463,16.925,17.064,17.329,17.75,18.233,18.734,19.168,19.416,19.585,19.72,20.051,20.842,21.651,22.386,22.814,23.194,23.121,22.698,22.68,23.072,23.886,24.542,25.188,25.27,25.309,25.278,25.343,26.019,27.016,27.657,28.361,28.843
"25","17","    Transportation services","DTRSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.108,19.395,19.797,20.041,20.154,20.196,20.248,20.288,20.254,20.375,20.475,20.772,20.945,21.213,21.273,21.507,21.741,21.988,22.288,22.618,22.904,23.208,23.556,23.82,23.982,24.36,24.768,25.133,25.385,25.938,25.917,26.676,26.995,27.093,27.508,27.845,28.367,28.832,29.389,29.842,30.337
"26","18","    Recreation services","DRCARA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.81,11.071,11.144,11.278,11.54,11.669,11.715,11.828,11.944,12.083,12.213,12.513,12.521,12.986,12.711,12.899,13.081,13.137,13.744,13.234,13.754,13.63,13.748,14.229,14.301,14.275,14.295,14.559,14.632,15.039,15.388,15.836,15.946,15.565,16.21,15.232,16.116,16.652,16.87,17.273,17.543
"27","19","    Food services and accommodations","DFSARA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.122,28.496,29.112,29.44,28.953,29.389,29,29.036,29.267,29.037,28.978,29.474,29.765,30.058,30.387,30.741,30.788,30.889,30.941,31.354,32.07,32.482,32.748,33.012,33.768,34.722,35.223,35.913,36.566,36.634,36.851,36.518,36.215,35.899,36.291,36.657,38.048,38.38,38.799,38.842,38.805
"28","20","    Financial services and insurance","DIFSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.773,15.259,15.554,15.846,15.829,16.032,16.059,15.968,16.708,17.111,16.666,16.856,16.611,16.947,16.805,16.875,16.632,17.047,17.641,18.281,18.174,18.453,18.927,18.949,19.248,19.571,19.932,20.672,20.823,20.701,20.486,20.149,20.953,21.317,22.029,21.945,21.623,22.868,23.036,23.16,22.608
"29","21","    Other services","DOTSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.553,23.055,23.094,23.33,23.566,23.836,23.665,23.869,24.03,24.459,24.542,24.988,25.178,25.418,25.631,25.669,25.495,26.224,26.702,27.194,27.223,27.585,27.572,27.954,28.117,28.652,29.573,30.291,30.49,30.704,30.784,31.515,31.934,32.602,32.905,33.318,33.441,33.559,33.696,33.665,34.12
"30","22","  Final consumption expenditures of nonprofit institutions serving households (NPISHs) \1\","DNPIRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.784,4.754,4.726,4.851,5.164,5.339,5.415,5.381,5.272,5.437,5.491,5.64,5.719,5.658,5.59,5.524,5.539,5.702,5.913,6.118,6.422,6.482,6.472,6.47,6.431,6.614,6.882,7.089,7.165,7.073,6.971,6.875,7.006,7.215,7.53,7.804,7.894,7.88,7.896,7.92,7.901
"31","23","    Gross output of nonprofit institutions \2\","DNPERA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.299,14.973,14.689,14.699,15.35,15.695,15.426,15.642,15.566,16.284,16.337,16.642,16.908,16.993,17.114,17.223,17.456,17.855,18.203,18.594,19.232,19.442,19.545,19.546,19.875,20.309,20.785,21.222,21.629,21.933,22.008,22.144,22.437,22.991,23.588,24.098,24.435,24.939,25.088,25.481,25.809
"32","24","    Less: Receipts from sales of goods and services by nonprofit institutions \3\","DNPSRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.925,21.274,20.71,20.43,21.118,21.471,20.756,21.275,21.346,22.497,22.494,22.815,23.204,23.511,23.904,24.269,24.722,25.21,25.495,25.881,26.577,26.89,27.122,27.129,27.883,28.406,28.844,29.325,30.009,30.82,31.178,31.652,31.985,32.703,33.299,33.801,34.312,35.369,35.642,36.393,37.094
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","25","  PCE excluding food and energy \4\","DPCCRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.948,16.279,16.485,16.48,16.68,16.904,16.857,16.882,16.859,17.095,17.246,17.674,17.881,18.177,18.33,18.654,18.774,19.024,19.316,19.516,19.952,20.307,20.684,20.739,21.299,21.518,21.907,22.48,22.93,22.944,23.249,23.384,23.466,23.811,24.008,24.085,24.73,25.138,25.62,25.745,25.999
"35","26","  Energy goods and services \5\","DNRGRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.876,37.773,37.973,38.077,38.633,39.362,38.885,39.202,38.785,40.135,39.421,39.808,40.934,41.025,41.188,42.216,43.354,42.464,43.04,43.071,44.162,44.856,46.005,46.111,45.977,47.277,48.034,48.482,48.681,49.967,50.565,50.951,50.863,51.973,51.698,52.914,53.917,53.685,54.601,54.819,56.139
"36","27","  Market-based PCE \6\","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","28","  Market-based PCE excluding food and energy \6\","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","1. Net expenses of NPISHs, defined as their gross operating expenses less primary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","sales to households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
