"","Table 5#5#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"24","15","    Metalworking machinery","C271RW2",-0.12,-0.28,-1.29,0.68,1.27,0.58,-0.94,-0.05,0.1,0.8,0.51,0.01,-0.16,-1.02,-1.17,0.69,0.28,-0.04,-0.35,0.24,0.61,-0.33,-0.22,0.19,0.33,0.61,0.6,0.08,0.32,0.01,-0.13,0.06,-0.48,-0.27,-0.02,0.02,0.22,0.12,0.06,0.01,-1
"25","16","    Special industry machinery, n.e.c.","C272RW2",0.2,-0.01,-0.44,0.44,0.54,-0.14,-0.99,-0.07,0.03,0.91,0.12,-0.01,-0.11,0.01,0.05,0.64,0.34,0.07,0.16,0.32,0.55,-0.54,-0.52,-0.03,0.48,0.3,0.68,0.14,-0.04,0.16,0.03,0.54,-0.47,-0.48,-0.17,-0.12,0.18,0.27,0.14,-0.33,-0.81
"26","17","    General industrial, including materials handling, equipment","C273RW2",0.81,-0.09,-0.45,0.23,1.47,0.88,-1.18,0.11,1.34,1.12,0.53,-0.54,-0.3,-0.55,-0.6,1.25,0.39,0.31,-0.51,0.33,0.05,-0.22,-0.57,0.22,0.95,0.49,0.62,0.22,0.3,0.41,-0.22,0.32,-0.46,-0.05,0.35,0.16,0.65,0.43,-0.02,-0.39,-1.5
"27","18","    Electrical transmission, distribution, and industrial apparatus","C276RW2",0.23,0.18,-0.4,0.37,0.77,0.31,-0.81,-0.05,0.61,0.02,0.25,-0.11,0.08,-0.11,0.08,0.73,-0.05,-0.18,0.22,0.08,0.09,-0.1,-0.23,0.05,0.1,0.27,0.22,0.1,0.17,0.13,0.21,0.31,-0.23,-0.27,-0.07,0.11,0.1,0.24,0.15,-0.08,-0.49
"28","19","  Transportation equipment","A681RW2",1.16,-5.01,1.88,4.11,5.3,-2.54,-3.26,2.47,5.06,2.68,1.11,-4.52,-0.58,-2.25,2.35,3.86,0.81,-0.8,-1,1.04,-1.89,-0.09,-0.45,0.31,3.14,3.14,1.61,0.78,1.59,1.77,3.29,-0.43,-1.6,-1.56,-1.52,2.47,2.08,1.47,-1.01,-3.9,-7.1
"29","20","    Trucks, buses, and truck trailers","C279RW2",1.72,-1.81,0.83,2.6,1.97,-0.65,-3.12,1.74,2.05,1.35,0.1,-2.89,-0.49,-0.54,1,2.44,1.04,-1.45,0.13,-0.07,-0.47,-1.26,-0.63,0.77,2.22,2.47,1.31,0.89,1.27,1.08,1.1,-0.8,-1.54,-0.44,0.08,2.09,1.8,1.16,-1.65,-2.87,-4.03
"30","21","      Light trucks (including utility vehicles) \3\","W178RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,-0.44,-0.3,-0.13,-0.05,1.06,1.98,0.82,1.46,1.53,0.25,0.65,-0.23,-0.63,-0.45,0.15,1.18,1.16,0.85,-0.59,-2.18,-3.29
"31","22","      Other trucks, buses, and truck trailers \3\","W179RW2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34,-0.04,-0.96,-0.51,0.82,1.16,0.49,0.49,-0.57,-0.26,0.83,0.45,-0.56,-0.9,0.01,-0.07,0.91,0.64,0.31,-1.07,-0.69,-0.74
"32","23","    Autos \3\","C280RW2",0.32,-1.84,2.69,0.71,1.35,-1.08,-0.09,1.61,2.12,0.56,-0.99,-1.33,1.09,0.04,2.15,1.55,-0.12,0.21,-1.27,0.82,-1,0.45,0.12,-0.25,0.77,1.47,-0.43,-0.04,-0.18,-0.21,0.87,0.22,0.01,0,-0.61,0.03,0.49,0.4,-0.1,-1.11,-1.84
"33","24","    Aircraft","C281RW2",-1.67,-0.7,-1.66,0.76,1.17,-0.8,-0.26,-0.19,0.64,0.37,1.07,0.07,-0.42,-0.52,-0.02,-0.29,0.12,0.46,0.16,0.15,-0.61,0.71,0.14,-0.06,-0.15,-0.93,0.67,-0.13,0.37,0.77,1.22,0.13,0.14,-1.1,-0.94,0.27,-0.33,-0.14,0.61,-0.11,-0.52
"34","25","    Ships and boats","C282RW2",0.1,-0.02,-0.1,0.27,0.58,-0.31,0.42,-0.11,0.05,-0.07,0.19,-0.03,0.26,-0.67,-0.5,-0.11,-0.15,0.04,0.09,-0.07,-0.05,0,0,-0.11,0.21,-0.07,-0.01,0.08,0.05,0.02,0.01,0.05,-0.04,0.06,0.03,0.05,-0.02,-0.06,0.1,0.11,-0.25
"35","26","    Railroad equipment","C283RW2",0.7,-0.63,0.11,-0.22,0.23,0.31,-0.21,-0.58,0.21,0.46,0.73,-0.34,-1.03,-0.55,-0.29,0.27,-0.09,-0.07,-0.11,0.22,0.24,0,-0.07,-0.05,0.09,0.22,0.06,-0.01,0.09,0.12,0.1,-0.04,-0.18,-0.08,-0.07,0.04,0.15,0.12,0.03,0.08,-0.46
"36","27","  Other equipment","A682RW2",1.6,0.91,-0.18,2.98,4.24,0,-1.92,0.41,2.9,2.79,1.15,-2.5,0.56,-3.73,-0.93,2.61,0.15,-0.31,0.58,0.74,2.08,-0.71,-2.87,-0.1,1.97,1.24,0.92,0.64,1.49,1.62,0.38,0.82,-0.18,-0.1,0.73,1.1,1.52,0.71,-0.09,-0.71,-4.22
"37","28","    Furniture and fixtures","A667RW2",0.39,-0.12,-0.26,0.93,0.29,-0.42,-0.54,0.28,0.75,0.43,0.29,0.21,0.12,0.22,0.31,0.73,0.2,0.14,0.33,-0.18,0.55,-0.33,-0.59,0.44,0.03,0.1,0.22,0.09,0.59,0.52,0.36,0.31,-0.28,-0.19,0.03,0.13,0.21,0.07,-0.23,-0.22,-0.96
"38","29","    Agricultural machinery","C268RW2",0.03,0.63,-0.38,0.93,1.7,-0.4,0.44,-0.33,-0.06,0.3,0.45,-1.22,-0.17,-1.57,-0.57,0.17,-0.58,-0.22,0.06,0.65,0.46,0.27,-0.62,-0.4,0.32,0.25,0.04,-0.03,0.31,0.08,-0.59,0.15,0.09,0.24,0.16,0.22,0.12,-0.17,0,0.27,-0.35
"39","30","    Construction machinery","C269RW2",0.37,-0.18,-0.06,0.84,0.87,0.31,-1.05,-0.25,1.28,1.07,-0.43,-1.15,-0.28,-1.39,0.26,1,0.25,-0.14,-0.28,-0.13,0.66,-0.03,-1.16,-0.05,0.57,0.3,0.26,0.31,0.18,0.34,0.01,0.02,-0.29,-0.18,0.11,0.37,0.67,0.42,-0.14,-0.49,-1.33
"40","31","    Mining and oilfield machinery","C270RW2",0.05,0.33,0.16,-0.29,0.24,0.38,0.36,0.02,0.13,-0.15,-0.07,-0.04,0.93,-0.99,-0.88,-0.14,-0.12,-0.34,-0.02,0.07,0.07,-0.04,-0.09,-0.04,0.27,-0.02,0,0.02,0.12,0,0.21,-0.01,0.08,-0.25,0.1,0.09,0.23,0.43,0.41,-0.01,-0.42
"41","32","    Service industry machinery","C570RW2",0.42,0,0.08,0.04,0.26,-0.13,-0.5,0.28,0.21,0.35,0.27,-0.04,-0.02,0,0.03,0.48,0.18,0,0.23,0.04,0.16,-0.38,-0.18,-0.1,0.14,0.21,0.12,0.06,-0.04,0.26,0.17,0.07,0.07,-0.07,-0.02,0.05,0.1,-0.03,-0.1,-0.02,-0.36
"42","33","    Electrical equipment, n.e.c.","A670RW2",0.07,0.07,0,0.13,0.14,0.01,-0.08,0.12,-0.03,0.3,0.16,0.1,0.06,-0.21,0.04,0.08,0.04,0.03,0,0.07,-0.02,-0.09,-0.13,0.01,0,0.03,0.04,-0.02,0.06,0.09,-0.02,0.02,0.04,0.04,0.04,0.13,-0.03,-0.01,-0.11,-0.01,-0.11
"43","34","    Other","C286RW2",0.26,0.19,0.28,0.39,0.74,0.25,-0.55,0.3,0.61,0.49,0.48,-0.35,-0.08,0.2,-0.13,0.29,0.18,0.21,0.25,0.21,0.21,-0.11,-0.09,0.04,0.64,0.38,0.25,0.22,0.27,0.32,0.23,0.26,0.11,0.3,0.32,0.13,0.22,0,0.07,-0.24,-0.69
"44","35","  Less: Sale of equipment scrap, excluding autos","C287RW2",0.14,0,-0.11,-0.02,0.39,0.29,-0.24,0.21,-0.02,0.42,0.7,-0.25,-0.02,-0.78,-0.18,0.08,-0.03,0.01,0.08,-0.14,-0.02,0.02,-0.1,-0.01,0.41,-0.07,0.05,0.04,-0.03,0,-0.05,-0.02,-0.07,0.02,-0.04,0.06,-0.01,0.05,0.03,-0.07,-0.2
"45","36","Residential equipment","B013RW2",0.2,0.13,0.19,0.35,0.23,0.03,-0.12,0.09,0.15,0.13,0.14,0,0,-0.06,0.17,0.17,0.12,0.12,0.06,0.06,0.01,-0.04,-0.05,0.04,0.03,0.01,0.01,-0.01,-0.01,0.06,0.09,0.06,0.02,0.04,0.06,0.11,0.04,0.04,-0.01,-0.03,-0.06
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2. For 1929-45, includes electrical transmission, distribution, and industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","apparatus (line 18) and electrical equipment, n.e.c. (line 33).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","3. Includes net purchases of used vehicles.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
