"","Table 4#2#3# Real Exports and Imports of Goods and Services by T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"26","19","  Passenger fares","B533RA3",9.431,11.346,11.721,12.649,17.459,17.377,14.689,16.358,17.772,20.856,28.667,30.645,33.482,32.623,37.104,42.863,48.283,58.88,69.36,83.703,97.079,130.298,122.638,124.97,122.032,122.488,129.087,139.363,149.552,146.546,133.796,136.206,117.06,108.096,90.12,96.928,100,104.616,111.815,123.727,118.913,113.849
"27","20","  Other transportation","B683RA3",24.82,28.147,27.686,31.146,36.787,38.486,37.988,41.025,41.471,44.033,49.635,49.319,49.577,47.599,45.896,55.465,56.536,55.449,61.901,70.485,71.373,71.569,72.016,68.194,68.532,74.479,80.332,78.156,80.732,79.274,82.706,83.027,80.089,83.301,86.703,98.333,100,106.253,91.813,91.987,78.584,85.415
"28","21","  Royalties and license fees","B684RA3",15.464,16.964,17.51,18.284,20.023,22.2,22.862,21.738,22.791,25.229,24.266,25.094,23.638,16.836,16.637,17.048,17.778,20.99,25.4,29.191,31.816,36.597,37.777,42.958,43.631,52.547,58.155,61,61.335,65.223,71.539,76.039,70.133,75.586,77.995,91.304,100,106.237,123.497,132.947,127.266,139.29
"29","22","  Other private services","B720RA3",2.092,2.243,2.599,2.899,3.164,5.163,5.991,6.931,7.142,8.457,9.425,10.073,14.402,17.367,17.163,17.402,17.369,24.6,24.656,25.811,29.829,31.356,35.687,36.315,37.856,42.459,44.467,49.143,55.563,60.827,70.103,72.452,76.804,82.476,87.31,96.534,100,112.027,129.623,135.327,135.924,141.869
"30","23","  Other","B980RA3",47.632,50.294,51.22,55.063,64.339,69.493,74.806,77.646,82.635,87.958,94.13,90.283,96.311,75.059,96.497,98.137,114.971,104.143,99.732,93.453,88.863,98.536,110.011,117.387,127.379,129.528,120.144,124.2,123.509,115.851,113.598,110.976,109.329,105.264,98.308,101.897,100,103.784,107.579,121.982,113.285,113.868
"31","24","    Imports of goods and services","B021RA3",11.189,11.666,12.289,13.672,14.306,13.982,12.428,14.858,16.483,17.911,18.208,16.999,17.446,17.226,19.4,24.122,25.687,27.883,29.532,30.693,32.045,33.191,33.142,35.466,38.532,43.129,46.58,50.631,57.45,64.165,71.55,80.871,78.596,81.27,84.857,94.231,100,106.086,108.951,106.113,91.418,102.972
"32","25","Imports of goods \1\","B255RA3",9.51,9.882,10.711,12.168,13.027,12.665,11.069,13.572,15.226,16.591,16.876,15.623,15.945,15.544,17.656,21.927,23.299,25.687,26.878,27.966,29.171,30.02,30.156,32.999,36.301,41.149,44.855,49.06,56.13,62.78,70.609,80.086,77.53,80.409,84.363,93.66,100,105.904,109.028,105.189,88.615,101.687
"33","26","  Foods, feeds, and beverages","B647RA3",29.248,31.239,32.248,34.33,35.205,32.571,28.809,32.788,32.461,36.446,37.409,32.56,33.878,34.534,37.481,42.457,44.296,45.342,46.475,44.631,45.635,47.382,45.237,47.757,48.321,49.427,50.671,55.733,61.376,65.871,71.982,76.907,80.426,84.668,91.232,96.501,100,106.058,107.412,105.988,100.247,103.313
"34","27","  Industrial supplies and materials, except petroleum and products","B649RA3",21.934,22.163,24.157,26.508,26.677,25.991,21.891,26.661,28.686,31.413,30.178,26.335,28.589,25.917,30.78,38.172,38.388,40.427,40.029,40.465,39.548,40.17,39.425,43.337,47.022,54.015,56.558,59.776,64.709,71.863,75.35,80.441,77.663,79.877,81.149,93.767,100,104.272,100.185,92.676,70.179,80.522
"35","28","    Durable goods","B820RA3",27.065,27.241,29.822,33.01,33.739,32.721,26.019,30.416,34.094,37.667,35.647,29.294,30.961,25.287,31.515,39.747,38.977,41.473,39.001,38.335,36.74,36.764,35.059,38.502,42.292,50.697,52.539,56.267,60.589,69.935,72.763,77.562,73.048,76.854,77.644,93.412,100,109.345,98.714,90.226,63.205,72.865
"36","29","    Nondurable goods","B696RA3",16.691,16.969,18.37,19.876,19.49,19.14,17.669,22.791,23.158,25.026,24.584,23.286,26.129,26.5,29.976,36.504,37.724,39.278,41.162,42.879,42.78,44.108,44.463,48.914,52.474,57.789,61.15,63.771,69.414,73.89,78.166,83.577,82.728,83.167,84.959,94.158,100,98.714,102.279,95.859,78.304,89.357
"37","30","  Petroleum and products","B648RA3",21.262,22.968,26.267,32.078,45.57,43.87,43.146,52.025,62.591,59.175,59.857,48.34,42.356,36.431,36.053,38.082,35.76,44.212,46.178,51.078,55.233,55.821,55.619,58.132,63.679,67.991,66.756,72.387,75.383,80.579,81.228,85.728,88.254,86.183,91.939,98.027,100,98.119,102.844,100.078,91.277,91.974
"38","31","  Capital goods, except automotive","B650RA3",0.858,0.893,0.884,1.13,1.394,1.486,1.412,1.71,1.825,2.356,2.884,3.397,4.003,4.357,5.27,7.875,8.876,10.076,11.504,13.26,14.999,16.203,17.421,20.183,23.546,28.877,35.544,41.769,52.418,60.285,69.108,83.005,73.552,72.363,76.54,89.934,100,111.114,118.542,120.75,100.488,123.058
"39","32","    Civilian aircraft, engines, and parts","B932RA3",3.933,4.018,4.561,9.446,11.743,10.859,8.787,5.8,7.697,10.257,14.986,30.296,34.141,28.45,24.695,27.645,38.653,43.624,48.416,56.122,64.167,67.818,68.39,71.556,62.393,60.606,56.067,63.548,80.222,103.667,110.992,119.285,136.545,108.598,100.281,97.852,100,106.071,122.287,118.6,97.152,96.92
"40","33","    Computers, peripherals, and parts","B852RA3",0.002,0.003,0.004,0.005,0.007,0.01,0.012,0.019,0.025,0.043,0.064,0.096,0.137,0.206,0.507,0.926,1.05,1.631,2.616,3.427,4.325,4.864,6.241,8.654,11.537,15.359,20.435,26.019,34.347,42.789,55.168,64.571,58.743,64.782,70.622,87.462,100,116.978,128.609,130.847,128.862,164.294
"41","34","    Other","B853RA3",1.819,1.856,1.793,2.201,2.69,2.86,2.725,3.35,3.502,4.443,5.328,5.911,6.923,7.594,8.736,12.94,14.285,15.297,16.273,18.183,19.982,21.409,22.041,24.43,28.162,34.298,41.976,47.981,58.953,64.729,71.21,87.59,74.186,72.024,76.614,90.094,100,109.611,114.792,117.62,92.488,114.08
"42","35","  Automotive vehicles, engines, and parts","B651RA3",13.513,13.818,16.855,18.263,18.844,20.015,15.884,21.047,22.296,24.127,23.329,23.113,22.368,23.941,29.306,37.653,42.19,45.672,46.866,45.689,44.527,44.586,41.576,43.712,48.036,53.861,54.794,56.652,61.23,65.188,77.953,84.727,82.151,87.93,90.2,96.301,100,106.764,105.712,92.873,62.815,89.229
"43","36","  Consumer goods, except automotive","B652RA3",6.015,6.467,6.805,8.295,8.512,7.661,5.94,7.664,9.255,11.37,11.456,11.541,12.638,13.209,15.898,20.069,21.906,24.273,25.058,25.428,26.612,26.138,26.588,29.356,31.792,34.445,37.155,40.008,45.827,52.003,58.377,68.601,69.724,76.417,83.242,92.473,100,107.998,114.223,112.955,100.742,113.457
"44","37","    Durable goods","B697RA3",5.39,5.749,6.183,7.662,8.103,7.648,5.774,6.95,9.343,11.373,11.311,11.923,12.967,13.237,15.624,19.681,21.854,23.671,23.638,23.906,25.2,23.866,24.086,26.429,28.699,31.329,33.56,36.464,41.359,47.865,54.567,65.245,64.682,72.311,77.978,90.244,100,108.168,115.635,113.987,97.959,113.689
"45","38","    Nondurable goods","B698RA3",7.13,7.759,7.904,9.385,9.159,7.6,6.143,8.689,9.007,11.228,11.548,10.83,11.986,12.981,16.06,20.332,21.687,24.784,26.704,27.211,28.229,28.94,29.699,33.019,35.652,38.305,41.638,44.391,51.394,57.101,63.026,72.632,75.894,81.394,89.644,95.156,100,107.795,112.531,111.714,103.984,113.216
"46","39","  Other","B653RA3",11.01,11.045,11.466,12.003,11.076,10.118,7.977,9.087,11.125,11.967,12.323,14.753,19.474,21.35,22.099,25.623,30.524,31.063,32.451,33.655,36.254,41.988,42.97,44.545,45.469,50.293,51.374,53.267,61.437,71.593,84.242,94.773,96.774,99.841,95.163,95.017,100,101.101,101.732,91.947,85.5,91.553
"47","40","Imports of services \1\","B656RA3",21.596,22.722,22.075,23.011,22.235,22.21,21.247,22.714,23.846,25.546,25.897,25.319,26.778,28.205,30.483,38.126,41.026,41.488,46.378,47.954,50.278,53.564,52.173,50.768,52.124,54.901,56.556,59.514,64.687,71.721,76.569,84.955,84.292,85.837,87.474,97.252,100,107.059,108.539,111.167,106.461,110.177
"48","41","  Direct defense expenditures","B752RA3",159.418,155.598,135.628,130.392,104.57,97.658,81.566,76.881,80.029,86.958,84.105,91.994,97.737,104.928,114.251,112.952,117.815,105.507,98.224,91.639,90.645,87.871,81.641,66.4,59.421,48.811,43.286,47.869,55.186,59.133,63.633,66.546,72.697,90.267,102.515,107.021,100,98.038,79.681,75.56,84.23,86.3
"49","42","  Travel","B768RA3",19.73,22.764,22.74,24.595,23.203,20.829,20.094,21.374,22.022,22.747,22.192,22.165,23.445,27.791,31.486,57.552,63.524,59.053,70.02,71.954,74.135,79.207,71.727,73.849,77.467,80.218,80.848,84.022,91.268,103.171,105.168,117.09,111.519,104.659,95.401,101.802,100,100.578,98.504,96.828,94.753,91.087
"50","43","  Passenger fares","B769RA3",16.739,18.789,18.454,21.837,24.897,24.205,24.31,26.416,26.518,29.435,30.267,29.584,34.008,34.997,43.929,42.986,50.033,48.682,53.666,54.579,58.585,68.215,58.185,59.978,65.447,74.541,79.513,84.617,91.567,99.552,103.495,111.448,95.057,79.842,82.224,98.465,100,99.679,96.115,95.783,82.595,81.964
"51","44","  Other transportation","B770RA3",26.439,28.225,30.364,32.333,35.151,35.682,34.127,38.624,43.007,44.809,46.025,40.49,40.511,35.859,37.228,44.456,45.263,46.163,52.997,57.11,59.182,63.653,62.746,60.105,61.453,65.115,64.996,64.059,69.177,73.912,74.254,82.429,78.156,80.674,83.712,93.474,100,106.07,89.705,82.961,69.772,77.817
"52","45","  Royalties and license fees","B908RA3",4.468,4.286,4.338,5.059,6.255,6.754,7.916,7.566,7.327,8.701,9.664,7.738,6.692,6.245,7.103,8.444,8.169,9.486,12.13,16.38,15.23,18.038,22.383,27.836,26.475,30.132,34.751,38.523,44.241,53.824,61.832,75.761,74.569,86.008,82.661,97.983,100,92.456,95.315,95.462,93.572,108.08
"53","46","  Other private services","B909RA3",1.559,1.636,1.807,1.861,2.083,4.187,4.733,5.688,5.955,6.962,7.885,8.049,9.479,10.748,10.071,11.286,12.575,17.989,20.567,21.96,25.616,27.783,30.922,28.984,30.751,34.666,38.164,41.798,44.84,50.096,58.546,65.144,71.465,76.052,82.084,92.694,100,121.424,143.157,158.667,153.013,159.394
"54","47","  Other","B910RA3",50.303,50.074,48.313,48.036,47.683,45.655,45.138,48.544,48.888,51.176,51.479,48.289,48.1,53.629,57.718,59.632,63.857,60.314,68.366,69.246,69.53,69.698,72.185,73.67,74.002,77.296,78.475,79.969,83.092,86.292,86.264,91.036,94.264,93.826,94.223,100.901,100,98.768,99.651,96.944,103.894,100.99
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","48","  Exports of durable goods","B332RA3",8.271,9.049,8.984,9.923,12.364,14.271,13.975,14.172,14.141,15.765,17.945,20.015,19.295,16.771,16.426,18.201,19.665,20.812,23.763,29.481,33.63,37.226,39.999,43.182,45.429,50.933,58.187,64.885,76.614,79.09,82.867,93.555,85.766,80.908,82.339,91.373,100,110.728,121.006,127.39,105.658,123.955
"57","49","  Exports of nondurable goods","B339RA3",20.339,23.322,23.349,25.964,31.343,31.055,30.231,33.137,34.296,37.982,41.403,46.567,47.788,46.34,44.483,46.237,45.034,46.834,49.625,54.703,59.129,61.613,65.204,69.458,68.968,72.225,76.88,79.447,84.603,84.472,85.631,91.195,90.743,92.129,93.807,96.774,100,106.541,118.017,127.773,124.782,137.548
"58","50","  Exports of agricultural goods \2\","B181RA3",29.455,34.338,34.284,39.398,49.983,45.831,46.504,52.071,53.332,63.142,65.941,74.229,74.169,70.842,67.684,67.147,58.576,59.026,61.992,68.136,70.913,72.315,72.334,81.075,78.935,81.603,90.991,88.777,90.674,90.626,91.27,98.7,101.773,99.198,100.519,95.125,100,108.443,116.025,123.782,119.801,130.003
"59","51","  Exports of nonagricultural goods","B182RA3",12.951,14.107,13.915,15.126,18.402,20.657,19.848,20.23,20.128,22.146,24.984,27.474,26.663,23.185,21.709,22.683,23.659,25.028,28.011,33.634,37.996,41.494,44.678,47.806,49.675,54.843,61.271,67.476,78.066,79.968,83.213,92.627,86.266,83.086,84.603,92.859,100,109.491,120.421,127.962,111.564,128.6
"60","52","  Imports of durable goods","B333RA3",5.527,5.679,6.253,7.192,7.657,7.687,6.282,7.695,8.709,10.065,10.296,10.376,11.241,11.368,13.702,18.232,20.057,21.917,22.885,23.84,24.898,25.554,25.694,28.386,31.752,36.996,41.24,45.655,53.188,60.198,68.963,79.469,74.555,77.676,81.008,92.159,100,108.774,111.281,106.968,84.904,104.174
"61","53","  Imports of nondurable goods","B340RA3",19.302,20.35,21.61,24.135,26.034,24.407,22.645,27.787,30.948,31.957,32.327,27.833,26.998,25.424,27.076,30.836,31.208,34.891,36.646,38.048,39.595,40.929,41.051,44.185,47.161,50.663,52.743,56.275,62.129,67.805,73.271,80.457,82.648,85.001,90.125,96.073,100,101.744,105.705,102.462,92.827,97.846
"62","54","  Imports of nonpetroleum goods","B187RA3",7.384,7.651,8.256,9.32,9.675,9.426,7.897,9.744,10.63,12.197,12.43,12.209,13.328,13.607,16.082,20.729,22.554,24.474,25.613,26.479,27.513,28.378,28.537,31.385,34.541,39.361,43.271,47.36,54.663,61.341,69.473,79.299,76.288,79.579,83.346,93.003,100,107.388,110.158,106.056,87.632,103.521
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are included ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","in services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","2. Includes parts of foods, feeds, and beverages, of nondurable industrial supplies and materials, and of nondurable ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","nonautomotive consumer goods.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
