"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"11","3","  Nonfarm \2\","A358RC1",175.1,181.9,185.1,193.9,199.6,202.5,208.2,210.3,207.5,204.1,206.3,203.5,212.9,221.6,236.2,243.8,255.3,260,264.9,267.4,270.5,269.1,272.6,287.6,293.3,296.3,295.7,290.3,287.8,288.1,291.8,300.1,312.3,318.5,326.2,332,332.8,337.1,339.8,347.3,355.9,355.9,361,355.5,343.8,345.7,358.2,371.3,380.6,393.4,393,394.3,406.5,402.6,402.7,395.2,398.1,409.3,417.7,427.2,438.1,444.2,449.6,450.1,456.6,464.2,475.3,481.9,496.9,504,513.7,515.5,533,542.1,555.2,572.7,590.7,599,607.3,617,624.3,626.3,636.1,647.3,670.1,690.5,699.4,712.1,733.2
"12","4","  Farm","B359RC1",20.3,17,18.9,20,19.9,23.6,23.2,21.7,18.4,17.9,17.2,16.9,17.7,17.9,19.1,20.2,21.2,21.9,21.5,22,20.3,21.1,22.4,19.4,19.6,18.9,18.3,17.9,19.1,18.2,18.3,17.1,17.4,17.9,17.3,16.5,16.7,16.9,17.3,17.3,16.4,16.8,17.3,17.2,19.6,19.7,19,18.1,18,16.9,16.7,17.6,17,18,18.6,19.1,19,17.7,17.9,18.7,19,18.4,17.9,18.4,19,18.3,18.2,18.4,17.2,17.1,16.9,18.2,19.1,19.9,20.1,20.6,22.8,20.3,20.1,20.1,20.2,19.5,20.5,20.2,20.2,19.8,20.7,21.2,20.9
"13","5","Households and institutions","A193RC1",12.3,13.1,13.6,13.8,14,14.5,15,15.2,15.5,15.8,16,16.7,17.1,17.4,17.9,18.6,19.2,19.6,20.1,20.7,21.2,21.8,22.5,23,23.7,24.4,25,25.3,25.8,26.4,27,28,28.3,29,29.8,30.7,31,31.5,32.3,33,33.6,34.3,35,35.6,36.4,37.5,37.9,38.4,39.2,40.1,41.1,42.3,43.1,44.2,45,45.9,46.4,46.8,47.5,48.6,49.5,50.5,51.5,52.5,53.1,53.8,54.6,55.5,56.4,57.4,58,59,59.8,61.1,62.5,63.9,64.7,65.6,67.4,68.8,70,71.1,72.4,73.7,75,76.5,78.2,80.2,82
"14","6","  Households","B701RC1",9.2,9.5,10,10.2,10.3,10.5,10.8,11,11.1,11.4,11.6,12.2,12.5,12.8,13.2,13.5,14.1,14.4,14.9,15.1,15.4,16.2,16.9,17.1,17.4,18.1,18.7,19,19.3,19.7,20.2,20.8,21.3,21.6,22.3,22.9,23.3,23.6,24.1,24.5,25,25.5,26.1,26.5,26.9,27.7,28.2,28.6,29,29.7,30.4,31.2,31.6,32.2,32.8,33.5,34,34.2,34.7,35.5,36.1,36.6,37.3,38.1,38.4,38.8,39.3,39.8,40.3,41,41.4,41.9,42.4,43.2,44,44.8,45.3,45.6,46.6,47.5,48.1,48.7,49.4,50.2,50.7,51.5,52.2,53.2,54.2
"15","7","  Nonprofit institutions serving households \3\","B702RC1",3.1,3.6,3.6,3.7,3.8,4,4.2,4.2,4.3,4.4,4.4,4.5,4.6,4.7,4.7,5.1,5.2,5.2,5.2,5.6,5.9,5.6,5.6,5.9,6.2,6.3,6.3,6.3,6.5,6.7,6.8,7.1,7,7.3,7.5,7.7,7.7,7.9,8.2,8.5,8.6,8.8,9,9.1,9.5,9.8,9.8,9.9,10.2,10.4,10.7,11.1,11.5,11.9,12.1,12.4,12.5,12.6,12.8,13.1,13.5,13.9,14.2,14.5,14.7,15,15.3,15.7,16.1,16.3,16.6,17,17.4,17.9,18.4,19.1,19.4,20,20.8,21.3,21.9,22.4,23,23.5,24.3,25,26,27.1,27.8
"16","8","General government \4\","A765RC1",29.4,28.4,26.9,26.6,26.8,26.7,27.4,28,28.6,28.4,28.2,28.1,27.5,27.6,28.7,30.8,33.3,35.1,37,37.8,39.1,40.2,41,41.4,41.8,42.3,42.1,42.4,42.5,43.3,43.7,44.2,44.6,45.5,46.2,46.8,47.7,48.7,49.7,50.4,51.3,52.2,53.1,53.2,54.1,55.2,56.6,57.2,57.6,58,58.5,59,60.3,61.5,62.7,63.5,64.3,65.2,66.4,68,69.4,70.1,70.9,72.3,73.7,74.8,75.8,77.7,79.1,80.4,81.8,83,83.8,85.1,87.4,90.2,92.6,95,98.4,101,103.3,105.3,108,111.5,114.5,117.2,120.9,122.7,124.7
"17","9","  Federal","A766RC1",21.1,19.8,18,17.3,17.2,16.8,17,17.2,17.7,17.5,16.9,16.7,16.1,16,16.7,18.5,20.6,22.2,23.6,24.1,25.2,26,26.4,26.5,26.6,26.9,26.5,26.4,26.3,26.6,26.5,26.7,26.9,27.6,27.8,27.9,28.2,28.6,29,29.1,29.6,29.9,30.2,29.8,30.3,30.7,31.6,31.7,31.7,31.8,31.9,32,32.3,32.8,33.4,33.6,33.7,34,34.4,35.4,36.1,36.3,36.5,37.2,37.7,38.1,38.4,39.4,40,40.3,41.1,41.3,41.2,41.5,42.5,44.3,45.3,46.3,48.1,49.1,50.1,50.7,51.6,53.6,54.5,55.6,57.6,57.6,57.9
"18","10","  State and local","A767RC1",8.3,8.6,8.9,9.3,9.6,9.9,10.4,10.8,10.9,11,11.2,11.3,11.4,11.6,11.9,12.3,12.7,13,13.4,13.7,13.9,14.2,14.6,14.9,15.2,15.4,15.6,15.9,16.2,16.8,17.2,17.5,17.7,18,18.4,18.9,19.5,20.1,20.7,21.3,21.7,22.3,22.9,23.4,23.8,24.5,25,25.5,25.9,26.3,26.6,27.1,28,28.6,29.3,29.9,30.6,31.2,32,32.6,33.3,33.9,34.4,35.1,36,36.7,37.4,38.3,39.2,40,40.8,41.6,42.6,43.6,44.8,45.9,47.3,48.7,50.3,52,53.2,54.6,56.4,57.9,60,61.6,63.3,65.2,66.8
"19",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross housing value added","A2009C1",11.5,11.9,12.3,12.7,13,13.4,13.7,14,14.4,14.7,15.1,15.4,15.8,16.2,16.7,17.2,17.7,18.2,18.8,19.3,19.9,20.5,21.1,21.7,22.3,22.9,23.5,24,24.6,25.1,25.6,26.1,26.5,26.9,27.4,27.8,28.3,28.8,29.3,29.9,30.5,31.1,31.8,32.4,33,33.6,34.3,34.9,35.8,36.5,37.3,38.2,38.9,39.4,40.2,41.1,41.7,42.4,43.1,44,44.7,45.6,46.4,47.4,47.8,48.5,49.2,50,50.5,51.2,51.9,52.9,53.6,54.4,55.3,56.2,57,57.7,58.6,59.7,60.7,61.5,62.6,63.6,64.5,65.2,66.3,67.7,69
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","and rental income of persons for tenant-occupied housing owned by nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
