"","Table 2#8#3# Real Personal Consumption Expenditures by Major Typ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135"
"12","4","  Nondurable goods","DNDGRA3",29.384,29.435,30.004,29.492,30.078,29.989,29.823,29.901,30.177,30.188,30.056,30.213,30.249,29.957,30.478,31.041,30.17,30.464,30.57,30.327,30.241,30.53,30.538,30.133,30.319,30.528,30.894,30.874,30.993,31.103,30.855,31.002,31.183,31.227,31.458,31.621,31.638,31.553,31.897,31.828,31.981,31.66,31.844,31.997,32.37,32.109,32.272,32.37,32.477,32.249,32.554,32.456,32.47,32.685,32.733,33.058,32.713,32.572,32.727,33.081,33.032,33.415,33.617,33.521,34.219,34.234,34.548,34.846,34.572,34.787,34.235,35.144,34.963,35.354,34.845,35.411,35.589,35.166,35.783,35.784,36.188,37.358,37.121,37.274,37.416,37.547,37.602,37.965,37.675,37.994,38.359,37.961,38.13,37.97,38.112,38.05,38.287,38.524,38.603,38.757,38.691,38.826,38.414,38.702,39.049,38.44,38.836,39.416,39.336,39.52,40.131,39.882,40.024,40.544,40.893,40.942,40.534,40.594,41.175,40.626,41.023,41.389,41.343,41.279,41.654,41.094,41.357,41.793,41.34,41.91,41.699,41.715
"13","5","Services","DSERRA3",18.596,18.741,18.786,18.848,18.988,19.122,19.15,19.227,19.345,19.387,19.458,19.574,19.603,19.633,19.713,19.846,19.892,19.866,19.842,19.821,19.87,19.973,20.065,20.073,20.181,20.183,20.348,20.451,20.567,20.58,20.542,20.568,20.674,20.837,20.97,21.065,21.09,21.144,21.235,21.387,21.506,21.525,21.575,21.639,21.759,21.834,21.968,21.989,21.955,22.002,22.094,22.204,22.205,22.365,22.517,22.674,22.752,22.851,22.932,23.087,23.218,23.305,23.457,23.529,23.635,23.792,23.867,23.936,24.081,24.166,24.295,24.406,24.491,24.564,24.639,24.818,24.94,25.052,25.177,25.27,25.387,25.567,25.721,25.834,25.872,25.953,26.097,26.183,26.265,26.324,26.443,26.441,26.537,26.591,26.766,26.931,27.003,26.953,27.075,27.169,27.258,27.39,27.538,27.671,27.724,27.768,27.856,28.007,28.228,28.233,28.48,28.622,28.693,28.963,29.027,29.121,29.245,29.34,29.472,29.552,29.617,29.782,29.753,29.917,30.124,30.203,30.185,30.327,30.449,30.623,30.755,30.712
"14",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","6","  PCE excluding food and energy","DPCCRA3",15.686,15.944,16.214,16.158,16.31,16.37,16.324,16.455,16.678,16.499,16.496,16.444,16.549,16.665,16.825,17.17,16.781,16.762,16.793,16.835,16.943,17.049,16.898,16.7,16.715,16.803,17.059,16.985,17.136,17.164,17.186,17.228,17.324,17.496,17.7,17.825,17.851,17.815,17.978,18.116,18.266,18.148,18.207,18.256,18.528,18.406,18.72,18.836,18.777,18.714,18.83,18.948,18.929,19.197,19.293,19.325,19.328,19.321,19.485,19.742,19.829,19.995,20.032,20.063,20.368,20.491,20.641,20.743,20.669,20.806,20.656,20.755,21.03,21.365,21.501,21.622,21.579,21.354,21.621,21.803,22.295,22.432,22.503,22.504,22.72,22.925,23.145,23.105,22.831,22.896,23.07,23.212,23.464,23.373,23.383,23.397,23.52,23.354,23.525,23.775,23.735,23.922,23.883,23.968,24.173,23.888,24.039,24.328,24.587,24.605,24.999,24.945,25.148,25.321,25.585,25.642,25.635,25.708,25.777,25.751,25.947,26.096,25.955,26.145,26.288,26.269,26.181,26.411,26.518,26.556,26.535,26.528
"16","7","  Food \1\","DFXARA3",46.599,46.399,45.795,45.833,46.861,46.939,46.638,46.856,46.975,47.01,46.725,47.661,46.913,46.564,47.434,47.595,47.097,47.095,47.506,46.832,46.602,46.726,47.498,46.433,47.123,47.277,47.432,47.733,47.717,47.941,47.144,47.846,48.126,47.822,47.773,48.223,47.773,48.002,47.926,47.613,48.033,47.875,48.024,48.281,48.408,48.025,47.972,48.025,48.132,47.77,48.121,48.117,48.402,48.307,48.655,48.947,48.136,48.615,48.869,48.597,48.784,48.83,49.345,49.357,50.114,50.045,50.498,50.795,50.414,50.436,50.069,51.761,51.091,51.755,51.094,51.746,51.846,51.503,52.172,52.673,52.384,55.077,54.182,54.977,54.473,54.52,54.481,54.747,54.552,54.535,55.501,54.274,54.523,54.004,54.754,54.747,55.409,55.514,55.825,56.174,55.679,55.807,55.002,55.649,56.098,55.762,55.963,57.216,56.491,56.481,57.984,57.388,57.841,58.8,59.1,59.283,58.728,58.698,59.946,59.066,59.787,60.249,59.895,59.582,60.427,59.154,59.487,60.148,59.375,60.676,60.275,60.043
"17","8","  Energy goods and services \2\","DNRGRA3",38.084,37.794,37.75,37.262,37.809,38.248,38.288,37.915,37.718,38.244,38.694,37.294,37.825,38.094,39.981,39.787,38.993,39.304,38.759,38.685,39.209,39.058,39.097,39.452,38.971,38.532,38.851,40.233,39.993,40.179,39.713,39.177,39.371,39.392,40.034,39.999,40.517,40.639,41.645,41.005,40.916,41.154,41.34,41.232,40.99,41.857,42.195,42.596,43.463,43.554,43.045,42.429,42.7,42.262,42.342,43.113,43.666,42.438,42.495,44.279,43.863,44.214,44.41,44.732,44.474,45.364,45.506,46.331,46.177,47.103,45.499,45.731,45.199,46.238,46.493,46.973,47.163,47.695,48.26,47.775,48.068,48.601,48.568,48.276,48.713,48.46,48.87,49.643,49.918,50.339,50.221,50.682,50.793,50.896,50.526,51.432,50.457,51.551,50.582,50.756,52.791,52.37,52.423,51.17,51.501,52.09,53.146,53.504,53.635,53.988,54.127,53.864,53.344,53.847,54.207,54.658,54.938,54.554,54.631,55.271,55.503,56.127,56.787,56.071,56.231,56.281,56.636,57.124,57.249,57.808,58.281,58.204
"18","9","  Market-based PCE \3\","DPCMRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10","  Market-based PCE excluding food and energy \3\","DPCXRA3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1. Food consists of food and beverages purchased for off-premises consumption; food",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","services, which include purchased meals and beverages, are not classified as food.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2. Consists of gasoline and other energy goods and of electricity and gas services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","3. Market-based PCE is a supplemental measure that is based on household expenditures",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","for which there are observable price measures.  It excludes most imputed transactions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","(for example, financial services furnished without payment) and the final consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","expenditures of nonprofit institutions serving households.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
