"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"17","9","          Government enterprises","A266RX1",3.5,3.5,3.6,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.8,3.9,3.9,4,4.1,4.1,4.1,4.2,4.2,4.3,4.4,4.5,4.5,4.6,4.6,4.6,4.7,4.8,4.8,4.9,4.9,5,5,5.1,5.1,5.2,5.2,5.3,5.4,5.4,5.5,5.6,5.6,5.7,5.7,5.8,5.9,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.5,7.6,7.7,7.9,7.9,8,8.2,8.3,8.4,8.5,8.6,8.7,8.8,9,9.1,9.2,9.3,9.4,9.6,9.7,9.9,10,10.1,10.3,10.4
"18","10","Equals: Net national product","A027RX1",1637.2,1636.5,1635.8,1664.8,1695.3,1730.9,1741.3,1744.3,1716.3,1708.6,1729.2,1709.7,1786.8,1846.8,1927.7,1963.5,1988.3,2024.7,2067.5,2069.7,2089,2088.7,2101,2174.3,2215.6,2231.7,2212.2,2170.6,2157.1,2157.5,2182,2230.1,2299.3,2338.7,2371.1,2383.8,2371.1,2389.1,2383.7,2422.6,2440.1,2432.5,2455,2419,2342.9,2356.7,2415.7,2477.1,2531.5,2601.6,2598.2,2607.9,2671,2655.9,2659.7,2620.7,2637.1,2688.3,2734.9,2794.5,2847.1,2881.3,2907.9,2916.1,2953.6,2990.3,3049.6,3072.5,3147.6,3182.8,3227.4,3231.1,3317.8,3363.6,3431.6,3515,3605.2,3613,3633.1,3661.4,3691.2,3686.2,3716.2,3741.5,3822.4,3889.5,3914.6,3927.9,3991
"19",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","11","  Gross domestic income \1\","A261RX1",1766.3,1750.7,1750.6,1771.5,1818.3,1866,1869.3,1876.9,1839.8,1828.8,1841.8,1818,1889,1964,2046,2087.1,2096.5,2122.5,2158.5,2175.9,2194,2204.9,2220.1,2287.6,2329.1,2346.4,2333.5,2281.8,2287.5,2291.5,2311.8,2362.3,2425.4,2480,2509.1,2529.2,2531.9,2556.3,2553.6,2598.5,2603,2601.5,2613.7,2587.7,2530.8,2534.5,2580.6,2643.7,2707.2,2787,2763.1,2782.2,2846.2,2840.1,2837,2820.8,2825.7,2874.2,2917.1,2983,3025.7,3057.1,3085.1,3115,3146.9,3194.7,3235.7,3266.6,3322.3,3368.1,3416.3,3446.6,3523.7,3569.1,3619.6,3698.2,3778.1,3801.2,3825,3856.3,3875.5,3896,3936.8,3976,4036.2,4096.8,4148.3,4173.5,4214.8
"21","12","  Gross national income \2\","A023RX1",1776,1760.8,1760.5,1782.2,1829.9,1878.2,1881.6,1889.2,1851.6,1840.3,1853,1828.1,1899.6,1975.4,2059.4,2100.4,2109.4,2137.5,2174.1,2192.3,2209.7,2220.6,2235.5,2302.6,2344.2,2362.4,2347.7,2296,2302.7,2306.8,2327.2,2379.5,2443,2497.4,2526.5,2547.1,2551.6,2576,2573.6,2616.4,2623.7,2623.8,2635,2605,2548.4,2552.4,2598,2660.9,2724.3,2804.2,2781.4,2801.6,2865,2859.3,2856.9,2841.7,2847.8,2895.4,2938.6,3004.9,3047.7,3081,3109.2,3142.5,3173.2,3220.1,3261.6,3293.3,3351.2,3395.9,3445.1,3473.5,3554,3600.4,3648.8,3725,3805.6,3829,3852.2,3884.7,3903.5,3923.4,3966.7,4005.1,4065.9,4127.2,4179.6,4204.6,4246
"22","13","  Net domestic product","A362RX1",1627.5,1626.3,1625.7,1654,1683.6,1718.5,1728.8,1731.9,1704.5,1697.1,1718,1699.5,1776,1835.3,1914.1,1949.9,1975.3,2009.4,2051.6,2052.9,2073.2,2072.8,2085.3,2158.9,2200.4,2215.6,2197.8,2156.1,2141.6,2142.1,2166.4,2212.6,2281.4,2321.1,2353.3,2365.6,2351,2369.2,2363.3,2404.5,2419,2409.9,2433.3,2401.6,2325.1,2338.6,2398.2,2459.7,2514.3,2584.3,2579.6,2588.2,2652,2636.5,2639.5,2599.4,2614.6,2667,2713,2772.2,2824.9,2857,2883.4,2888.1,2926.8,2964.4,3023.3,3045.3,3118.1,3154.3,3198.1,3203.8,3286.9,3331.7,3401.8,3487.8,3577.1,3584.9,3605.6,3632.7,3662.8,3658.6,3685.8,3712,3792.1,3858.6,3882.7,3896.3,3959.3
"23","14","  Net domestic income \3\","W256RX1",1621.5,1606.9,1607.5,1630,1678.3,1727.9,1731.3,1739.3,1700.3,1688.5,1701.6,1676.4,1749.3,1826,1909.7,1950.8,1958.7,1983.4,2018.5,2034,2050.1,2058.5,2071.4,2138.3,2178.3,2193.1,2176.8,2119.9,2122.8,2124.6,2143,2192.9,2256.1,2310.5,2338.1,2356.9,2357,2380,2374.7,2419.4,2421.9,2417.9,2428,2397.8,2335.2,2336.3,2382,2446.3,2511,2592.8,2566.7,2585.1,2650.5,2642.5,2637.5,2618.4,2621.3,2669.3,2711.6,2777.5,2819.2,2849,2875.1,2903.1,2933,2979.3,3018.4,3047,3101.6,3145.4,3191.8,3219.1,3294.7,3337.1,3384.4,3461.1,3538.4,3557.1,3576.3,3603.5,3617.9,3634.2,3671.2,3706.6,3764.2,3821.9,3870.3,3891.3,3929
"24","15","  Net domestic purchases","W367RX1",1579.6,1581.2,1580.8,1629.7,1673.6,1723.6,1735.2,1741,1698.3,1690.8,1718.9,1714.6,1795.9,1859.2,1954.9,1984.6,2005.9,2027.2,2058.6,2058.6,2083.5,2096.2,2123.6,2206.7,2248.1,2268.3,2245.6,2201.2,2185,2180.6,2202.5,2245.8,2317.8,2366.8,2394.2,2410.3,2394.7,2404.4,2395.1,2425.5,2440.1,2436.3,2461.9,2434.1,2371.2,2389.2,2448.1,2517.4,2568.4,2641.8,2634.1,2643.2,2696.6,2672.3,2675.4,2625.1,2641.1,2698.4,2754.6,2813.5,2872,2892.7,2931,2941,2973.7,2996.6,3070,3083.6,3147.1,3184.3,3234.6,3238.9,3339.5,3370.2,3454.6,3536.7,3636.3,3639.8,3679.6,3702.6,3732.4,3728.5,3764.3,3795.5,3883.5,3950.6,3975.2,3990.2,4061.5
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Note. Except as noted in footnotes 1, 2 and 3, chained (2005) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","as the product of the chain-type quantity index and the 2005 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
