"","Table 2#4#4U# Price Indexes for Personal Consumption Expenditure","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54"
"11","4","    Motor vehicles and parts","DMOTRG3",31.911,31.314,31.491,32.004,32.256,32.519,32.253,32.035,32.472,33.591,34.267,35.302,37.009,37.101,37.271,39.566,43.476,46.8,49.534,52.968,56.961,61.183,65.916,69.041,71.187,73.222,74.918,76.984,80.506,81.771,84.187,84.458,86.834,88.473,91.957,96.226,100.038,102.043,102.428,101.314,101.618,101.994,102.394,101.855,99.074,98.399,100,100.126,99.483,98.523,98.708
"12","5","      New motor vehicles (55)","DNMVRG3",37.903,37.413,37.421,37.269,37.046,36.95,36.123,35.457,35.784,36.796,37.371,38.436,40.036,39.744,39.756,41.974,45.749,48.596,51.158,55.019,59.269,63.909,67.702,70.349,72.153,74.253,76.742,80.066,82.432,83.751,85.644,87.484,90.896,93.243,95.952,99.462,101.936,103.924,104.61,104.08,104.012,103.888,103.323,101.639,100.176,99.509,100,99.356,98.313,96.842,97.958
"13","6","        New autos","DNEARG3",39.613,39.101,39.109,38.951,38.717,38.617,37.755,37.057,37.405,38.459,39.062,40.173,41.857,41.544,41.556,43.864,47.806,50.784,53.459,57.507,61.943,66.775,70.689,73.469,75.295,77.323,79.697,83.104,85.94,87.48,89.141,90.323,93.521,95.65,97.923,101.048,103.151,104.749,104.85,104.047,103.192,103.203,102.732,101.535,99.618,99.055,100,100.907,100.491,100.164,101.099
"14","7","          New domestic autos","DNDCRG3",39.598,39.084,39.094,38.936,38.703,38.603,37.744,37.042,37.387,38.444,39.045,40.134,41.837,41.535,41.544,43.838,47.816,50.757,53.443,57.492,61.913,66.759,70.638,73.452,75.292,77.313,79.679,83.089,85.929,87.469,89.134,90.318,93.52,95.652,97.936,101.048,103.157,104.734,104.854,104.044,103.196,103.203,102.728,101.533,99.618,99.054,100,100.912,100.493,100.158,101.085
"15","8","          New foreign autos","DNFCRG3",39.601,39.116,39.102,38.937,38.704,38.59,37.679,37.05,37.431,38.455,39.074,40.333,41.906,41.524,41.552,43.924,47.723,50.844,53.477,57.517,61.994,66.796,70.771,73.492,75.296,77.334,79.722,83.124,85.954,87.495,89.15,90.328,93.516,95.642,97.893,101.046,103.136,104.778,104.842,104.054,103.187,103.203,102.742,101.538,99.619,99.057,100,100.899,100.487,100.172,101.102
"16","9","        New light trucks","DNWTRG3",35.125,34.679,34.679,34.543,34.337,34.241,33.432,32.865,33.044,34.032,34.542,35.553,36.904,36.701,36.721,38.82,42.333,44.956,47.332,50.858,54.81,59.17,62.944,65.325,67.228,69.721,72.661,75.922,77.262,78.147,80.528,83.596,87.425,90.136,93.485,97.512,100.453,102.898,104.214,103.95,104.616,104.367,103.724,101.698,100.513,99.786,100,98.29,96.808,94.488,95.401
"17","10","      Net purchases of used motor vehicles (56)","DNPVRG3",10.737,10.333,11.043,12.545,13.495,14.504,14.943,15.451,15.857,16.868,17.406,17.736,19.476,20.516,21.979,23.818,27.418,31.535,33.929,36.136,37.547,37.763,45.315,50.555,57.565,63.485,63.629,62.766,71.792,72.851,77.224,73.018,73.765,74.41,81.864,90.099,98.35,101.446,101.722,99.476,100.733,102.036,103.562,104.564,97.368,96.195,100,100.096,98.501,95.731,92.84
"18","11","        Used autos","DNPURG3",9.917,9.551,10.216,11.617,12.521,13.472,13.898,14.402,14.793,15.758,16.27,16.572,18.241,19.269,20.714,22.478,25.947,29.954,32.274,34.24,35.497,35.611,42.633,47.409,54.233,59.668,59.798,59.5,69.717,70.276,75.453,70.516,71.418,73.373,80.915,89.36,97.562,100.824,101.432,98.826,99.998,100.956,102.175,103.961,96.597,96.245,100,99.98,98.505,95.421,90.262
"19","12","          Net transactions in used autos","DNETRG3",23.128,21.27,22.237,24.435,24.742,25.77,25.562,24.985,25.833,26.694,26.57,26.826,28.303,28.221,29.928,30.864,36.521,41.03,43.775,44.29,47.401,48.561,59.514,68.289,75.14,84.958,85.037,80.9,83.957,87.026,88.795,86.468,86.824,90.354,98.015,103.583,114.209,114.435,110.272,108.574,108.963,111.764,113.847,108.992,102.492,95.663,100,100.423,97.36,96.233,90.971
"20","13","          Used auto margin","DMARRG3",4.646,4.614,4.99,5.742,6.417,7.014,7.426,8.016,8.202,8.952,9.564,9.878,11.206,12.288,13.311,15.071,16.985,19.935,21.648,23.938,24.176,23.926,27.481,29.382,34.633,36.707,36.992,39.706,53.838,52.465,59.965,53.735,55.092,55.408,62.329,73.018,78.171,84.283,90.246,86.945,89.229,87.998,87.907,97.723,89.658,97.105,100,99.686,100.311,95.575,91.262
"21","14","          Employee reimbursement","DREERG3",14.133,14.422,14.793,14.936,15.149,15.35,15.627,15.93,16.561,17.447,18.566,19.96,21.376,22.356,23.556,25.997,29.239,31.442,33.756,36.034,39.541,43.664,47.742,51.607,54.255,56.66,58.881,63.701,67.975,69.534,73.17,76.474,77.396,78.559,82.652,85.748,87.919,89.124,92.228,95.655,98.112,101.03,97.061,102.415,101.307,98.517,100,103.52,106.58,110.336,120.449
"22","15","        Used light trucks","DUTRRG3",23.144,21.625,22.406,24.544,24.848,25.863,25.679,25.088,25.234,25.959,26.376,27.145,28.248,28.03,28.038,29.627,32.218,34.376,36.12,40.561,43.231,44.496,54.437,62.323,68.663,76.916,77.133,73.134,76.037,79.054,80.522,78.468,78.814,76.2,83.377,91.014,99.304,102.038,101.723,100.04,101.409,103.133,105.016,105.155,98.136,96.148,100,100.205,98.51,95.991,94.832
"23","16","          Net transactions in used trucks","DUTNRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.863,84.765,84.941,80.544,83.776,87.099,88.703,86.431,86.854,90.48,98.081,103.622,114.26,114.412,109.981,108.592,109.006,111.705,113.805,108.97,102.475,95.685,100,100.38,97.364,96.123,90.965
"24","17","          Used truck margin","DUTMRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.617,63.53,63.746,60.436,62.804,65.298,66.522,64.834,65.068,52.425,58.973,69.087,73.963,79.746,85.346,83.217,86.395,86.203,87.661,97.863,89.737,97.058,100,99.846,101.016,95.551,103.969
"25","18","      Motor vehicle parts and accessories (58)","DMVPRG3",44.446,43.091,41.831,41.922,42.603,42.631,44.249,45.169,46.275,47.973,49.526,51.892,53.801,54.159,52.756,56.32,61.423,65.78,70.215,73.483,80.648,89.637,94.182,96.482,93.747,90.135,90.088,89.819,90.544,91.953,93.906,94.234,95.081,95.704,94.143,93.61,93.935,93.779,93.277,92.494,92.046,92.371,94.641,96.287,97.225,97.716,100,104.051,107.587,113.224,117.526
"26","19","        Tires","DTATRG3",52.083,48.655,46.248,48.624,50.902,51.193,52.352,53.682,55.659,58.789,61.066,62.943,64.742,64.478,61.513,65.766,70.307,73.971,76.617,78.881,85.584,96.313,102.908,104.81,101.304,93.661,93.776,92.266,92.52,93.909,96.612,95.59,96.413,97.607,96.613,96.448,97.776,97.168,96.104,94.582,93.477,93.378,96.239,97.464,97.375,97.471,100,103.708,106.88,111.824,115.729
"27","20","        Accessories and parts","DPAARG3",36.816,38.06,38.286,35.456,34.349,34.098,36.23,36.711,36.852,36.993,37.78,40.755,42.875,44.067,44.65,47.548,53.431,58.595,64.839,69.107,76.805,84.207,86.871,89.537,87.472,87.561,87.358,88.311,89.522,90.965,92.192,93.871,94.752,94.824,92.731,91.885,91.433,91.603,91.481,91.179,91.141,91.721,93.632,95.538,97.133,97.89,100,104.306,108.129,114.345,119.168
"28","21","    Furnishings and durable household equipment","DFDHRG3",45.574,45.976,46.131,46.076,46.098,46.149,45.852,46.232,47.272,49.128,50.883,51.99,52.93,53.683,54.948,59.426,65.334,68.145,70.658,74.233,78.864,85.271,91.573,96.293,98.536,99.73,100.824,101.886,103.496,104.972,105.285,106.35,106.956,108.223,108.797,110.477,110.305,110.618,110.454,110.362,108.927,108.138,106.285,104.102,101.176,99.938,100,99.483,98.665,98.049,97.735
"29","22","      Furniture and furnishings (parts of 31 and 32)","DFFFRG3",41.289,41.942,42.419,42.519,42.629,42.794,42.812,43.596,45.002,46.723,48.585,49.607,50.456,51.139,52.64,57.222,61.75,63.814,66.228,69.451,73.716,80.343,86.239,90.317,92.34,94.253,96.373,97.882,99.67,101.832,102.468,103.851,104.466,106.351,107.432,109.223,109.813,110.497,110.325,110.326,109.558,108.894,106.87,104.75,102.191,100.936,100,99.354,97.557,95.983,95.143
"30","23","        Furniture","DFNRRG3",36.679,36.742,37.126,37.307,37.461,37.511,37.741,38.686,40.128,42.193,44.605,46.397,47.833,48.66,50.325,54.611,59.044,61.118,63.434,66.806,71.262,77.229,82.248,85.714,87.848,89.602,91.988,94.043,95.679,97.855,97.498,98.094,98.129,100.54,102.23,105.069,106.25,107.699,107.586,107.378,107.099,106.711,104.923,102.78,101.411,101.084,100,100.842,99.938,98.903,99.107
"31","24","        Clocks, lamps, lighting fixtures, and other household decorative items","DCLFRG3",66.69,68.496,69.19,69.352,68.155,67.954,67.519,68.578,72.947,74.681,76.181,75.647,75.478,76.574,79.304,83.923,90.049,91.673,94.128,98.037,102.558,113.342,121.068,125.437,128.001,129.748,131.859,130.604,130.578,132.201,135.053,138.083,140.883,142.056,142.042,140.222,138.462,136.863,135.495,136.309,132.601,126.791,122.061,117.316,108.949,103.773,100,90.499,83.69,79.492,76.455
"32","25","        Carpets and other floor coverings","DFLRRG3",33.536,34.127,34.082,34.011,34.353,35.022,34.692,34.856,34.855,35.573,36.112,36.021,35.999,35.818,36.288,39.278,42.333,44.37,45.543,47.763,50.848,55.689,61.578,65.832,67.158,68.623,70.419,72.397,74.686,76.399,78.244,80.815,81.834,82.746,82.988,84.597,86.029,87.352,89.192,91.038,90.944,93.271,96.129,97.3,96.165,96.175,100,104.354,105.678,105.591,106.29
"33","26","        Window coverings","DWCTRG3",42.333,45.789,47.907,47.752,48.272,47.932,48.041,48.751,49.868,51.267,52.838,53.435,53.789,55.197,56.05,66.895,72.456,74.424,81.548,84.301,88.898,96.367,104.431,112.266,113.894,118.402,118.728,118.664,121.994,125.42,125.968,126.778,126.81,127.743,127.705,127.736,125.693,122.911,120.303,116.351,116.185,118.049,109.607,106.96,104.512,102.106,100,100.259,99.703,99.37,95.099
"34","27","      Household appliances (part of 33)","DAPPRG3",69.357,68.412,67.015,65.468,64.228,63.51,62.02,60.981,61.03,62.318,63.687,65.259,66.601,66.947,67.015,70.444,78.236,82.579,85.581,89.952,94.852,99.583,105.356,111.82,115.076,115.299,112.761,112.208,113.055,113.305,113.262,112.549,111.359,110.631,110.924,112.313,111.442,111.262,110.732,109.327,106.901,105.821,105.08,103.974,100.75,97.254,100,102.494,105.85,106.95,107.775
"35","28","        Major household appliances","DMHARG3",66.365,65.456,64.118,62.64,61.454,60.767,59.346,58.35,58.396,59.625,60.935,62.438,63.72,64.051,64.115,67.404,74.846,79.012,81.892,86.071,90.766,95.29,100.813,106.997,110.111,110.317,107.89,107.366,108.094,108.455,108.791,108.344,107.037,106.222,106.916,108.983,108.791,109.168,108.353,106.824,104.73,103.902,103.599,102.991,99.965,96.675,100,102.913,106.817,108.354,108.937
"36","29","        Small electric household appliances","DSEARG3",95.932,94.701,92.801,90.624,88.903,87.907,85.792,84.384,84.452,86.272,88.165,90.352,92.228,92.713,92.81,97.487,108.391,114.323,118.424,124.493,131.229,137.805,145.803,154.756,159.275,159.672,156.137,155.285,158.157,156.094,150.228,146.366,146.463,146.534,143.47,139.455,133.369,129.038,130.604,130.122,125.009,121.829,117.39,112.062,107.182,101.974,100,99.23,98.56,96.696,99.23
"37","30","      Glassware, tableware, and household utensils (34)","DUTERG3",29.646,30.577,30.956,31.754,32.816,33.421,33.408,34.117,35.114,37.844,39.42,40.661,41.861,43.716,46.206,52.197,61.091,64.97,67.696,72.585,78.563,86.734,95.417,99.412,101.277,101.484,101.905,104.656,107.219,108.031,109.662,111.822,114.405,116.682,116.047,117.588,115.275,113.928,113.193,115.681,113.27,111.92,108.849,104.901,100.724,100.571,100,96.347,94.609,95.725,95.787
"38","31","        Dishes and flatware","DCHNRG3",30.895,31.865,32.261,33.092,34.199,34.829,34.816,35.555,36.593,39.45,41.086,42.38,43.632,45.559,48.155,54.402,63.669,67.71,70.55,75.621,81.857,90.359,99.415,103.607,105.556,105.753,106.208,109.079,111.744,112.591,114.292,116.54,119.237,121.607,120.937,122.551,120.149,118.742,117.97,122.015,119.39,116.021,111.365,106.219,102.273,101.751,100,93.288,88.198,87.782,86.835
"39","32","        Nonelectric cookware and tableware","DNECRG3",28.35,29.239,29.603,30.365,31.381,31.959,31.947,32.625,33.578,36.182,37.694,38.88,40.027,41.805,44.186,49.911,58.419,62.129,64.737,69.432,75.145,82.97,91.268,95.07,96.85,97.062,97.453,100.08,102.537,103.313,104.871,106.939,109.404,111.587,110.985,112.453,110.231,108.947,108.249,109.405,107.196,107.702,106.19,103.494,99.068,99.307,100,99.747,101.988,105.004,106.358
"40","33","      Tools and equipment for house and garden (35)","DTOORG3",55.545,55.925,57.53,58.499,58.777,58.364,57.322,56.254,56.143,58.441,60.766,60.42,59.871,59.799,59.93,63.669,69.577,72.048,73.562,75.156,79.293,84.731,90.622,97.366,99.684,99.769,102.988,101.228,101.485,101.565,97.985,98.833,99.918,99.793,99.806,101.576,101.602,103.295,104.777,102.185,100.057,100.023,99.476,98.308,96.109,97.162,100,101.114,101.331,100.443,100.824
"41","34","        Tools, hardware, and supplies","DHDWRG3",55.168,55.523,57.128,58.088,58.36,57.948,56.912,55.862,55.758,58.041,60.34,59.992,59.446,59.377,59.512,63.218,69.088,71.541,73.044,74.63,78.738,84.136,89.99,96.682,98.983,99.067,102.265,100.516,100.771,100.85,97.299,98.137,99.215,99.092,99.103,100.863,100.887,102.566,104.04,100.894,98.575,99.212,98.615,97.388,95.095,96.624,100,101.362,101.649,100.866,101.163
"42","35","        Outdoor equipment and supplies","DLWNRG3",57.853,58.47,60.029,61.06,61.393,60.981,59.903,58.688,58.512,60.899,63.408,63.07,62.504,62.415,62.526,66.467,72.606,75.195,76.767,78.413,82.732,88.415,94.53,101.607,104.034,104.12,107.475,105.64,105.912,105.998,102.245,103.147,104.279,104.138,104.168,106.004,106.037,107.814,109.343,109.491,108.347,104.731,104.453,103.617,101.966,100.245,100,99.714,99.554,98.125,98.931
"43","36","    Recreational goods and vehicles","DREQRG3",169.191,170.344,169.432,167.575,167.24,165.214,162.937,161.129,162.104,165.285,169.092,169.32,175.342,177.884,180.608,188.61,201.094,208.018,214.002,221.68,231.548,244.415,255.375,261.271,258.144,254.49,250.017,242.083,239.024,237.492,236.86,234.938,231.956,224.83,216.764,212.248,203.327,188.915,173.104,158.493,144.658,135.567,126.318,118.15,110.805,105.521,100,94.23,88.301,84.337,79.697
"44","37","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRG3",701.399,702.212,690.831,670.293,661.644,659.22,638.567,613.069,604.374,601.586,600.969,601.104,604.812,609.456,608.755,619.686,637.558,645.176,646.735,656.208,672.378,688.035,700.619,695.621,662.394,633.069,599.574,561.317,542.541,521.27,506.697,484.177,460.918,429.457,399.666,378.6,347.508,302.538,259.145,221.208,190.415,170.651,150.441,134.019,120.171,110.262,100,89.703,80.267,72.871,65.045
"45","38","        Video and audio equipment","DVAARG3",302.107,302.089,296.269,286.313,281.542,277.191,267.86,256.277,252.42,251.578,251.151,251.349,252.698,253.384,252.393,256.447,263.661,266.171,266.171,268.89,274.918,279.604,284.457,283.437,275.411,263.742,248.442,236.193,228.513,219.683,214.076,208.544,203.699,199.444,195.145,189.552,183.116,175.524,168.329,160.347,149.869,140.5,132.256,123.653,115.402,107.837,100,91.117,81.119,73.989,65.602
"46","39","          Televisions","DTVSRG3",502.153,505.535,491.386,467.581,455.943,445.645,427.799,405.903,397.974,396.768,396.133,396.61,398.267,395.869,390.064,393.617,404.307,409.491,404.487,403.911,409.434,415.047,418.372,412.961,398.527,378.031,351.068,329.774,315.438,305.987,298.619,291.882,285.056,281.855,273.897,269.314,260.851,245.716,233.748,223.397,206.56,187.754,168.179,150.737,130.713,112.832,100,83.752,63.824,52.759,40.107
"47","40","          Other video equipment","DOVARG3",798.159,798.159,798.159,798.159,798.159,798.159,798.159,798.159,798.159,798.159,798.159,798.159,798.159,798.159,798.159,798.159,798.159,798.159,791.74,791.631,802.632,813.343,819.877,809.48,781.244,740.946,688.246,646.307,603.661,558.006,529.899,499.499,463.72,442.754,427.978,398.583,377.491,354.34,336.743,300.744,254.026,209.245,171.686,150.226,128.353,113.072,100,86.786,76.31,66.2,59.308
"48","41","          Audio equipment","DAUDRG3",194.604,191.178,187.794,181.748,178.97,175.324,166.202,155.295,152.756,152.273,151.292,151.008,150.382,151.09,151.943,155.777,158.949,160.732,160.424,164.506,170.211,173.975,179.53,181.619,178.545,173.913,168.024,163.313,165.053,163.358,162.61,162.256,164.409,162.803,161.08,159.633,155.901,152.42,147.393,140.989,134.713,132.255,127.385,121.116,114.682,108.828,100,94.887,89.558,85.328,80.952
"49","42","          Recording media","DRECRG3",121.96,122.189,122.338,122.464,122.752,124.632,124.259,123.751,123.234,121.704,122.449,123.123,127.67,132.31,133.784,139.559,151.105,152.584,159.304,162.962,168.047,171.461,175.826,176.518,172.392,166.123,157.821,150.999,146.852,140.647,137.085,133.616,131.128,128.284,126.008,122.535,118.565,114.573,110.269,107.81,104.838,103.383,104.998,102.426,102.698,102.201,100,95.809,91.508,88.813,83.709
"50","43","            Prerecorded and blank audio discs/tapes/digital files/downloads","DRTDRG3",76.534,76.678,76.771,76.851,77.031,78.211,77.977,77.658,77.334,76.374,76.841,77.264,80.118,83.029,83.954,87.578,94.824,95.752,99.969,102.519,106.061,108.408,111.87,113.151,111.245,108.362,104.697,101.754,102.838,101.776,101.316,101.084,102.431,101.43,100.357,99.459,97.119,94.959,91.837,91.01,92.276,93.091,97.141,96.215,98.707,99.022,100,98.061,96.138,94.321,90.117
"51","44","            Video cassettes and discs, blank and prerecorded","DOVERG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331.798,332.121,336.574,341.128,343.614,339.305,327.401,310.325,288.326,270.873,253.042,233.968,222.187,209.446,194.486,185.635,179.443,167.125,158.265,148.551,141.18,133.891,121.063,115.541,113.511,108.952,106.764,105.403,100,93.681,87.267,83.818,77.927
"52","45","        Photographic equipment","DCAMRG3",98.554,99.607,100.369,101.228,103.347,115.079,110.63,106.442,104.048,99.836,98.022,95.219,93.063,96.72,97.925,100.762,102.902,104.465,104.979,108.662,112.685,124.826,129.222,132.707,134.055,135.664,137.175,141.889,150.655,157.082,163.709,167.062,169.475,171.953,173.19,169.927,170.665,170.499,170.785,166.437,161.59,157.188,148.277,138.593,127.923,112.985,100,87.086,70.818,62.571,59.47
"53","46","        Information processing equipment","DIPERG3",5388.605,5414.165,5411.034,5300.448,5294.566,5295.735,5559.305,5828.3,6021.459,6333.626,6683.66,6932.196,7402.748,7890.048,8141.897,8433.258,8979.95,9587.889,10172.08,10940.405,11498.637,11049.195,11037.475,10027.156,7644.292,6886.206,6485.958,5099.475,4673.963,4328.09,4055.9,3467.684,2942.108,2272.879,1778.633,1563.557,1254.88,880.76,605.28,422.449,310.563,254.179,195.733,157.106,129.494,114.923,100,87.238,79.309,71.535,64.344
"54","47","          Personal computers and peripheral equipment","DCPPRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45864.83,45864.83,44669.88,30103.14,25585.027,20593.892,14578.316,12816.428,11819.402,8906.293,8045.301,7365.07,6838.801,5747.046,4811.349,3653.828,2817.505,2460.067,1957.474,1357.844,923.366,607.262,413.17,318.519,227.995,172.015,136.107,118.758,100,84.699,75.735,66.436,57.645
"55","48","          Computer software and accessories","DCPSRG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9867.064,9867.064,9609.964,6476.207,5504.13,4429.928,3142.988,2757.049,2542.638,1916.136,1730.156,1583.376,1470.045,1235.806,1033.646,785.251,606.515,529.588,421.188,292.101,198.622,163.372,149.988,144.794,134.229,125.335,114.086,105.87,100,93.959,89.072,85.975,84.784
"56","49","          Calculators, typewriters, and other information processing equipment","DOIPRG3",28.246,28.38,28.364,27.784,27.753,27.759,29.141,30.551,31.563,33.2,35.035,36.337,38.804,41.358,42.678,44.206,47.071,50.258,53.32,57.634,61.252,66.334,74.281,84.226,92.846,100.382,108.776,117.68,126.578,135.439,144.154,155.868,163.982,173.032,179.063,185.521,192.673,203.59,213.521,206.937,183.78,165.94,149.066,135.705,121.058,108.589,100,90.978,84.367,80.838,77.21
"57","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRG3",64.437,65.054,65.605,66.163,66.411,63.787,63.794,65.535,67.965,71.677,74.762,75.008,74.82,73.42,74.353,77.082,81.85,84.485,86.505,88.766,92.622,98.636,104.237,107.224,108.464,108.484,106.854,105.905,107.518,111.327,113.597,117.72,122.279,123.042,121.82,123.736,122.88,121.628,120.624,118.308,112.343,108.289,105.984,103.229,102.38,101.139,100,98.738,97.31,99.57,101.743
"58","51","      Sports and recreational vehicles (79)","DWHLRG3",27.538,28.169,28.067,28.347,28.718,28.915,29.015,29.465,30.204,31.264,32.539,31.4,35.285,36.554,38.196,42.514,46.888,49.22,52.305,55.52,59.286,64.879,68.961,71.7,72.608,75.118,77.255,77.23,77.612,80.088,82.5,84.524,86.238,88.052,88.982,91.061,93.608,94.397,93.745,93.933,96.106,97.905,99.298,98.823,98.046,98.412,100,102.351,101.542,102.617,103.676
"59","52","        Motorcycles","DMCYRG3",26.549,26.192,26.19,26.1,25.959,25.847,25.269,24.842,25.069,25.802,26.17,27.02,28.021,27.828,27.855,29.454,31.975,34.004,35.849,38.581,41.626,44.879,47.644,49.523,50.804,52.26,53.918,56.215,59.112,61.832,64.595,66.402,69.42,72.284,75.927,82.586,87.779,92.123,93.516,93.619,94.357,96.818,97.933,98.31,98.705,98.908,100,99.51,96.982,97.991,99.911
"60","53","        Bicycles and accessories","DBCYRG3",37.348,37.686,38.005,38.352,38.655,38.099,37.914,38.382,39.383,40.592,42.051,42.834,44.353,45.778,48.134,52.433,56.333,57.208,57.967,59.619,63.561,69.787,74.217,77.222,77.823,80.649,82.909,82.072,81.805,84.18,86.593,88.695,90.178,91.771,92.082,93.061,95.042,95.057,93.918,94.104,96.652,98.301,99.761,98.987,97.787,98.199,100,103.578,103.553,104.673,105.314
"61","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRG3",25.349,26.168,25.953,26.272,26.745,27.201,27.512,28.156,28.95,30.038,31.489,29.352,34.821,36.598,38.72,44.456,49.791,52.294,56.076,59.588,63.428,69.817,74.244,77.19,77.821,80.644,82.861,82.008,81.775,84.243,86.604,88.685,90.169,91.77,92.078,93.093,95.036,95.022,93.922,94.132,96.662,98.277,99.763,98.984,97.769,98.203,100,103.594,103.589,104.693,105.328
