"","Table 6#22A# Corporate Capital Consumption Allowances by Industr","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"60","  Banking","53","A1771C0A",68,71,71,65,60,56,55,56,56,56,55,55,55,54,53,51,49,56,62
"61","  Security and commodity brokers, and services","54","B1775C0A",8,8,7,5,5,2,1,1,1,1,1,1,1,1,1,1,1,2,2
"62","  Credit agencies (other than banks) and holding and other investment companies","55","B1779C0A",31,30,29,27,25,27,32,36,28,31,25,38,40,19,14,17,23,19,26
"63","  Insurance carriers","56","B1776C0A",12,15,17,20,26,30,37,41,43,43,43,43,40,37,32,26,20,19,21
"64","  Insurance agents, brokers, and service","57","B1777C0A",1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,2,1,4,5
"65","  Real estate","58","B1778C0A",276,304,317,309,293,324,312,315,299,310,302,309,310,289,292,296,297,319,340
"66","Services","59","A1780C0A",143,140,134,130,113,115,116,119,128,143,141,143,146,154,147,141,141,171,220
"67","  Hotels and other lodging places","60","B1781C0A",32,33,31,31,28,34,40,41,46,50,50,49,50,50,49,51,51,59,70
"68","  Personal services","61","B1782C0A",17,18,17,17,16,19,22,22,25,28,26,27,27,27,25,23,22,25,35
"69","  Business services","62","B1783C0A",15,15,14,13,10,11,10,11,11,16,15,16,17,18,18,16,17,21,32
"70","  Miscellaneous repair services","63","B1785C0A",1,2,1,1,1,1,1,1,1,2,2,1,2,2,3,3,2,2,3
"71","  Motion pictures","64","B1786C0A",53,45,48,46,40,32,26,27,27,28,28,30,29,35,31,30,31,36,42
"72","  Amusement and recreation services","65","B1787C0A",19,19,16,16,13,13,12,12,13,12,13,14,14,14,11,11,12,17,23
"73","  Other services","66","A1788C0A",6,8,7,6,5,5,5,5,5,7,7,6,7,8,10,7,6,11,15
"74","    Health services","67","B1789C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","    Legal services","68","B1790C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","    Educational services, n.e.c.","69","B1791C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78"," n.e.c.  Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","  Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
