"","Table 6#13B# Noncorporate Capital Consumption Allowances by Indu","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43"
"30","  Personal services","23","B2617C0B",136,157,166,178,183,178,228,206,226,227,250,268,263,303,323,327,336,327,332,352,351,347,379,361,402,395,377,403,397,477,499,548,545,649,698,871,1135,1334,1438,1374
"31","  Business services","24","B2618C0B",49,59,65,77,82,82,111,112,130,129,112,158,155,139,144,140,164,181,214,263,263,348,400,430,531,688,867,1175,1273,1551,1804,2114,2547,3472,4488,5337,5919,7083,7226,6489
"32","  Auto repair, services, and parking","25","B2619C0B",0,0,0,0,0,0,0,0,95,129,94,92,90,116,107,123,121,127,129,173,163,201,191,216,227,261,276,285,355,392,444,561,633,683,857,1081,1230,1563,1596,1688
"33","  Miscellaneous repair services","26","B2620C0B",43,50,52,59,62,60,71,64,73,73,74,54,55,62,62,72,69,72,74,74,86,86,92,100,102,123,133,148,136,155,188,239,267,250,372,433,643,438,572,529
"34","  Motion pictures","27","B2621C0B",19,21,21,22,22,21,25,21,30,29,39,31,31,21,31,44,32,25,34,31,50,29,33,47,51,64,144,276,233,129,149,77,171,157,123,238,732,506,640,491
"35","  Amusement and recreation services","28","B2622C0B",78,91,94,96,98,93,130,126,145,133,135,129,123,135,133,146,146,165,134,140,163,184,177,196,238,258,296,292,375,426,403,442,492,617,744,965,917,1221,1201,1031
"36","  Health services","29","B2623C0B",152,175,178,194,206,194,249,231,265,283,335,344,342,326,343,334,357,368,389,400,417,444,449,450,479,482,480,502,579,643,713,773,887,1049,1322,1653,1840,2262,2171,2940
"37","  Legal services","30","B2624C0B",25,30,34,37,39,37,49,46,50,57,67,71,71,73,81,85,91,91,102,103,106,114,133,137,145,165,204,205,197,231,288,339,388,515,665,830,1056,1291,1653,1367
"38","  Other \1\","31","B2625C0B",22,25,28,32,32,28,35,34,38,43,43,99,101,99,116,118,133,140,171,201,227,273,313,344,401,467,341,391,415,542,568,746,893,1676,1170,1178,2043,1928,1890,1810
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40"," 1. Consists of educational services; social services; museums, botanical and zoological gardens; membership organizations; and ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","miscellaneous services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","  Note.  Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
