"","Table 6#19A# Corporate Profits After Tax by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"57","      Local utilities and public services, n.e.c.","50","B3279C0A",32,26,16,23,34,28,28,21,23,15,21,22,24,20,38,29,22,18,52
"58","  Wholesale trade","51","B3249C0A",353,23,-104,-163,129,261,280,428,360,184,354,426,654,543,538,571,582,1543,1705
"59","  Retail trade and automobile services","52","B3250C0A",575,159,-83,-299,111,364,414,567,505,307,504,583,838,827,895,879,937,2083,2310
"60","  Finance, insurance, and real estate","53","A3251C0A",1478,620,391,293,406,139,193,583,612,812,841,949,1027,1100,1271,1548,1448,2005,1871
"61","    Banking","54","A3252C0A",937,762,664,571,533,417,458,510,556,534,552,605,646,625,741,846,887,1043,1036
"62","    Security and commodity brokers, and services","55","B3256C0A",182,-187,-214,-45,-97,4,-18,21,-51,-11,12,0,-1,-5,6,14,21,13,-1
"63","    Credit agencies (other than banks) and holding and other investment companies","56","B3255C0A",84,-58,-58,-64,-91,-158,-133,-148,-115,-81,-60,0,19,95,82,69,60,102,168
"64","    Insurance carriers","57","B3257C0A",199,109,118,160,414,216,166,340,317,393,346,333,285,324,298,410,286,471,202
"65","    Insurance agents, brokers, and service","58","B3258C0A",29,22,24,25,20,23,20,20,19,18,20,20,24,16,14,15,13,33,44
"66","    Real estate","59","B3259C0A",47,-28,-143,-354,-373,-363,-300,-160,-114,-41,-29,-9,54,45,130,194,181,343,422
"67","  Services","60","A3261C0A",156,111,-7,-136,-73,26,39,61,62,35,64,82,126,173,257,270,265,487,441
"68","    Hotels and other lodging places","61","B3262C0A",10,-4,-24,-34,-30,-23,-23,-24,-23,-30,-23,-11,-7,13,47,53,54,84,75
"69","    Personal services","62","B3263C0A",32,26,15,3,12,22,23,25,23,10,15,16,21,27,32,36,32,50,55
"70","    Business services","63","B3264C0A",47,42,17,5,5,24,25,27,27,23,33,29,37,30,36,40,43,71,81
"71","    Miscellaneous repair services","64","B3266C0A",5,4,2,2,2,5,3,4,3,2,1,2,5,6,5,5,4,6,10
"72","    Motion pictures","65","B3267C0A",49,42,-2,-86,-43,-2,8,19,23,28,30,39,56,80,107,109,100,179,135
"73","    Amusement and recreation services","66","B3268C0A",5,-5,-14,-21,-15,-1,2,7,7,2,6,5,9,7,12,15,27,56,38
"74","    Other services","67","A3269C0A",8,6,-1,-5,-4,1,1,3,2,0,2,2,5,10,18,12,5,41,47
"75","      Health services","68","B3270C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","      Legal services","69","B3271C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","      Educational services, n.e.c.","70","B3272C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","      Social services and membership organizations","71","B3273C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Rest of the world \1\","72","A3274C0A",232,137,-4,-34,-2,60,159,104,272,301,324,266,391,378,372,423,342,691,986
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81"," n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82"," 1. Consists of receipts by all U.S. residents, including both corporations and persons,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","of dividends from their incorporated foreign affiliates, their share of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","reinvested earnings of their incorporated foreign affiliates, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","earnings of unincorporated foreign affiliates, net of corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","payments.  Receipts by U.S. residents of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","their share of reinvested earnings of their incorporated foreign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","affiliates are not included from 1930 to 1936; corresponding payments",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","are not included from 1930 to 1939.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","  Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
