"","Table 5#14# Gross Government Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"20","        Military facilities \3\","13","B818RC",0,0,0.1,0,0,0.1,0,0,0,0.1,0.2,0.5,2.1,6.5,3.3,1.1,0.9,0.2,0.3,0.2,0.2,0.2,1,1.6,1.5,1.2,1.5,1.6,1.6,1.6,1.7,1.5,1.5,1.4,1.3,1,1,1.1,1.1,1.1,1.2,1,1.1,1,1.3,1.4,1.8,1.7,1.7,1.8,1.8,2.2,2,2.3,2.8,3,3.6,4.3,5,4.9,4,3.5,2.4,3.2,3.2,3.8,4.4,4.7,3.9,3.5,3.5,3.4,3.1
"21","      Net purchases of used structures","14","B819RC",0,0,0,0,0,0,0,0.1,0.1,0.1,0,-0.1,0,0,-0.1,0,0,-0.3,-0.2,-0.1,-0.1,0,0,0,0,0,-0.1,0,0.1,0.2,0.1,0.1,0.2,0.2,0,0,-0.2,-0.1,-0.1,-0.1,-0.1,0,0.2,0.3,0.3,0.2,-0.3,-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","    Nondefense","15","A830RC",0.1,0.2,0.2,0.3,0.5,0.6,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.4,0.2,0.2,0,0.3,0.7,1.1,1.2,1.1,1.1,1.1,0.9,0.6,0.9,1.1,1.4,1.5,1.7,1.9,2.1,2.3,2.5,2.8,2.8,2.2,2.1,1.9,2.1,2.5,2.7,3.1,3.4,4.1,4.6,5,6.1,6.3,7.1,7.7,6.8,6.7,7,7.3,8,9,6.8,6.9,8,9.2,10.3,11.2,10.5,10.8,11.1,9.7,11.2,11.6,10.8,10.4
"23","      New","16","A831RC",0.1,0.2,0.2,0.3,0.5,0.6,0.8,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.2,0.2,0.3,0.5,0.8,1.1,1.2,1.1,1.1,1.1,0.9,0.8,0.9,1.1,1.2,1.5,1.7,1.9,2.1,2.3,2.5,2.7,2.8,2.2,2.1,1.9,2,2.5,2.7,3.1,3.4,4.1,4.6,5.1,6.1,6.4,7.1,7.6,6.8,6.8,7,7.1,6.9,8.1,7.4,7.3,8.2,9.5,10.6,10.9,10.9,11.4,11.3,10.2,10.5,10.8,10.5,10.9
"24","        Buildings","17","A832RC",0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0.1,0.1,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.4,0.5,0.7,0.9,1,0.9,0.4,0.4,0.4,0.4,0.4,0.5,0.7,0.8,1,1.3,1.4,1.6,1.8,2.1,2.3,1.9,2.1,2.4,2.5,2.4,3.1,2.7,2.6,3.4,4.4,4.6,4.5,3.8,4.6,4.7,4.7,4.6,4.3,3.9,3.9
"25","          Residential","18"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","          Industrial","19","B834RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,1,1.1,0.9,1,0.9,0.8,0.6,0.5,0.5,0.5,0.5,0.7,0.9,0.9,0.8,0.9,0.7,0.4,0.3,0.3,0.4,0.6
"27","          Educational","20","B835RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","          Hospital","21","B836RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1,0.8,0.7,0.5,0.4
"29","          Other \4\","22","B837RC",0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.8,0.8,0.7,0.3,0.3,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.6,0.6,0.7,0.7,0.8,0.6,0.8,1,1.2,1.3,1.9,1.6,1.5,2.2,3.1,3.2,2.9,2.4,2.9,3.1,3.2,3.5,3.4,3.1,2.8
"30","        Highways and streets","23","B838RC",0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.8,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3
"31","        Conservation and development","24","B839RC",0.1,0.1,0.1,0.1,0.3,0.4,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.2,0.1,0.2,0.4,0.6,0.8,0.9,0.9,0.9,0.8,0.7,0.6,0.7,0.8,0.9,1,1,1.2,1.3,1.3,1.4,1.5,1.7,1.5,1.4,1.2,1.4,1.6,1.8,2,2.2,2.6,2.8,3.1,3.9,3.9,4.3,4.4,4.1,4,3.8,3.8,3.7,4,3.6,3.7,3.7,3.6,4.5,4.2,4.4,4.2,3.8,3.4,3.5,4,4.1,4.7
"32","        Other \5\","25","B840RC",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.7,0.6,0.8,0.9,1.3,1.2,1.8,2.3,2.3,2.4,1.9,2,2.2,2.2,2.1
"33","      Net purchases of used structures","26","B841RC",0,0,0,0,0,0,0,0.1,0.1,0.1,0,-0.1,0,0,-0.1,0,0,-0.3,-0.2,-0.1,-0.1,0,0,0,0,0,-0.1,0,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,0.1,-0.1,0,0.1,0,-0.1,0.1,0.3,1.1,0.9,-0.5,-0.4,-0.2,-0.4,-0.3,0.3,-0.5,-0.6,-0.2,-0.5,0.7,0.9,0.3,-0.5
"34","  State and local","27","A842RC",2.4,2.7,2.4,1.6,1.2,1.6,1.5,2.8,2.4,2.8,3.1,2.6,2.1,1.4,0.8,0.6,0.7,1.4,2.5,3.6,4.9,5.4,6.4,6.7,7.3,8.5,9.3,10.4,11.5,12.5,12.8,12.7,13.8,14.5,16,17.2,19,21,23,25.2,25.6,25.8,27,27.1,29.1,34.7,38.1,38.1,36.9,42.8,49,55.1,55.4,54.2,54.2,60.5,67.6,74.2,78.8,84.8,88.7,98.5,103.2,104.2,104.5,108.7,117.3,122.5,139.3,142.4,158.3,167.4,177.6
"35","    New","28","A843RC",2.3,2.6,2.4,1.5,1.1,1.6,1.4,2.7,2.3,2.7,3.1,2.4,2,1.4,0.7,0.6,0.7,1.4,2.5,3.5,4.8,5.2,6.3,6.6,7.1,8.3,8.9,10,11.1,12.1,12.3,12.2,13.3,14,15.4,16.5,18,20,22.1,24.2,24.7,24.8,25.9,26.1,28.1,33.7,37.2,37.2,36,42,48.1,54,54.3,53.1,52.9,59,65.8,72.2,76.6,82.5,86,95.4,99.9,101.1,101.5,105.8,114.2,119.2,136,138.4,154,162.8,176
"36","      Buildings","29","A844RC",0.6,0.6,0.5,0.3,0.1,0.3,0.3,0.6,0.5,0.6,1,0.6,0.5,0.4,0.1,0.1,0.1,0.3,0.6,1.1,1.9,2.2,2.9,2.9,3,3.3,3.7,3.8,4.3,4.5,4.3,4.5,4.9,5,5.3,5.8,6.4,7.6,9,9.5,10.2,9.8,10.3,10.4,11.7,13.5,15.1,14.6,13.3,14.7,16.3,18.4,18.5,18.7,19,20.6,23.8,27.1,28.2,31.3,34.8,38.8,42.6,43.6,43.1,44.7,52.4,54.3,63.3,65.1,74.5,82.1,91.2
"37","        Residential","30","B845RC",0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.2,0,0,0,0.1,0.2,0.1,0.3,0.3,0.6,0.6,0.5,0.3,0.3,0.3,0.4,0.5,0.5,0.4,0.6,0.7,0.4,0.5,0.5,0.6,0.7,0.7,0.9,1,1,0.7,0.8,0.8,1.1,1,1.2,1.2,1.6,1.8,2.2,2.1,2.4,2.4,2.6,2.7,2.8,2.9,2.9,3.4,3.6,4,3.8,3.4,4.1,3.4,3.6,3.4,3,2.7,3.1
"38","        Industrial","31"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","        Educational","32","B847RC",0.4,0.4,0.3,0.1,0,0.1,0.2,0.4,0.3,0.3,0.5,0.2,0.2,0.1,0.1,0,0.1,0.1,0.2,0.6,0.9,1.1,1.5,1.6,1.7,2.1,2.4,2.5,2.8,2.9,2.6,2.8,3,3,3.5,3.8,4.3,5.3,6,6,5.9,5.6,5.5,5.7,6.6,7.3,7.4,7,6,6.5,7.1,7.9,7.3,7,6.9,7.8,9.1,10.4,10.6,12.8,14.7,16,19.1,20.3,19.1,20.3,25.8,27.1,32.9,34.2,41.6,49,54.9
"40","        Hospital","33","B848RC",0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0.1,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,0.8,1.1,1.5,1.7,1.6,1.5,1.7,2,1.9,1.9,1.7,1.7,1.8,1.9,2,2,2.1,2.4,2.7,3,3.2,3,3.1,3.2,3,3.2,3.3,3.4,3.7
"41","        Other \4\","34","B849RC",0.1,0.1,0.2,0.1,0,0.1,0.1,0.2,0.1,0.2,0.3,0.2,0.1,0,0,0,0,0,0.1,0.2,0.4,0.4,0.4,0.3,0.4,0.5,0.7,0.7,0.8,0.8,0.8,0.9,1,1,1.1,1.2,1.3,1.4,1.8,2.1,2.8,2.4,2.9,3.1,3.4,4.3,5.1,5,4.6,5.5,5.9,6.8,7,7.7,8,8.7,10.4,12.1,12.7,13.5,15,16.9,17.2,16.3,17,18,19.5,20.5,23.7,24.3,26.6,27.1,29.5
"42","      Highways and streets","35","B851RC",1.3,1.5,1.3,0.9,0.8,0.9,0.8,1.3,1.2,1.4,1.3,1.3,1,0.7,0.4,0.4,0.4,0.7,1.3,1.6,2,2.1,2.3,2.6,3,3.6,3.8,4.3,4.8,5.4,5.7,5.3,5.7,6.2,6.9,7,7.4,8.2,8.3,9.1,9,9.7,10.4,10.1,10.2,11.8,12.8,12,12.1,13.7,16.6,17.8,17.7,16.8,17.4,21,23.3,24.9,26.7,28.7,28.5,31.9,32.2,32.2,34,37,37.3,39.5,44.2,47.2,51.4,51.7,56.5
"43","      Conservation and development","36","B857RC",0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.5,0.7,0.7,0.6,0.5,0.8,1.2,1,1.1,1.3,1.4,1.6,1.7,1.7,1.7,2,2,1.8,1.7,1.7,1.9,2.2,2.4,2.3,2.2,2.6,2.8,3
"44","      Sewer systems","37","B858RC",0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0,0,0,0.1,0.2,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,1.1,0.9,1.3,1.2,1.3,1.1,1.6,1.3,1.5,1.8,2,2.4,3.4,3.7,4.2,4,5.1,5.6,6.6,5.9,5.6,5,5.9,6,6.8,8.1,8.5,8.5,9.1,9.2,9.6,9,8.1,8.2,8.6,9.1,7.6,7.2,6.3,6.8
"45","      Water systems","38","B859RC",0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.9,1,1.3,1.1,1.3,1.5,1.3,1.1,1,1.1,1.1,1.4,2,1.9,1.7,2.2,2.5,3.2,3.1,3.2,2.8,3.4,3.9,4.7,5.3,5.3,5.5,6.1,6.3,5.6,5,5.2,5,5.7,6.7,6.8,7,6.3,6.9
"46","      Other \5\","39","B860RC",0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.4,0.3,0.3,0.3,0.2,0.2,0.1,0.1,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.5,0.6,0.7,0.8,0.9,0.8,1,1.1,1.3,1.4,1.8,2,2.1,2.1,1.9,2.1,2.4,3.2,2.9,3.7,4.3,5.7,6.3,6.8,8.1,7.7,7.4,6.6,7.2,7,6.6,7,6.8,7.5,7.8,8.4,8.8,8.8,9.1,8.6,10.4,9.4,11.3,13.6,11.5
"47","    Net purchases of used structures","40","B870RC",0.1,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.9,1,1,1,0.9,1,1.1,1,1,1,0.9,1,0.9,0.8,1,1.1,1.1,1.2,1.3,1.5,1.7,2,2.2,2.3,2.7,3.2,3.3,3.2,3,3,3.1,3.3,3.3,4,4.4,4.5,1.6
"48","Equipment and software \2\","41","A871RC",0.3,0.2,0.3,0.2,0.2,0.4,0.5,0.4,0.5,0.5,0.6,0.6,4.5,16.4,32.1,33.4,21.6,1.8,1.6,2.4,3.4,2.8,8.1,11.2,12.3,10.4,9,9.5,9.5,10,12.4,11.7,13.3,14.7,13.7,13.6,12.7,15.3,17.3,16.1,15.5,15.6,12.7,14.7,15.1,17.1,20,21.5,23.2,25.6,30.7,34.9,40.5,47.3,57.1,66.8,77.7,84.2,88.8,87.2,95.7,103.1,103.3,103.4,100.1,100.6,103.8,109.8,109.8,118.1,129.4,136.3,142.4
"49","  Federal","42","A872RC",0,0,0.1,0,0.1,0.3,0.3,0.3,0.3,0.3,0.4,0.4,4.4,16.3,32,33.3,21.5,1.6,1.3,2,2.9,2.3,7.5,10.6,11.7,9.7,8.2,8.6,8.4,8.9,11.4,10.4,12.1,13.3,12.2,11.8,10.8,13.2,15.1,13.7,12.8,12.6,9.6,11.2,11,12.2,14.5,15.8,17.3,18.9,22.9,26,31,36.8,44.9,52.4,60.9,65.6,69.1,65.6,69.7,74.4,74.4,73.3,68.3,65.1,65.2,68.5,65.9,69.5,76.4,79.8,83.8
