"","Table 6#18A# Federal, State, and Local Corporate Profits Tax Lia","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22"
"60","  Finance, insurance, and real estate","53","A3151C0A",282,151,82,68,57,97,125,196,192,154,149,212,336,401,445,509,674,751,721
"61","    Banking","54","A3152C0A",66,34,11,5,3,5,8,19,14,15,17,25,57,64,128,220,321,344,310
"62","    Security and commodity brokers, and services","55","B3156C0A",41,9,2,2,4,3,7,11,2,2,2,4,3,2,9,7,18,13,6
"63","    Credit agencies (other than banks) and holding and other investment companies","56","B3155C0A",70,27,10,9,12,31,47,97,100,66,62,101,159,118,74,73,88,105,110
"64","    Insurance carriers","57","B3157C0A",38,28,22,21,12,21,23,22,24,30,26,22,27,104,119,80,67,54,44
"65","    Insurance agents, brokers, and service","58","B3158C0A",5,4,3,3,2,3,3,3,3,4,4,7,12,15,12,12,11,15,21
"66","    Real estate","59","B3159C0A",62,49,34,28,24,34,37,44,49,37,38,53,78,98,103,117,169,220,230
"67","  Services","60","A3161C0A",28,24,11,9,9,16,17,27,31,29,31,44,81,180,308,303,322,297,260
"68","    Hotels and other lodging places","61","B3162C0A",2,1,1,1,0,1,1,1,2,2,3,4,8,22,48,48,55,49,46
"69","    Personal services","62","B3163C0A",2,2,1,1,1,1,1,2,2,3,3,5,9,18,24,26,24,24,27
"70","    Business services","63","B3164C0A",9,7,3,3,3,6,6,8,9,8,8,12,19,26,34,39,45,44,49
"71","    Miscellaneous repair services","64","B3166C0A",1,1,0,0,0,0,0,1,1,0,1,1,3,6,8,8,3,2,4
"72","    Motion pictures","65","B3167C0A",10,9,4,3,3,4,5,10,10,11,11,14,26,77,149,138,139,127,90
"73","    Amusement and recreation services","66","B3168C0A",2,2,1,0,1,2,2,3,4,3,3,5,10,12,23,28,44,38,27
"74","    Other services","67","A3169C0A",2,2,1,1,1,2,2,2,3,2,2,3,6,19,22,16,12,13,17
"75","      Health services","68","B3170C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","      Legal services","69","B3171C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","      Educational services, n.e.c.","70","B3172C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","      Social services and membership organizations","71","B3173C0A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Rest of the world","72","B3174C0A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81"," n.e.c.  Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","  Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
