"","Table 6#5A# Full-Time Equivalent Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23"
"12","      Farms","5","B4305C0A",2825,2648,2576,2402,2378,2376,2389,2475,2427,2330,2264,2224,2201,2121,2022,1852,1759,1817,1882,1940
"13","      Agricultural services, forestry, and fisheries","6","B4306C0A",127,122,122,110,108,106,112,104,130,115,104,102,99,105,99,109,110,120,125,125
"14","    Mining","7","A4307C0A",993,932,813,672,693,822,840,897,955,859,832,927,975,985,917,879,829,871,933,981
"15","      Metal mining","8","B4308C0A",124,107,79,50,50,60,71,92,119,95,103,118,131,132,132,107,89,88,98,100
"16","      Anthracite mining","9","B4392C0A",151,144,128,104,92,106,99,98,98,89,88,91,92,89,84,80,73,82,80,533
"17","      Bituminous and other soft coal mining","10","B4309C0A",471,452,418,358,373,431,443,457,470,416,381,439,452,480,434,415,388,391,429,-3
"18","      Crude petroleum and natural gas","11","B4310C0A",159,148,118,105,124,163,165,180,192,192,187,196,204,183,177,198,206,221,231,251
"19","      Nonmetallic mining and quarrying","12","B4311C0A",88,81,70,55,54,62,62,70,76,67,73,83,96,101,90,79,73,89,95,97
"20","    Contract construction","13","B4312C0A",1484,1366,1198,907,703,806,866,1104,1082,1055,1219,1285,1774,2131,1566,1110,1135,1739,2062,2278
"21","    Manufacturing","14","A4313C0A",10428,9309,7895,6678,7204,8364,8904,9645,10591,9131,9967,10882,13137,15284,17402,17050,15186,14493,15205,15276
"22","      Durable goods","15","A4314C0A",5238,4457,3497,2724,2893,3587,3941,4460,5130,4085,4609,5367,6999,8846,10924,10722,8933,7742,8330,8309
"23","        Lumber and basic timber products","16","B4315C0A",604,469,303,225,270,320,360,415,459,398,431,500,609,633,585,559,524,578,658,1228
"24","        Furniture and finished lumber products","17","B4316C0A",437,371,321,261,279,289,329,364,398,342,384,406,460,444,421,406,402,486,552,-4
"25","        Stone, clay, and glass products","18","B4317C0A",397,345,277,204,212,262,281,317,356,310,343,369,433,436,413,386,381,474,503,523
"26","        Iron and steel and their products, including ordnance","19","B4318C0A",1217,1092,857,687,749,917,996,1147,1317,1026,1155,1331,1641,1960,2460,2424,2072,1670,1862,3345
"27","        Nonferrous metals and their products","20","B4319C0A",325,269,222,175,182,220,249,277,313,256,284,328,410,461,508,492,457,498,482,-5
"28","        Machinery, except electrical","21","B4320C0A",764,671,509,373,392,505,577,664,791,626,661,792,1087,1363,1457,1405,1331,1393,1548,1560
"29","        Electric and electronic equipment","22","B4321C0A",519,430,332,242,251,319,338,385,461,353,398,455,607,757,960,1037,925,847,928,887
"30","        Motor vehicles and equipment","23","B4322C0A",540,403,352,299,300,433,464,492,580,363,467,543,655,575,325,341,308,667,749,766
"31","        Other transportation equipment","24","B4323C0A",150,147,105,80,71,101,105,137,171,141,186,301,675,1749,3271,3175,2044,593,512,-5
"32","        Miscellaneous manufacturing, including instruments and miscellaneous plastic products","25","B4325C0A",285,260,219,178,187,221,242,262,284,270,300,342,422,468,524,497,489,536,536,-5
"33","      Nondurable goods","26","A4326C0A",5190,4852,4398,3954,4311,4777,4963,5185,5461,5046,5358,5515,6138,6438,6478,6328,6253,6751,6875,6967
"34","        Food and kindred products","27","B4327C0A",1041,1020,914,841,939,1085,1106,1157,1223,1166,1175,1223,1303,1385,1405,1441,1431,1500,1529,1527
"35","        Tobacco manufactures","28","B4328C0A",145,133,120,108,102,112,108,109,111,108,107,104,103,96,102,100,102,104,100,99
"36","        Textile mill products","29","B4329C0A",1262,1095,1025,907,1081,1139,1196,1218,1263,1092,1215,1223,1383,1388,1321,1217,1163,1313,1327,1366
"37","        Apparel and other textile products","30","B4330C0A",772,722,672,593,632,699,768,829,843,807,903,918,1043,1079,1073,1049,1021,1117,1128,1175
"38","        Paper and allied products","31","B4331C0A",284,277,250,226,244,280,289,300,325,301,314,336,378,380,393,390,394,449,464,470
"39","        Printing and publishing","32","B4332C0A",615,617,548,481,449,492,510,554,604,578,577,568,581,555,550,550,569,668,705,720
"40","        Chemicals and allied products","33","B4333C0A",397,377,329,291,321,369,379,393,431,383,414,469,580,780,849,790,776,705,722,723
"41","        Petroleum and coal products","34","B4334C0A",128,125,105,97,99,115,121,124,132,131,135,151,168,183,186,197,207,219,224,230
"42","        Rubber products","35","B4335C0A",176,142,120,110,124,141,134,142,154,127,146,156,189,189,224,239,234,265,270,254
"43","        Leather and leather products","36","B4336C0A",370,344,315,300,320,345,352,359,375,353,372,367,410,403,375,355,356,411,406,403
"44","    Transportation and public utilities","37","A4337C0A",3904,3663,3210,2762,2625,2709,2736,2896,3057,2759,2858,2970,3209,3354,3540,3704,3805,3986,4042,4121
"45","      Transportation","38","A4338C0A",2873,2632,2280,1934,1841,1910,1933,2046,2159,1897,1990,2072,2257,2410,2631,2817,2894,2886,2867,2854
"46","        Railroad transportation","39","B4339C0A",1845,1659,1405,1155,1084,1122,1113,1194,1251,1061,1114,1160,1285,1429,1534,1616,1628,1564,1543,1503
"47","        Local and interurban passenger transit","40","B4340C0A",410,387,356,323,302,294,294,298,301,280,276,270,271,294,332,345,354,402,406,385
"48","        Trucking and warehousing","41","B4341C0A",252,249,235,218,215,232,254,268,289,270,290,321,376,397,395,390,398,440,461,515
"49","        Water transportation","42","B4342C0A",167,159,144,130,135,145,148,142,151,134,140,142,144,107,139,205,247,200,162,149
"50","        Transportation by air","43","B4343C0A",2,4,5,6,6,6,8,10,12,13,15,19,24,34,46,47,53,82,82,79
"51","        Pipelines, except natural gas","44","B4344C0A",25,24,21,17,20,22,23,25,26,23,22,23,24,25,25,26,25,27,28,30
"52","        Transportation services","45","B4345C0A",172,150,114,85,79,89,93,109,129,116,133,137,133,124,160,188,189,171,185,193
"53","      Communication","46","A4346C0A",538,530,467,421,391,390,389,408,440,418,423,433,476,501,518,516,533,649,683,739
"54","        Telephone and telegraph","47","B4347C0A",534,524,459,412,383,379,376,393,422,400,402,410,450,474,490,486,500,613,642,692
"55","        Radio and television broadcasting","48","B4348C0A",4,6,8,9,8,11,13,15,18,18,21,23,26,27,28,30,33,36,41,47
"56","      Electric, gas, and sanitary services","49","B4349C0A",493,501,463,407,393,409,414,442,458,444,445,465,476,443,391,371,378,451,492,528
"57","        Utilities: electric and gas","50","B4393C0A",465,473,437,384,371,386,392,418,437,423,423,443,454,422,373,353,359,429,469,NA
"58","        Local utilities and public services, n.e.c.","51","B4394C0A",28,28,26,23,22,23,22,24,21,21,22,22,22,21,18,18,19,22,23,NA
"59","    Wholesale trade","52","B4350C0A",1631,1571,1418,1279,1275,1406,1443,1550,1706,1707,1776,1840,1952,1857,1752,1771,1868,2215,2403,2428
"60","    Retail trade and automobile services","53","B4351C0A",4215,3980,3656,3217,3197,3576,3743,4034,4340,4216,4389,4686,5075,4966,4926,4896,5070,6011,6280,6477
"61","    Finance, insurance, and real estate","54","A4352C0A",1415,1390,1328,1266,1219,1242,1261,1305,1346,1342,1376,1422,1462,1439,1389,1364,1393,1594,1641,1670
"62","      Banking","55","B4353C0A",385,375,345,311,281,284,277,276,285,286,288,296,309,319,328,336,343,374,392,406
"63","      Security and commodity brokers, and services","56","B4355C0A",128,103,88,80,89,83,74,85,83,68,62,58,50,41,38,39,42,53,49,50
"64","      Credit agencies (other than banks) and holding and other investment companies","57","B4354C0A",130,128,120,114,108,106,108,114,116,102,98,105,113,105,86,78,81,94,102,115
"65","      Insurance carriers","58","B4356C0A",358,368,361,355,341,348,364,368,383,396,414,425,435,428,406,392,404,475,513,495
"66","      Insurance agents, brokers, and service","59","B4357C0A",120,122,119,117,112,113,112,114,115,117,119,118,120,121,118,115,118,143,146,168
"67","      Real estate","60","B4358C0A",294,294,295,289,288,308,326,348,364,373,395,420,435,425,413,404,405,455,439,436
"68","    Services","61","A4360C0A",5112,4928,4547,4068,3919,4280,4448,4748,5000,4800,4957,5274,5347,5518,5226,5165,5181,5510,5791,5982
"69","      Hotels and other lodging places","62","B4361C0A",387,371,331,282,266,313,327,349,373,373,377,388,404,404,412,420,417,462,461,453
"70","      Personal services","63","B4362C0A",617,606,566,525,513,549,575,613,647,616,597,661,718,750,756,731,746,857,863,852
"71","      Commercial and trade schools and employment agencies","64","B4395C0A",20,18,16,12,11,12,15,17,19,18,17,16,24,40,50,35,21,25,31,-6
"72","      Business services","65","B4363C0A",157,153,137,141,147,172,172,201,204,208,220,225,241,236,229,243,264,324,351,369
"73","      Miscellaneous repair services","66","B4365C0A",59,58,57,56,56,56,56,57,57,58,58,57,64,66,78,81,84,107,116,126
"74","      Motion pictures","67","B4366C0A",142,143,140,122,119,135,148,164,177,171,172,174,184,193,204,214,215,228,229,221
"75","      Amusement and recreation services","68","B4367C0A",253,235,205,156,135,147,150,164,182,163,173,186,202,204,193,196,197,233,235,240
"76","      Health services","69","B4368C0A",429,434,419,399,390,403,420,455,491,516,522,549,580,614,655,665,661,701,767,832
"77","      Legal services","70","B4369C0A",90,94,99,100,101,100,104,105,108,112,116,116,117,111,104,95,90,103,104,102
"78","      Educational services, n.e.c.","71","B4370C0A",224,228,232,233,233,234,240,244,251,259,265,271,276,282,288,292,295,313,337,437
"79","      Membership organizations","72","B4373C0A",351,358,354,341,335,339,338,342,332,331,328,390,427,448,455,479,493,572,599,647
"80","      Miscellaneous professional services","73","B4374C0A",35,37,29,21,21,23,25,29,31,33,37,41,53,78,63,59,66,82,93,129
"81","      Private households","74","B4375C0A",2348,2193,1962,1680,1592,1797,1878,2008,2128,1942,2075,2200,2057,2092,1739,1655,1632,1503,1605,1574
"82","  Government","75","A4376C0A",3152,3287,3369,3331,3841,4700,5001,6120,5503,6127,6114,6251,7282,9714,14810,17079,16954,8698,6697,6744
"83","    Federal","76","A4377C0A",847,893,874,861,1237,1738,1799,3514,2834,3360,3312,3412,4419,6906,12078,14366,14217,5770,3528,3460
"84","      General government","77","A4378C0A",548,593,576,564,937,1415,1463,3171,2485,2994,2937,3023,3988,6457,11573,13885,13722,5195,3018,2922
"85","        Civilian, except work relief","78","B4379C0A",267,310,296,290,294,357,449,521,517,507,560,642,944,1702,2497,2520,2420,1758,1386,1378
"86","        Military \2\","79","B4380C0A",281,283,280,274,270,271,286,316,341,357,381,592,1680,4154,9029,11365,11302,3437,1632,1544
"87","        Work relief","80","B4396C0A",NA,NA,NA,NA,373,787,728,2334,1627,2130,1996,1789,1364,601,47,NA,NA,NA,NA,NA
"88","      Government enterprises","81","B4381C0A",299,300,298,297,300,323,336,343,349,366,375,389,431,449,505,481,495,575,510,538
"89","    State and local","82","A4382C0A",2305,2394,2495,2470,2604,2962,3202,2606,2669,2767,2802,2839,2863,2808,2732,2713,2737,2928,3169,3284
"90","      General government","83","A4383C0A",2195,2278,2378,2366,2505,2857,3092,2487,2544,2641,2674,2693,2705,2655,2577,2564,2589,2771,2992,3073
"91","        Public education","84","B4384C0A",1030,1057,1067,1056,1032,1031,1059,1080,1110,1139,1166,1176,1190,1186,1169,1158,1166,1215,1299,1350
"92","        Nonschool, except work relief","85","B4385C0A",1165,1217,1267,1223,1174,1223,1268,1352,1401,1496,1497,1506,1509,1467,1408,1406,1423,1556,1693,1723
"93","        Work relief","86","B4397C0A",NA,4,44,87,299,603,765,55,33,6,11,11,6,2,NA,NA,NA,NA,NA,NA
"94","      Government enterprises","87","B4386C0A",110,116,117,104,99,105,110,119,125,126,128,146,158,153,155,149,148,157,177,211
"95","Rest of the world","88","A4387C0A",0,0,1,1,1,1,1,1,1,1,1,2,3,5,-21,-55,-66,-47,-5,7
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97"," n.e.c. Not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98"," 1. Full-time equivalent employees equals the number of employees on full-time schedules plus the number of employees on ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","part-time schedules converted to a full-time basis.  The number of full-time equivalent employees",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","in each industry is the product of the total number of employees and the ratio of average weekly hours per employee for all ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","employees to the average weekly hours per employee on full-time schedules.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102"," 2. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103"," 3. Included in anthracite mining (line 9).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104"," 4. Included in lumber and basic timber products (line 16).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105"," 5. Included with iron and steel and their products, including ordnance (line 19).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106"," 6. Included with educational services, n.e.c. (line 71).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","  Note.  Estimates in this table are based on the 1942 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
