"","Table 3#18B# Relation of Federal Government Current Receipts and","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139"
"11","Less: Coverage differences","2","M318021B",1.1,1.4,1.1,1.1,1.5,1.5,1.2,1.2,1.4,1.8,1.2,1.3,1.5,1.8,1.4,2.1,2.5,2,1.7,1.9,2.2,1.8,1.9,1.9,2.1,1.8,2,1.8,1.9,2,2.3,0.9,1.7,3.9,2.4,2.4,4,2.3,2.4,2.3,2.4,2.2,2.4,2.3,2.4,2.4,2.5,2.5,2.6,2.7,3,2.8,2.8,3.5,2.8,3,3.9,3.2,3.4,2.7,2.7,2.4,2.7,2.3,3.3,2.5,2.7,3,2.8,3.1,3.5,3.1,3.4,3.5,3.6,3.3,3.1,3.8,3.1,3.6,3.1,3.7,3.3,3.5,3.5,4.3,3.6,3.8,3.8,5.8,4.2,4.2,4.1,4.7,4.4,4.2,4.3,4.8,4.4,4.5,4.3,5.5,4.8,5.1,5.2,6.5,5.3,5.1,4.9,6,5.5,5.5,5.4,7,7.2,6.3,6.3,8.3,7,7.2,7.6,10.6,8.5,9.2,8.8,11.8,9.2,10.6,9.4,12,9.4,9.2,10,12.4,9.3,9.8
"12","        Geographic \1\","3","M318031B",0,0,0,0,0.1,0.1,0,0,0.1,0.1,0.1,0,0.1,0.1,0,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.3,0.2,0.7,0.3,0.3,0.2,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.5,0.7,0.7,0.6,0.6,0.7,0.7,0.6,0.6,0.8,0.8,0.6,0.6,0.8,0.8,0.7,0.7,0.9,0.9,0.7,0.7,0.9,0.9,0.8,0.8,1,1,0.8,0.8,1,1,0.8,0.8
"13","        Contributions received by Federal employee retirement plans \2\","4","M318041B",0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,1,0.9,1,1,1.1,1,1.1,1,1.1,1,1.1,1.1,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.2,1.2,1.3,1.1,1.2,1.1,1.3,1.1,1.2,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1.2,1.1,1.2,1.1,1.1,1.1,1.2,1.1,1.1,1.1,1.1,1.1,1.1,1.2,1,1.1,1,1.2,1,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1
"14","        Capital transfers received \3\","5","M318051B",0.7,1,0.7,0.7,0.8,1.3,0.7,0.8,0.9,1.3,0.8,0.8,0.9,1.3,0.9,1.5,1.8,1.2,1.1,1.3,1.5,1.1,1.3,1.2,1.3,1.2,1.2,1.1,1.1,1.2,1.4,1.2,1.3,1.3,1.5,1.5,3,1.3,1.5,1.3,1.3,1.2,1.4,1.3,1.3,1.3,1.4,1.5,1.5,1.6,1.8,1.7,1.5,1.6,1.9,1.8,2,1.9,2,1.5,1.4,1.4,1.6,1.4,1.5,1.5,1.4,1.5,1.6,1.6,1.6,1.6,1.6,1.8,1.8,1.8,1.7,2,1.8,1.7,1.6,2.1,1.9,2,1.9,2.6,2,2.3,2.2,4.2,2.6,2.6,2.5,3,2.8,2.6,2.5,3.1,2.7,2.9,2.6,3.7,3.1,3.4,3.4,4.8,3.5,3.4,3.1,4.2,3.8,3.8,3.5,5.2,4.5,4.3,4.2,6.2,5,5.2,5.1,7.8,5.9,6.4,5.9,8.9,6.4,7.6,6.2,8.8,6.3,6.8,6.5,8.9,6,6.5
"15","        Financial transactions","6","M318061B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","        Other \4\","7","M318071B",0.1,-0.1,0,0,0.2,-0.2,0,0,0,0,-0.1,-0.1,0,-0.1,0,0,0,0.1,0,0,0,0,0,0,0,-0.1,0,0,-0.1,0,0.1,-1.2,-0.5,1.6,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,-0.1,-0.1,0,0,0,0,0.6,-0.5,0,0,0,0.1,-0.1,-0.1,-0.5,-0.3,-0.5,0.2,-0.5,-0.3,0,-0.3,-0.1,0.3,-0.1,0.2,0,0.3,-0.1,-0.1,0.3,-0.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.2,0.2,0.2,0.2,0.2,0.6,0.9,0.9,0.9,0.9,0.8,1,1.1,1.1,1.1,1.1,0.4,1.3,1.3,1.3,1.3
"17","      Netting and grossing differences","8","M318081B",-0.6,-0.4,-0.5,-0.4,-0.9,-0.4,-0.4,-0.4,-0.8,-0.8,-0.4,-0.5,-0.8,-0.6,-0.6,-0.6,-0.7,-1,-0.6,-0.5,-0.9,-1,-0.6,-0.5,-1,-0.8,-0.8,-0.8,-0.9,-1.5,-1,-1,-1.1,-1.1,-1.1,-1,-1.7,-1.4,-1.2,-1,-1.1,-1,-1,-0.9,-1.2,-1.1,-1.1,-1.2,-1.2,-1,-1.1,-1.3,-1.8,-1.5,-1.4,-2.9,-2.9,-3.1,-2.8,-2.8,-3.1,-3.2,-2.9,-3.2,-4.1,-3.8,-3.6,-4.1,-3.8,-5.3,-4.1,-3.6,-4.1,-3.8,-3.8,-3.7,-4,-3.9,-4.1,-5,-4.3,-5.2,-4.4,-4.2,-5.7,-5.5,-5.5,-5.5,-5.9,-6,-5.7,-6.2,-6.7,-6.9,-7.4,-7.5,-8.4,-8.2,-8.6,-9.8,-8.5,-9.4,-9.7,-9.3,-10.1,-9.8,-10,-8.7,-9.8,-9.4,-9.4,-8.6,-9.2,-9,-10.2,-12.9,-9.5,-9.2,-9.9,-9.7,-10.4,-9.9,-11.7,-10.2,-9.1,-10.2,-12.1,-10.6,-11.3,-10.9,-12.7,-10.7,-12.9,-12.9,-13.5,-11.3
"18","        Supplementary medical insurance premiums","9","M318091B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.2,-0.7,-0.9,-1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.3,-1.3,-1.3,-1.3,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.4,-1.5,-1.7,-1.7,-1.7,-2.4,-1.7,-2.4,-2.4,-2.4,-3,-3.1,-3.1,-3.1,-2.8,-2.8,-2.9,-2.9,-3.1,-3.1,-3.1,-3.1,-3.3,-3.4,-3.4,-4.5,-2.8,-4,-4,-4.1,-4.5,-4.6,-4.6,-4.6,-5.2,-5.2,-5.3,-5,-5.1,-4.9,-5,-5,-5.2,-5.1,-5.2,-5.2,-5.2,-5.2,-5.2,-6.7,-4.1,-5.4,-5.4,-5.5,-5.4,-5.5,-5.5,-5.5,-6.1,-6,-6.1,-6.1
"19","        Taxes received from the rest of the world \5\","10","B1068C1B",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.7,0.6,0.6,0.8,0.6,0.7,0.7,0.7,0.7,0.8,0.9,0.7,0.7,0.6,0.6,0.7,0.7,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1,1,1.2,1.2,1.3,1.5,1.2,1.2,1.2,1.4,1.2,1.2,1.3,2,1.3,1.4,1.5,1.6,1.7,1.7,1.7,2,1.9,1.6,1.7,1.7
"20","        Other \6\","11","M318111B",-0.6,-0.5,-0.5,-0.5,-0.9,-0.5,-0.5,-0.5,-0.9,-0.9,-0.5,-0.6,-0.9,-0.7,-0.7,-0.7,-0.8,-1.1,-0.7,-0.6,-1,-1.1,-0.7,-0.6,-1.1,-0.9,-0.8,-0.8,-1,-1.6,-1.1,-1.1,-1.3,-1.3,-1.3,-1.1,-1.9,-1.6,-1.4,-1.2,-1.3,-1.2,-1.2,-1.2,-1.5,-1.4,-1.4,-1.5,-1.6,-1.4,-1.5,-1.7,-2.2,-1.9,-1.7,-2.1,-2.5,-2.4,-2.1,-2.1,-2.3,-2.5,-2.2,-2.4,-3.2,-2.8,-2.7,-3.1,-2.8,-4.4,-3.2,-2.7,-3,-2.8,-2.8,-2.7,-2.7,-2.7,-2.9,-3.2,-3.2,-3.5,-2.6,-2.4,-3.4,-3,-3.1,-3.1,-3.7,-3.9,-3.7,-4.1,-4.3,-4.5,-5,-5,-5.7,-5.5,-5.8,-6,-6.4,-6.1,-6.4,-6,-6.3,-6,-6.2,-4.9,-5.5,-5.2,-5.2,-4.6,-5.2,-5.4,-6.5,-9.4,-5.6,-5.3,-6,-5.9,-6.4,-5.9,-7.8,-5.5,-6.4,-6.2,-8.2,-6.7,-7.5,-7.1,-8.9,-7.1,-8.7,-8.5,-9.1,-6.8
"21","Plus: Timing differences","12","M318121B",3.4,-3.1,0.1,1.6,2.5,-5.4,0.1,0.6,1.9,-5.4,0.3,0.2,2.6,-3.4,0.6,0.1,5.2,-5.6,0.4,1.4,6.3,-5.5,1.2,1,4.5,-5.3,2.1,0.1,1.4,-7.2,2.6,1.4,7.2,-4.8,2.8,1.3,5.3,-9.1,3,1,8.7,-8.1,1.8,3.1,9.5,-10.8,2.1,2,9,-14.8,-1.1,3.2,7.7,-14.3,-3.5,-1.4,3.5,-12.1,1.8,-0.7,10.9,-4.5,1.7,0.6,15.6,-7.1,-1.6,-2.4,10.3,-10.8,1.4,-2.7,11.3,-6.7,0.8,-3,9.3,-4.5,-2,-4.3,16.1,-14,0.1,-3.3,21.1,-15.6,1.5,-1.4,15.7,-15.8,4,-6.3,14.4,-8.4,1.8,-6,21.4,-13.9,-2.5,-1.7,23.7,-20,0.7,0.3,22.6,-23.5,1.8,-1.6,28.9,-28,4.4,-4.6,31.3,-24.3,1.6,0.3,29.6,-31.7,8.1,-9.3,31.5,-30.1,9.5,-15.1,33.1,-21.8,-0.1,-3.8,31.6,-32.7,-4.7,-8.5,26.2,-24.2,23.4,-24.8
"22","        Corporate profits taxes","13","M318131B",2,-3.4,0.5,2,0.9,-5.9,0.7,1.3,0.3,-5.4,1.2,1.1,2.4,-2.9,1.8,1.6,0.9,-5.3,1.4,2.2,2.1,-4.9,2.4,2.2,0.6,-5,3.2,1.3,-1.8,-6.5,3.1,2.8,3,-4,4.1,2.8,-0.2,-8,4.6,2.4,2,-7.1,4.1,4.4,2.8,-9.3,3.8,3.5,2,-13,2.3,4,2.6,-12.5,1.7,-0.6,-3.3,-9.9,3,1.8,2,-2.4,4,3.1,4.7,-3.4,0.3,1,0.7,-5.7,3.4,0.3,3.3,-2.8,1.7,0.9,1.5,-0.4,0.5,0.4,3.7,-7.7,2.9,-0.1,11,-9.8,1.3,0.3,5.4,-7.5,5.6,-2.5,3.8,-5.4,4.7,-3.1,10.1,-8.3,-1.8,2.6,10.6,-13.1,3.7,3,8.6,-17,4.5,1.8,16.1,-21,7.2,-2.3,17.9,-17.7,2.5,0.8,17.7,-24.3,8.5,-5.4,18.8,-22.4,6,-5.6,19.5,-15.1,1.3,-1.4,19.3,-24.7,-2.8,-7.3,11.7,-14.8,23.4,-24.4
"23","        Federal and State unemployment insurance taxes","14","M318141B",0.3,-0.1,-0.2,-0.1,0.3,-0.1,-0.2,-0.1,0.4,-0.2,-0.2,-0.1,0.6,-0.3,-0.3,-0.1,1.4,-0.5,-0.5,-0.2,1.9,-0.8,-0.7,-0.2,1.9,-0.8,-0.7,-0.2,1.9,-1,-0.7,-0.2,3,-1.4,-1,-0.3,3.6,-1.9,-1,-0.4,4.3,-1.9,-1.6,-0.6,4.5,-2.3,-1.5,-0.6,4.2,-2.2,-1.3,-0.8,4.9,-2.4,-1.5,-0.5,5.2,-2.9,-1.4,-0.6,6.8,-2.9,-1.6,-0.9,8.1,-4.6,-2.6,-1,7.5,-5.1,-1.5,-0.8,7.6,-4.5,-1.8,-0.8,7.4,-4.5,-3.2,-0.7,8.2,-4.5,-2.4,-0.9,7.7,-4.6,-1.2,-0.4,6.9,-4.5,-2.2,-0.8,7.4,-4.4,-1.9,-1,8.9,-5.2,-2.1,-0.7,9.8,-6,-2.7,-0.8,10,-6.2,-2.1,-1,10.5,-7.2,-2,-1,10.3,-7.6,-1.9,-0.7,10.2,-7.6,-2.1,-1,9.4,-6.8,-1.7,-0.7,9.2,-6.3,-1.7,-0.7,10,-7.3,-1.6,-0.8,10.3,-7.7,-1.7,-0.8
"24","        Withheld personal income tax and social security contributions","15","M318151B",1.1,0.3,-0.1,-0.4,1.2,0.4,-0.4,-0.5,1,0,-0.6,-0.7,-0.3,0,-0.4,-0.7,1.9,0,-0.4,-0.6,2.1,0.1,-0.3,-0.8,1.8,0.3,-0.2,-0.8,1.2,0.1,-0.1,-0.8,1.6,0.4,-0.2,-1.1,1.8,0.7,-0.5,-0.9,2.3,0.8,-0.6,-0.6,2,0.7,-0.1,-0.8,1.9,0.5,-1.9,-1,-0.3,1,-2.7,0.1,1.7,0.6,0.2,-2.3,2,0.2,0.4,-1.4,2.6,1.6,1.5,-2,2.4,0.5,0,-1.1,0.4,1,0.8,-2.2,1.3,0.6,1.1,-2.6,2.9,-1,0.8,-1.1,1.9,-0.6,0.5,-1.4,2.3,-0.9,0.7,-2.8,2,0.4,0.8,-2.4,2,-0.3,1.6,-2.9,2.6,-0.3,1.6,-2.6,2.8,-0.3,1.4,-1.8,1.8,-0.4,1.4,-1.6,2,-0.2,1.8,-2,2,0,1.9,-2.6,2.4,-0.4,2.2,-2,2,-0.2,2.4,-2.3,2,-0.4,2.2,-1.3,4.2,-2.8,3,-4.6
"25","        Excise taxes","16","M318161B",0,0.1,-0.2,0,0.1,0.1,-0.1,-0.2,0.1,0.1,-0.1,-0.1,0,-0.1,-0.5,-0.6,0.9,0.1,-0.2,0,0,0,-0.2,-0.2,0.2,0.1,-0.2,-0.2,-0.1,0.2,-0.2,-0.1,0,0.2,-0.2,-0.1,0,0,-0.1,-0.1,0.1,0.1,-0.2,-0.1,0,0.1,-0.1,-0.1,0.8,-0.1,-0.2,0.7,0.7,-0.5,-0.9,-0.2,-0.4,0,0.1,0.3,0.1,0.7,-1,-0.3,0.2,-0.7,-0.8,-0.4,-0.3,-0.6,-0.5,-1.1,-0.1,-0.4,0.1,-0.8,-0.9,-0.3,-0.4,-1.4,0.7,-0.8,-1.4,-1.1,0.9,-0.7,0.2,-0.1,0.9,-1.9,-0.2,0,1,0.4,-1.3,-0.3,0.5,-0.2,-0.2,-0.1,-0.2,-0.9,-1.5,0.2,1,0.1,-1.7,-0.1,0.8,0.3,-1,0.2,1.2,0.8,-0.7,1.9,-0.2,0.3,-0.7,-0.2,0.9,-0.5,3,-5.3,0.8,-0.2,-2.2,0.6,0.4,-0.3,-2.5,0.9,0.1,1,-1.4,5
"26","        Other","17","M318171B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1,0,0.5,-0.3,-0.3,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0.3,-0.2,0.1,0.1,-0.2,0.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0.2,-0.1,-0.3,0.3,0.7,0.2,0.2,-1,0,-0.1,0.2,0.5,-0.4,0.7,-0.1,0.2,0,-0.6,0.9,0.3,-0.3,0.6,0.2,-0.2,-0.2,-0.4,-0.3,0.4,-1.2,0.2,-0.1,0.3,-0.1,0.4,-0.1,-0.1,0.5,-0.1,0,0,0,-1.5,1.6,0,0,0,0,0,0,0.1,0,0.1,0,0
