"","Table 7#13# Chain-Type Quantity and Price Indexes for Gross Gove","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76"
"20","          Industrial","12","B817RA",NA,NA,NA,NA,7.49,35.34,5.86,11.89,4.89,32.57,65.31,414.17,2914.33,6796.25,3455.05,2371.5,1421.82,172.8,122.8,224.92,199.67,269.71,1018.89,1717.59,1794.46,1566.12,739.09,427.52,412.38,330.13,281.11,305.54,338.93,220.85,184.69,133.23,127.04,111.4,128.99,180.13,161.07,130.62,166.29,66.29,69.22,66.29,63.52,60.91,67.92,76.71,97.23,107.82,129.48,155.7,181.6,186.48,249.67,211.89,169.87,156.68,140.07,152.28,198.53,169.87,128.18,108.8,96.09,100,71.5,84.85,79.48,93.16,115.47
"21","        Military facilities \3\","13","B818RA",10.5,17.65,26.69,26.75,26.22,31.29,24.19,17.18,21.39,36.26,74.48,224.15,878.32,2278.06,1060.03,358.89,287.88,67.42,58.1,52.64,44.29,54.07,193.33,286.16,280.95,232.66,290.51,289.01,266.88,275.34,271.13,247.28,245.3,216.96,198.58,159.24,150.53,165.81,151.94,141.75,147.39,112.88,119.7,94.08,96.61,88.88,106.9,95.02,89.91,89.54,77.54,86.17,73.78,88.24,105,106.99,122.97,137.55,155.08,149.23,116.98,99.96,65.16,83.22,76.54,85.68,95.15,100,79.36,69.61,66.75,63.34,55.1
"22","      Net purchases of used structures","14"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","    Nondefense","15","B830RA",13.85,19.02,26.74,41.26,60.4,63.05,87.45,81.19,72.53,67.24,58.75,56.63,59,44.94,39.09,19.07,14.82,-0.02,22.01,42.1,66.37,75.03,65,60.65,57.25,49.8,34.23,46.36,54.76,68.88,72.4,81.61,90.86,101.24,109.31,117.8,124.26,123.62,93.24,83.74,71.11,71.62,79.19,81.75,87.89,85.65,88.97,94.96,98.05,113.42,105.95,107.2,105.78,86.59,84.36,86.94,88.91,94.76,104.51,76.8,74.56,83.58,93.58,104.06,111.32,100.4,99.91,100,84.68,95.06,95.67,85.5,80.33
"24","      New","16","B831RA",14.03,19.26,27.08,41.78,61.17,63.85,88.19,74.08,65.13,60.77,61.63,64.32,62.94,48.81,45.13,22.62,19.57,25.33,35.44,48.11,68.7,76.06,64.3,60.03,56.67,49.84,41.71,45.82,50.57,58.92,70.7,80.02,89.14,99.24,106.95,115.66,121.84,121.26,91.4,82.11,69.68,70.07,77.66,80.33,86.37,84.16,87.43,93.31,97.4,110.55,106.38,105.27,102.85,84.71,83.65,84.55,84.32,80.57,91.97,81.34,77.35,84.14,95.78,105.15,106.17,103,103.3,100,87.19,87.32,87.02,81.93,82.6
"25","        Buildings","17","B832RA",8.64,15.68,27.25,66.51,46.96,24.09,25.76,30.62,29.39,26.63,20.66,24.7,24.98,18.87,11.73,10.83,14.32,9.82,15.45,17.15,43.59,42.16,27.89,24.22,20.21,17.85,10.57,15.61,14.65,23.13,41.27,47.33,51.09,62.36,79.05,102.94,110.16,90.56,42.46,42.98,38.09,30.1,33.18,36.56,47.99,45.51,53.5,66.7,71.3,75.61,75.42,78.22,78.45,60.55,65.64,72.33,72.23,69,84.11,71.38,64.94,83.22,105.89,111.39,105.62,86.68,99.51,100,95.82,91.7,81.61,71.18,67.34
"26","          Residential","18"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","          Industrial","19","B834RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.99,55.92,81.02,53.58,49.58,54.44,56.76,45.79,50,62.87,68.57,54.43,47.05,59,80.67,104.69,136.9,160.03,201.17,209.96,219.33,252.71,243.34,189.75,199.27,194.58,157.54,108.35,94.14,98.39,85.65,91.95,110.54,144.07,150.22,123.57,129.14,100,62.52,42.46,36.46,47,68.81
"28","          Educational","20"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","          Hospital","21","B836RA",1.34,3.46,8.26,16.96,12.05,6.7,6.7,8.26,6.92,6.92,5.13,7.59,6.25,6.25,5.58,6.36,12.84,11.38,24.89,73.55,131.14,113.84,89.73,74.89,43.75,23.55,14.62,22.77,26.67,20.98,38.28,36.16,35.38,35.27,41.3,43.42,55.25,46.09,18.64,24.33,25.45,32.25,40.29,33.48,26.12,27.9,47.66,57.48,70.09,75.89,66.96,71.09,84.04,71.43,64.73,72.43,74.78,79.24,91.18,84.6,75.22,82.7,70.54,71.88,87.84,78.68,87.84,100,112.39,81.03,65.29,43.86,38.17
"30","          Other \4\","22","B837RA",12.34,22.49,37.8,93.55,65.99,33.43,35.98,42.93,41.75,37.52,28.93,34.46,35.29,25.96,15.41,12.92,15.72,9.57,1.72,3.57,27.71,30.77,15.53,11.29,16.45,18.78,10.84,15.85,13.36,27.74,41.45,46.71,45.66,69.03,94.48,129.9,138.96,114.05,45.3,42.88,34.28,22.89,26.72,30.7,42.57,33.92,35.8,48.94,42.64,44.79,43.86,39.82,39.44,28.3,36.06,45.48,52.79,57.13,80.17,61.84,57.44,81.44,114.98,115.15,100.72,80.64,95.97,100,98.15,105.47,96.11,83.84,74.78
"31","        Highways and streets","23","B838RA",28.53,47.28,69.02,85.87,141.03,170.38,185.05,137.77,120.11,109.78,107.07,95.38,70.92,35.05,13.04,13.04,23.1,42.39,61.41,61.96,88.32,80.16,57.34,70.65,92.39,101.36,111.14,109.78,134.78,155.98,130.16,195.92,192.66,222.83,248.64,232.34,220.11,305.71,296.74,267.94,230.16,246.47,261.69,262.77,218.48,162.5,174.73,198.91,228.8,241.85,280.16,208.7,291.85,184.78,169.29,193.75,175.27,142.94,136.14,142.12,76.63,73.64,73.64,67.66,100,127.72,87.5,100,66.85,66.03,62.23,79.35,64.4
"32","        Conservation and development","24","B839RA",29.64,38.62,50.37,61.17,131.52,151.88,223.14,181.73,157.1,146.29,153.53,154.36,148.7,109.12,85.13,47.09,35.27,55.46,77.13,113.05,139.08,162.77,148.27,138.71,131.32,112.69,96.74,102.28,114.92,125.68,136.9,141.85,166.86,177.12,179.55,182.65,192.97,206.98,178.15,154.96,127.37,136.37,152.09,151.79,158.86,166.53,165.59,164.5,168.76,198.77,185.27,182.15,170.87,149.42,142.14,134.23,132.73,125.11,133.17,118.3,116.87,111.12,106.07,131.38,120.48,120.43,111.43,100,85.15,87.96,98.7,96.15,108.85
"33","        Other \5\","25","B840RA",6.05,4.47,4.67,3.59,1.67,3.38,2.96,3.84,4.72,6.09,6.93,12.69,17.24,26.92,66.36,11.14,6.34,3.46,2.34,1.29,1.29,1.88,1.96,1.84,1.84,2.59,2.55,3.17,3.09,5.05,11.23,24.54,20.37,24.67,20.87,13.77,14.23,12.23,11.27,9.1,10.89,10.98,12.86,19.07,20.7,13.11,12.31,13.19,12.23,14.36,11.77,17.28,10.94,11.48,11.35,11.98,16.36,22.2,34.52,32.18,38.56,43.99,62.35,55.89,85.02,103.59,100.13,100,76.59,81.05,83.6,81.93,75.54
"34","      Net purchases of used structures","26"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","  State and local","27","B842RA",23.18,27.82,28.07,22.71,14.52,17,15.91,27.69,23.35,27.34,31.86,26.11,19.08,10.96,5.6,4.49,5.33,9.68,14.92,18.92,26.24,30.07,31.09,31.68,34.51,41.47,45.45,46.17,48.89,54.19,55.58,55.78,60.4,62.39,67.54,72.03,77.11,81.97,87.2,91.13,86.32,79.88,77.18,73.32,72.73,72.56,71.96,70.77,66.15,72.82,75.98,75.64,68.23,62.53,61.76,68.58,75.17,79.81,81.55,85.19,86.97,93.5,96.56,96.94,94.79,95.48,98.7,100,109.99,109.38,117.39,118.54,121.33
"36","    New","28","B843RA",22.95,27.84,28.08,22.56,14.25,16.89,15.77,27.77,23.36,27.39,31.69,25.55,18.81,10.9,5.51,4.4,5.17,9.69,15.06,19.13,26.42,30.16,31.28,31.96,34.67,41.75,45.19,45.86,48.64,53.9,54.98,55.33,59.82,61.65,66.78,70.86,75.51,80.48,85.85,90.09,85.55,78.86,76.03,72.42,72.07,72.15,71.85,70.7,66.17,73.33,76.56,76.22,68.61,62.77,61.83,68.64,75.22,79.74,81.41,85.14,86.66,93.01,96.07,96.59,94.68,95.5,98.8,100,110.36,109.3,117.35,118.59,123.63
"37","      Buildings","29","B844RA",17.11,18.01,18.42,11.43,5.62,10.72,9.81,21.7,14.03,17.21,28.17,16.56,13.24,9.07,3.38,2.17,2.69,5.86,8.61,14.41,25.57,29.76,34.55,34.03,34.25,39.03,42.51,40.48,44.06,48.22,43.72,45.09,49.39,49.72,52.55,56.72,61.43,70.63,80.93,81.95,81,72.02,70.22,66.05,68.57,70.96,72.32,67.97,58.3,58.87,58.79,59.86,54.85,52.23,51.53,54.07,60.53,66.67,66.94,71.66,76.89,82.96,89.72,91.3,87.52,87.72,98.81,100,112.75,111.91,122.83,129.62,138.61
"38","        Residential","30","B845RA",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,23.31,74.13,74.65,58.42,13.55,2.19,0,29.52,40.27,23.12,60.85,60.58,99.6,106.9,89.03,55.02,42.4,42.71,54.63,76.08,72.93,65.99,85.03,112.65,60.29,70.47,68.61,83.45,96.48,93.69,112.94,122.57,115.99,78.93,79.58,72.42,87.33,76.08,84.54,73.08,84.27,89.76,101.79,91.1,104.59,100.76,107.12,106.01,106.84,105.39,104.04,116.09,123.95,136.89,122.44,104.61,122.35,100,102.44,93.35,78.21,66.98,74
"39","        Industrial","31"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","        Educational","32","B847RA",22.83,23.07,20.74,11.12,4.4,11.4,11.99,27.5,16.37,19.61,29.98,9.53,8.85,6.82,3.09,1.82,2.5,3.78,6.84,16.53,25.79,31.51,36.99,38.22,40.5,51.8,58.43,56.3,59.81,62.61,54.8,57.51,62.16,60.07,69.83,75.25,83.33,100.5,109.76,106.69,94.83,84.41,76.93,74.03,79.05,78.1,72.85,65.8,53.07,52.62,52,51.44,44.03,39.64,37.53,41.15,46.24,51.38,50.47,58.73,64.99,68.81,80.71,85.11,77.75,79.61,97.03,100,117.53,117.84,137.47,155.04,167.17
"41","        Hospital","33","B848RA",52.92,66.27,69.91,60.34,35.59,33.7,24.97,47.61,40.5,53.14,71.77,27.83,19.38,15.09,18.23,23.45,31.24,26.62,12.62,27.83,71.83,88.39,87.14,82.19,64.88,65.43,60.06,52.36,59.14,69.95,68.7,63.36,57.6,61.96,59.64,63.46,67.62,62.08,84.86,95.19,97.95,89.17,93.67,88.21,82.5,92.66,116.46,132.25,117.5,108.21,110.12,114.42,99.03,93.24,79.57,74.9,73.68,75.85,80.39,78.12,78.54,86.93,93.42,105.73,108.24,98.33,98.12,100,90.37,91.2,91.37,89.5,94.65
"42","        Other \4\","34","B849RA",10.87,11.18,14.76,9,4.93,10.44,8.4,18.42,12.32,14.98,24.63,14.05,6.87,1.94,0,0,0,1.36,4.72,8.49,12.77,14.24,12.72,9.15,12.52,16.91,20.76,19.18,21,22.98,21.91,23.96,26.84,25.07,29.1,30.83,32.48,32.93,42.42,47.89,56.94,46.61,51.79,51.21,52.16,59.08,63.22,60.16,52.19,57.61,55.97,57.94,54.59,56.09,56.81,60.11,69.62,78.89,79.94,82.12,87.82,95.52,95.39,89.71,91.39,93.98,97.33,100,111.67,110.41,115.85,112.77,118.56
"43","      Highways and streets","35","B851RA",29.98,38.55,38.53,35.55,24.39,24.59,21.18,32.32,31.55,38.21,38.22,37.18,26.56,14.06,7.63,6.75,7.7,13.79,21.27,23.59,29.53,34.86,31.53,34.8,40.73,53.13,56.78,57.55,61.46,70.72,74.14,72.12,77.44,81.42,88.2,88,90.29,94.6,93.44,96.57,90.75,87.41,86.52,81.5,75.63,66.54,66.47,63.91,64.89,73.36,81.75,75.49,64.05,55.39,58.69,73.55,80.76,82.55,83.27,88.11,86.95,93.77,92.93,93.12,97.09,103.01,98.53,100,107.8,112.87,118.77,113.77,119.98
"44","      Conservation and development","36","B857RA",13.6,12.56,11.01,6.8,10.93,33.29,28.74,39.47,39.26,27.66,31,13.77,4.92,2.75,0,0,0,6.3,8.31,10.14,14.14,15.51,13.88,10.37,13.37,15.12,22.7,31.4,30.02,26.38,29.89,34.34,36.68,44.48,69.14,68.79,95.66,95.58,109.13,101.72,93.62,80.12,61.72,52.22,42.92,52.81,61.89,56.54,45.58,45.27,62.99,78.78,64.21,62.75,72.07,79.47,89.03,94.82,92.58,87.71,98.78,97.8,86.69,78.66,78.19,83.77,94.86,100,94.52,88.98,100.8,107.46,111.62
"45","      Sewer systems","37","B858RA",22.08,25.01,21.78,15.6,9.85,18.47,18.78,38.05,32.57,35.03,37.45,28.04,17.03,10.64,5.23,3.12,4.57,11.34,18.93,26.79,30.66,31.58,32.89,32.49,37.06,39.64,41.44,44.02,46.12,47.98,61.11,59.41,60.95,69.47,60.12,82.65,73.54,77.39,61.04,85.81,69.65,73.97,78.76,77.53,87.41,106.63,104.6,111.05,98.2,113.92,112.03,120.45,100.01,92.32,80.2,91.51,91.57,101.17,118.58,120.77,116.93,122.35,124.37,127.69,114.05,98.76,96.39,100,102.76,84.61,78.37,65.34,67.16
"46","      Water systems","38","B859RA",31.97,51.69,43.51,28.72,15.98,18.75,20.08,27.05,23.22,26.12,28.83,34.28,28.24,19,14.44,9.29,10.81,16.57,24.4,30.7,33.66,33.27,39.56,38.98,37.76,42.17,46.21,52.62,48.53,46.15,47.98,51.26,56.21,57.84,75.03,82.13,105.73,86.86,101.89,116.53,98.84,76.37,64.1,64.23,59.44,66.25,78.84,72.65,61.67,74.06,76.55,88.05,78.88,80.54,68.04,79.95,90.2,104.25,116.9,113.92,114.27,124.94,129.68,112.6,95.86,95.35,88.64,100,113.97,113.9,114.69,97.29,103.9
"47","      Other \5\","39","B860RA",21.94,23.45,32.32,23.77,11.45,10.23,16.14,39.75,27.16,31.8,32.75,24.56,19.6,9.99,5.37,5.18,5.83,7.97,15.99,16.2,16.62,16.71,15.73,13.46,15.73,19.4,22.07,29.91,29.68,35.04,44.74,48.34,53.22,46.56,57.23,62.97,71.68,73.75,92.33,98.95,99.05,91.23,76.31,79.45,83.63,90.78,71.63,91.19,102.64,132.35,134.78,130.06,140.26,124.41,117.4,104.83,112.9,107.92,100.16,100.84,95.07,101.09,102.63,108.99,113.44,111.19,110.39,100,116.74,103.57,120.93,139.97,116.1
