"","Table 5#15# Real Gross Government Fixed Investment by Type","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"15","    National defense","8","A808RX",11.2,10.4,8.3,7.7,5.7,6.3,5.7,6.2,6.5,6.7,5.5,5.1,4.8,4.6,4.6
"16","      New","9","A814RX",11.2,10.4,8.3,7.7,5.7,6.3,5.7,6.2,6.5,6.7,5.5,5.1,4.8,4.6,4.6
"17","        Buildings","10","A815RX",4,3.4,2.9,3,2.6,2.4,2.1,2.1,2,2,1.8,1.8,1.7,1.7,2
"18","          Residential","11","B816RX",3,2.5,2,2.1,1.4,1.3,1.3,1.5,1.4,1.4,1.4,1.3,1.2,1.1,1.2
"19","          Industrial","12","B817RX",1,1,0.9,0.9,1.2,1,0.8,0.7,0.6,0.6,0.4,0.5,0.5,0.6,0.7
"20","        Military facilities \3\","13","B818RX",7.3,7,5.5,4.7,3.1,3.9,3.6,4,4.5,4.7,3.7,3.3,3.2,3,2.6
"21","      Net purchases of used structures","14","B819RX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","    Nondefense","15","A830RX",11.6,8.6,8.3,9.3,10.4,11.6,12.4,11.2,11.1,11.1,9.4,10.6,10.7,9.5,8.9
"23","      New","16","A831RX",10.4,9.2,8.8,9.5,10.9,11.9,12,11.7,11.7,11.3,9.9,9.9,9.9,9.3,9.4
"24","        Buildings","17","A832RX",4,3.4,3.1,3.9,5,5.3,5,4.1,4.7,4.7,4.5,4.3,3.9,3.4,3.2
"25","          Residential","18"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","          Industrial","19","B834RX",0.6,0.7,0.6,0.6,0.8,1,1,0.8,0.9,0.7,0.4,0.3,0.2,0.3,0.5
"27","          Educational","20","B835RX",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","          Hospital","21","B836RX",0.8,0.8,0.7,0.7,0.6,0.6,0.8,0.7,0.8,0.9,1,0.7,0.6,0.4,0.3
"29","          Other \4\","22","B837RX",2.5,1.9,1.8,2.5,3.6,3.6,3.2,2.5,3,3.1,3.1,3.3,3,2.6,2.3
"30","        Highways and streets","23","B838RX",0.5,0.5,0.3,0.3,0.3,0.2,0.4,0.5,0.3,0.4,0.2,0.2,0.2,0.3,0.2
"31","        Conservation and development","24","B839RX",5.1,4.5,4.5,4.3,4.1,5.1,4.6,4.6,4.3,3.8,3.3,3.4,3.8,3.7,4.2
"32","        Other \5\","25","B840RX",0.8,0.8,0.9,1.1,1.5,1.3,2,2.5,2.4,2.4,1.8,1.9,2,2,1.8
"33","      Net purchases of used structures","26","B841RX",1.2,-0.7,-0.5,-0.2,-0.4,-0.3,0.4,-0.5,-0.6,-0.2,-0.4,0.7,0.8,0.2,-0.4
"34","  State and local","27","A842RX",99.9,104.3,106.5,114.5,118.3,118.7,116.1,117,120.9,122.5,134.7,134,143.8,145.2,148.6
"35","    New","28","A843RX",97,101.4,103.3,110.8,114.5,115.1,112.8,113.8,117.7,119.2,131.5,130.2,139.8,141.3,147.3
"36","      Buildings","29","A844RX",36.4,38.9,41.8,45.1,48.7,49.6,47.5,47.7,53.7,54.3,61.3,60.8,66.7,70.4,75.3
"37","        Residential","30","B845RX",3.7,3.6,3.6,4,4.3,4.7,4.2,3.6,4.2,3.4,3.5,3.2,2.7,2.3,2.5
"38","        Industrial","31"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","        Educational","32","B847RX",13.7,15.9,17.6,18.7,21.9,23.1,21.1,21.6,26.3,27.1,31.9,32,37.3,42.1,45.4
"40","        Hospital","33","B848RX",2.6,2.5,2.5,2.8,3,3.4,3.5,3.2,3.2,3.2,2.9,2.9,2.9,2.9,3
"41","        Other \4\","34","B849RX",16.4,16.9,18,19.6,19.6,18.4,18.8,19.3,20,20.5,22.9,22.7,23.8,23.2,24.3
"42","      Highways and streets","35","B851RX",32.9,34.8,34.3,37,36.7,36.8,38.3,40.7,38.9,39.5,42.6,44.6,46.9,44.9,47.4
"43","      Conservation and development","36","B857RX",2.2,2.1,2.4,2.3,2.1,1.9,1.9,2,2.3,2.4,2.3,2.1,2.4,2.6,2.7
"44","      Sewer systems","37","B858RX",10.3,10.4,10.1,10.6,10.8,11,9.9,8.5,8.3,8.6,8.9,7.3,6.8,5.7,5.8
"45","      Water systems","38","B859RX",6.7,6.5,6.5,7.2,7.4,6.4,5.5,5.5,5.1,5.7,6.5,6.5,6.6,5.6,6
"46","      Other \5\","39","B860RX",8.6,8.6,8.1,8.7,8.8,9.3,9.7,9.5,9.5,8.6,10,8.9,10.4,12,9.9
"47","    Net purchases of used structures","40","B870RX",2.9,2.9,3.3,3.7,3.8,3.6,3.3,3.2,3.2,3.3,3.2,3.7,4,3.9,1.3
"48","Equipment and software \2\","41","A871RX",94.8,93,100.6,106.9,105.1,105.3,100.8,100.2,102.4,109.8,112.9,125.2,138.5,146.1,154
"49","  Federal","42","A872RX",75.3,71.7,75.1,79,77.5,76.2,70,65.6,64.6,68.5,67.5,72.9,80.1,83.6,88.3
"50","    National defense","43","A873RX",65.7,60.7,62.6,65.4,62.9,60,52.8,49.2,46.8,47.9,43.6,45.9,49,50.4,53
"51","      Aircraft","44","B874RX",24.2,19.9,18,16.6,11.9,10.4,11.3,11.3,9.3,9.2,6.2,6.2,7.1,8.3,9.6
"52","      Missiles","45","B875RX",7.1,6.5,7.4,9.8,9.8,9.8,7.1,5.3,4.6,4.1,3,3.4,2.9,2.6,3.5
"53","      Ships","46","B876RX",11.7,11.1,12.3,13,11.7,11.3,9.5,8.6,8,6.8,6,6.4,6.8,6.5,7.1
"54","      Vehicles","47","B877RX",5.2,4.5,3.7,3.7,3.9,3.1,2,1.1,1.1,1.2,1.4,1.5,1.7,1.9,1.9
"55","      Electronics and software","48","B878RX",7.7,8.1,8.5,8.8,8.7,9.2,9.8,9.9,10.1,11.6,13,14.6,15.8,16.6,15.3
"56","      Other equipment","49","B879RX",13.1,13.2,14.5,14.4,16.9,15.8,13.1,13.1,13.8,15.2,14,13.8,14.7,14.6,15.5
"57","    Nondefense","50","B880RX",10.6,11.7,13.2,14.2,15,16.5,17.2,16.5,17.9,20.5,23.9,27,31.2,33.3,35.4
"58","  State and local","51","B881RX",20.3,21.9,26,28.4,28.1,29.4,31,34.6,37.8,41.3,45.4,52.3,58.4,62.7,65.9
"59","Residual","52","A967RX",-5.7,-4.3,-2.6,-1.6,-0.8,0.2,-0.3,-0.3,-0.4,0.1,0.2,-0.4,-1.1,-2.1,-2.1
"60","Addenda:",NA," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","  Government enterprise gross fixed investment","53","A882RX",43.4,42.7,42.7,45.7,47.4,49.9,48.2,45,45.3,45.4,48,47.8,51.1,51.4,50.4
"62","    Federal","54","A883RX",5.1,4.8,5.2,5.6,6,7.7,7.3,6.1,6.1,5.8,6.4,7.5,8.7,8.8,8.7
"63","      Structures","55","B884RX",4,2.7,2.7,3.1,3.1,3.5,2.7,2.9,2.9,2.2,2.1,2.3,2.6,2.2,1.9
"64","      Equipment and software","56","B885RX",1.5,2.2,2.6,2.6,3,4.2,4.5,3.2,3.3,3.6,4.2,5.3,6.1,6.7,7
"65","    State and local","57","A886RX",38.5,38.1,37.6,40.3,41.4,42.1,40.9,38.9,39.1,39.6,41.7,40.4,42.6,42.7,41.9
"66","      Structures","58","B887RX",34.2,34.3,33.3,35.5,36.9,37.3,35.6,33.2,33,32.7,34.7,32.3,33.8,33.7,32.8
"67","      Equipment and software","59","B888RX",4.4,4,4.5,5,4.7,5.1,5.4,5.8,6.2,6.9,7,8.2,8.9,9.1,9.3
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69"," 1. Consists of general government and government enterprise expenditures for fixed assets.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70"," 2. Structures and software include compensation of government employees engaged in new own-account investment and related ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","expenditures for goods and services.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72"," 3. Consists of Department of Defense new structures, except family housing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73"," 4. Consists primarily of general office buildings, police and fire stations, courthouses, auditoriums, garages, and passenger ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","terminals.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75"," 5. Consists primarily of electric and gas facilities, transit systems, and airfields.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","  Note.  Chained (1996) dollar series are calculated as the product of the chain-type quantity index and the 1996 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","The residual line is the difference between the first line and the sum of the most detailed lines, excluding the lines in the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","  Chain-type quantity indexes for the series in this table are shown in table 7.13.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
