"","Table 1#2#4# Price Indexes for Gross Domestic Product by Major T","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"11","3","       Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","Goods","A353RG3",29.516,30.118,30.798,31.435,31.766,32.117,32.658,32.458,32.11,31.749,31.379,31.133,30.914,31.082,31.758,32.464,33.683,33.958,33.924,34.336,34.446,34.32,34.439,34.37,34.289,34.201,34.198,34.17,34.357,34.292,34.071,33.959,33.971,33.997,34.202,34.363,34.618,34.924,35.387,35.639,36.056,36.286,36.581,36.786,37.278,37.337,37.289,37.193,37.443,37.487,37.606,37.698,37.639,37.809,37.871,37.982,38.059,37.982,38.041,38.024,38.122,38.155,38.233,38.336,38.34,38.319,38.446,38.516,38.635,38.614,38.7,38.799,38.942,39.123,39.187,39.121,39.453,39.696,39.96,40.257,40.365,40.479,40.836,41.154,41.464,41.878,42.167,42.585,42.885,43.336
"13","5","    Final sales","A325RG3",28.994,29.579,30.179,30.878,31.174,31.519,32.073,31.925,31.599,31.256,30.889,30.653,30.445,30.62,31.287,31.941,33.107,33.355,33.353,33.777,33.898,33.787,33.915,33.877,33.823,33.747,33.749,33.726,33.899,33.837,33.628,33.524,33.543,33.571,33.772,33.924,34.165,34.467,34.922,35.172,35.585,35.818,36.119,36.333,36.819,36.874,36.826,36.723,36.988,37.023,37.138,37.229,37.171,37.349,37.415,37.524,37.594,37.522,37.577,37.559,37.658,37.694,37.771,37.875,37.882,37.867,37.996,38.063,38.181,38.166,38.25,38.353,38.498,38.679,38.746,38.673,39.005,39.25,39.515,39.81,39.914,40.034,40.403,40.721,41.037,41.457,41.751,42.172,42.471,42.92
"14","6","    Change in private inventories","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","7","  Durable goods","A354RG3",37.838,39.359,40.153,40.46,40.54,41.242,42.656,42.93,42.833,42.556,42.207,42.017,41.97,42.414,43.031,43.98,45.407,45.657,45.593,46.334,46.564,46.36,46.656,46.097,46.18,46.25,46.226,46.338,46.807,46.494,45.833,45.884,45.859,46.145,46.707,47.308,47.904,48.295,49.258,49.614,50.552,50.844,51.121,51.531,51.969,51.888,51.869,52.137,52.461,52.665,52.775,52.822,52.707,52.748,52.737,52.673,52.738,52.944,53.016,53.04,53.026,52.987,53.138,53.084,53.016,53.094,53.055,53.167,53.21,53.237,53.252,53.243,53.397,53.334,53.211,52.927,52.992,53.233,53.436,53.858,53.972,54.231,54.722,55.245,55.493,56.13,56.453,57.06,57.401,57.741
"16","8","    Final sales","A326RG3",38.373,39.914,40.718,41.017,41.088,41.806,43.244,43.511,43.426,43.153,42.784,42.588,42.541,43.015,43.642,44.553,45.961,46.155,46.094,46.894,47.126,46.92,47.215,46.634,46.718,46.78,46.745,46.865,47.32,47.017,46.385,46.436,46.398,46.685,47.245,47.836,48.433,48.824,49.802,50.161,51.117,51.415,51.699,52.115,52.546,52.467,52.449,52.716,53.087,53.292,53.407,53.456,53.327,53.367,53.36,53.304,53.37,53.569,53.644,53.67,53.662,53.624,53.781,53.725,53.655,53.738,53.701,53.813,53.856,53.879,53.896,53.883,54.045,53.974,53.838,53.535,53.598,53.848,54.054,54.491,54.595,54.87,55.38,55.907,56.159,56.819,57.145,57.76,58.101,58.448
"17","9","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10","  Nondurable goods","A356RG3",21.86,22.056,22.584,23.222,23.578,23.753,23.927,23.612,23.244,22.919,22.601,22.375,22.136,22.179,22.768,23.275,24.236,24.478,24.46,24.687,24.734,24.657,24.699,24.814,24.688,24.553,24.561,24.484,24.542,24.574,24.542,24.394,24.424,24.349,24.386,24.353,24.439,24.667,24.876,25.051,25.21,25.382,25.64,25.742,26.17,26.261,26.212,26.015,26.197,26.175,26.279,26.372,26.343,26.534,26.612,26.763,26.829,26.674,26.715,26.686,26.808,26.862,26.9,27.047,27.077,27.023,27.196,27.24,27.372,27.334,27.437,27.566,27.683,27.946,28.085,28.124,28.535,28.752,29.014,29.218,29.308,29.343,29.596,29.783,30.083,30.348,30.584,30.866,31.111,31.558
"19","11","    Final sales","A334RG3",20.973,21.163,21.594,22.289,22.605,22.772,22.957,22.707,22.365,22.061,21.758,21.549,21.326,21.373,21.941,22.399,23.293,23.518,23.535,23.76,23.823,23.763,23.817,23.968,23.877,23.765,23.782,23.71,23.756,23.788,23.761,23.622,23.66,23.591,23.629,23.596,23.673,23.895,24.094,24.266,24.421,24.594,24.853,24.963,25.384,25.471,25.422,25.22,25.404,25.376,25.472,25.561,25.537,25.732,25.812,25.958,26.017,25.867,25.906,25.875,25.994,26.05,26.086,26.232,26.265,26.218,26.387,26.427,26.557,26.529,26.626,26.757,26.875,27.132,27.27,27.302,27.704,27.914,28.17,28.365,28.457,28.494,28.756,28.943,29.245,29.508,29.751,30.033,30.275,30.711
"20","12","    Change in private inventories \1\","ZZZZZZ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","13","Services \2\","A341RG3",8.63,8.652,8.702,8.862,8.942,9.022,9.176,9.228,9.297,9.296,9.294,9.37,9.393,9.399,9.537,9.633,9.908,9.894,9.95,10.1,10.087,10.214,10.331,10.456,10.498,10.576,10.638,10.753,10.834,10.882,10.931,10.992,11.099,11.212,11.281,11.368,11.461,11.563,11.656,11.72,11.882,11.958,12.058,12.157,12.286,12.364,12.434,12.492,12.515,12.57,12.627,12.717,12.79,12.856,12.967,13.059,13.08,13.147,13.203,13.272,13.398,13.453,13.5,13.566,13.642,13.678,13.703,13.843,13.926,13.993,14.105,14.158,14.234,14.289,14.396,14.54,14.637,14.755,14.962,15.089,15.197,15.344,15.492,15.692,15.882,16.08,16.297,16.517,16.695,16.939
"22","14","Structures","A755RG3",8.389,8.677,8.949,9.19,9.393,9.569,9.812,9.878,9.852,9.784,9.565,9.602,9.505,9.607,9.918,10.093,10.503,10.711,10.857,10.953,10.97,11.045,11.151,11.087,11.113,11.14,11.227,11.136,10.999,11.043,11.067,11.089,11.054,11.131,11.303,11.414,11.69,11.844,12.029,12.075,12.125,12.252,12.315,12.245,12.038,12.114,12.165,12.18,12.182,12.171,12.158,12.148,12.167,12.162,12.162,12.142,12.109,12.152,12.151,12.191,12.224,12.25,12.271,12.287,12.305,12.306,12.262,12.314,12.268,12.408,12.44,12.627,12.658,12.73,12.756,13.007,12.952,13.31,13.316,13.52,13.572,13.619,13.731,13.93,14.172,14.313,14.358,14.796,15.066,15.339
"23",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","15","  Motor vehicle output","A953RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.812,33.044,33.651,34.194,34.047,34.274,34.638,34.899,34.848,35.028
"25","16","  Gross domestic product excluding motor vehicle output","A962RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.509,20.634,20.815,21.038,21.28,21.522,21.729,22.037,22.273,22.578
"26","17","  Final sales of computers \3\","BB01RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","18","  Gross domestic product excluding final sales of computers","BB00RG3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","19","  Implicit price deflator for final sales of domestic product","A190RD3",13.254,13.446,13.656,13.952,14.102,14.258,14.518,14.528,14.492,14.403,14.281,14.278,14.225,14.284,14.574,14.811,15.313,15.397,15.456,15.661,15.681,15.751,15.873,15.937,15.957,15.997,16.053,16.107,16.173,16.198,16.188,16.208,16.273,16.364,16.482,16.589,16.751,16.908,17.099,17.203,17.405,17.526,17.666,17.763,17.913,17.989,18.033,18.052,18.124,18.165,18.224,18.299,18.338,18.417,18.503,18.582,18.604,18.64,18.689,18.737,18.846,18.895,18.946,19.013,19.068,19.088,19.123,19.238,19.308,19.375,19.47,19.56,19.645,19.732,19.819,19.942,20.066,20.258,20.449,20.63,20.731,20.86,21.054,21.286,21.518,21.76,21.973,22.28,22.507,22.809
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1. Prior to 1959, inventories held by construction establishments are included in nondurable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","goods. Beginning with 1959, these inventories are included in durable goods.  Estimates for",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","durable goods and nondurable goods for 1996 and earlier periods are based on the 1987",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Standard Industrial Classification (SIC); later estimates for these industries are based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2. Includes government consumption expenditures, which are for services (such as education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","and national defense) produced by government. In current dollars, these services are valued",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","at their cost of production.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","3. Some components of final sales of computers include computer parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
