"","Table 5#3#2# Contributions to Percent Change in Real Private Fix","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"13","4","    Commercial and health care","W001RZ2",0.87,-0.24,0.97,-0.14,-0.85,1.14,0.93,1.4,0.71,-0.32,0.31,0.55,0.39,0.9,0.84,-0.24,0.61,1.21,-0.18,-0.27,0.65,1.11
"14","5","    Manufacturing","C307RZ2",-1.28,-0.92,0.24,1.7,0.29,-0.2,-0.26,0.35,1.12,0.29,-1.56,-0.39,1,-0.08,0.04,0.01,0.67,1.41,1.14,-0.67,-0.19,0.24
"15","6","    Power and communication","W003RZ2",1.03,0.3,-0.03,0.02,0.06,0.63,-0.57,-0.29,0.87,0.23,-0.25,-0.28,0.05,-0.37,0.03,0.33,0.44,0.52,0.69,0.5,0.67,0
"16","7","    Mining exploration, shafts, and wells","E318RZ2",0.59,0.03,0.57,0.16,0.38,0.36,0.41,0.31,-0.13,-0.22,-0.24,0.1,-0.21,0.06,0.15,-0.18,0.18,-0.03,-0.12,-0.09,0.01,0.08
"17","8","    Other structures \1\","W004RZ2",0,0.08,-0.09,-0.13,0.03,0.24,0.34,0.01,-0.06,0,0.27,0.68,0.69,-0.16,0.14,0.37,0.62,0.8,0.25,-0.14,-0.77,-0.04
"18","9","  Equipment and software","B010RZ2",2.25,-5.07,4.13,1.07,-1.13,3.52,-2.23,5.1,0.99,1.02,-6.03,4.58,1.61,-0.76,4.47,3.31,5.02,7.34,6.77,-0.3,2.86,3.97
"19","10","    Information processing equipment and software","A679RZ2",0.13,-0.45,0.44,0.38,0.63,0.48,-0.49,0.65,0.68,0.66,-0.61,0.51,1.21,0.61,0.77,1.29,1.07,1.39,2.43,0.65,0.6,1.91
"20","11","      Computers and peripheral equipment","B935RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,0.19,0.26,0.78,0.39,0.45,1.02,0.47,0.3,0.54
"21","12","      Software \2\","B985RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,0.06,0.08,0.27,0.12,0.15,0.33,0.15,0.12,0.34
"22","13","      Other \3\","A937RZ2",0.13,-0.45,0.44,0.38,0.63,0.48,-0.49,0.65,0.68,0.66,-0.61,0.49,0.79,0.37,0.43,0.23,0.56,0.79,1.08,0.03,0.18,1.03
"23","14","    Industrial equipment","A680RZ2",-0.97,-2.53,1.47,1.16,0.44,1.2,0.38,-0.1,1.21,0.17,-2.32,0.19,0.9,-0.66,0.6,0.91,1.48,2.1,1.89,0.06,-0.28,0.86
"24","15","    Transportation equipment","A681RZ2",0.56,-0.07,1.54,-0.52,-2.32,2.1,-1.52,2.89,-1.21,0.75,-3.23,3.08,0.33,-0.62,2.47,-0.38,1.39,2.72,1.19,-0.41,2.42,0.53
"25","16","    Other equipment \4\","A862RZ2",2.52,-2.02,0.68,0.05,0.11,-0.26,-0.6,1.66,0.31,-0.55,0.14,0.8,-0.83,-0.09,0.62,1.5,1.08,1.12,1.26,-0.6,0.13,0.66
"26","17","Residential","A011RZ2",6.67,-2.78,13.65,-6.88,-0.66,1.3,2.94,6.14,-3.13,-2.08,0.33,8.73,-2.68,0.1,3.37,4.15,2.12,-1.04,-2.83,-0.87,3.74,0.87
"27","18","  Structures","A012RZ2",6.63,-2.73,13.46,-6.83,-0.65,1.26,2.92,6.04,-3.2,-2.09,0.29,8.61,-2.64,0.09,3.33,4.07,2.07,-1.11,-2.84,-0.88,3.62,0.78
"28","19","    Permanent site","A943RZ2",5.61,-1.47,12.75,-6.69,-1.59,0.87,2.54,5.02,-3.84,-2.17,0.55,6.49,-3.07,-0.13,3.26,3.25,1.71,-1.1,-2.71,-0.87,3.2,0.59
"29","20","      Single family","A944RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47,-2.59,-1.03,1.25,1.24,1.76,-0.42,-1.81,-0.28,1.42,-0.75
"30","21","      Multifamily","C292RZ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.02,-0.48,0.9,2.01,2.01,-0.05,-0.68,-0.9,-0.59,1.78,1.34
"31","22","    Other structures \5\","A863RZ2",1.02,-1.26,0.7,-0.14,0.94,0.4,0.38,1.02,0.64,0.09,-0.26,2.13,0.44,0.22,0.07,0.82,0.36,-0.01,-0.13,-0.01,0.42,0.19
"32","23","  Equipment","B013RZ2",0.03,-0.05,0.19,-0.06,0,0.04,0.02,0.09,0.07,0,0.04,0.11,-0.05,0,0.04,0.08,0.05,0.07,0.01,0.01,0.11,0.09
"33",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","24","  Private fixed investment in structures","A349RZ2",7.85,-3.46,15.11,-5.23,-0.75,3.43,3.77,7.83,-0.68,-2.1,-1.18,9.26,-0.71,0.45,4.53,4.37,4.59,2.81,-1.05,-1.55,4,2.16
"35","25","  Private fixed investment in equipment and software","A327RZ2",2.28,-5.12,4.32,1.02,-1.14,3.56,-2.21,5.2,1.06,1.02,-5.99,4.69,1.57,-0.76,4.51,3.39,5.07,7.41,6.78,-0.29,2.98,4.06
"36","26","  Private fixed investment in new structures \6\","W040RZ2",8.81,-3.06,15.07,-5.19,-0.94,3.45,3.55,7.41,-0.1,-1.83,-0.99,8.46,-0.58,0.6,4.29,3.92,4.57,2.71,-0.82,-1.54,3.77,2.18
"37","27","    Nonresidential structures","A771RZ2",1.87,-0.45,1.77,1.69,-0.1,2.16,0.85,1.42,2.97,-0.11,-1.47,0.8,1.97,0.45,1.31,0.3,2.48,3.74,1.67,-0.76,0.37,1.4
"38","28","    Residential structures","A756RZ2",6.94,-2.61,13.3,-6.89,-0.84,1.29,2.7,6,-3.07,-1.72,0.49,7.66,-2.55,0.15,2.97,3.62,2.09,-1.03,-2.49,-0.78,3.4,0.78
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","1. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","5. Consists primarily of manufactured homes, improvements, dormitories, net purchases",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","of used structures, and brokers' commissions on the sale of residential structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","6. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
