"","Table 1#6#8# Contributions to Percent Change in the Gross Domest","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"15","5","      Motor vehicles and parts","DMOTRS2",NA,0.01,0.18,0.18,0.15,0.15,0.91,-0.12,0.02,0,-0.23,-0.03,0,0.13,-0.02,0.07,0.64,0.13,0.03,0.46,0.23,-0.29,0.28,-0.81,0.41,0.03,-0.33,0.11,0.36,-0.78,-0.4,-0.01,0.11,0.21,0.3,0.09,0.16,-0.01,0.38,0.28,0.33,0.34,-0.1,-0.05,0.47,-0.03,0.08,-0.05,0.65,0.11,-0.01,-0.01,-0.12,-0.1,-0.13,-0.07,0.01,0.15,0.17,-0.02,0.01,0.11,0.1,-0.12,0.01,0.1,0.08,0.05,0.05,-0.02,0,-0.04,0.06,-0.1,-0.12,-0.1,-0.05,0.08,0.04,0.03,-0.16,0.12,0.31,0.23,0,0.08,0.12,0.14,0.01,0.09
"16","6","      Furnishings and durable household equipment","DFDHRS2",NA,0.21,0.16,0.22,0.1,0.19,0.2,0,-0.29,-0.29,-0.08,0.07,0.08,0.27,0.59,0.6,0.69,0.16,-0.06,-0.05,0,-0.14,0.05,-0.06,0.02,0.07,0.08,0.01,-0.03,0,-0.04,-0.1,0.01,0.02,0.08,0.05,0.03,0.1,0.14,0.17,0.01,0.08,0.04,0.04,0.07,-0.16,-0.07,0,0.01,0.06,0.01,0,0.04,0.04,0.02,0.02,0,0.02,0,-0.01,0,-0.01,-0.01,0,0,0,0.01,0.04,0.01,-0.01,-0.03,-0.03,-0.02,-0.01,-0.03,-0.01,0.01,0.05,0.09,0.09,0.04,0.04,0.08,0.08,0.17,0.12,0.09,0.1,0.11,0.12
"17","7","      Recreational goods and vehicles","DREQRS2",NA,0.06,-0.03,0.06,0.03,0.07,0.13,0.09,0.05,0.07,0.09,0.2,0.22,0.15,0.13,-0.07,-0.12,-0.18,-0.07,0,0.13,0.09,0.09,0.03,-0.02,0.03,0.07,0.04,0.06,-0.01,-0.04,-0.05,-0.01,-0.05,-0.01,-0.04,-0.03,0,0.01,0.03,-0.01,0.06,0.04,0.05,0.06,0.02,-0.02,-0.03,-0.02,0.01,0.02,0,0.01,0.01,0,-0.01,-0.01,-0.01,-0.01,-0.02,-0.01,-0.01,-0.01,-0.01,0,0.01,0.01,-0.01,-0.04,-0.01,-0.01,-0.01,-0.01,-0.03,-0.03,-0.05,-0.01,0,0.01,0.01,0.02,0,-0.01,0.04,0.05,0.03,0.05,0.05,0.04,0.05
"18","8","      Other durable goods","DODGRS2",NA,0.06,-0.1,0.04,0.01,0.05,0.03,0.01,-0.02,-0.03,-0.14,-0.02,-0.01,0.01,0.01,0.01,0.11,-0.02,0.06,-0.01,0.04,0.03,0.02,0.04,-0.03,-0.03,0.03,0.02,0.04,-0.03,-0.05,-0.02,0.05,0,0,-0.01,-0.01,0,0.01,0.01,0,0.04,0.01,0.01,-0.01,0.03,0,0,0.03,0.01,0,0,0.01,0,0,0,0,-0.01,0,0,0.01,-0.04,0.04,-0.01,0.01,0,0,0.03,0.04,0.02,0,0.01,-0.03,0.02,-0.01,-0.05,0,0.03,0.01,0.03,0.03,0,0.02,0.02,0.02,0,0.05,0.06,0.06,0.04
"19","9","    Nondurable goods","DNDGRS2",NA,1.28,2.4,4.01,2.06,1.28,1.31,-1.18,-1.73,-1.5,-1.31,-0.88,-0.77,0.59,3.39,2.67,4.99,1.03,-0.24,1.39,0.1,-0.44,0.18,0.42,-0.49,-0.47,0.25,0.02,0.41,0.41,-0.4,-0.48,0.03,-0.27,0.15,0,0.33,1,1.02,0.33,0.94,0.53,1.06,0.38,1.62,0.19,-0.31,-0.49,0.37,0.09,0.47,0.37,-0.18,0.69,0.29,0.57,0.17,-0.7,0.19,-0.19,0.38,0.25,0.09,0.5,0.14,-0.09,0.69,0.19,0.55,-0.02,0.29,0.38,0.29,0.87,0.5,0.21,1.21,0.77,0.64,0.57,-0.03,0.14,0.95,0.61,0.93,0.85,0.85,0.94,0.66,1.23
"20","10","      Food and beverages purchased for off-premises consumption","DFXARS2",NA,0.14,1.41,2.38,0.48,0.16,0.31,-1.49,-0.92,-0.67,-0.73,-0.37,-0.65,0.41,1.87,1.14,3.25,0.49,-0.2,1.19,0.22,-0.04,0.27,-0.32,-0.82,-0.41,0.07,-0.02,0.06,0.29,-0.61,-0.44,-0.09,-0.39,-0.19,-0.26,-0.06,0.6,0.48,0.06,0.4,0.15,0.67,0.15,1.52,0.46,-0.39,-0.26,-0.12,-0.28,0.11,-0.05,-0.12,0.6,-0.04,0.48,0.13,-0.35,-0.15,-0.12,0.43,0.1,0.06,0.19,0.19,-0.18,0.39,0.02,0.44,0.04,0.3,0.23,-0.08,0.59,0.32,-0.01,0.95,0.45,0.2,0.13,-0.41,-0.17,0.48,0.16,0.38,0.3,0.3,0.48,0.17,0.61
"21","11","      Clothing and footwear","DCLORS2",NA,0.63,0.34,0.68,0.7,0.53,0.19,0,-0.73,-0.67,-0.58,-0.47,-0.22,0.02,0.62,0.93,1.04,0.46,0.07,-0.03,-0.12,-0.43,-0.23,0.71,0.03,-0.44,-0.09,-0.08,0.29,-0.01,0.17,-0.13,-0.11,-0.04,0.09,0.01,0.16,0.16,0.19,0.1,0.07,0.03,0.03,0.05,-0.02,-0.01,-0.01,0,0.1,0.08,0.1,0.05,0.04,0.1,0.07,0.04,0.01,-0.04,0.09,-0.01,-0.07,0.08,0.08,0.02,0.02,0.03,0.05,0.08,0.06,0.04,-0.01,-0.01,0.07,0.04,0.1,0.05,0.15,0.15,0.18,0.18,0.2,0.16,0.2,0.18,0.27,0.34,0.3,0.24,0.24,0.22
"22","12","      Gasoline and other energy goods","DGOERS2",NA,0.33,0.37,0.56,0.58,0.38,0.32,0.22,0.13,0.09,0.02,-0.06,-0.08,-0.02,0.21,0.18,0.21,0.03,-0.03,0.16,0.11,0.09,0.12,0.05,0.15,0.16,0.24,0.11,-0.01,0,-0.07,-0.02,0.07,0.07,0.12,0.08,0.09,0.11,0.26,0.11,0.28,0.16,-0.01,-0.01,0.04,-0.26,0.1,-0.17,0.27,0.13,0.01,0.27,-0.16,-0.01,0.25,0.03,0,-0.32,0.27,-0.07,-0.04,0.07,-0.03,0.25,-0.1,-0.13,0.11,-0.03,-0.04,-0.11,-0.02,0.13,0.18,0.1,0.03,0.12,0.01,0.02,0.13,0.13,0.07,0.07,0.06,0.03,0.07,-0.01,0.1,0.03,0.12,0.19
"23","13","      Other nondurable goods","DONGRS2",NA,0.18,0.28,0.39,0.3,0.21,0.48,0.1,-0.21,-0.25,-0.02,0.02,0.18,0.19,0.69,0.43,0.48,0.05,-0.08,0.07,-0.12,-0.06,0.01,-0.02,0.16,0.22,0.02,0.01,0.08,0.13,0.11,0.12,0.16,0.08,0.13,0.17,0.14,0.14,0.08,0.06,0.19,0.19,0.38,0.18,0.07,0.01,-0.01,-0.06,0.11,0.16,0.25,0.11,0.06,0,0.01,0.02,0.03,0.01,-0.01,0.01,0.06,0,-0.02,0.04,0.04,0.18,0.14,0.12,0.09,0.01,0.01,0.04,0.11,0.14,0.05,0.05,0.11,0.15,0.12,0.12,0.11,0.07,0.21,0.24,0.2,0.22,0.15,0.19,0.14,0.21
"24","14","  Services","DSERRS2",NA,0.63,2.69,2.6,0.77,1.16,1.68,0.42,-0.06,0.25,0.38,0.76,0.44,0.46,1.7,1.43,2.06,0.83,0.61,1.58,0.73,0.81,1.07,0.78,1,0.76,1.33,1.04,0.64,0.25,0.24,0.51,0.67,0.41,0.52,0.63,0.6,0.61,0.9,0.65,1,0.53,0.98,0.88,0.95,0.39,0.44,0.39,0.53,0.61,0.94,0.99,0.59,0.69,0.81,0.64,0.29,0.52,0.58,0.51,0.72,0.58,0.44,0.38,0.56,0.34,0.4,0.63,0.59,0.62,0.62,0.55,0.52,0.51,0.61,0.76,0.74,1.1,1.1,1.18,0.83,0.87,0.94,1.15,1.44,1.44,1.4,1.5,1.56,1.69
"25","15","    Household consumption expenditures","DHCERS2",NA,0.6,2.54,2.5,0.72,1.08,1.61,0.42,-0.02,0.25,0.37,0.75,0.43,0.45,1.61,1.31,1.94,0.78,0.59,1.56,0.74,0.83,1.07,0.8,0.97,0.76,1.3,1.02,0.61,0.25,0.23,0.5,0.65,0.4,0.49,0.58,0.56,0.59,0.87,0.63,0.98,0.51,0.91,0.79,0.81,0.42,0.56,0.63,0.92,0.78,1,1.03,0.68,0.77,0.85,0.63,0.26,0.48,0.53,0.5,0.71,0.57,0.44,0.37,0.53,0.33,0.38,0.62,0.6,0.62,0.6,0.54,0.47,0.48,0.6,0.72,0.71,1.05,1.06,1.14,0.82,0.83,0.92,1.11,1.39,1.4,1.35,1.44,1.49,1.61
"26","16","      Housing and utilities","DHUTRS2",NA,0.17,0.64,0.93,0.31,0.22,0.29,0.28,0.3,0.13,0.16,0.29,0.37,0.15,0.3,0.21,0.47,0.3,0.34,0.53,0.29,0.24,0.2,0.41,0.44,0.32,0.52,0.48,0.22,-0.02,0.07,0.16,0.24,0.16,0.08,0.12,0.13,0.1,0.3,0.11,0.2,0.11,0.27,0.31,0.08,0.25,0.2,0.19,-0.06,0.27,0.22,0.28,0.16,0.14,0.21,0.16,0.1,0.22,0.11,0.03,0.19,0.07,0.18,0.04,0.18,0.12,0.04,0.18,0.03,0.13,0.13,0.06,0.08,0.09,0.09,0.15,0.18,0.16,0.07,0.24,0.2,0.13,0.18,0.23,0.25,0.28,0.24,0.3,0.29,0.36
"27","17","      Health care","DHLCRS2",NA,0.19,0.48,0.21,-0.03,0.1,0.13,-0.05,-0.02,0.02,0.01,0.02,0.02,0.01,0.13,0.17,0.15,0.05,-0.01,0.11,0.13,0.1,0.12,0.05,0.17,0.02,0.1,0.08,0.14,0.04,0.04,0.04,0.15,0.03,0.03,0.12,0.13,0.01,0.06,0.11,0.14,0.06,0.14,0.13,0.12,0.01,0.14,0.11,-0.06,0.12,0.12,0.23,0.11,0.33,0.25,0.14,-0.03,-0.04,0.02,0.06,0.1,0.13,0.1,0.11,0.07,0.07,0.13,0.09,0.15,0.11,0.11,0.16,0.1,0.12,0.09,0.1,0.13,0.2,0.24,0.27,0.24,0.21,0.25,0.24,0.25,0.23,0.23,0.27,0.29,0.35
"28","18","      Transportation services","DTRSRS2",NA,-0.02,0.01,0.04,0.09,0.23,0.5,0.35,0,0.04,0.06,0.17,0.07,0.03,0.18,0.22,0.17,0.13,0.11,0.1,-0.04,0.08,0.16,0.1,0.03,0.1,0.11,0.1,0.03,0.08,0.05,0.07,0.04,0.05,0.04,0.05,0.1,0.08,0.04,0.03,0.1,0.09,0.07,0.1,0.02,0.04,0.06,0.07,0.05,0.06,0.06,0.03,0.04,0.01,0.04,0.06,0.06,0.07,0.04,0.03,0.04,0.05,0.02,0,0,0,0.01,0.02,0.05,0.01,0.02,0.02,0.03,0.04,0.03,0.04,-0.01,0.02,0.08,0.07,0.06,0.07,0.07,0.06,0.09,0.09,0.07,0.1,0.12,0.14
"29","19","      Recreation services","DRCARS2",NA,0.02,0.12,0.12,-0.05,0.07,0.13,0.08,-0.13,0.08,0.07,0.04,-0.12,0.08,0.1,0.04,-0.02,0.11,0.09,0.04,-0.05,0.1,0.11,0.01,-0.04,0.13,0.12,0.08,-0.07,0.08,0.09,0.08,-0.13,0.1,0.13,0.06,-0.09,0.08,0.05,0.07,0.05,0.07,0.05,0.09,0.12,0.03,-0.04,-0.04,0.03,0.07,0.07,0.06,0.03,0.02,0.04,0.03,0.05,0.02,0.04,0.04,0.03,0.03,0.02,0.03,0.01,0.03,0.05,0.05,0.03,0.02,0.04,0.02,0.02,0.03,0.03,0.02,0.04,0.04,0.02,0.05,0.04,0.05,0.06,0.08,0.08,0.06,0.06,0.05,0.05,0.06
"30","20","      Food services and accommodations","DFSARS2",NA,0.05,0.45,0.75,0.16,0.08,0.15,-0.35,-0.18,-0.11,-0.12,-0.01,-0.08,0.15,0.53,0.26,0.85,0.06,-0.11,0.37,0.1,0.02,0.12,-0.05,-0.21,-0.08,0.08,0.05,0.07,0.15,-0.12,-0.05,0.07,-0.05,-0.02,-0.06,-0.02,0.2,0.19,0.07,0.2,0.06,0.17,-0.05,0.29,0.09,-0.06,0.09,0.23,0.22,0.16,0.1,0.14,0.04,0.06,0.03,0.09,0.1,0.1,0.11,0.07,0.1,0.11,0.08,0.09,0.08,0.02,0.1,0.05,0.09,0.01,0.03,0.1,0.05,0.14,0.15,0.1,0.18,0.22,0.19,0.24,0.21,0.15,0.18,0.19,0.2,0.23,0.21,0.19,0.22
"31","21","      Financial services and insurance","DIFSRS2",NA,0.06,0.25,0.14,0.05,0.11,0.14,0.03,-0.02,0.03,0.06,0.08,0.09,0.01,0.08,0.06,-0.02,-0.04,0,0.08,0.11,0.13,0.19,0.17,0.29,0.18,0.18,0.12,0.08,0.02,0.04,0.07,0.12,0.04,0.05,0.08,0.06,0.02,0.05,0.08,0.12,0.04,0.06,0.03,0.01,0.02,0.16,0.22,0.45,0.02,0.07,0.12,0.12,0.1,0.13,0.13,0.01,0.04,0.17,0.16,0.19,0.07,-0.04,-0.02,0.02,-0.06,0.04,0.09,0.16,0.15,0.14,0.12,-0.01,0.03,0.09,0.13,0.24,0.2,0.17,0.11,-0.04,-0.01,0.08,0.18,0.2,0.28,0.29,0.25,0.31,0.23
"32","22","      Other services","DOTSRS2",NA,0.14,0.58,0.32,0.19,0.26,0.28,0.08,0.03,0.07,0.14,0.15,0.08,0.01,0.3,0.35,0.33,0.17,0.17,0.33,0.21,0.15,0.18,0.11,0.29,0.08,0.18,0.12,0.15,-0.1,0.05,0.13,0.16,0.07,0.18,0.22,0.25,0.1,0.19,0.17,0.16,0.07,0.15,0.18,0.17,-0.01,0.09,-0.01,0.27,0.02,0.29,0.21,0.07,0.13,0.13,0.09,-0.02,0.07,0.05,0.08,0.09,0.12,0.04,0.13,0.16,0.09,0.09,0.11,0.13,0.11,0.14,0.12,0.15,0.11,0.13,0.13,0.02,0.25,0.27,0.2,0.09,0.17,0.12,0.14,0.34,0.27,0.22,0.26,0.24,0.25
"33","23","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)","DNPIRS2",NA,0.03,0.15,0.1,0.05,0.07,0.07,0,-0.03,0,0.01,0.01,0.01,0.01,0.09,0.12,0.13,0.05,0.02,0.01,-0.01,-0.02,0,-0.02,0.03,0.01,0.03,0.02,0.03,0,0.01,0.02,0.02,0.01,0.03,0.05,0.04,0.02,0.03,0.03,0.03,0.03,0.07,0.09,0.14,-0.03,-0.11,-0.23,-0.39,-0.17,-0.06,-0.04,-0.08,-0.08,-0.04,0,0.03,0.04,0.05,0.01,0.01,0.01,0,0.01,0.03,0.02,0.01,0.01,-0.01,0,0.02,0.01,0.05,0.04,0.02,0.04,0.04,0.04,0.04,0.04,0.01,0.05,0.03,0.04,0.05,0.04,0.05,0.06,0.08,0.08
"34","24","Gross private domestic investment","A006RS2",NA,2.32,1.88,0.63,0.78,1.42,1.96,0.34,-0.28,-0.2,-0.75,-0.39,-0.26,0.86,2.03,1.87,3.2,1.23,0.29,0.55,0.11,0.13,0,-0.24,-0.01,0.27,0.43,-0.2,-0.05,0.14,-0.11,0,-0.05,0.44,0.86,0.98,1.51,0.81,1.22,0.51,0.64,0.28,0.43,0.24,-0.52,0.27,0.06,0.12,-0.02,0.23,0.17,0.1,0.08,0.1,-0.05,-0.13,-0.13,0,-0.04,0.01,0.05,0.04,-0.01,-0.07,0.01,-0.13,-0.21,0.15,-0.2,0.5,0.08,0.64,0.03,0.14,0.11,0.78,-0.27,1.11,0.02,0.78,0.25,0.25,0.35,0.77,0.64,0.62,0.38,1.37,0.68,0.71
"35","25","  Fixed investment","A007RS2",NA,2.28,1.5,1.28,0.65,1.4,1.96,0.62,-0.26,-0.24,-0.86,-0.41,-0.23,0.87,1.9,1.37,2.49,1.01,0.46,0.55,0.15,0.16,-0.01,-0.15,0.03,0.26,0.41,-0.19,-0.09,0.15,-0.08,0,-0.05,0.43,0.82,0.93,1.45,0.79,1.18,0.5,0.61,0.28,0.42,0.23,-0.56,0.22,0.06,0.13,0.12,0.24,0.18,0.1,0.07,0.11,-0.04,-0.12,-0.14,0.03,-0.04,0.01,0.06,0.06,-0.01,-0.06,0.03,-0.1,-0.21,0.14,-0.2,0.53,0.07,0.65,0.03,0.13,0.11,0.76,-0.29,1.1,0.01,0.74,0.23,0.26,0.37,0.73,0.62,0.59,0.37,1.36,0.67,0.68
"36","26","    Nonresidential","A008RS2",NA,1.27,1.05,0.66,0.16,1.1,1.38,0.52,-0.39,-0.18,-0.29,-0.4,-0.17,0.23,0.79,1.4,1.53,0.71,0.33,0.35,0.04,-0.02,-0.2,-0.02,0.01,0.24,0.24,-0.1,0.04,0.1,-0.34,0,-0.19,0.2,0.63,0.88,1.23,0.43,1.12,0.58,0.66,0.22,0.28,0.31,-0.47,0.2,0.07,0.12,0.08,0.23,0.18,0.08,0.01,0.03,-0.04,-0.15,-0.08,-0.04,-0.04,0.03,0.02,0.06,0,-0.03,0.03,-0.02,0.03,0,0,0.18,0.01,0.21,0.05,0.11,0.13,0.23,-0.04,0.45,0.11,0.41,0.22,0.22,0.28,0.41,0.32,0.42,0.36,0.67,0.32,0.41
