"","Table 5#10# Capital Transfers Paid and Received, by Sector and b","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"21","14","      Other capital transfers paid to persons \6\","W027RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,14.8,16.1,15.9,16.4,28.7,33.3,31.3,36.4
"22","15","      Capital transfers paid to the rest of the world (net) \7\","AD10RC1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,7.4,5.3,0.2,0.8,1.2,0.6,0.2,0.4,0.2,4.5,0.4,0.3,0.6,2.2,0.9,2.6,2,0.4,0.8,0.6,0.7
"23","16","    State and local","W952RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,6.4,0,0,0,0,0
"24","17","      Disaster-related insurance benefits","W952RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,6.4,0,0,0,0,0
"25","18","  By persons","W953RC1",4.6,4.8,5.8,6.8,6.6,6.3,6.4,7.2,9.3,7.2,7.5,8.8,9.3,10.1,8.3,8.4,8.9,10,10.6,11.1,12.4,15.8,15.6,15.8,17.6,20.2,20,23.1,27,32.4,36.7,35.6,35.7,32.6,28,30.3,30.3,33.1,31.7,34,25.1,19.5
"26","19","    Estate and gift taxes, federal","B232RC1",3.6,3.7,4.6,5.4,5.1,4.8,4.9,5.6,7.2,5.2,5.5,6.5,6.9,7.5,5.8,6,6.4,7,7.2,7.6,8.9,11.6,11,11.3,12.9,15.1,14.9,17.5,20.6,25.2,28.8,28.1,28,25.3,22,24.6,25,27.8,26.5,28.3,20.6,15
"27","20","    Estate and gift taxes, state and local","S210201",1.1,1.1,1.2,1.4,1.5,1.5,1.6,1.7,2.1,2,2,2.3,2.4,2.6,2.5,2.4,2.6,3,3.4,3.5,3.5,4.2,4.6,4.5,4.7,5.1,5.1,5.6,6.4,7.2,7.9,7.5,7.7,7.3,6,5.6,5.3,5.3,5.3,5.8,4.5,4.5
"28","21","  By the rest of the world","W954RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.5,0,0,0,0,0,0,0,0,13.2,0,0,3.7,15.4,0,0,6.2,0,0
"29","22","    Disaster-related insurance benefits","W955RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.5,0,0,0,0,0,0,0,0,13.2,0,0,3.7,15.4,0,0,6.2,0,0
"30","23","    Other","W956RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","24","Capital transfers received, by sector","W957RC1",10.5,10,11.7,12.9,12.6,14.2,16.2,17.9,20.5,19.2,22.1,25.5,25,24.8,23.9,26.1,28.5,30.1,29.7,30.9,35.9,44,43.4,57.6,44,58.8,49.9,51.5,56.2,61.3,74.8,72.2,102.5,81.8,90.6,119.2,165.8,103.6,114.5,209.6,290.1,209.9
"32","25","  By private business","W958RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,1.6,0,0.1,9.1,1,7.7,0.8,0,0,0,1.3,0,17.7,0,0.1,12.8,29.7,0,0,75,130,53.8
"33","26","    Financial corporations","W959RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0.3,0,0.3,0,0,0,0,0,0,3.9,0,0,1.1,1.1,0,0,68.1,121.9,41.5
"34","27","      Disaster-related insurance benefits","W960RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0.3,0,0.3,0,0,0,0,0,0,3.9,0,0,1.1,1.1,0,0,0.4,0,0
"35","28","      Other \4\","W961RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.7,121.9,41.5
"36","29","    Nonfinancial corporations","W962RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,1.2,0,0,7,0.6,3.3,0.4,0,0,0,0.9,0,12.5,0,0.1,6.7,15.5,0,0,3.7,2.1,4.6
"37","30","      Disaster-related insurance benefits","W963RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0,0,7,0.6,3.3,0.4,0,0,0,0.9,0,12.5,0,0,6.5,15.5,0,0,3.6,0,0
"38","31","      Other \5\","W964RC1",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,2.1,4.6
"39","32","    Noncorporate business","W965RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0,0.1,1.8,0.4,4.1,0.4,0,0,0,0.4,0,1.3,0,0,5,13.1,0,0,3.3,6,7.8
"40","33","      Disaster-related insurance benefits","W966RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0,0.1,1.8,0.4,4.1,0.4,0,0,0,0.4,0,1.3,0,0,5,13.1,0,0,3.3,0,0
"41","34","      Other","W967RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7.8
"42","35","  By government","W968RC1",10.4,9.9,11.6,12.6,12.4,14,15.9,17.6,20.2,18.9,21.7,25.1,24.7,24.5,23.7,26,28.4,30,29.5,30.7,32.3,36.6,36.8,38.2,41.1,45,47.3,51.3,55.8,61,68.6,71.9,79.2,77.7,73.4,76.6,81.2,85.2,85.4,91.1,87.9,93.3
"43","36","    Federal","B232RC1",3.6,3.7,4.6,5.4,5.1,4.8,4.9,5.6,7.2,5.2,5.5,6.5,6.9,7.5,5.8,6,6.4,7,7.2,7.6,8.9,11.6,11,11.3,12.9,15.1,14.9,17.5,20.6,25.2,28.8,28.1,28,25.3,22,24.6,25,27.8,26.5,28.3,20.6,15
"44","37","      Estate and gift taxes paid by persons","B232RC1",3.6,3.7,4.6,5.4,5.1,4.8,4.9,5.6,7.2,5.2,5.5,6.5,6.9,7.5,5.8,6,6.4,7,7.2,7.6,8.9,11.6,11,11.3,12.9,15.1,14.9,17.5,20.6,25.2,28.8,28.1,28,25.3,22,24.6,25,27.8,26.5,28.3,20.6,15
"45","38","    State and local","W969RC1",6.8,6.2,7,7.3,7.3,9.2,11,12,13.1,13.7,16.2,18.6,17.8,16.9,18,20.1,22,23,22.3,23.1,23.4,25,25.8,26.9,28.2,29.9,32.4,33.8,35.2,35.9,39.8,43.8,51.2,52.4,51.5,52,56.2,57.4,58.9,62.8,67.3,78.3
"46","39","      Disaster-related insurance benefits","W970RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0,0,0,2.1,0,0,0,0,0
"47","40","      Estate and gift taxes paid by persons","S210201",1.1,1.1,1.2,1.4,1.5,1.5,1.6,1.7,2.1,2,2,2.3,2.4,2.6,2.5,2.4,2.6,3,3.4,3.5,3.5,4.2,4.6,4.5,4.7,5.1,5.1,5.6,6.4,7.2,7.9,7.5,7.7,7.3,6,5.6,5.3,5.3,5.3,5.8,4.5,4.5
"48","41","      Investment grants paid by federal government \3\","AD11RC1",5.8,5.1,5.8,5.8,5.8,7.7,9.4,10.4,11,11.7,14.2,16.3,15.4,14.4,15.4,17.7,19.4,20,19,19.6,19.9,20.8,21.2,22.4,23.5,24.8,27.3,28.2,28.8,28.7,31.9,36.2,41.7,45,45.5,46.3,48.9,52.1,53.7,57.1,62.8,73.6
"49","42","      Other \2\","W937RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"50","43","  By persons","W971RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0,1.1,10.1,1.1,4.8,1.1,0,0,0,0.4,0,5.4,3.6,14.8,28.9,52.2,16.4,28.7,42.6,71.7,62
"51","44","    Disaster-related insurance benefits","W972RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0,1.1,10.1,1.1,4.8,1.1,0,0,0,0.4,0,5.4,0,0,12.8,36.3,0,0,9.3,0,0
"52","45","    Other \1,6\","W688RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,14.8,16.1,15.9,16.4,28.7,33.3,71.7,62
"53","46","  By the rest of the world","W973RC1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,7.4,5.3,0.2,0.8,1.2,0.6,0.2,0.4,0.2,4.5,0.4,0.3,0.6,2.2,0.9,2.6,2,0.4,0.8,0.6,0.7
"54","47","    Capital transfers paid by U.S. government \7\","AD10RC1",0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,7.4,5.3,0.2,0.8,1.2,0.6,0.2,0.4,0.2,4.5,0.4,0.3,0.6,2.2,0.9,2.6,2,0.4,0.8,0.6,0.7
"55","48","    Other","W974RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56",NA,"Addenda: Net capital transfers paid by sector"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","49","  By private business (2-25)","W975RC1",-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,0,0,0,0,0,0,1.6,0,1.1,8.6,1.1,4.8,1.1,0,0,0,0.4,0,-6.1,0,-0.1,4.5,-0.9,0,0,-67.5,-89.6,-28
"58","50","    Corporate business (3+6-26-29)","W976RC1",-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.2,-0.2,0,0,0,0,0,0,2,0,1.3,10.4,1.4,8.9,1.5,0,0,0,0.9,0,-4.8,0,-0.1,9.5,12.2,0,0,-64.2,-83.6,-20.2
"59","51","    Noncorporate business (7-32)","W977RC1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4,0,-0.1,-1.8,-0.4,-4.1,-0.4,0,0,0,-0.4,0,-1.3,0,0,-5,-13.1,0,0,-3.3,-6,-7.8
"60","52","  By government (8-35)","W978RC1",-4.5,-4.6,-5.6,-6.6,-6.4,-6,-6.2,-7,-9.1,-6.9,-7.2,-8.4,-8.9,-9.8,-8.2,-8.3,-8.8,-9.9,-10.4,-11,-12.1,-8.4,-10.3,-15.6,-16.8,-19,-19.4,-22.9,-26.6,-32.1,-32.2,-35.3,-37.1,-28.5,-10.8,-8.6,10,-14.7,-2.6,70.6,136.8,71.2
"61","53","    Federal (9-36)","W979RC1",2.3,1.6,1.4,0.7,0.9,3.1,4.8,5,4,6.8,9,10.2,8.8,7.2,9.8,11.8,13.2,13.1,11.9,12.1,11.3,16.6,15.5,11.3,11.4,10.9,13,10.9,8.7,3.7,7.6,8.5,14.1,23.9,40.6,38.9,59.8,42.7,56.3,133.5,204.1,149.6
"62","54","    State and local (16-38)","W980RC1",-6.8,-6.2,-7,-7.3,-7.3,-9.2,-11,-12,-13.1,-13.7,-16.2,-18.6,-17.8,-16.9,-18,-20.1,-22,-23,-22.3,-23.1,-23.4,-25,-25.8,-26.9,-28.2,-29.9,-32.4,-33.8,-35.2,-35.9,-39.8,-43.8,-51.2,-52.4,-51.5,-47.5,-49.8,-57.4,-58.9,-62.8,-67.3,-78.3
"63","55","  By persons (18-43)","W981RC1",4.6,4.8,5.8,6.8,6.6,6.3,6.4,7.2,9.3,7.2,7.5,8.8,9.3,10.1,8.3,8.4,8.9,10,10.6,11.1,10.8,15.8,14.5,5.7,16.6,15.5,18.9,23.1,27,32.4,36.3,35.6,30.3,29.1,13.1,1.4,-21.9,16.8,3,-8.6,-46.6,-42.6
"64","56","  By the rest of the world (21-46)","W982RC1",0,0,0,0,0,0,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.3,-7.4,-5.3,1.3,-0.8,-1.2,-0.6,-0.2,-0.4,-0.2,-4.5,-0.4,12.9,-0.6,-2.2,2.8,12.8,-2,-0.4,5.4,-0.6,-0.7
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","1. Beginning with 2009, includes payments to the voluntary employee beneficiary association (VEBA) of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","the United Automobile, Aerospace and Agricultural Implement Workers of America union (UAW).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","2. Beginning with the second quarter of 2010, includes payments from British Petroleum (BP) to state",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","and local governments for the construction of offshore structures to alleviate the impact of the BP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Deepwater Horizon oil spill in the Gulf of Mexico.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","3. Consists of federal government investment grants for highways, transit, air and water transportation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","and water treatment plants.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","4. Consists of the implied subsidy cost of government acquisition of assets such as shares of preferred",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","stock or warrants from private business.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","5. Consists of maritime construction subsidies and, beginning with 2009, the homebuyer tax credit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","provision of the American Recovery and Reinvestment Act of 2009.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","6. Beginning with October 2002, includes payments to the Uniformed Services Retiree Health Care Fund",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","to amortize the unfunded liability.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","7. Consists of forgiveness of debts owed by foreign governments to the U.S. government, and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","the December 1999 transfer to the Republic of Panama of the U.S. government's assets in the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Panama Canal Commission. Includes capital grants paid to the U.S. territories and the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Commonwealths of Puerto Rico and Northern Mariana Islands, and the implied subsidy cost of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","government acquisition of preferred stock and warrants from banks in Puerto Rico through the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Troubled Assset Relief Program.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
