"","Table 2#4#5# Personal Consumption Expenditures by Type of Produc","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Durable goods","DDURRC1","9,828.0","7,661.0","5,910.0","3,957.0","3,761.0","4,563.0","5,493.0","6,749.0","7,394.0","6,123.0","7,167.0","8,288.0","10,269.0","7,630.0","7,470.0","7,742.0","9,099.0","17,113.0","21,833.0","24,454.0","26,623.0","32,445.0","31,740.0","31,242.0","34,616.0","33,711.0","40,745.0","40,169.0","42,030.0","39,530.0","44,887.0","45,626.0","44,206.0","49,464.0","54,228.0","59,557.0","66,391.0","71,745.0","73,981.0","84,827.0","90,482.0"
"22","4","    Motor vehicles and parts","DMOTRC1","3,330.0","2,233.0","1,625.0","975.0","1,089.0","1,420.0","1,938.0","2,403.0","2,505.0","1,684.0","2,242.0","2,830.0","3,497.0","718.0","776.0","771.0","970.0","4,092.0","6,519.0","7,935.0","10,527.0","13,651.0","12,108.0","11,351.0","13,846.0","12,748.0","17,657.0","15,711.0","17,482.0","15,022.0","18,789.0","19,582.0","17,722.0","21,386.0","24,246.0","25,802.0","29,645.0","29,927.0","29,601.0","35,414.0","37,448.0"
"23","5","      New motor vehicles (55)","DNMVRC1","2,638.0","1,672.0","1,158.0","633.0","780.0","1,041.0","1,534.0","1,961.0","2,027.0","1,244.0","1,709.0","2,219.0","2,653.0","127.0","136.0","50.0","37.0","2,239.0","4,322.0","5,354.0","8,001.0","10,656.0","9,009.0","8,281.0","11,410.0","11,134.0","14,221.0","11,983.0","13,005.0","10,088.0","13,623.0","14,467.0","12,450.0","15,559.0","17,887.0","18,998.0","22,216.0","22,046.0","21,081.0","25,990.0","26,842.0"
"24","6","      Net purchases of used motor vehicles (56)","DNPVRC1","44.0","38.0","34.0","28.0","29.0","33.0","36.0","40.0","45.0","42.0","49.0","81.0","171.0","288.0","274.0","272.0","281.0","462.0","812.0","1,266.0","1,310.0","1,450.0","1,592.0","1,437.0","974.0","296.0","1,854.0","1,994.0","2,503.0","2,812.0","2,783.0","2,628.0","2,703.0","3,002.0","3,347.0","3,567.0","3,979.0","4,116.0","4,519.0","4,811.0","5,203.0"
"25","7","      Motor vehicle parts and accessories (58)","DMVPRC1","648.0","523.0","433.0","314.0","280.0","346.0","368.0","402.0","433.0","398.0","484.0","530.0","673.0","303.0","366.0","449.0","652.0","1,391.0","1,385.0","1,315.0","1,216.0","1,545.0","1,507.0","1,633.0","1,462.0","1,318.0","1,582.0","1,734.0","1,974.0","2,122.0","2,383.0","2,487.0","2,569.0","2,825.0","3,012.0","3,237.0","3,450.0","3,765.0","4,001.0","4,613.0","5,403.0"
"26","8","    Furnishings and durable household equipment","DFDHRC1","3,777.0","3,004.0","2,600.0","1,853.0","1,743.0","2,046.0","2,335.0","2,903.0","3,204.0","2,846.0","3,161.0","3,498.0","4,360.0","4,179.0","3,778.0","3,844.0","4,525.0","7,680.0","9,557.0","10,539.0","10,062.0","11,800.0","12,366.0","12,192.0","12,585.0","12,524.0","14,010.0","14,814.0","14,777.0","14,562.0","15,517.0","15,424.0","15,572.0","16,423.0","17,510.0","19,517.0","20,661.0","22,643.0","23,679.0","26,089.0","27,588.0"
"27","9","      Furniture and furnishings (parts of 31 and 32)","DFFFRC1","2,278.0","1,804.0","1,547.0","1,054.0","933.0","1,081.0","1,274.0","1,662.0","1,783.0","1,601.0","1,842.0","2,029.0","2,489.0","2,564.0","2,666.0","2,781.0","3,093.0","4,361.0","4,855.0","5,402.0","5,275.0","6,078.0","6,523.0","6,516.0","6,736.0","6,680.0","7,630.0","8,086.0","8,105.0","8,081.0","8,663.0","8,662.0","8,763.0","9,390.0","10,193.0","11,520.0","12,263.0","13,265.0","13,809.0","15,085.0","15,745.0"
"28","10","      Household appliances (part of 33)","DAPPRC1","699.0","611.0","514.0","313.0","371.0","471.0","559.0","667.0","769.0","647.0","704.0","802.0","1,054.0","736.0","265.0","156.0","329.0","1,632.0","2,867.0","3,134.0","2,833.0","3,579.0","3,526.0","3,482.0","3,645.0","3,698.0","4,084.0","4,336.0","4,320.0","4,149.0","4,420.0","4,291.0","4,284.0","4,323.0","4,511.0","4,873.0","4,900.0","5,344.0","5,537.0","6,225.0","6,808.0"
"29","11","      Glassware, tableware, and household utensils (34)","DUTERC1","640.0","452.0","437.0","412.0","369.0","410.0","413.0","464.0","524.0","481.0","485.0","521.0","635.0","672.0","627.0","659.0","818.0","1,279.0","1,363.0","1,468.0","1,419.0","1,531.0","1,631.0","1,592.0","1,647.0","1,657.0","1,765.0","1,825.0","1,763.0","1,734.0","1,780.0","1,780.0","1,800.0","1,906.0","1,951.0","2,182.0","2,434.0","2,808.0","3,022.0","3,337.0","3,505.0"
"30","12","      Tools and equipment for house and garden (35)","DTOORC1","160.0","137.0","102.0","74.0","70.0","84.0","89.0","110.0","128.0","117.0","130.0","146.0","182.0","207.0","220.0","248.0","285.0","408.0","472.0","535.0","535.0","612.0","686.0","602.0","557.0","489.0","531.0","567.0","589.0","598.0","654.0","691.0","725.0","804.0","855.0","942.0","1,064.0","1,226.0","1,311.0","1,442.0","1,530.0"
"31","13","    Recreational goods and vehicles","DREQRC1","1,549.0","1,362.0","887.0","537.0","443.0","517.0","574.0","721.0","842.0","773.0","882.0","993.0","1,202.0","1,229.0","1,019.0","1,049.0","1,233.0","2,540.0","2,971.0","3,106.0","3,242.0","4,113.0","4,108.0","4,317.0","4,692.0","4,886.0","5,338.0","5,689.0","5,756.0","5,883.0","6,369.0","6,365.0","6,581.0","6,943.0","7,565.0","8,772.0","10,086.0","12,278.0","13,578.0","15,333.0","16,732.0"
"32","14","      Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)","DVAPRC1","1,002.0","906.0","487.0","278.0","206.0","243.0","266.0","353.0","409.0","366.0","445.0","520.0","643.0","658.0","437.0","360.0","412.0","1,222.0","1,525.0","1,567.0","1,747.0","2,454.0","2,304.0","2,429.0","2,677.0","2,828.0","3,007.0","3,114.0","3,037.0","3,038.0","3,272.0","3,237.0","3,359.0","3,541.0","3,916.0","4,556.0","5,372.0","6,547.0","7,331.0","7,941.0","8,323.0"
"33","15","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRC1","146.0","118.0","110.0","81.0","69.0","82.0","92.0","111.0","131.0","130.0","140.0","154.0","188.0","192.0","177.0","209.0","256.0","461.0","536.0","571.0","538.0","592.0","653.0","698.0","736.0","757.0","873.0","973.0","1,048.0","1,108.0","1,219.0","1,284.0","1,376.0","1,392.0","1,391.0","1,525.0","1,723.0","2,169.0","2,413.0","2,715.0","2,868.0"
"34","16","      Sports and recreational vehicles (79)","DWHLRC1","97.0","75.0","67.0","45.0","40.0","52.0","61.0","77.0","92.0","88.0","98.0","108.0","136.0","115.0","102.0","122.0","151.0","337.0","412.0","426.0","367.0","389.0","409.0","430.0","469.0","499.0","599.0","675.0","728.0","766.0","842.0","766.0","697.0","783.0","907.0","1,150.0","1,371.0","1,721.0","1,945.0","2,631.0","3,258.0"
"35","17","      Recreational books (part of 90)","DRBKRC1","231.0","197.0","189.0","114.0","114.0","123.0","137.0","156.0","182.0","165.0","169.0","175.0","191.0","218.0","274.0","336.0","389.0","440.0","397.0","437.0","469.0","504.0","580.0","590.0","622.0","604.0","650.0","713.0","737.0","766.0","816.0","853.0","907.0","963.0","1,056.0","1,207.0","1,235.0","1,380.0","1,387.0","1,507.0","1,726.0"
"36","18","      Musical instruments (part of 80)","DMSCRC1","73.0","66.0","34.0","19.0","14.0","17.0","18.0","24.0","28.0","24.0","30.0","36.0","44.0","46.0","29.0","22.0","25.0","80.0","101.0","105.0","121.0","174.0","162.0","170.0","188.0","198.0","209.0","214.0","206.0","205.0","220.0","225.0","242.0","264.0","295.0","334.0","385.0","461.0","502.0","539.0","557.0"
"37","19","    Other durable goods","DODGRC1","1,172.0","1,062.0","798.0","592.0","486.0","580.0","646.0","722.0","843.0","820.0","882.0","967.0","1,210.0","1,504.0","1,897.0","2,078.0","2,371.0","2,801.0","2,786.0","2,874.0","2,792.0","2,881.0","3,158.0","3,382.0","3,493.0","3,553.0","3,740.0","3,955.0","4,015.0","4,063.0","4,212.0","4,255.0","4,331.0","4,712.0","4,907.0","5,466.0","5,999.0","6,897.0","7,123.0","7,991.0","8,714.0"
"38","20","      Jewelry and watches (part of 119)","DJRYRC1","560.0","513.0","328.0","252.0","172.0","198.0","233.0","265.0","333.0","323.0","355.0","409.0","550.0","722.0","935.0","1,004.0","1,182.0","1,427.0","1,395.0","1,374.0","1,298.0","1,318.0","1,418.0","1,537.0","1,581.0","1,661.0","1,774.0","1,844.0","1,848.0","1,881.0","1,951.0","1,933.0","1,903.0","2,044.0","2,159.0","2,424.0","2,699.0","3,200.0","3,463.0","3,827.0","4,016.0"
"39","21","      Therapeutic appliances and equipment (42)","DTAERC1","165.0","165.0","146.0","118.0","115.0","149.0","157.0","168.0","195.0","188.0","204.0","220.0","265.0","302.0","358.0","388.0","408.0","463.0","470.0","510.0","537.0","577.0","649.0","688.0","717.0","711.0","718.0","796.0","832.0","834.0","838.0","860.0","888.0","1,057.0","1,047.0","1,157.0","1,263.0","1,409.0","1,270.0","1,466.0","1,666.0"
"40","22","      Educational books (96)","DEBKRC1","78.0","67.0","64.0","39.0","38.0","42.0","46.0","52.0","61.0","56.0","57.0","59.0","64.0","73.0","92.0","114.0","131.0","149.0","134.0","147.0","158.0","170.0","196.0","199.0","210.0","204.0","219.0","241.0","249.0","259.0","275.0","288.0","306.0","325.0","357.0","407.0","417.0","466.0","468.0","509.0","583.0"
"41","23","      Luggage and similar personal items (part of 119)","DLUGRC1","366.0","315.0","258.0","182.0","160.0","190.0","209.0","235.0","252.0","251.0","264.0","277.0","328.0","404.0","509.0","568.0","646.0","757.0","782.0","837.0","792.0","808.0","886.0","950.0","977.0","970.0","1,021.0","1,066.0","1,077.0","1,080.0","1,139.0","1,164.0","1,224.0","1,275.0","1,332.0","1,465.0","1,605.0","1,806.0","1,905.0","2,170.0","2,429.0"
"42","24","      Telephone and facsimile equipment (67)","DTCERC1","3.0","2.0","2.0","1.0","1.0","1.0","1.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","4.0","4.0","5.0","5.0","6.0","7.0","8.0","9.0","8.0","8.0","7.0","8.0","8.0","9.0","9.0","9.0","10.0","10.0","11.0","12.0","13.0","15.0","16.0","17.0","19.0","20.0"
"43","25","  Nondurable goods","DNDGRC1","33,941.0","30,504.0","25,798.0","20,168.0","19,995.0","23,920.0","26,135.0","29,220.0","30,980.0","29,882.0","30,754.0","32,344.0","37,179.0","43,395.0","48,861.0","52,790.0","58,525.0","69,130.0","77,595.0","82,967.0","81,458.0","84,385.0","93,010.0","97,542.0","100,217.0","102,053.0","106,653.0","111,984.0","117,575.0","122,038.0","127,720.0","131,389.0","134,603.0","139,505.0","143,926.0","152,697.0","163,285.0","177,875.0","185,010.0","199,788.0","214,195.0"
"44","26","    Food and beverages purchased for off-premises consumption","DFXARC1","16,252.0","14,830.0","11,911.0","9,034.0","9,488.0","11,706.0","13,280.0","15,123.0","16,018.0","15,119.0","15,163.0","15,892.0","18,159.0","21,616.0","24,251.0","25,977.0","28,216.0","34,896.0","40,192.0","41,838.0","40,354.0","41,410.0","46,016.0","48,419.0","49,285.0","50,573.0","52,047.0","54,166.0","57,135.0","59,768.0","61,597.0","62,556.0","63,747.0","64,656.0","65,870.0","69,491.0","74,442.0","80,610.0","82,559.0","88,831.0","95,371.0"
"45","27","      Food and nonalcoholic beverages purchased for off-premises consumption (4)","DTFDRC1","14,653.0","13,387.0","10,742.0","8,134.0","8,377.0","9,218.0","10,111.0","11,360.0","12,103.0","11,607.0","11,632.0","12,230.0","13,874.0","16,373.0","18,123.0","19,221.0","20,891.0","26,780.0","31,704.0","34,131.0","33,288.0","34,363.0","38,702.0","40,819.0","41,796.0","43,335.0","44,799.0","46,813.0","49,836.0","52,400.0","53,952.0","54,929.0","56,069.0","56,661.0","57,664.0","61,034.0","65,684.0","71,300.0","72,970.0","78,247.0","83,626.0"
"46","28","      Alcoholic beverages purchased for off-premises consumption (5)","DAOPRC1",".....",".....",".....",".....","178.0","1,461.0","1,953.0","2,472.0","2,587.0","2,376.0","2,432.0","2,557.0","2,962.0","3,596.0","3,994.0","4,701.0","5,091.0","5,655.0","5,928.0","5,168.0","5,007.0","5,142.0","5,146.0","5,502.0","5,602.0","5,560.0","5,685.0","5,872.0","5,908.0","5,958.0","6,356.0","6,493.0","6,569.0","7,002.0","7,285.0","7,622.0","7,947.0","8,486.0","8,853.0","9,865.0","11,014.0"
"47","29","      Food produced and consumed on farms (6)","DFFDRC1","1,599.0","1,443.0","1,169.0","900.0","933.0","1,027.0","1,216.0","1,291.0","1,328.0","1,136.0","1,099.0","1,105.0","1,323.0","1,647.0","2,134.0","2,055.0","2,234.0","2,461.0","2,560.0","2,539.0","2,059.0","1,905.0","2,168.0","2,098.0","1,887.0","1,678.0","1,563.0","1,481.0","1,391.0","1,410.0","1,289.0","1,134.0","1,109.0","993.0","921.0","835.0","811.0","824.0","736.0","719.0","731.0"
"48","30","    Clothing and footwear","DCLORC1","9,029.0","7,754.0","6,691.0","4,887.0","4,483.0","5,489.0","5,828.0","6,344.0","6,607.0","6,535.0","6,893.0","7,197.0","8,497.0","10,615.0","12,914.0","14,115.0","15,856.0","17,510.0","18,037.0","19,334.0","18,613.0","18,930.0","20,478.0","21,182.0","21,320.0","21,393.0","22,375.0","23,397.0","23,579.0","23,919.0","25,367.0","25,939.0","26,571.0","27,859.0","28,618.0","31,085.0","32,659.0","35,812.0","37,547.0","41,260.0","44,331.0"
"49","31","      Garments","DGARRC1","7,084.0","6,141.0","5,279.0","3,719.0","3,459.0","4,254.0","4,617.0","5,007.0","5,132.0","5,079.0","5,451.0","5,691.0","6,591.0","7,870.0","9,632.0","10,689.0","12,027.0","13,833.0","14,308.0","15,449.0","14,717.0","14,759.0","16,116.0","16,993.0","17,190.0","17,320.0","17,997.0","18,815.0","18,945.0","19,010.0","20,177.0","20,611.0","21,169.0","22,206.0","22,919.0","25,040.0","26,358.0","28,789.0","30,193.0","33,119.0","35,477.0"
"50","32","        Women's and girls' clothing (10)","DWGCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12,454.0","12,725.0","13,087.0","13,817.0","14,303.0","15,617.0","16,299.0","17,697.0","18,299.0","20,069.0","21,299.0"
"51","33","        Men's and boys' clothing (11)","DMBCRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7,435.0","7,582.0","7,764.0","8,055.0","8,239.0","9,044.0","9,604.0","10,597.0","11,351.0","12,437.0","13,390.0"
"52","34","        Children's and infants' clothing (12)","DCICRC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","288.0","304.0","318.0","334.0","377.0","379.0","455.0","495.0","543.0","613.0","788.0"
"53","35","      Other clothing materials and footwear (13 and 17)","DOCCRC1","1,945.0","1,613.0","1,412.0","1,168.0","1,024.0","1,235.0","1,211.0","1,337.0","1,475.0","1,456.0","1,442.0","1,506.0","1,906.0","2,745.0","3,282.0","3,426.0","3,829.0","3,677.0","3,729.0","3,885.0","3,896.0","4,171.0","4,362.0","4,189.0","4,130.0","4,073.0","4,378.0","4,582.0","4,634.0","4,909.0","5,190.0","5,328.0","5,402.0","5,653.0","5,699.0","6,045.0","6,301.0","7,023.0","7,354.0","8,141.0","8,854.0"
"54","36","    Gasoline and other energy goods","DGOERC1","3,407.0","3,276.0","2,846.0","2,603.0","2,607.0","2,891.0","3,012.0","3,343.0","3,547.0","3,444.0","3,566.0","3,807.0","4,307.0","3,923.0","3,315.0","3,408.0","3,977.0","5,826.0","6,937.0","8,202.0","8,343.0","8,864.0","9,595.0","10,184.0","10,843.0","11,328.0","12,359.0","13,290.0","14,245.0","14,718.0","15,290.0","15,809.0","15,723.0","16,316.0","16,922.0","17,659.0","19,132.0","20,656.0","21,876.0","23,217.0","24,968.0"
"55","37","      Motor vehicle fuels, lubricants, and fluids (59)","DMFLRC1","1,814.0","1,749.0","1,540.0","1,476.0","1,466.0","1,640.0","1,743.0","1,945.0","2,143.0","2,145.0","2,181.0","2,273.0","2,649.0","2,090.0","1,339.0","1,384.0","1,809.0","3,366.0","4,015.0","4,789.0","5,317.0","5,522.0","6,126.0","6,765.0","7,441.0","7,844.0","8,617.0","9,414.0","10,200.0","10,580.0","11,281.0","12,004.0","12,009.0","12,597.0","12,952.0","13,572.0","14,751.0","16,032.0","17,100.0","18,560.0","20,460.0"
"56","38","      Fuel oil and other fuels (29)","DFULRC1","1,593.0","1,527.0","1,306.0","1,127.0","1,141.0","1,251.0","1,269.0","1,398.0","1,404.0","1,299.0","1,385.0","1,534.0","1,658.0","1,833.0","1,976.0","2,024.0","2,168.0","2,460.0","2,922.0","3,413.0","3,026.0","3,342.0","3,469.0","3,419.0","3,402.0","3,484.0","3,742.0","3,876.0","4,045.0","4,138.0","4,009.0","3,805.0","3,714.0","3,719.0","3,970.0","4,087.0","4,381.0","4,624.0","4,776.0","4,657.0","4,508.0"
"57","39","    Other nondurable goods","DONGRC1","5,253.0","4,644.0","4,350.0","3,644.0","3,417.0","3,834.0","4,015.0","4,410.0","4,808.0","4,784.0","5,132.0","5,448.0","6,216.0","7,241.0","8,381.0","9,290.0","10,476.0","10,898.0","12,429.0","13,593.0","14,148.0","15,181.0","16,921.0","17,757.0","18,769.0","18,759.0","19,872.0","21,131.0","22,616.0","23,633.0","25,466.0","27,085.0","28,562.0","30,674.0","32,516.0","34,462.0","37,052.0","40,797.0","43,028.0","46,480.0","49,525.0"
"58","40","      Pharmaceutical and other medical products (40 and 41)","DPHMRC1","540.0","508.0","462.0","401.0","382.0","418.0","424.0","455.0","499.0","517.0","547.0","567.0","648.0","758.0","906.0","958.0","1,017.0","1,136.0","1,173.0","1,310.0","1,390.0","1,536.0","1,769.0","1,851.0","1,924.0","1,950.0","2,131.0","2,401.0","2,690.0","2,886.0","3,167.0","3,472.0","3,819.0","4,127.0","4,381.0","4,495.0","4,677.0","4,879.0","5,210.0","5,744.0","6,294.0"
"59","41","      Recreational items (parts of 80, 92, and 93)","DREIRC1","628.0","543.0","450.0","334.0","316.0","366.0","402.0","465.0","523.0","506.0","536.0","569.0","657.0","726.0","768.0","885.0","1,025.0","1,343.0","1,468.0","1,620.0","1,696.0","1,887.0","2,180.0","2,279.0","2,312.0","2,280.0","2,446.0","2,596.0","2,740.0","2,778.0","3,081.0","3,362.0","3,575.0","3,925.0","4,324.0","4,829.0","5,321.0","5,987.0","6,328.0","7,047.0","7,616.0"
"60","42","      Household supplies (parts of 32 and 36)","DHOURC1","1,009.0","886.0","780.0","600.0","617.0","713.0","751.0","880.0","954.0","898.0","1,005.0","1,091.0","1,275.0","1,523.0","1,730.0","1,862.0","1,858.0","2,423.0","3,079.0","3,358.0","3,327.0","3,705.0","4,045.0","3,823.0","3,987.0","4,025.0","4,349.0","4,579.0","4,851.0","4,960.0","5,416.0","5,759.0","6,289.0","6,872.0","7,263.0","7,930.0","8,564.0","9,458.0","9,953.0","10,644.0","11,024.0"
"61","43","      Personal care products (part of 118)","DOPCRC1","628.0","549.0","535.0","447.0","345.0","405.0","402.0","425.0","461.0","476.0","523.0","545.0","651.0","779.0","934.0","1,056.0","1,155.0","1,158.0","1,296.0","1,346.0","1,351.0","1,459.0","1,609.0","1,713.0","1,831.0","1,886.0","2,087.0","2,348.0","2,586.0","2,819.0","2,898.0","3,199.0","3,514.0","3,862.0","4,129.0","4,445.0","4,818.0","5,321.0","5,764.0","6,277.0","6,717.0"
"62","44","      Tobacco (127)","DTOBRC1","1,695.0","1,450.0","1,489.0","1,322.0","1,233.0","1,367.0","1,434.0","1,535.0","1,673.0","1,697.0","1,767.0","1,870.0","2,080.0","2,337.0","2,615.0","2,636.0","2,871.0","3,353.0","3,744.0","4,009.0","4,109.0","4,251.0","4,537.0","4,914.0","5,101.0","4,946.0","5,055.0","5,310.0","5,695.0","5,990.0","6,554.0","6,871.0","7,141.0","7,221.0","7,500.0","7,564.0","8,092.0","8,529.0","8,928.0","9,423.0","9,794.0"
