"","Table 6#1B# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25"
"19","1","    National income without capital consumption adjustment","J422RC1","246,697.0","241,306.0","267,492.0","307,848.0","324,853.0","341,289.0","340,426.0","372,164.0","395,625.0","414,316.0","417,113.0","454,410.0","473,394.0","489,497.0","524,593.0","554,451.0","595,361.0","645,749.0","703,615.0","743,803.0","814,696.0","881,634.0"
"20","2","Domestic industries","J423RC1","245,239.0","240,025.0","266,051.0","305,956.0","322,871.0","339,389.0","338,331.0","369,714.0","392,831.0","411,265.0","414,482.0","451,645.0","470,283.0","485,978.0","520,498.0","549,972.0","590,441.0","640,467.0","698,541.0","738,407.0","808,612.0","875,519.0"
"21","3","  Private industries","J736RC1","224,969.0","217,484.0","242,503.0","275,763.0","288,076.0","303,460.0","301,454.0","330,760.0","351,535.0","367,098.0","366,873.0","400,919.0","415,960.0","427,990.0","458,204.0","482,884.0","517,786.0","562,441.0","611,097.0","641,521.0","700,005.0","756,449.0"
"22","4","    Agriculture, forestry, and fishing","J424RC1","21,742.0","17,018.0","18,000.0","20,829.0","19,912.0","17,712.0","17,210.0","16,211.0","16,027.0","15,874.0","18,004.0","16,230.0","17,139.0","17,361.0","17,624.0","17,586.0","16,524.0","19,082.0","19,904.0","19,064.0","19,623.0","21,471.0"
"23","5","    Mining","J734RC1","5,882.0","5,053.0","5,860.0","6,407.0","6,248.0","6,276.0","6,117.0","6,820.0","7,606.0","7,612.0","6,861.0","6,587.0","6,828.0","6,911.0","6,813.0","7,223.0","7,496.0","7,640.0","7,940.0","8,141.0","8,949.0","9,240.0"
"24","6","    Construction","J735RC1","11,079.0","10,983.0","12,529.0","14,865.0","16,075.0","16,595.0","16,690.0","17,873.0","19,924.0","20,797.0","20,350.0","22,113.0","22,626.0","23,626.0","25,374.0","27,112.0","29,708.0","32,566.0","35,537.0","37,172.0","40,679.0","45,566.0"
"25","7","    Manufacturing","J426RC1","74,630.0","70,938.0","83,208.0","97,596.0","100,826.0","109,247.0","103,104.0","117,343.0","122,991.0","126,673.0","118,178.0","133,843.0","135,115.0","135,097.0","147,163.0","155,531.0","166,802.0","184,276.0","202,703.0","206,729.0","225,271.0","236,826.0"
"26","8","      Durable goods","J428RC1","37,165.0","35,687.0","44,689.0","53,843.0","56,505.0","62,829.0","57,399.0","66,993.0","69,840.0","73,206.0","64,966.0","76,325.0","76,737.0","75,597.0","84,918.0","90,697.0","97,799.0","109,891.0","121,597.0","123,236.0","134,361.0","141,296.0"
"27","9","      Nondurable goods","J427RC1","37,466.0","35,252.0","38,519.0","43,754.0","44,320.0","46,417.0","45,706.0","50,349.0","53,150.0","53,467.0","53,212.0","57,518.0","58,378.0","59,499.0","62,246.0","64,835.0","69,003.0","74,384.0","81,106.0","83,493.0","90,910.0","95,530.0"
"28","10","    Transportation and public utilities","J737RC1","21,300.0","21,419.0","23,946.0","27,002.0","28,734.0","30,406.0","29,757.0","32,126.0","34,531.0","36,241.0","36,262.0","39,124.0","41,147.0","42,423.0","44,700.0","47,034.0","50,059.0","53,362.0","57,446.0","59,894.0","64,674.0","70,022.0"
"29","11","      Transportation","J429RC1","13,815.0","13,098.0","14,760.0","16,480.0","17,155.0","17,657.0","16,412.0","17,833.0","19,008.0","19,576.0","18,518.0","19,434.0","19,805.0","19,963.0","20,891.0","21,767.0","23,058.0","24,928.0","26,909.0","27,368.0","29,467.0","31,474.0"
"30","12","      Communication","J430RC1","3,788.0","4,079.0","4,552.0","5,207.0","5,758.0","6,420.0","6,449.0","7,026.0","7,702.0","8,326.0","8,829.0","9,802.0","10,487.0","11,030.0","11,820.0","12,620.0","13,506.0","14,458.0","15,640.0","16,930.0","18,287.0","20,466.0"
"31","13","      Electric, gas, and sanitary services","J431RC1","3,697.0","4,241.0","4,634.0","5,315.0","5,822.0","6,328.0","6,897.0","7,268.0","7,819.0","8,338.0","8,915.0","9,887.0","10,857.0","11,431.0","11,990.0","12,648.0","13,496.0","13,978.0","14,897.0","15,596.0","16,919.0","18,082.0"
"32","14","    Wholesale trade","J433RC1","17,081.0","16,589.0","18,215.0","20,780.0","21,307.0","21,882.0","22,151.0","24,769.0","27,019.0","28,404.0","29,184.0","33,660.0","35,401.0","36,522.0","38,881.0","40,658.0","43,539.0","46,818.0","50,853.0","53,775.0","59,098.0","64,200.0"
"33","15","    Retail trade","J434RC1","28,911.0","28,839.0","30,025.0","32,570.0","34,327.0","35,193.0","36,009.0","38,381.0","40,037.0","42,035.0","42,746.0","46,568.0","47,679.0","48,945.0","52,393.0","54,844.0","60,193.0","64,489.0","69,035.0","74,433.0","82,526.0","89,649.0"
"34","16","    Finance, insurance, and real estate","J435RC1","23,190.0","25,020.0","27,569.0","30,499.0","33,700.0","37,158.0","40,408.0","43,691.0","46,765.0","49,968.0","53,596.0","57,100.0","61,323.0","65,110.0","69,274.0","73,131.0","78,222.0","83,647.0","89,445.0","96,310.0","104,911.0","114,658.0"
"35","17","    Services","J437RC1","21,154.0","21,625.0","23,151.0","25,215.0","26,947.0","28,991.0","30,008.0","33,546.0","36,635.0","39,494.0","41,692.0","45,694.0","48,702.0","51,995.0","55,982.0","59,765.0","65,243.0","70,561.0","78,234.0","86,003.0","94,274.0","104,817.0"
"36","18","  Government","B436RC1","20,270.0","22,541.0","23,548.0","30,193.0","34,795.0","35,929.0","36,877.0","38,954.0","41,296.0","44,167.0","47,609.0","50,726.0","54,323.0","57,988.0","62,294.0","67,088.0","72,655.0","78,026.0","87,444.0","96,886.0","108,607.0","119,070.0"
"37","19","Rest of the world","A192RC1","1,456.0","1,280.0","1,440.0","1,892.0","1,985.0","1,899.0","2,095.0","2,449.0","2,796.0","3,055.0","2,628.0","2,761.0","3,113.0","3,519.0","4,093.0","4,477.0","4,920.0","5,279.0","5,070.0","5,393.0","6,085.0","6,115.0"
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Note. Estimates in this table are based on the 1972 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
