"","Table 5#5#5# Private Fixed Investment in Equipment and Software ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"55",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","37","  Private fixed investment in equipment and software","A327RC1","5,570.0","4,247.0","2,700.0","1,495.0","1,476.0","2,149.0","2,893.0","3,953.0","4,853.0","3,471.0","3,960.0","5,254.0","6,556.0","4,147.0","3,706.0","5,026.0","7,329.0","10,122.0","15,617.0","17,610.0","16,031.0","18,174.0","20,245.0","20,062.0","21,917.0","21,203.0","24,320.0","26,801.0","29,016.0","25,353.0","28,929.0","30,335.0","29,592.0","32,817.0","35,392.0","39,853.0","47,143.0","54,726.0","55,576.0","60,716.0","67,963.0"
"57","38","  Less: Dealers' margin on used equipment","B549RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","129.0","194.0","222.0","188.0","238.0","268.0","227.0","189.0","146.0","288.0","319.0","312.0","283.0","286.0","268.0","260.0","285.0","310.0","341.0","393.0","445.0","420.0","483.0","549.0"
"58","39","        Net purchases of used equipment from government","B550RC1","33.0","17.0","15.0","15.0","11.0","9.0","9.0","10.0","11.0","12.0","19.0","26.0","17.0","9.0","7.0","27.0","119.0","582.0","638.0","283.0","68.0","73.0","169.0","43.0","-30.0","15.0","77.0","181.0","131.0","85.0","80.0","83.0","72.0","73.0","74.0","80.0","93.0","107.0","95.0","96.0","100.0"
"59","40","  Plus: Net sales of used equipment","B554RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","0.0","134.0","324.0","541.0","658.0","857.0","913.0","937.0","814.0","860.0","902.0","1,001.0","1,078.0","1,140.0","1,100.0","1,222.0","1,402.0","1,521.0","1,555.0","1,745.0","2,008.0","2,301.0","2,462.0","2,696.0"
"60","41","        Net exports of used equipment","B555RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","82.0","88.0","72.0","42.0","32.0","42.0","25.0","25.0","36.0","61.0","62.0","73.0","57.0","34.0","46.0","43.0","45.0","42.0","49.0","57.0","64.0","126.0","128.0","229.0"
"61","42","        Sale of equipment scrap","B556RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","33.0","87.0","42.0","46.0","85.0","104.0","80.0","105.0","46.0","130.0","164.0","124.0","71.0","128.0","147.0","214.0","191.0","249.0","359.0","469.0","509.0","377.0","370.0","542.0"
"62","43","  Equals: Private fixed investment in new equipment and software","A763RC1","5,537.0","4,230.0","2,685.0","1,480.0","1,465.0","2,140.0","2,884.0","3,943.0","4,842.0","3,459.0","3,941.0","5,228.0","6,539.0","4,138.0","3,699.0","4,999.0","7,210.0","9,526.0","15,094.0","17,543.0","16,404.0","18,638.0","20,811.0","20,810.0","22,825.0","21,938.0","25,006.0","27,429.0","29,771.0","26,191.0","29,865.0","31,277.0","30,739.0","34,097.0","36,820.0","41,395.0","48,928.0","56,755.0","57,865.0","63,097.0","70,781.0"
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","1. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","2. For 1929-45, includes electrical transmission, distribution, and industrial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","apparatus (line 18) and electrical equipment, n.e.c. (line 33).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","3. Includes net purchases of used vehicles; additional detail is available in table 7.2.5B.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","n.e.c. Not elsewhere classified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
