"","Table 1#14# Gross Value Added of Domestic Corporate Business in ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"28","9","    Net interest and miscellaneous payments","A453RC1","535.0","375.0","215.0","127.0","78.0","34.0","-6.0","-14.0","-14.0","-26.0","-62.0","-66.0","-81.0","-109.0","-145.0","-153.0","-166.0","-210.0","-262.0","-258.0","-254.0","-266.0","-262.0","-214.0","-126.0","-58.0","-10.0","70.0","137.0","169.0","173.0","205.0","192.0","172.0","136.0","120.0","80.0","44.0","0.0","24.0","69.0","129.0","189.0","305.0","538.0","618.0","586.0","486.0","54.0","-162.0","-330.0","-406.0","-320.0","-256.0","-196.0","-76.0","184.0","344.0","472.0","624.0","729.0","773.0","749.0","697.0","456.0","364.0","304.0","340.0","602.0","734.0","854.0","986.0","1,027.0","1,135.0","1,267.0","1,455.0","1,787.0","2,083.0","2,443.0","2,903.0","3,636.0","4,024.0","4,196.0","4,248.0","3,801.0","3,761.0","3,837.0","4,253.0","5,919.0"
"29","10","    Business current transfer payments (net)","W323RC1","564.0","592.0","596.0","616.0","616.0","596.0","584.0","596.0","564.0","568.0","576.0","640.0","620.0","668.0","752.0","852.0","980.0","1,052.0","1,080.0","1,124.0","1,112.0","1,096.0","1,056.0","1,068.0","1,080.0","1,072.0","1,012.0","948.0","824.0","744.0","724.0","800.0","956.0","1,100.0","1,224.0","1,336.0","1,424.0","1,468.0","1,500.0","1,576.0","1,636.0","1,668.0","1,648.0","1,648.0","1,604.0","1,552.0","1,472.0","1,412.0","1,400.0","1,460.0","1,472.0","1,524.0","1,590.0","1,588.0","1,600.0","1,633.0","1,706.0","1,729.0","1,773.0","1,819.0","1,868.0","1,918.0","1,981.0","2,057.0","2,293.0","2,391.0","2,427.0","2,508.0","2,600.0","2,669.0","3,030.0","3,144.0","3,323.0","3,327.0","3,269.0","3,159.0","3,058.0","2,942.0","2,910.0","2,963.0","3,062.0","3,186.0","3,327.0","3,431.0","3,563.0","3,762.0","3,922.0","4,081.0","4,336.0"
"30","11","    Corporate profits with IVA and CCAdj","A445RC1","19,810.0","22,983.0","22,860.0","24,351.0","28,204.0","29,891.0","29,380.0","30,981.0","29,503.0","27,164.0","28,429.0","25,244.0","28,639.0","32,342.0","36,654.0","39,829.0","38,708.0","38,494.0","38,936.0","40,090.0","37,617.0","35,544.0","35,187.0","39,456.0","40,097.0","39,310.0","38,427.0","31,442.0","33,610.0","34,947.0","36,793.0","40,138.0","45,258.0","46,485.0","46,947.0","47,890.0","45,630.0","45,400.0","44,473.0","45,153.0","46,658.0","45,255.0","44,815.0","41,460.0","35,846.0","36,610.0","40,752.0","46,532.0","50,083.0","55,067.0","49,555.0","49,727.0","53,965.0","49,984.0","49,182.0","46,705.0","45,511.0","49,994.0","52,077.0","55,902.0","58,305.0","57,334.0","58,524.0","60,129.0","60,564.0","64,173.0","65,482.0","66,797.0","70,676.0","70,738.0","71,807.0","70,999.0","78,524.0","80,478.0","82,041.0","86,249.0","89,564.0","88,319.0","86,541.0","87,648.0","84,932.0","83,998.0","84,681.0","87,989.0","88,703.0","92,217.0","92,214.0","93,326.0","93,118.0"
"31","12","      Taxes on corporate income","A054RC1","11,560.0","10,936.0","10,796.0","11,780.0","12,144.0","12,796.0","12,580.0","12,164.0","11,044.0","9,716.0","10,120.0","9,932.0","13,628.0","16,308.0","19,924.0","21,840.0","26,280.0","22,264.0","20,144.0","21,548.0","19,804.0","18,652.0","18,608.0","20,532.0","21,616.0","21,724.0","21,232.0","16,576.0","16,404.0","16,904.0","17,920.0","19,268.0","21,344.0","21,608.0","22,156.0","23,056.0","22,040.0","22,488.0","21,144.0","22,300.0","22,824.0","21,872.0","21,428.0","19,568.0","16,920.0","17,248.0","19,388.0","22,300.0","23,500.0","25,724.0","23,116.0","22,568.0","25,104.0","23,064.0","22,024.0","20,936.0","20,656.0","22,092.0","23,392.0","25,420.0","23,904.0","23,660.0","24,364.0","24,452.0","24,556.0","26,264.0","27,004.0","27,660.0","27,904.0","27,964.0","28,584.0","28,168.0","29,556.0","30,504.0","31,084.0","33,116.0","34,168.0","34,208.0","33,872.0","33,276.0","32,500.0","32,204.0","32,484.0","34,408.0","38,728.0","39,496.0","39,664.0","40,624.0","41,460.0"
"32","13","      Profits after tax with IVA and CCAdj","W273RC1","8,250.0","12,047.0","12,064.0","12,571.0","16,060.0","17,095.0","16,800.0","18,817.0","18,459.0","17,448.0","18,309.0","15,312.0","15,011.0","16,034.0","16,730.0","17,989.0","12,428.0","16,230.0","18,792.0","18,542.0","17,813.0","16,892.0","16,579.0","18,924.0","18,481.0","17,586.0","17,195.0","14,866.0","17,206.0","18,043.0","18,873.0","20,870.0","23,914.0","24,877.0","24,791.0","24,834.0","23,590.0","22,912.0","23,329.0","22,853.0","23,834.0","23,383.0","23,387.0","21,892.0","18,926.0","19,362.0","21,364.0","24,232.0","26,583.0","29,343.0","26,439.0","27,159.0","28,861.0","26,920.0","27,158.0","25,769.0","24,855.0","27,902.0","28,685.0","30,482.0","34,401.0","33,674.0","34,160.0","35,677.0","36,008.0","37,909.0","38,478.0","39,137.0","42,772.0","42,774.0","43,223.0","42,831.0","48,968.0","49,974.0","50,957.0","53,133.0","55,396.0","54,111.0","52,669.0","54,372.0","52,432.0","51,794.0","52,197.0","53,581.0","49,975.0","52,721.0","52,550.0","52,702.0","51,658.0"
"33","14","        Net dividends","A449RC1","5,368.0","5,624.0","5,852.0","5,684.0","6,240.0","5,824.0","6,264.0","6,472.0","6,356.0","6,344.0","6,256.0","6,668.0","7,388.0","7,552.0","8,016.0","8,460.0","7,360.0","7,488.0","7,404.0","7,380.0","7,008.0","7,636.0","7,480.0","7,720.0","7,304.0","7,960.0","7,948.0","7,792.0","8,112.0","7,544.0","7,924.0","7,860.0","8,480.0","8,700.0","9,192.0","9,224.0","9,328.0","9,380.0","9,316.0","9,844.0","9,844.0","9,752.0","9,892.0","9,936.0","9,932.0","9,932.0","9,860.0","9,604.0","10,300.0","10,744.0","10,868.0","10,920.0","11,284.0","11,292.0","11,668.0","11,396.0","11,192.0","11,420.0","11,460.0","11,952.0","12,208.0","12,420.0","12,624.0","12,172.0","13,008.0","13,552.0","13,744.0","13,944.0","14,208.0","14,880.0","15,188.0","15,688.0","15,664.0","16,316.0","17,284.0","18,232.0","18,508.0","18,008.0","17,736.0","17,060.0","18,244.0","19,008.0","18,588.0","17,480.0","19,708.0","19,668.0","20,536.0","20,756.0","20,244.0"
"34","15","        Undistributed profits with IVA and CCAdj","W274RC1","2,882.0","6,423.0","6,212.0","6,887.0","9,820.0","11,271.0","10,536.0","12,345.0","12,103.0","11,104.0","12,053.0","8,644.0","7,623.0","8,482.0","8,714.0","9,529.0","5,068.0","8,742.0","11,388.0","11,162.0","10,805.0","9,256.0","9,099.0","11,204.0","11,177.0","9,626.0","9,247.0","7,074.0","9,094.0","10,499.0","10,949.0","13,010.0","15,434.0","16,177.0","15,599.0","15,610.0","14,262.0","13,532.0","14,013.0","13,009.0","13,990.0","13,631.0","13,495.0","11,956.0","8,994.0","9,430.0","11,504.0","14,628.0","16,283.0","18,599.0","15,571.0","16,239.0","17,577.0","15,628.0","15,490.0","14,373.0","13,663.0","16,482.0","17,225.0","18,530.0","22,193.0","21,254.0","21,536.0","23,505.0","23,000.0","24,357.0","24,734.0","25,193.0","28,564.0","27,894.0","28,035.0","27,143.0","33,304.0","33,658.0","33,673.0","34,901.0","36,888.0","36,103.0","34,933.0","37,312.0","34,188.0","32,786.0","33,609.0","36,101.0","30,267.0","33,053.0","32,014.0","31,946.0","31,414.0"
"35","16","    Gross value added of financial corporate business \1\","A454RC1","5,548.0","5,316.0","5,124.0","5,348.0","5,648.0","5,948.0","6,200.0","6,484.0","6,680.0","6,756.0","6,768.0","6,928.0","6,980.0","7,148.0","7,388.0","7,704.0","7,868.0","8,000.0","8,212.0","8,792.0","8,712.0","9,028.0","9,388.0","9,764.0","9,856.0","10,104.0","10,396.0","10,544.0","10,564.0","10,704.0","10,784.0","11,076.0","11,380.0","11,628.0","11,880.0","12,120.0","12,352.0","12,760.0","13,060.0","13,452.0","13,540.0","13,612.0","13,956.0","14,232.0","14,552.0","14,576.0","14,564.0","15,036.0","15,328.0","15,480.0","16,184.0","16,556.0","17,176.0","17,490.0","17,566.0","17,754.0","18,285.0","18,373.0","18,398.0","18,587.0","19,069.0","19,303.0","19,409.0","19,247.0","19,448.0","19,461.0","19,646.0","20,047.0","20,903.0","21,335.0","21,816.0","22,277.0","22,254.0","22,690.0","23,212.0","24,491.0","24,884.0","24,831.0","25,288.0","25,541.0","26,751.0","27,738.0","28,593.0","29,376.0","30,020.0","30,919.0","31,876.0","32,485.0","34,747.0"
"36","17","    Gross value added of nonfinancial corporate business \1\","A455RC1","113,831.0","119,121.0","121,994.0","127,522.0","134,445.0","137,400.0","139,848.0","141,943.0","138,531.0","134,418.0","135,128.0","130,899.0","138,187.0","147,647.0","159,390.0","167,164.0","172,269.0","174,815.0","176,386.0","179,362.0","180,508.0","179,043.0","181,138.0","192,783.0","196,952.0","198,946.0","198,190.0","189,640.0","189,643.0","190,258.0","192,185.0","199,350.0","208,800.0","215,493.0","220,463.0","226,176.0","227,770.0","231,102.0","232,780.0","239,148.0","243,801.0","243,988.0","244,978.0","239,645.0","230,659.0","229,802.0","238,491.0","249,552.0","258,654.0","270,494.0","265,726.0","269,062.0","279,146.0","276,842.0","276,302.0","273,175.0","271,985.0","280,208.0","286,711.0","296,028.0","302,908.0","307,476.0","311,941.0","316,715.0","320,049.0","327,822.0","333,077.0","338,633.0","346,871.0","352,776.0","360,144.0","364,509.0","378,944.0","386,264.0","393,884.0","405,819.0","417,645.0","425,934.0","432,205.0","440,149.0","441,499.0","444,656.0","453,338.0","465,107.0","477,716.0","492,600.0","503,603.0","517,289.0","526,920.0"
"37","18","Consumption of fixed capital","B456RC1","7,795.0","8,334.0","8,810.0","9,221.0","9,569.0","9,879.0","10,151.0","10,385.0","10,580.0","10,749.0","10,893.0","11,010.0","11,102.0","11,306.0","11,622.0","12,050.0","12,589.0","13,020.0","13,344.0","13,559.0","13,668.0","13,813.0","13,997.0","14,218.0","14,477.0","14,716.0","14,936.0","15,135.0","15,315.0","15,487.0","15,650.0","15,804.0","15,951.0","16,210.0","16,581.0","17,066.0","17,661.0","18,235.0","18,787.0","19,317.0","19,825.0","20,284.0","20,693.0","21,054.0","21,365.0","21,663.0","21,949.0","22,223.0","22,484.0","22,686.0","22,829.0","22,913.0","22,939.0","22,999.0","23,094.0","23,224.0","23,388.0","23,564.0","23,752.0","23,952.0","24,163.0","24,390.0","24,634.0","24,893.0","25,170.0","25,460.0","25,765.0","26,085.0","26,419.0","26,796.0","27,217.0","27,680.0","28,188.0","28,753.0","29,374.0","30,053.0","30,789.0","31,540.0","32,308.0","33,091.0","33,891.0","34,715.0","35,564.0","36,438.0","37,336.0","38,257.0","39,200.0","40,167.0","41,154.0"
"38","19","Net value added","A457RC1","106,036.0","110,787.0","113,184.0","118,301.0","124,876.0","127,521.0","129,697.0","131,558.0","127,951.0","123,669.0","124,235.0","119,889.0","127,085.0","136,341.0","147,768.0","155,114.0","159,680.0","161,795.0","163,042.0","165,803.0","166,840.0","165,230.0","167,141.0","178,565.0","182,475.0","184,230.0","183,254.0","174,505.0","174,328.0","174,771.0","176,535.0","183,546.0","192,849.0","199,283.0","203,882.0","209,110.0","210,109.0","212,867.0","213,993.0","219,831.0","223,976.0","223,704.0","224,285.0","218,591.0","209,294.0","208,139.0","216,542.0","227,329.0","236,170.0","247,808.0","242,897.0","246,149.0","256,207.0","253,843.0","253,208.0","249,951.0","248,597.0","256,644.0","262,959.0","272,076.0","278,745.0","283,086.0","287,307.0","291,822.0","294,879.0","302,362.0","307,312.0","312,548.0","320,452.0","325,980.0","332,927.0","336,829.0","350,756.0","357,511.0","364,510.0","375,766.0","386,856.0","394,394.0","399,897.0","407,058.0","407,608.0","409,941.0","417,774.0","428,669.0","440,380.0","454,343.0","464,403.0","477,122.0","485,766.0"
"39","20","  Compensation of employees","A460RC1","75,764.0","77,180.0","79,456.0","82,652.0","85,560.0","86,220.0","88,876.0","89,212.0","87,232.0","85,120.0","84,196.0","83,060.0","86,568.0","91,456.0","97,312.0","102,212.0","106,740.0","109,872.0","110,584.0","112,036.0","114,856.0","114,980.0","117,200.0","124,044.0","126,804.0","129,140.0","129,188.0","127,660.0","125,688.0","124,904.0","124,908.0","128,280.0","131,740.0","136,200.0","139,788.0","143,816.0","146,648.0","149,520.0","151,164.0","155,748.0","157,840.0","158,488.0","159,544.0","157,772.0","153,484.0","151,516.0","155,528.0","160,308.0","165,476.0","171,636.0","171,864.0","174,200.0","180,080.0","181,360.0","180,700.0","179,496.0","179,104.0","182,244.0","185,992.0","190,724.0","194,428.0","198,828.0","200,884.0","202,884.0","205,092.0","208,492.0","211,696.0","215,144.0","218,832.0","223,484.0","228,236.0","232,076.0","237,524.0","241,968.0","247,196.0","254,912.0","262,200.0","270,092.0","276,940.0","282,172.0","284,812.0","287,244.0","293,048.0","299,152.0","308,772.0","317,444.0","325,816.0","335,432.0","342,952.0"
"40","21","    Wage and salary accruals","B461RC1","71,932.0","73,268.0","75,392.0","78,444.0","81,568.0","82,232.0","84,828.0","85,136.0","83,148.0","80,924.0","79,944.0","78,740.0","81,632.0","86,224.0","91,696.0","96,240.0","100,260.0","103,148.0","103,784.0","105,020.0","107,788.0","107,868.0","109,956.0","116,576.0","119,144.0","121,328.0","121,248.0","119,692.0","117,548.0","116,816.0","116,696.0","119,860.0","122,832.0","126,952.0","130,240.0","134,020.0","136,372.0","138,984.0","140,356.0","144,628.0","146,200.0","146,632.0","147,480.0","145,636.0","141,732.0","139,828.0","143,620.0","148,024.0","152,688.0","157,816.0","157,664.0","159,572.0","164,812.0","165,924.0","165,292.0","164,184.0","163,780.0","166,584.0","169,892.0","174,044.0","177,076.0","180,856.0","182,528.0","184,180.0","186,120.0","189,124.0","191,964.0","195,056.0","198,372.0","202,580.0","206,884.0","210,348.0","215,324.0","219,228.0","223,724.0","230,356.0","236,152.0","242,840.0","248,700.0","253,268.0","256,060.0","258,264.0","263,416.0","268,732.0","276,848.0","284,296.0","291,496.0","299,852.0","306,512.0"
"41","22","    Supplements to wages and salaries","B462RC1","3,832.0","3,912.0","4,064.0","4,208.0","3,992.0","3,988.0","4,048.0","4,076.0","4,084.0","4,196.0","4,252.0","4,320.0","4,936.0","5,232.0","5,616.0","5,972.0","6,480.0","6,724.0","6,800.0","7,016.0","7,068.0","7,112.0","7,244.0","7,468.0","7,660.0","7,812.0","7,940.0","7,968.0","8,140.0","8,088.0","8,212.0","8,420.0","8,908.0","9,248.0","9,548.0","9,796.0","10,276.0","10,536.0","10,808.0","11,120.0","11,640.0","11,856.0","12,064.0","12,136.0","11,752.0","11,688.0","11,908.0","12,284.0","12,788.0","13,820.0","14,200.0","14,628.0","15,268.0","15,436.0","15,408.0","15,312.0","15,324.0","15,660.0","16,100.0","16,680.0","17,352.0","17,972.0","18,356.0","18,704.0","18,972.0","19,368.0","19,732.0","20,088.0","20,460.0","20,904.0","21,352.0","21,728.0","22,200.0","22,740.0","23,472.0","24,556.0","26,048.0","27,252.0","28,240.0","28,904.0","28,752.0","28,980.0","29,632.0","30,420.0","31,924.0","33,148.0","34,320.0","35,580.0","36,440.0"
"42","23","  Taxes on production and imports less subsidies","W325RC1","10,876.0","10,952.0","11,164.0","11,776.0","11,880.0","12,376.0","12,564.0","12,692.0","12,700.0","12,896.0","13,124.0","13,100.0","13,400.0","14,064.0","15,332.0","14,656.0","15,720.0","14,940.0","15,156.0","15,644.0","16,132.0","16,680.0","16,948.0","17,428.0","17,752.0","17,976.0","18,016.0","17,796.0","17,356.0","17,288.0","17,128.0","17,496.0","18,264.0","19,012.0","19,548.0","19,816.0","20,152.0","20,460.0","20,984.0","21,616.0","21,968.0","22,236.0","22,296.0","21,696.0","22,200.0","22,076.0","22,212.0","22,736.0","23,380.0","23,784.0","24,748.0","25,676.0","25,872.0","26,312.0","26,928.0","27,288.0","27,436.0","27,392.0","27,660.0","27,992.0","28,672.0","29,516.0","30,360.0","30,928.0","31,212.0","31,480.0","31,812.0","32,164.0","32,744.0","33,492.0","34,264.0","35,012.0","35,508.0","35,920.0","36,276.0","36,384.0","36,604.0","36,872.0","37,076.0","37,340.0","37,808.0","38,484.0","39,692.0","41,260.0","43,060.0","44,848.0","46,464.0","47,768.0","48,752.0"
"43","24","  Net operating surplus","W326RC1","19,396.0","22,655.0","22,564.0","23,873.0","27,436.0","28,925.0","28,257.0","29,654.0","28,019.0","25,653.0","26,915.0","23,729.0","27,117.0","30,821.0","35,124.0","38,246.0","37,220.0","36,983.0","37,302.0","38,123.0","35,852.0","33,570.0","32,993.0","37,093.0","37,919.0","37,114.0","36,050.0","29,049.0","31,284.0","32,579.0","34,499.0","37,770.0","42,845.0","44,071.0","44,546.0","45,478.0","43,309.0","42,887.0","41,845.0","42,467.0","44,168.0","42,980.0","42,445.0","39,123.0","33,610.0","34,547.0","38,802.0","44,285.0","47,314.0","52,388.0","46,285.0","46,273.0","50,255.0","46,171.0","45,580.0","43,167.0","42,057.0","47,008.0","49,307.0","53,360.0","55,645.0","54,742.0","56,063.0","58,010.0","58,575.0","62,390.0","63,804.0","65,240.0","68,876.0","69,004.0","70,427.0","69,741.0","77,724.0","79,623.0","81,038.0","84,470.0","88,052.0","87,430.0","85,881.0","87,546.0","84,988.0","84,213.0","85,034.0","88,257.0","88,548.0","92,051.0","92,123.0","93,922.0","94,062.0"
"44","25","    Net interest and miscellaneous payments","B471RC1","767.0","755.0","759.0","759.0","778.0","802.0","850.0","866.0","930.0","954.0","970.0","950.0","931.0","899.0","855.0","855.0","934.0","1,002.0","1,058.0","1,098.0","1,134.0","1,178.0","1,194.0","1,206.0","1,234.0","1,242.0","1,266.0","1,306.0","1,461.0","1,549.0","1,625.0","1,681.0","1,656.0","1,660.0","1,624.0","1,608.0","1,700.0","1,732.0","1,808.0","1,812.0","2,049.0","2,141.0","2,241.0","2,269.0","2,530.0","2,722.0","2,834.0","2,914.0","2,606.0","2,942.0","2,978.0","3,102.0","3,144.0","3,116.0","3,200.0","3,304.0","3,452.0","3,608.0","3,744.0","3,960.0","3,973.0","4,265.0","4,477.0","4,629.0","4,540.0","4,608.0","4,736.0","4,856.0","4,966.0","5,086.0","5,230.0","5,346.0","5,571.0","5,719.0","5,943.0","6,083.0","6,487.0","6,819.0","7,227.0","7,643.0","8,028.0","8,364.0","8,568.0","8,828.0","9,225.0","9,545.0","9,733.0","10,185.0","11,375.0"
"45","26","    Business current transfer payments (net)","W327RC1","548.0","564.0","584.0","596.0","616.0","616.0","632.0","640.0","608.0","608.0","620.0","640.0","592.0","604.0","644.0","676.0","728.0","760.0","768.0","816.0","840.0","856.0","860.0","916.0","972.0","1,020.0","1,024.0","1,004.0","952.0","892.0","876.0","896.0","956.0","1,020.0","1,072.0","1,096.0","1,112.0","1,092.0","1,076.0","1,108.0","1,136.0","1,164.0","1,168.0","1,208.0","1,248.0","1,268.0","1,244.0","1,236.0","1,276.0","1,340.0","1,356.0","1,364.0","1,342.0","1,346.0","1,366.0","1,391.0","1,465.0","1,488.0","1,539.0","1,596.0","1,667.0","1,695.0","1,692.0","1,658.0","1,725.0","1,710.0","1,677.0","1,721.0","1,809.0","1,842.0","2,134.0","2,131.0","2,177.0","2,173.0","2,221.0","2,340.0","2,574.0","2,687.0","2,762.0","2,802.0","2,763.0","2,784.0","2,830.0","2,871.0","2,959.0","3,067.0","3,090.0","3,088.0","3,129.0"
"46","27","    Corporate profits with IVA and CCAdj","A463RC1","18,081.0","21,336.0","21,221.0","22,518.0","26,042.0","27,507.0","26,775.0","28,148.0","26,481.0","24,091.0","25,325.0","22,139.0","25,594.0","29,318.0","33,625.0","36,715.0","35,558.0","35,221.0","35,476.0","36,209.0","33,878.0","31,536.0","30,939.0","34,971.0","35,713.0","34,852.0","33,760.0","26,739.0","28,871.0","30,138.0","31,998.0","35,193.0","40,233.0","41,391.0","41,850.0","42,774.0","40,497.0","40,063.0","38,961.0","39,547.0","40,983.0","39,675.0","39,036.0","35,646.0","29,832.0","30,557.0","34,724.0","40,135.0","43,432.0","48,106.0","41,951.0","41,807.0","45,769.0","41,709.0","41,014.0","38,472.0","37,140.0","41,912.0","44,024.0","47,804.0","50,005.0","48,782.0","49,894.0","51,723.0","52,310.0","56,072.0","57,391.0","58,663.0","62,101.0","62,076.0","63,063.0","62,264.0","69,976.0","71,731.0","72,874.0","76,047.0","78,991.0","77,924.0","75,892.0","77,101.0","74,197.0","73,065.0","73,636.0","76,558.0","76,364.0","79,439.0","79,300.0","80,649.0","79,558.0"
"47","28","      Taxes on corporate income","B465RC1","11,080.0","10,476.0","10,320.0","11,232.0","11,500.0","12,092.0","11,812.0","11,320.0","10,108.0","8,776.0","9,180.0","8,984.0","12,484.0","15,156.0","18,764.0","20,652.0","24,932.0","20,864.0","18,684.0","19,936.0","18,228.0","16,976.0","16,836.0","18,668.0","19,764.0","19,836.0","19,268.0","14,608.0","14,320.0","14,800.0","15,844.0","17,148.0","19,460.0","19,692.0","20,216.0","21,092.0","20,084.0","20,440.0","19,024.0","20,128.0","20,436.0","19,496.0","18,948.0","17,044.0","14,032.0","14,348.0","16,552.0","19,324.0","20,800.0","22,876.0","19,904.0","19,148.0","21,432.0","19,368.0","18,412.0","17,356.0","17,096.0","18,660.0","19,964.0","21,956.0","20,488.0","20,128.0","20,796.0","20,952.0","20,924.0","22,672.0","23,404.0","24,016.0","23,732.0","23,712.0","24,284.0","23,824.0","25,888.0","26,732.0","27,140.0","28,788.0","29,904.0","29,904.0","29,404.0","28,756.0","27,536.0","27,196.0","27,440.0","29,140.0","32,860.0","33,380.0","33,436.0","34,460.0","34,980.0"
"48","29","      Profits after tax with IVA and CCAdj","W328RC1","7,001.0","10,860.0","10,901.0","11,286.0","14,542.0","15,415.0","14,963.0","16,828.0","16,373.0","15,315.0","16,145.0","13,155.0","13,110.0","14,162.0","14,861.0","16,063.0","10,626.0","14,357.0","16,792.0","16,273.0","15,650.0","14,560.0","14,103.0","16,303.0","15,949.0","15,016.0","14,492.0","12,131.0","14,551.0","15,338.0","16,154.0","18,045.0","20,773.0","21,699.0","21,634.0","21,682.0","20,413.0","19,623.0","19,937.0","19,419.0","20,547.0","20,179.0","20,088.0","18,602.0","15,800.0","16,209.0","18,172.0","20,811.0","22,632.0","25,230.0","22,047.0","22,659.0","24,337.0","22,341.0","22,602.0","21,116.0","20,044.0","23,252.0","24,060.0","25,848.0","29,517.0","28,654.0","29,098.0","30,771.0","31,386.0","33,400.0","33,987.0","34,647.0","38,369.0","38,364.0","38,779.0","38,440.0","44,088.0","44,999.0","45,734.0","47,259.0","49,087.0","48,020.0","46,488.0","48,345.0","46,661.0","45,869.0","46,196.0","47,418.0","43,504.0","46,059.0","45,864.0","46,189.0","44,578.0"
"49","30","        Net dividends","B467RC1","5,092.0","5,352.0","5,576.0","5,416.0","5,936.0","5,528.0","5,928.0","6,116.0","6,004.0","5,988.0","5,892.0","6,276.0","6,936.0","7,080.0","7,524.0","7,960.0","6,964.0","7,120.0","7,056.0","7,028.0","6,660.0","7,236.0","7,056.0","7,260.0","6,848.0","7,440.0","7,416.0","7,268.0","7,572.0","7,048.0","7,424.0","7,384.0","7,984.0","8,216.0","8,704.0","8,756.0","8,880.0","8,944.0","8,868.0","9,336.0","9,288.0","9,148.0","9,232.0","9,236.0","9,232.0","9,224.0","9,132.0","8,872.0","9,480.0","9,856.0","9,944.0","9,984.0","10,324.0","10,340.0","10,696.0","10,460.0","10,256.0","10,464.0","10,536.0","11,048.0","11,392.0","11,680.0","11,880.0","11,408.0","12,056.0","12,424.0","12,544.0","12,752.0","13,080.0","13,808.0","14,244.0","14,852.0","14,960.0","15,696.0","16,644.0","17,480.0","17,576.0","16,936.0","16,572.0","15,920.0","17,104.0","17,896.0","17,560.0","16,532.0","18,648.0","18,604.0","19,376.0","19,524.0","19,028.0"
"50","31","        Undistributed profits with IVA and CCAdj","W332RC1","1,909.0","5,508.0","5,325.0","5,870.0","8,606.0","9,887.0","9,035.0","10,712.0","10,369.0","9,327.0","10,253.0","6,879.0","6,174.0","7,082.0","7,337.0","8,103.0","3,662.0","7,237.0","9,736.0","9,245.0","8,990.0","7,324.0","7,047.0","9,043.0","9,101.0","7,576.0","7,076.0","4,863.0","6,979.0","8,290.0","8,730.0","10,661.0","12,789.0","13,483.0","12,930.0","12,926.0","11,533.0","10,679.0","11,069.0","10,083.0","11,259.0","11,031.0","10,856.0","9,366.0","6,568.0","6,985.0","9,040.0","11,939.0","13,152.0","15,374.0","12,103.0","12,675.0","14,013.0","12,001.0","11,906.0","10,656.0","9,788.0","12,788.0","13,524.0","14,800.0","18,125.0","16,974.0","17,218.0","19,363.0","19,330.0","20,976.0","21,443.0","21,895.0","25,289.0","24,556.0","24,535.0","23,588.0","29,128.0","29,303.0","29,090.0","29,779.0","31,511.0","31,084.0","29,916.0","32,425.0","29,557.0","27,973.0","28,636.0","30,886.0","24,856.0","27,455.0","26,488.0","26,665.0","25,550.0"
"51",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",NA,"  Corporate business:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
