"","Table 1#10# Gross Domestic Income by Type of Income             ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92"
"30","11","Net operating surplus","W271RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","126,914.0","133,654.0","128,368.0","129,743.0","133,675.0","130,715.0","130,296.0","128,685.0","129,324.0","134,740.0","138,375.0","144,616.0","147,760.0","147,665.0","149,716.0","152,575.0","153,749.0","157,712.0","160,259.0","163,558.0","168,434.0","170,018.0","172,551.0","173,933.0","183,762.0","187,638.0","190,670.0","196,702.0","204,653.0","202,088.0","201,485.0","204,459.0","203,563.0","203,468.0","206,560.0","209,462.0","212,618.0","218,194.0","220,457.0","223,007.0","226,477.0"
"31","12","  Private enterprises","W260RC1","66,258.0","65,432.0","67,147.0","70,243.0","75,003.0","81,224.0","81,423.0","81,764.0","76,064.0","73,296.0","74,301.0","71,477.0","76,795.0","81,386.0","88,465.0","92,825.0","94,825.0","95,468.0","96,599.0","99,041.0","95,266.0","94,764.0","96,554.0","98,991.0","100,682.0","99,525.0","98,384.0","91,504.0","95,372.0","96,523.0","99,076.0","102,781.0","109,391.0","112,036.0","112,962.0","114,094.0","112,556.0","113,161.0","113,471.0","115,368.0","117,348.0","117,158.0","118,032.0","114,436.0","111,898.0","113,351.0","117,531.0","123,356.0","125,997.0","132,715.0","127,408.0","128,660.0","132,699.0","129,700.0","129,436.0","127,829.0","128,544.0","133,981.0","137,585.0","143,608.0","146,845.0","146,802.0","148,843.0","151,642.0","152,468.0","156,423.0","158,871.0","162,103.0","167,063.0","168,638.0","171,449.0","172,391.0","182,371.0","186,142.0","189,378.0","195,499.0","203,513.0","201,042.0","200,667.0","203,496.0","202,643.0","202,410.0","205,606.0","208,742.0","211,412.0","217,000.0","219,256.0","221,927.0","225,539.0"
"32","13","    Net interest and miscellaneous payments, domestic industries","W272RC1","2,212.0","2,357.0","2,505.0","2,512.0","2,429.0","2,454.0","2,533.0","2,517.0","2,638.0","2,698.0","2,809.0","2,880.0","3,082.0","3,015.0","3,062.0","3,155.0","3,359.0","3,432.0","3,590.0","3,695.0","3,807.0","3,898.0","4,044.0","4,106.0","4,432.0","4,483.0","4,736.0","4,819.0","5,026.0","5,308.0","5,542.0","5,809.0","5,869.0","6,039.0","6,107.0","6,230.0","6,399.0","6,596.0","6,944.0","7,291.0","7,601.0","7,810.0","8,082.0","8,419.0","8,860.0","9,320.0","9,611.0","9,672.0","8,633.0","9,618.0","9,661.0","10,006.0","10,206.0","10,153.0","10,482.0","10,884.0","11,260.0","11,825.0","12,321.0","13,011.0","12,796.0","13,648.0","14,198.0","14,586.0","14,208.0","14,402.0","14,853.0","15,342.0","16,000.0","16,604.0","17,272.0","17,767.0","18,364.0","18,787.0","19,397.0","19,674.0","20,514.0","21,314.0","22,315.0","23,326.0","24,151.0","24,880.0","25,157.0","25,541.0","25,984.0","26,479.0","26,622.0","27,513.0","30,470.0"
"33","14","    Business current transfer payments (net)","B029RC1","687.0","715.0","731.0","735.0","742.0","726.0","736.0","740.0","703.0","706.0","734.0","781.0","743.0","812.0","897.0","996.0","1,131.0","1,208.0","1,243.0","1,282.0","1,276.0","1,263.0","1,246.0","1,243.0","1,253.0","1,257.0","1,214.0","1,144.0","1,026.0","952.0","954.0","1,020.0","1,177.0","1,321.0","1,450.0","1,552.0","1,655.0","1,707.0","1,758.0","1,820.0","1,890.0","1,922.0","1,940.0","1,928.0","1,897.0","1,846.0","1,775.0","1,710.0","1,708.0","1,765.0","1,780.0","1,803.0","1,843.0","1,844.0","1,855.0","1,890.0","1,971.0","1,994.0","2,043.0","2,096.0","2,162.0","2,219.0","2,270.0","2,321.0","2,562.0","2,648.0","2,665.0","2,753.0","2,852.0","2,916.0","3,338.0","3,438.0","3,635.0","3,637.0","3,619.0","3,577.0","3,552.0","3,512.0","3,498.0","3,534.0","3,600.0","3,703.0","3,828.0","3,929.0","4,053.0","4,268.0","4,408.0","4,555.0","4,852.0"
"34","15","    Proprietors' income with inventory valuation and capital consumption adjustments","A041RC1","36,615.0","32,327.0","33,786.0","35,187.0","35,999.0","40,372.0","40,924.0","39,599.0","35,381.0","34,784.0","34,151.0","34,176.0","35,582.0","36,256.0","38,718.0","39,396.0","41,999.0","42,441.0","42,648.0","43,521.0","41,832.0","43,057.0","44,810.0","42,583.0","42,982.0","42,250.0","41,519.0","41,303.0","42,593.0","41,983.0","42,323.0","42,201.0","43,418.0","44,458.0","44,658.0","44,522.0","44,890.0","45,456.0","46,208.0","46,902.0","46,914.0","47,785.0","48,695.0","47,913.0","50,289.0","50,387.0","50,062.0","50,023.0","50,160.0","50,378.0","50,161.0","50,604.0","49,973.0","50,847.0","50,874.0","51,138.0","52,365.0","52,557.0","53,324.0","54,547.0","55,297.0","55,098.0","55,138.0","55,687.0","55,999.0","55,909.0","56,416.0","57,763.0","58,088.0","58,999.0","59,567.0","60,748.0","62,160.0","63,359.0","64,202.0","65,893.0","69,426.0","67,526.0","67,680.0","68,362.0","69,122.0","68,888.0","70,958.0","70,421.0","72,065.0","73,439.0","75,270.0","75,973.0","76,310.0"
"35","16","    Rental income of persons with capital consumption adjustment","A048RC1","6,934.0","7,050.0","7,265.0","7,458.0","7,629.0","7,781.0","7,850.0","7,927.0","7,839.0","7,944.0","8,178.0","8,396.0","8,749.0","8,961.0","9,134.0","9,449.0","9,628.0","9,893.0","10,182.0","10,453.0","10,734.0","11,002.0","11,267.0","11,603.0","11,918.0","12,225.0","12,488.0","12,796.0","13,117.0","13,333.0","13,464.0","13,613.0","13,669.0","13,733.0","13,800.0","13,900.0","13,982.0","14,002.0","14,088.0","14,202.0","14,285.0","14,386.0","14,500.0","14,716.0","15,006.0","15,188.0","15,331.0","15,419.0","15,413.0","15,887.0","16,251.0","16,520.0","16,712.0","16,872.0","17,043.0","17,212.0","17,437.0","17,611.0","17,820.0","18,052.0","18,285.0","18,503.0","18,713.0","18,919.0","19,135.0","19,291.0","19,455.0","19,448.0","19,447.0","19,381.0","19,465.0","19,439.0","19,688.0","19,881.0","20,119.0","20,106.0","20,457.0","20,371.0","20,633.0","20,626.0","20,838.0","20,941.0","20,982.0","20,862.0","20,607.0","20,597.0","20,742.0","20,560.0","20,789.0"
"36","17","    Corporate profits with inventory valuation and capital consumption adjustments, domestic industries","A445RC1","19,810.0","22,983.0","22,860.0","24,351.0","28,204.0","29,891.0","29,380.0","30,981.0","29,503.0","27,164.0","28,429.0","25,244.0","28,639.0","32,342.0","36,654.0","39,829.0","38,708.0","38,494.0","38,936.0","40,090.0","37,617.0","35,544.0","35,187.0","39,456.0","40,097.0","39,310.0","38,427.0","31,442.0","33,610.0","34,947.0","36,793.0","40,138.0","45,258.0","46,485.0","46,947.0","47,890.0","45,630.0","45,400.0","44,473.0","45,153.0","46,658.0","45,255.0","44,815.0","41,460.0","35,846.0","36,610.0","40,752.0","46,532.0","50,083.0","55,067.0","49,555.0","49,727.0","53,965.0","49,984.0","49,182.0","46,705.0","45,511.0","49,994.0","52,077.0","55,902.0","58,305.0","57,334.0","58,524.0","60,129.0","60,564.0","64,173.0","65,482.0","66,797.0","70,676.0","70,738.0","71,807.0","70,999.0","78,524.0","80,478.0","82,041.0","86,249.0","89,564.0","88,319.0","86,541.0","87,648.0","84,932.0","83,998.0","84,681.0","87,989.0","88,703.0","92,217.0","92,214.0","93,326.0","93,118.0"
"37","18","      Taxes on corporate income","A054RC1","11,560.0","10,936.0","10,796.0","11,780.0","12,144.0","12,796.0","12,580.0","12,164.0","11,044.0","9,716.0","10,120.0","9,932.0","13,628.0","16,308.0","19,924.0","21,840.0","26,280.0","22,264.0","20,144.0","21,548.0","19,804.0","18,652.0","18,608.0","20,532.0","21,616.0","21,724.0","21,232.0","16,576.0","16,404.0","16,904.0","17,920.0","19,268.0","21,344.0","21,608.0","22,156.0","23,056.0","22,040.0","22,488.0","21,144.0","22,300.0","22,824.0","21,872.0","21,428.0","19,568.0","16,920.0","17,248.0","19,388.0","22,300.0","23,500.0","25,724.0","23,116.0","22,568.0","25,104.0","23,064.0","22,024.0","20,936.0","20,656.0","22,092.0","23,392.0","25,420.0","23,904.0","23,660.0","24,364.0","24,452.0","24,556.0","26,264.0","27,004.0","27,660.0","27,904.0","27,964.0","28,584.0","28,168.0","29,556.0","30,504.0","31,084.0","33,116.0","34,168.0","34,208.0","33,872.0","33,276.0","32,500.0","32,204.0","32,484.0","34,408.0","38,728.0","39,496.0","39,664.0","40,624.0","41,460.0"
"38","19","      Profits after tax with inventory valuation and capital consumption adjustments","W273RC1","8,250.0","12,047.0","12,064.0","12,571.0","16,060.0","17,095.0","16,800.0","18,817.0","18,459.0","17,448.0","18,309.0","15,312.0","15,011.0","16,034.0","16,730.0","17,989.0","12,428.0","16,230.0","18,792.0","18,542.0","17,813.0","16,892.0","16,579.0","18,924.0","18,481.0","17,586.0","17,195.0","14,866.0","17,206.0","18,043.0","18,873.0","20,870.0","23,914.0","24,877.0","24,791.0","24,834.0","23,590.0","22,912.0","23,329.0","22,853.0","23,834.0","23,383.0","23,387.0","21,892.0","18,926.0","19,362.0","21,364.0","24,232.0","26,583.0","29,343.0","26,439.0","27,159.0","28,861.0","26,920.0","27,158.0","25,769.0","24,855.0","27,902.0","28,685.0","30,482.0","34,401.0","33,674.0","34,160.0","35,677.0","36,008.0","37,909.0","38,478.0","39,137.0","42,772.0","42,774.0","43,223.0","42,831.0","48,968.0","49,974.0","50,957.0","53,133.0","55,396.0","54,111.0","52,669.0","54,372.0","52,432.0","51,794.0","52,197.0","53,581.0","49,975.0","52,721.0","52,550.0","52,702.0","51,658.0"
"39","20","        Net dividends","A449RC1","5,368.0","5,624.0","5,852.0","5,684.0","6,240.0","5,824.0","6,264.0","6,472.0","6,356.0","6,344.0","6,256.0","6,668.0","7,388.0","7,552.0","8,016.0","8,460.0","7,360.0","7,488.0","7,404.0","7,380.0","7,008.0","7,636.0","7,480.0","7,720.0","7,304.0","7,960.0","7,948.0","7,792.0","8,112.0","7,544.0","7,924.0","7,860.0","8,480.0","8,700.0","9,192.0","9,224.0","9,328.0","9,380.0","9,316.0","9,844.0","9,844.0","9,752.0","9,892.0","9,936.0","9,932.0","9,932.0","9,860.0","9,604.0","10,300.0","10,744.0","10,868.0","10,920.0","11,284.0","11,292.0","11,668.0","11,396.0","11,192.0","11,420.0","11,460.0","11,952.0","12,208.0","12,420.0","12,624.0","12,172.0","13,008.0","13,552.0","13,744.0","13,944.0","14,208.0","14,880.0","15,188.0","15,688.0","15,664.0","16,316.0","17,284.0","18,232.0","18,508.0","18,008.0","17,736.0","17,060.0","18,244.0","19,008.0","18,588.0","17,480.0","19,708.0","19,668.0","20,536.0","20,756.0","20,244.0"
"40","21","        Undistributed corporate profits with inventory valuation and capital consumption adjustments","W274RC1","2,882.0","6,423.0","6,212.0","6,887.0","9,820.0","11,271.0","10,536.0","12,345.0","12,103.0","11,104.0","12,053.0","8,644.0","7,623.0","8,482.0","8,714.0","9,529.0","5,068.0","8,742.0","11,388.0","11,162.0","10,805.0","9,256.0","9,099.0","11,204.0","11,177.0","9,626.0","9,247.0","7,074.0","9,094.0","10,499.0","10,949.0","13,010.0","15,434.0","16,177.0","15,599.0","15,610.0","14,262.0","13,532.0","14,013.0","13,009.0","13,990.0","13,631.0","13,495.0","11,956.0","8,994.0","9,430.0","11,504.0","14,628.0","16,283.0","18,599.0","15,571.0","16,239.0","17,577.0","15,628.0","15,490.0","14,373.0","13,663.0","16,482.0","17,225.0","18,530.0","22,193.0","21,254.0","21,536.0","23,505.0","23,000.0","24,357.0","24,734.0","25,193.0","28,564.0","27,894.0","28,035.0","27,143.0","33,304.0","33,658.0","33,673.0","34,901.0","36,888.0","36,103.0","34,933.0","37,312.0","34,188.0","32,786.0","33,609.0","36,101.0","30,267.0","33,053.0","32,014.0","31,946.0","31,414.0"
"41","22","  Current surplus of government enterprises \1\","A108RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","917.0","939.0","960.0","1,083.0","976.0","1,015.0","860.0","856.0","780.0","759.0","790.0","1,008.0","915.0","863.0","873.0","933.0","1,281.0","1,289.0","1,388.0","1,455.0","1,371.0","1,380.0","1,102.0","1,542.0","1,391.0","1,496.0","1,292.0","1,203.0","1,140.0","1,046.0","818.0","963.0","920.0","1,058.0","954.0","720.0","1,206.0","1,194.0","1,201.0","1,080.0","938.0"
"42","23","Consumption of fixed capital","A262RC1","25,592.0","26,263.0","27,093.0","27,649.0","27,932.0","28,257.0","28,730.0","28,942.0","29,243.0","29,197.0","29,122.0","29,158.0","29,098.0","29,375.0","30,079.0","31,217.0","32,499.0","33,462.0","34,270.0","34,936.0","35,365.0","35,936.0","36,625.0","37,212.0","37,867.0","38,483.0","38,875.0","39,320.0","39,792.0","40,384.0","40,846.0","41,361.0","41,662.0","42,184.0","43,125.0","44,172.0","45,486.0","46,626.0","47,671.0","48,634.0","49,645.0","50,497.0","51,289.0","51,945.0","52,271.0","52,891.0","53,614.0","54,243.0","54,803.0","55,257.0","55,647.0","55,947.0","56,155.0","56,410.0","56,697.0","57,074.0","57,475.0","57,922.0","58,398.0","58,935.0","59,591.0","60,117.0","60,869.0","61,657.0","62,296.0","63,004.0","63,665.0","64,362.0","65,091.0","65,880.0","66,750.0","67,744.0","68,832.0","70,054.0","71,340.0","72,651.0","74,067.0","75,695.0","77,234.0","78,819.0","80,378.0","81,985.0","83,773.0","85,602.0","87,549.0","89,373.0","91,297.0","93,455.0","95,638.0"
"43","24","  Private","A024RC1","14,589.0","15,662.0","16,594.0","17,387.0","18,037.0","18,622.0","19,148.0","19,609.0","20,007.0","20,363.0","20,676.0","20,950.0","21,180.0","21,611.0","22,244.0","23,073.0","24,106.0","24,939.0","25,579.0","26,024.0","26,270.0","26,556.0","26,884.0","27,250.0","27,659.0","28,041.0","28,396.0","28,724.0","29,026.0","29,325.0","29,619.0","29,910.0","30,199.0","30,658.0","31,284.0","32,087.0","33,046.0","33,951.0","34,792.0","35,575.0","36,296.0","36,966.0","37,583.0","38,151.0","38,665.0","39,158.0","39,635.0","40,094.0","40,535.0","40,881.0","41,134.0","41,290.0","41,351.0","41,468.0","41,643.0","41,870.0","42,156.0","42,460.0","42,784.0","43,124.0","43,486.0","43,867.0","44,271.0","44,692.0","45,133.0","45,606.0","46,116.0","46,657.0","47,235.0","47,890.0","48,625.0","49,438.0","50,332.0","51,301.0","52,344.0","53,463.0","54,659.0","55,866.0","57,085.0","58,314.0","59,560.0","60,857.0","62,207.0","63,612.0","65,066.0","66,591.0","68,184.0","69,847.0","71,580.0"
"44","25","  Government","A264RC1","11,003.0","10,601.0","10,499.0","10,262.0","9,895.0","9,635.0","9,582.0","9,333.0","9,236.0","8,834.0","8,446.0","8,208.0","7,918.0","7,764.0","7,835.0","8,144.0","8,393.0","8,523.0","8,691.0","8,912.0","9,095.0","9,380.0","9,741.0","9,962.0","10,208.0","10,442.0","10,479.0","10,596.0","10,766.0","11,059.0","11,227.0","11,451.0","11,463.0","11,526.0","11,841.0","12,085.0","12,440.0","12,675.0","12,879.0","13,059.0","13,349.0","13,531.0","13,706.0","13,794.0","13,606.0","13,733.0","13,979.0","14,149.0","14,268.0","14,376.0","14,513.0","14,657.0","14,804.0","14,942.0","15,054.0","15,204.0","15,319.0","15,462.0","15,614.0","15,811.0","16,105.0","16,250.0","16,598.0","16,965.0","17,163.0","17,398.0","17,549.0","17,705.0","17,856.0","17,990.0","18,125.0","18,306.0","18,500.0","18,753.0","18,996.0","19,188.0","19,408.0","19,829.0","20,149.0","20,505.0","20,818.0","21,128.0","21,566.0","21,990.0","22,483.0","22,782.0","23,113.0","23,608.0","24,058.0"
"45",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","26","  Statistical discrepancy","A030RC1","788.0","2,555.0","2,421.0","3,303.0","730.0","-1,306.0","-350.0","-1,051.0","586.0","1,200.0","2,277.0","3,209.0","3,696.0","1,292.0","617.0","-129.0","2,493.0","3,933.0","4,995.0","2,882.0","3,509.0","2,173.0","2,143.0","3,176.0","3,422.0","3,502.0","3,282.0","5,646.0","2,942.0","2,738.0","3,684.0","3,096.0","4,007.0","1,690.0","2,413.0","1,408.0","-978.0","-1,770.0","-1,865.0","-2,468.0","-497.0","-1,358.0","911.0","646.0","-1,742.0","390.0","2,821.0","2,351.0","580.0","-1,505.0","2,291.0","555.0","277.0","-1,068.0","369.0","-3,395.0","-1,202.0","-431.0","251.0","-975.0","1,048.0","1,463.0","1,514.0","-2,760.0","-1,127.0","-2,754.0","904.0","-328.0","3,101.0","1,675.0","1,206.0","-2,885.0","-1,489.0","-1,032.0","3,339.0","5,186.0","7,549.0","5,478.0","5,801.0","5,851.0","9,031.0","4,930.0","2,979.0","1,083.0","5,820.0","7,716.0","2,661.0","1,074.0","6,640.0"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","1. Prior to 1959, subsidies (line 10) and the current surplus of government enterprises (line 22) are",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","not shown separately; subsidies are presented net of the current surplus of government enterprises.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
