"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","  Nonfarm \2\","A358RC1","80,504.0","70,375.0","57,715.0","43,049.0","41,011.0","49,594.0","54,147.0","63,517.0","69,668.0","64,766.0","70,876.0","79,463.0","99,757.0","122,775.0","143,267.0","154,192.0","151,790.0","159,822.0","184,001.0","205,129.0","205,342.0","228,615.0","261,887.0","274,938.0","293,886.0","291,932.0","322,271.0","339,264.0","357,062.0","354,750.0","390,351.0","401,739.0","413,104.0","445,513.0","469,518.0","507,527.0","550,733.0","603,479.0","633,521.0","693,003.0","746,281.0"
"22","4","  Farm","B359RC1","8,935.0","6,956.0","5,667.0","3,949.0","4,111.0","4,163.0","6,432.0","5,851.0","7,658.0","5,956.0","5,708.0","5,859.0","8,318.0","12,383.0","14,612.0","14,575.0","15,149.0","17,842.0","19,059.0","22,099.0","17,585.0","18,725.0","21,660.0","20,788.0","18,673.0","18,196.0","17,270.0","17,069.0","16,919.0","19,087.0","17,315.0","18,170.0","18,333.0","18,410.0","18,494.0","17,340.0","19,940.0","20,825.0","20,120.0","20,497.0","22,825.0"
"23","5","Households and institutions","A193RC1","8,978.0","8,492.0","7,644.0","6,555.0","5,783.0","5,710.0","5,809.0","6,047.0","6,487.0","6,570.0","6,732.0","6,991.0","7,444.0","8,346.0","9,166.0","10,163.0","11,013.0","11,743.0","13,200.0","14,666.0","15,990.0","17,761.0","19,932.0","22,145.0","24,615.0","26,775.0","29,418.0","31,967.0","34,633.0","37,549.0","40,673.0","44,545.0","47,335.0","51,034.0","54,264.0","57,690.0","61,804.0","66,632.0","71,801.0","77,507.0","85,363.0"
"24","6","  Households","B701RC1","7,447.0","6,935.0","6,144.0","5,180.0","4,511.0","4,417.0","4,494.0","4,660.0","5,017.0","5,049.0","5,190.0","5,367.0","5,718.0","6,452.0","7,056.0","7,851.0","8,550.0","8,814.0","9,704.0","10,631.0","11,576.0","12,982.0","14,631.0","16,398.0","18,322.0","19,993.0","22,031.0","23,898.0","25,764.0","27,828.0","30,055.0","32,555.0","34,583.0","37,036.0","39,085.0","41,166.0","43,625.0","46,246.0","49,104.0","51,914.0","55,960.0"
"25","7","  Nonprofit institutions serving households \3\","B702RC1","1,531.0","1,557.0","1,500.0","1,375.0","1,272.0","1,293.0","1,315.0","1,387.0","1,470.0","1,521.0","1,542.0","1,624.0","1,726.0","1,894.0","2,110.0","2,312.0","2,463.0","2,929.0","3,496.0","4,035.0","4,414.0","4,779.0","5,301.0","5,747.0","6,293.0","6,782.0","7,387.0","8,069.0","8,869.0","9,721.0","10,618.0","11,990.0","12,752.0","13,998.0","15,179.0","16,524.0","18,179.0","20,386.0","22,697.0","25,593.0","29,403.0"
"26","8","General government \4\","A765RC1","5,191.0","5,390.0","5,464.0","5,168.0","5,497.0","6,513.0","6,916.0","8,351.0","8,054.0","8,832.0","8,854.0","9,117.0","11,222.0","18,405.0","31,562.0","40,829.0","45,097.0","32,821.0","27,835.0","27,224.0","28,315.0","28,643.0","35,781.0","40,427.0","42,153.0","43,451.0","45,761.0","49,128.0","52,441.0","55,783.0","58,288.0","61,984.0","65,986.0","70,699.0","75,484.0","81,082.0","86,638.0","96,756.0","107,003.0","118,836.0","129,962.0"
"27","9","  Federal","A766RC1","1,122.0","1,146.0","1,144.0","1,091.0","1,379.0","1,952.0","2,071.0","3,923.0","3,404.0","3,930.0","3,865.0","3,995.0","5,893.0","12,808.0","25,691.0","34,760.0","38,622.0","25,418.0","19,047.0","17,047.0","17,198.0","16,842.0","22,603.0","26,023.0","26,611.0","26,511.0","27,529.0","28,735.0","29,873.0","31,081.0","31,826.0","33,047.0","34,385.0","36,521.0","38,407.0","40,680.0","42,411.0","47,185.0","51,487.0","56,309.0","59,940.0"
"28","10","  State and local","A767RC1","4,069.0","4,244.0","4,320.0","4,077.0","4,118.0","4,561.0","4,845.0","4,428.0","4,650.0","4,902.0","4,989.0","5,122.0","5,329.0","5,597.0","5,871.0","6,069.0","6,475.0","7,403.0","8,788.0","10,177.0","11,117.0","11,801.0","13,178.0","14,404.0","15,542.0","16,940.0","18,232.0","20,393.0","22,568.0","24,702.0","26,462.0","28,937.0","31,601.0","34,178.0","37,077.0","40,402.0","44,227.0","49,571.0","55,516.0","62,527.0","70,022.0"
"29",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","11","  Gross housing value added","A2009C1","9,745.0","9,419.0","8,829.0","7,842.0","6,837.0","6,435.0","6,466.0","6,602.0","7,016.0","7,495.0","7,599.0","7,822.0","8,346.0","9,169.0","9,734.0","10,238.0","10,603.0","11,111.0","12,114.0","13,524.0","14,887.0","16,483.0","18,510.0","20,794.0","23,159.0","25,335.0","27,147.0","29,084.0","31,459.0","33,939.0","36,957.0","39,903.0","42,776.0","45,998.0","48,863.0","51,610.0","54,883.0","58,248.0","62,093.0","65,924.0","71,254.0"
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","and of general government.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2. Equals gross domestic business value added excluding gross farm value added.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","3. Equals compensation of employees of nonprofit institutions, the rental value of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","nonresidential fixed assets owned and used by nonprofit institutions serving households,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","and rental income of persons for tenant-occupied housing owned by nonprofit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","institutions.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","4. Equals compensation of general government employees plus general government consumption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","of fixed capital.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
