"","Table 7#13# Relation of Consumption of Fixed Capital in the Nati","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"15","are generally not any more accurate.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Line",NA,NA,"1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"19",NA,"      Corporations"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1","Depreciation and amortization, IRS","B1208C1","49,472.0","53,686.0","58,045.0","64,695.0","71,263.0","79,313.0","87,218.0","94,143.0","107,954.0","122,489.0","139,470.0","158,722.0","201,137.0","229,688.0","255,238.0","286,918.0","323,408.0","327,389.0","342,870.0","362,050.0","375,700.0","381,545.0","390,114.0","397,506.0","417,200.0","454,139.0","496,744.0","535,810.0","583,528.0","626,481.0","677,963.0","718,723.0","761,817.0","829,432.0","823,639.0","825,711.0","675,240.0","720,757.0","772,343.0",".....","....."
"21","2","Less: Depreciation of assets of foreign branches","B1209C1","782.0","966.0","1,112.0","1,227.0","1,266.0","1,385.0","1,580.0","1,722.0","1,943.0","2,176.0","2,447.0","2,606.0","3,008.0","2,642.0","2,746.0","2,904.0","2,924.0","3,007.0","2,965.0","2,819.0","2,440.0","2,645.0","2,848.0","3,057.0","3,204.0","2,632.0","3,292.0","3,459.0","3,285.0","3,193.0","2,671.0","3,159.0","3,187.0","2,820.0","3,356.0","2,926.0","3,279.0","3,235.0","3,509.0",".....","....."
"22","3","      Depreciation or amortization of intangible assets \1\","B1210C1","367.0","393.0","410.0","441.0","520.0","649.0","735.0","810.0","887.0","1,032.0","1,108.0","1,247.0","1,715.0","2,180.0","2,646.0","3,128.0","3,748.0","7,066.0","8,614.0","10,370.0","13,288.0","16,256.0","18,573.0","21,202.0","22,867.0","24,075.0","27,705.0","31,961.0","38,482.0","46,769.0","56,095.0","67,218.0","78,779.0","84,442.0","89,696.0","96,114.0","104,121.0","114,674.0","127,322.0",".....","....."
"23","4","      Other \2\","B1211C1","119.0","279.0","144.0","154.0","95.0","281.0","522.0","603.0","801.0","1,848.0","2,143.0","2,404.0","2,786.0","3,268.0","3,875.0","4,547.0","5,220.0","5,876.0","6,598.0","7,147.0","7,925.0","9,201.0","10,106.0","10,945.0","11,782.0","12,249.0","13,275.0","15,371.0","17,469.0","19,333.0","21,675.0","23,690.0","25,795.0","27,439.0","27,242.0","29,982.0","28,528.0","30,589.0","36,473.0",".....","....."
"24","5","Plus: Normal accidental damage to fixed capital other than repairable damage","B1212C1","845.0","821.0","791.0","1,082.0","972.0","1,082.0","1,234.0","1,028.0","1,198.0","1,348.0","1,186.0","1,446.0","1,498.0","1,510.0","1,642.0","1,677.0","1,867.0","2,100.0","2,239.0","2,334.0","2,525.0","2,679.0","2,872.0","3,015.0","4,529.0","3,297.0","3,517.0","3,959.0","4,032.0","4,128.0","4,439.0","4,723.0","5,000.0","5,111.0","5,219.0","5,440.0","5,686.0","5,786.0","5,986.0",".....","....."
"25","6","      Depreciation of computer software not in IRS depreciation","B1215C1","702.0","908.0","1,142.0","1,404.0","1,724.0","2,100.0","2,570.0","3,105.0","3,628.0","3,925.0","4,562.0","5,373.0","6,349.0","7,624.0","9,180.0","11,055.0","13,293.0","15,681.0","18,013.0","20,586.0","23,888.0","28,006.0","32,712.0","37,471.0","42,063.0","46,426.0","50,676.0","55,350.0","62,203.0","71,810.0","84,298.0","99,449.0","113,893.0","124,078.0","130,620.0","135,627.0","139,305.0","143,290.0","149,775.0",".....","....."
"26","7","      Depreciation of mining exploration, shafts, and wells charged to current expense","B1213C1","1,773.0","1,869.0","1,983.0","2,080.0","2,085.0","2,236.0","2,495.0","2,851.0","3,167.0","3,844.0","4,743.0","6,011.0","7,800.0","10,017.0","12,026.0","13,844.0","15,588.0","16,673.0","17,131.0","17,407.0","17,785.0","18,025.0","17,973.0","16,948.0","15,909.0","14,491.0","13,284.0","12,346.0","12,271.0","12,093.0","12,302.0","12,623.0","13,387.0","14,053.0","14,634.0","15,739.0","17,279.0","19,829.0","23,720.0",".....","....."
"27","8","      Depreciation of motor vehicles not in IRS depreciation \3\","B1315C1","798.0","775.0","802.0","883.0","949.0","960.0","977.0","1,005.0","1,034.0","1,709.0","1,937.0","2,083.0","2,196.0","2,332.0","2,596.0","3,020.0","3,445.0","3,796.0","4,074.0","4,302.0","4,662.0","5,099.0","5,386.0","5,376.0","5,315.0","5,468.0","5,410.0","5,397.0","5,423.0","5,466.0","5,536.0","5,731.0","5,848.0","5,781.0","5,629.0","5,670.0","6,032.0","6,311.0","6,240.0",".....","....."
"28","9","      Depreciation of railroad track charged to current expense \4\","B1628C1","507.0","551.0","664.0","685.0","745.0","873.0","904.0","1,286.0","1,464.0","1,479.0","1,717.0","1,680.0",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"29","10","      Other \5\","B1214C1","1,261.0","1,098.0","850.0","504.0","169.0","142.0","167.0","228.0","205.0","490.0","562.0","793.0","822.0","2,917.0","2,298.0","948.0","1,080.0","1,225.0","1,303.0","1,341.0","1,390.0","1,442.0","1,496.0","1,543.0","1,591.0","1,618.0","1,618.0","1,606.0","1,616.0","1,419.0","1,428.0","1,442.0","1,467.0","1,549.0","1,674.0","1,778.0","1,880.0","2,005.0","2,125.0",".....","....."
"30","11","Equals: Capital consumption allowances, NIPAs","A677RC1","54,090.0","58,070.0","62,611.0","69,512.0","76,026.0","84,391.0","92,728.0","100,511.0","115,019.0","130,228.0","148,478.0","169,850.0","212,292.0","245,997.0","273,713.0","306,882.0","346,788.0","350,916.0","367,454.0","387,685.0","402,297.0","408,694.0","419,026.0","426,655.0","448,754.0","486,483.0","526,977.0","563,677.0","609,836.0","652,102.0","705,525.0","748,624.0","793,651.0","865,303.0","861,121.0","860,943.0","709,494.0","749,481.0","792,884.0","992,193.0","949,154.0"
"31","12","Less: Capital consumption adjustment","A059RC1","8,970.0","8,066.0","7,779.0","9,812.0","9,102.0","5,571.0","-1,688.0","-4,021.0","-2,969.0","-4,000.0","-6,642.0","-9,986.0","4,152.0","14,609.0","33,277.0","53,978.0","75,060.0","61,104.0","60,982.0","58,869.0","51,457.0","35,654.0","26,962.0","24,647.0","28,702.0","41,631.0","50,173.0","57,693.0","68,980.0","73,790.0","79,713.0","63,560.0","63,399.0","109,411.0","85,593.0","51,783.0","-153,374.0","-176,375.0","-180,480.0","-26,347.0","-70,642.0"
"32","13","Equals: Consumption of fixed capital, NIPAs","B128RC1","45,120.0","50,004.0","54,832.0","59,700.0","66,924.0","78,820.0","94,416.0","104,532.0","117,988.0","134,228.0","155,120.0","179,836.0","208,140.0","231,388.0","240,436.0","252,904.0","271,728.0","289,812.0","306,472.0","328,816.0","350,840.0","373,040.0","392,064.0","402,008.0","420,052.0","444,852.0","476,804.0","505,984.0","540,856.0","578,312.0","625,812.0","685,064.0","730,252.0","755,892.0","775,528.0","809,160.0","862,868.0","925,856.0","973,364.0","1,018,540.0","1,019,796.0"
"33",NA,"       Nonfarm sole proprietorships and partnerships"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","14","Depreciation and amortization, IRS","B1218C1","8,833.0","9,611.0","10,390.0","11,743.0","13,443.0","15,424.0","17,290.0","18,854.0","21,166.0","24,621.0","29,662.0","34,612.0","42,777.0","49,601.0","59,474.0","72,637.0","84,983.0","94,099.0","93,589.0","99,412.0","104,699.0","96,545.0","94,562.0","98,006.0","102,297.0","102,430.0","107,330.0","116,842.0","130,509.0","143,396.0","163,445.0","182,672.0","211,430.0","232,032.0","251,210.0","263,730.0","236,269.0","257,562.0","276,858.0","352,926.0","....."
"35","15","Less: Depreciation or amortization of intangible assets \1\","B1219C1","77.0","91.0","69.0","86.0","152.0","167.0","208.0","233.0","233.0","243.0","248.0","254.0","258.0","265.0","301.0","340.0","403.0","465.0","509.0","542.0","569.0","593.0","623.0","657.0","731.0","828.0","1,083.0","1,862.0","2,660.0","5,736.0","6,538.0","7,726.0","8,453.0","9,284.0","10,043.0","10,550.0","9,448.0","10,301.0","11,076.0","14,117.0","....."
"36","16","      Adjustment for misreporting on income tax returns","B1220C1","464.0","500.0","544.0","618.0","722.0","898.0","1,031.0","1,206.0","1,504.0","1,926.0","2,455.0","3,076.0","2,893.0","5,007.0","5,128.0","6,581.0","7,535.0","8,363.0","8,076.0","8,630.0","9,329.0","8,528.0","8,624.0","9,028.0","9,028.0","9,310.0","9,220.0","9,594.0","10,253.0","11,224.0","12,763.0","14,426.0","16,171.0","17,786.0","19,881.0","20,539.0","18,912.0","20,635.0","22,777.0","27,501.0","....."
"37","17","      Other \6\","B2626C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","53.0","73.0","105.0","136.0","256.0","310.0","376.0","456.0","542.0","602.0","670.0","721.0","752.0","836.0","800.0","832.0","863.0","894.0","923.0","952.0","980.0","994.0","984.0","967.0","936.0","....."
"38","18","Plus: Normal accidental damage to fixed capital other than repairable damage","B1221C1","145.0","149.0","136.0","351.0","142.0","182.0","213.0","174.0","206.0","220.0","179.0","197.0","266.0","235.0","293.0","312.0","339.0","373.0","406.0","439.0","498.0","561.0","623.0","661.0","336.0","344.0","342.0","354.0","367.0","384.0","400.0","420.0","452.0","512.0","567.0","624.0","653.0","604.0","658.0","787.0","....."
"39","19","      Depreciation of computer software not in IRS depreciation","B1226C1","133.0","173.0","217.0","260.0","299.0","324.0","336.0","342.0","345.0","308.0","339.0","397.0","490.0","598.0","708.0","823.0","952.0","1,090.0","1,217.0","1,373.0","1,552.0","1,746.0","1,980.0","2,197.0","2,396.0","2,610.0","2,842.0","3,097.0","3,459.0","3,985.0","4,668.0","5,509.0","6,315.0","6,906.0","7,265.0","7,550.0","7,758.0","7,967.0","8,325.0","8,802.0","....."
"40","20","      Depreciation of mining exploration, shafts, and wells charged to current expense","B1222C1","202.0","212.0","200.0","212.0","208.0","221.0","263.0","330.0","428.0","596.0","808.0","1,115.0","1,752.0","2,606.0","3,211.0","3,492.0","3,653.0","3,741.0","3,788.0","3,796.0","3,778.0","3,695.0","3,581.0","3,712.0","3,230.0","2,594.0","2,249.0","2,204.0","2,312.0","2,655.0","2,989.0","3,197.0","3,502.0","3,869.0","4,410.0","5,144.0","6,142.0","7,361.0","8,651.0","10,068.0","....."
"41","21","      Depreciation of motor vehicles not in IRS depreciation \3\","B1313C1","154.0","159.0","141.0","161.0","202.0","55.0","107.0","160.0","209.0","231.0","267.0","282.0","288.0","297.0","327.0","381.0","436.0","482.0","508.0","527.0","540.0","537.0","511.0","476.0","460.0","456.0","466.0","466.0","463.0","453.0","456.0","469.0","484.0","493.0","490.0","487.0","494.0","506.0","510.0","494.0","....."
"42","22","Equals: Capital consumption allowances, NIPAs","B1314C1","8,926.0","9,713.0","10,471.0","12,023.0","13,420.0","15,141.0","16,970.0","18,421.0","20,617.0","23,788.0","28,531.0","33,248.0","42,391.0","48,028.0","58,540.0","70,671.0","82,352.0","90,852.0","90,787.0","96,119.0","100,859.0","93,587.0","91,554.0","94,825.0","98,358.0","97,626.0","102,205.0","110,755.0","123,362.0","133,113.0","151,824.0","169,249.0","196,665.0","215,819.0","233,067.0","245,467.0","221,962.0","242,079.0","260,182.0","330,524.0","311,887.0"
"43","23","Less: Capital consumption adjustment","A2205C1","-331.0","-421.0","-652.0","-86.0","8.0","-210.0","-494.0","-243.0","161.0","682.0","1,851.0","2,476.0","6,593.0","7,654.0","16,678.0","26,847.0","35,431.0","40,534.0","37,113.0","38,120.0","39,086.0","29,510.0","26,338.0","29,405.0","31,348.0","28,100.0","29,286.0","34,880.0","44,097.0","49,123.0","62,049.0","72,815.0","94,876.0","109,156.0","121,250.0","127,159.0","94,290.0","103,736.0","100,454.0","163,591.0","144,965.0"
"44","24","Equals: Consumption of fixed capital, NIPAs","B1617C1","9,257.0","10,134.0","11,123.0","12,109.0","13,412.0","15,351.0","17,464.0","18,664.0","20,456.0","23,106.0","26,680.0","30,772.0","35,798.0","40,374.0","41,862.0","43,824.0","46,921.0","50,318.0","53,674.0","57,999.0","61,773.0","64,077.0","65,216.0","65,420.0","67,010.0","69,526.0","72,919.0","75,875.0","79,265.0","83,990.0","89,775.0","96,434.0","101,789.0","106,663.0","111,817.0","118,308.0","127,672.0","138,343.0","159,728.0","166,933.0","166,922.0"
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","1. Consists of intangible assets that the IRS allows to be amortized.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2. Consists of depreciation or amortization of the following items: Breeding, dairy, and work",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","animals; motion picture films; rental videocassettes; and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","3. Consists of depreciation of employees' motor vehicles reimbursed by business and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","depreciation of business motor vehicles charged to current expense.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","4. Beginning with 1981, included in IRS depreciation (line 1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","5. Consists of depreciation of assets owned by Federal Reserve banks, federally sponsored",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","credit agencies, credit unions, and nonprofit institutions serving business; depreciation of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","interest paid by public utilities for own-account investment prior to 1987 (beginning with",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","1987, included in line 1).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","6. Consists of depreciation or amortization of rental videocassettes and rental clothing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","IRS Internal Revenue Service",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","NIPAs National income and product accounts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
