"","Table 2#4#6# Real Personal Consumption Expenditures by Type of P","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"82","64","        Paramedical services (46)","DPMSRX1","144,077.0","150,044.0","153,168.0","157,343.0","158,310.0","162,589.0","172,215.0","181,664.0","191,303.0","203,030.0","215,063.0","220,474.0","231,215.0","240,489.0","247,909.0"
"83","65","      Hospital and nursing home services","DHPNRX1","526,410.0","534,149.0","554,223.0","572,421.0","579,469.0","592,782.0","618,712.0","650,939.0","649,371.0","660,154.0","679,487.0","687,208.0","703,376.0","720,048.0","741,156.0"
"84","66","        Hospitals (51)","DHSPRX1","425,346.0","430,487.0","446,892.0","462,357.0","471,098.0","484,333.0","510,057.0","540,904.0","537,562.0","548,919.0","567,007.0","575,811.0","590,639.0","605,778.0","626,988.0"
"85","67","        Nursing homes (52)","DNRSRX1","100,991.0","103,750.0","107,398.0","110,078.0","108,260.0","108,297.0","108,560.0","110,064.0","111,799.0","111,234.0","112,480.0","111,381.0","112,712.0","114,247.0","114,176.0"
"86","68","    Transportation services","DTRSRX1","213,840.0","231,365.0","248,818.0","259,174.0","273,489.0","286,224.0","283,587.0","275,842.0","276,735.0","283,227.0","285,900.0","284,986.0","288,012.0","273,066.0","250,899.0"
"87","69","      Motor vehicle services","DMVSRX1","160,849.0","174,428.0","189,460.0","195,374.0","205,811.0","213,328.0","212,517.0","203,821.0","202,534.0","205,102.0","209,118.0","209,060.0","210,663.0","200,211.0","182,397.0"
"88","70","        Motor vehicle maintenance and repair (60)","DVMRRX1","124,612.0","130,149.0","134,700.0","139,493.0","144,331.0","148,670.0","150,916.0","148,845.0","151,701.0","153,345.0","154,903.0","150,554.0","150,708.0","141,357.0","131,271.0"
"89","71","        Other motor vehicle services (61)","DOVSRX1","37,688.0","44,861.0","54,220.0","55,414.0","60,630.0","63,662.0","60,934.0","54,741.0","50,855.0","51,769.0","54,215.0","58,559.0","60,046.0","59,047.0","51,193.0"
"90","72","      Public transportation","DPUBRX1","53,034.0","57,030.0","59,679.0","63,879.0","67,719.0","72,706.0","70,976.0","71,922.0","74,169.0","78,153.0","76,782.0","75,934.0","77,345.0","72,866.0","68,508.0"
"91","73","        Ground transportation (63)","DGRDRX1","22,985.0","22,365.0","22,787.0","24,611.0","25,678.0","26,359.0","26,969.0","26,714.0","25,473.0","26,232.0","26,405.0","27,139.0","26,884.0","26,815.0","25,200.0"
"92","74","        Air transportation (64)","DAITRX1","30,291.0","34,019.0","35,884.0","38,269.0","40,853.0","44,556.0","42,185.0","43,229.0","46,316.0","49,316.0","47,654.0","45,995.0","47,468.0","43,065.0","40,381.0"
"93","75","        Water transportation (65)","DWATRX1","804.0","1,107.0","1,304.0","1,376.0","1,480.0","1,760.0","2,019.0","2,100.0","2,396.0","2,618.0","2,723.0","2,818.0","3,003.0","3,101.0","3,065.0"
"94","76","    Recreation services","DRCARX1","245,253.0","256,339.0","264,477.0","273,288.0","286,622.0","295,224.0","294,893.0","296,740.0","305,475.0","320,710.0","326,786.0","337,452.0","351,244.0","350,040.0","341,809.0"
"95","77","      Membership clubs, sports centers, parks, theaters, and museums (82)","DRLSRX1","96,916.0","100,435.0","103,080.0","106,085.0","106,231.0","106,873.0","105,612.0","106,294.0","107,081.0","109,373.0","110,554.0","113,738.0","116,622.0","117,740.0","113,891.0"
"96","78","      Audio-video, photographic, and information processing equipment services (parts of 77 and 93)","DAVPRX1","68,062.0","69,100.0","69,369.0","72,447.0","77,362.0","80,551.0","81,325.0","78,934.0","81,113.0","86,235.0","87,233.0","88,986.0","94,604.0","96,090.0","95,344.0"
"97","79","      Gambling (91)","DGAMRX1","57,914.0","62,441.0","66,271.0","66,939.0","73,058.0","76,612.0","77,201.0","80,394.0","85,892.0","92,812.0","95,637.0","100,621.0","104,287.0","101,420.0","99,419.0"
"98","80","      Other recreational services (81, 94, and part of 92)","DOTRRX1","22,647.0","24,557.0","25,894.0","28,063.0","30,049.0","31,216.0","30,750.0","31,114.0","31,377.0","32,281.0","33,362.0","34,108.0","35,754.0","34,866.0","33,290.0"
"99","81","    Food services and accommodations","DFSARX1","416,034.0","418,778.0","428,042.0","439,192.0","450,032.0","470,546.0","469,889.0","477,229.0","493,562.0","508,751.0","525,308.0","541,601.0","551,205.0","547,552.0","527,732.0"
"100","82","      Food services","DFSERX1","365,187.0","365,755.0","370,940.0","381,391.0","390,883.0","408,032.0","411,282.0","417,283.0","431,005.0","443,097.0","455,317.0","469,623.0","477,707.0","472,139.0","456,464.0"
"101","83","        Purchased meals and beverages (102)","DPMBRX1","355,379.0","355,915.0","361,094.0","371,494.0","380,876.0","397,897.0","401,015.0","406,907.0","420,328.0","432,158.0","443,529.0","456,632.0","464,533.0","459,243.0","443,608.0"
"102","84","        Food furnished to employees (including military) (103)","DFOORX1","9,790.0","9,821.0","9,832.0","9,890.0","10,003.0","10,137.0","10,268.0","10,377.0","10,678.0","10,940.0","11,789.0","12,990.0","13,173.0","12,894.0","12,856.0"
"103","85","      Accommodations (104)","DACCRX1","50,601.0","52,873.0","57,046.0","57,729.0","59,075.0","62,432.0","58,559.0","59,902.0","62,527.0","65,646.0","69,991.0","71,979.0","73,494.0","75,379.0","71,179.0"
"104","86","    Financial services and insurance","DIFSRX1","489,422.0","507,760.0","525,226.0","558,634.0","605,623.0","665,381.0","660,732.0","658,334.0","657,795.0","691,776.0","712,619.0","735,436.0","766,388.0","770,934.0","743,014.0"
"105","87","      Financial services","DFNLRX1","251,829.0","277,953.0","293,928.0","319,608.0","360,511.0","404,977.0","399,494.0","399,293.0","393,167.0","414,573.0","427,208.0","448,056.0","478,039.0","486,211.0","470,057.0"
"106","88","        Financial services furnished without payment (107)","DIMPRX1","179,897.0","195,034.0","199,817.0","201,733.0","210,012.0","216,850.0","218,366.0","214,077.0","202,309.0","217,942.0","220,041.0","222,260.0","237,931.0","254,095.0","244,169.0"
"107","89","        Financial service charges, fees, and commissions (108)","DOFIRX1","79,822.0","90,598.0","100,483.0","121,348.0","151,664.0","187,869.0","180,958.0","185,069.0","190,930.0","196,612.0","207,168.0","225,707.0","240,028.0","232,038.0","225,876.0"
"108","90","      Insurance","DINSRX1","250,750.0","237,668.0","237,439.0","243,423.0","246,110.0","259,560.0","260,837.0","258,472.0","264,679.0","277,203.0","285,411.0","287,393.0","288,461.0","284,885.0","273,148.0"
"109","91","        Life insurance (110)","DLIFRX1","88,765.0","79,966.0","80,460.0","77,344.0","74,969.0","79,739.0","75,751.0","66,780.0","65,165.0","73,412.0","76,502.0","78,693.0","78,876.0","77,664.0","71,697.0"
"110","92","        Net household insurance (111)","DFINRX1","6,231.0","6,323.0","5,726.0","6,530.0","6,571.0","6,546.0","6,517.0","5,960.0","5,529.0","6,051.0","6,167.0","5,993.0","6,922.0","7,012.0","6,698.0"
"111","93","        Net health insurance (112)","DHINRX1","102,544.0","97,888.0","96,495.0","103,510.0","107,764.0","116,119.0","120,701.0","128,627.0","137,158.0","139,749.0","145,128.0","145,263.0","145,360.0","144,607.0","141,370.0"
"112","94","        Net motor vehicle and other transportation insurance (116)","DTINRX1","52,470.0","52,713.0","53,786.0","55,155.0","55,957.0","56,215.0","57,177.0","57,047.0","57,080.0","58,035.0","57,614.0","57,435.0","57,303.0","55,585.0","53,196.0"
"113","95","    Other services","DOTSRX1","524,266.0","541,943.0","574,050.0","621,661.0","656,729.0","704,151.0","732,613.0","737,029.0","755,690.0","773,452.0","781,599.0","808,301.0","828,824.0","826,538.0","816,974.0"
"114","96","      Communication","DCOMRX1","89,355.0","97,492.0","107,523.0","117,713.0","132,862.0","152,991.0","163,218.0","167,474.0","171,454.0","179,410.0","185,216.0","199,474.0","217,238.0","222,897.0","221,989.0"
"115","97","        Telecommunication services (71)","DTCSRX1","77,172.0","83,913.0","92,856.0","101,226.0","111,927.0","125,348.0","134,657.0","136,144.0","137,072.0","142,122.0","146,067.0","156,796.0","160,010.0","162,614.0","159,791.0"
"116","98","        Postal and delivery services (68)","DPSSRX1","11,614.0","11,990.0","12,160.0","12,255.0","11,957.0","11,877.0","11,099.0","10,308.0","9,378.0","9,326.0","9,261.0","8,968.0","8,950.0","8,482.0","7,580.0"
"117","99","        Internet access (72)","DINTRX1","1,719.0","2,774.0","3,568.0","5,175.0","9,675.0","16,329.0","17,792.0","21,207.0","25,055.0","27,971.0","29,888.0","33,776.0","50,513.0","54,961.0","58,915.0"
"118","100","      Education services","DTEDRX1","152,985.0","157,383.0","161,756.0","166,497.0","170,363.0","176,329.0","179,587.0","175,541.0","174,224.0","170,732.0","170,422.0","171,561.0","174,233.0","176,818.0","177,621.0"
"119","101","        Higher education (97)","DHEDRX1","93,123.0","95,668.0","98,956.0","102,329.0","105,513.0","109,913.0","112,957.0","110,929.0","111,022.0","108,795.0","108,837.0","109,272.0","110,237.0","112,140.0","113,919.0"
"120","102","        Nursery, elementary, and secondary schools (98)","DNEHRX1","34,235.0","34,188.0","33,521.0","32,691.0","32,678.0","32,494.0","32,606.0","32,016.0","31,849.0","31,856.0","31,782.0","31,989.0","32,478.0","32,549.0","32,334.0"
"121","103","        Commercial and vocational schools (99)","DVEDRX1","25,502.0","27,390.0","29,140.0","31,369.0","32,085.0","33,884.0","34,033.0","32,610.0","31,375.0","30,082.0","29,803.0","30,301.0","31,535.0","32,143.0","31,317.0"
"122","104","      Professional and other services (121)","DPRSRX1","127,752.0","129,977.0","132,060.0","136,098.0","139,295.0","140,120.0","142,977.0","142,809.0","148,387.0","149,188.0","149,435.0","149,974.0","152,477.0","151,138.0","143,883.0"
"123","105","      Personal care and clothing services (14 and parts of 17 and 118)","DPERRX1","74,813.0","76,969.0","80,727.0","85,274.0","89,193.0","93,456.0","92,836.0","94,627.0","97,653.0","103,898.0","105,925.0","108,479.0","110,375.0","109,702.0","105,842.0"
