"","Table 6#4C# Full-Time and Part-Time Employees by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"40","33","        Chemicals and allied products","B4233C0C",1026,1062,1075,1089,1083,1082,1074,1056,1039,1033,1037,1040,1037,1038,1017
"41","34","        Petroleum and coal products","B4234C0C",161,158,155,156,158,155,150,147,143,139,137,135,131,126,124
"42","35","        Rubber and miscellaneous plastics products","B4235C0C",856,867,890,892,866,879,912,954,979,981,1000,1018,1012,1017,954
"43","36","        Leather and leather products","B4236C0C",148,147,144,137,128,122,121,116,108,99,92,87,79,72,63
"44","37","    Transportation and public utilities","A4237C0C",5415,5556,5665,5820,5787,5752,5867,6054,6172,6293,6466,6679,6896,7111,7118
"45","38","      Transportation","A4238C0C",3208,3344,3463,3555,3534,3530,3651,3828,3956,4063,4175,4341,4480,4589,4558
"46","39","        Railroad transportation","B4239C0C",287,278,273,260,251,243,238,233,232,223,220,223,221,212,203
"47","40","        Local and interurban passenger transit","B4240C0C",314,329,345,354,362,369,385,407,420,440,457,473,489,500,506
"48","41","        Trucking and warehousing \2\","B4241C0C",1501,1374,1406,1421,1403,1407,1474,1562,1620,1659,1709,1777,1848,1885,1877
"49","42","        Water transportation","B4242C0C",173,172,173,178,185,176,174,179,178,177,182,185,188,194,192
"50","43","        Transportation by air \2\","B4243C0C",605,847,900,967,959,958,986,1025,1068,1119,1140,1199,1245,1297,1286
"51","44","        Pipelines, except natural gas","B4244C0C",18,18,18,18,19,19,19,17,15,14,14,13,13,13,14
"52","45","        Transportation services","B4245C0C",310,326,348,357,355,358,375,405,423,431,453,471,476,488,480
"53","46","      Communications","A4246C0C",1285,1283,1266,1315,1296,1269,1269,1293,1309,1348,1420,1477,1553,1665,1700
"54","47","        Telephone and telegraph","B4247C0C",959,943,916,951,937,909,904,916,916,936,1003,1046,1107,1195,1220
"55","48","        Radio and television","B4248C0C",326,340,350,364,359,360,365,377,393,412,417,431,446,470,480
"56","49","      Electric, gas, and sanitary services","B4249C0C",922,929,936,950,957,953,947,933,907,882,871,861,863,857,860
"57","50","    Wholesale trade","B4250C0C",5976,6128,6360,6294,6138,6131,6056,6235,6476,6560,6750,6918,6992,7104,6832
"58","51","    Retail trade","B4251C0C",19057,19662,20164,20214,19903,20025,20433,21160,21868,22256,22636,22991,23542,24049,24147
"59","52","    Finance, insurance, and real estate","A4252C0C",6705,6796,6840,6870,6834,6769,6873,7021,6929,7053,7257,7533,7705,7743,7856
"60","53","      Depository institutions","B4253C0C",2271,2263,2271,2251,2167,2105,2078,2068,2023,2017,2033,2046,2049,2036,2047
"61","54","      Nondepository institutions","B4254C0C",372,371,368,374,379,410,461,488,464,514,574,662,709,686,716
"62","55","      Security and commodity brokers","B4255C0C",470,465,451,445,441,461,495,543,553,581,630,681,727,797,820
"63","56","      Insurance carriers","B4256C0C",1427,1449,1470,1506,1533,1519,1515,1522,1500,1505,1526,1574,1608,1585,1583
"64","57","      Insurance agents, brokers, and service","B4257C0C",641,675,687,695,706,690,699,723,732,746,767,788,795,800,820
"65","58","      Real estate","B4258C0C",1308,1345,1357,1359,1357,1341,1372,1422,1410,1442,1481,1532,1567,1581,1615
"66","59","      Holding and other investment offices","B4259C0C",216,228,236,240,251,243,253,255,247,248,246,250,250,258,255
"67","60","    Services","A4260C0C",26305,27521,28949,30086,30252,31313,32652,33684,35172,36517,38010,39584,40975,42337,42412
"68","61","      Hotels and other lodging places","B4261C0C",1535,1613,1685,1730,1678,1661,1680,1713,1757,1794,1833,1869,1935,1981,1942
"69","62","      Personal services","B4262C0C",1202,1179,1200,1232,1230,1247,1271,1276,1301,1318,1326,1339,1363,1387,1414
"70","63","      Business services","B4263C0C",4395,4707,5037,5289,5148,5412,5889,6351,6935,7485,8147,8779,9438,10048,9622
"71","64","      Auto repair, services, and parking","B4264C0C",904,941,981,1022,975,980,1036,1075,1132,1205,1248,1273,1326,1366,1388
"72","65","      Miscellaneous repair services","B4265C0C",336,363,384,402,351,357,374,350,374,389,389,395,390,381,384
"73","66","      Motion pictures","B4266C0C",338,350,389,409,407,408,422,459,507,539,569,592,612,609,589
"74","67","      Amusement and recreation services","B4267C0C",1011,1040,1111,1166,1183,1244,1323,1420,1516,1590,1664,1728,1783,1856,1811
"75","68","      Health services","B4268C0C",7024,7315,7697,8061,8437,8788,9075,9318,9572,9813,10038,10222,10359,10483,10775
"76","69","      Legal services","B4269C0C",909,969,1017,1043,1043,1047,1058,1059,1056,1064,1084,1114,1142,1163,1188
"77","70","      Educational services","B4270C0C",1633,1690,1738,1771,1819,1907,1968,2024,2073,2113,2183,2271,2350,2442,2536
"78","71","      Social services and membership organizations","A4271C0C",3175,3402,3620,3841,3969,4064,4288,4478,4618,4759,4951,5195,5387,5581,5671
"79","72","        Social services","B4272C0C",1515,1620,1736,1849,1960,2072,2204,2328,2435,2515,2622,2751,2859,2992,3143
"80","73","        Membership organizations","B4273C0C",1660,1782,1884,1992,2009,1992,2084,2150,2183,2244,2329,2444,2528,2589,2528
"81","74","      Other services \3\","B4274C0C",2299,2469,2664,2788,2700,2764,2845,2877,3050,3202,3345,3527,3639,3832,3971
"82","75","      Private households","B4275C0C",1544,1483,1426,1332,1312,1434,1423,1284,1281,1246,1233,1280,1251,1208,1121
"83","76","  Government","A4276C0C",20550,20906,21284,21779,21802,21839,21853,21911,21965,21935,22053,22262,22541,23009,23434
"84","77","    Federal","A4277C0C",6475,6470,6483,6532,6349,6177,5931,5720,5560,5387,5265,5194,5141,5237,5076
"85","78","      General government","A4278C0C",5493,5465,5471,5520,5356,5211,4977,4748,4570,4397,4275,4200,4146,4260,4114
"86","79","        Civilian","B4279C0C",2190,2192,2207,2315,2211,2231,2177,2100,2026,1951,1899,1878,1855,1976,1825
"87","80","        Military \4\","B4280C0C",3303,3273,3264,3205,3145,2980,2800,2648,2544,2446,2376,2322,2291,2284,2289
"88","81","      Government enterprises","B4281C0C",982,1005,1012,1012,993,966,954,972,990,990,990,994,995,977,962
"89","82","    State and local","A4282C0C",14075,14436,14801,15247,15453,15662,15922,16191,16405,16548,16788,17068,17400,17772,18358
"90","83","      General government","A4283C0C",13258,13608,13955,14382,14581,14835,15095,15342,15549,15704,15954,16227,16546,16903,17382
"91","84","        Education","B4284C0C",6992,7257,7458,7668,7785,7885,8067,8223,8388,8522,8736,8928,9149,9383,9623
"92","85","        Other \1\","B4285C0C",6266,6351,6497,6714,6796,6950,7028,7119,7161,7182,7218,7299,7397,7520,7759
"93","86","      Government enterprises \1\","B4286C0C",817,828,846,865,872,827,827,849,856,844,834,841,854,869,976
"94","87","Rest of the world \5\","A4287C0C",-66,-75,-83,-82,-82,-88,-475,-527,-526,-485,-522,-512,-567,-580,-608
"95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96"," 1. Beginning with 2001, reflects the reclassification of employees in Indian tribal governments from the private sector in ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","accordance with the Consolidated Appropriations Act of 2001.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98"," 2. Reflects the reclassification of air couriers from trucking and warehousing to transportation by air.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99"," 3. Consists of museums, botanical and zoological gardens; engineering and management services; and services, not elsewhere ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101"," 4. Includes Coast Guard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102"," 5. Beginning with 1993, includes estimates of foreign professional workers and undocumented Mexican migratory workers employed ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","temporarily in the United States.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","  Note.  Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
