"","Table 3#8# Real Government Consumption Expenditures and Gross In","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19"
"36","29","    Durable goods \2\","B989RX",9.7,10,10.5,10.9,11.5,12.1,12.3,12.4,12.7,13.1,13.9,15,16.1,17.2,18.3,19.3
"37","30","    Nondurable goods","B337RX",51.6,53.2,55.5,57.8,61.4,65,68.6,72.8,75.6,79.9,82.3,88.4,96.2,103,108.7,113
"38","31","    Services","A988RX",516.2,533.8,552,570.3,580.4,590.6,599.4,612.3,623.1,633.6,649.5,668.8,689.8,712,731.1,750.5
"39","32","      Compensation of general government employees, except own-account investment \3\","B987RX",465,480.5,493.9,507.1,510.7,516.5,521.6,527.9,536.5,542.3,550.9,559.9,566.4,577.6,589.6,601.7
"40","33","      Consumption of general government fixed capital \4\","B986RX",45.8,47.7,50,52.7,55.2,57.6,60,62.5,65.3,68.2,71.7,75.7,80.2,84.6,88.7,92.6
"41","34","      Other services","B575RX",10.7,11.1,12.3,13.6,15.8,17.1,18.2,21.8,21.3,23,26.8,33,43.1,49.9,53.2,56.8
"42","35","  Gross investment","A799RX",118.8,125,131.8,142.2,145.5,147.4,146.6,151.4,158.6,163.8,180.2,185.8,201.4,206.5,212.8,218.6
"43","36","    Structures","A842RX",99.9,104.3,106.5,114.5,118.3,118.7,116.1,117,120.9,122.5,134.7,134,143.8,145.2,148.6,154.9
"44","37","    Equipment and software","B881RX",20.3,21.9,26,28.4,28.1,29.4,31,34.6,37.8,41.3,45.4,52.3,58.4,62.7,65.9,64.6
"45","38","Residual","A979RX",-7.5,-7.4,-5.8,-4.4,-2.5,-1.3,-1.1,-0.5,-0.6,0,0,-1.1,-3,-5.1,-6.8,-7
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","39","  Compensation of general government employees \3\","A194RX",723.1,738.6,753,769.2,772.2,769.3,767.1,763.5,761.3,759.4,763.4,769.4,773.2,786.2,800.5,817
"48","40","    Federal","B568RX",255.9,255.5,255.8,258.4,257.6,248.6,240.8,230.4,219,211,205.7,202.6,199.4,201.4,201.6,205.7
"49","41","    State and local \5\","B251RX",469.5,485.2,499,512.4,516.2,521.9,527.1,533.6,542.4,548.4,557.7,566.8,573.8,584.9,598.9,611.3
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","  Note.  Chained (1996) dollar series are calculated as the product of the chain-type quantity index and the 1996 current-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","value of the corresponding series, divided by 100.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","The residual line is the difference between the first line and the sum of the most detailed lines, excluding the lines in the ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","addenda.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","  See footnotes to table 3.7.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","  Chain-type quantity indexes for the series in this table are shown in table 7.11.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","  Contributions to percent change in real government consumption expenditures and gross investment are shown in table 8.6.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
