"","Table 2#9# Personal Income and Its Disposition","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"11",NA,"  Less: Personal outlays"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","4","          Total","A068RC",324.7,339.8,350.5,372.2,392.7,422.4,456.2,494.6,522.3,573.6,622.3,667,721.6,791.7,876.5,957.9,1056.2,1177.8,1310.4,1469.4,1642.4,1814.1,2004.2,2144.6,2358.2,2581.1,2803.9,2994.7,3206.7,3460.1,3714.4,3959.3,4103.2,4340.9,4584.5,4849.9,5120.2,5405.6,5715.3,6054.1,6453.3,6918.6,7223.5,7524.5
"13","5","            Personal consumption expenditures","A002RC",318.1,332.3,342.7,363.8,383.1,411.7,444.3,481.8,508.7,558.7,605.5,648.9,702.4,770.7,852.5,932.4,1030.3,1149.8,1278.4,1430.4,1596.3,1762.9,1944.2,2079.3,2286.4,2498.4,2712.6,2895.2,3105.3,3356.6,3596.7,3831.5,3971.2,4209.7,4454.7,4716.4,4969,5237.5,5529.3,5856,6246.5,6683.7,6987,7303.7
"14","6","            Interest paid by persons","B069RC",6.1,7,7.3,7.8,8.9,10,11.1,12,12.5,13.8,15.7,16.8,17.8,19.6,22.4,24.2,24.5,26.6,30.7,37.5,44.5,49.4,54.6,58.8,65,75,83.2,90.6,91.5,92.9,106.4,115.8,118.9,118.7,115.4,117.9,134.7,149.9,164.8,173.7,179.5,205.4,205.4,188.4
"15","7","            Personal transfer payments to the rest of the world (net)","B070RC",0.5,0.5,0.5,0.5,0.7,0.7,0.8,0.8,1,1,1.1,1.3,1.3,1.4,1.5,1.3,1.3,1.3,1.3,1.5,1.6,1.8,5.5,6.5,6.8,7.7,8.1,9,9.9,10.6,11.4,12,13,12.5,14.4,15.6,16.5,18.2,21.2,24.3,27.3,29.5,31.1,32.3
"16","8","  Equals: Personal saving","A071RC",26.5,26.4,31.9,33.5,33.1,40.5,42.7,44.5,54,52.7,52.6,69.5,80.1,76.9,102.5,114.3,125.2,122.1,125.6,145.4,165.8,205.6,243.7,262.2,227.8,306.5,282.6,267.8,252.8,292.3,301.8,334.3,371.7,413.7,350.8,315.5,302.4,272.1,252.9,301.5,174,201.5,169.7,291
"17",NA,"Disposable personal income"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","9","  Total, billions of chained (1996) dollars \1\","A067RX",1623.8,1664.8,1720,1803.5,1871.5,2006.9,2131,2244.6,2340.5,2448.2,2524.3,2630,2745.3,2874.3,3072.3,3051.9,3108.5,3243.5,3360.7,3527.5,3628.6,3658,3741.1,3791.7,3906.9,4207.6,4347.8,4486.6,4582.5,4784.1,4906.5,5014.2,5033,5189.3,5261.3,5397.2,5539.1,5677.7,5854.5,6168.6,6328.4,6630.3,6748,7036.8
"19",NA,"  Per capita:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","10","    Current dollars","A229RC",1983,2026,2081,2174,2249,2412,2567,2742,2899,3119,3329,3591,3860,4138,4619,5013,5470,5960,6519,7253,8033,8869,9773,10364,11036,12215,12941,13555,14246,15312,16235,17176,17669,18527,18981,19626,20361,21072,21887,23037,23749,25237,25957,27188
"21","11","    Chained (1996) dollars \1\","A229RX",9167,9210,9361,9666,9886,10456,10965,11417,11776,12196,12451,12823,13218,13692,14496,14268,14393,14873,15256,15845,16120,16063,16265,16328,16673,17799,18229,18641,18870,19522,19833,20058,19873,20220,20235,20507,20798,21072,21470,22359,22678,23501,23692,24479
"22","12","Population (mid-period, thousands) \2\","B230RC",177130,180760,183742,186590,189300,191927,194347,196599,198752,200745,202736,205089,207692,209924,211939,213898,215981,218086,220289,222629,225106,227726,230008,232218,234332,236394,238506,240682,242842,245061,247387,249983,253253,256634,260011,263194,266327,269448,272687,275891,279062,282128,284822,287456
"23","13","Personal saving as a percentage of disposable personal income","A072RC",7.6,7.2,8.3,8.3,7.8,8.8,8.6,8.3,9.4,8.4,7.8,9.4,10,8.9,10.5,10.7,10.6,9.4,8.7,9,9.2,10.2,10.8,10.9,8.8,10.6,9.2,8.2,7.3,7.8,7.5,7.8,8.3,8.7,7.1,6.1,5.6,4.8,4.2,4.7,2.6,2.8,2.3,3.7
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25"," 1. Equals disposable personal income deflated by the implicit price deflator for personal consumption expenditures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2.  Population is the total population of the United States, including the Armed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Forces overseas and the institutionalized population.  The monthly estimate is",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","the average of the estimates for the first of the month and the first of the",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","following month; the annual estimate is the average of the monthly estimates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
