"","Table 7#4# Chain-Type Quantity and Price Indexes for Personal Co","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77"
"14","6","Nondurable goods","B004RA",17.27,16.46,16.38,15.04,14.82,16.08,17.05,19.05,19.73,20.01,21.04,21.98,23.46,23.87,24.67,25.64,27.49,29,28.21,28.3,28.74,29.64,30.42,31.63,32.63,33.04,34.64,35.82,36.48,36.83,38.35,38.93,39.64,40.89,41.75,43.8,46.12,48.65,49.42,51.67,53.05,54.32,55.3,57.73,59.62,58.42,59.28,62.17,63.67,66.05,67.81,67.71,68.51,69.17,71.47,74.31,76.33,79.07,80.97,83.55,85.83,87.01,86.65,88.29,90.87,94.35,97.14,100,102.91,107.14,112.14,116.5,118.79,122.58
"15","7","  Food","B168RA",19.98,19.64,19.73,18.51,18.79,20.73,21.89,24.9,26.08,26.57,27.32,28.57,30.05,30.72,31.53,33.81,36.35,38.06,36.68,36.21,36.46,37.14,38.17,39.42,40.91,41.69,43.46,44.85,45.76,45.76,47.37,47.73,48.27,48.88,49.43,51.4,54.26,56.51,57.23,60.01,61.55,63.46,64.05,66.1,66.3,65.26,66.88,70.35,71.7,72.44,73.87,74.49,74.57,75.77,77.95,79.63,81.58,83.42,84.56,87.88,89.52,91.92,91.79,92.32,94.81,97.32,98.86,100,101.08,104.25,107.75,111.84,112.85,114.8
"16","8","  Clothing and shoes","B169RA",14.68,13.2,13,11.56,10.37,10.94,11.84,12.9,12.78,12.96,13.99,14.44,15.54,16.21,17.69,17.12,17.71,18.15,17.34,17.5,17.57,18.01,17.94,18.93,19.13,19.17,20.12,20.65,20.51,20.71,21.76,21.95,22.36,23.37,23.79,25.67,26.73,28.53,28.69,29.9,30.44,30.06,31.5,33.62,35.97,35.47,36.68,38.41,40.49,44.53,46.85,47.97,50.9,51.69,55.52,60.23,63.04,68.08,70.52,72.64,76.79,76.27,76.51,80.76,84.51,89.56,94.48,100,105.05,112.32,120.69,127.39,130.61,138.07
"17","9","  Gasoline, fuel oil, and other energy goods","A173RA",19.48,19.37,18.92,17.74,18.15,19.08,20.05,21.67,22.54,22.28,23.89,25.48,27.55,23.71,19.38,19.5,22.79,32.07,33.98,35.29,35.35,37.15,39.12,40.77,41.81,42.98,46.39,48.37,49.56,51.79,53.04,53.8,53.58,55.28,57.22,60.14,62.98,66.42,68.1,70.99,74.05,76.84,79.47,83.47,88.3,81.17,82.88,87.42,89.03,90.55,88.37,80.65,79.64,79.67,81.24,83.41,84.97,88.98,90.93,92.82,93.58,90.31,87.57,89.96,92.64,94.78,97.29,100,102.41,104.54,108.11,107.11,108.21,112.75
"18","10","    Gasoline and oil","B170RA",9.61,9.7,10.1,9.31,9.33,9.94,10.54,11.39,12.26,12.61,13.44,14.25,15.89,11.98,7.6,7.84,10.33,18.74,19.94,21.21,23.07,23.92,26,28.15,29.7,30.64,33.31,35.33,36.69,38.43,40.4,41.79,42.22,44.01,45.36,47.84,50.1,53.23,54.96,58.79,62.74,66.62,69.85,72.69,76.47,72.71,74.87,77.87,80.25,82.1,81,76.38,77.54,78.5,80.26,82.78,84.4,88.5,90.87,92.57,93.72,91.11,88.13,90.57,92.97,94.59,96.83,100,103.19,106.15,109.89,109.29,111.75,116.83
"19","11","    Fuel oil and coal","B171RA",134.54,131.45,119.3,114.17,120.1,124.11,128.76,139.26,137.87,127.93,138.6,149.21,153.8,158.07,161.04,159.41,170.25,183.12,192.87,193.81,170.97,183.72,183.31,178.15,172.17,175.53,186.54,186.92,185.34,192.39,183.79,176.01,167.57,167.18,175.43,182.31,190.86,196.4,196.49,186.04,176.29,164.02,158.43,174.2,189.13,149.24,146.46,164.51,159.24,158,146.81,113.5,95.23,88.35,88.48,88.12,89.17,92.47,91.26,94.67,92.38,83.88,83.07,85.03,89.95,96.28,101.03,100,96.18,91.96,94.11,90.05,81.16,81.82
"20","12","  Other","B172RA",10.03,9.16,9.06,8.05,7.93,8.68,9.1,10.07,10.61,10.73,11.7,12.19,13.47,14.35,15.56,16.26,17.63,17.67,17.56,18.27,19.57,21,21.94,22.92,23.81,23.67,24.85,25.96,26.89,27.43,29.1,30.41,32,34.31,35.81,37.45,39.71,42.87,44.07,45.95,47.27,48.8,49.14,51.71,55.16,55.04,53.19,55.22,56.04,60.09,63.55,64.61,65.97,65.62,67.13,71.06,72.79,74.85,77.84,79.51,82.07,83.8,83.4,84.98,86.85,91.54,95.42,100,105.4,110.51,116.9,122.36,127.12,132.32
"21","13","Services","B005RA",10.04,9.8,9.49,8.88,8.6,8.92,9.2,9.67,10,9.89,10.2,10.56,11.09,11.57,12.16,12.57,13,14.23,14.94,15.52,15.91,16.71,17.5,18.28,19.08,19.86,20.88,21.95,22.79,23.66,24.9,25.99,27.04,28.38,29.67,31.47,33.15,34.83,36.54,38.42,40.24,41.87,43.46,45.86,48.02,49.07,50.73,53.13,55.48,58.12,59.99,60.99,61.9,62.96,66.06,68.84,72.44,74.86,78.09,81.3,83.56,85.86,87.03,89.59,91.98,94.72,97.26,100,103.28,107.43,111.43,115.67,117.98,120.63
"22","14","  Housing","B174RA",9.06,8.94,8.84,8.67,8.5,8.96,9.04,9.2,9.36,9.51,9.74,10.04,10.61,11.12,11.56,12,12.27,13.31,14.47,15.27,16.24,17.37,18.66,19.89,20.97,22,23.13,24.28,25.53,26.73,28.16,29.62,31.03,32.77,34.27,35.89,37.85,39.56,41.33,43.34,45.65,47.44,49.49,52.08,54.67,57.5,59.16,60.93,62.43,65.47,68.09,70.09,71.65,71.89,73.39,76.22,78.97,81.03,83.47,85.87,88.01,90.12,91.87,93.11,94.25,96.97,98.86,100,101.9,104.68,108.08,110.19,112.09,113.92
"23","15","  Household operation","B186RA",9.41,9.43,9.1,8.4,8.03,8.59,8.98,9.58,10.11,9.99,10.57,11.16,11.49,12.2,12.1,12.49,13.04,13.45,14.43,15.13,15.71,17.09,18.18,18.72,19.61,20.36,22.37,23.93,24.86,25.73,26.8,28.09,29.09,30.51,31.81,33.37,35.05,36.92,38.77,40.39,42.48,43.99,44.76,47.13,49.51,50.02,52.45,54.76,57.8,60.8,62.49,63.94,63.37,63.82,65.86,67.47,70.19,71.66,75.01,78.24,81.08,81.87,82.86,84.33,88.99,92.34,95.81,100,103.21,108.28,113.07,119.08,120.6,121.25
"24","16","    Electricity and gas","B175RA",4.23,4.58,4.75,4.76,4.59,4.78,5.02,5.31,5.63,5.81,6.09,6.57,6.88,7.36,7.64,8.11,8.66,9.8,11.05,12.21,13.25,15.07,16.89,18.37,19.78,21.71,23.39,25.47,27.08,28.58,30.27,31.93,33.56,35.88,37.6,39.63,41.52,43.83,46.3,48.96,51.91,54.37,56.06,59.31,61.03,61.77,65.23,67.57,70.88,73.99,74.52,76.6,75.3,76.26,78.49,78.97,81.11,80.24,83.06,87.25,89.1,87.61,90.36,89.86,94.93,95.39,97.34,100,99.07,101.7,102.79,106.45,104.46,105.95
"25","17","    Other household operation","B176RA",13.48,13.07,12.15,10.68,10.17,11.06,11.53,12.36,13.03,12.54,13.34,13.93,14.19,15.02,14.55,14.84,15.34,15.21,15.94,16.31,16.57,17.61,18.21,18.18,18.73,18.78,20.89,22.1,22.62,23.1,23.79,24.83,25.44,26.32,27.34,28.59,30.08,31.63,33.09,34.11,35.69,36.69,36.99,38.81,41.37,41.74,43.51,45.73,48.51,51.38,53.77,54.78,54.74,54.82,56.71,59.24,62.43,65.65,69.41,71.95,75.5,77.92,77.67,80.52,84.9,90.26,94.77,100,106.04,112.77,119.99,127.59,131.68,131.76
"26","18","  Transportation","B177RA",12.12,10.76,9.57,8.47,8.43,8.92,9.11,10.23,10.81,10.28,11.05,11.84,13.25,14.11,17.25,18.74,20.24,24.15,23.96,23.99,23.02,22.8,23.87,24.11,24.88,24.62,25.35,26.72,27.19,26.62,27.67,28.58,28.86,29.96,31.19,32.86,34.33,36.51,38.76,41.14,43.45,44.76,46.37,49.28,50.52,50.8,51.7,53.88,57.64,59.35,61.3,58.22,56.38,55.57,59.27,65.13,71.24,74.02,76.86,80.69,81.52,80.98,76.89,79.88,82.48,88.26,93.86,100,105.69,109.6,114.96,118.14,117.24,116.86
"27","19","  Medical care","B494RA",5.99,5.85,5.76,5.43,5.02,5.15,5.19,5.52,5.67,5.58,5.9,6.08,6.35,6.65,6.72,7.22,7.41,8.6,9.62,10.53,10.93,11.56,12.19,12.83,13.51,14.34,14.85,15.8,16.68,17.79,19.09,19.69,20.42,22.09,23.43,26,27.19,28.49,29.5,31.84,34.19,36.14,38.68,41.3,44.27,46.06,48.52,50.83,53.31,55.54,57.8,59.87,62.85,63.68,66.23,68.17,70.84,73.65,77.47,81.03,83.31,87.29,90.17,93.98,95.21,96.16,97.95,100,102.58,105.31,107.51,110.52,115.21,120.16
"28","20","  Recreation","A490RA",8.78,8.72,8.51,6.96,6.65,7.18,7.61,8.35,8.9,8.43,8.68,9.37,9.88,10.7,11.43,11.27,11.95,13.82,13.11,12.75,12.54,12.53,12.64,12.85,12.99,13.27,13.87,14.53,14.13,14.07,14.96,15.81,16.59,17.45,18.21,18.89,19.4,20.33,20.86,22.17,23.42,24.37,25.26,26.57,28.75,30.78,32.46,34.76,36.93,38.48,40.05,41.69,45.07,47.77,51.55,54.36,58.23,60.5,62.89,68.41,72.84,75.88,75.64,80.86,85.29,88.59,95.12,100,104.66,109.36,114.3,118.56,122.07,124.31
"29","21","  Other","B178RA",16.39,15.86,15.22,13.91,13.4,13.18,14.01,14.73,15.26,14.87,14.93,15.08,15.61,15.64,16.57,16.68,17.05,18.14,18.5,18.9,18.95,19.61,19.76,20.53,21.21,22.17,23.06,23.89,24.63,25.72,26.98,27.96,29.18,29.91,31.11,33.21,35.42,37.35,39.73,41.26,41.88,43.39,44.29,46.44,47.52,46.1,46.9,50.11,52.47,55.4,56.26,56.08,55.38,57.98,63.53,66.74,71.82,74.7,78.47,81.44,83.35,85.51,86.25,88.55,91.88,95.32,96.99,100,104.47,111.1,116.73,124.08,125.12,127.83
"30",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","22","  Energy goods and services \1\","BA02RA",12.03,12.23,12.16,11.63,11.69,12.25,12.87,13.83,14.45,14.46,15.4,16.48,17.67,16.16,14.24,14.59,16.54,21.85,23.53,24.81,25.36,27.21,29.15,30.75,31.98,33.53,36.17,38.23,39.63,41.53,43.01,44.2,44.87,46.9,48.76,51.3,53.73,56.69,58.74,61.55,64.58,67.24,69.46,73.17,76.59,72.9,75.36,78.94,81.33,83.6,82.59,78.74,77.62,78.03,79.87,81.28,83.1,84.72,87.12,90.19,91.5,89.07,88.92,89.93,93.76,95.08,97.31,100,100.8,103.18,105.51,106.67,106.37,109.48
"32","23","  Personal consumption expenditures less food and energy","BA03RA",10.15,9.41,8.99,8.06,7.74,8.21,8.75,9.52,9.82,9.49,10.13,10.66,11.52,11.07,11.54,11.62,12.2,14.05,14.7,15.25,15.82,17.14,17.21,17.71,18.66,19,20.6,21.12,21.65,21.8,23.24,24.05,24.62,26.17,27.52,29.38,31.35,33.31,34.47,36.56,37.99,38.72,40.55,43.36,46.1,46,46.89,49.77,52.32,55.24,56.94,56.88,58.05,58.75,62.57,66.71,70.6,74.02,76.83,79.98,82.32,83.97,83.82,86.72,89.7,93.43,96.52,100,104.2,109.66,115.55,120.91,124.42,128.62
"33",NA,"Chain-type price indexes"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","24","      Personal consumption expenditures","B002RG",12.38,11.85,10.57,9.32,8.99,9.41,9.63,9.72,10.07,9.84,9.75,9.83,10.43,11.72,12.8,13.53,14.07,15.07,16.62,17.57,17.44,17.66,18.85,19.23,19.5,19.68,19.76,20.16,20.77,21.29,21.63,22,22.23,22.49,22.75,23.07,23.41,24.02,24.62,25.58,26.74,28,29.2,30.22,31.86,35.14,38.01,40.08,42.73,45.78,49.83,55.21,60.08,63.48,66.19,68.63,70.99,72.72,75.49,78.44,81.86,85.63,88.91,91.62,93.81,95.7,97.9,100,101.94,103.03,104.73,107.39,109.56,111.06
"35","25","Durable goods","B003RG",23.59,22.19,19.86,17.6,17.07,18,17.9,18.01,18.74,18.8,18.61,18.78,20.13,23.47,25.54,28.61,30.15,31.4,34.23,35.96,36.4,36.6,39.03,39.4,39.09,38.23,38.08,39.01,40.51,41.28,41.97,41.77,41.86,42.05,42.2,42.4,42.03,41.83,42.48,43.89,45.1,46.09,47.77,48.28,48.98,52.08,56.84,59.99,62.61,66.2,70.6,76.54,81.62,84.76,86.38,87.58,88.59,89.69,92.21,93.49,95.14,96,97.39,98.28,99.06,100.56,101.06,100,97.75,95.4,93.03,91.46,89.7,87.19
"36","26","  Motor vehicles and parts","B165RG",11.64,11.21,10.46,9.81,9.2,9.63,9.49,9.54,9.78,10.16,9.93,9.95,10.81,13.85,14.59,15.67,15.92,19.92,22.22,23.94,24.78,24.85,26.12,27.2,26.69,25.77,26.06,27.24,28.96,30.06,31.56,30.98,31.14,31.64,31.88,32.14,31.89,31.67,32.12,33.24,33.92,34.86,36.66,36.82,37.04,39.41,43.34,46.61,49.35,52.75,56.7,60.99,65.54,68.52,70.51,72.43,74.16,76.34,79.67,80.86,83.29,83.84,86.35,88.71,91.72,95,98.37,100,99.76,98.93,99.09,99.47,99.84,98.36
"37","27","  Furniture and household equipment","B166RG",43.47,39.74,33.89,28.68,28.35,30.55,30.67,30.87,32.81,32.32,32.03,32.31,34.41,39.64,44.6,50.97,54.95,55.01,59.48,62.13,61.7,62.57,67.69,66.5,66.28,65.46,64.46,64.93,66.27,66.38,65.87,66.24,66.1,65.58,65.37,65.24,64.47,64.27,65.22,67.2,69.09,70.36,71.58,72.5,73.81,78.55,85.08,88.15,90.59,94.56,99.69,106.33,112.84,116.94,117.45,117.07,116.27,114.93,115.11,114.96,114.37,113.64,112.33,110.64,108.43,107.61,104.49,100,95.04,90.4,85.21,81.51,76.92,72.73
"38","28","  Other","B167RG",22.02,21.74,21.23,19.89,19.28,19.04,18.72,18.93,18.99,18.74,18.97,19.56,20.67,23.14,23.55,25.82,26.48,26.53,28.54,28.95,29.34,28.85,30.65,31.04,31.33,30.84,30.48,30.87,31.47,32.05,31.88,32.16,32.37,32.57,32.87,33.39,33.24,33.17,33.93,35.15,36.8,37.4,39.01,40.02,41.28,43.71,47.69,50.15,52.09,54.97,58.91,67.37,71.38,73.3,75.29,76.47,77.73,78.94,82.35,85.89,88.75,92.85,95.83,97.63,98.21,99.62,100.27,100,98.97,98.24,96.61,95.78,96.08,95.3
"39","29","Nondurable goods","B004RG",13.86,13.13,11.23,9.6,9.54,10.54,10.93,10.96,11.34,10.78,10.6,10.7,11.6,13.51,15.09,15.94,16.62,18.13,20.46,21.68,20.97,21.06,22.8,23.05,22.94,23.02,22.87,23.19,23.87,24.45,24.6,24.95,25.1,25.3,25.59,25.92,26.39,27.26,27.91,28.98,30.32,31.82,32.8,33.9,36.56,41.82,45.09,46.83,49.61,52.93,58.5,65.31,70.37,72.34,73.89,75.64,77.3,77.01,79.66,82.34,86.26,90.98,93.76,95.2,96.15,96.83,97.93,100,101.34,101.31,103.69,107.59,109.17,109.61
"40","30","  Food","B168RG",12.45,11.65,9.51,7.81,7.81,8.73,9.41,9.42,9.72,9.03,8.92,8.98,9.89,11.74,13.4,13.8,14.23,15.84,18.16,19.04,18.32,18.45,20.23,20.69,20.34,20.38,20.08,20.24,20.87,21.66,21.66,21.95,22.14,22.41,22.72,23.16,23.62,24.62,25,25.92,27.18,28.83,29.74,31.07,34.47,39.35,42.47,43.87,46.61,50.86,55.92,60.8,65.43,67.73,69.17,71.48,72.94,75.04,77.53,80.15,84.14,88.16,91.15,92.25,93.66,95.2,97.27,100,102.23,104.05,106.14,108.65,111.89,114.09
"41","31","  Clothing and shoes","B169RG",24.68,23.57,20.61,16.91,17.26,20.02,19.67,19.67,20.7,20.19,19.73,19.95,21.9,26.22,29.26,33.09,35.95,38.81,41.83,44.42,42.55,42.19,45.82,45,44.87,44.92,44.76,45.6,46.26,46.47,46.88,47.5,47.81,47.96,48.43,48.78,49.3,50.67,52.83,55.82,59.06,61.49,63.47,64.85,67.19,71.95,74.69,77.16,80.33,81.92,83.53,86.54,89.04,90.15,91.15,91.52,93.34,92.65,95.62,98.78,100.19,103.48,105.47,106.24,105.74,103.95,101.42,100,100.03,98.04,96.46,95.22,93.35,90.84
"42","32","  Gasoline, fuel oil, and other energy goods","A173RG",12.57,12.16,10.81,10.55,10.32,10.89,10.79,11.08,11.3,11.1,10.72,10.73,11.23,11.89,12.31,12.58,12.56,13.05,14.67,16.7,16.95,17.14,17.61,17.93,18.62,18.92,19.12,19.72,20.63,20.4,20.68,21.08,21.05,21.17,21.22,21.07,21.8,22.31,23.04,23.45,24.18,24.54,24.96,25.26,27.89,38.77,41.57,43.53,46.62,48.71,65.28,90.64,102.18,97.55,94,93.04,93.29,73.51,76,76.59,83.24,95.22,93.83,93.13,92.25,92.49,93.69,100,100.09,87.55,94.59,121.92,118.11,109.96
"43","33","    Gasoline and oil","B170RG",15.2,14.52,12.28,12.77,12.66,13.29,13.32,13.75,14.08,13.7,13.07,12.85,13.43,14.05,14.19,14.22,14.11,14.46,16.21,18.18,18.57,18.59,18.98,19.36,20.18,20.62,20.83,21.46,22.39,22.17,22.49,23.14,22.91,23.05,23,22.85,23.71,24.26,25.06,25.43,26.27,26.5,26.69,27.04,29.63,40.02,42.71,44.52,47.1,49.15,65.87,91.41,101.71,96.57,93.41,92.01,92.76,72.85,75.65,76.29,83.34,94.83,93.64,93.26,92.32,92.77,94.21,100,100,87.09,94.77,121.14,116.8,109.1
"44","34","    Fuel oil and coal","B171RG",7.68,7.53,7.1,6.4,6.16,6.54,6.39,6.51,6.6,6.58,6.48,6.67,6.99,7.52,7.96,8.23,8.26,8.71,9.82,11.42,11.48,11.79,12.27,12.45,12.81,12.87,13.01,13.45,14.15,13.95,14.14,14.03,14.38,14.43,14.7,14.57,14.91,15.28,15.76,16.24,16.62,17.32,18.49,18.64,21.33,33.76,37.01,39.52,44.59,46.87,62.8,87.41,106.42,105.19,98.87,101.12,97.63,78.74,78.82,79.04,82.58,98.62,95.52,92.1,91.78,90.3,89.62,100,100.78,91.54,92.66,129.05,130.74,117.7
"45","35","  Other","B172RG",13.68,13.19,12.54,11.82,11.25,11.55,11.52,11.46,11.87,11.66,11.52,11.75,12.14,13.35,14.27,15.16,15.71,16.41,18.72,19.75,19.24,19.32,20.59,20.58,20.87,20.9,21.11,21.48,22.15,22.65,23.02,23.36,23.41,23.46,23.74,23.99,24.28,24.75,25.33,26.26,27.22,28.43,29.44,30.16,30.95,33.9,37.88,39.95,42.3,44.71,47.63,51.87,56.19,60.66,64.91,67.25,69.86,72.63,75.52,78.88,83.05,87.24,91.6,95.01,96.54,97.13,98.5,100,100.88,102.91,106.96,109.4,112.01,113.97
