"","Table 5#4#5# Private Fixed Investment in Structures by Type     ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45"
"60","42","    Improvements","A946RC1","8,183.0","8,994.0","10,114.0","10,869.0","10,836.0","13,218.0","16,355.0","19,011.0","21,773.0","26,625.0","30,234.0","34,145.0","34,606.0","31,621.0","34,290.0","40,024.0","43,814.0","53,954.0","58,099.0","60,767.0","60,993.0","57,861.0","56,860.0","63,843.0","73,961.0","78,888.0","81,302.0","87,031.0","90,951.0","93,782.0","101,206.0","109,027.0","115,902.0","125,946.0","137,275.0","150,235.0","164,434.0","173,787.0","171,867.0","161,108.0","151,924.0","147,553.0"
"61","43","    Brokers' commissions on sale of structures","A758RC1","2,275.0","2,506.0","3,483.0","4,238.0","4,722.0","4,882.0","5,759.0","7,589.0","10,183.0","12,549.0","13,675.0","12,013.0","10,532.0","9,139.0","13,483.0","15,437.0","18,236.0","22,055.0","23,474.0","25,226.0","24,652.0","23,887.0","24,782.0","27,117.0","29,156.0","31,716.0","32,952.0","37,532.0","41,522.0","48,900.0","53,821.0","56,050.0","60,415.0","68,792.0","80,265.0","96,077.0","109,855.0","101,472.0","86,559.0","66,902.0","58,567.0","55,178.0"
"62","44","    Net purchases of used structures","A759RC1","-751.0","-863.0","-1,099.0","-1,124.0","-1,091.0","-893.0","-367.0","-354.0","-508.0","-665.0","-525.0","-675.0","-755.0","-842.0","-695.0","-954.0","-1,299.0","-2,311.0","-2,280.0","-964.0","-1,260.0","-1,560.0","-1,492.0","-1,506.0","-2,018.0","-1,019.0","-1,225.0","-1,713.0","-2,407.0","-3,079.0","-3,391.0","-1,308.0","-1,801.0","-3,359.0","-3,782.0","-2,413.0","-1,578.0","-2,864.0","-3,968.0","-5,094.0","-4,435.0","-5,860.0"
"63",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","45","  Private fixed investment in new structures \5\","W040RC1","77,606.0","78,798.0","94,784.0","112,207.0","124,893.0","121,194.0","116,645.0","138,962.0","172,569.0","210,230.0","242,107.0","244,428.0","276,368.0","271,052.0","290,135.0","338,610.0","360,369.0","371,148.0","380,636.0","391,312.0","403,313.0","398,440.0","359,749.0","377,459.0","409,868.0","451,726.0","471,701.0","515,774.0","552,136.0","607,679.0","651,214.0","703,638.0","731,583.0","718,457.0","774,538.0","883,792.0","1,007,228.0","1,085,699.0","1,060,402.0","986,648.0","741,849.0","655,176.0"
"65","46","    Nonresidential structures","A771RC1","37,520.0","40,197.0","42,682.0","47,192.0","54,917.0","61,101.0","61,226.0","65,836.0","74,344.0","93,249.0","117,431.0","135,951.0","167,199.0","177,358.0","154,290.0","177,223.0","194,190.0","176,277.0","173,949.0","182,329.0","193,344.0","202,794.0","183,676.0","172,659.0","177,113.0","186,557.0","206,901.0","223,864.0","248,469.0","274,263.0","283,158.0","317,193.0","325,782.0","282,629.0","281,900.0","306,009.0","350,339.0","432,733.0","524,591.0","585,797.0","450,053.0","375,270.0"
"66","47","    Residential structures","A756RC1","40,086.0","38,601.0","52,102.0","65,015.0","69,976.0","60,093.0","55,419.0","73,126.0","98,225.0","116,981.0","124,676.0","108,477.0","109,169.0","93,694.0","135,845.0","161,387.0","166,179.0","194,871.0","206,687.0","208,983.0","209,969.0","195,646.0","176,073.0","204,800.0","232,755.0","265,169.0","264,800.0","291,910.0","303,667.0","333,416.0","368,056.0","386,445.0","405,801.0","435,828.0","492,638.0","577,783.0","656,889.0","652,966.0","535,811.0","400,851.0","291,796.0","279,906.0"
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","1. Consists of office buildings, except those constructed at manufacturing sites and those constructed by power utilities for ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","their own use.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Includes all financial buildings.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","2. Includes buildings and structures used by the retail, wholesale and selected service industries.  Consists of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","auto dealerships, garages, service stations, drug stores, restaurants, mobile structures, and other structures used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","for commercial purposes.  Bus or truck garages are included in transportation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","3. Consists primarily of railroads.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","4. Includes water supply, sewage and waste disposal, public safety, highway and street, and conservation and development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","5. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
