"","Table 2#3#5# Personal Consumption Expenditures by Major Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"22","3","  Durable goods","DDURRC1","90,010.0","90,448.0","90,629.0","90,844.0","89,611.0","91,009.0","92,010.0","87,326.0","98,053.0","100,989.0","103,442.0","107,303.0","110,704.0","114,065.0","117,591.0","123,418.0","131,813.0","131,296.0","130,799.0","128,203.0","126,650.0","130,582.0","136,325.0","127,148.0","131,786.0","136,693.0","146,787.0","153,393.0","163,297.0","165,898.0","169,845.0","175,455.0","183,930.0","189,223.0","193,990.0","200,704.0","198,170.0","216,187.0","216,742.0","222,300.0","223,277.0","222,101.0","230,932.0","229,049.0","232,055.0","211,916.0","225,364.0","236,230.0","246,046.0","240,936.0","251,926.0","236,842.0","246,437.0","249,227.0","252,108.0","264,356.0","268,909.0","289,584.0","302,363.0","319,270.0","331,440.0","341,270.0","342,075.0","353,839.0","368,010.0","373,251.0","396,451.0","383,753.0","391,628.0","407,293.0","445,708.0","441,133.0","418,497.0","439,101.0","460,541.0","449,949.0","470,441.0","473,223.0","470,389.0","486,162.0","486,449.0","493,343.0","505,640.0","491,885.0","515,394.0","498,408.0","493,569.0","480,946.0","471,690.0","475,248.0","484,335.0","477,454.0","496,179.0","500,989.0","512,092.0","523,065.0","527,853.0","547,844.0","556,638.0","573,796.0","588,823.0","598,720.0","609,310.0","631,828.0","621,246.0","626,905.0","642,542.0","652,259.0","659,838.0","676,342.0","679,363.0","689,639.0","705,604.0","696,574.0","722,792.0","737,149.0","737,921.0","769,795.0","785,952.0","826,355.0","821,324.0","856,434.0","873,104.0","878,561.0","923,546.0","905,010.0","915,046.0","919,516.0","930,929.0","923,893.0","928,850.0","1,001,714.0","981,300.0","986,442.0","1,010,381.0","990,286.0","981,358.0","1,011,355.0","1,043,330.0","1,043,631.0","1,057,492.0","1,062,936.0","1,075,828.0","1,095,201.0","1,105,231.0","1,134,731.0","1,142,280.0","1,111,166.0","1,150,529.0","1,145,809.0","1,156,921.0","1,166,629.0","1,175,552.0","1,186,981.0","1,194,461.0","1,196,789.0","1,162,966.0","1,146,569.0","1,106,636.0","1,019,270.0","1,020,076.0","1,009,509.0","1,050,090.0","1,038,828.0","1,058,005.0","1,071,713.0","1,087,504.0","1,124,724.0","1,154,487.0","1,143,792.0","1,158,266.0","1,194,897.0","1,234,944.0"
"23","4","    Motor vehicles and parts","DMOTRC1","37,648.0","37,131.0","37,673.0","37,340.0","34,926.0","36,242.0","36,415.0","30,569.0","40,977.0","42,504.0","43,688.0","45,763.0","46,750.0","48,431.0","49,577.0","52,700.0","57,071.0","55,834.0","54,038.0","50,489.0","47,025.0","48,140.0","52,135.0","45,364.0","47,653.0","48,551.0","55,500.0","58,869.0","65,798.0","66,961.0","68,708.0","71,220.0","78,285.0","78,729.0","79,879.0","82,290.0","80,468.0","92,443.0","91,180.0","92,601.0","92,680.0","86,786.0","91,801.0","89,432.0","91,768.0","74,693.0","84,156.0","87,103.0","96,733.0","89,827.0","98,766.0","86,737.0","97,178.0","96,916.0","98,652.0","107,309.0","106,024.0","121,549.0","127,089.0","137,119.0","143,397.0","147,234.0","146,100.0","152,035.0","162,848.0","165,666.0","185,417.0","166,330.0","169,549.0","180,300.0","208,067.0","192,160.0","169,526.0","186,315.0","204,254.0","192,628.0","205,898.0","202,318.0","196,832.0","203,806.0","206,096.0","207,677.0","216,833.0","200,478.0","218,403.0","206,218.0","202,933.0","192,921.0","181,698.0","181,444.0","191,685.0","188,165.0","198,408.0","202,283.0","206,549.0","211,953.0","210,885.0","223,647.0","225,960.0","238,369.0","247,101.0","245,670.0","247,732.0","258,868.0","250,106.0","251,630.0","257,579.0","263,521.0","269,108.0","273,434.0","273,747.0","277,651.0","291,029.0","279,468.0","296,895.0","304,939.0","294,232.0","315,038.0","320,680.0","350,869.0","333,629.0","357,349.0","361,030.0","350,913.0","379,272.0","353,586.0","358,780.0","361,274.0","372,481.0","365,645.0","368,932.0","426,100.0","393,772.0","395,262.0","421,367.0","394,986.0","389,141.0","403,151.0","412,253.0","399,554.0","400,067.0","399,719.0","403,472.0","412,231.0","407,366.0","423,867.0","424,167.0","377,364.0","393,259.0","392,238.0","398,167.0","395,579.0","396,839.0","402,910.0","400,624.0","399,303.0","378,864.0","354,116.0","332,642.0","291,477.0","303,024.0","303,465.0","339,225.0","320,479.0","323,113.0","330,640.0","339,599.0","367,147.0","383,005.0","363,410.0","368,737.0","399,125.0","424,734.0"
"24","5","    Furnishings and durable household equipment","DFDHRC1","27,297.0","27,850.0","27,539.0","27,667.0","27,769.0","28,001.0","28,111.0","28,726.0","29,022.0","29,501.0","30,159.0","31,092.0","32,272.0","32,815.0","33,978.0","35,025.0","37,112.0","37,708.0","38,159.0","38,865.0","40,123.0","41,225.0","41,808.0","40,406.0","40,846.0","41,939.0","43,149.0","44,514.0","45,847.0","46,407.0","47,419.0","49,015.0","51,128.0","52,557.0","53,903.0","55,831.0","55,322.0","59,034.0","59,850.0","61,813.0","62,542.0","64,337.0","66,868.0","67,268.0","67,446.0","65,971.0","67,350.0","70,606.0","71,451.0","71,805.0","72,000.0","70,588.0","70,092.0","71,285.0","71,926.0","73,940.0","76,084.0","77,862.0","81,235.0","83,900.0","85,802.0","88,770.0","89,392.0","91,367.0","91,976.0","93,435.0","95,133.0","97,937.0","100,123.0","101,938.0","105,248.0","106,508.0","107,870.0","108,892.0","110,669.0","110,714.0","112,287.0","114,541.0","115,240.0","118,550.0","120,105.0","121,273.0","121,792.0","122,383.0","124,564.0","121,244.0","119,810.0","118,143.0","118,395.0","119,879.0","118,945.0","117,917.0","121,980.0","122,968.0","125,128.0","127,077.0","128,331.0","130,822.0","132,567.0","133,750.0","135,196.0","139,262.0","142,481.0","145,104.0","144,180.0","145,002.0","148,105.0","149,680.0","148,780.0","153,860.0","154,385.0","157,115.0","157,854.0","158,893.0","161,714.0","163,500.0","168,136.0","171,610.0","174,929.0","179,642.0","184,587.0","188,129.0","193,579.0","198,445.0","204,170.0","207,707.0","210,122.0","210,423.0","212,659.0","213,203.0","214,433.0","219,465.0","224,779.0","226,505.0","224,841.0","227,347.0","224,529.0","229,630.0","235,178.0","237,824.0","242,323.0","244,673.0","248,309.0","252,674.0","255,308.0","259,652.0","262,564.0","267,602.0","273,868.0","270,292.0","270,926.0","270,729.0","273,233.0","271,233.0","270,918.0","269,805.0","264,241.0","265,140.0","257,485.0","244,684.0","237,963.0","234,197.0","233,733.0","235,492.0","241,111.0","244,463.0","243,414.0","246,143.0","248,330.0","251,223.0","254,942.0","259,094.0","266,817.0"
"25","6","    Recreational goods and vehicles","DREQRC1","16,410.0","16,736.0","16,736.0","17,048.0","17,838.0","17,632.0","17,934.0","18,294.0","18,352.0","19,036.0","19,346.0","20,055.0","21,192.0","22,028.0","22,975.0","24,171.0","25,474.0","25,094.0","25,537.0","25,281.0","25,533.0","26,618.0","27,572.0","26,617.0","27,786.0","30,179.0","31,111.0","32,374.0","33,289.0","33,666.0","34,273.0","35,461.0","35,855.0","37,305.0","38,374.0","39,383.0","40,047.0","41,548.0","41,696.0","43,515.0","44,471.0","46,326.0","46,431.0","46,112.0","45,539.0","44,638.0","46,534.0","49,251.0","48,531.0","49,643.0","51,165.0","50,175.0","49,926.0","51,119.0","51,535.0","52,567.0","54,870.0","57,205.0","59,694.0","62,852.0","65,816.0","67,131.0","67,956.0","70,472.0","72,999.0","73,346.0","73,707.0","76,249.0","77,741.0","79,626.0","84,939.0","89,760.0","89,772.0","91,688.0","93,007.0","92,742.0","96,272.0","99,270.0","100,198.0","103,769.0","100,770.0","103,640.0","105,231.0","105,981.0","106,704.0","105,749.0","105,223.0","104,557.0","106,159.0","108,052.0","109,176.0","107,474.0","109,458.0","108,897.0","111,345.0","114,279.0","118,577.0","122,220.0","124,758.0","128,338.0","131,789.0","138,439.0","142,006.0","149,126.0","148,846.0","151,260.0","156,839.0","157,944.0","159,665.0","164,689.0","166,330.0","169,036.0","170,572.0","172,416.0","176,299.0","179,242.0","184,096.0","189,218.0","195,558.0","199,416.0","204,068.0","210,175.0","215,452.0","221,140.0","231,393.0","232,780.0","235,322.0","236,770.0","235,544.0","237,686.0","238,978.0","246,851.0","250,997.0","251,344.0","250,886.0","252,803.0","253,378.0","259,562.0","271,182.0","278,718.0","284,801.0","288,083.0","292,834.0","296,307.0","304,922.0","311,768.0","314,813.0","319,758.0","331,555.0","330,340.0","333,079.0","341,384.0","342,563.0","345,872.0","352,478.0","356,684.0","349,898.0","355,709.0","346,704.0","323,731.0","320,155.0","311,186.0","314,948.0","319,946.0","325,760.0","327,552.0","331,197.0","334,513.0","340,482.0","342,493.0","345,814.0","349,578.0","350,252.0"
"26","7","    Other durable goods","DODGRC1","8,655.0","8,731.0","8,681.0","8,789.0","9,078.0","9,134.0","9,550.0","9,737.0","9,702.0","9,948.0","10,249.0","10,393.0","10,490.0","10,791.0","11,061.0","11,522.0","12,156.0","12,660.0","13,065.0","13,568.0","13,969.0","14,599.0","14,810.0","14,761.0","15,501.0","16,024.0","17,027.0","17,636.0","18,363.0","18,864.0","19,445.0","19,759.0","18,662.0","20,632.0","21,834.0","23,200.0","22,333.0","23,162.0","24,016.0","24,371.0","23,584.0","24,652.0","25,832.0","26,237.0","27,302.0","26,614.0","27,324.0","29,270.0","29,331.0","29,661.0","29,995.0","29,342.0","29,241.0","29,907.0","29,995.0","30,540.0","31,931.0","32,968.0","34,345.0","35,399.0","36,425.0","38,135.0","38,627.0","39,965.0","40,187.0","40,804.0","42,194.0","43,237.0","44,215.0","45,429.0","47,454.0","52,705.0","51,329.0","52,206.0","52,611.0","53,865.0","55,984.0","57,094.0","58,119.0","60,037.0","59,478.0","60,753.0","61,784.0","63,043.0","65,723.0","65,197.0","65,603.0","65,325.0","65,438.0","65,873.0","64,529.0","63,898.0","66,333.0","66,841.0","69,070.0","69,756.0","70,060.0","71,155.0","73,353.0","73,339.0","74,737.0","75,349.0","77,091.0","78,730.0","78,114.0","79,013.0","80,019.0","81,114.0","82,285.0","84,359.0","84,901.0","85,837.0","86,149.0","85,797.0","87,884.0","89,468.0","91,457.0","93,929.0","94,785.0","96,428.0","99,040.0","100,781.0","103,043.0","108,063.0","108,711.0","110,937.0","110,822.0","111,049.0","110,245.0","107,359.0","106,507.0","109,298.0","111,752.0","113,331.0","113,287.0","115,150.0","114,310.0","119,012.0","124,717.0","127,535.0","130,301.0","130,461.0","131,213.0","133,989.0","137,635.0","139,444.0","140,736.0","146,442.0","151,847.0","152,939.0","154,749.0","158,937.0","162,917.0","166,966.0","170,441.0","170,997.0","169,963.0","171,604.0","169,805.0","159,378.0","158,934.0","160,661.0","162,184.0","162,911.0","168,021.0","169,058.0","173,294.0","176,921.0","182,670.0","186,666.0","188,773.0","187,100.0","193,141.0"
"27","8","  Nondurable goods","DNDGRC1","208,835.0","212,216.0","215,988.0","219,744.0","224,482.0","226,549.0","229,714.0","234,476.0","235,828.0","238,833.0","240,423.0","243,595.0","247,038.0","254,304.0","260,085.0","268,056.0","275,454.0","281,386.0","289,917.0","297,675.0","308,853.0","318,016.0","327,667.0","330,908.0","336,206.0","344,849.0","355,964.0","359,659.0","367,436.0","373,071.0","380,606.0","389,606.0","396,466.0","403,704.0","409,908.0","423,603.0","431,075.0","444,813.0","455,622.0","469,365.0","484,591.0","500,066.0","522,348.0","539,388.0","559,946.0","565,913.0","576,500.0","591,251.0","614,045.0","622,849.0","629,126.0","635,700.0","639,853.0","638,722.0","649,719.0","656,739.0","657,003.0","673,049.0","688,436.0","696,521.0","706,457.0","722,372.0","724,568.0","732,782.0","742,385.0","752,760.0","760,484.0","773,346.0","779,252.0","767,454.0","771,041.0","779,007.0","797,383.0","812,282.0","820,657.0","826,781.0","838,387.0","853,540.0","870,778.0","886,322.0","902,528.0","927,748.0","936,289.0","951,340.0","974,170.0","980,853.0","1,003,107.0","1,018,756.0","1,014,148.0","1,021,765.0","1,024,393.0","1,020,699.0","1,037,668.0","1,047,218.0","1,061,050.0","1,074,810.0","1,079,129.0","1,086,326.0","1,092,527.0","1,105,274.0","1,116,846.0","1,128,096.0","1,149,579.0","1,163,012.0","1,166,853.0","1,176,984.0","1,183,689.0","1,191,651.0","1,211,172.0","1,239,542.0","1,246,504.0","1,268,285.0","1,281,105.0","1,277,940.0","1,297,690.0","1,308,208.0","1,307,297.0","1,320,778.0","1,335,831.0","1,356,155.0","1,385,782.0","1,419,191.0","1,441,327.0","1,484,247.0","1,494,330.0","1,537,730.0","1,560,491.0","1,580,866.0","1,575,857.0","1,594,474.0","1,595,143.0","1,585,167.0","1,588,258.0","1,612,801.0","1,621,593.0","1,648,766.0","1,692,573.0","1,672,420.0","1,726,057.0","1,741,445.0","1,781,081.0","1,797,316.0","1,822,067.0","1,876,543.0","1,895,671.0","1,914,428.0","1,984,487.0","2,018,914.0","2,030,537.0","2,065,837.0","2,099,027.0","2,083,634.0","2,121,171.0","2,162,177.0","2,184,271.0","2,234,374.0","2,259,381.0","2,320,288.0","2,349,442.0","2,162,151.0","2,110,615.0","2,134,124.0","2,195,490.0","2,231,132.0","2,280,090.0","2,268,344.0","2,298,974.0","2,358,657.0","2,437,750.0","2,478,922.0","2,502,977.0","2,515,198.0","2,554,529.0"
"28","9","    Food and beverages purchased for off-premises consumption","DFXARC1","93,066.0","94,114.0","95,928.0","98,376.0","101,637.0","102,599.0","104,057.0","105,730.0","105,682.0","107,247.0","107,132.0","108,438.0","109,715.0","113,835.0","115,772.0","118,566.0","121,140.0","124,031.0","129,669.0","132,017.0","137,625.0","139,639.0","145,762.0","149,127.0","151,462.0","154,809.0","159,768.0","160,228.0","163,337.0","165,833.0","168,542.0","171,476.0","175,037.0","178,888.0","180,281.0","184,875.0","188,634.0","193,791.0","198,479.0","203,545.0","210,921.0","215,700.0","220,077.0","226,781.0","232,794.0","235,963.0","241,285.0","246,626.0","250,608.0","253,984.0","256,698.0","260,062.0","262,258.0","265,873.0","268,587.0","271,846.0","270,915.0","275,722.0","279,786.0","281,721.0","285,441.0","290,612.0","293,517.0","294,838.0","297,823.0","300,540.0","303,773.0","309,677.0","314,516.0","314,120.0","316,276.0","320,746.0","321,893.0","323,996.0","325,238.0","326,124.0","332,985.0","339,885.0","347,087.0","351,271.0","357,772.0","361,995.0","367,828.0","373,958.0","382,993.0","390,002.0","395,755.0","395,953.0","400,563.0","406,296.0","405,069.0","399,885.0","402,724.0","402,249.0","404,850.0","408,032.0","408,289.0","411,418.0","414,433.0","419,748.0","423,942.0","430,151.0","435,240.0","439,104.0","440,815.0","442,461.0","443,819.0","447,897.0","453,374.0","460,108.0","464,283.0","469,750.0","473,505.0","471,791.0","476,392.0","477,422.0","478,576.0","483,651.0","488,782.0","495,018.0","502,918.0","509,294.0","515,596.0","526,466.0","524,140.0","535,554.0","541,342.0","548,789.0","552,018.0","559,304.0","562,044.0","565,461.0","566,233.0","567,505.0","569,226.0","575,465.0","582,567.0","580,798.0","591,862.0","594,885.0","603,775.0","607,394.0","614,486.0","626,197.0","632,857.0","639,449.0","647,555.0","658,111.0","662,752.0","669,914.0","675,511.0","688,588.0","698,703.0","704,600.0","714,455.0","727,071.0","732,518.0","749,245.0","757,122.0","746,692.0","741,319.0","743,838.0","746,401.0","752,625.0","761,501.0","759,406.0","766,367.0","778,152.0","792,011.0","806,727.0","815,773.0","819,857.0","825,804.0"
"29","10","    Clothing and footwear","DCLORC1","43,367.0","44,046.0","44,841.0","45,073.0","44,879.0","45,017.0","45,288.0","46,616.0","47,357.0","48,986.0","49,500.0","50,344.0","51,049.0","52,479.0","54,150.0","56,287.0","58,311.0","58,964.0","59,392.0","60,305.0","61,630.0","62,714.0","63,568.0","61,777.0","64,118.0","66,474.0","68,077.0","68,801.0","70,258.0","71,015.0","73,007.0","74,484.0","75,696.0","77,390.0","79,847.0","84,288.0","84,709.0","89,074.0","90,498.0","92,989.0","93,176.0","94,669.0","98,109.0","99,530.0","100,218.0","100,590.0","103,933.0","107,268.0","110,921.0","112,453.0","114,727.0","114,610.0","116,065.0","114,873.0","117,179.0","118,863.0","120,499.0","125,300.0","127,905.0","132,079.0","134,380.0","138,195.0","137,287.0","140,626.0","143,070.0","145,660.0","148,005.0","150,646.0","153,434.0","156,979.0","158,876.0","159,512.0","164,184.0","166,687.0","169,457.0","170,581.0","172,747.0","175,026.0","179,295.0","185,788.0","186,202.0","189,582.0","191,482.0","194,322.0","195,670.0","195,682.0","195,928.0","193,698.0","196,226.0","200,294.0","201,335.0","198,537.0","205,755.0","208,875.0","213,453.0","216,853.0","215,434.0","217,917.0","220,185.0","222,674.0","224,881.0","225,452.0","227,681.0","231,727.0","228,497.0","229,680.0","233,430.0","233,373.0","234,990.0","239,775.0","240,423.0","242,979.0","243,688.0","244,403.0","249,883.0","252,009.0","254,621.0","257,668.0","257,448.0","261,484.0","267,506.0","271,455.0","272,167.0","273,260.0","275,940.0","280,083.0","282,522.0","284,781.0","280,641.0","278,398.0","275,289.0","277,146.0","279,184.0","278,670.0","275,506.0","281,979.0","279,059.0","283,300.0","291,088.0","291,197.0","298,061.0","295,173.0","297,534.0","304,021.0","308,319.0","313,989.0","312,502.0","321,264.0","323,080.0","325,361.0","328,189.0","332,619.0","336,827.0","334,130.0","334,585.0","336,183.0","332,467.0","339,050.0","333,261.0","318,851.0","318,444.0","314,059.0","318,948.0","321,480.0","329,744.0","332,280.0","333,878.0","341,280.0","344,450.0","348,611.0","352,163.0","356,115.0","364,000.0"
"30","11","    Gasoline and other energy goods","DGOERC1","24,261.0","25,029.0","25,057.0","25,525.0","25,858.0","26,098.0","26,333.0","26,854.0","27,385.0","27,354.0","27,742.0","28,106.0","28,337.0","28,366.0","29,506.0","31,364.0","32,524.0","33,454.0","34,235.0","37,087.0","39,208.0","44,174.0","45,647.0","46,369.0","45,652.0","46,948.0","49,400.0","50,079.0","51,134.0","51,593.0","53,228.0","56,097.0","56,562.0","57,323.0","57,900.0","59,482.0","60,205.0","60,596.0","61,166.0","63,846.0","68,799.0","75,076.0","86,106.0","91,569.0","101,649.0","102,881.0","100,975.0","102,086.0","113,447.0","114,406.0","112,599.0","113,319.0","111,964.0","106,083.0","108,679.0","106,674.0","102,964.0","105,309.0","109,281.0","108,270.0","108,041.0","109,584.0","106,991.0","108,186.0","108,140.0","111,509.0","111,049.0","111,428.0","106,606.0","89,533.0","84,804.0","83,822.0","91,653.0","96,230.0","97,925.0","99,667.0","98,420.0","99,618.0","100,873.0","100,492.0","103,503.0","116,218.0","110,673.0","111,361.0","116,415.0","113,800.0","125,454.0","141,128.0","124,728.0","119,582.0","119,775.0","120,428.0","120,106.0","124,100.0","126,849.0","128,976.0","128,645.0","126,443.0","125,055.0","127,385.0","127,371.0","124,823.0","132,233.0","132,495.0","134,528.0","135,756.0","132,615.0","130,719.0","139,096.0","147,835.0","143,460.0","148,590.0","152,162.0","144,325.0","146,479.0","147,678.0","136,557.0","132,637.0","133,311.0","130,931.0","127,937.0","146,216.0","155,862.0","165,228.0","178,420.0","187,700.0","193,987.0","195,235.0","191,103.0","196,164.0","185,702.0","161,363.0","154,060.0","174,708.0","180,368.0","189,112.0","218,947.0","191,661.0","211,295.0","215,999.0","234,678.0","240,591.0","247,380.0","275,045.0","276,004.0","275,051.0","330,890.0","333,201.0","323,014.0","341,592.0","361,641.0","314,738.0","330,583.0","363,385.0","368,006.0","397,085.0","418,310.0","444,022.0","466,938.0","312,564.0","261,423.0","275,522.0","321,450.0","339,305.0","359,506.0","336,989.0","345,899.0","374,073.0","420,156.0","431,512.0","434,451.0","426,761.0","436,965.0"
"31","12","    Other nondurable goods","DONGRC1","48,141.0","49,027.0","50,162.0","50,770.0","52,108.0","52,835.0","54,036.0","55,276.0","55,404.0","55,246.0","56,049.0","56,707.0","57,937.0","59,624.0","60,657.0","61,839.0","63,479.0","64,937.0","66,621.0","68,266.0","70,390.0","71,489.0","72,690.0","73,635.0","74,974.0","76,618.0","78,719.0","80,551.0","82,707.0","84,630.0","85,829.0","87,549.0","89,171.0","90,103.0","91,880.0","94,958.0","97,527.0","101,352.0","105,479.0","108,985.0","111,695.0","114,621.0","118,056.0","121,508.0","125,285.0","126,479.0","130,307.0","135,271.0","139,069.0","142,006.0","145,102.0","147,709.0","149,566.0","151,893.0","155,274.0","159,356.0","162,625.0","166,718.0","171,464.0","174,451.0","178,595.0","183,981.0","186,773.0","189,132.0","193,352.0","195,051.0","197,657.0","201,595.0","204,696.0","206,822.0","211,085.0","214,927.0","219,653.0","225,369.0","228,037.0","230,409.0","234,235.0","239,011.0","243,523.0","248,771.0","255,051.0","259,953.0","266,306.0","271,699.0","279,092.0","281,369.0","285,970.0","287,977.0","292,631.0","295,593.0","298,214.0","301,849.0","309,083.0","311,994.0","315,898.0","320,949.0","326,761.0","330,548.0","332,854.0","335,467.0","340,652.0","347,670.0","354,425.0","359,686.0","363,013.0","369,087.0","373,825.0","379,662.0","383,712.0","391,824.0","398,338.0","406,966.0","411,750.0","417,421.0","424,936.0","431,099.0","437,543.0","446,822.0","456,290.0","468,722.0","487,421.0","492,226.0","497,702.0","519,293.0","515,830.0","534,393.0","542,640.0","552,061.0","552,095.0","560,608.0","572,108.0","581,197.0","588,781.0","591,918.0","596,493.0","602,210.0","612,000.0","616,661.0","631,812.0","639,364.0","644,567.0","654,158.0","662,667.0","671,280.0","678,491.0","685,939.0","693,540.0","706,338.0","721,691.0","728,970.0","733,686.0","747,689.0","755,058.0","760,062.0","767,225.0","774,035.0","776,086.0","787,971.0","792,121.0","784,044.0","789,429.0","800,705.0","808,691.0","817,722.0","829,339.0","839,669.0","852,830.0","865,152.0","881,133.0","892,072.0","900,590.0","912,465.0","927,760.0"
"32","13","Services","DSERRC1","289,598.0","297,146.0","303,512.0","311,540.0","319,111.0","325,588.0","333,359.0","339,985.0","346,928.0","355,040.0","363,414.0","372,604.0","383,133.0","391,037.0","400,258.0","411,237.0","420,036.0","430,227.0","440,637.0","450,594.0","459,157.0","474,606.0","488,010.0","503,782.0","520,086.0","535,303.0","547,879.0","566,539.0","582,642.0","594,073.0","611,976.0","631,109.0","651,265.0","666,740.0","686,969.0","704,790.0","729,833.0","755,706.0","775,375.0","795,297.0","814,716.0","841,029.0","864,400.0","892,762.0","915,954.0","932,209.0","966,858.0","1,009,110.0","1,032,308.0","1,060,166.0","1,082,372.0","1,105,677.0","1,129,879.0","1,154,730.0","1,188,869.0","1,231,332.0","1,266,329.0","1,293,744.0","1,335,729.0","1,363,370.0","1,387,589.0","1,420,485.0","1,456,115.0","1,485,349.0","1,533,047.0","1,561,409.0","1,598,916.0","1,626,636.0","1,656,357.0","1,684,440.0","1,713,886.0","1,749,774.0","1,788,870.0","1,820,494.0","1,857,066.0","1,896,222.0","1,944,679.0","1,986,257.0","2,039,227.0","2,080,833.0","2,118,747.0","2,148,898.0","2,184,824.0","2,230,283.0","2,269,154.0","2,332,588.0","2,378,531.0","2,396,322.0","2,423,904.0","2,466,279.0","2,499,967.0","2,540,422.0","2,606,300.0","2,645,308.0","2,694,510.0","2,748,371.0","2,777,927.0","2,817,945.0","2,867,112.0","2,901,986.0","2,944,735.0","2,983,032.0","3,027,427.0","3,061,824.0","3,100,551.0","3,153,605.0","3,196,654.0","3,236,177.0","3,285,533.0","3,332,896.0","3,378,544.0","3,426,765.0","3,480,353.0","3,529,467.0","3,592,859.0","3,652,757.0","3,712,300.0","3,779,642.0","3,846,212.0","3,895,703.0","3,950,339.0","4,014,342.0","4,084,444.0","4,162,053.0","4,265,110.0","4,332,911.0","4,406,193.0","4,480,738.0","4,551,353.0","4,600,311.0","4,627,255.0","4,680,285.0","4,739,418.0","4,804,143.0","4,859,229.0","4,914,139.0","4,971,956.0","5,043,594.0","5,112,579.0","5,176,159.0","5,259,490.0","5,333,673.0","5,418,585.0","5,502,078.0","5,591,029.0","5,681,184.0","5,769,002.0","5,865,984.0","5,945,099.0","6,037,623.0","6,115,768.0","6,206,575.0","6,304,968.0","6,371,789.0","6,438,991.0","6,517,562.0","6,596,165.0","6,659,628.0","6,679,702.0","6,679,888.0","6,651,025.0","6,638,004.0","6,665,500.0","6,720,075.0","6,765,574.0","6,844,715.0","6,890,104.0","6,933,676.0","6,979,428.0","7,053,317.0","7,123,245.0","7,161,515.0","7,225,057.0"
