"","Table 5#1# Saving and Investment by Sector","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"22","3","  Net private saving","W202RC1","78,565.0","79,289.0","88,809.0","84,201.0","80,896.0","94,984.0","98,995.0","96,593.0","107,322.0","114,734.0","115,940.0","116,701.0","113,798.0","109,077.0","117,491.0","137,131.0","136,380.0","143,158.0","147,871.0","162,650.0","153,228.0","139,742.0","133,274.0","146,995.0","145,929.0","194,009.0","175,076.0","183,582.0","184,154.0","180,449.0","180,908.0","174,882.0","168,247.0","192,892.0","214,197.0","216,399.0","216,140.0","219,001.0","229,348.0","236,112.0","241,038.0","233,578.0","228,913.0","237,553.0","231,320.0","236,115.0","244,390.0","274,061.0","269,512.0","272,329.0","326,468.0","339,371.0","319,402.0","341,241.0","336,438.0","304,589.0","321,990.0","311,469.0","316,667.0","340,461.0","393,323.0","417,802.0","448,404.0","446,597.0","388,527.0","423,734.0","365,806.0","378,550.0","375,895.0","369,219.0","328,735.0","305,012.0","349,288.0","300,216.0","346,344.0","398,267.0","399,307.0","416,431.0","412,770.0","418,215.0","415,927.0","383,648.0","375,199.0","371,213.0","384,493.0","422,205.0","382,294.0","397,643.0","448,502.0","446,317.0","436,824.0","473,119.0","501,887.0","519,704.0","480,198.0","465,505.0","498,048.0","470,606.0","446,208.0","431,447.0","476,608.0","475,732.0","482,804.0","515,496.0","556,010.0","535,944.0","549,252.0","545,058.0","561,568.0","549,714.0","559,469.0","557,646.0","571,250.0","600,591.0","585,407.0","585,546.0","587,473.0","565,600.0","556,819.0","503,614.0","559,801.0","479,390.0","425,113.0","427,782.0","419,428.0","405,602.0","404,756.0","327,635.0","394,585.0","390,643.0","524,431.0","349,813.0","575,576.0","588,373.0","518,838.0","568,447.0","544,038.0","619,269.0","648,900.0","643,059.0","691,266.0","715,088.0","720,566.0","648,080.0","628,510.0","628,329.0","615,262.0","666,144.0","697,622.0","694,497.0","679,080.0","681,341.0","531,617.0","530,069.0","483,018.0","507,912.0","623,959.0","876,932.0","778,314.0","680,166.0","925,622.0","1,086,892.0","1,021,338.0","1,074,712.0","1,163,850.0","1,280,258.0","1,267,909.0","1,265,955.0","1,239,226.0","1,266,171.0","1,270,442.0","1,275,328.0","....."
"23","4","    Domestic business","A127RC1","33,954.0","31,809.0","30,203.0","25,054.0","21,594.0","25,507.0","24,645.0","22,022.0","29,876.0","31,033.0","33,663.0","36,956.0","39,769.0","40,763.0","43,065.0","45,395.0","47,872.0","43,313.0","44,197.0","43,118.0","36,507.0","31,898.0","23,188.0","24,897.0","35,032.0","45,035.0","54,754.0","59,995.0","62,079.0","57,051.0","56,051.0","54,030.0","58,780.0","73,132.0","83,798.0","74,820.0","71,720.0","84,146.0","85,877.0","89,361.0","80,543.0","80,166.0","77,590.0","72,971.0","57,708.0","44,836.0","44,798.0","53,309.0","61,175.0","61,829.0","73,314.0","64,374.0","53,833.0","66,634.0","64,363.0","61,182.0","79,996.0","94,801.0","100,714.0","107,365.0","119,046.0","129,455.0","134,475.0","138,099.0","131,497.0","133,389.0","145,420.0","132,042.0","114,571.0","102,384.0","92,726.0","83,402.0","95,767.0","120,482.0","138,485.0","145,622.0","154,045.0","158,310.0","148,866.0","159,055.0","125,038.0","123,127.0","127,073.0","110,842.0","117,898.0","137,625.0","107,112.0","117,218.0","145,217.0","138,541.0","132,469.0","135,777.0","158,351.0","161,998.0","147,234.0","170,466.0","157,316.0","165,230.0","176,157.0","180,255.0","190,718.0","192,336.0","201,925.0","212,469.0","212,342.0","238,533.0","259,614.0","265,286.0","280,753.0","269,069.0","264,273.0","275,147.0","297,855.0","308,848.0","322,022.0","304,103.0","217,762.0","210,941.0","214,623.0","207,079.0","268,181.0","274,321.0","253,933.0","243,934.0","199,565.0","179,080.0","175,710.0","150,674.0","186,424.0","228,773.0","201,447.0","223,163.0","261,831.0","266,983.0","271,821.0","321,766.0","283,102.0","313,295.0","317,047.0","323,180.0","413,459.0","404,269.0","432,310.0","311,973.0","469,009.0","494,506.0","491,965.0","490,044.0","483,887.0","431,531.0","431,351.0","374,296.0","284,903.0","293,035.0","260,208.0","244,568.0","168,919.0","186,323.0","235,530.0","19,227.0","294,476.0","416,578.0","553,104.0","614,184.0","629,724.0","656,969.0","642,266.0","677,886.0","660,288.0","709,647.0","737,311.0","744,485.0","....."
"24","5","      Undistributed corporate profits","B057RC1","29,796.0","27,928.0","26,088.0","24,808.0","22,348.0","22,304.0","23,012.0","20,048.0","25,708.0","27,930.0","31,457.0","33,653.0","36,516.0","36,905.0","38,878.0","43,889.0","53,928.0","55,017.0","54,474.0","56,949.0","60,700.0","62,139.0","67,764.0","56,487.0","46,814.0","53,067.0","69,160.0","74,703.0","76,834.0","76,322.0","75,337.0","73,254.0","84,000.0","91,577.0","95,620.0","94,001.0","95,816.0","111,182.0","113,437.0","121,505.0","120,724.0","126,093.0","128,755.0","122,818.0","121,007.0","89,378.0","97,398.0","101,344.0","100,031.0","82,761.0","83,022.0","76,774.0","56,325.0","58,935.0","54,544.0","47,792.0","49,952.0","69,211.0","78,553.0","81,832.0","87,433.0","85,424.0","75,124.0","73,098.0","58,092.0","57,186.0","61,663.0","65,083.0","29,198.0","26,829.0","28,387.0","36,009.0","49,628.0","78,581.0","92,620.0","100,555.0","111,180.0","124,019.0","116,839.0","121,458.0","105,847.0","90,515.0","76,253.0","73,029.0","84,302.0","98,926.0","101,930.0","103,647.0","103,821.0","102,376.0","105,390.0","112,861.0","131,717.0","147,293.0","132,331.0","139,404.0","135,454.0","144,369.0","147,434.0","152,977.0","162,687.0","162,113.0","173,915.0","181,953.0","197,086.0","217,340.0","218,469.0","215,324.0","224,582.0","214,617.0","200,854.0","206,133.0","213,703.0","224,678.0","236,520.0","225,647.0","131,818.0","123,090.0","121,267.0","116,098.0","163,638.0","189,065.0","188,163.0","196,467.0","153,923.0","134,520.0","123,872.0","105,710.0","152,141.0","180,234.0","127,744.0","93,916.0","115,798.0","149,369.0","185,589.0","244,265.0","224,227.0","211,404.0","234,758.0","268,994.0","363,579.0","387,062.0","421,038.0","320,220.0","641,902.0","657,196.0","678,671.0","704,047.0","708,228.0","653,588.0","641,414.0","575,469.0","507,954.0","511,184.0","474,320.0","500,116.0","352,436.0","404,935.0","382,782.0","-83,959.0","328,502.0","498,067.0","660,019.0","766,489.0","730,848.0","736,639.0","653,741.0","562,998.0","660,926.0","662,687.0","680,088.0","662,131.0","....."
"25","6","      Inventory valuation adjustment, corporate","B058RC1","-4,932.0","-5,220.0","-4,936.0","-8,392.0","-8,792.0","-4,580.0","-6,248.0","-6,588.0","-3,608.0","-4,668.0","-5,608.0","-4,452.0","-5,816.0","-5,848.0","-5,820.0","-8,956.0","-15,828.0","-21,052.0","-18,680.0","-22,716.0","-31,768.0","-36,744.0","-50,016.0","-34,356.0","-12,352.0","-6,980.0","-11,728.0","-11,116.0","-10,744.0","-14,900.0","-15,216.0","-15,592.0","-21,448.0","-15,324.0","-9,452.0","-16,568.0","-20,804.0","-23,200.0","-23,312.0","-27,520.0","-35,068.0","-39,984.0","-44,120.0","-41,380.0","-53,456.0","-34,028.0","-42,296.0","-38,752.0","-37,428.0","-24,308.0","-18,164.0","-18,604.0","-12,900.0","-4,744.0","-6,396.0","-5,980.0","2,248.0","-7,064.0","-15,152.0","-9,812.0","-6,592.0","-9,808.0","288.0","196.0","552.0","344.0","7,168.0","-7,980.0","19,736.0","13,924.0","5,436.0","-10,852.0","-13,876.0","-19,172.0","-15,724.0","-16,184.0","-18,304.0","-25,480.0","-26,148.0","-18,764.0","-33,740.0","-18,892.0","-432.0","-12,328.0","-3,572.0","2,020.0","-30,196.0","-19,820.0","11,436.0","8,600.0","1,376.0","-1,704.0","2,216.0","-10,596.0","-3,352.0","448.0","-6,088.0","-6,324.0","404.0","-4,076.0","-8,256.0","-10,176.0","-15,676.0","-15,636.0","-32,536.0","-28,208.0","-9,832.0","-2,560.0","2,136.0","-1,652.0","4,692.0","7,108.0","18,512.0","15,700.0","15,108.0","7,040.0","14,416.0","15,372.0","19,092.0","14,092.0","24,192.0","3,776.0","-14,508.0","-29,276.0","-25,240.0","-21,048.0","-9,084.0","-11,864.0","-18,352.0","-1,084.0","16,780.0","34,832.0","28,956.0","3,392.0","-21,752.0","-20,860.0","-20,684.0","5,320.0","-7,304.0","-22,464.0","-16,852.0","-38,376.0","-34,936.0","-46,856.0","-38,168.0","-18,176.0","-28,436.0","-38,016.0","-33,368.0","-48,404.0","-42,348.0","-28,012.0","-50,252.0","-34,808.0","-29,060.0","-74,820.0","-131,256.0","-155,400.0","-72,728.0","181,560.0","76,468.0","15,900.0","-20,700.0","-69,304.0","-28,376.0","-5,560.0","-31,980.0","-90,348.0","-115,988.0","-60,360.0","-45,500.0","-18,552.0","....."
"26","7","      Capital consumption adjustment, corporate","A059RC1","9,090.0","9,101.0","9,051.0","8,638.0","8,038.0","7,783.0","7,881.0","8,562.0","7,776.0","7,771.0","7,814.0","7,755.0","9,069.0","9,706.0","10,007.0","10,462.0","9,772.0","9,348.0","8,403.0","8,885.0","7,575.0","6,503.0","5,440.0","2,766.0","570.0","-1,052.0","-2,678.0","-3,592.0","-4,011.0","-4,371.0","-4,070.0","-3,632.0","-3,772.0","-3,121.0","-2,370.0","-2,613.0","-3,292.0","-3,836.0","-4,248.0","-4,624.0","-5,113.0","-5,943.0","-7,045.0","-8,467.0","-9,843.0","-10,514.0","-10,304.0","-9,283.0","-1,428.0","3,376.0","8,456.0","6,204.0","10,408.0","12,443.0","16,215.0","19,370.0","27,796.0","32,654.0","37,313.0","35,345.0","38,205.0","53,839.0","59,063.0","64,805.0","72,853.0","75,859.0","76,589.0","74,939.0","65,637.0","61,631.0","58,903.0","58,245.0","60,015.0","61,073.0","61,589.0","61,251.0","61,169.0","59,771.0","58,175.0","56,361.0","52,931.0","51,504.0","51,252.0","50,141.0","37,168.0","36,679.0","35,378.0","33,391.0","29,960.0","27,565.0","25,703.0","24,620.0","24,418.0","25,301.0","18,255.0","30,614.0","27,950.0","27,185.0","28,319.0","31,354.0","36,287.0","40,399.0","43,686.0","46,152.0","47,792.0","49,401.0","50,977.0","52,522.0","54,035.0","56,104.0","58,727.0","61,906.0","65,640.0","68,470.0","70,394.0","71,416.0","71,528.0","72,479.0","74,264.0","76,889.0","80,351.0","81,480.0","80,278.0","76,743.0","70,882.0","65,608.0","60,922.0","56,828.0","52,635.0","49,623.0","56,923.0","94,415.0","117,077.0","114,222.0","107,984.0","98,361.0","79,559.0","96,571.0","89,593.0","76,650.0","66,732.0","55,583.0","46,208.0","38,609.0","-134,725.0","-144,514.0","-158,270.0","-175,987.0","-190,973.0","-173,653.0","-167,715.0","-173,161.0","-172,799.0","-183,341.0","-185,052.0","-180,728.0","-52,261.0","-63,212.0","-74,524.0","-78,374.0","-110,494.0","-97,389.0","-86,215.0","-83,001.0","-72,748.0","-74,110.0","20,505.0","205,236.0","115,350.0","107,320.0","102,723.0","100,906.0","-152,543.0"
"27","8","    Households and institutions","W986RC1","44,611.0","47,480.0","58,606.0","59,147.0","59,302.0","69,477.0","74,350.0","74,571.0","77,446.0","83,701.0","82,277.0","79,745.0","74,029.0","68,314.0","74,426.0","91,736.0","88,508.0","99,845.0","103,674.0","119,532.0","116,721.0","107,844.0","110,086.0","122,098.0","110,897.0","148,974.0","120,322.0","123,587.0","122,075.0","123,398.0","124,857.0","120,852.0","109,467.0","119,760.0","130,399.0","141,579.0","144,420.0","134,855.0","143,471.0","146,751.0","160,495.0","153,412.0","151,323.0","164,582.0","173,612.0","191,279.0","199,592.0","220,752.0","208,337.0","210,500.0","253,154.0","274,997.0","265,569.0","274,607.0","272,075.0","243,407.0","241,994.0","216,668.0","215,953.0","233,096.0","274,277.0","288,347.0","313,929.0","308,498.0","257,030.0","290,345.0","220,386.0","246,508.0","261,324.0","266,835.0","236,009.0","221,610.0","253,521.0","179,734.0","207,859.0","252,645.0","245,262.0","258,121.0","263,904.0","259,160.0","290,889.0","260,521.0","248,126.0","260,371.0","266,595.0","284,580.0","275,182.0","280,425.0","303,285.0","307,776.0","304,355.0","337,342.0","343,536.0","357,706.0","332,964.0","295,039.0","340,732.0","305,376.0","270,051.0","251,192.0","285,890.0","283,396.0","280,879.0","303,027.0","343,668.0","297,411.0","289,638.0","279,772.0","280,815.0","280,645.0","295,196.0","282,499.0","273,395.0","291,743.0","263,385.0","281,443.0","369,711.0","354,659.0","342,196.0","296,535.0","291,620.0","205,069.0","171,180.0","183,848.0","219,863.0","226,522.0","229,046.0","176,961.0","208,161.0","161,870.0","322,984.0","126,650.0","313,745.0","321,390.0","247,017.0","246,681.0","260,936.0","305,974.0","331,853.0","319,879.0","277,807.0","310,819.0","288,256.0","336,107.0","159,501.0","133,823.0","123,297.0","176,100.0","213,735.0","262,966.0","247,729.0","307,045.0","246,714.0","237,034.0","222,810.0","263,344.0","455,040.0","690,609.0","542,784.0","660,939.0","631,146.0","670,314.0","468,234.0","460,528.0","534,126.0","623,289.0","625,643.0","588,069.0","578,938.0","556,524.0","533,131.0","530,843.0","466,013.0"
"28","9","      Personal saving","A071RC1","44,611.0","47,480.0","58,606.0","59,147.0","59,302.0","69,477.0","74,350.0","74,571.0","77,430.0","83,521.0","81,945.0","78,781.0","74,881.0","68,530.0","74,658.0","91,752.0","88,536.0","99,993.0","103,674.0","119,532.0","116,721.0","107,844.0","110,086.0","122,098.0","110,897.0","148,974.0","120,322.0","123,587.0","122,075.0","123,398.0","124,857.0","120,852.0","109,467.0","119,760.0","130,399.0","141,579.0","144,420.0","134,855.0","143,471.0","146,751.0","160,495.0","153,412.0","151,323.0","164,582.0","173,612.0","191,279.0","199,072.0","221,272.0","208,337.0","210,500.0","253,154.0","274,997.0","265,569.0","274,607.0","272,075.0","243,407.0","241,994.0","216,668.0","215,953.0","233,096.0","274,277.0","288,347.0","313,929.0","308,498.0","257,030.0","290,345.0","220,386.0","246,508.0","261,324.0","266,835.0","236,009.0","221,610.0","253,521.0","179,734.0","207,859.0","252,645.0","245,262.0","258,121.0","263,904.0","259,160.0","290,889.0","260,521.0","248,126.0","260,371.0","266,595.0","284,580.0","275,182.0","280,425.0","303,285.0","307,776.0","304,355.0","337,342.0","343,536.0","357,706.0","332,964.0","358,063.0","268,642.0","303,437.0","268,112.0","301,374.0","229,485.0","278,705.0","276,188.0","298,336.0","327,299.0","281,042.0","273,269.0","263,403.0","277,167.0","276,997.0","291,548.0","278,851.0","276,328.0","294,676.0","266,318.0","284,376.0","370,416.0","355,364.0","342,901.0","297,240.0","286,470.0","199,919.0","166,030.0","178,698.0","219,863.0","226,522.0","229,046.0","176,961.0","208,161.0","161,870.0","322,984.0","126,650.0","313,745.0","321,390.0","247,017.0","246,681.0","250,936.0","290,974.0","306,853.0","309,879.0","282,807.0","330,819.0","313,256.0","346,107.0","159,501.0","133,823.0","123,297.0","156,100.0","233,735.0","262,966.0","247,729.0","282,045.0","271,714.0","237,034.0","222,810.0","263,344.0","455,040.0","690,609.0","542,784.0","680,939.0","611,146.0","670,314.0","468,234.0","460,528.0","534,126.0","623,289.0","625,643.0","588,069.0","578,938.0","556,524.0","533,131.0","530,843.0","466,013.0"
"29","10","      Wage accruals less disbursements","B185RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","16.0","180.0","332.0","964.0","-852.0","-216.0","-232.0","-16.0","-28.0","-148.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","520.0","-520.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-63,024.0","72,090.0","1,939.0","1,939.0","-50,182.0","56,405.0","4,691.0","4,691.0","4,691.0","16,369.0","16,369.0","16,369.0","16,369.0","3,648.0","3,648.0","3,648.0","3,648.0","-2,933.0","-2,933.0","-2,933.0","-2,933.0","-705.0","-705.0","-705.0","-705.0","5,150.0","5,150.0","5,150.0","5,150.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","10,000.0","15,000.0","25,000.0","10,000.0","-5,000.0","-20,000.0","-25,000.0","-10,000.0","0.0","0.0","0.0","20,000.0","-20,000.0","0.0","0.0","25,000.0","-25,000.0","0.0","0.0","0.0","0.0","0.0","0.0","-20,000.0","20,000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"30","11","  Net government saving","A922RC1","21,836.0","19,140.0","13,940.0","11,225.0","5,689.0","-8,482.0","-12,604.0","-18,126.0","-18,928.0","-24,395.0","-23,002.0","-22,580.0","-13,837.0","-9,502.0","-7,006.0","-6,741.0","3,709.0","506.0","3,942.0","7,376.0","2,896.0","-771.0","-1,277.0","-21,480.0","-47,865.0","-103,185.0","-60,123.0","-61,520.0","-48,624.0","-43,510.0","-47,239.0","-45,786.0","-37,639.0","-29,532.0","-31,555.0","-33,249.0","-31,734.0","-4,821.0","-5,856.0","1,503.0","5,820.0","2,998.0","-662.0","-11,999.0","-23,049.0","-52,099.0","-64,298.0","-51,886.0","-30,864.0","-38,828.0","-46,952.0","-80,163.0","-104,547.0","-110,843.0","-149,812.0","-184,670.0","-183,815.0","-169,660.0","-179,161.0","-152,782.0","-134,485.0","-140,530.0","-154,058.0","-161,034.0","-126,048.0","-177,013.0","-156,332.0","-165,655.0","-157,319.0","-185,475.0","-188,399.0","-164,338.0","-174,485.0","-107,907.0","-127,772.0","-139,304.0","-135,607.0","-125,746.0","-108,397.0","-114,978.0","-87,925.0","-108,734.0","-119,238.0","-139,322.0","-156,002.0","-167,698.0","-167,570.0","-189,758.0","-164,071.0","-225,140.0","-242,949.0","-264,809.0","-296,476.0","-302,577.0","-317,937.0","-298,525.0","-322,278.0","-278,917.0","-285,832.0","-237,645.0","-230,990.0","-199,165.0","-205,360.0","-213,136.0","-210,536.0","-208,546.0","-201,068.0","-167,823.0","-173,818.0","-130,955.0","-113,257.0","-83,022.0","-62,351.0","-37,924.0","4,800.0","123.0","53,539.0","63,251.0","97,351.0","107,812.0","123,155.0","133,547.0","145,041.0","160,730.0","256,427.0","227,737.0","220,336.0","201,383.0","174,407.0","113,271.0","-127,320.0","-62,031.0","-261,290.0","-307,574.0","-309,965.0","-348,590.0","-381,876.0","-427,260.0","-476,965.0","-374,757.0","-431,954.0","-405,398.0","-365,219.0","-348,744.0","-263,718.0","-269,208.0","-262,111.0","-233,293.0","-144,714.0","-166,151.0","-173,087.0","-127,029.0","-171,780.0","-207,651.0","-255,183.0","-297,384.0","-431,268.0","-794,176.0","-740,854.0","-776,578.0","-1,112,057.0","-1,378,278.0","-1,379,356.0","-1,314,248.0","-1,304,047.0","-1,306,202.0","-1,262,906.0","-1,322,780.0","-1,258,319.0","-1,315,579.0","-1,243,869.0","-1,176,597.0","....."
"31","12","    Federal","A923RC1","14,400.0","11,372.0","5,476.0","2,976.0","-2,520.0","-16,196.0","-19,740.0","-23,496.0","-23,892.0","-30,420.0","-29,476.0","-30,988.0","-22,900.0","-28,192.0","-17,124.0","-31,376.0","-15,220.0","-15,240.0","-10,632.0","-6,224.0","-8,900.0","-11,404.0","-11,280.0","-26,372.0","-48,492.0","-105,744.0","-63,704.0","-64,628.0","-54,312.0","-50,020.0","-53,560.0","-56,772.0","-47,212.0","-41,304.0","-47,268.0","-48,736.0","-48,600.0","-27,864.0","-21,916.0","-17,228.0","-8,724.0","-8,904.0","-14,600.0","-23,612.0","-33,680.0","-57,596.0","-71,788.0","-63,400.0","-42,576.0","-46,868.0","-54,620.0","-82,964.0","-103,872.0","-109,396.0","-147,168.0","-180,648.0","-176,412.0","-172,644.0","-188,916.0","-166,988.0","-157,000.0","-167,264.0","-175,168.0","-186,428.0","-150,720.0","-201,020.0","-178,012.0","-184,700.0","-184,172.0","-205,680.0","-210,908.0","-177,664.0","-181,884.0","-127,768.0","-139,000.0","-148,724.0","-147,948.0","-137,868.0","-130,024.0","-137,840.0","-115,352.0","-134,868.0","-140,848.0","-144,692.0","-171,324.0","-176,668.0","-171,960.0","-185,816.0","-157,440.0","-217,056.0","-240,512.0","-258,728.0","-295,964.0","-302,176.0","-313,168.0","-298,632.0","-312,092.0","-275,320.0","-282,168.0","-251,328.0","-236,401.0","-202,909.0","-220,561.0","-221,693.0","-221,426.0","-206,238.0","-210,318.0","-186,698.0","-194,323.0","-149,543.0","-138,315.0","-110,815.0","-92,391.0","-71,047.0","-35,567.0","-41,547.0","7,922.0","20,706.0","52,302.0","53,402.0","79,095.0","96,111.0","103,467.0","116,551.0","205,275.0","174,967.0","181,779.0","178,807.0","159,359.0","119,007.0","-104,373.0","-11,997.0","-205,436.0","-249,708.0","-262,928.0","-293,024.0","-300,568.0","-374,984.0","-451,432.0","-378,544.0","-409,296.0","-384,432.0","-361,640.0","-362,500.0","-288,892.0","-288,072.0","-287,408.0","-267,668.0","-207,308.0","-229,392.0","-215,464.0","-162,972.0","-201,605.0","-237,437.0","-265,150.0","-276,691.0","-388,792.0","-764,400.0","-639,060.0","-661,688.0","-993,948.0","-1,302,956.0","-1,305,396.0","-1,269,444.0","-1,271,784.0","-1,277,956.0","-1,257,700.0","-1,287,252.0","-1,201,072.0","-1,275,400.0","-1,160,688.0","-1,095,132.0","....."
"32","13","    State and local","A924RC1","7,436.0","7,768.0","8,464.0","8,249.0","8,209.0","7,714.0","7,136.0","5,370.0","4,964.0","6,025.0","6,474.0","8,408.0","9,063.0","18,690.0","10,118.0","24,635.0","18,929.0","15,746.0","14,574.0","13,600.0","11,796.0","10,633.0","10,003.0","4,892.0","627.0","2,559.0","3,581.0","3,108.0","5,688.0","6,510.0","6,321.0","10,986.0","9,573.0","11,772.0","15,713.0","15,487.0","16,866.0","23,043.0","16,060.0","18,731.0","14,544.0","11,902.0","13,938.0","11,613.0","10,631.0","5,497.0","7,490.0","11,514.0","11,712.0","8,040.0","7,668.0","2,801.0","-675.0","-1,447.0","-2,644.0","-4,022.0","-7,403.0","2,984.0","9,755.0","14,206.0","22,515.0","26,734.0","21,110.0","25,394.0","24,672.0","24,007.0","21,680.0","19,045.0","26,853.0","20,205.0","22,509.0","13,326.0","7,399.0","19,861.0","11,228.0","9,420.0","12,341.0","12,122.0","21,627.0","22,862.0","27,427.0","26,134.0","21,610.0","5,370.0","15,322.0","8,970.0","4,390.0","-3,942.0","-6,631.0","-8,084.0","-2,437.0","-6,081.0","-512.0","-401.0","-4,769.0","107.0","-10,186.0","-3,597.0","-3,664.0","13,683.0","5,411.0","3,744.0","15,201.0","8,557.0","10,890.0","-2,308.0","9,250.0","18,875.0","20,505.0","18,588.0","25,058.0","27,793.0","30,040.0","33,123.0","40,367.0","41,670.0","45,617.0","42,545.0","45,049.0","54,410.0","44,060.0","37,436.0","41,574.0","44,179.0","51,152.0","52,770.0","38,557.0","22,576.0","15,048.0","-5,736.0","-22,947.0","-50,034.0","-55,854.0","-57,866.0","-47,037.0","-55,566.0","-81,308.0","-52,276.0","-25,533.0","3,787.0","-22,658.0","-20,966.0","-3,579.0","13,756.0","25,174.0","18,864.0","25,297.0","34,375.0","62,594.0","63,241.0","42,377.0","35,943.0","29,825.0","29,786.0","9,967.0","-20,693.0","-42,476.0","-29,776.0","-101,794.0","-114,890.0","-118,109.0","-75,322.0","-73,960.0","-44,804.0","-32,263.0","-28,246.0","-5,206.0","-35,528.0","-57,247.0","-40,179.0","-83,181.0","-81,465.0","....."
"33","14","Consumption of fixed capital","A262RC1","95,638.0","97,984.0","100,280.0","102,865.0","105,583.0","107,787.0","109,400.0","110,484.0","113,832.0","116,721.0","119,200.0","121,338.0","123,463.0","125,590.0","128,245.0","131,308.0","134,587.0","138,431.0","142,690.0","147,418.0","153,076.0","159,734.0","167,229.0","174,704.0","182,051.0","188,136.0","193,424.0","197,901.0","201,430.0","205,492.0","210,169.0","215,591.0","222,056.0","228,402.0","234,796.0","241,849.0","249,175.0","257,043.0","265,419.0","274,019.0","283,300.0","293,431.0","304,035.0","314,842.0","325,966.0","337,935.0","349,940.0","362,498.0","375,340.0","387,650.0","399,487.0","410,895.0","422,066.0","431,283.0","438,194.0","442,624.0","445,145.0","448,411.0","452,997.0","457,869.0","464,027.0","470,608.0","477,536.0","485,218.0","493,282.0","501,085.0","509,493.0","517,912.0","525,896.0","534,543.0","542,745.0","550,716.0","558,391.0","566,203.0","575,146.0","584,631.0","595,460.0","605,919.0","616,165.0","626,511.0","636,413.0","646,370.0","656,459.0","666,566.0","676,820.0","686,555.0","696,149.0","705,288.0","713,812.0","721,317.0","728,265.0","734,050.0","738,710.0","743,194.0","746,337.0","749,164.0","761,961.0","773,262.0","783,612.0","793,221.0","802,227.0","812,732.0","824,258.0","837,452.0","851,372.0","864,119.0","875,666.0","886,684.0","896,201.0","906,288.0","917,700.0","929,879.0","943,540.0","957,118.0","970,271.0","984,293.0","997,302.0","1,011,941.0","1,027,928.0","1,045,014.0","1,063,156.0","1,083,175.0","1,104,164.0","1,127,062.0","1,151,597.0","1,174,413.0","1,195,845.0","1,215,441.0","1,233,455.0","1,249,951.0","1,264,395.0","1,277,081.0","1,288,286.0","1,299,451.0","1,310,504.0","1,321,674.0","1,333,152.0","1,345,860.0","1,360,414.0","1,376,782.0","1,396,670.0","1,419,536.0","1,444,406.0","1,470,447.0","1,495,671.0","1,524,171.0","1,556,030.0","1,589,628.0","1,617,994.0","1,648,178.0","1,675,221.0","1,701,318.0","1,733,930.0","1,757,645.0","1,778,207.0","1,800,262.0","1,817,437.0","1,842,734.0","1,869,621.0","1,886,516.0","1,885,184.0","1,868,350.0","1,854,099.0","1,857,054.0","1,858,602.0","1,866,868.0","1,878,153.0","1,896,136.0","1,914,284.0","1,939,885.0","1,962,833.0","1,983,403.0","2,003,336.0"
