"","Table 1#7#5# Relation of Gross Domestic Product, Gross National ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"33","14","Equals: Net national product","A027RC1","871,574.0","884,276.0","901,971.0","907,610.0","917,815.0","931,912.0","947,669.0","948,263.0","991,639.0","1,010,015.0","1,027,114.0","1,037,781.0","1,074,847.0","1,108,077.0","1,129,944.0","1,164,309.0","1,211,182.0","1,244,652.0","1,261,891.0","1,298,683.0","1,310,501.0","1,341,506.0","1,361,705.0","1,391,405.0","1,398,778.0","1,428,507.0","1,482,021.0","1,531,987.0","1,586,225.0","1,615,389.0","1,644,645.0","1,686,780.0","1,737,206.0","1,797,572.0","1,852,056.0","1,887,745.0","1,921,978.0","2,036,417.0","2,090,698.0","2,166,613.0","2,205,692.0","2,262,462.0","2,331,797.0","2,381,056.0","2,436,097.0","2,425,892.0","2,469,659.0","2,581,329.0","2,707,427.0","2,726,628.0","2,810,233.0","2,821,400.0","2,798,845.0","2,850,591.0","2,871,208.0","2,903,994.0","2,969,871.0","3,070,566.0","3,171,967.0","3,269,943.0","3,380,395.0","3,473,220.0","3,535,778.0","3,581,958.0","3,650,193.0","3,703,241.0","3,773,040.0","3,827,847.0","3,880,110.0","3,905,111.0","3,967,047.0","4,004,540.0","4,066,829.0","4,139,016.0","4,207,392.0","4,318,429.0","4,378,520.0","4,476,677.0","4,547,724.0","4,648,175.0","4,747,490.0","4,830,250.0","4,901,946.0","4,946,800.0","5,061,443.0","5,141,942.0","5,181,041.0","5,190,547.0","5,204,275.0","5,267,625.0","5,328,923.0","5,389,771.0","5,482,697.0","5,582,284.0","5,670,504.0","5,772,889.0","5,819,116.0","5,879,743.0","5,941,210.0","6,041,972.0","6,142,400.0","6,255,987.0","6,329,530.0","6,432,361.0","6,487,820.0","6,526,228.0","6,597,400.0","6,687,946.0","6,780,415.0","6,923,616.0","7,001,586.0","7,124,815.0","7,216,598.0","7,350,578.0","7,462,857.0","7,537,997.0","7,628,692.0","7,709,453.0","7,828,896.0","7,994,005.0","8,108,235.0","8,197,359.0","8,325,898.0","8,516,111.0","8,588,918.0","8,809,101.0","8,852,151.0","8,969,431.0","8,972,757.0","9,100,909.0","9,067,780.0","9,185,976.0","9,261,445.0","9,335,222.0","9,438,602.0","9,510,501.0","9,606,025.0","9,731,274.0","9,960,239.0","10,129,842.0","10,303,832.0","10,429,218.0","10,588,709.0","10,725,048.0","10,972,995.0","11,072,054.0","11,279,685.0","11,390,193.0","11,623,956.0","11,757,782.0","11,819,468.0","11,954,605.0","12,094,879.0","12,298,659.0","12,492,711.0","12,651,494.0","12,635,112.0","12,754,026.0","12,724,403.0","12,312,967.0","12,141,237.0","12,126,070.0","12,230,119.0","12,402,730.0","12,588,756.0","12,797,150.0","12,934,684.0","13,043,279.0","13,180,645.0","13,334,136.0","13,480,545.0","13,562,220.0","....."
"34","15","Less: Statistical discrepancy","A030RC1","6,640.0","3,282.0","2,362.0","-791.0","5,091.0","7,465.0","7,845.0","7,140.0","15,034.0","13,606.0","13,199.0","2,225.0","6,998.0","19,514.0","11,125.0","-1,818.0","7,554.0","16,070.0","5,379.0","3,062.0","2,868.0","12,794.0","4,499.0","19,065.0","19,072.0","17,320.0","11,711.0","17,116.0","21,432.0","23,974.0","20,411.0","28,064.0","32,772.0","23,369.0","20,678.0","8,033.0","4,600.0","23,814.0","31,742.0","44,057.0","28,255.0","45,676.0","61,708.0","52,231.0","62,020.0","58,240.0","39,474.0","21,440.0","58,399.0","35,871.0","26,041.0","25,984.0","-3,018.0","-627.0","2,084.0","20,554.0","23,248.0","44,100.0","65,077.0","66,350.0","41,233.0","36,347.0","30,256.0","18,316.0","23,983.0","34,080.0","51,982.0","59,300.0","56,074.0","63,335.0","80,322.0","71,285.0","59,693.0","38,355.0","9,620.0","23,823.0","-6,954.0","158.0","-14,990.0","-16,319.0","4,056.0","58,370.0","78,403.0","83,605.0","97,059.0","82,270.0","89,358.0","68,096.0","52,668.0","77,584.0","92,047.0","96,676.0","71,400.0","90,279.0","136,820.0","141,468.0","152,954.0","124,575.0","141,819.0","123,807.0","114,269.0","126,667.0","99,288.0","95,020.0","76,313.0","57,589.0","34,742.0","41,454.0","23,314.0","36,707.0","29,159.0","14,502.0","-9,198.0","17,138.0","-13,749.0","-50,081.0","-60,836.0","-105,966.0","-120,143.0","-54,351.0","-95,956.0","-86,689.0","-53,805.0","-47,814.0","-220,859.0","-86,936.0","-153,572.0","-74,597.0","-211,619.0","-109,013.0","-89,564.0","-3,222.0","-43,228.0","-45,298.0","20,610.0","-20,415.0","-8,166.0","-26,056.0","60,856.0","40,046.0","22,627.0","-15,469.0","-52,938.0","-43,627.0","-46,589.0","-84,497.0","-80,529.0","-168,765.0","-214,218.0","-208,071.0","-273,535.0","-273,282.0","-166,567.0","-62,230.0","85,613.0","95,239.0","-58,752.0","29,123.0","-8,649.0","28,532.0","42,086.0","90,345.0","104,057.0","73,245.0","-7,167.0","-6,588.0","-7,413.0","24,469.0","-51,987.0","-9,961.0","-38,736.0","-90,904.0","....."
"35","16","Equals: National income","A032RC1","864,934.0","880,994.0","899,609.0","908,401.0","912,724.0","924,447.0","939,824.0","941,123.0","976,605.0","996,409.0","1,013,915.0","1,035,556.0","1,067,849.0","1,088,563.0","1,118,819.0","1,166,127.0","1,203,628.0","1,228,582.0","1,256,512.0","1,295,621.0","1,307,633.0","1,328,712.0","1,357,206.0","1,372,340.0","1,379,706.0","1,411,187.0","1,470,310.0","1,514,871.0","1,564,793.0","1,591,415.0","1,624,234.0","1,658,716.0","1,704,434.0","1,774,203.0","1,831,378.0","1,879,712.0","1,917,378.0","2,012,603.0","2,058,956.0","2,122,556.0","2,177,437.0","2,216,786.0","2,270,089.0","2,328,825.0","2,374,077.0","2,367,652.0","2,430,185.0","2,559,889.0","2,649,028.0","2,690,757.0","2,784,192.0","2,795,416.0","2,801,863.0","2,851,218.0","2,869,124.0","2,883,440.0","2,946,623.0","3,026,466.0","3,106,890.0","3,203,593.0","3,339,162.0","3,436,873.0","3,505,522.0","3,563,642.0","3,626,210.0","3,669,161.0","3,721,058.0","3,768,547.0","3,824,036.0","3,841,776.0","3,886,725.0","3,933,255.0","4,007,136.0","4,100,661.0","4,197,772.0","4,294,606.0","4,385,474.0","4,476,519.0","4,562,714.0","4,664,494.0","4,743,434.0","4,771,880.0","4,823,543.0","4,863,195.0","4,964,384.0","5,059,672.0","5,091,683.0","5,122,451.0","5,151,607.0","5,190,041.0","5,236,876.0","5,293,095.0","5,411,297.0","5,492,005.0","5,533,684.0","5,631,421.0","5,666,162.0","5,755,168.0","5,799,391.0","5,918,165.0","6,028,131.0","6,129,320.0","6,230,242.0","6,337,341.0","6,411,507.0","6,468,639.0","6,562,658.0","6,646,492.0","6,757,101.0","6,886,909.0","6,972,427.0","7,110,313.0","7,225,796.0","7,333,440.0","7,476,606.0","7,588,078.0","7,689,528.0","7,815,419.0","7,949,039.0","8,048,356.0","8,204,191.0","8,284,048.0","8,379,703.0","8,563,925.0","8,809,777.0","8,896,037.0","9,005,723.0","9,044,028.0","9,184,376.0","9,209,922.0","9,157,344.0","9,189,198.0","9,304,673.0","9,380,520.0","9,417,992.0","9,530,916.0","9,614,191.0","9,757,330.0","9,899,383.0","10,089,796.0","10,281,205.0","10,444,687.0","10,641,647.0","10,768,675.0","11,019,584.0","11,156,551.0","11,360,214.0","11,558,958.0","11,838,174.0","11,965,853.0","12,093,003.0","12,227,887.0","12,261,446.0","12,360,889.0","12,407,098.0","12,556,255.0","12,693,864.0","12,724,903.0","12,733,052.0","12,284,435.0","12,099,151.0","12,035,725.0","12,126,062.0","12,329,485.0","12,595,923.0","12,803,738.0","12,942,097.0","13,018,810.0","13,232,632.0","13,344,097.0","13,519,281.0","13,653,124.0","....."
"36","17","Less: Corporate profits with inventory valuation and capital consumption adjustments","A051RC1","99,378.0","96,361.0","93,611.0","88,534.0","80,570.0","84,419.0","84,609.0","80,426.0","92,748.0","94,557.0","96,747.0","100,244.0","106,241.0","107,851.0","112,121.0","119,487.0","126,004.0","122,829.0","123,193.0","125,994.0","118,795.0","117,362.0","114,080.0","110,269.0","111,756.0","124,503.0","144,814.0","152,167.0","164,859.0","160,343.0","160,867.0","160,350.0","170,260.0","191,456.0","206,178.0","199,476.0","192,484.0","220,218.0","225,081.0","235,925.0","226,079.0","228,042.0","226,214.0","221,079.0","216,504.0","186,340.0","192,622.0","210,225.0","220,979.0","217,165.0","235,366.0","219,562.0","197,257.0","211,598.0","210,103.0","203,906.0","225,212.0","256,137.0","273,326.0","284,649.0","311,526.0","323,195.0","316,599.0","323,107.0","325,605.0","327,365.0","346,000.0","331,210.0","324,395.0","315,088.0","307,518.0","309,502.0","323,321.0","363,124.0","389,709.0","395,214.0","405,096.0","421,361.0","428,318.0","451,697.0","431,424.0","423,868.0","428,551.0","418,405.0","427,304.0","452,364.0","426,943.0","431,187.0","462,374.0","455,824.0","453,221.0","457,680.0","491,016.0","498,678.0","480,520.0","514,695.0","509,329.0","533,647.0","543,428.0","588,411.0","590,465.0","610,023.0","643,181.0","669,236.0","674,833.0","702,185.0","737,722.0","750,001.0","783,223.0","795,855.0","802,100.0","824,827.0","855,678.0","878,761.0","911,987.0","892,907.0","817,703.0","811,526.0","820,132.0","800,324.0","859,723.0","859,444.0","848,367.0","857,561.0","840,516.0","831,709.0","814,651.0","790,014.0","782,796.0","812,272.0","764,972.0","776,621.0","830,329.0","851,951.0","869,764.0","936,724.0","917,485.0","950,059.0","992,683.0","1,050,907.0","1,187,220.0","1,226,862.0","1,292,235.0","1,281,408.0","1,408,162.0","1,428,954.0","1,454,690.0","1,532,537.0","1,590,921.0","1,597,715.0","1,655,051.0","1,589,558.0","1,515,503.0","1,565,334.0","1,500,972.0","1,460,756.0","1,360,009.0","1,333,743.0","1,328,578.0","971,207.0","1,175,249.0","1,262,304.0","1,438,828.0","1,571,574.0","1,724,203.0","1,785,821.0","1,833,065.0","1,857,402.0","1,876,432.0","1,937,551.0","1,970,112.0","1,986,939.0","....."
"37","18","      Taxes on production and imports less subsidies \1\","W254RC1","76,249.0","78,437.0","80,549.0","82,053.0","83,730.0","85,715.0","87,772.0","89,327.0","92,888.0","94,135.0","97,162.0","99,087.0","98,457.0","100,583.0","101,687.0","104,441.0","108,656.0","110,481.0","113,680.0","115,143.0","117,250.0","121,176.0","123,882.0","124,072.0","124,601.0","128,747.0","133,635.0","136,209.0","136,538.0","140,020.0","142,625.0","145,869.0","149,016.0","152,172.0","155,116.0","153,952.0","158,232.0","164,691.0","161,423.0","163,502.0","168,089.0","169,717.0","172,770.0","175,704.0","180,313.0","187,272.0","194,222.0","200,313.0","220,286.0","224,792.0","226,346.0","225,260.0","223,405.0","224,658.0","228,737.0","226,864.0","230,764.0","239,655.0","245,298.0","252,191.0","260,420.0","266,752.0","271,292.0","276,368.0","279,928.0","284,707.0","290,518.0","291,939.0","294,390.0","295,288.0","300,704.0","303,530.0","307,754.0","313,926.0","321,072.0","326,300.0","334,724.0","342,745.0","348,398.0","353,981.0","363,145.0","369,983.0","376,748.0","375,880.0","392,238.0","392,552.0","399,948.0","407,250.0","417,134.0","424,390.0","433,663.0","443,225.0","447,672.0","451,842.0","455,517.0","458,121.0","454,336.0","460,386.0","467,298.0","483,756.0","498,333.0","511,798.0","518,224.0","522,545.0","520,918.0","519,061.0","524,019.0","528,366.0","535,255.0","542,279.0","546,436.0","558,110.0","561,270.0","576,613.0","583,128.0","590,209.0","595,314.0","600,517.0","606,207.0","610,380.0","615,044.0","622,031.0","632,570.0","643,859.0","653,496.0","661,831.0","665,489.0","670,048.0","668,841.0","662,061.0","654,239.0","690,735.0","702,576.0","717,079.0","730,719.0","735,230.0","742,989.0","742,369.0","766,000.0","779,622.0","798,706.0","812,138.0","822,905.0","834,315.0","848,733.0","864,163.0","877,535.0","886,621.0","915,983.0","931,897.0","941,860.0","952,088.0","964,653.0","965,796.0","975,072.0","984,932.0","983,150.0","995,448.0","994,175.0","970,071.0","951,650.0","954,950.0","951,973.0","974,215.0","984,485.0","993,815.0","1,002,025.0","1,006,386.0","1,027,329.0","1,038,464.0","1,035,836.0","1,038,900.0","1,051,859.0"
"38","19","      Contributions for government social insurance, domestic","A061RC1","42,908.0","43,692.0","44,624.0","45,284.0","45,984.0","46,260.0","46,712.0","46,480.0","50,468.0","51,044.0","51,308.0","51,884.0","58,140.0","58,804.0","59,492.0","60,380.0","73,628.0","74,724.0","76,068.0","77,564.0","83,100.0","84,696.0","86,360.0","86,568.0","87,632.0","88,020.0","89,764.0","91,824.0","98,948.0","100,432.0","102,192.0","103,764.0","109,284.0","112,088.0","114,332.0","116,672.0","126,156.0","130,112.0","132,752.0","136,020.0","148,764.0","150,892.0","154,196.0","157,144.0","163,100.0","163,248.0","166,572.0","171,832.0","191,624.0","194,112.0","197,652.0","199,416.0","207,168.0","208,372.0","209,844.0","210,192.0","220,368.0","223,608.0","227,204.0","232,632.0","250,984.0","255,824.0","259,944.0","263,128.0","275,416.0","278,840.0","282,824.0","288,400.0","297,924.0","300,712.0","305,056.0","310,060.0","316,460.0","320,212.0","324,540.0","331,240.0","352,132.0","359,120.0","364,388.0","370,288.0","379,840.0","382,832.0","386,404.0","391,848.0","404,108.0","408,332.0","414,088.0","413,904.0","424,456.0","427,728.0","432,604.0","435,940.0","448,708.0","453,672.0","457,780.0","459,644.0","467,456.0","475,556.0","480,084.0","486,604.0","498,368.0","506,368.0","510,572.0","517,412.0","525,748.0","530,148.0","535,324.0","539,980.0","544,208.0","552,064.0","558,680.0","565,360.0","575,496.0","582,200.0","590,244.0","601,024.0","611,840.0","620,404.0","628,996.0","637,364.0","652,452.0","656,432.0","662,204.0","674,052.0","697,464.0","698,912.0","711,168.0","715,816.0","735,492.0","734,016.0","731,528.0","731,748.0","746,648.0","752,276.0","752,680.0","754,208.0","766,656.0","774,868.0","781,796.0","792,348.0","812,324.0","821,596.0","833,084.0","842,228.0","861,048.0","865,800.0","879,000.0","885,020.0","915,384.0","917,380.0","920,784.0","933,768.0","953,408.0","954,204.0","958,720.0","971,600.0","989,776.0","986,552.0","988,684.0","984,152.0","966,012.0","966,872.0","962,092.0","961,476.0","976,008.0","985,680.0","991,460.0","994,116.0","911,532.0","917,448.0","932,356.0","944,456.0","959,920.0"
"39","20","      Net interest and miscellaneous payments on assets","W255RC1","30,520.0","32,100.0","33,667.0","34,571.0","35,998.0","38,085.0","40,506.0","41,934.0","43,095.0","43,983.0","44,135.0","44,277.0","45,186.0","46,485.0","48,881.0","51,063.0","51,294.0","52,803.0","56,819.0","60,022.0","64,356.0","69,066.0","72,375.0","77,268.0","80,748.0","80,766.0","82,190.0","82,793.0","82,495.0","85,182.0","86,556.0","87,911.0","90,456.0","98,589.0","105,136.0","110,092.0","111,328.0","113,885.0","115,288.0","119,610.0","126,569.0","132,760.0","140,756.0","155,405.0","171,336.0","176,865.0","180,141.0","198,960.0","201,855.0","221,400.0","250,953.0","255,132.0","266,371.0","278,275.0","271,434.0","268,411.0","274,816.0","275,602.0","290,049.0","300,789.0","303,291.0","321,690.0","340,023.0","343,238.0","343,040.0","341,312.0","334,792.0","346,684.0","364,951.0","368,868.0","370,452.0","364,005.0","362,107.0","361,919.0","368,626.0","373,952.0","379,357.0","373,607.0","385,641.0","402,599.0","426,543.0","434,728.0","439,728.0","435,385.0","438,778.0","443,522.0","442,849.0","451,731.0","428,976.0","421,464.0","418,558.0","403,914.0","396,253.0","389,617.0","382,105.0","382,877.0","380,225.0","370,516.0","357,904.0","349,755.0","351,033.0","354,695.0","366,114.0","377,071.0","371,005.0","358,077.0","351,892.0","352,270.0","354,066.0","366,353.0","375,276.0","388,570.0","397,317.0","401,606.0","408,485.0","422,788.0","458,515.0","480,832.0","491,177.0","486,784.0","469,046.0","476,970.0","483,619.0","495,857.0","532,065.0","543,908.0","543,230.0","537,849.0","541,795.0","547,693.0","544,296.0","543,640.0","529,078.0","505,675.0","494,228.0","496,523.0","511,890.0","511,518.0","501,016.0","492,108.0","467,739.0","460,555.0","454,025.0","464,213.0","509,354.0","527,977.0","558,004.0","576,897.0","608,889.0","654,438.0","661,577.0","684,044.0","703,901.0","693,683.0","743,267.0","785,597.0","843,672.0","875,140.0","878,001.0","883,749.0","782,949.0","656,414.0","596,589.0","591,001.0","589,060.0","569,185.0","550,113.0","548,749.0","556,599.0","525,605.0","535,730.0","522,662.0","531,311.0"
"40","21","      Business current transfer payments (net)","B029RC1","4,852.0","4,967.0","4,981.0","4,964.0","4,773.0","4,623.0","4,389.0","4,291.0","4,299.0","4,272.0","4,321.0","4,404.0","4,700.0","4,847.0","5,018.0","5,155.0","5,744.0","6,093.0","5,903.0","6,140.0","6,622.0","6,914.0","7,324.0","7,672.0","8,720.0","9,461.0","9,652.0","9,799.0","9,937.0","9,786.0","9,438.0","8,919.0","8,532.0","8,199.0","8,417.0","8,712.0","9,768.0","10,466.0","11,179.0","11,847.0","12,778.0","13,239.0","13,558.0","13,737.0","13,875.0","14,136.0","14,457.0","16,460.0","17,221.0","17,443.0","18,157.0","18,827.0","20,040.0","20,555.0","20,820.0","21,033.0","21,240.0","21,781.0","22,771.0","24,612.0","27,736.0","29,759.0","31,304.0","32,361.0","33,407.0","39,330.0","33,923.0","34,160.0","43,035.0","35,433.0","34,105.0","34,828.0","34,781.0","35,104.0","33,242.0","33,116.0","31,936.0","32,522.0","34,045.0","35,980.0","38,164.0","38,596.0","40,041.0","39,914.0","40,246.0","39,861.0","39,816.0","40,525.0","40,820.0","39,734.0","39,534.0","39,654.0","39,576.0","39,298.0","39,827.0","43,991.0","41,225.0","40,375.0","39,829.0","40,539.0","41,933.0","40,921.0","42,444.0","42,404.0","44,652.0","45,707.0","46,786.0","46,206.0","48,128.0","49,171.0","49,903.0","67,835.0","48,373.0","48,564.0","54,522.0","53,686.0","60,288.0","61,391.0","63,798.0","75,319.0","66,317.0","67,184.0","69,103.0","73,205.0","80,833.0","84,637.0","88,856.0","93,526.0","99,895.0","102,787.0","102,584.0","99,767.0","90,264.0","84,205.0","79,388.0","75,605.0","77,257.0","75,848.0","75,816.0","75,657.0","77,764.0","80,044.0","79,026.0","89,908.0","96,522.0","99,569.0","95,161.0","92,252.0","82,847.0","79,348.0","83,586.0","86,054.0","105,639.0","102,891.0","104,364.0","100,408.0","120,756.0","117,340.0","116,107.0","137,768.0","136,950.0","141,528.0","122,158.0","127,488.0","134,603.0","135,748.0","140,901.0","135,693.0","134,737.0","133,850.0","133,701.0","134,141.0","133,601.0"
"41","22","      Current surplus of government enterprises \1\","A108RC1","938.0","951.0","1,038.0","1,153.0","498.0","-309.0","-72.0","-247.0","-560.0","16.0","-255.0","-161.0","-36.0","361.0","539.0","1,043.0","133.0","-271.0","-488.0","-843.0","-708.0","-190.0","-1,066.0","-1,752.0","-2,797.0","-3,036.0","-3,558.0","-3,575.0","-1,650.0","-1,802.0","-1,802.0","-1,955.0","-2,258.0","-2,462.0","-2,996.0","-3,032.0","-2,951.0","-2,478.0","-1,613.0","-1,763.0","-2,108.0","-2,557.0","-3,194.0","-3,669.0","-4,075.0","-4,607.0","-5,488.0","-6,203.0","-6,527.0","-4,926.0","-6,552.0","-4,299.0","-4,176.0","-4,220.0","-5,224.0","-4,301.0","-3,723.0","-3,208.0","-3,498.0","-2,292.0","-2,118.0","-1,906.0","-2,062.0","-1,558.0","-652.0","876.0","1,022.0","1,006.0","1,024.0","1,019.0","762.0","711.0","485.0","206.0","-85.0","21.0","-654.0","3,327.0","3,551.0","4,066.0","4,516.0","5,012.0","5,127.0","5,065.0","2,951.0","1,510.0","1,111.0","693.0","3,316.0","5,946.0","6,177.0","7,251.0","7,649.0","8,228.0","8,907.0","8,143.0","7,572.0","9,350.0","8,831.0","8,972.0","9,657.0","9,789.0","9,550.0","9,404.0","13,191.0","12,995.0","13,089.0","13,244.0","13,901.0","14,041.0","14,600.0","14,875.0","13,932.0","14,693.0","13,985.0","13,805.0","12,933.0","13,504.0","13,747.0","12,993.0","15,050.0","14,711.0","14,242.0","12,383.0","12,504.0","11,034.0","7,706.0","5,332.0","4,364.0","3,011.0","7,886.0","928.0","4,270.0","4,374.0","9,097.0","7,639.0","9,383.0","7,885.0","6,336.0","4,276.0","3,654.0","1,851.0","318.0","-855.0","-1,785.0","-3,144.0","-4,501.0","-4,535.0","-2,412.0","-3,827.0","-4,665.0","-5,956.0","-10,090.0","-11,034.0","-11,216.0","-14,768.0","-15,211.0","-15,873.0","-16,082.0","-16,754.0","-16,752.0","-15,297.0","-13,953.0","-13,567.0","-14,692.0","-15,485.0","-15,957.0","-16,524.0","-15,596.0","-14,574.0","-14,465.0","-16,681.0","-18,676.0"
"42","23","      Wage accruals less disbursements","A062RC1","0.0","0.0","0.0","0.0","2,500.0","-2,132.0","-368.0","0.0","16.0","180.0","628.0","1,504.0","-1,448.0","-388.0","-200.0","2,052.0","48.0","-272.0","0.0","0.0","0.0","-560.0","-1,440.0","80.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0","504.0","380.0","116.0","-880.0","-120.0","160.0","-160.0","0.0","520.0","-520.0","0.0","0.0","252.0","-16.0","-128.0","40.0","40.0","32.0","-40.0","-1,276.0","-424.0","-40.0","176.0","192.0","-44.0","556.0","128.0","-1,048.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","248.0","-248.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.0","160.0","180.0","-380.0","0.0","0.0","0.0","0.0","0.0","-63,024.0","72,090.0","1,939.0","1,939.0","-50,182.0","56,405.0","4,691.0","4,691.0","4,691.0","16,369.0","16,369.0","16,369.0","16,369.0","3,648.0","3,648.0","3,648.0","3,648.0","-2,933.0","-2,933.0","-2,933.0","-2,933.0","-705.0","-705.0","-705.0","-705.0","5,150.0","5,150.0","5,150.0","5,150.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11,396.0","13,604.0","25,000.0","10,000.0","-3,508.0","-21,476.0","-25,016.0","-10,000.0","0.0","0.0","0.0","20,000.0","-20,000.0","0.0","0.0","25,000.0","-25,000.0","0.0","0.0","0.0","0.0","0.0","0.0","-20,000.0","20,000.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"43","24","Plus: Personal income receipts on assets","W210RC1","80,516.0","83,029.0","85,325.0","87,672.0","89,643.0","91,928.0","95,388.0","97,067.0","99,479.0","100,349.0","101,703.0","102,355.0","105,187.0","107,569.0","111,082.0","114,601.0","117,233.0","121,147.0","127,625.0","132,645.0","137,713.0","143,954.0","149,133.0","154,685.0","159,045.0","159,854.0","163,129.0","166,665.0","170,430.0","176,341.0","180,820.0","186,201.0","190,239.0","201,012.0","210,470.0","219,505.0","224,947.0","230,586.0","237,411.0","246,163.0","257,052.0","266,968.0","277,719.0","297,223.0","324,020.0","334,583.0","335,984.0","360,050.0","378,191.0","405,586.0","445,466.0","458,472.0","474,740.0","491,712.0","492,258.0","494,689.0","506,442.0","514,407.0","539,299.0","558,205.0","569,650.0","595,954.0","627,050.0","638,869.0","646,040.0","653,707.0","647,593.0","665,460.0","687,677.0","696,350.0","697,664.0","696,069.0","698,342.0","703,265.0","720,852.0","740,737.0","745,302.0","750,400.0","772,962.0","799,488.0","846,917.0","871,844.0","885,032.0","895,379.0","908,253.0","919,275.0","927,692.0","927,864.0","927,258.0","931,343.0","931,484.0","924,211.0","915,523.0","912,806.0","906,303.0","904,252.0","907,155.0","902,504.0","895,341.0","896,808.0","909,208.0","932,781.0","962,042.0","986,630.0","992,970.0","998,284.0","1,007,042.0","1,023,140.0","1,041,729.0","1,067,948.0","1,093,568.0","1,119,712.0","1,134,334.0","1,152,169.0","1,173,832.0","1,201,465.0","1,245,361.0","1,276,756.0","1,286,231.0","1,268,312.0","1,229,515.0","1,236,248.0","1,245,399.0","1,275,999.0","1,334,283.0","1,363,141.0","1,375,869.0","1,369,427.0","1,357,843.0","1,350,561.0","1,340,636.0","1,334,836.0","1,319,070.0","1,315,397.0","1,303,838.0","1,299,966.0","1,299,198.0","1,306,179.0","1,312,385.0","1,333,841.0","1,350,024.0","1,372,938.0","1,395,491.0","1,515,514.0","1,459,680.0","1,507,077.0","1,560,412.0","1,640,823.0","1,711,091.0","1,817,244.0","1,881,342.0","1,909,022.0","1,959,197.0","2,050,361.0","2,098,692.0","2,119,840.0","2,204,961.0","2,203,096.0","2,197,491.0","2,056,041.0","1,851,525.0","1,707,455.0","1,635,697.0","1,635,963.0","1,693,325.0","1,724,544.0","1,723,362.0","1,743,457.0","1,777,194.0","1,802,334.0","1,794,167.0","1,786,336.0","1,796,438.0"
