"","Table 1#3#5# Gross Value Added by Sector                        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176"
"21","2","Business \1\","A195RC1","754,157.0","764,648.0","777,126.0","780,506.0","787,369.0","799,126.0","812,243.0","809,974.0","846,677.0","862,608.0","878,332.0","885,419.0","916,634.0","948,174.0","966,951.0","996,762.0","1,039,431.0","1,070,023.0","1,083,328.0","1,116,641.0","1,124,158.0","1,155,016.0","1,175,327.0","1,203,508.0","1,210,466.0","1,237,449.0","1,286,554.0","1,328,528.0","1,379,456.0","1,404,744.0","1,430,938.0","1,467,546.0","1,513,181.0","1,571,441.0","1,621,937.0","1,653,450.0","1,686,143.0","1,797,720.0","1,843,824.0","1,910,021.0","1,947,093.0","2,002,595.0","2,061,845.0","2,102,317.0","2,149,383.0","2,134,321.0","2,177,065.0","2,283,649.0","2,402,321.0","2,420,821.0","2,498,784.0","2,494,006.0","2,468,315.0","2,510,701.0","2,529,109.0","2,551,436.0","2,607,691.0","2,695,031.0","2,787,390.0","2,874,241.0","2,967,301.0","3,051,491.0","3,100,592.0","3,142,464.0","3,207,439.0","3,250,179.0","3,318,046.0","3,360,117.0","3,408,393.0","3,433,825.0","3,485,485.0","3,518,458.0","3,567,107.0","3,626,575.0","3,683,854.0","3,770,428.0","3,818,819.0","3,909,161.0","3,974,346.0","4,058,287.0","4,145,294.0","4,217,887.0","4,275,463.0","4,304,322.0","4,400,698.0","4,461,744.0","4,488,222.0","4,464,889.0","4,470,941.0","4,537,569.0","4,593,160.0","4,632,593.0","4,708,980.0","4,786,922.0","4,864,659.0","4,956,406.0","4,981,678.0","5,046,389.0","5,097,443.0","5,210,880.0","5,289,656.0","5,394,095.0","5,459,792.0","5,557,424.0","5,591,664.0","5,625,087.0","5,711,349.0","5,783,217.0","5,856,518.0","6,001,525.0","6,075,920.0","6,186,711.0","6,277,081.0","6,397,616.0","6,510,519.0","6,585,986.0","6,659,107.0","6,731,678.0","6,849,927.0","7,002,630.0","7,092,104.0","7,161,641.0","7,289,158.0","7,453,131.0","7,518,501.0","7,728,440.0","7,768,189.0","7,846,971.0","7,844,202.0","7,948,503.0","7,911,207.0","7,950,606.0","8,030,311.0","8,097,566.0","8,181,835.0","8,221,609.0","8,282,537.0","8,384,988.0","8,622,497.0","8,721,230.0","8,864,640.0","9,002,631.0","9,129,654.0","9,283,583.0","9,468,242.0","9,573,016.0","9,770,433.0","9,908,560.0","10,107,753.0","10,229,535.0","10,291,754.0","10,420,613.0","10,528,628.0","10,717,313.0","10,819,436.0","10,887,689.0","10,842,842.0","10,926,922.0","10,869,045.0","10,512,566.0","10,316,779.0","10,259,239.0","10,312,197.0","10,467,056.0","10,646,101.0","10,820,672.0","10,950,668.0","11,098,866.0","11,188,874.0","11,315,068.0","11,462,662.0","11,582,480.0","11,696,826.0"
"22","3","  Nonfarm \2\","A358RC1","733,216.0","742,270.0","753,819.0","755,832.0","763,232.0","776,112.0","788,062.0","786,568.0","822,096.0","837,654.0","853,214.0","858,589.0","892,098.0","920,606.0","937,025.0","960,182.0","1,002,650.0","1,025,403.0","1,035,766.0","1,058,554.0","1,075,067.0","1,114,434.0","1,132,885.0","1,158,642.0","1,168,369.0","1,194,362.0","1,238,771.0","1,278,990.0","1,334,416.0","1,362,164.0","1,388,978.0","1,425,040.0","1,469,428.0","1,529,472.0","1,582,293.0","1,604,688.0","1,638,556.0","1,745,849.0","1,790,746.0","1,859,654.0","1,886,801.0","1,944,056.0","2,000,722.0","2,041,855.0","2,096,963.0","2,094,327.0","2,125,426.0","2,222,229.0","2,340,452.0","2,357,121.0","2,427,545.0","2,431,007.0","2,407,147.0","2,450,548.0","2,467,463.0","2,492,754.0","2,550,709.0","2,648,270.0","2,752,295.0","2,833,344.0","2,904,807.0","2,987,004.0","3,037,201.0","3,076,230.0","3,140,436.0","3,186,789.0","3,257,079.0","3,297,770.0","3,352,346.0","3,377,950.0","3,421,570.0","3,456,326.0","3,506,481.0","3,566,006.0","3,622,594.0","3,706,996.0","3,750,837.0","3,848,655.0","3,910,082.0","4,008,082.0","4,068,463.0","4,145,617.0","4,204,621.0","4,229,189.0","4,321,215.0","4,383,873.0","4,411,074.0","4,390,357.0","4,401,001.0","4,465,381.0","4,525,868.0","4,559,596.0","4,630,101.0","4,704,910.0","4,781,693.0","4,878,696.0","4,913,892.0","4,971,332.0","5,034,135.0","5,131,589.0","5,198,054.0","5,307,605.0","5,378,429.0","5,481,283.0","5,525,537.0","5,561,248.0","5,643,128.0","5,704,836.0","5,764,850.0","5,898,973.0","5,987,361.0","6,096,375.0","6,181,858.0","6,315,240.0","6,422,070.0","6,500,238.0","6,578,459.0","6,654,304.0","6,773,782.0","6,919,930.0","7,010,112.0","7,090,019.0","7,222,060.0","7,389,086.0","7,449,687.0","7,651,777.0","7,694,609.0","7,771,561.0","7,768,352.0","7,874,353.0","7,833,974.0","7,872,980.0","7,963,274.0","8,033,689.0","8,105,560.0","8,139,583.0","8,198,708.0","8,292,739.0","8,528,711.0","8,621,445.0","8,741,842.0","8,879,969.0","9,017,800.0","9,167,880.0","9,364,160.0","9,469,507.0","9,668,229.0","9,810,284.0","10,021,029.0","10,138,977.0","10,198,131.0","10,319,318.0","10,418,912.0","10,607,795.0","10,707,046.0","10,759,739.0","10,699,654.0","10,791,865.0","10,746,199.0","10,391,852.0","10,206,662.0","10,146,674.0","10,198,546.0","10,350,877.0","10,524,448.0","10,697,117.0","10,809,575.0","10,954,726.0","11,037,982.0","11,161,436.0","11,307,358.0","11,430,875.0","11,545,880.0"
"23","4","  Farm","B359RC1","20,941.0","22,378.0","23,307.0","24,674.0","24,137.0","23,014.0","24,181.0","23,406.0","24,581.0","24,954.0","25,118.0","26,830.0","24,536.0","27,568.0","29,926.0","36,580.0","36,781.0","44,620.0","47,562.0","58,087.0","49,091.0","40,582.0","42,442.0","44,866.0","42,097.0","43,087.0","47,783.0","49,538.0","45,040.0","42,580.0","41,960.0","42,506.0","43,753.0","41,969.0","39,644.0","48,762.0","47,587.0","51,871.0","53,078.0","50,367.0","60,292.0","58,539.0","61,123.0","60,462.0","52,420.0","39,994.0","51,639.0","61,420.0","61,869.0","63,700.0","71,239.0","62,999.0","61,168.0","60,153.0","61,646.0","58,682.0","56,982.0","46,761.0","35,095.0","40,897.0","62,494.0","64,487.0","63,391.0","66,234.0","67,003.0","63,390.0","60,967.0","62,347.0","56,047.0","55,875.0","63,915.0","62,132.0","60,626.0","60,569.0","61,260.0","63,432.0","67,982.0","60,506.0","64,264.0","50,205.0","76,831.0","72,270.0","70,842.0","75,133.0","79,483.0","77,871.0","77,148.0","74,532.0","69,940.0","72,188.0","67,292.0","72,997.0","78,879.0","82,012.0","82,966.0","77,710.0","67,786.0","75,057.0","63,308.0","79,291.0","91,602.0","86,490.0","81,363.0","76,141.0","66,127.0","63,839.0","68,221.0","78,381.0","91,668.0","102,552.0","88,559.0","90,336.0","95,223.0","82,376.0","88,449.0","85,748.0","80,648.0","77,374.0","76,145.0","82,700.0","81,992.0","71,622.0","67,098.0","64,045.0","68,814.0","76,663.0","73,580.0","75,410.0","75,850.0","74,150.0","77,233.0","77,626.0","67,037.0","63,877.0","76,275.0","82,026.0","83,829.0","92,249.0","93,786.0","99,785.0","122,798.0","122,662.0","111,854.0","115,703.0","104,082.0","103,509.0","102,204.0","98,276.0","86,724.0","90,558.0","93,623.0","101,295.0","109,716.0","109,518.0","112,390.0","127,950.0","143,188.0","135,057.0","122,846.0","120,714.0","110,117.0","112,565.0","113,651.0","116,179.0","121,653.0","123,555.0","141,093.0","144,140.0","150,892.0","153,632.0","155,304.0","151,605.0","150,946.0"
"24","5","Households and institutions","A193RC1","82,007.0","84,133.0","86,459.0","88,852.0","89,936.0","91,421.0","93,390.0","95,748.0","98,764.0","100,897.0","103,205.0","105,944.0","108,233.0","110,307.0","112,235.0","114,653.0","117,400.0","120,213.0","122,987.0","126,094.0","128,850.0","131,892.0","135,094.0","138,620.0","142,359.0","145,681.0","149,253.0","152,666.0","155,531.0","158,486.0","161,940.0","165,868.0","168,722.0","172,507.0","177,837.0","182,975.0","183,476.0","193,131.0","201,846.0","209,012.0","212,977.0","216,264.0","222,706.0","231,237.0","240,763.0","250,265.0","256,971.0","266,115.0","274,892.0","282,678.0","291,459.0","301,158.0","308,751.0","314,593.0","323,663.0","330,377.0","336,400.0","343,658.0","351,063.0","361,503.0","367,824.0","374,132.0","385,264.0","393,948.0","398,324.0","406,541.0","413,098.0","422,451.0","431,042.0","438,360.0","446,463.0","453,138.0","463,654.0","472,547.0","486,380.0","508,723.0","512,417.0","523,869.0","534,210.0","548,207.0","557,556.0","569,015.0","579,661.0","590,498.0","602,700.0","618,338.0","634,144.0","640,745.0","650,861.0","660,111.0","669,988.0","682,755.0","690,553.0","708,092.0","718,156.0","727,746.0","741,764.0","748,735.0","754,892.0","762,928.0","776,830.0","791,421.0","809,119.0","822,689.0","837,389.0","848,243.0","854,489.0","868,134.0","879,336.0","889,853.0","902,474.0","916,338.0","928,887.0","942,235.0","955,860.0","970,004.0","982,170.0","999,757.0","1,020,319.0","1,038,185.0","1,052,999.0","1,076,364.0","1,088,569.0","1,113,743.0","1,130,522.0","1,146,280.0","1,164,628.0","1,187,270.0","1,206,225.0","1,221,474.0","1,245,040.0","1,258,872.0","1,278,208.0","1,301,588.0","1,303,358.0","1,309,041.0","1,332,041.0","1,337,140.0","1,333,702.0","1,385,974.0","1,389,499.0","1,408,260.0","1,440,821.0","1,456,566.0","1,477,197.0","1,498,553.0","1,513,860.0","1,536,070.0","1,570,442.0","1,599,329.0","1,619,594.0","1,622,031.0","1,650,764.0","1,664,978.0","1,694,470.0","1,733,050.0","1,764,875.0","1,802,293.0","1,816,028.0","1,839,565.0","1,828,446.0","1,832,647.0","1,839,244.0","1,843,618.0","1,833,933.0","1,835,244.0","1,843,881.0","1,840,540.0","1,851,915.0","1,861,597.0","1,871,467.0","1,887,845.0","1,904,618.0"
"25","6","  Households","B701RC1","54,237.0","55,412.0","56,544.0","57,646.0","58,316.0","59,031.0","60,159.0","61,793.0","63,348.0","64,663.0","66,340.0","67,843.0","69,204.0","70,210.0","71,300.0","72,536.0","74,103.0","75,567.0","77,204.0","79,027.0","80,684.0","81,967.0","83,674.0","85,688.0","87,926.0","89,842.0","91,630.0","93,625.0","95,376.0","97,371.0","99,661.0","102,199.0","103,772.0","106,199.0","109,526.0","112,060.0","116,774.0","119,137.0","122,258.0","127,049.0","130,741.0","132,719.0","137,065.0","143,290.0","149,080.0","155,127.0","158,063.0","163,927.0","169,475.0","174,622.0","180,391.0","186,770.0","191,045.0","193,964.0","199,106.0","202,553.0","205,999.0","210,073.0","213,709.0","220,306.0","223,517.0","225,952.0","234,197.0","240,333.0","242,985.0","248,765.0","251,953.0","257,539.0","262,111.0","265,820.0","270,255.0","273,669.0","278,311.0","282,656.0","291,917.0","299,227.0","305,572.0","308,397.0","314,836.0","323,500.0","328,162.0","334,880.0","340,366.0","345,468.0","351,695.0","360,237.0","368,669.0","372,753.0","377,530.0","380,047.0","385,272.0","391,990.0","394,748.0","403,285.0","409,483.0","413,567.0","423,592.0","426,710.0","428,689.0","434,048.0","444,131.0","455,827.0","468,499.0","476,740.0","483,927.0","490,210.0","492,613.0","502,093.0","508,612.0","515,594.0","523,419.0","531,425.0","539,607.0","547,001.0","554,610.0","562,416.0","569,163.0","578,264.0","589,871.0","598,124.0","610,072.0","622,077.0","633,528.0","647,966.0","659,412.0","666,693.0","676,718.0","691,141.0","699,558.0","712,035.0","730,835.0","735,746.0","741,064.0","753,181.0","745,440.0","744,281.0","759,254.0","757,624.0","747,649.0","786,216.0","787,409.0","795,871.0","813,593.0","827,317.0","845,880.0","859,436.0","866,911.0","885,329.0","906,031.0","924,291.0","938,397.0","930,419.0","946,936.0","952,957.0","972,960.0","999,375.0","1,016,136.0","1,045,613.0","1,050,080.0","1,059,183.0","1,050,310.0","1,043,916.0","1,049,792.0","1,043,508.0","1,039,272.0","1,032,963.0","1,031,479.0","1,030,589.0","1,035,107.0","1,036,732.0","1,035,855.0","1,043,274.0","1,051,908.0"
"26","7","  Nonprofit institutions serving households \3\","B702RC1","27,770.0","28,721.0","29,915.0","31,206.0","31,620.0","32,390.0","33,231.0","33,955.0","35,416.0","36,234.0","36,865.0","38,101.0","39,029.0","40,097.0","40,935.0","42,117.0","43,297.0","44,646.0","45,783.0","47,067.0","48,166.0","49,925.0","51,420.0","52,932.0","54,433.0","55,839.0","57,623.0","59,041.0","60,155.0","61,115.0","62,279.0","63,669.0","64,950.0","66,308.0","68,311.0","70,915.0","66,702.0","73,994.0","79,588.0","81,963.0","82,236.0","83,545.0","85,641.0","87,947.0","91,683.0","95,138.0","98,908.0","102,188.0","105,417.0","108,056.0","111,068.0","114,388.0","117,706.0","120,629.0","124,557.0","127,824.0","130,401.0","133,585.0","137,354.0","141,197.0","144,307.0","148,180.0","151,067.0","153,615.0","155,339.0","157,776.0","161,145.0","164,912.0","168,931.0","172,540.0","176,208.0","179,469.0","185,343.0","189,891.0","194,463.0","209,496.0","206,845.0","215,472.0","219,374.0","224,707.0","229,394.0","234,135.0","239,295.0","245,030.0","251,005.0","258,101.0","265,475.0","267,992.0","273,331.0","280,064.0","284,716.0","290,765.0","295,805.0","304,807.0","308,673.0","314,179.0","318,172.0","322,025.0","326,203.0","328,880.0","332,699.0","335,594.0","340,620.0","345,949.0","353,462.0","358,033.0","361,876.0","366,041.0","370,724.0","374,259.0","379,055.0","384,913.0","389,280.0","395,234.0","401,250.0","407,588.0","413,007.0","421,493.0","430,448.0","440,061.0","442,927.0","454,287.0","455,041.0","465,777.0","471,110.0","479,587.0","487,910.0","496,129.0","506,667.0","509,439.0","514,205.0","523,126.0","537,144.0","548,407.0","557,918.0","564,760.0","572,787.0","579,516.0","586,053.0","599,758.0","602,090.0","612,389.0","627,228.0","629,249.0","631,317.0","639,117.0","646,949.0","650,741.0","664,411.0","675,038.0","681,197.0","691,612.0","703,828.0","712,021.0","721,510.0","733,675.0","748,739.0","756,680.0","765,948.0","780,382.0","778,136.0","788,731.0","789,452.0","800,110.0","794,661.0","802,281.0","812,402.0","809,951.0","816,808.0","824,865.0","835,612.0","844,571.0","852,710.0"
"27","8","General government \4\","A765RC1","124,714.0","127,318.0","132,718.0","135,100.0","139,806.0","142,515.0","144,852.0","146,961.0","152,616.0","155,256.0","157,517.0","160,028.0","165,268.0","167,070.0","170,084.0","175,179.0","178,268.0","181,221.0","184,389.0","189,064.0","193,502.0","197,935.0","203,236.0","210,642.0","216,608.0","221,857.0","226,640.0","232,728.0","236,922.0","241,006.0","244,817.0","251,080.0","256,594.0","261,277.0","266,193.0","274,400.0","279,441.0","283,860.0","289,557.0","297,008.0","303,242.0","307,583.0","315,187.0","325,846.0","333,928.0","343,430.0","351,149.0","365,537.0","374,151.0","380,766.0","386,783.0","399,502.0","407,853.0","415,652.0","421,603.0","430,712.0","436,874.0","443,547.0","448,644.0","452,388.0","472,257.0","480,666.0","490,102.0","497,540.0","511,429.0","518,949.0","527,190.0","536,145.0","542,989.0","551,064.0","559,361.0","571,682.0","580,322.0","587,601.0","594,273.0","603,957.0","617,384.0","626,229.0","634,259.0","644,515.0","657,481.0","666,687.0","677,812.0","686,922.0","704,740.0","717,283.0","728,261.0","740,329.0","758,386.0","764,341.0","770,524.0","777,167.0","791,204.0","800,170.0","806,879.0","809,451.0","821,038.0","827,615.0","835,988.0","840,020.0","849,844.0","858,754.0","862,908.0","868,111.0","878,642.0","882,512.0","886,693.0","891,193.0","902,317.0","908,580.0","914,315.0","919,933.0","931,018.0","936,960.0","943,541.0","949,746.0","959,309.0","967,209.0","976,958.0","986,714.0","1,003,472.0","1,014,548.0","1,027,369.0","1,040,854.0","1,060,516.0","1,074,400.0","1,084,636.0","1,095,564.0","1,114,649.0","1,131,283.0","1,148,953.0","1,163,654.0","1,190,194.0","1,202,740.0","1,216,510.0","1,236,287.0","1,272,777.0","1,289,454.0","1,298,881.0","1,307,604.0","1,335,766.0","1,352,045.0","1,365,844.0","1,383,720.0","1,416,403.0","1,428,429.0","1,444,309.0","1,456,762.0","1,483,246.0","1,501,579.0","1,521,411.0","1,541,574.0","1,579,151.0","1,594,542.0","1,612,260.0","1,632,421.0","1,666,207.0","1,686,246.0","1,709,980.0","1,729,591.0","1,748,514.0","1,762,189.0","1,769,104.0","1,776,760.0","1,797,863.0","1,811,921.0","1,810,916.0","1,815,599.0","1,827,025.0","1,836,123.0","1,841,939.0","1,849,034.0","1,860,338.0"
"28","9","  Federal","A766RC1","57,888.0","58,436.0","61,640.0","61,796.0","63,836.0","64,044.0","64,104.0","64,168.0","67,044.0","67,536.0","67,696.0","68,580.0","71,184.0","70,632.0","70,908.0","73,408.0","73,240.0","73,124.0","73,604.0","75,736.0","77,060.0","78,112.0","79,724.0","83,396.0","85,160.0","86,072.0","87,344.0","90,660.0","91,564.0","92,620.0","93,756.0","97,276.0","99,516.0","100,892.0","101,708.0","105,964.0","107,136.0","108,476.0","109,864.0","113,288.0","114,352.0","115,772.0","117,456.0","122,796.0","125,256.0","128,896.0","130,856.0","139,816.0","142,792.0","145,156.0","146,932.0","154,640.0","157,080.0","159,856.0","161,764.0","166,156.0","167,992.0","170,832.0","172,744.0","173,420.0","187,904.0","190,876.0","193,968.0","195,532.0","202,548.0","204,352.0","204,876.0","208,276.0","209,900.0","211,572.0","213,384.0","215,424.0","220,516.0","221,948.0","224,344.0","226,408.0","231,416.0","233,656.0","235,996.0","237,932.0","244,256.0","245,860.0","247,964.0","247,696.0","254,428.0","257,820.0","259,200.0","263,740.0","274,804.0","274,380.0","274,928.0","275,224.0","281,728.0","283,384.0","283,116.0","279,752.0","284,568.0","284,932.0","286,488.0","284,772.0","286,720.0","287,468.0","284,016.0","282,456.0","285,972.0","283,832.0","282,952.0","281,632.0","287,576.0","287,892.0","287,828.0","286,948.0","291,160.0","290,440.0","290,000.0","288,520.0","291,696.0","291,776.0","292,436.0","293,080.0","299,488.0","299,340.0","300,344.0","302,404.0","312,344.0","316,348.0","316,220.0","315,496.0","320,576.0","322,940.0","326,416.0","329,812.0","348,396.0","350,120.0","350,848.0","357,996.0","378,668.0","383,148.0","384,200.0","385,668.0","405,428.0","410,868.0","413,852.0","417,900.0","437,544.0","436,928.0","439,484.0","441,016.0","455,768.0","459,716.0","462,408.0","464,688.0","481,244.0","484,760.0","487,632.0","490,532.0","506,928.0","514,572.0","521,944.0","527,412.0","543,948.0","550,544.0","555,844.0","562,588.0","580,892.0","592,168.0","591,340.0","593,812.0","601,860.0","607,208.0","610,984.0","613,732.0","617,576.0"
"29","10","  State and local","A767RC1","66,826.0","68,882.0","71,078.0","73,304.0","75,970.0","78,471.0","80,748.0","82,793.0","85,572.0","87,720.0","89,821.0","91,448.0","94,084.0","96,438.0","99,176.0","101,771.0","105,028.0","108,097.0","110,785.0","113,328.0","116,442.0","119,823.0","123,512.0","127,246.0","131,448.0","135,785.0","139,296.0","142,068.0","145,358.0","148,386.0","151,061.0","153,804.0","157,078.0","160,385.0","164,485.0","168,436.0","172,305.0","175,384.0","179,693.0","183,720.0","188,890.0","191,811.0","197,731.0","203,050.0","208,672.0","214,534.0","220,293.0","225,721.0","231,359.0","235,610.0","239,851.0","244,862.0","250,773.0","255,796.0","259,839.0","264,556.0","268,882.0","272,715.0","275,900.0","278,968.0","284,353.0","289,790.0","296,134.0","302,008.0","308,881.0","314,597.0","322,314.0","327,869.0","333,089.0","339,492.0","345,977.0","356,258.0","359,806.0","365,653.0","369,929.0","377,549.0","385,968.0","392,573.0","398,263.0","406,583.0","413,225.0","420,827.0","429,848.0","439,226.0","450,312.0","459,463.0","469,061.0","476,589.0","483,582.0","489,961.0","495,596.0","501,943.0","509,476.0","516,786.0","523,763.0","529,699.0","536,470.0","542,683.0","549,500.0","555,248.0","563,124.0","571,286.0","578,892.0","585,655.0","592,670.0","598,680.0","603,741.0","609,561.0","614,741.0","620,688.0","626,487.0","632,985.0","639,858.0","646,520.0","653,541.0","661,226.0","667,613.0","675,433.0","684,522.0","693,634.0","703,984.0","715,208.0","727,025.0","738,450.0","748,172.0","758,052.0","768,416.0","780,068.0","794,073.0","808,343.0","822,537.0","833,842.0","841,798.0","852,620.0","865,662.0","878,291.0","894,109.0","906,306.0","914,681.0","921,936.0","930,338.0","941,177.0","951,992.0","965,820.0","978,859.0","991,501.0","1,004,825.0","1,015,746.0","1,027,478.0","1,041,863.0","1,059,003.0","1,076,886.0","1,097,907.0","1,109,782.0","1,124,628.0","1,141,889.0","1,159,279.0","1,171,674.0","1,188,036.0","1,202,179.0","1,204,566.0","1,211,645.0","1,213,260.0","1,214,172.0","1,216,971.0","1,219,753.0","1,219,576.0","1,221,787.0","1,225,165.0","1,228,915.0","1,230,955.0","1,235,302.0","1,242,762.0"
"30",NA,"Addendum:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","11","  Gross housing value added","A2009C1","68,972.0","70,484.0","72,058.0","73,502.0","74,569.0","75,742.0","77,252.0","79,149.0","80,972.0","82,925.0","84,966.0","86,899.0","88,710.0","90,159.0","91,793.0","93,548.0","95,528.0","97,328.0","99,222.0","101,280.0","103,461.0","105,388.0","107,775.0","110,719.0","113,659.0","115,933.0","118,298.0","120,919.0","122,938.0","125,045.0","127,715.0","130,843.0","135,653.0","138,656.0","141,906.0","145,590.0","151,096.0","153,723.0","156,336.0","160,978.0","165,777.0","168,785.0","174,456.0","182,773.0","189,445.0","197,099.0","202,252.0","210,590.0","217,878.0","224,478.0","231,706.0","241,142.0","247,674.0","251,227.0","259,059.0","264,972.0","269,009.0","274,587.0","280,450.0","286,828.0","290,498.0","294,635.0","304,451.0","315,748.0","320,872.0","328,409.0","337,364.0","345,629.0","350,987.0","358,158.0","362,758.0","367,005.0","375,195.0","379,441.0","389,682.0","397,696.0","406,254.0","409,931.0","417,606.0","427,374.0","432,515.0","440,292.0","446,885.0","453,772.0","462,186.0","473,311.0","484,545.0","491,141.0","498,298.0","503,004.0","510,870.0","520,082.0","525,714.0","536,328.0","543,720.0","548,572.0","558,048.0","561,127.0","563,053.0","569,560.0","582,057.0","595,732.0","611,049.0","621,503.0","630,921.0","638,616.0","641,323.0","652,036.0","658,682.0","666,191.0","675,481.0","684,711.0","695,098.0","704,248.0","713,037.0","721,858.0","728,537.0","738,721.0","752,335.0","761,593.0","776,510.0","790,870.0","804,373.0","821,497.0","833,801.0","841,711.0","853,497.0","870,595.0","881,040.0","895,279.0","917,826.0","923,643.0","929,983.0","943,511.0","930,988.0","925,364.0","938,422.0","932,710.0","917,497.0","964,343.0","966,788.0","977,023.0","998,069.0","1,012,783.0","1,033,077.0","1,047,656.0","1,056,141.0","1,079,164.0","1,104,890.0","1,127,816.0","1,146,687.0","1,143,691.0","1,168,609.0","1,182,404.0","1,209,483.0","1,242,008.0","1,262,558.0","1,299,252.0","1,310,316.0","1,326,770.0","1,319,791.0","1,317,638.0","1,325,858.0","1,321,369.0","1,319,579.0","1,313,476.0","1,312,790.0","1,312,252.0","1,321,546.0","1,327,355.0","1,330,386.0","1,343,007.0","1,356,323.0"
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","1. Equals gross domestic product excluding gross value added of households and institutions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
