"","Table 6#16C# Corporate Profits by Industry","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"25","6","  Receipts from the rest of the world","B933RC1","53,032.0","59,040.0","60,680.0","62,940.0","68,044.0","73,112.0","71,340.0","73,824.0","74,376.0","75,768.0","75,640.0","76,256.0","80,484.0","81,580.0","78,736.0","82,876.0","82,384.0","75,068.0","71,548.0","72,956.0","78,500.0","83,392.0","78,280.0","73,140.0","86,228.0","87,480.0","90,716.0","91,368.0","95,332.0","100,148.0","108,864.0","113,756.0","121,296.0","129,252.0","126,396.0","132,512.0","134,780.0","134,928.0","138,424.0","149,304.0","153,260.0","159,432.0","160,724.0","148,568.0","150,416.0","152,684.0","139,644.0","144,400.0","160,755.0","171,229.0","183,271.0","191,970.0","197,524.0","203,736.0","196,232.0","212,432.0"
"26","7","  Less: Payments to the rest of the world","B934RC1","11,728.0","10,572.0","12,924.0","8,420.0","15,348.0","15,380.0","14,188.0","13,468.0","10,376.0","11,784.0","9,088.0","2,276.0","7,060.0","6,452.0","7,788.0","-1,976.0","-1,768.0","372.0","1,540.0","-4,064.0","-24.0","7,788.0","7,024.0","6,164.0","3,424.0","14,524.0","10,636.0","19,488.0","20,260.0","22,848.0","29,600.0","33,528.0","32,536.0","32,516.0","39,384.0","33,232.0","34,120.0","37,032.0","39,772.0","38,628.0","49,916.0","46,444.0","51,216.0","44,184.0","41,780.0","46,672.0","43,560.0","44,084.0","46,821.0","54,607.0","64,754.0","54,978.0","66,419.0","65,251.0","51,775.0","43,982.0"
"27","8","    Corporate profits with inventory valuation adjustment","A052RC1","263,306.0","302,051.0","328,120.0","333,963.0","343,927.0","361,590.0","370,143.0","395,336.0","378,493.0","372,364.0","377,299.0","368,264.0","390,136.0","415,685.0","391,565.0","397,796.0","432,414.0","428,259.0","427,518.0","433,060.0","466,598.0","473,377.0","462,265.0","484,081.0","481,379.0","506,462.0","515,109.0","557,057.0","554,178.0","569,624.0","599,495.0","623,084.0","627,041.0","652,784.0","686,745.0","697,479.0","729,188.0","739,751.0","743,373.0","762,921.0","790,038.0","810,291.0","841,593.0","821,491.0","746,175.0","739,047.0","745,868.0","723,435.0","779,372.0","777,964.0","768,089.0","780,818.0","769,634.0","766,101.0","753,729.0","733,186.0"
"28","9","Domestic industries","A390RC1","222,005.0","253,583.0","280,365.0","279,445.0","291,230.0","303,856.0","312,992.0","334,981.0","314,493.0","308,378.0","310,748.0","294,284.0","316,711.0","340,555.0","320,616.0","312,946.0","348,262.0","353,561.0","357,509.0","356,040.0","388,074.0","397,770.0","391,012.0","417,104.0","398,576.0","433,505.0","435,028.0","485,177.0","479,104.0","492,324.0","520,230.0","542,855.0","538,279.0","556,049.0","599,734.0","598,199.0","628,529.0","641,853.0","644,721.0","652,246.0","686,696.0","697,298.0","732,087.0","717,107.0","637,546.0","633,031.0","649,784.0","623,117.0","665,435.0","661,341.0","649,574.0","643,826.0","638,531.0","627,617.0","609,270.0","564,737.0"
"29","10","  Financial","A392RC1","52,983.0","61,462.0","66,123.0","65,670.0","60,667.0","68,590.0","73,365.0","72,573.0","79,037.0","79,823.0","82,544.0","79,336.0","87,001.0","93,278.0","95,386.0","93,596.0","114,592.0","120,297.0","125,711.0","127,857.0","146,356.0","144,332.0","140,529.0","139,618.0","128,668.0","132,382.0","130,958.0","141,665.0","128,337.0","121,331.0","134,578.0","132,468.0","146,784.0","160,941.0","170,059.0","162,647.0","170,192.0","171,995.0","168,557.0","159,107.0","181,718.0","186,696.0","189,360.0","191,953.0","165,412.0","156,956.0","156,228.0","159,908.0","181,668.0","180,117.0","198,170.0","201,810.0","199,690.0","188,722.0","194,308.0","194,819.0"
"30","11","    Federal Reserve banks","B397RC1","15,470.0","16,278.0","16,556.0","16,684.0","17,358.0","17,497.0","18,147.0","19,298.0","20,135.0","21,251.0","20,343.0","20,854.0","21,015.0","21,715.0","22,685.0","21,853.0","21,406.0","20,670.0","20,628.0","20,196.0","19,239.0","18,890.0","17,810.0","17,227.0","17,012.0","16,608.0","16,568.0","16,561.0","16,734.0","17,560.0","18,987.0","20,767.0","22,417.0","23,393.0","23,153.0","22,804.0","22,299.0","22,529.0","22,527.0","22,822.0","23,408.0","24,093.0","24,596.0","25,018.0","25,406.0","25,653.0","25,782.0","25,541.0","25,250.0","25,884.0","26,553.0","29,007.0","30,361.0","30,878.0","31,543.0","32,079.0"
"31","12","    Other","B398RC1","37,513.0","45,184.0","49,567.0","48,986.0","43,309.0","51,093.0","55,218.0","53,275.0","58,902.0","58,572.0","62,201.0","58,482.0","65,986.0","71,563.0","72,701.0","71,743.0","93,186.0","99,627.0","105,083.0","107,661.0","127,117.0","125,442.0","122,719.0","122,391.0","111,656.0","115,774.0","114,390.0","125,104.0","111,603.0","103,771.0","115,591.0","111,701.0","124,367.0","137,548.0","146,906.0","139,843.0","147,893.0","149,466.0","146,030.0","136,285.0","158,310.0","162,603.0","164,764.0","166,935.0","140,006.0","131,303.0","130,446.0","134,367.0","156,418.0","154,233.0","171,617.0","172,803.0","169,329.0","157,844.0","162,765.0","162,740.0"
"32","13","  Nonfinancial","A399RC1","169,022.0","192,121.0","214,242.0","213,775.0","230,563.0","235,266.0","239,627.0","262,408.0","235,456.0","228,555.0","228,204.0","214,948.0","229,710.0","247,277.0","225,230.0","219,350.0","233,670.0","233,264.0","231,798.0","228,183.0","241,718.0","253,438.0","250,483.0","277,486.0","269,908.0","301,123.0","304,070.0","343,512.0","350,767.0","370,993.0","385,652.0","410,387.0","391,495.0","395,108.0","429,675.0","435,552.0","458,337.0","469,858.0","476,164.0","493,139.0","504,978.0","510,602.0","542,727.0","525,154.0","472,134.0","476,075.0","493,556.0","463,209.0","483,767.0","481,224.0","451,404.0","442,016.0","438,841.0","438,895.0","414,962.0","369,918.0"
"33","14","    Manufacturing","A400RC1","63,819.0","81,201.0","101,416.0","103,760.0","113,580.0","118,199.0","123,036.0","134,988.0","123,411.0","116,134.0","110,565.0","98,316.0","114,450.0","124,624.0","111,210.0","107,501.0","103,246.0","99,815.0","100,881.0","93,675.0","95,366.0","100,669.0","102,683.0","104,507.0","99,439.0","119,055.0","112,034.0","136,846.0","140,808.0","141,804.0","151,725.0","165,938.0","165,413.0","170,821.0","184,342.0","186,210.0","186,052.0","192,091.0","192,527.0","197,179.0","198,661.0","207,371.0","226,291.0","216,532.0","175,438.0","169,624.0","177,908.0","170,468.0","177,636.0","180,531.0","173,785.0","166,342.0","180,617.0","180,739.0","166,415.0","138,222.0"
"34","15","      Durable goods","A406RC1","39,329.0","41,639.0","45,637.0","38,705.0","44,771.0","57,117.0","56,892.0","60,270.0","58,708.0","54,451.0","49,483.0","44,569.0","51,030.0","49,596.0","46,032.0","31,477.0","27,380.0","38,506.0","38,137.0","36,301.0","38,065.0","40,521.0","40,751.0","45,366.0","42,570.0","56,698.0","56,719.0","69,885.0","74,128.0","71,749.0","73,642.0","83,492.0","82,040.0","78,257.0","83,325.0","85,420.0","86,481.0","94,015.0","93,178.0","94,499.0","93,635.0","101,731.0","117,683.0","106,142.0","80,064.0","80,643.0","87,904.0","98,364.0","76,312.0","77,843.0","78,553.0","79,006.0","80,486.0","72,239.0","62,086.0","43,582.0"
"35","16","        Primary metal industries","A407RC1","2,622.0","1,420.0","3,032.0","3,419.0","4,867.0","6,137.0","6,229.0","7,046.0","6,841.0","7,131.0","7,389.0","4,213.0","5,145.0","4,262.0","2,470.0","2,123.0","2,823.0","939.0","1,387.0","902.0","317.0","87.0","-142.0","-261.0","-1,767.0","1,055.0","21.0","2,428.0","1,427.0","1,678.0","2,709.0","3,700.0","6,716.0","8,106.0","6,815.0","6,975.0","5,721.0","5,166.0","6,348.0","5,469.0","3,807.0","6,963.0","7,975.0","6,896.0","6,938.0","6,034.0","5,813.0","6,279.0","3,663.0","2,921.0","1,274.0","922.0","1,863.0","835.0","688.0","902.0"
"36","17","        Fabricated metal products","A408RC1","4,424.0","4,561.0","6,693.0","6,425.0","7,668.0","7,073.0","5,289.0","6,276.0","7,705.0","6,489.0","6,717.0","4,868.0","7,379.0","6,443.0","5,660.0","4,895.0","3,735.0","5,980.0","5,575.0","6,055.0","5,877.0","6,259.0","6,879.0","6,042.0","5,447.0","7,410.0","7,796.0","9,145.0","10,489.0","10,005.0","11,046.0","13,103.0","11,759.0","12,330.0","11,546.0","11,966.0","13,926.0","13,152.0","15,439.0","15,944.0","16,219.0","16,515.0","17,870.0","17,701.0","14,471.0","16,219.0","18,170.0","15,611.0","15,855.0","15,663.0","15,927.0","16,816.0","19,001.0","15,870.0","15,205.0","11,880.0"
"37","18","        Industrial machinery and equipment","A409RC1","3,251.0","4,454.0","7,550.0","6,989.0","10,551.0","12,536.0","12,258.0","9,674.0","11,039.0","12,344.0","11,394.0","14,775.0","13,945.0","12,925.0","11,776.0","9,314.0","6,587.0","5,926.0","4,648.0","6,139.0","6,400.0","8,072.0","8,273.0","7,525.0","6,652.0","8,583.0","8,145.0","6,876.0","7,337.0","8,799.0","9,137.0","11,727.0","13,657.0","13,621.0","15,566.0","16,645.0","19,838.0","17,279.0","15,578.0","15,381.0","14,213.0","14,963.0","18,782.0","19,526.0","13,332.0","19,140.0","20,876.0","25,034.0","9,600.0","11,734.0","12,333.0","14,460.0","15,465.0","15,164.0","18,166.0","15,891.0"
"38","19","        Electronic and other electric equipment","A410RC1","5,590.0","7,491.0","7,483.0","3,648.0","4,182.0","7,614.0","9,514.0","10,079.0","9,688.0","9,809.0","8,200.0","10,122.0","10,523.0","9,369.0","8,719.0","6,039.0","8,380.0","11,149.0","10,141.0","11,062.0","11,126.0","9,464.0","10,142.0","11,796.0","13,280.0","13,088.0","16,942.0","18,317.0","19,882.0","21,405.0","24,660.0","26,817.0","22,917.0","20,282.0","22,459.0","22,473.0","17,991.0","21,041.0","20,439.0","23,470.0","23,552.0","25,793.0","29,348.0","25,245.0","11,999.0","8,706.0","7,246.0","8,621.0","4,860.0","4,108.0","6,707.0","5,686.0","6,133.0","7,233.0","5,402.0","1,569.0"
"39","20","        Motor vehicles and equipment","A411RC1","5,577.0","6,765.0","1,974.0","998.0","1,731.0","4,830.0","8,459.0","10,199.0","8,121.0","4,583.0","1,042.0","-2,606.0","-3,890.0","611.0","1,536.0","-5,506.0","-9,837.0","-5,744.0","-2,259.0","-3,424.0","-2,008.0","298.0","-2,496.0","473.0","-63.0","5,491.0","5,422.0","13,383.0","14,746.0","9,407.0","4,234.0","3,792.0","2,496.0","-1,511.0","345.0","-645.0","1,328.0","6,740.0","7,789.0","2,049.0","5,086.0","2,960.0","8,134.0","4,524.0","6,263.0","3,696.0","4,694.0","8,807.0","8,650.0","6,275.0","8,033.0","7,144.0","1,196.0","418.0","-2,324.0","-4,689.0"
"40","21","        Other","A412RC1","17,865.0","16,948.0","18,905.0","17,226.0","15,772.0","18,927.0","15,143.0","16,996.0","15,314.0","14,095.0","14,741.0","13,197.0","17,928.0","15,986.0","15,871.0","14,612.0","15,692.0","20,256.0","18,645.0","15,567.0","16,353.0","16,341.0","18,095.0","19,791.0","19,021.0","21,071.0","18,393.0","19,736.0","20,247.0","20,455.0","21,856.0","24,353.0","24,495.0","25,429.0","26,594.0","28,006.0","27,677.0","30,637.0","27,585.0","32,186.0","30,758.0","34,537.0","35,574.0","32,250.0","27,061.0","26,848.0","31,105.0","34,012.0","33,684.0","37,142.0","34,279.0","33,978.0","36,828.0","32,719.0","24,949.0","18,029.0"
"41","22","      Nondurable goods","A401RC1","24,490.0","39,562.0","55,779.0","65,055.0","68,809.0","61,082.0","66,144.0","74,718.0","64,703.0","61,683.0","61,082.0","53,747.0","63,420.0","75,028.0","65,178.0","76,024.0","75,866.0","61,309.0","62,744.0","57,374.0","57,301.0","60,148.0","61,932.0","59,141.0","56,869.0","62,357.0","55,315.0","66,961.0","66,680.0","70,055.0","78,083.0","82,446.0","83,373.0","92,564.0","101,017.0","100,790.0","99,571.0","98,076.0","99,349.0","102,680.0","105,026.0","105,640.0","108,608.0","110,390.0","95,374.0","88,981.0","90,004.0","72,104.0","101,324.0","102,688.0","95,232.0","87,336.0","100,131.0","108,500.0","104,329.0","94,640.0"
"42","23","        Food and kindred products","A402RC1","7,990.0","10,960.0","12,932.0","12,971.0","10,763.0","8,924.0","8,679.0","10,478.0","12,819.0","9,823.0","11,168.0","10,873.0","10,478.0","14,636.0","15,759.0","16,899.0","18,115.0","18,318.0","20,289.0","16,455.0","16,741.0","19,655.0","19,746.0","17,454.0","17,655.0","15,781.0","16,463.0","16,222.0","19,050.0","18,953.0","20,976.0","22,533.0","25,158.0","27,992.0","28,707.0","28,591.0","23,788.0","19,918.0","21,377.0","25,665.0","24,786.0","24,993.0","23,771.0","27,240.0","23,470.0","24,851.0","25,893.0","13,602.0","28,448.0","28,694.0","27,185.0","27,964.0","27,900.0","25,830.0","29,060.0","21,209.0"
"43","24","        Chemicals and allied products","A403RC1","10,166.0","12,988.0","17,011.0","18,066.0","19,271.0","16,686.0","15,940.0","23,180.0","18,619.0","20,941.0","18,364.0","15,422.0","17,065.0","19,469.0","17,681.0","13,670.0","13,267.0","15,237.0","17,738.0","19,074.0","16,656.0","15,484.0","16,043.0","16,376.0","16,755.0","14,615.0","13,725.0","19,001.0","19,954.0","22,661.0","24,007.0","27,612.0","25,372.0","28,719.0","30,059.0","28,615.0","28,156.0","28,009.0","25,679.0","24,463.0","29,775.0","31,846.0","34,428.0","33,543.0","28,990.0","22,020.0","25,171.0","28,511.0","31,395.0","31,414.0","22,020.0","14,293.0","20,085.0","16,658.0","12,111.0","12,362.0"
"44","25","        Petroleum and coal products","A404RC1","-13,318.0","-3,794.0","2,259.0","9,182.0","11,139.0","8,778.0","15,303.0","16,187.0","5,808.0","6,639.0","8,616.0","5,354.0","13,569.0","17,865.0","7,881.0","26,579.0","25,697.0","5,832.0","-1,422.0","-591.0","-426.0","-532.0","-480.0","-1,739.0","-3,008.0","4,402.0","3,389.0","6,451.0","-315.0","-2,182.0","4,222.0","4,320.0","2,669.0","6,747.0","11,237.0","8,928.0","10,756.0","15,110.0","16,705.0","18,683.0","17,638.0","16,661.0","18,165.0","17,756.0","11,269.0","9,594.0","7,329.0","109.0","1,266.0","4,758.0","8,394.0","4,040.0","15,690.0","34,102.0","34,702.0","34,129.0"
"45","26","        Other","A405RC1","19,652.0","19,408.0","23,577.0","24,836.0","27,636.0","26,694.0","26,222.0","24,873.0","27,457.0","24,280.0","22,934.0","22,098.0","22,308.0","23,058.0","23,857.0","18,876.0","18,787.0","21,922.0","26,139.0","22,436.0","24,330.0","25,541.0","26,623.0","27,050.0","25,467.0","27,559.0","21,738.0","25,287.0","27,991.0","30,623.0","28,878.0","27,981.0","30,174.0","29,106.0","31,014.0","34,656.0","36,871.0","35,039.0","35,588.0","33,869.0","32,827.0","32,140.0","32,244.0","31,851.0","31,645.0","32,516.0","31,611.0","29,882.0","40,215.0","37,822.0","37,633.0","41,039.0","36,456.0","31,910.0","28,456.0","26,940.0"
"46","27","    Transportation and public utilities","A416RC1","39,036.0","46,103.0","41,690.0","42,633.0","45,602.0","46,862.0","50,285.0","52,867.0","45,795.0","45,137.0","42,122.0","42,185.0","43,415.0","48,699.0","47,712.0","39,083.0","51,127.0","54,838.0","53,857.0","55,383.0","60,572.0","59,064.0","56,761.0","60,248.0","66,145.0","68,939.0","70,707.0","74,973.0","75,889.0","84,439.0","87,388.0","93,124.0","86,433.0","86,044.0","91,066.0","88,108.0","90,194.0","95,822.0","92,707.0","96,017.0","85,435.0","87,704.0","86,187.0","86,802.0","79,226.0","83,242.0","88,856.0","72,940.0","64,801.0","54,334.0","54,816.0","62,458.0","48,997.0","44,040.0","45,352.0","44,735.0"
"47","28","      Transportation","A417RC1","2,927.0","4,133.0","3,283.0","4,264.0","7,219.0","8,161.0","9,649.0","7,600.0","1,825.0","2,440.0","1,933.0","-119.0","1,451.0","4,262.0","-276.0","-5,769.0","4,466.0","3,685.0","484.0","1,727.0","5,906.0","997.0","693.0","2,945.0","5,549.0","6,839.0","7,826.0","9,063.0","8,112.0","10,104.0","11,726.0","14,481.0","11,598.0","12,246.0","12,156.0","12,404.0","12,974.0","17,263.0","19,211.0","16,049.0","18,427.0","18,888.0","20,705.0","20,349.0","21,021.0","21,959.0","24,535.0","20,606.0","17,232.0","16,329.0","13,957.0","17,342.0","15,125.0","19,421.0","15,713.0","11,109.0"
