"","Table 7#2#6B# Real Motor Vehicle Output, Chained Dollars        ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72"
"32","13","    New motor vehicles","AB68RX1","139,547.0","134,619.0","140,385.0","142,415.0","144,165.0","150,840.0","157,867.0","157,366.0","161,221.0","158,871.0","164,796.0","170,101.0","169,491.0","183,076.0","170,754.0","194,788.0","194,660.0","196,219.0","208,249.0","206,549.0","212,314.0","199,749.0","195,548.0","181,027.0","188,845.0","183,720.0","174,388.0","171,296.0","168,796.0","179,872.0","187,445.0","176,206.0","164,545.0","165,367.0","177,684.0","178,843.0","177,018.0","185,603.0","200,578.0","207,680.0","200,786.0","208,178.0","223,937.0","218,924.0","237,835.0","225,894.0","225,252.0","230,044.0","228,283.0","216,350.0","219,080.0","215,197.0","207,955.0","187,174.0","170,376.0","131,657.0","103,615.0","111,708.0","118,214.0","135,411.0","149,510.0","156,640.0","163,267.0","163,230.0","178,999.0","175,518.0","192,284.0","191,644.0","205,424.0"
"33","14","      Autos","B139RX1","68,370.0","65,983.0","69,413.0","67,930.0","67,765.0","72,184.0","73,983.0","68,594.0","72,442.0","70,076.0","71,492.0","71,138.0","69,053.0","73,625.0","68,413.0","80,205.0","76,587.0","79,460.0","81,867.0","80,852.0","86,273.0","80,383.0","79,426.0","78,039.0","82,106.0","80,963.0","76,043.0","70,965.0","72,766.0","80,514.0","81,251.0","76,153.0","73,337.0","69,668.0","73,115.0","70,506.0","68,729.0","73,021.0","74,060.0","77,134.0","75,170.0","75,416.0","79,456.0","81,016.0","85,034.0","79,548.0","79,290.0","81,044.0","82,593.0","82,548.0","83,946.0","82,333.0","78,785.0","76,902.0","73,374.0","55,293.0","43,740.0","50,578.0","52,764.0","60,110.0","67,311.0","68,799.0","69,070.0","64,001.0","70,982.0","68,707.0","69,546.0","68,927.0","85,180.0"
"34","15","      Trucks","B705RX1","70,742.0","68,210.0","70,513.0","74,069.0","76,005.0","78,210.0","83,462.0","88,527.0","88,452.0","88,516.0","93,058.0","98,816.0","100,375.0","109,426.0","102,330.0","114,489.0","118,091.0","116,733.0","126,403.0","125,724.0","126,014.0","119,351.0","116,087.0","102,891.0","106,616.0","102,601.0","98,212.0","100,281.0","95,904.0","99,144.0","106,078.0","99,957.0","91,068.0","95,644.0","104,548.0","108,337.0","108,285.0","112,571.0","126,520.0","130,550.0","125,626.0","132,765.0","144,482.0","137,894.0","152,804.0","146,360.0","145,979.0","149,026.0","145,696.0","133,765.0","135,092.0","132,817.0","129,128.0","110,184.0","96,852.0","76,285.0","59,804.0","60,998.0","65,321.0","75,163.0","82,058.0","87,709.0","94,058.0","99,046.0","107,825.0","106,619.0","122,565.0","122,548.0","120,068.0"
"35","16","        Light trucks (including utility vehicles)","B196RX1","39,241.0","38,312.0","40,660.0","43,501.0","48,120.0","50,347.0","55,501.0","61,606.0","62,983.0","63,293.0","66,585.0","70,185.0","70,408.0","78,457.0","68,925.0","78,415.0","82,158.0","81,118.0","89,478.0","88,385.0","90,167.0","85,521.0","85,542.0","76,834.0","81,284.0","78,997.0","76,421.0","79,120.0","75,991.0","76,383.0","80,974.0","75,724.0","71,661.0","73,856.0","81,105.0","83,164.0","80,798.0","83,843.0","94,864.0","96,662.0","89,556.0","96,559.0","107,923.0","101,102.0","113,368.0","106,664.0","106,546.0","109,683.0","109,905.0","105,348.0","110,386.0","109,169.0","107,270.0","88,378.0","76,776.0","55,795.0","44,736.0","47,121.0","49,919.0","57,313.0","65,107.0","70,648.0","74,762.0","79,438.0","82,737.0","77,938.0","90,715.0","87,950.0","84,721.0"
"36","17","        Other","B197RX1","34,092.0","32,297.0","32,117.0","32,777.0","29,477.0","29,341.0","29,202.0","27,687.0","25,952.0","25,667.0","26,943.0","29,237.0","30,743.0","31,554.0","34,592.0","37,217.0","36,930.0","36,615.0","37,771.0","38,265.0","36,562.0","34,488.0","30,871.0","26,213.0","25,289.0","23,480.0","21,590.0","20,849.0","19,601.0","22,645.0","25,039.0","24,204.0","19,220.0","21,655.0","23,268.0","25,031.0","27,476.0","28,714.0","31,604.0","33,850.0","36,091.0","36,192.0","36,557.0","36,788.0","39,510.0","39,709.0","39,422.0","39,319.0","35,888.0","28,890.0","25,602.0","24,653.0","23,057.0","22,475.0","20,550.0","20,078.0","14,907.0","13,955.0","15,393.0","17,821.0","17,313.0","17,621.0","19,747.0","20,198.0","25,141.0","28,153.0","31,403.0","33,744.0","34,287.0"
"37","18","    Net purchases of used autos and used light trucks","W242RX1","-38,318.0","-37,218.0","-40,314.0","-40,473.0","-43,485.0","-46,989.0","-48,766.0","-46,124.0","-47,568.0","-47,591.0","-51,314.0","-54,527.0","-56,591.0","-63,052.0","-54,976.0","-62,210.0","-64,968.0","-63,515.0","-66,249.0","-66,911.0","-69,930.0","-65,764.0","-66,842.0","-61,401.0","-66,174.0","-63,220.0","-63,352.0","-59,043.0","-57,732.0","-67,121.0","-68,720.0","-66,987.0","-61,682.0","-57,802.0","-64,712.0","-69,099.0","-63,949.0","-66,357.0","-68,269.0","-65,707.0","-62,342.0","-64,871.0","-67,443.0","-65,326.0","-67,359.0","-62,897.0","-65,157.0","-68,861.0","-73,045.0","-72,874.0","-79,037.0","-74,587.0","-73,449.0","-75,560.0","-78,478.0","-72,626.0","-72,856.0","-80,953.0","-86,959.0","-93,055.0","-79,175.0","-71,334.0","-71,508.0","-69,068.0","-72,755.0","-67,164.0","-70,159.0","-70,915.0","-76,904.0"
"38","19","      Used autos","B140RX1","-28,590.0","-27,259.0","-29,530.0","-28,300.0","-29,206.0","-32,016.0","-33,226.0","-29,869.0","-33,671.0","-31,829.0","-32,816.0","-32,543.0","-33,559.0","-36,716.0","-33,525.0","-38,327.0","-36,126.0","-35,923.0","-35,805.0","-35,421.0","-38,117.0","-34,570.0","-35,016.0","-33,520.0","-34,240.0","-33,636.0","-31,919.0","-28,354.0","-28,924.0","-33,306.0","-33,633.0","-32,870.0","-31,302.0","-29,374.0","-31,810.0","-32,995.0","-31,266.0","-33,813.0","-33,149.0","-32,701.0","-32,214.0","-32,081.0","-32,698.0","-33,947.0","-31,829.0","-30,905.0","-32,328.0","-33,655.0","-34,680.0","-34,224.0","-36,569.0","-34,207.0","-35,466.0","-36,575.0","-38,249.0","-33,749.0","-31,047.0","-35,947.0","-38,916.0","-44,245.0","-38,907.0","-33,405.0","-32,253.0","-29,776.0","-33,859.0","-32,867.0","-31,939.0","-32,099.0","-40,136.0"
"39","20","      Used light trucks (including utility vehicles)","W243RX1","-9,913.0","-10,123.0","-10,962.0","-12,313.0","-14,401.0","-15,115.0","-15,685.0","-16,349.0","-14,069.0","-15,879.0","-18,598.0","-22,071.0","-23,119.0","-26,422.0","-21,551.0","-24,002.0","-28,906.0","-27,661.0","-30,491.0","-31,525.0","-31,868.0","-31,224.0","-31,855.0","-27,931.0","-31,954.0","-29,620.0","-31,439.0","-30,673.0","-28,810.0","-33,816.0","-35,084.0","-34,114.0","-30,387.0","-28,435.0","-32,897.0","-36,096.0","-32,680.0","-32,544.0","-35,123.0","-33,008.0","-30,126.0","-32,789.0","-34,743.0","-31,382.0","-35,529.0","-31,992.0","-32,829.0","-35,205.0","-38,365.0","-38,652.0","-42,471.0","-40,385.0","-37,981.0","-38,986.0","-40,235.0","-38,879.0","-41,812.0","-45,014.0","-48,054.0","-48,815.0","-40,271.0","-37,933.0","-39,259.0","-39,296.0","-38,903.0","-34,314.0","-38,211.0","-38,804.0","-36,802.0"
"40","21","  Gross government investment","AB64RX1","9,349.0","10,832.0","10,266.0","12,222.0","11,927.0","9,808.0","9,628.0","10,848.0","10,969.0","11,220.0","12,020.0","10,279.0","10,651.0","12,847.0","11,633.0","12,876.0","11,943.0","11,036.0","12,829.0","14,620.0","13,507.0","13,185.0","12,901.0","13,030.0","14,524.0","13,454.0","13,041.0","12,960.0","13,208.0","13,541.0","14,495.0","13,858.0","15,962.0","14,048.0","14,880.0","13,078.0","14,670.0","14,204.0","14,558.0","13,598.0","14,705.0","14,217.0","16,800.0","14,667.0","14,701.0","15,912.0","17,719.0","17,899.0","15,213.0","15,131.0","19,553.0","18,243.0","17,753.0","17,816.0","19,541.0","14,133.0","15,842.0","14,448.0","15,694.0","14,733.0","13,762.0","12,985.0","14,231.0","12,996.0","14,254.0","16,045.0","17,823.0","17,954.0","17,510.0"
"41","22","    Autos","B144RX1","3,332.0","4,051.0","3,644.0","4,320.0","3,866.0","3,234.0","3,233.0","4,177.0","3,481.0","3,196.0","3,070.0","3,304.0","3,175.0","3,694.0","3,314.0","3,443.0","3,449.0","3,272.0","3,413.0","3,858.0","3,201.0","3,258.0","3,769.0","3,340.0","3,074.0","3,634.0","3,842.0","3,543.0","3,271.0","3,097.0","3,288.0","3,507.0","3,567.0","3,187.0","3,054.0","3,131.0","3,262.0","3,072.0","2,921.0","3,429.0","3,765.0","3,227.0","3,516.0","3,301.0","3,366.0","3,833.0","3,945.0","3,853.0","3,617.0","4,020.0","3,564.0","4,020.0","3,852.0","3,529.0","3,564.0","3,340.0","3,089.0","2,717.0","2,929.0","2,813.0","2,439.0","2,939.0","2,602.0","2,513.0","2,380.0","2,714.0","2,730.0","2,319.0","2,134.0"
"42","23","    Trucks","B708RX1","5,948.0","6,694.0","6,545.0","7,812.0","7,986.0","6,512.0","6,331.0","6,575.0","7,428.0","7,983.0","8,928.0","6,907.0","7,425.0","9,103.0","8,276.0","9,402.0","8,448.0","7,718.0","9,382.0","10,726.0","10,296.0","9,911.0","9,076.0","9,662.0","11,457.0","9,782.0","9,150.0","9,377.0","9,915.0","10,440.0","11,207.0","10,326.0","12,394.0","10,858.0","11,842.0","9,936.0","11,405.0","11,133.0","11,642.0","10,170.0","10,942.0","10,990.0","13,284.0","11,365.0","11,334.0","12,078.0","13,774.0","14,048.0","11,597.0","11,116.0","15,985.0","14,221.0","13,899.0","14,288.0","15,981.0","10,792.0","12,757.0","11,738.0","12,772.0","11,923.0","11,326.0","10,058.0","11,627.0","10,485.0","11,864.0","13,321.0","15,076.0","15,604.0","15,342.0"
"43","24","  Net exports","AB63RX1","-60,717.0","-60,944.0","-52,416.0","-51,484.0","-54,170.0","-60,029.0","-60,026.0","-55,601.0","-66,184.0","-65,621.0","-64,827.0","-60,887.0","-65,287.0","-69,705.0","-70,365.0","-81,569.0","-90,299.0","-92,381.0","-98,269.0","-99,154.0","-105,085.0","-103,958.0","-108,087.0","-106,462.0","-107,447.0","-104,028.0","-103,704.0","-101,014.0","-104,383.0","-106,441.0","-109,502.0","-110,019.0","-102,508.0","-106,652.0","-101,171.0","-106,610.0","-108,581.0","-111,866.0","-106,589.0","-102,960.0","-98,076.0","-100,386.0","-101,852.0","-108,050.0","-111,525.0","-111,583.0","-105,478.0","-113,262.0","-100,971.0","-92,994.0","-99,161.0","-87,593.0","-90,420.0","-83,828.0","-63,055.0","-56,650.0","-39,240.0","-39,448.0","-57,971.0","-67,927.0","-64,443.0","-74,560.0","-78,458.0","-74,631.0","-78,628.0","-52,390.0","-79,665.0","-79,496.0","-92,074.0"
"44","25","    Exports","AB69RX1","28,758.0","26,156.0","27,657.0","26,932.0","28,446.0","26,871.0","29,661.0","29,327.0","28,618.0","29,528.0","31,259.0","31,181.0","31,925.0","28,762.0","25,694.0","28,228.0","27,331.0","28,063.0","27,085.0","27,945.0","29,690.0","28,984.0","26,842.0","26,576.0","24,417.0","27,301.0","28,608.0","27,946.0","28,338.0","30,443.0","30,863.0","31,991.0","32,712.0","34,651.0","31,289.0","35,182.0","33,048.0","35,603.0","39,523.0","40,105.0","43,205.0","42,787.0","43,585.0","46,305.0","48,658.0","47,458.0","49,608.0","49,316.0","53,417.0","60,157.0","61,212.0","64,621.0","63,224.0","66,569.0","69,863.0","55,001.0","33,204.0","31,981.0","41,551.0","48,211.0","51,772.0","52,702.0","52,484.0","54,178.0","60,051.0","63,572.0","64,870.0","62,707.0","68,649.0"
"45","26","      Autos","B142RX1","14,150.0","12,800.0","13,033.0","13,333.0","14,108.0","12,707.0","14,218.0","13,726.0","13,055.0","13,673.0","13,601.0","13,246.0","13,857.0","12,550.0","11,968.0","13,373.0","12,606.0","12,955.0","12,057.0","12,629.0","13,298.0","13,230.0","12,414.0","12,346.0","11,780.0","13,647.0","15,121.0","14,497.0","14,358.0","15,836.0","15,880.0","15,581.0","16,624.0","16,189.0","15,036.0","16,590.0","15,297.0","16,441.0","16,616.0","18,032.0","20,104.0","19,650.0","19,957.0","21,950.0","23,312.0","22,714.0","24,144.0","24,875.0","27,114.0","30,555.0","32,619.0","35,073.0","35,865.0","38,293.0","40,368.0","31,744.0","17,336.0","17,100.0","21,882.0","25,284.0","26,766.0","26,637.0","26,649.0","28,885.0","31,569.0","32,876.0","32,612.0","33,343.0","37,383.0"
"46","27","      Trucks","B706RX1","14,548.0","13,307.0","14,611.0","13,533.0","14,267.0","14,149.0","15,409.0","15,600.0","15,591.0","15,868.0","17,737.0","18,033.0","18,146.0","16,275.0","13,737.0","14,853.0","14,746.0","15,130.0","15,071.0","15,351.0","16,436.0","15,785.0","14,448.0","14,246.0","12,633.0","13,630.0","13,428.0","13,403.0","13,947.0","14,559.0","14,940.0","16,391.0","16,049.0","18,458.0","16,239.0","18,583.0","17,747.0","19,157.0","22,924.0","22,080.0","23,103.0","23,137.0","23,626.0","24,353.0","25,345.0","24,744.0","25,464.0","24,443.0","26,303.0","29,603.0","28,604.0","29,567.0","27,392.0","28,320.0","29,545.0","23,298.0","15,857.0","14,880.0","19,660.0","22,914.0","24,983.0","26,024.0","25,797.0","25,294.0","28,468.0","30,659.0","32,177.0","29,368.0","31,311.0"
"47","28","    Imports","AB70RX1","89,476.0","87,100.0","80,073.0","78,416.0","82,616.0","86,900.0","89,688.0","84,928.0","94,802.0","95,149.0","96,086.0","92,068.0","97,212.0","98,467.0","96,059.0","109,797.0","117,630.0","120,444.0","125,354.0","127,099.0","134,776.0","132,942.0","134,929.0","133,038.0","131,864.0","131,329.0","132,312.0","128,961.0","132,721.0","136,885.0","140,365.0","142,011.0","135,220.0","141,303.0","132,460.0","141,792.0","141,629.0","147,469.0","146,112.0","143,065.0","141,281.0","143,173.0","145,436.0","154,355.0","160,183.0","159,041.0","155,085.0","162,579.0","154,389.0","153,151.0","160,373.0","152,214.0","153,643.0","150,397.0","132,917.0","111,651.0","72,443.0","71,429.0","99,522.0","116,138.0","116,215.0","127,262.0","130,941.0","128,809.0","138,679.0","115,961.0","144,535.0","142,203.0","160,724.0"
"48","29","      Autos","B143RX1","55,438.0","54,407.0","49,738.0","48,048.0","48,266.0","48,148.0","49,288.0","47,133.0","53,744.0","54,025.0","54,325.0","52,053.0","54,177.0","55,547.0","52,856.0","60,187.0","63,613.0","64,514.0","68,006.0","67,864.0","71,151.0","71,518.0","72,795.0","72,415.0","72,575.0","70,683.0","69,974.0","67,569.0","70,664.0","76,303.0","76,193.0","75,130.0","70,078.0","72,637.0","69,881.0","75,296.0","71,275.0","70,663.0","75,436.0","71,137.0","68,181.0","67,647.0","69,277.0","73,126.0","74,033.0","73,871.0","78,198.0","81,856.0","72,597.0","74,636.0","80,560.0","75,295.0","77,919.0","77,168.0","76,541.0","69,673.0","42,314.0","42,641.0","60,604.0","67,889.0","62,203.0","70,778.0","78,596.0","75,325.0","80,939.0","65,121.0","83,974.0","83,807.0","92,902.0"
"49","30","      Trucks","B707RX1","33,674.0","32,316.0","29,999.0","30,069.0","34,147.0","38,660.0","40,320.0","37,698.0","40,898.0","40,959.0","41,606.0","39,867.0","42,919.0","42,773.0","43,111.0","49,513.0","53,947.0","55,882.0","57,267.0","59,183.0","63,589.0","61,355.0","62,059.0","60,539.0","59,196.0","60,580.0","62,291.0","61,360.0","62,006.0","60,475.0","64,091.0","66,827.0","65,111.0","68,638.0","62,533.0","66,442.0","70,337.0","76,811.0","70,651.0","71,920.0","73,101.0","75,528.0","76,159.0","81,226.0","86,137.0","85,157.0","76,906.0","80,742.0","81,775.0","78,522.0","79,839.0","76,935.0","75,731.0","73,240.0","56,432.0","42,130.0","30,172.0","28,856.0","39,028.0","48,330.0","53,970.0","56,464.0","52,501.0","53,538.0","57,792.0","50,809.0","60,521.0","58,336.0","67,777.0"
"50","31","Change in private inventories","AB65RX1","18,048.0","13,502.0","-6,228.0","3,384.0","-23,306.0","14,361.0","11,261.0","-11,994.0","-4,187.0","6,338.0","6,094.0","10,061.0","19,630.0","-9,182.0","-8,156.0","-479.0","20,196.0","-1,851.0","4,138.0","25,552.0","5,389.0","25,112.0","9,791.0","2,806.0","-26,271.0","5,032.0","4,587.0","-38,075.0","11,242.0","16,022.0","1,387.0","23,317.0","9,613.0","14,074.0","-7,155.0","15,358.0","16,257.0","9,408.0","4,420.0","-12,024.0","-5,235.0","-15,176.0","-10,902.0","16,788.0","3,667.0","275.0","-7,635.0","-11,117.0","-6,765.0","-4,108.0","2,204.0","-22,980.0","-12,099.0","-2,201.0","-13,724.0","-10,926.0","-62,783.0","-50,279.0","-13,129.0","21,284.0","17,897.0","21,458.0","22,808.0","-23,381.0","-7,471.0","-16,146.0","-526.0","-11,673.0","10,351.0"
"51","32","  Autos","A145RX1","13,755.0","7,447.0","-8,665.0","936.0","-17,056.0","6,968.0","5,328.0","-7,815.0","-4,364.0","5,738.0","4,707.0","494.0","7,982.0","-2,676.0","4,910.0","2,222.0","6,913.0","-4,278.0","-4,119.0","10,703.0","17.0","8,320.0","8,948.0","-1,675.0","-7,724.0","1,385.0","1,668.0","-10,722.0","15,237.0","7,042.0","-4,522.0","10,996.0","-8,458.0","5,217.0","-5,186.0","3,420.0","-358.0","2,708.0","1,080.0","-6,958.0","994.0","-6,419.0","-8,626.0","5,219.0","2,582.0","568.0","-3,762.0","4,416.0","-614.0","-4,581.0","278.0","-14,315.0","-1,922.0","-6,539.0","12,867.0","11,740.0","-27,344.0","-15,110.0","-13,282.0","11,821.0","6,959.0","11,364.0","3,233.0","-17,511.0","-11,168.0","-9,396.0","855.0","-3,399.0","4,338.0"
"52","33","    New","B146RX1","13,910.0","5,508.0","-8,407.0","-1,032.0","-20,564.0","5,157.0","4,040.0","-9,961.0","-3,062.0","4,577.0","1,022.0","-587.0","5,116.0","-10,795.0","10,157.0","5,347.0","4,512.0","-1,846.0","-2,704.0","4,606.0","-1,354.0","2,338.0","2,308.0","1,430.0","-11,039.0","-3,803.0","1,703.0","-12,748.0","14,720.0","8,878.0","-2,051.0","9,445.0","-9,057.0","7,129.0","-5,707.0","2,309.0","-240.0","292.0","137.0","-5,726.0","2,593.0","-4,938.0","-7,249.0","4,926.0","4,457.0","3,876.0","-2,671.0","4,588.0","-1,535.0","-2,432.0","480.0","-11,314.0","351.0","-2,452.0","13,327.0","13,535.0","-22,169.0","-14,219.0","-15,573.0","2,683.0","2,783.0","12,210.0","5,116.0","-9,131.0","-4,543.0","-4,017.0","4,378.0","1,765.0","4,093.0"
"53","34","      Domestic","AB71RX1","15,220.0","2,114.0","-3,749.0","-1,346.0","-13,645.0","4,171.0","4,279.0","-9,375.0","-3,591.0","4,078.0","1,561.0","-818.0","3,483.0","-11,445.0","11,147.0","2,645.0","4,111.0","-3,128.0","-2,789.0","1,491.0","-2,232.0","2,367.0","1,855.0","648.0","-12,521.0","-3,270.0","-220.0","-11,977.0","13,831.0","7,970.0","194.0","3,970.0","-5,561.0","3,995.0","-3,340.0","521.0","357.0","658.0","-1,663.0","-906.0","492.0","-4,746.0","-5,096.0","6,501.0","2,343.0","2,253.0","-1,351.0","2,231.0","-272.0","726.0","-2,708.0","-9,199.0","-3,544.0","-2,391.0","9,902.0","12,557.0","-17,566.0","-11,372.0","-10,454.0","3,027.0","3,581.0","6,033.0","3,021.0","-5,092.0","-3,038.0","1,864.0","236.0","3,612.0","1,644.0"
"54","35","      Foreign","AB72RX1","-1,997.0","3,659.0","-4,987.0","382.0","-7,177.0","954.0","-408.0","-335.0","692.0","417.0","-627.0","262.0","1,653.0","952.0","-1,310.0","2,796.0","346.0","1,395.0","150.0","3,263.0","978.0","-82.0","437.0","809.0","1,791.0","-500.0","1,987.0","-679.0","819.0","885.0","-2,269.0","5,531.0","-3,511.0","3,155.0","-2,380.0","1,797.0","-600.0","-369.0","1,783.0","-4,795.0","2,102.0","-190.0","-2,151.0","-1,578.0","2,119.0","1,626.0","-1,326.0","2,362.0","-1,249.0","-3,118.0","3,139.0","-2,133.0","3,829.0","-39.0","3,450.0","988.0","-4,569.0","-2,811.0","-5,135.0","-372.0","-814.0","6,190.0","2,094.0","-4,033.0","-1,505.0","-5,792.0","4,060.0","-1,784.0","2,421.0"
"55","36","    Used","B147RX1","405.0","2,043.0","-584.0","1,803.0","2,420.0","1,911.0","1,375.0","1,654.0","-1,351.0","1,242.0","3,556.0","1,016.0","2,876.0","7,488.0","-4,736.0","-2,852.0","2,432.0","-2,376.0","-1,429.0","5,954.0","1,265.0","5,754.0","6,397.0","-2,910.0","2,699.0","4,678.0","102.0","1,362.0","1,089.0","-1,411.0","-2,413.0","1,771.0","344.0","-1,656.0","477.0","1,119.0","-120.0","2,484.0","959.0","-1,219.0","-1,610.0","-1,474.0","-1,382.0","302.0","-1,889.0","-3,314.0","-1,110.0","-226.0","954.0","-2,158.0","-209.0","-2,944.0","-2,275.0","-4,129.0","-887.0","-2,495.0","-4,746.0","-314.0","3,134.0","9,245.0","4,201.0","-882.0","-1,895.0","-8,472.0","-6,636.0","-5,360.0","-3,346.0","-5,032.0","302.0"
"56","37","  Trucks","B709RX1","2,572.0","5,818.0","4,329.0","2,721.0","-4,578.0","7,403.0","5,981.0","-3,626.0","767.0","20.0","1,035.0","10,453.0","11,951.0","-6,847.0","-14,642.0","-3,105.0","13,725.0","2,942.0","9,187.0","15,099.0","5,747.0","17,346.0","273.0","4,843.0","-19,145.0","3,753.0","2,965.0","-27,994.0","-4,568.0","9,102.0","6,167.0","12,413.0","18,178.0","8,834.0","-2,010.0","11,859.0","16,494.0","6,682.0","3,336.0","-5,072.0","-6,214.0","-8,768.0","-2,282.0","11,571.0","1,085.0","-290.0","-3,858.0","-15,662.0","-6,169.0","495.0","1,936.0","-8,584.0","-10,249.0","4,477.0","-26,963.0","-22,865.0","-35,443.0","-35,154.0","211.0","9,402.0","10,938.0","10,063.0","19,620.0","-5,811.0","3,765.0","-6,708.0","-1,395.0","-8,270.0","6,002.0"
"57","38","    New","W244RX1","2,718.0","6,682.0","4,859.0","2,630.0","-7,426.0","5,915.0","4,338.0","-6,111.0","4,983.0","2,589.0","2,014.0","7,205.0","8,054.0","-15,513.0","-10,260.0","5,736.0","12,274.0","7,896.0","9,810.0","10,089.0","4,540.0","13,676.0","-4,221.0","7,176.0","-22,970.0","-274.0","3,271.0","-30,592.0","-5,835.0","10,848.0","8,701.0","11,062.0","19,866.0","12,179.0","-3,486.0","7,556.0","16,143.0","5,619.0","938.0","-3,327.0","-1,778.0","-8,574.0","-2,887.0","13,396.0","-137.0","3,143.0","-770.0","-13,037.0","-6,308.0","2,517.0","1,284.0","-8,709.0","-9,183.0","4,975.0","-28,123.0","-20,953.0","-30,418.0","-33,376.0","-2,760.0","1,272.0","10,467.0","10,965.0","21,051.0","-1,981.0","11,195.0","964.0","3,069.0","-4,316.0","16,833.0"
"58","39","      Domestic","AB73RX1","1,784.0","6,163.0","6,059.0","5,059.0","-7,750.0","5,875.0","5,185.0","-7,440.0","3,336.0","2,494.0","2,927.0","5,416.0","7,760.0","-17,053.0","-8,158.0","5,756.0","11,055.0","8,631.0","11,278.0","7,534.0","4,845.0","11,693.0","-2,543.0","3,157.0","-21,445.0","751.0","3,424.0","-31,436.0","-5,870.0","10,820.0","7,123.0","6,531.0","18,580.0","11,098.0","-1,419.0","7,675.0","14,466.0","3,904.0","1,174.0","58.0","-2,097.0","-9,194.0","-2,429.0","11,302.0","-929.0","2,787.0","-1,237.0","-14,570.0","-4,988.0","2,984.0","1,542.0","-7,953.0","-11,052.0","89.0","-32,492.0","-14,238.0","-23,019.0","-27,185.0","-39.0","-401.0","8,595.0","9,008.0","19,926.0","-2,096.0","9,996.0","4,431.0","1,183.0","-3,553.0","12,248.0"
"59","40","      Foreign","AB74RX1","724.0","499.0","-787.0","-1,750.0","108.0","135.0","-513.0","828.0","1,282.0","117.0","-657.0","1,494.0","346.0","985.0","-1,809.0","67.0","1,138.0","-486.0","-1,039.0","2,218.0","-202.0","1,845.0","-1,462.0","3,501.0","-1,575.0","-837.0","-76.0","315.0","-52.0","92.0","1,489.0","4,324.0","1,304.0","1,094.0","-2,064.0","-112.0","1,673.0","1,714.0","-244.0","-3,389.0","322.0","626.0","-459.0","2,087.0","789.0","356.0","461.0","1,481.0","-1,297.0","-444.0","-241.0","-753.0","1,750.0","4,674.0","4,059.0","-6,506.0","-7,228.0","-6,093.0","-2,667.0","1,646.0","1,847.0","1,930.0","1,109.0","114.0","1,183.0","-3,391.0","1,842.0","-753.0","4,531.0"
"60","41","    Used \1\","W245RX1","148.0","19.0","59.0","287.0","1,407.0","1,579.0","1,561.0","1,337.0","-2,809.0","-1,838.0","-684.0","3,025.0","3,669.0","6,118.0","-4,141.0","-6,891.0","1,878.0","-3,671.0","47.0","4,696.0","1,246.0","3,790.0","3,472.0","-1,519.0","1,861.0","3,345.0","-130.0","841.0","925.0","-1,180.0","-2,032.0","1,535.0","-1,435.0","-3,157.0","1,239.0","4,184.0","193.0","1,059.0","2,478.0","-1,743.0","-4,484.0","-181.0","601.0","-1,787.0","1,194.0","-3,391.0","-3,064.0","-2,641.0","154.0","-2,060.0","663.0","137.0","-1,083.0","-527.0","1,352.0","-1,766.0","-5,115.0","-1,137.0","3,149.0","8,394.0","432.0","-889.0","-1,273.0","-3,911.0","-7,313.0","-7,577.0","-4,298.0","-3,923.0","-10,481.0"
"61","42","Residual","A974RX1","-2,200.0","-4,400.0","-5,300.0","-4,400.0","-400.0","-4,000.0","-4,000.0","-700.0","-3,300.0","-2,900.0","-3,000.0","-4,400.0","-5,000.0","700.0","-1,700.0","-5,200.0","-4,400.0","-4,200.0","-4,400.0","-3,400.0","-2,500.0","-2,900.0","800.0","-1,500.0","3,200.0","1,200.0","0.0","5,600.0","2,300.0","-400.0","-400.0","-200.0","200.0","200.0","500.0","400.0","400.0","0.0","-200.0","-100.0","-200.0","0.0","0.0","0.0","0.0","100.0","0.0","100.0","-200.0","-500.0","-600.0","-600.0","-600.0","400.0","1,500.0","1,100.0","-2,400.0","-1,500.0","0.0","600.0","0.0","-700.0","-600.0","-1,800.0","-900.0","800.0","500.0","600.0","1,300.0"
"62",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
