"","Table 3BU# Real Inventory-Sales Ratios for Manufacturing and Tra","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18"
"45","38","    Hardware and plumbing and heating equipment wholesalers","R42173",1.817,1.888,1.846,1.924,1.898,1.868,1.86,1.894,1.887,1.873,1.975,1.934,1.966,1.945,2.064
"46","39","    Machinery, equipment, and supplies wholesalers","R42183",2.329,2.431,2.501,2.481,2.485,2.571,2.461,2.436,2.425,2.387,2.383,2.372,2.641,2.54,2.358
"47","40","    Miscellaneous durable goods wholesalers","R42193",1.314,1.536,1.46,1.501,1.448,1.391,1.489,1.422,1.404,1.272,1.177,1.239,1.32,1.185,1.053
"48","41","  Nondurable goods merchant wholesale industries","R42WN3",0.964,0.962,0.958,0.965,0.991,0.961,0.94,0.932,0.928,0.941,0.951,0.953,0.957,0.988,0.995
"49","42","    Paper and paper products wholesalers","R42213",1.319,1.3,1.198,1.281,1.192,1.147,1.138,1.141,1.15,1.136,1.155,1.212,1.236,1.257,1.281
"50","43","    Drugs and druggists' sundries wholesalers","R42223",1.571,1.532,1.571,1.685,1.828,1.655,1.524,1.437,1.259,1.257,1.251,1.236,1.239,1.272,1.235
"51","44","    Apparel, piece goods, and notions wholesalers","R42233",1.84,1.833,1.663,1.57,1.525,1.434,1.344,1.308,1.32,1.413,1.432,1.603,1.413,1.578,1.8
"52","45","    Grocery and related products wholesalers","R42243",0.64,0.611,0.632,0.599,0.559,0.586,0.537,0.547,0.581,0.616,0.62,0.662,0.65,0.688,0.726
"53","46","    Farm product raw material wholesalers","R42253",1.295,1.466,1.505,1.536,1.593,1.525,1.721,1.513,1.607,1.777,1.962,1.768,1.839,1.951,1.841
"54","47","    Chemical and allied products wholesalers","R42263",1.029,1.116,1.136,1.053,1.091,1.09,1.071,1.037,0.994,1.012,1.073,1.099,1.123,1.142,1.233
"55","48","    Petroleum and petroleum products wholesalers","R42273",0.435,0.426,0.349,0.357,0.447,0.393,0.384,0.427,0.439,0.398,0.374,0.329,0.43,0.393,0.381
"56","49","    Beer, wine, and distilled alcoholic beverages wholesalers","R42283",1.083,1.058,1.03,1.018,0.962,0.987,0.983,1.013,1.042,1.069,1.116,1.196,1.125,1.172,1.202
"57","50","    Miscellaneous nondurable goods wholesalers","R42293",1.272,1.283,1.265,1.179,1.168,1.173,1.166,1.183,1.183,1.155,1.21,1.361,1.26,1.286,1.555
"58","51","Retail trade industries","R443",1.533,1.509,1.506,1.527,1.453,1.494,1.494,1.511,1.465,1.445,1.435,1.416,1.337,1.339,1.273
"59","52","  Motor vehicle and parts dealers","R4413",1.81,1.743,1.771,1.882,1.727,1.962,2.046,2.09,2.032,2.01,2.035,2.167,1.949,2.008,1.775
"60","53","  Furniture, furnishings, electronics, and appliance stores","R44233",1.798,1.74,1.68,1.668,1.574,1.569,1.56,1.572,1.485,1.402,1.377,1.222,1.228,1.259,1.158
"61","54","  Building material and garden equipment and supplies dealers","R4443",2.203,2.132,2.084,2.033,1.934,1.915,1.864,1.851,1.799,1.728,1.789,1.771,1.9,1.897,1.811
"62","55","  Food and beverage stores","R4453",0.775,0.8,0.829,0.816,0.82,0.835,0.804,0.812,0.795,0.801,0.819,0.828,0.84,0.839,0.85
"63","56","  Clothing and clothing accessories stores","R4483",2.581,2.491,2.41,2.492,2.385,2.384,2.259,2.271,2.211,2.257,2.124,2.062,1.969,1.915,1.846
"64","57","  General merchandise stores","R4523",2.142,2.026,1.958,1.885,1.794,1.743,1.662,1.676,1.613,1.57,1.495,1.403,1.341,1.295,1.266
"65","58","    Department stores","R45213",2.413,2.304,2.256,2.205,2.13,2.089,2.015,2.029,1.995,1.993,1.984,1.899,1.88,1.805,1.778
"66","59","    Other general merchandise stores","R45293",1.722,1.629,1.567,1.501,1.438,1.422,1.373,1.408,1.347,1.3,1.209,1.142,1.079,1.056,1.037
"67","60","  Other retail stores","R44X3",1.097,1.132,1.11,1.096,1.075,1.013,1,0.997,0.965,0.968,0.964,0.96,0.926,0.916,0.894
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Note. Estimates in this table are based on the North American Industry Classification System (NAICS).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
