"","Table 2#4#6U# Real Personal Consumption Expenditures by Type of ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185","F186","F187","F188","F189","F190","F191","F192","F193","F194","F195","F196","F197","F198","F199","F200","F201","F202","F203","F204","F205","F206","F207","F208","F209","F210","F211","F212","F213","F214","F215","F216","F217","F218","F219"
"52","44","            Video cassettes and discs, blank and prerecorded","DOVERX0",3703,3584,3655,3604,3684,3845,3856,3918,3950,3927,4013,4038,4088,4061,4102,4079,4177,4165,4164,4137,4259,4240,4110,4121,4115,4194,4194,4298,4289,4375,4478,4502,4491,4508,4573,4612,4977,5203,5420,5805,6230,6674,7111,7437,7536,7695,7947,8338,8423,8566,8736,9024,9103,9374,9692,10064,10623,10901,11040,11434,11740,12180,12413,12847,12315,12028,12389,12588,12959,13054,13054,13006,13527,14032,14348,13820,13959,14349,14687,14821,15038,15539,16768,17661,17223,17250,17353,17561,17961,17831,17657,17847,17769,17712,17404,17522,17407,17361,17253,17343,17189,17805,17752,18181,17964,18075,18460,18693,18738,18874,18672,18910,19037,19195,19137,19693,19767,19549,20137,20145,20396,20961,21070,20875,20897,20548,20593,21010,21044,21782,21701,22556,23476,22316,22565,22652,22822,22753,22445,22345,22591,22361,22108,22986,23029,23461,22908,23158,22763,23056,23910,24097,23474,23830,24337,23604,23579,23366,23158,23272,24749,24258,23754,23670,23151,22926,22777,21522,24603,24197,22928,21852,21642,21442,21447,21321,22312,21706,22159,22237,22363,22743,22130,21707,22312,23230,22984,22407,23183,22912,23643,23681,24085,24012,23571,23899,23238,23511,23487,23777,23746,23509,23041,23601,23802,24389,24278,23846,24048,24211,25117,24648,24911,24573,24958,25394
"53","45","        Photographic equipment","DCAMRX0",1669,1631,1656,1648,1677,1678,1672,1653,1695,1676,1705,1715,1695,1721,1741,1750,1759,1766,1809,1794,1774,1802,1797,1824,1849,1853,1853,1831,1846,1862,1904,1914,1881,1859,1878,1890,1925,1942,1936,1963,1962,1976,1987,1999,2020,2058,2092,2135,2128,2123,2126,2121,2149,2175,2158,2203,2223,2237,2295,2418,2222,2220,2265,2283,2282,2319,2363,2380,2427,2461,2558,2649,2449,2462,2511,2393,2450,2422,2499,2435,2386,2485,2386,2546,2593,2621,2558,2608,2560,2586,2557,2613,2776,2626,2655,2758,2767,2842,2873,2955,3119,3089,3199,3255,3305,3418,3364,3503,3522,3609,3713,3831,3886,3968,4061,4075,4199,4272,4371,4417,4462,4616,4791,4752,4770,4970,4993,5121,5117,5352,5311,5394,5614,5752,5651,5878,5896,6042,6204,6425,6798,6845,7218,7548,7736,7958,8141,8323,8542,8730,8902,8919,9114,9305,9655,9681,10045,9908,10080,10416,10844,10691,10585,9700,9023,8394,7855,7101,7815,8049,8384,8721,8976,9242,9171,9559,9856,9746,9949,9648,9834,9985,9900,9785,9746,9810,9876,9955,10286,10683,10376,10352,10775,10909,10858,10426,10446,10740,10889,10970,11311,11156,11088,10709,11335,11330,11355,11144,11509,11404,11634,11526,11687,11676,11689,11784
"54","46","        Information processing equipment","DIPERX0",1625,1684,1742,1742,1868,1995,1980,2159,2273,2361,2499,2611,2607,2794,2951,3153,3277,3423,3520,3603,3806,3886,4027,4310,4450,4715,5022,5224,5447,5709,5908,6165,6457,6610,6839,7024,7286,7727,7885,7989,8317,8582,9294,9764,10125,10436,10913,11043,11572,11903,12245,12538,12932,13205,13422,14021,14499,14678,14858,15313,15876,16188,16761,17343,17070,17442,17887,18271,18901,18961,19100,19599,19527,19857,20514,20659,21228,21817,22176,23093,22516,23713,24586,25224,26013,26840,27477,27742,28176,28596,28910,29396,30137,31000,31833,32292,32645,33904,34318,35396,37513,39103,40632,42643,44089,44507,45474,46729,47554,48176,49092,49467,50748,51827,53068,53516,54586,56126,57465,58427,59491,61275,62544,63608,64833,66491,67749,69613,70400,72168,72447,73394,77309,76912,79210,80465,82250,83733,84101,86861,88631,90058,93636,96718,97103,98235,99585,101442,102738,104488,108097,109479,109625,110822,114652,114480,111640,109828,111213,113957,114705,114724,115733,114577,115007,113938,113995,113703,116124,116811,114125,114074,114570,116540,118433,120570,123156,122706,128333,129640,132537,134495,135110,138112,141393,146126,146783,147637,148607,147445,148544,152385,154783,154776,157480,158481,159507,159069,160815,162289,162424,172266,171156,166489,172101,174072,177264,178093,178105,178028,181791,184739,191941,190363,195854,197701
"55","47","          Personal computers and peripheral equipment","DCPPRX0",757,786,814,813,874,938,927,1016,1070,1115,1181,1237,1236,1326,1406,1505,1566,1637,1683,1727,1830,1867,1931,2070,2145,2276,2422,2524,2638,2765,2870,3000,3135,3216,3335,3424,3545,3800,3905,3966,4144,4305,4747,5025,5239,5381,5626,5724,6031,6227,6473,6626,6842,7003,7226,7607,7898,8072,8161,8394,8704,8937,9265,9681,9494,9725,10023,10285,10689,10648,10764,11069,11106,11411,11898,12041,12485,12875,13159,13887,13682,14382,15115,15568,15942,16602,17135,17310,17444,17811,17947,18326,18885,19561,20216,20633,20650,21241,21175,21608,22797,23644,24335,25331,26152,26038,26320,26964,27263,27526,27947,28027,28677,29176,29895,30210,30577,31685,32686,33339,33684,34767,35237,35589,36222,37220,38011,39424,39670,40654,41108,41911,44084,43550,44725,45398,46588,47338,47433,48311,49222,49762,51259,52396,52624,53166,53475,53915,54798,55769,57376,57605,58372,59938,63544,62925,62023,61420,62602,65404,66377,66543,67636,67306,68130,67923,67641,67559,70003,71072,69880,70371,70708,71805,74135,76166,76934,77149,80395,80539,81950,83254,83145,83732,85553,87033,86201,87177,88529,88681,89992,92644,96398,96901,99116,100656,101508,102930,104842,107813,108543,115183,115299,115372,115839,116632,119156,120617,120540,118852,122177,123627,128573,128089,133791,136205
"56","48","          Computer software and accessories","DCPSRX0",1034,1068,1106,1110,1191,1265,1269,1380,1457,1510,1607,1672,1676,1803,1894,2023,2100,2203,2273,2321,2443,2504,2618,2811,2882,3055,3286,3413,3552,3736,3836,4002,4239,4315,4446,4581,4777,4881,4842,4865,4999,5040,5164,5311,5403,5624,5909,5871,6067,6169,6152,6308,6471,6561,6394,6508,6654,6551,6648,6903,7155,7165,7391,7439,7385,7498,7592,7637,7805,7966,7981,8138,7953,7868,7940,7912,7936,8084,8082,8104,7705,8202,8206,8289,8772,8871,8909,8954,9307,9314,9501,9570,9695,9821,9922,9941,10372,11083,11639,12336,13262,14003,14858,15900,16513,17096,17796,18391,18903,19264,19762,20065,20660,21230,21740,21840,22555,22961,23302,23568,24282,24976,25760,26459,27010,27669,28140,28597,29132,29874,29727,29893,31600,31721,32809,33393,33955,34683,34950,36718,37540,38419,40400,42254,42416,42975,43926,45255,45685,46418,48321,49400,48874,48632,49072,49408,47605,46527,46823,46974,46880,46760,46789,46086,45842,45135,45386,45222,45448,45282,43935,43567,43746,44589,44535,44906,46514,46070,48435,49333,50704,51405,51943,53978,55427,58277,59425,59418,59231,58209,58202,59534,58881,58540,59228,58987,59240,57918,58038,57258,56902,60375,59377,55701,59775,60830,61745,61462,61486,62451,63268,64670,67164,66254,66913,66821
"57","49","          Calculators, typewriters, and other information processing equipment","DOIPRX0",382,376,372,377,381,379,381,379,379,372,373,372,354,360,358,360,365,362,365,356,356,358,360,358,351,356,361,355,349,352,353,351,355,354,353,354,372,393,421,426,449,466,489,497,524,547,554,564,575,591,601,615,644,660,648,692,712,717,736,753,780,784,815,838,839,852,862,895,917,938,910,931,917,917,927,912,929,948,972,1016,963,975,1002,1067,1048,1048,1056,1096,1098,1103,1120,1130,1150,1161,1196,1191,1167,1173,1178,1177,1194,1214,1237,1246,1263,1267,1295,1318,1351,1357,1364,1371,1414,1436,1441,1462,1474,1470,1448,1484,1504,1509,1533,1556,1599,1601,1597,1595,1599,1640,1631,1631,1673,1672,1703,1699,1751,1749,1745,1789,1818,1792,1830,1844,1834,1846,1867,1865,1864,1908,1937,1928,1932,1945,1994,2004,1999,1945,1931,1986,1974,1983,1988,1940,1936,1886,1893,1872,1928,1911,1868,1861,1863,1889,1919,1931,1894,1837,1859,1921,1954,1973,2004,1992,1987,1991,1966,2011,2071,2034,2051,2063,2128,2134,2162,2185,2199,2223,2254,2281,2276,2339,2391,2394,2389,2391,2404,2420,2445,2475,2520,2528,2575,2539,2610,2652
"58","50","      Sporting equipment, supplies, guns, and ammunition (part of 80)","DSPGRX0",21178,20948,21926,21997,21875,21977,22418,22402,23062,22451,22490,22585,22535,22483,22809,23297,23637,23765,23818,23903,23714,24025,23723,23768,23606,23867,23928,23827,24132,24711,24788,24636,24728,24883,25225,25370,25042,25602,25708,26766,27054,27229,27233,27389,28108,28409,28294,28573,28914,29596,30042,30053,30487,31354,31388,31843,32506,32957,33211,34462,34094,35448,35722,35085,35562,36011,36521,36390,37104,36542,37072,37661,38487,37594,37043,38887,39086,38360,39030,39233,38314,39787,41198,40221,40712,41560,41279,41717,41056,41570,41131,41553,42418,42501,42634,42620,41466,40980,43668,43399,43343,43101,43803,45422,45030,45693,45986,45146,45578,47566,46929,46294,48126,46376,48653,47192,47188,46954,47016,48838,49412,49379,49568,51930,49807,52188,50470,51046,49933,51527,51324,51996,56033,54475,53504,53262,52684,53759,54832,54032,58504,57454,56389,56467,57061,54511,56134,54653,56838,57943,57275,59073,58536,58543,58963,59037,58011,58622,57768,58254,59262,58165,57033,56962,54441,51493,51149,50913,52127,48777,48584,49641,49884,48941,50154,50620,51820,49424,52957,53293,51750,51879,50494,52035,50921,51696,51400,52208,53128,53734,55793,54969,55995,56663,57553,57343,57363,58026,59396,57774,60273,60223,60732,62149,62066,61896,64064,61398,61639,62107,62018,63150,63642,64214,64662,65376
"59","51","      Sports and recreational vehicles (79)","DWHLRX0",23391,22485,23843,23128,23831,24536,23876,24881,26010,25369,21990,25027,25137,24133,23382,24216,24817,25549,24951,27182,25799,25998,27299,27654,27002,27357,27756,27595,26643,27042,27423,28736,28258,27662,29020,28808,29043,29578,29575,29719,30891,29703,31437,30225,31172,32549,30485,31760,29936,33607,31948,32874,33799,32657,32592,34384,33171,34255,33343,34854,40004,36461,37339,34718,34723,35354,33515,34947,36028,34646,35364,34936,36360,34041,33488,36707,35238,35350,36806,35575,33589,35596,37737,37108,37994,39376,36310,37619,36157,36330,36203,37167,37300,34911,36777,37718,38035,36010,38528,38487,39381,39317,41222,42575,42595,44839,44886,43917,43402,44729,44792,43729,44844,42489,45624,44213,43962,44764,43490,46247,44380,46360,46733,48300,44881,47897,45745,45307,44954,44706,45176,44362,49091,46633,44414,47080,44981,44901,45296,42915,45994,45460,46414,46615,47121,43702,45871,45482,47011,46253,45256,47310,48470,46983,44852,47647,45467,45747,45320,43794,45304,44770,42804,42199,39250,35141,33958,32926,34226,31851,31186,30316,31208,31130,31653,32816,34195,31198,33912,32075,30066,30160,30614,31979,30333,30338,30124,30667,30996,31804,32781,30271,30874,31849,31434,31622,31608,31561,32468,31487,31618,31934,30999,32489,33354,32419,34179,33122,32741,32757,31850,33484,33154,32725,32765,33655
"60","52","        Motorcycles","DMCYRX0",4284,4479,4597,4241,4149,4378,4261,4345,4606,4467,4218,4596,4577,4354,4403,4547,4870,4934,4748,5082,4628,4694,4730,4743,4653,4802,4869,4984,4720,4717,4973,4988,5104,5111,5341,5351,5590,5615,5558,5465,5785,5651,6024,6073,6371,6276,6270,6332,6189,6334,6320,6525,6610,6421,6558,6374,6539,7353,7690,7567,8123,8396,8057,7838,7642,7970,7561,8102,8261,8347,8251,8265,9866,8512,8059,10303,9895,9316,9744,9342,8779,9127,9834,9696,9851,11312,9775,9692,9258,9189,9361,9685,9497,9231,9283,10326,10445,10385,10331,9886,9805,10819,10824,11192,11837,12028,13617,12219,11692,12069,12417,12693,13216,11955,13043,12245,11988,11829,11568,12599,11451,13170,12840,14691,11792,12052,11658,11629,11931,11811,12564,12034,13208,11463,12132,13397,12461,12096,12549,12005,11946,11857,11917,12890,12428,11798,12348,12058,12940,12211,11809,12654,13423,13444,12907,13480,13149,13171,12907,13050,13745,13810,13193,12265,10987,10198,9398,9197,9192,9555,8541,8135,8638,8995,8657,9468,9510,8609,9415,8623,8384,8176,8372,9006,7973,7698,7911,7842,8486,8392,8616,7997,8163,8984,8805,8775,8587,8662,8853,9242,8329,9310,8361,8582,9448,9029,9510,9245,9134,8884,8835,8941,9012,9105,9458,9775
"61","53","        Bicycles and accessories","DBCYRX0",3032,3000,3061,3070,3075,3064,3135,3112,3215,3135,3111,3125,3100,3076,3121,3166,3207,3228,3243,3202,3176,3237,3265,3210,3206,3202,3205,3184,3213,3303,3283,3284,3304,3308,3380,3388,3270,3335,3299,3343,3302,3298,3219,3180,3170,3193,3122,3102,3138,3168,3147,3150,3176,3203,3140,3160,3188,3170,3129,3206,3116,3158,3145,3109,3162,3116,3161,3114,3145,3054,3072,3055,3087,3057,3003,3081,3055,3003,3031,3030,2982,3028,3096,2995,3009,3023,3007,3000,2923,2976,2922,2956,2996,3023,3017,2996,3039,3036,3045,3031,3045,3110,3152,3256,3216,3269,3309,3299,3332,3277,3237,3144,3213,3173,3300,3391,3365,3406,3397,3376,3429,3465,3394,3520,3492,3416,3416,3425,3413,3491,3485,3522,3624,3633,3668,3627,3573,3579,3522,3516,3661,3644,3566,3649,3614,3603,3753,3691,3845,3834,3903,3853,3798,3832,3806,3810,3845,3812,3854,3917,3969,4052,4010,3997,3818,3727,3739,3765,3944,3892,3740,3809,3782,3748,3815,3831,3797,3785,3759,3938,3873,3834,3888,3882,3910,3884,3884,3881,3906,3906,4013,4000,3901,3918,3957,3936,3894,3906,3878,3888,3988,4020,4005,3947,4016,4092,4131,4127,4160,4094,4114,4117,4078,4135,4136,4179
"62","54","        Pleasure boats, aircraft, and other recreational vehicles","DBARRX0",16047,15017,16180,15791,16561,17055,16442,17378,18146,17724,14642,17273,17426,16668,15834,16478,16722,17365,16936,18870,17962,18034,19268,19665,19109,19318,19647,19393,18677,18988,19133,20429,19816,19210,20264,20034,20148,20592,20682,20876,21768,20719,22157,20937,21596,23040,21062,22290,20582,24060,22445,23164,23972,22996,22861,24800,23405,23705,22508,24056,28731,24887,26107,23751,23895,24248,22774,23714,24604,23232,24025,23601,23414,22465,22414,23335,22301,23032,24033,23204,21828,23438,24806,24417,25133,25050,23532,24927,23975,24163,23919,24526,24806,22659,24474,24399,24553,22594,25157,25575,26538,25390,27252,28132,27541,29553,27928,28391,28377,29381,29135,27890,28414,27355,29275,28575,28609,29535,28527,30273,29499,29723,30496,30068,29600,32437,30673,30254,29608,29404,29138,28808,32257,31515,28623,30082,28962,29227,29241,27413,30365,29934,30897,30096,31059,28304,29771,29721,30242,30191,29520,30794,31268,29759,28194,30396,28532,28819,28605,26909,27691,27023,25709,25996,24473,21266,20837,19987,21095,18465,18916,18372,18806,18429,19195,19555,20910,18821,20759,19523,17827,18159,18369,19123,18444,18730,18319,18914,18623,19497,20138,18265,18799,18999,18714,18944,19137,19012,19747,18449,19281,18689,18634,19939,19945,19334,20574,19788,19483,19790,18933,20422,20078,19521,19248,19787
"63","55","          Pleasure boats","DBOARX0",6275,6032,6303,6041,6247,6374,6303,6947,7622,7572,6135,7419,7317,7076,6610,6892,6930,7398,6995,7657,7574,7947,8508,8748,8493,8529,8906,8698,8320,8425,8689,9191,8861,8462,8929,8597,8989,8934,9007,9520,9559,9113,9778,8657,8845,9969,8572,9423,9256,10572,9488,10111,10739,10061,10077,12351,10318,9776,8595,9964,13413,10160,11678,10240,10842,10783,9643,10938,11505,10220,11664,11054,10592,10632,10076,10314,9713,10742,11445,10128,9981,11727,11495,11728,12476,11640,10953,11621,11181,11024,10735,10845,10787,9867,10516,10630,9516,9300,11563,11572,11640,11073,11950,12660,12603,13604,12792,12543,12265,13636,13294,12794,13165,12089,13416,12111,11939,11971,11806,12703,12838,12763,13297,13775,12961,14914,13135,13626,12915,13309,12541,12809,15373,14342,12584,12792,12862,13373,13979,12902,14869,14149,14128,13669,14424,12690,13191,12910,13479,14249,13250,14413,13623,13234,13325,13688,13031,13519,13188,13130,13207,12868,12388,12650,11965,10857,10614,10482,11035,8649,9374,9394,9448,8747,9316,9362,10717,9000,10822,9869,8706,9169,7976,8810,8646,8941,8587,8977,8641,9303,9626,8362,8682,8929,9598,9359,9253,9224,9916,8503,9760,8780,8860,9786,9523,9066,10148,9399,9336,9499,8722,9576,9957,9825,9639,9609
"64","56","          Pleasure aircraft","DAIRRX0",956,910,941,892,913,923,903,985,1069,1050,842,1008,985,943,873,900,896,947,886,959,938,975,1031,1046,997,992,1026,996,947,954,979,1031,991,943,996,960,968,984,1002,982,1153,1119,1089,1102,1132,1066,1125,1085,1074,1025,1143,1093,1030,1027,1079,946,994,1077,1222,1026,1118,1180,1180,1084,1034,1087,1022,1088,1172,1179,1111,1245,1358,989,867,1110,1102,1053,1006,995,894,905,962,905,828,966,898,975,939,911,1031,972,1183,914,1001,999,993,935,941,1007,1072,1079,1076,1186,1197,1172,1266,1204,1433,1172,1280,1167,1170,1211,1316,1282,1337,1411,1371,1413,1393,1558,1519,1475,1485,1614,1444,1540,1371,1494,1321,1493,1390,1602,1705,1675,1490,1409,1514,1463,1621,1539,2050,1669,1901,1438,1662,1831,1877,1709,1707,1817,2042,2027,1770,1955,1870,1712,1725,1444,1845,1897,1824,1818,1480,1285,1335,1217,1273,1273,1287,1006,1198,1255,1314,1129,1461,1204,1397,1292,1252,1237,1270,1341,1223,1201,1227,1322,1189,1259,1328,1166,1205,1118,1117,1076,1173,1093,1083,1156,1181,1223,1108,1227,1163,1201,1212,1184,1243,1373,1290,1213,1252,1236,1180,1168
"65","57","          Other recreational vehicles","DREVRX0",8815,8075,8936,8857,9400,9758,9235,9446,9454,9101,7665,8846,9124,8648,8352,8686,8896,9020,9055,10254,9449,9112,9730,9872,9619,9798,9715,9700,9410,9610,9465,10206,9964,9805,10339,10477,10192,10673,10673,10375,11056,10488,11291,11179,11619,12005,11365,11782,10252,12463,11813,11960,12203,11908,11705,11503,12093,12852,12691,13067,14200,13546,13249,12427,12020,12378,12109,11688,11928,11833,11250,11303,11464,10844,11471,11912,11486,11238,11583,12080,10954,10806,12350,11785,11830,12445,11681,12331,11855,12228,12154,12709,12836,11878,12958,12769,14043,12358,12653,12996,13825,13238,14226,14287,13741,14777,13869,14644,14679,14573,14561,13929,14079,14055,14543,15181,15333,16153,15349,16157,15269,15402,15680,14818,15154,15909,16094,15088,15323,14601,15275,14506,15494,15571,14334,15615,14610,14445,13748,13048,13874,14247,14717,14758,14733,14175,14917,14980,14886,14232,14563,14564,15603,14497,13099,14753,13631,13587,13691,12335,12639,12258,11498,11528,11028,9124,8888,8287,8787,8542,8254,7971,8160,8426,8564,9064,8732,8617,8540,8362,7869,7753,9123,8971,8575,8587,8505,8615,8793,8936,9184,8736,8912,8952,7999,8510,8711,8695,8747,8789,8339,8685,8665,8926,9258,9067,9214,9205,8904,8918,8920,9632,8869,8460,8428,9008
"66","58","      Recreational books (part of 90)","DRBKRX0",18083,17429,17064,17474,17791,17862,18812,18069,18316,17616,18116,18177,18276,17742,18409,18873,19259,19062,19141,19290,18742,19940,19739,20271,20937,20092,20240,20096,20252,20451,20738,19787,20341,20634,21269,20923,20894,21286,20861,20839,20673,20804,20924,21013,21246,21350,21678,22076,21887,22630,23062,22954,22657,23430,24213,23103,23660,24133,24073,24752,23555,24749,25054,25489,25458,25187,25646,24863,25644,25756,25611,25326,24288,25773,25951,25249,25181,24897,24966,25671,24840,25234,25378,25447,26250,24915,25412,25951,25712,25212,25445,25439,25977,25624,25866,25991,26610,26270,25816,26405,26537,27725,27069,27381,27415,26793,26877,26405,27396,27755,27430,27112,27306,27330,27413,27375,27309,27195,27115,27539,27357,27828,28285,27827,27525,27641,28224,28252,27699,28550,28415,29200,29217,28976,29548,29350,29096,29880,28769,28342,28733,28795,29062,28705,28941,28698,29068,28573,28994,28980,30137,29281,30009,30044,30156,30274,29688,29237,29297,30185,29912,29071,29477,30249,28305,27996,27504,27753,27688,27475,27709,28074,27725,28117,27809,29215,28008,27704,27605,28102,28558,28112,28624,28061,29037,28873,28991,29284,28837,29344,29870,30232,30105,30751,30772,30876,31430,31587,31585,33834,32277,32184,31966,30998,32025,32420,32639,33547,33661,33812,33650,33926,34103,34298,34870,34766
"67","59","      Musical instruments (part of 80)","DMSCRX0",2808,2687,2691,2698,2686,2749,2834,2940,2834,2872,3142,3002,2909,2927,2996,2987,2986,2992,2953,2846,2777,2729,2877,3493,2952,2987,3031,3075,3160,3035,2882,3119,3242,3379,3157,3247,3441,3349,3306,3352,3348,3387,3324,3352,3425,3679,3217,3382,3542,3715,3732,3659,3716,3739,3887,3827,4034,3993,4352,4178,4153,4307,4800,4766,4653,4715,4611,4935,4958,4911,4679,4678,4479,4814,4723,4902,4909,4783,4934,4817,4618,4763,4845,5204,5106,4978,4967,5004,5165,5146,5196,5080,5015,5041,5156,4901,5118,4889,4934,4779,4808,4755,4775,5145,5070,5159,5295,5334,5285,5381,5218,5308,5355,5373,5507,5420,5408,5248,5229,5310,5307,5533,5109,5353,5301,5395,5444,5429,5305,5841,5154,5355,6186,5930,5962,5673,5627,5309,5294,5434,5676,5534,5550,5596,5382,5618,5825,5905,5779,5712,5730,5738,5590,5995,5778,5787,5909,5505,5587,5482,5512,5638,5626,5542,5309,4951,4935,4769,4657,4833,4766,4718,4481,4973,4846,4639,4718,4653,4621,4978,4761,4659,4632,4638,4728,4816,4740,4783,4537,4895,4823,4851,4859,4985,4977,4961,5070,5037,5068,4984,5148,5087,5328,5218,5402,5477,5929,5658,5602,5721,5749,5287,5694,5702,5696,5760
"68","60","    Other durable goods","DODGRX0",69949,68721,68790,69085,70977,69373,70129,69577,70517,69908,71386,71370,70538,72257,74064,73660,75435,74642,74243,75325,75669,76070,75892,77781,76185,77298,77279,77349,75332,78041,78327,77966,80046,79957,81305,81324,82164,82671,83019,84810,84708,86939,87325,87676,86425,87443,88628,90981,91813,92689,93740,92682,93877,95421,96947,96141,97359,99730,100745,104893,100830,103294,102801,103693,106409,106640,105956,105343,107252,105540,104616,106379,103221,105443,103562,102817,102097,99812,100602,102619,99442,101244,104119,106733,106164,107466,107049,108571,109092,109134,108555,110811,109775,111095,111706,113733,111710,111058,112201,114225,116242,118894,121106,122485,122787,124727,126345,127679,126749,128380,128997,127650,127946,127632,127893,128911,130521,132097,132810,134320,136497,137349,136508,141098,139574,141357,139747,143054,140229,144913,144965,147477,149394,151637,152333,150508,152172,151945,151229,150462,152919,151799,153176,155023,153736,153428,157625,158048,159342,159418,160616,161060,162430,161625,161586,159489,160337,154909,158366,156567,157429,157686,157650,156351,150040,148540,145932,140798,144846,145425,141754,143788,145493,147262,145186,148148,146957,145321,146759,148012,149877,150036,151489,150127,150402,149864,152499,151940,152523,156291,156149,154300,155918,155484,157950,159944,159306,158167,158685,160002,160706,158413,157725,158832,160306,163563,162319,164665,166360,165340,168507,166032,169317,169502,172492,177095
"69","61","      Jewelry and watches (part of 119)","DJRYRX0",28305,28527,29131,28935,30867,29516,30185,29714,30479,30650,31470,30662,30714,31723,33003,32494,33022,32436,32614,33247,33193,33227,32763,33456,33070,33279,33107,33687,32949,33368,33613,33972,34989,34766,35702,35421,36357,35856,36123,36641,36989,38296,37695,38220,37632,38539,38960,40282,40383,40219,41470,40459,41048,41749,42269,42277,42428,43663,43862,46043,44124,44394,44060,44502,46136,46419,46614,46830,47687,46572,45515,46180,44761,45140,44600,44913,44832,42817,43498,44442,43410,44026,45028,44244,44966,46957,46987,46553,47016,46758,46081,47893,46368,47387,47784,49304,49311,48549,48477,49069,49981,50675,51320,51348,51784,52517,53640,54352,53693,54884,54723,53927,53332,53036,53516,53970,55333,56217,56175,55786,56791,57818,57005,59294,56954,59629,57355,58381,55665,59255,58899,60488,59958,63121,63177,60424,60991,60422,60220,60291,60454,60195,60064,60761,59632,58625,60816,61146,61970,60076,61143,60822,61038,60719,60355,59557,59389,56112,58881,56401,56975,57217,57148,56245,52934,51860,49301,46769,48017,49074,47603,49293,49755,49978,49641,51024,50940,49986,50497,51035,51436,51123,51390,50007,50090,49728,51341,50150,49518,52080,51563,49508,51397,50185,51585,53425,52601,52043,51450,51744,53225,50996,50811,51190,51426,53218,52109,53399,54885,54287,55848,54133,54348,54929,56287,58164
"70","62","        Jewelry","DJLYRX0",25027,25233,25778,25615,27337,26151,26755,26348,27037,27201,27940,27234,27292,28199,29350,28909,29391,28881,29052,29628,29591,29634,29231,29862,29530,29714,29559,30076,29416,29788,30007,30326,31233,31034,31869,31618,32382,31950,32174,32602,32880,33970,33497,33890,33429,34159,34508,35621,35815,35686,36793,35788,36247,36854,37193,37231,37406,38507,38677,40503,38908,39220,38978,39380,40754,41021,41173,41439,42138,41114,40247,40833,39451,39732,39167,39618,39589,37749,38306,39154,38438,38774,39619,38893,39435,41264,41037,40707,41091,41027,40570,41965,40595,41435,41718,43014,43087,42424,42496,42956,43815,44275,44732,44609,45127,45675,46780,47492,46932,47964,47696,46877,46368,46071,46530,47062,48283,49124,48987,48409,49449,50295,49619,51612,49725,52137,50078,50750,48345,51516,51187,52505,52087,54722,54925,52464,52723,52269,52164,52101,52198,51996,51741,52307,51482,50409,52387,52658,53240,51311,52294,52226,52252,51908,51542,50778,50601,47694,49903,47934,48367,48466,48418,47670,44935,44128,42135,39912,41008,41918,40568,41941,42416,42480,42091,43318,43115,42342,42641,43121,43720,43506,43510,42374,42364,42078,43540,42473,41816,43955,43396,41585,43109,42203,43326,44671,44016,43559,43124,43246,44564,42597,42422,42625,42782,44349,43533,44824,46070,45521,46937,45513,45616,46119,47057,48779
