"","Table 5#3#5# Private Fixed Investment by Type                   ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93"
"35","16","  Intellectual property products","Y001RC1","2,004.0","1,998.0","2,036.0","2,040.0","2,062.0","2,062.0","2,094.0","2,070.0","2,018.0","2,007.0","2,019.0","2,103.0","2,179.0","2,236.0","2,299.0","2,325.0","2,290.0","2,297.0","2,360.0","2,479.0","2,682.0","2,864.0","3,067.0","3,308.0","3,481.0","3,662.0","3,738.0","3,783.0","3,837.0","3,855.0","3,892.0","3,955.0","4,079.0","4,197.0","4,377.0","4,631.0","4,916.0","5,157.0","5,331.0","5,490.0","5,492.0","5,535.0","5,635.0","5,678.0","5,760.0","5,869.0","6,039.0","6,272.0","6,467.0","6,638.0","6,659.0","6,753.0","6,870.0","6,964.0","7,272.0","7,453.0","7,674.0","7,929.0","8,099.0","8,213.0","8,226.0","8,329.0","8,425.0","8,617.0","8,865.0","9,182.0","9,377.0","9,539.0","9,541.0","9,688.0","9,892.0","10,109.0","10,542.0","10,916.0","11,326.0","11,744.0","12,212.0","12,626.0","12,996.0","13,365.0","13,617.0","13,784.0","14,118.0","14,493.0","14,930.0","15,415.0","15,795.0","16,183.0","16,509.0","17,006.0"
"36","17","    Software \5\","B985RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","7.0","5.0","11.0","32.0","76.0","119.0","149.0","164.0","158.0","161.0","166.0","183.0","188.0","201.0","225.0","270.0","321.0","402.0","479.0","531.0","547.0","550.0","539.0","528.0","576.0","629.0","708.0","795.0","873.0","964.0","1,054.0","1,153.0","1,171.0","1,179.0","1,155.0","1,183.0","1,229.0","1,285.0","1,343.0","1,414.0","1,516.0","1,679.0"
"37","18","    Research and development \6\","Y006RC1","1,011.0","1,033.0","1,060.0","1,103.0","1,142.0","1,144.0","1,154.0","1,108.0","1,011.0","963.0","950.0","972.0","1,069.0","1,163.0","1,247.0","1,286.0","1,295.0","1,329.0","1,381.0","1,490.0","1,666.0","1,793.0","1,944.0","2,136.0","2,261.0","2,384.0","2,458.0","2,505.0","2,528.0","2,541.0","2,530.0","2,541.0","2,507.0","2,572.0","2,719.0","2,961.0","3,294.0","3,544.0","3,676.0","3,770.0","3,711.0","3,682.0","3,727.0","3,771.0","3,840.0","3,904.0","4,050.0","4,171.0","4,244.0","4,366.0","4,399.0","4,518.0","4,732.0","4,857.0","4,915.0","4,951.0","4,993.0","5,098.0","5,206.0","5,338.0","5,440.0","5,567.0","5,640.0","5,720.0","5,820.0","5,936.0","6,040.0","6,141.0","6,254.0","6,406.0","6,561.0","6,718.0","6,925.0","7,113.0","7,296.0","7,530.0","7,713.0","7,959.0","8,209.0","8,447.0","8,681.0","8,868.0","9,101.0","9,295.0","9,553.0","9,793.0","10,035.0","10,312.0","10,574.0","10,870.0"
"38","19","    Entertainment, literary, and artistic originals","Y020RC1","993.0","965.0","976.0","937.0","920.0","918.0","940.0","962.0","1,007.0","1,044.0","1,069.0","1,131.0","1,110.0","1,073.0","1,052.0","1,039.0","995.0","968.0","979.0","989.0","1,016.0","1,071.0","1,123.0","1,172.0","1,220.0","1,278.0","1,280.0","1,278.0","1,309.0","1,314.0","1,362.0","1,414.0","1,572.0","1,625.0","1,658.0","1,670.0","1,622.0","1,613.0","1,655.0","1,720.0","1,781.0","1,853.0","1,908.0","1,907.0","1,920.0","1,965.0","1,989.0","2,101.0","2,216.0","2,267.0","2,249.0","2,203.0","2,062.0","1,988.0","2,208.0","2,338.0","2,523.0","2,670.0","2,727.0","2,692.0","2,598.0","2,561.0","2,560.0","2,627.0","2,724.0","2,844.0","2,858.0","2,867.0","2,740.0","2,732.0","2,792.0","2,863.0","3,041.0","3,174.0","3,322.0","3,419.0","3,626.0","3,703.0","3,733.0","3,765.0","3,765.0","3,737.0","3,862.0","4,015.0","4,148.0","4,337.0","4,417.0","4,457.0","4,419.0","4,457.0"
"39","20","Residential","A011RC1","10,541.0","10,573.0","12,466.0","15,254.0","15,345.0","16,427.0","16,283.0","15,177.0","14,169.0","13,913.0","14,744.0","16,538.0","18,339.0","20,603.0","22,555.0","21,478.0","21,057.0","18,467.0","17,398.0","17,723.0","18,269.0","18,763.0","18,754.0","19,647.0","19,982.0","20,073.0","19,490.0","19,251.0","19,351.0","20,668.0","22,183.0","23,565.0","25,419.0","26,005.0","25,626.0","24,565.0","24,132.0","24,374.0","23,952.0","23,491.0","23,101.0","22,610.0","22,464.0","22,349.0","21,370.0","21,469.0","23,017.0","25,434.0","28,348.0","29,358.0","28,801.0","28,006.0","28,954.0","26,684.0","25,892.0","25,893.0","25,914.0","26,118.0","27,550.0","28,462.0","29,010.0","29,906.0","29,871.0","29,785.0","30,848.0","32,930.0","33,184.0","34,456.0","36,237.0","34,988.0","34,533.0","34,644.0","34,768.0","35,102.0","35,258.0","35,523.0","35,946.0","34,362.0","33,018.0","30,188.0","29,389.0","32,857.0","34,786.0","37,476.0","38,268.0","39,563.0","40,394.0","42,572.0","44,906.0","45,130.0"
"40","21","  Structures","A012RC1","10,243.0","10,290.0","12,146.0","14,951.0","15,020.0","16,114.0","15,956.0","14,822.0","13,852.0","13,600.0","14,462.0","16,254.0","18,031.0","20,233.0","22,174.0","21,037.0","20,670.0","18,108.0","17,021.0","17,362.0","17,920.0","18,381.0","18,422.0","19,238.0","19,574.0","19,670.0","19,116.0","18,892.0","19,000.0","20,291.0","21,772.0","23,140.0","25,008.0","25,560.0","25,195.0","24,124.0","23,655.0","23,905.0","23,473.0","23,084.0","22,635.0","22,160.0","22,015.0","21,894.0","21,046.0","21,029.0","22,488.0","24,823.0","27,728.0","28,740.0","28,265.0","27,500.0","28,414.0","26,161.0","25,353.0","25,379.0","25,411.0","25,597.0","27,015.0","27,937.0","28,502.0","29,373.0","29,317.0","29,220.0","30,274.0","32,339.0","32,583.0","33,854.0","35,618.0","34,361.0","33,896.0","34,015.0","34,093.0","34,424.0","34,579.0","34,807.0","35,235.0","33,682.0","32,309.0","29,520.0","28,722.0","32,179.0","34,075.0","36,688.0","37,448.0","38,730.0","39,494.0","41,660.0","43,957.0","44,124.0"
"41","22","    Permanent site","A943RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","14,676.0","14,526.0","15,471.0","17,107.0","19,623.0","20,266.0","19,788.0","19,015.0","19,492.0","17,457.0","16,660.0","16,379.0","16,369.0","16,671.0","17,795.0","18,785.0","19,237.0","20,003.0","20,298.0","20,246.0","20,951.0","22,311.0","22,695.0","23,699.0","25,270.0","23,960.0","23,530.0","23,632.0","23,381.0","23,642.0","24,066.0","24,295.0","24,652.0","23,310.0","20,889.0","18,393.0","18,380.0","20,060.0","22,764.0","24,960.0","25,340.0","26,509.0","26,772.0","28,271.0","30,057.0","29,971.0"
"42","23","      Single family","A944RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","12,480.0","12,352.0","13,153.0","14,539.0","16,681.0","17,199.0","16,779.0","16,125.0","16,712.0","14,906.0","14,124.0","13,722.0","13,535.0","13,562.0","14,325.0","14,934.0","14,954.0","15,269.0","15,218.0","14,975.0","15,156.0","15,898.0","16,046.0","16,804.0","18,433.0","17,465.0","17,203.0","17,495.0","17,223.0","17,549.0","18,121.0","18,463.0","18,712.0","17,731.0","15,839.0","13,990.0","14,286.0","15,834.0","17,901.0","19,247.0","18,993.0","19,575.0","19,281.0","20,231.0","21,027.0","20,222.0"
"43","24","      Multifamily","C292RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","2,196.0","2,174.0","2,318.0","2,568.0","2,942.0","3,067.0","3,009.0","2,890.0","2,780.0","2,551.0","2,536.0","2,657.0","2,834.0","3,109.0","3,470.0","3,851.0","4,283.0","4,734.0","5,080.0","5,271.0","5,795.0","6,413.0","6,649.0","6,895.0","6,837.0","6,495.0","6,327.0","6,137.0","6,158.0","6,093.0","5,945.0","5,832.0","5,940.0","5,579.0","5,050.0","4,403.0","4,094.0","4,226.0","4,863.0","5,713.0","6,347.0","6,934.0","7,491.0","8,040.0","9,030.0","9,749.0"
"44","25","    Other structures \7\","A863RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","6,370.0","6,503.0","7,017.0","7,716.0","8,105.0","8,474.0","8,477.0","8,485.0","8,922.0","8,704.0","8,693.0","9,000.0","9,042.0","8,926.0","9,220.0","9,152.0","9,265.0","9,370.0","9,019.0","8,974.0","9,323.0","10,028.0","9,888.0","10,155.0","10,348.0","10,401.0","10,366.0","10,383.0","10,712.0","10,782.0","10,513.0","10,512.0","10,583.0","10,372.0","11,420.0","11,127.0","10,342.0","12,119.0","11,311.0","11,728.0","12,108.0","12,221.0","12,722.0","13,389.0","13,900.0","14,153.0"
"45","26","  Equipment","B013RC1","298.0","283.0","320.0","303.0","325.0","313.0","327.0","355.0","317.0","313.0","282.0","284.0","308.0","370.0","381.0","441.0","387.0","359.0","377.0","361.0","349.0","382.0","332.0","409.0","408.0","403.0","374.0","359.0","351.0","377.0","411.0","425.0","411.0","445.0","431.0","441.0","477.0","469.0","479.0","407.0","466.0","450.0","449.0","455.0","324.0","440.0","529.0","611.0","620.0","618.0","536.0","506.0","540.0","523.0","539.0","514.0","503.0","521.0","535.0","525.0","508.0","533.0","554.0","565.0","574.0","591.0","601.0","602.0","619.0","627.0","637.0","629.0","675.0","678.0","679.0","716.0","711.0","680.0","709.0","668.0","667.0","678.0","711.0","788.0","820.0","833.0","900.0","912.0","949.0","1,006.0"
"46",NA,"Addenda:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","27","  Private fixed investment in structures","A349RC1","18,132.0","18,237.0","20,426.0","23,383.0","23,853.0","25,441.0","25,810.0","24,912.0","23,588.0","22,977.0","23,377.0","24,938.0","27,106.0","29,735.0","32,443.0","32,019.0","32,137.0","30,259.0","29,301.0","29,280.0","29,949.0","30,456.0","30,572.0","31,880.0","32,635.0","33,169.0","32,865.0","32,863.0","32,920.0","34,168.0","35,624.0","36,951.0","39,282.0","40,304.0","40,633.0","40,296.0","41,070.0","41,887.0","42,063.0","41,817.0","41,405.0","41,152.0","41,111.0","40,836.0","39,130.0","38,623.0","39,747.0","42,402.0","45,125.0","46,777.0","46,909.0","46,019.0","47,774.0","45,634.0","44,771.0","45,401.0","45,340.0","45,231.0","46,680.0","47,569.0","48,532.0","50,201.0","50,672.0","50,120.0","50,507.0","53,572.0","54,019.0","55,745.0","58,043.0","57,811.0","58,146.0","58,838.0","60,235.0","62,590.0","63,114.0","65,249.0","66,333.0","64,854.0","64,216.0","60,737.0","60,390.0","63,113.0","65,551.0","68,654.0","70,499.0","71,914.0","72,726.0","76,422.0","79,751.0","80,795.0"
"48","28","  Private fixed investment in new structures","W040RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","38,475.0","37,793.0","38,746.0","41,286.0","43,739.0","45,281.0","45,403.0","44,538.0","46,142.0","44,202.0","43,425.0","44,092.0","44,060.0","43,957.0","45,292.0","46,079.0","47,032.0","48,623.0","49,030.0","48,440.0","48,734.0","51,599.0","51,958.0","53,534.0","55,802.0","55,695.0","56,061.0","56,766.0","57,979.0","60,253.0","60,716.0","62,809.0","63,766.0","62,359.0","62,008.0","58,865.0","58,418.0","60,807.0","62,842.0","65,745.0","67,696.0","69,093.0","69,628.0","73,048.0","76,347.0","77,344.0"
"49","29","    Nonresidential structures \8\","A771RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","18,037.0","17,550.0","17,219.0","17,546.0","17,421.0","18,083.0","18,712.0","18,609.0","19,438.0","19,553.0","19,512.0","20,130.0","20,050.0","19,780.0","19,840.0","19,838.0","20,261.0","21,071.0","21,607.0","21,166.0","20,506.0","21,488.0","21,685.0","22,134.0","22,678.0","23,696.0","24,471.0","25,011.0","26,283.0","28,249.0","28,571.0","30,414.0","31,062.0","31,121.0","31,819.0","31,104.0","31,523.0","30,780.0","31,288.0","31,761.0","32,845.0","32,990.0","33,061.0","34,589.0","35,609.0","36,489.0"
"50","30","    Residential structures \9\","A756RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","20,438.0","20,243.0","21,527.0","23,740.0","26,318.0","27,198.0","26,691.0","25,929.0","26,704.0","24,649.0","23,913.0","23,962.0","24,010.0","24,177.0","25,452.0","26,241.0","26,771.0","27,552.0","27,423.0","27,274.0","28,228.0","30,111.0","30,273.0","31,400.0","33,124.0","31,999.0","31,590.0","31,755.0","31,696.0","32,004.0","32,145.0","32,395.0","32,704.0","31,238.0","30,189.0","27,761.0","26,895.0","30,027.0","31,554.0","33,984.0","34,851.0","36,103.0","36,567.0","38,459.0","40,738.0","40,855.0"
"51","31","  Private fixed investment in information processing equipment and software","A679RC1","1,710.0","1,663.0","1,769.0","1,749.0","1,830.0","1,758.0","1,739.0","1,909.0","1,810.0","1,634.0","1,543.0","1,525.0","1,608.0","1,822.0","1,878.0","2,056.0","1,979.0","2,105.0","2,251.0","2,261.0","2,399.0","2,641.0","2,241.0","2,439.0","2,626.0","2,681.0","2,811.0","2,547.0","2,457.0","2,349.0","2,401.0","2,488.0","2,397.0","2,619.0","3,024.0","3,231.0","3,123.0","3,390.0","3,432.0","3,476.0","3,645.0","3,968.0","4,285.0","4,031.0","3,696.0","3,475.0","3,564.0","3,691.0","3,759.0","3,836.0","3,960.0","4,394.0","4,593.0","4,940.0","4,817.0","5,129.0","4,833.0","5,338.0","5,353.0","5,519.0","5,855.0","5,722.0","5,553.0","5,694.0","6,043.0","6,461.0","6,767.0","6,844.0","7,195.0","7,296.0","7,229.0","7,741.0","7,845.0","8,255.0","8,778.0","9,190.0","9,831.0","10,486.0","10,938.0","11,398.0","11,124.0","11,222.0","11,059.0","11,695.0","11,854.0","11,711.0","12,033.0","12,056.0","13,031.0","14,171.0"
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","1. Includes petroleum and mineral exploration.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","2. Consists primarily of religious, educational, vocational, lodging, railroads, farm, and amusement and recreational",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","structures, net purchases of used structures, and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","3. Includes communication equipment, nonmedical instruments, medical equipment and instruments, photocopy and related",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","equipment, and office and accounting equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","4. Consists primarily of furniture and fixtures, agricultural machinery, construction machinery, mining and",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","oilfield machinery, service industry machinery, and electrical equipment not elsewhere classified.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","5. Excludes software ""embedded,"" or bundled, in computers and other equipment.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","6. Research and development investment excludes expenditures for software development.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Software development expenditures are included in software investment on line 17.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","7. Consists primarily of manufactured homes, improvements, dormitories, net purchases of used structures,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","brokers' commissions on the sale of residential structures and adjoining land, and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","8. Excludes net purchases of used structures and brokers' commissions on the sale of structures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","9. Excludes net purchases of used structures and brokers' commissions and other ownership transfer costs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
