"","Table 6#1C# National Income Without Capital Consumption Adjustme","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59"
"24","5","    Mining","B734RC1","38,105.0","42,314.0","43,759.0","47,809.0","49,321.0","50,648.0","50,941.0","51,868.0","51,019.0","51,715.0","53,839.0","54,438.0","57,507.0","60,222.0","60,192.0","58,826.0","57,748.0","57,331.0","55,377.0","52,957.0","54,730.0","54,932.0","54,700.0","56,548.0","54,883.0","54,398.0","55,085.0","56,745.0","57,714.0","58,055.0","59,279.0","58,164.0","55,096.0","57,691.0","59,685.0","60,108.0","65,267.0","67,609.0","71,573.0","73,979.0","78,830.0","79,802.0","80,214.0","77,676.0","70,838.0","67,936.0","64,892.0","65,725.0","61,173.0","63,141.0","64,899.0","68,042.0","76,723.0","82,033.0","87,702.0","91,146.0"
"25","6","    Construction","B735RC1","195,309.0","200,011.0","202,459.0","206,878.0","212,202.0","218,514.0","221,259.0","222,905.0","221,764.0","220,341.0","221,817.0","227,605.0","232,830.0","233,837.0","232,460.0","227,357.0","219,166.0","217,031.0","219,557.0","218,365.0","217,771.0","220,765.0","219,561.0","224,597.0","225,912.0","230,914.0","235,917.0","243,776.0","250,050.0","258,329.0","264,014.0","270,274.0","272,226.0","276,211.0","283,561.0","286,997.0","295,571.0","303,450.0","310,593.0","316,064.0","323,440.0","328,931.0","334,008.0","342,060.0","351,629.0","363,267.0","376,305.0","388,747.0","406,084.0","413,562.0","418,626.0","433,055.0","447,320.0","460,903.0","458,208.0","463,467.0"
"26","7","    Manufacturing","A426RC1","756,912.0","776,220.0","807,047.0","823,182.0","854,829.0","872,636.0","886,874.0","909,885.0","899,440.0","888,543.0","886,511.0","883,419.0","908,951.0","934,208.0","927,191.0","923,286.0","916,724.0","917,780.0","927,040.0","921,741.0","923,586.0","934,463.0","937,907.0","955,372.0","918,401.0","965,418.0","964,164.0","1,010,988.0","1,002,054.0","1,026,263.0","1,049,519.0","1,078,646.0","1,077,625.0","1,089,375.0","1,110,345.0","1,115,170.0","1,107,212.0","1,127,271.0","1,136,358.0","1,152,582.0","1,160,191.0","1,182,272.0","1,218,891.0","1,235,088.0","1,204,411.0","1,210,270.0","1,226,771.0","1,232,447.0","1,251,949.0","1,259,354.0","1,267,067.0","1,280,886.0","1,339,581.0","1,332,489.0","1,341,459.0","1,307,193.0"
"27","8","      Durable goods","B428RC1","458,198.0","458,971.0","468,765.0","470,549.0","491,665.0","511,308.0","515,719.0","525,554.0","521,505.0","511,022.0","506,069.0","506,175.0","514,564.0","522,345.0","521,526.0","504,797.0","496,882.0","510,458.0","515,242.0","513,212.0","515,531.0","521,597.0","521,928.0","534,341.0","513,137.0","543,321.0","547,502.0","575,395.0","575,442.0","586,846.0","597,131.0","616,731.0","614,997.0","614,385.0","624,160.0","628,023.0","623,709.0","641,439.0","647,009.0","654,725.0","659,174.0","676,879.0","705,651.0","713,415.0","695,257.0","702,046.0","711,870.0","729,731.0","713,747.0","717,475.0","729,028.0","744,218.0","780,135.0","763,185.0","770,838.0","743,224.0"
"28","9","      Nondurable goods","B427RC1","298,712.0","317,249.0","338,282.0","352,632.0","363,164.0","361,329.0","371,154.0","384,332.0","377,937.0","377,521.0","380,442.0","377,244.0","394,387.0","411,863.0","405,666.0","418,490.0","419,843.0","407,321.0","411,799.0","408,528.0","408,055.0","412,865.0","415,975.0","421,031.0","405,264.0","422,096.0","416,663.0","435,592.0","426,613.0","439,417.0","452,388.0","461,915.0","462,629.0","474,992.0","486,188.0","487,149.0","483,503.0","485,831.0","489,347.0","497,857.0","501,017.0","505,394.0","513,240.0","521,671.0","509,156.0","508,225.0","514,902.0","502,716.0","538,201.0","541,878.0","538,040.0","536,668.0","559,443.0","569,302.0","570,620.0","563,966.0"
"29","10","    Transportation and public utilities","A737RC1","310,860.0","321,920.0","321,716.0","329,285.0","332,250.0","343,489.0","354,450.0","363,314.0","357,072.0","357,417.0","358,242.0","364,787.0","372,646.0","388,037.0","391,413.0","385,988.0","398,786.0","404,450.0","405,036.0","405,419.0","416,236.0","416,773.0","419,641.0","427,015.0","433,993.0","441,032.0","444,847.0","453,348.0","458,883.0","474,834.0","481,076.0","490,550.0","487,625.0","488,985.0","496,823.0","497,258.0","503,963.0","512,707.0","512,300.0","517,131.0","504,139.0","512,640.0","522,637.0","533,393.0","529,555.0","539,357.0","553,198.0","546,701.0","554,995.0","550,777.0","563,510.0","584,723.0","579,713.0","587,364.0","595,231.0","601,733.0"
"30","11","      Transportation","B429RC1","124,116.0","127,065.0","126,920.0","132,397.0","131,712.0","138,899.0","143,396.0","144,192.0","138,661.0","137,349.0","138,563.0","139,545.0","141,156.0","151,795.0","149,346.0","146,180.0","156,123.0","157,141.0","155,105.0","154,371.0","164,536.0","160,684.0","163,326.0","161,381.0","173,000.0","172,454.0","173,768.0","176,296.0","180,878.0","187,249.0","190,807.0","194,916.0","195,932.0","196,705.0","195,663.0","196,060.0","198,101.0","204,230.0","210,090.0","207,727.0","213,539.0","218,071.0","229,689.0","236,983.0","236,011.0","240,618.0","247,372.0","246,504.0","250,403.0","252,558.0","254,650.0","262,621.0","263,826.0","273,550.0","269,532.0","269,903.0"
"31","12","      Communications","B430RC1","94,601.0","97,290.0","99,972.0","100,318.0","101,054.0","103,148.0","107,174.0","110,042.0","107,038.0","106,725.0","104,923.0","111,856.0","113,942.0","116,635.0","118,826.0","118,855.0","119,502.0","121,847.0","123,407.0","122,111.0","125,332.0","125,612.0","126,545.0","132,875.0","129,939.0","137,391.0","138,227.0","141,279.0","141,392.0","146,055.0","146,018.0","150,657.0","147,562.0","146,227.0","151,453.0","150,762.0","153,398.0","155,908.0","155,305.0","156,980.0","141,042.0","144,011.0","144,592.0","146,624.0","149,586.0","153,441.0","157,632.0","151,259.0","151,312.0","147,682.0","150,975.0","160,759.0","156,191.0","159,352.0","168,465.0","176,641.0"
"32","13","      Electric, gas, and sanitary services","B431RC1","92,142.0","97,563.0","94,821.0","96,569.0","99,483.0","101,442.0","103,880.0","109,079.0","111,373.0","113,341.0","114,756.0","113,385.0","117,548.0","119,607.0","123,241.0","120,953.0","123,160.0","125,462.0","126,523.0","128,935.0","126,365.0","130,475.0","129,769.0","132,756.0","131,055.0","131,187.0","132,854.0","135,772.0","136,611.0","141,531.0","144,250.0","144,977.0","144,131.0","146,053.0","149,708.0","150,436.0","152,464.0","152,569.0","146,903.0","152,423.0","149,557.0","150,557.0","148,356.0","149,787.0","143,959.0","145,298.0","148,193.0","148,936.0","153,281.0","150,535.0","157,885.0","161,343.0","159,696.0","154,464.0","157,233.0","155,188.0"
"33","14","    Wholesale trade","B433RC1","281,204.0","282,402.0","288,975.0","291,745.0","307,513.0","316,694.0","317,788.0","330,259.0","328,593.0","332,288.0","338,354.0","338,503.0","346,541.0","350,597.0","352,420.0","356,631.0","362,429.0","365,989.0","369,838.0","370,504.0","375,027.0","380,864.0","385,478.0","394,639.0","375,269.0","393,483.0","395,157.0","410,443.0","410,558.0","433,975.0","435,725.0","444,049.0","441,799.0","441,336.0","453,371.0","457,025.0","469,744.0","471,739.0","481,801.0","500,220.0","502,451.0","515,154.0","527,561.0","531,086.0","546,350.0","560,238.0","567,474.0","560,273.0","575,760.0","573,046.0","572,811.0","586,877.0","597,657.0","616,334.0","624,957.0","619,144.0"
"34","15","    Retail trade","B434RC1","392,894.0","397,742.0","406,721.0","410,561.0","417,131.0","426,021.0","431,267.0","440,696.0","444,894.0","446,885.0","456,718.0","462,512.0","472,401.0","474,939.0","472,942.0","479,328.0","484,090.0","489,718.0","488,572.0","494,239.0","500,925.0","504,139.0","502,997.0","506,389.0","519,885.0","532,107.0","544,447.0","552,916.0","562,477.0","575,954.0","584,775.0","597,727.0","600,613.0","606,561.0","614,585.0","620,828.0","635,207.0","646,776.0","654,806.0","665,208.0","691,817.0","690,346.0","704,700.0","711,827.0","730,436.0","745,582.0","761,303.0","777,408.0","787,518.0","799,113.0","795,762.0","809,537.0","836,877.0","835,486.0","845,129.0","842,069.0"
"35","16","    Finance, insurance, and real estate","B435RC1","620,812.0","646,914.0","663,023.0","670,390.0","662,977.0","666,718.0","694,850.0","729,924.0","778,207.0","796,782.0","802,453.0","785,482.0","784,684.0","785,225.0","793,215.0","791,541.0","808,139.0","817,738.0","838,484.0","850,446.0","899,611.0","920,199.0","938,027.0","989,351.0","949,440.0","989,012.0","997,791.0","1,052,928.0","1,008,191.0","1,045,061.0","1,067,311.0","1,080,159.0","1,100,320.0","1,118,235.0","1,142,511.0","1,156,298.0","1,177,389.0","1,212,996.0","1,231,611.0","1,251,679.0","1,289,067.0","1,311,931.0","1,342,285.0","1,381,875.0","1,417,269.0","1,454,024.0","1,482,387.0","1,495,526.0","1,512,686.0","1,512,869.0","1,552,432.0","1,584,393.0","1,642,643.0","1,657,156.0","1,692,146.0","1,711,405.0"
"36","17","    Services","B437RC1","707,082.0","722,472.0","743,122.0","776,650.0","789,485.0","819,337.0","840,481.0","852,274.0","869,432.0","885,113.0","903,481.0","927,683.0","966,953.0","992,174.0","1,020,109.0","1,027,918.0","1,030,529.0","1,046,363.0","1,061,038.0","1,085,771.0","1,118,267.0","1,143,298.0","1,150,241.0","1,151,952.0","1,225,515.0","1,196,323.0","1,206,594.0","1,197,428.0","1,266,267.0","1,267,385.0","1,285,938.0","1,312,436.0","1,348,897.0","1,362,913.0","1,385,080.0","1,411,027.0","1,442,670.0","1,471,209.0","1,497,732.0","1,532,050.0","1,566,135.0","1,595,519.0","1,625,505.0","1,659,040.0","1,704,189.0","1,731,971.0","1,770,017.0","1,806,920.0","1,841,514.0","1,875,260.0","1,895,670.0","1,943,770.0","2,000,194.0","2,018,193.0","2,060,028.0","2,081,203.0"
"37","18","  Government","B436RC1","523,835.0","531,129.0","537,339.0","547,305.0","560,049.0","573,220.0","581,959.0","593,207.0","607,085.0","617,136.0","628,810.0","639,012.0","654,735.0","665,856.0","675,379.0","685,301.0","704,241.0","712,843.0","720,580.0","731,543.0","749,694.0","761,759.0","769,952.0","772,813.0","779,771.0","783,003.0","789,710.0","793,676.0","804,856.0","813,818.0","818,258.0","822,800.0","835,437.0","838,160.0","840,986.0","844,989.0","854,712.0","861,115.0","867,196.0","874,291.0","886,666.0","894,492.0","903,314.0","912,214.0","924,826.0","934,314.0","944,931.0","954,946.0","972,715.0","984,617.0","999,192.0","1,013,247.0","1,033,401.0","1,047,397.0","1,056,833.0","1,066,463.0"
"38","19","Rest of the world","A192RC1","14,368.0","18,133.0","17,765.0","19,684.0","24,989.0","22,816.0","20,162.0","22,663.0","22,396.0","21,666.0","24,296.0","30,799.0","29,519.0","31,624.0","27,137.0","50,487.0","39,457.0","28,558.0","25,110.0","33,221.0","32,733.0","32,056.0","29,210.0","30,309.0","38,013.0","31,480.0","37,014.0","21,484.0","28,261.0","23,774.0","22,190.0","21,235.0","30,650.0","33,427.0","19,638.0","31,315.0","38,161.0","29,928.0","26,747.0","32,292.0","23,940.0","31,470.0","23,857.0","17,141.0","26,178.0","23,327.0","10,389.0","13,044.0","22,087.0","27,386.0","24,538.0","34,516.0","30,774.0","33,822.0","29,288.0","54,144.0"
"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Note. Estimates in this table are based on the 1987 Standard Industrial Classification (SIC).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
