"","Table 1#7#6# Relation of Real Gross Domestic Product, Real Gross","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47","F48","F49","F50","F51","F52","F53","F54","F55","F56","F57","F58","F59","F60","F61","F62","F63","F64","F65","F66","F67","F68","F69","F70","F71","F72","F73","F74","F75","F76","F77","F78","F79","F80","F81","F82","F83","F84","F85","F86","F87","F88","F89","F90","F91","F92","F93","F94","F95","F96","F97","F98","F99","F100","F101","F102","F103","F104","F105","F106","F107","F108","F109","F110","F111","F112","F113","F114","F115","F116","F117","F118","F119","F120","F121","F122","F123","F124","F125","F126","F127","F128","F129","F130","F131","F132","F133","F134","F135","F136","F137","F138","F139","F140","F141","F142","F143","F144","F145","F146","F147","F148","F149","F150","F151","F152","F153","F154","F155","F156","F157","F158","F159","F160","F161","F162","F163","F164","F165","F166","F167","F168","F169","F170","F171","F172","F173","F174","F175","F176","F177","F178","F179","F180","F181","F182","F183","F184","F185"
"32","12","  Gross national income \2\","A023RX1","4,704,080.0","4,735,334.0","4,768,651.0","4,760,221.0","4,727,620.0","4,728,183.0","4,766,429.0","4,719,430.0","4,818,278.0","4,851,565.0","4,889,894.0","4,953,463.0","5,026,045.0","5,089,310.0","5,174,599.0","5,306,271.0","5,406,289.0","5,438,638.0","5,464,075.0","5,521,326.0","5,488,441.0","5,463,270.0","5,429,247.0","5,357,649.0","5,289,128.0","5,333,989.0","5,444,261.0","5,508,041.0","5,620,024.0","5,657,033.0","5,698,900.0","5,717,596.0","5,776,680.0","5,921,406.0","6,033,610.0","6,061,836.0","6,107,314.0","6,276,087.0","6,321,705.0","6,386,080.0","6,446,799.0","6,420,780.0","6,442,341.0","6,468,138.0","6,474,376.0","6,348,430.0","6,389,774.0","6,535,740.0","6,590,428.0","6,586,968.0","6,682,104.0","6,615,823.0","6,558,827.0","6,593,755.0","6,555,790.0","6,526,395.0","6,597,640.0","6,713,009.0","6,805,297.0","6,961,954.0","7,147,427.0","7,262,064.0","7,340,558.0","7,411,842.0","7,463,299.0","7,519,722.0","7,602,193.0","7,649,997.0","7,721,445.0","7,729,907.0","7,784,765.0","7,834,915.0","7,916,507.0","8,047,591.0","8,166,519.0","8,276,108.0","8,384,285.0","8,477,535.0","8,547,783.0","8,668,732.0","8,724,463.0","8,705,566.0","8,742,397.0","8,758,484.0","8,846,634.0","8,898,908.0","8,882,857.0","8,874,033.0","8,845,117.0","8,851,693.0","8,869,721.0","8,914,075.0","9,068,246.0","9,140,776.0","9,165,722.0","9,256,644.0","9,229,401.0","9,333,029.0","9,356,536.0","9,516,657.0","9,577,171.0","9,721,146.0","9,809,981.0","9,920,924.0","9,979,490.0","10,040,184.0","10,144,145.0","10,223,680.0","10,343,155.0","10,487,013.0","10,581,233.0","10,719,765.0","10,831,108.0","10,967,812.0","11,140,808.0","11,277,080.0","11,408,778.0","11,568,015.0","11,715,101.0","11,826,016.0","11,983,521.0","12,063,905.0","12,171,527.0","12,382,489.0","12,629,556.0","12,702,967.0","12,791,463.0","12,798,613.0","12,928,984.0","12,916,374.0","12,843,030.0","12,853,945.0","12,972,230.0","13,029,250.0","13,062,576.0","13,157,283.0","13,161,339.0","13,299,102.0","13,425,539.0","13,586,615.0","13,709,309.0","13,820,700.0","13,988,415.0","14,029,232.0","14,201,528.0","14,289,635.0","14,424,783.0","14,589,866.0","14,866,682.0","14,882,991.0","14,927,197.0","14,994,477.0","14,957,144.0","15,000,700.0","14,977,472.0","15,018,174.0","15,027,315.0","15,019,714.0","14,969,747.0","14,602,230.0","14,386,983.0","14,384,291.0","14,507,366.0","14,698,955.0","14,732,558.0","14,835,804.0","15,020,254.0","15,099,771.0","15,129,471.0","15,201,684.0","15,321,040.0","15,459,856.0","15,694,118.0","15,711,050.0","15,745,043.0","15,913,467.0","15,952,710.0","16,062,774.0","16,152,934.0","16,235,521.0","16,178,104.0","....."
"33","13","  Net domestic product","A362RX1","4,265,243.0","4,273,576.0","4,296,896.0","4,268,687.0","4,253,624.0","4,256,064.0","4,293,277.0","4,237,302.0","4,362,461.0","4,385,838.0","4,419,820.0","4,429,471.0","4,514,849.0","4,627,997.0","4,669,121.0","4,749,326.0","4,873,759.0","4,927,952.0","4,889,080.0","4,933,185.0","4,878,601.0","4,886,207.0","4,824,901.0","4,796,219.0","4,723,261.0","4,759,774.0","4,845,690.0","4,916,013.0","5,039,334.0","5,077,141.0","5,100,305.0","5,137,174.0","5,198,422.0","5,308,378.0","5,408,318.0","5,399,552.0","5,411,815.0","5,646,324.0","5,699,554.0","5,776,902.0","5,778,361.0","5,774,786.0","5,811,684.0","5,818,145.0","5,829,262.0","5,680,598.0","5,660,502.0","5,774,427.0","5,905,770.0","5,845,456.0","5,914,376.0","5,822,549.0","5,696,386.0","5,723,058.0","5,689,095.0","5,686,960.0","5,767,601.0","5,915,010.0","6,042,365.0","6,178,781.0","6,311,783.0","6,429,270.0","6,489,433.0","6,534,821.0","6,594,474.0","6,649,297.0","6,755,202.0","6,799,824.0","6,859,610.0","6,882,220.0","6,949,066.0","6,976,568.0","7,019,045.0","7,097,230.0","7,158,858.0","7,284,128.0","7,318,945.0","7,419,235.0","7,456,106.0","7,558,615.0","7,634,501.0","7,691,472.0","7,745,512.0","7,751,568.0","7,838,129.0","7,861,460.0","7,852,340.0","7,763,216.0","7,710,614.0","7,771,693.0","7,806,453.0","7,837,726.0","7,938,076.0","8,031,825.0","8,113,757.0","8,198,859.0","8,206,106.0","8,252,297.0","8,288,199.0","8,406,380.0","8,491,034.0","8,614,223.0","8,660,253.0","8,761,126.0","8,781,281.0","8,802,061.0","8,874,904.0","8,933,017.0","8,985,737.0","9,152,703.0","9,234,039.0","9,329,586.0","9,393,344.0","9,538,701.0","9,658,760.0","9,723,011.0","9,810,710.0","9,897,881.0","10,025,967.0","10,195,803.0","10,269,158.0","10,339,961.0","10,457,184.0","10,627,669.0","10,667,374.0","10,860,116.0","10,840,007.0","10,886,242.0","10,829,885.0","10,881,431.0","10,825,861.0","10,845,842.0","10,945,386.0","11,000,004.0","11,046,696.0","11,039,746.0","11,092,939.0","11,200,618.0","11,406,382.0","11,546,084.0","11,604,934.0","11,688,032.0","11,794,319.0","11,894,314.0","12,022,652.0","12,076,790.0","12,175,390.0","12,236,234.0","12,388,146.0","12,409,380.0","12,400,943.0","12,494,514.0","12,482,066.0","12,575,248.0","12,656,934.0","12,692,968.0","12,575,198.0","12,633,261.0","12,545,598.0","12,217,444.0","12,008,328.0","11,986,333.0","12,033,249.0","12,173,523.0","12,232,105.0","12,366,929.0","12,459,465.0","12,545,838.0","12,480,504.0","12,581,304.0","12,604,248.0","12,762,682.0","12,835,757.0","12,885,279.0","12,968,589.0","12,959,605.0","13,051,252.0","13,106,344.0","13,266,302.0","13,388,968.0","13,291,429.0","13,431,807.0"
"34","14","  Net domestic income \3\","W256RX1","4,238,042.0","4,264,363.0","4,292,889.0","4,277,465.0","4,236,537.0","4,230,074.0","4,263,871.0","4,212,855.0","4,304,177.0","4,331,664.0","4,369,216.0","4,428,023.0","4,495,434.0","4,554,878.0","4,632,105.0","4,760,008.0","4,847,870.0","4,869,430.0","4,879,547.0","4,930,187.0","4,878,874.0","4,849,228.0","4,812,866.0","4,740,209.0","4,671,488.0","4,711,639.0","4,817,080.0","4,868,901.0","4,981,111.0","5,011,051.0","5,047,218.0","5,057,562.0","5,102,847.0","5,246,001.0","5,354,332.0","5,381,233.0","5,410,280.0","5,586,727.0","5,618,411.0","5,665,390.0","5,714,975.0","5,667,855.0","5,663,595.0","5,680,187.0","5,673,901.0","5,539,220.0","5,577,390.0","5,735,588.0","5,779,070.0","5,769,866.0","5,854,794.0","5,766,136.0","5,699,868.0","5,716,753.0","5,680,834.0","5,644,110.0","5,711,193.0","5,817,955.0","5,902,955.0","6,052,070.0","6,238,974.0","6,344,833.0","6,412,979.0","6,479,403.0","6,530,309.0","6,570,244.0","6,649,459.0","6,679,015.0","6,744,781.0","6,751,488.0","6,789,869.0","6,838,330.0","6,904,688.0","7,019,511.0","7,129,132.0","7,225,469.0","7,314,986.0","7,401,795.0","7,465,681.0","7,573,065.0","7,618,053.0","7,587,067.0","7,607,902.0","7,601,688.0","7,682,241.0","7,721,424.0","7,701,559.0","7,647,745.0","7,626,219.0","7,640,545.0","7,655,331.0","7,680,467.0","7,830,336.0","7,896,702.0","7,916,755.0","7,998,013.0","7,949,005.0","8,053,337.0","8,058,419.0","8,232,076.0","8,272,325.0","8,412,853.0","8,492,469.0","8,592,933.0","8,625,407.0","8,668,846.0","8,778,307.0","8,828,240.0","8,925,061.0","9,065,696.0","9,148,160.0","9,263,259.0","9,368,130.0","9,476,814.0","9,640,287.0","9,764,112.0","9,861,201.0","10,002,187.0","10,144,627.0","10,231,271.0","10,357,565.0","10,404,306.0","10,481,710.0","10,640,423.0","10,898,845.0","10,925,832.0","10,985,207.0","10,936,180.0","11,064,516.0","11,025,210.0","10,963,968.0","10,883,659.0","11,031,317.0","11,094,429.0","11,094,829.0","11,155,022.0","11,161,562.0","11,270,263.0","11,382,052.0","11,496,319.0","11,580,183.0","11,704,275.0","11,842,447.0","11,892,888.0","12,008,365.0","12,089,983.0","12,194,450.0","12,371,446.0","12,626,016.0","12,626,070.0","12,663,341.0","12,699,029.0","12,639,494.0","12,640,861.0","12,540,333.0","12,517,061.0","12,527,833.0","12,501,886.0","12,420,521.0","12,119,759.0","11,890,976.0","11,890,004.0","11,958,922.0","12,159,887.0","12,174,651.0","12,269,954.0","12,453,509.0","12,511,790.0","12,523,437.0","12,587,867.0","12,676,005.0","12,789,234.0","13,044,812.0","13,057,710.0","13,095,705.0","13,243,134.0","13,286,031.0","13,377,921.0","13,441,213.0","13,500,085.0","13,459,509.0","....."
"35","15","  Net domestic purchases","W367RX1","4,379,942.0","4,382,530.0","4,409,537.0","4,368,769.0","4,350,385.0","4,346,027.0","4,384,480.0","4,328,598.0","4,452,729.0","4,497,046.0","4,526,569.0","4,540,926.0","4,639,126.0","4,752,460.0","4,783,801.0","4,867,353.0","4,986,884.0","5,014,832.0","4,963,282.0","4,990,779.0","4,914,241.0","4,922,754.0","4,878,159.0","4,833,081.0","4,709,475.0","4,726,998.0","4,853,753.0","4,921,455.0","5,075,671.0","5,128,675.0","5,157,776.0","5,206,491.0","5,300,418.0","5,403,475.0","5,492,635.0","5,506,875.0","5,544,898.0","5,732,806.0","5,788,048.0","5,852,575.0","5,851,644.0","5,849,919.0","5,856,653.0","5,840,953.0","5,835,730.0","5,624,401.0","5,556,938.0","5,707,388.0","5,853,027.0","5,790,930.0","5,865,216.0","5,790,129.0","5,673,919.0","5,686,750.0","5,707,357.0","5,707,037.0","5,792,531.0","5,982,459.0","6,149,470.0","6,306,823.0","6,482,661.0","6,616,668.0","6,683,746.0","6,739,831.0","6,781,564.0","6,873,530.0","6,980,392.0","7,038,540.0","7,080,389.0","7,129,809.0","7,205,844.0","7,218,431.0","7,255,451.0","7,330,239.0","7,382,044.0","7,503,478.0","7,496,854.0","7,566,355.0","7,610,028.0","7,717,511.0","7,774,921.0","7,802,094.0","7,846,489.0","7,857,072.0","7,938,042.0","7,949,313.0","7,930,152.0","7,808,171.0","7,740,309.0","7,786,614.0","7,826,283.0","7,857,968.0","7,948,698.0","8,057,231.0","8,134,806.0","8,238,111.0","8,264,391.0","8,320,017.0","8,371,548.0","8,500,649.0","8,600,324.0","8,731,094.0","8,771,686.0","8,881,124.0","8,906,987.0","8,924,286.0","8,954,594.0","9,012,309.0","9,091,117.0","9,267,535.0","9,380,459.0","9,430,995.0","9,527,572.0","9,669,610.0","9,810,914.0","9,906,980.0","10,041,290.0","10,175,058.0","10,328,881.0","10,501,688.0","10,627,266.0","10,729,451.0","10,869,184.0","11,048,551.0","11,135,961.0","11,344,715.0","11,353,411.0","11,410,633.0","11,344,338.0","11,387,224.0","11,359,275.0","11,394,735.0","11,517,721.0","11,592,430.0","11,656,372.0","11,702,369.0","11,738,279.0","11,875,788.0","12,074,430.0","12,226,173.0","12,304,617.0","12,451,088.0","12,570,886.0","12,687,774.0","12,820,533.0","12,873,709.0","12,976,653.0","13,064,481.0","13,211,114.0","13,232,281.0","13,245,154.0","13,275,745.0","13,275,035.0","13,350,592.0","13,380,084.0","13,332,070.0","13,218,063.0","13,196,325.0","13,080,467.0","12,753,210.0","12,461,197.0","12,353,451.0","12,415,735.0","12,552,796.0","12,640,850.0","12,839,183.0","12,961,628.0","13,006,532.0","12,950,666.0","13,039,927.0","13,062,418.0","13,228,241.0","13,305,167.0","13,355,904.0","13,424,225.0","13,384,914.0","13,478,830.0","13,554,186.0","13,691,356.0","13,771,447.0","13,740,156.0","13,904,811.0"
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","1. Gross domestic income deflated by the implicit price deflator for gross domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2. Gross national income deflated by the implicit price deflator for gross national product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","3. Net domestic income deflated by the implicit price deflator for net domestic product.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Note. Except as noted in footnotes 1, 2 and 3, chained (2009) dollar series are calculated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","as the product of the chain-type quantity index and the 2009 current-dollar value of the corresponding",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","more than one period, the corresponding chained-dollar estimates are usually not additive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
