"","Table 7#6# Capital Consumption Adjustment by Legal Form of Organ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44"
"21","3","    For current-cost valuation","A1401C1","-798.0","-491.0",-61,473,534,121,8,-94,"-629.0","-697.0","-618.0","-753.0","-1,223.0","-2,156.0","-2,338.0","-2,606.0","-2,588.0","-3,214.0","-4,597.0","-5,544.0","-5,563.0","-5,554.0","-6,886.0","-6,918.0","-6,797.0","-6,486.0","-6,392.0","-7,767.0","-8,752.0","-8,705.0","-8,663.0","-8,193.0","-7,555.0","-7,145.0","-6,770.0","-6,737.0","-6,875.0","-7,430.0","-8,448.0","-10,095.0","-12,132.0"
"22","4","Domestic corporate business","A2201C1","-550.0","-321.0",-25,109,136,-73,-126,-139,"-546.0","-558.0","-472.0","-564.0","-598.0","-483.0","-173.0","473.0","623.0","-2,057.0","-2,573.0","-2,957.0","-2,840.0","-2,757.0","-2,983.0","-2,598.0","-1,858.0","-1,015.0","463.0","-286.0","-515.0","-918.0","-163.0","1,000.0","1,770.0","4,813.0","6,038.0","6,756.0","7,424.0","7,845.0","7,816.0","7,492.0","7,634.0"
"23","5","    For consistent accounting at historical cost","A1402C1","2.0","-2.0",30,-151,-168,-137,-77,-44,"-85.0","-89.0","-45.0","-44.0","221.0","949.0","1,386.0","2,139.0","2,244.0","12.0","350.0","608.0","739.0","866.0","1,557.0","1,931.0","2,647.0","3,309.0","4,770.0","5,101.0","5,648.0","5,207.0","5,956.0","6,831.0","7,126.0","9,865.0","10,812.0","11,487.0","12,194.0","12,979.0","13,680.0","14,560.0","16,144.0"
"24","6","    For current-cost valuation","A1403C1","-552.0","-319.0",-55,260,304,64,-49,-95,"-461.0","-469.0","-427.0","-520.0","-819.0","-1,432.0","-1,559.0","-1,666.0","-1,621.0","-2,069.0","-2,923.0","-3,565.0","-3,579.0","-3,623.0","-4,540.0","-4,529.0","-4,505.0","-4,324.0","-4,307.0","-5,387.0","-6,163.0","-6,125.0","-6,119.0","-5,831.0","-5,356.0","-5,052.0","-4,774.0","-4,731.0","-4,770.0","-5,134.0","-5,864.0","-7,068.0","-8,510.0"
"25","7","  Financial","B393RC1","-92.0","-83.0",-66,-46,-31,-44,-38,-32,"-58.0","-56.0","-63.0","-57.0","-82.0","-151.0","-146.0","-155.0","-138.0","-148.0","-204.0","-230.0","-208.0","-255.0","-284.0","-293.0","-290.0","-292.0","-259.0","-291.0","-298.0","-335.0","-315.0","-225.0","-183.0","-134.0","-162.0","-82.0","-144.0","-208.0","-172.0","-140.0","-121.0"
"26","8","    For consistent accounting at historical cost","B1404C1","-91.0","-86.0",-78,-72,-64,-58,-49,-39,"-52.0","-50.0","-57.0","-47.0","-58.0","-82.0","-81.0","-78.0","-74.0","-85.0","-106.0","-116.0","-93.0","-146.0","-151.0","-149.0","-157.0","-169.0","-160.0","-158.0","-138.0","-182.0","-163.0","-93.0","-66.0","-24.0","-56.0","21.0","-48.0","-120.0","-77.0","-20.0","39.0"
"27","9","    For current-cost valuation","B1405C1","-1.0","3.0",12,26,33,14,11,7,"-6.0","-6.0","-6.0","-10.0","-24.0","-69.0","-65.0","-77.0","-64.0","-63.0","-98.0","-114.0","-115.0","-109.0","-133.0","-144.0","-133.0","-123.0","-99.0","-133.0","-160.0","-153.0","-152.0","-132.0","-117.0","-110.0","-106.0","-103.0","-96.0","-88.0","-95.0","-120.0","-160.0"
"28","10","  Nonfinancial","A2203C1","-458.0","-238.0",41,155,167,-29,-88,-107,"-488.0","-502.0","-409.0","-507.0","-516.0","-332.0","-27.0","628.0","761.0","-1,909.0","-2,369.0","-2,727.0","-2,632.0","-2,502.0","-2,699.0","-2,305.0","-1,568.0","-723.0","722.0","5.0","-217.0","-583.0","152.0","1,225.0","1,953.0","4,947.0","6,200.0","6,838.0","7,568.0","8,053.0","7,988.0","7,632.0","7,755.0"
"29","11","    For consistent accounting at historical cost","B1406C1","93.0","84.0",107,-79,-104,-79,-28,-5,"-33.0","-40.0","12.0","3.0","279.0","1,032.0","1,467.0","2,216.0","2,318.0","97.0","456.0","724.0","832.0","1,012.0","1,708.0","2,080.0","2,804.0","3,478.0","4,930.0","5,258.0","5,786.0","5,389.0","6,119.0","6,924.0","7,192.0","9,889.0","10,868.0","11,466.0","12,242.0","13,099.0","13,757.0","14,580.0","16,105.0"
"30","12","    For current-cost valuation","B1407C1","-551.0","-322.0",-66,234,271,50,-60,-102,"-455.0","-462.0","-421.0","-510.0","-795.0","-1,364.0","-1,494.0","-1,588.0","-1,557.0","-2,006.0","-2,825.0","-3,451.0","-3,464.0","-3,514.0","-4,407.0","-4,385.0","-4,372.0","-4,201.0","-4,208.0","-5,253.0","-6,003.0","-5,972.0","-5,967.0","-5,699.0","-5,239.0","-4,942.0","-4,668.0","-4,628.0","-4,674.0","-5,046.0","-5,769.0","-6,948.0","-8,350.0"
"31","13","Domestic noncorporate business","W282RC1","-991.0","-953.0",-742,-466,-432,-501,-442,-429,"-577.0","-601.0","-567.0","-577.0","-677.0","-831.0","-736.0","-820.0","-821.0","-906.0","-1,084.0","-1,298.0","-1,083.0","-1,048.0","-1,347.0","-1,291.0","-1,158.0","-1,056.0","-1,093.0","-1,048.0","-1,170.0","-1,352.0","-1,381.0","-1,299.0","-1,325.0","-1,171.0","-1,038.0","-987.0","-1,340.0","-1,617.0","-1,812.0","-1,921.0","-2,134.0"
"32","14","  Sole proprietorships and partnerships","A2204C1","-853.0","-828.0",-661,-465,-432,-461,-405,-375,"-480.0","-492.0","-460.0","-454.0","-510.0","-621.0","-493.0","-528.0","-496.0","-531.0","-564.0","-716.0","-506.0","-469.0","-699.0","-632.0","-509.0","-422.0","-458.0","-381.0","-500.0","-693.0","-728.0","-678.0","-743.0","-621.0","-510.0","-452.0","-758.0","-971.0","-1,085.0","-1,059.0","-1,091.0"
"33","15","    Farm \1\","B044RC1","-58.0","-41.0",-8,18,11,-15,-6,-12,"-31.0","-43.0","-24.0","-20.0","-53.0","-149.0","-153.0","-190.0","-185.0","-215.0","-301.0","-404.0","-432.0","-420.0","-525.0","-565.0","-532.0","-488.0","-441.0","-523.0","-590.0","-606.0","-609.0","-556.0","-527.0","-517.0","-499.0","-495.0","-518.0","-555.0","-615.0","-684.0","-796.0"
"34","16","    Nonfarm","A2205C1","-795.0","-787.0",-653,-483,-443,-446,-399,-363,"-449.0","-449.0","-436.0","-434.0","-457.0","-472.0","-340.0","-338.0","-311.0","-316.0","-263.0","-312.0","-74.0","-49.0","-174.0","-67.0","23.0","66.0","-17.0","142.0","90.0","-87.0","-119.0","-122.0","-216.0","-104.0","-11.0","43.0","-240.0","-416.0","-470.0","-375.0","-295.0"
"35","17","      For consistent accounting at historical cost","B1409C1","-745.0","-781.0",-736,-679,-662,-558,-499,-430,"-409.0","-373.0","-376.0","-344.0","-273.0","-107.0","43.0","120.0","146.0","239.0","590.0","681.0","901.0","883.0","999.0","1,098.0","1,134.0","1,106.0","992.0","1,332.0","1,419.0","1,228.0","1,163.0","1,063.0","874.0","922.0","958.0","1,019.0","765.0","679.0","772.0","1,106.0","1,488.0"
"36","18","      For current-cost valuation","B1410C1","-50.0","-6.0",83,196,219,112,100,67,"-40.0","-76.0","-60.0","-90.0","-184.0","-365.0","-383.0","-458.0","-457.0","-555.0","-853.0","-993.0","-975.0","-932.0","-1,173.0","-1,165.0","-1,111.0","-1,040.0","-1,009.0","-1,190.0","-1,329.0","-1,315.0","-1,282.0","-1,185.0","-1,090.0","-1,026.0","-969.0","-976.0","-1,005.0","-1,095.0","-1,242.0","-1,481.0","-1,783.0"
"37","19","  Other private business \1\","A2206C1","-138.0","-125.0",-81,-1,0,-40,-37,-54,"-97.0","-109.0","-107.0","-123.0","-167.0","-210.0","-243.0","-292.0","-325.0","-375.0","-520.0","-582.0","-577.0","-579.0","-648.0","-659.0","-649.0","-634.0","-635.0","-667.0","-670.0","-659.0","-653.0","-621.0","-582.0","-550.0","-528.0","-535.0","-582.0","-646.0","-727.0","-862.0","-1,043.0"
"38","20","    Rental income of persons","B050RC1","-138.0","-126.0",-81,-2,0,-40,-36,-54,"-96.0","-107.0","-107.0","-121.0","-161.0","-194.0","-230.0","-275.0","-311.0","-362.0","-499.0","-556.0","-548.0","-554.0","-612.0","-622.0","-613.0","-600.0","-608.0","-625.0","-618.0","-604.0","-599.0","-572.0","-539.0","-512.0","-494.0","-500.0","-546.0","-611.0","-682.0","-806.0","-980.0"
"39","21","      Nonfarm tenant-occupied housing","B2611C1","-123.0","-111.0",-70,4,5,-32,-29,-46,"-84.0","-95.0","-95.0","-108.0","-146.0","-176.0","-209.0","-250.0","-285.0","-331.0","-456.0","-508.0","-500.0","-505.0","-556.0","-565.0","-557.0","-544.0","-551.0","-564.0","-555.0","-542.0","-538.0","-513.0","-481.0","-455.0","-437.0","-444.0","-488.0","-549.0","-616.0","-733.0","-898.0"
"40","22","      Farm tenant-occupied housing","W283RC1","-7.0","-7.0",-5,-3,-3,-4,-4,-4,"-5.0","-6.0","-5.0","-5.0","-7.0","-8.0","-9.0","-10.0","-11.0","-12.0","-16.0","-19.0","-19.0","-19.0","-21.0","-22.0","-22.0","-22.0","-22.0","-23.0","-23.0","-22.0","-22.0","-22.0","-22.0","-22.0","-21.0","-22.0","-23.0","-24.0","-25.0","-27.0","-29.0"
"41","23","      Farms owned by nonoperator landlords","B2614C1","-7.0","-7.0",-6,-3,-3,-4,-4,-4,"-6.0","-6.0","-6.0","-7.0","-8.0","-9.0","-10.0","-12.0","-13.0","-14.0","-20.0","-22.0","-23.0","-23.0","-26.0","-26.0","-26.0","-26.0","-26.0","-28.0","-28.0","-28.0","-27.0","-27.0","-27.0","-27.0","-26.0","-26.0","-27.0","-29.0","-30.0","-32.0","-35.0"
"42","24","      Nonfarm nonresidential properties","B2615C1","-1.0","0.0",0,1,1,0,0,0,"-1.0","-1.0","0.0","-1.0","-1.0","-2.0","-2.0","-3.0","-3.0","-4.0","-7.0","-8.0","-7.0","-7.0","-9.0","-9.0","-8.0","-8.0","-8.0","-10.0","-11.0","-11.0","-10.0","-10.0","-9.0","-8.0","-9.0","-8.0","-9.0","-9.0","-12.0","-14.0","-17.0"
"43","25","    Proprietors' income","B1411C1","0.0","0.0",0,0,0,0,0,0,"-1.0","-1.0","-1.0","-2.0","-5.0","-15.0","-13.0","-17.0","-13.0","-14.0","-21.0","-25.0","-28.0","-25.0","-36.0","-37.0","-36.0","-34.0","-28.0","-42.0","-53.0","-56.0","-56.0","-49.0","-43.0","-38.0","-35.0","-35.0","-35.0","-35.0","-44.0","-56.0","-64.0"
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","1. Except for farm proprietorships and partnerships (line 15) and other private",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","business (line 19), the capital consumption adjustment is calculated in two parts.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","The adjustment for consistent accounting at historical cost converts depreciation,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","based on the service lives and depreciation schedules employed by firms when filing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","their income tax returns, to consistent service lives and empirically based depreciation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","schedules.  The adjustment for current-cost valuation converts the historical-cost series",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","with consistent accounting to a series valued at current cost.  For farm proprietorships",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","and partnerships and for other private business, the historical-cost series is based on",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","consistent service lives and empirically based depreciation schedules, so the adjustment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","reflects only a conversion to current-cost valuation.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
