"","Table 7#11# Interest Paid and Received by Sector and Legal Form ","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"21","2","  Domestic business \1\","A2062C1","3,947.0","4,411.0","4,952.0","5,534.0","6,027.0","6,944.0","7,871.0","8,700.0","9,489.0","10,676.0","12,260.0","14,463.0","15,902.0","17,936.0","20,436.0","22,022.0","25,280.0","28,453.0","31,914.0","35,992.0","42,093.0","47,290.0","54,431.0","67,337.0"
"22","3","    Corporate business","A2063C1","2,712.0","3,027.0","3,349.0","3,737.0","3,980.0","4,571.0","5,262.0","5,899.0","6,454.0","7,302.0","8,554.0","10,329.0","11,403.0","13,015.0","15,120.0","16,244.0","18,971.0","21,571.0","24,090.0","27,443.0","32,672.0","37,035.0","43,131.0","54,357.0"
"23","4","      Financial","A1100C1","870.0","1,009.0","1,133.0","1,308.0","1,427.0","1,613.0","1,950.0","2,363.0","2,683.0","3,158.0","3,851.0","4,853.0","5,426.0","6,278.0","7,564.0","8,183.0","9,971.0","11,664.0","13,305.0","15,521.0","18,533.0","20,789.0","23,967.0","29,365.0"
"24","5","        On deposits \2\","B1305C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","4,654.0","5,507.0","6,222.0","7,767.0","9,049.0","10,384.0","12,077.0","14,122.0","16,219.0","18,195.0","20,130.0"
"25","6","        On other liabilities","B1306C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,624.0","2,057.0","1,961.0","2,204.0","2,615.0","2,921.0","3,444.0","4,411.0","4,570.0","5,772.0","9,235.0"
"26","7","      Nonfinancial","B1101C1","1,842.0","2,018.0","2,216.0","2,429.0","2,553.0","2,958.0","3,312.0","3,536.0","3,771.0","4,144.0","4,703.0","5,476.0","5,977.0","6,737.0","7,556.0","8,061.0","9,000.0","9,907.0","10,785.0","11,922.0","14,139.0","16,246.0","19,164.0","24,992.0"
"27","8","    Sole proprietorships and partnerships","A2064C1","639.0","757.0","871.0","947.0","1,061.0","1,249.0","1,352.0","1,401.0","1,476.0","1,652.0","1,838.0","2,020.0","2,178.0","2,417.0","2,602.0","2,822.0","3,131.0","3,402.0","3,991.0","4,372.0","4,901.0","5,489.0","6,149.0","7,434.0"
"28","9","      Farm","B1103C1","325.0","361.0","411.0","452.0","503.0","588.0","656.0","652.0","660.0","702.0","758.0","811.0","892.0","1,004.0","1,098.0","1,147.0","1,262.0","1,269.0","1,542.0","1,699.0","1,913.0","2,129.0","2,290.0","2,489.0"
"29","10","      Nonfarm","B1102C1","314.0","396.0","460.0","495.0","558.0","661.0","696.0","749.0","816.0","950.0","1,080.0","1,209.0","1,286.0","1,413.0","1,504.0","1,675.0","1,869.0","2,133.0","2,449.0","2,673.0","2,988.0","3,360.0","3,859.0","4,945.0"
"30","11","    Other private business","A2065C1","596.0","627.0","732.0","850.0","986.0","1,124.0","1,257.0","1,400.0","1,559.0","1,722.0","1,868.0","2,114.0","2,321.0","2,504.0","2,714.0","2,956.0","3,178.0","3,480.0","3,833.0","4,177.0","4,520.0","4,766.0","5,151.0","5,546.0"
"31","12","      Rental income of persons","B1130C1","582.0","612.0","712.0","822.0","953.0","1,085.0","1,212.0","1,350.0","1,506.0","1,665.0","1,807.0","2,049.0","2,251.0","2,427.0","2,630.0","2,868.0","3,085.0","3,379.0","3,728.0","4,065.0","4,400.0","4,637.0","5,003.0","5,393.0"
"32","13","      Proprietors' income","B2631C1","14.0","15.0","20.0","28.0","33.0","39.0","45.0","50.0","53.0","57.0","61.0","65.0","70.0","77.0","84.0","88.0","93.0","101.0","105.0","112.0","120.0","129.0","148.0","153.0"
"33","14","  Households and nonprofit institutions","W291RC1","1,796.0","2,307.0","2,907.0","3,410.0","4,157.0","4,727.0","5,404.0","6,428.0","7,088.0","8,167.0","9,479.0","10,533.0","11,331.0","12,584.0","14,190.0","15,200.0","16,636.0","18,403.0","20,492.0","22,661.0","24,539.0","25,846.0","28,336.0","31,721.0"
"34","15","    Households","W292RC1","1,737.0","2,244.0","2,842.0","3,339.0","4,082.0","4,650.0","5,322.0","6,344.0","7,000.0","8,075.0","9,384.0","10,434.0","11,229.0","12,474.0","14,065.0","15,060.0","16,481.0","18,228.0","20,269.0","22,386.0","24,183.0","25,399.0","27,796.0","31,081.0"
"35","16","      Owner-occupied housing","W498RC1","1,005.0","1,193.0","1,414.0","1,585.0","1,807.0","2,136.0","2,453.0","2,768.0","3,185.0","3,627.0","4,281.0","4,970.0","5,651.0","6,348.0","7,051.0","7,716.0","8,632.0","9,351.0","10,297.0","11,262.0","12,150.0","12,862.0","13,949.0","15,368.0"
"36","17","      Persons \3\","W293RC1","732.0","1,051.0","1,428.0","1,754.0","2,275.0","2,514.0","2,869.0","3,576.0","3,815.0","4,448.0","5,103.0","5,464.0","5,578.0","6,126.0","7,014.0","7,344.0","7,849.0","8,877.0","9,972.0","11,124.0","12,033.0","12,537.0","13,847.0","15,713.0"
"37","18","    Nonprofit institutions","W319RC1","59.0","63.0","65.0","71.0","75.0","77.0","82.0","84.0","88.0","92.0","95.0","99.0","102.0","110.0","125.0","140.0","155.0","175.0","223.0","275.0","356.0","447.0","540.0","640.0"
"38","19","  Government","W500RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","10,406.0","10,161.0","11,111.0","11,970.0","12,933.0","13,702.0","15,080.0","16,415.0","18,807.0","20,669.0"
"39","20","    Federal","Y669RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","8,354.0","7,913.0","8,644.0","9,295.0","10,013.0","10,561.0","11,639.0","12,664.0","14,600.0","15,823.0"
"40","21","    State and local","W497RC1","557.0","550.0","549.0","579.0","623.0","677.0","733.0","810.0","945.0","1,088.0","1,241.0","1,399.0","1,566.0","1,782.0","2,052.0","2,248.0","2,467.0","2,675.0","2,920.0","3,141.0","3,441.0","3,751.0","4,207.0","4,846.0"
"41","22","  Rest of the world","W290RC1","179.0","224.0","269.0","277.0","301.0","384.0","406.0","448.0","487.0","516.0","481.0","550.0","712.0","810.0","1,019.0","1,185.0","1,387.0","1,577.0","1,811.0","2,081.0","2,394.0","2,654.0","3,061.0","3,656.0"
"42","23","    To business and persons","B1132C1","158.0","158.0","167.0","179.0","192.0","186.0","202.0","196.0","215.0","242.0","287.0","345.0","405.0","461.0","670.0","802.0","914.0","1,078.0","1,349.0","1,571.0","1,795.0","2,018.0","2,305.0","2,731.0"
"43","24","    To government","Y711RC1","21.0","66.0","102.0","98.0","109.0","198.0","204.0","252.0","272.0","274.0","194.0","205.0","307.0","349.0","349.0","383.0","473.0","499.0","462.0","510.0","599.0","636.0","756.0","925.0"
"44","25","Monetary interest received","A2068C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","46,051.0","48,568.0","54,414.0","60,403.0","67,150.0","74,436.0","84,106.0","92,205.0","104,635.0","123,383.0"
"45","26","  Domestic business \1\","A2069C1","6,216.0","6,638.0","7,448.0","8,152.0","8,995.0","10,111.0","11,391.0","12,718.0","13,632.0","15,383.0","17,624.0","19,990.0","21,250.0","24,709.0","28,125.0","29,723.0","33,148.0","36,779.0","40,691.0","44,754.0","50,669.0","55,615.0","64,028.0","76,174.0"
"46","27","    Corporate business","A2070C1","6,161.0","6,581.0","7,386.0","8,082.0","8,899.0","10,003.0","11,273.0","12,578.0","13,465.0","15,171.0","17,399.0","19,756.0","20,999.0","24,430.0","27,797.0","29,304.0","32,684.0","36,335.0","40,203.0","44,342.0","50,362.0","55,171.0","63,482.0","75,475.0"
"47","28","      Financial \4\","B1134C1","5,594.0","6,072.0","6,825.0","7,468.0","8,166.0","9,172.0","10,374.0","11,640.0","12,545.0","14,072.0","16,117.0","18,291.0","19,571.0","22,574.0","25,644.0","27,138.0","30,272.0","33,517.0","37,144.0","41,086.0","46,520.0","50,923.0","58,084.0","68,214.0"
"48","29","      Nonfinancial","B1135C1","567.0","509.0","561.0","614.0","733.0","831.0","899.0","938.0","920.0","1,099.0","1,282.0","1,465.0","1,428.0","1,856.0","2,153.0","2,166.0","2,412.0","2,818.0","3,059.0","3,256.0","3,842.0","4,248.0","5,397.0","7,261.0"
"49","30","    Financial sole proprietorships and partnerships \5\","B1136C1","50.0","50.0","55.0","63.0","88.0","99.0","109.0","131.0","157.0","202.0","214.0","222.0","239.0","266.0","314.0","403.0","446.0","426.0","468.0","389.0","281.0","412.0","526.0","677.0"
"50","31","    Other private business","B1137C1","5.0","7.0","7.0","7.0","8.0","9.0","9.0","9.0","10.0","10.0","11.0","12.0","12.0","13.0","14.0","16.0","18.0","18.0","20.0","23.0","26.0","32.0","20.0","22.0"
"51","32","  Persons \5\","B1138C1","4,438.0","4,852.0","5,333.0","5,905.0","6,462.0","7,039.0","7,467.0","8,151.0","9,001.0","9,558.0","10,678.0","12,108.0","13,124.0","14,052.0","15,582.0","16,474.0","18,582.0","20,642.0","23,171.0","25,872.0","28,737.0","31,221.0","34,029.0","38,948.0"
"52","33","  Government","A2071C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,735.0","1,821.0","2,036.0","2,166.0","2,338.0","2,700.0","3,241.0","3,723.0","4,408.0","4,646.0"
"53","34","    Federal","B1139C1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","1,025.0","1,096.0","1,251.0","1,262.0","1,245.0","1,358.0","1,604.0","1,870.0","2,225.0","1,866.0"
"54","35","    State and local","B1140C1","181.0","209.0","189.0","192.0","201.0","250.0","254.0","281.0","301.0","339.0","411.0","486.0","512.0","555.0","710.0","725.0","785.0","904.0","1,093.0","1,342.0","1,637.0","1,853.0","2,183.0","2,780.0"
"55","36","  Rest of the world","A2072C1","44.0","56.0","45.0","47.0","61.0","78.0","98.0","134.0","102.0","140.0","200.0","258.0","270.0","402.0","609.0","550.0","648.0","816.0","950.0","1,110.0","1,459.0","1,646.0","2,170.0","3,615.0"
"56","37","    From business","B1141C1","29.0","40.0","28.0","22.0","30.0","31.0","34.0","48.0","43.0","46.0","46.0","57.0","131.0","121.0","277.0","272.0","309.0","415.0","497.0","621.0","910.0","1,048.0","1,468.0","2,838.0"
"57","38","    From government","Y712RC1","15.0","16.0","17.0","25.0","31.0","47.0","64.0","86.0","59.0","94.0","154.0","201.0","139.0","281.0","332.0","278.0","339.0","401.0","453.0","489.0","549.0","598.0","702.0","777.0"
"58",NA,"          Imputed interest"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","39","Total imputed interest paid (41+76)","W294RC1","5,759.0","6,207.0","6,470.0","6,955.0","7,629.0","8,183.0","9,207.0","10,619.0","11,731.0","13,166.0","14,704.0","16,604.0","17,927.0","19,868.0","21,767.0","23,717.0","25,279.0","26,882.0","29,535.0","31,187.0","33,429.0","36,859.0","40,236.0","49,341.0"
"60","40","Total imputed interest received (54+95)","W295RC1","5,760.0","6,209.0","6,469.0","6,955.0","7,630.0","8,185.0","9,205.0","10,619.0","11,731.0","13,165.0","14,704.0","16,604.0","17,926.0","19,866.0","21,766.0","23,719.0","25,279.0","26,881.0","29,534.0","31,185.0","33,425.0","36,853.0","40,235.0","49,341.0"
"61",NA,"Depositor, insurance, and pension services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","41","  Imputed interest paid","A2073C1","6,349.0","7,022.0","7,501.0","8,092.0","8,933.0","9,772.0","10,943.0","12,533.0","13,682.0","15,299.0","17,171.0","19,273.0","20,695.0","22,922.0","25,138.0","27,156.0","28,985.0","30,789.0","33,715.0","35,976.0","39,063.0","42,777.0","47,214.0","57,110.0"
"63","42","    Domestic corporate business","Y665RC1","5,048.0","5,530.0","5,814.0","6,204.0","6,832.0","7,415.0","8,294.0","9,529.0","10,332.0","11,572.0","12,930.0","14,314.0","15,241.0","16,948.0","18,685.0","20,138.0","21,451.0","22,684.0","25,010.0","26,619.0","28,978.0","31,974.0","35,407.0","43,291.0"
"64","43","      Financial","W353RC1","5,048.0","5,529.0","5,816.0","6,204.0","6,832.0","7,414.0","8,295.0","9,530.0","10,331.0","11,573.0","12,930.0","14,314.0","15,242.0","16,948.0","18,687.0","20,137.0","21,452.0","22,686.0","25,012.0","26,618.0","28,978.0","31,972.0","35,105.0","42,634.0"
"65","44","        Banks, credit agencies, and investment companies","B1310C1","2,400.0","2,383.0","2,490.0","2,545.0","2,698.0","2,870.0","3,220.0","3,840.0","4,100.0","4,667.0","5,213.0","5,485.0","5,541.0","6,268.0","6,963.0","7,302.0","7,563.0","7,617.0","8,657.0","8,986.0","9,829.0","11,204.0","10,191.0","13,827.0"
"66","45","        Life insurance carriers","B1311C1","1,068.0","1,347.0","1,293.0","1,384.0","1,596.0","1,681.0","1,842.0","2,039.0","2,170.0","2,418.0","2,665.0","2,979.0","3,258.0","3,523.0","3,916.0","4,290.0","4,653.0","5,071.0","5,494.0","5,917.0","6,308.0","6,754.0","7,246.0","8,067.0"
"67","46","        Property and casualty insurance companies","W354RC1","108.0","123.0","136.0","143.0","150.0","171.0","197.0","226.0","240.0","254.0","273.0","304.0","339.0","373.0","407.0","435.0","460.0","487.0","522.0","567.0","639.0","717.0","793.0","897.0"
"68","47","        Employee pension plans \6\","Y698RC1","1,471.0","1,677.0","1,896.0","2,132.0","2,388.0","2,692.0","3,036.0","3,426.0","3,821.0","4,234.0","4,780.0","5,546.0","6,104.0","6,785.0","7,400.0","8,110.0","8,776.0","9,510.0","10,339.0","11,148.0","12,201.0","13,297.0","16,860.0","19,811.0"
"69","48","        Other \7\","Y666RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14.0","32.0"
"70","49","      Nonfinancial \8\","Y667RC1","0.0","0.0","-1.0","0.0","0.0","1.0","-1.0","-1.0","1.0","-1.0","0.0","0.0","-1.0","0.0","-1.0","1.0","0.0","-2.0","-2.0","0.0","0.0","1.0","308.0","652.0"
"71","50","    Government \8\","Y668RC1","1,302.0","1,492.0","1,687.0","1,888.0","2,102.0","2,358.0","2,649.0","3,004.0","3,350.0","3,727.0","4,241.0","4,958.0","5,454.0","5,974.0","6,452.0","7,017.0","7,534.0","8,104.0","8,705.0","9,357.0","10,085.0","10,803.0","11,807.0","13,819.0"
"72","51","      Federal","Y282RC1","1,093.0","1,243.0","1,390.0","1,546.0","1,716.0","1,929.0","2,191.0","2,502.0","2,817.0","3,150.0","3,606.0","4,245.0","4,677.0","5,096.0","5,524.0","5,988.0","6,463.0","6,959.0","7,478.0","8,031.0","8,625.0","9,267.0","9,952.0","11,641.0"
"73","52","      State and local","Y315RC1","209.0","249.0","297.0","342.0","386.0","429.0","458.0","502.0","533.0","577.0","635.0","713.0","777.0","878.0","928.0","1,029.0","1,071.0","1,145.0","1,227.0","1,326.0","1,460.0","1,536.0","1,855.0","2,178.0"
"74","53","    Rest of the world","W355RC1",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....",".....","....."
"75","54","  Imputed interest received","A2074C1","6,350.0","7,022.0","7,501.0","8,092.0","8,933.0","9,772.0","10,943.0","12,533.0","13,682.0","15,299.0","17,171.0","19,273.0","20,695.0","22,922.0","25,138.0","27,156.0","28,985.0","30,789.0","33,715.0","35,976.0","39,063.0","42,777.0","47,214.0","57,110.0"
"76","55","    Domestic business \1\","A2075C1","2,160.0","2,430.0","2,654.0","2,873.0","3,137.0","3,467.0","3,937.0","4,416.0","4,779.0","5,312.0","6,018.0","6,836.0","7,306.0","8,163.0","8,871.0","9,491.0","10,058.0","10,678.0","11,500.0","12,200.0","13,192.0","14,398.0","16,066.0","19,751.0"
"77","56","      Corporate business","A2076C1","1,898.0","2,154.0","2,373.0","2,592.0","2,849.0","3,156.0","3,581.0","4,047.0","4,403.0","4,906.0","5,578.0","6,355.0","6,831.0","7,557.0","8,209.0","8,826.0","9,401.0","10,012.0","10,771.0","11,475.0","12,428.0","13,543.0","15,162.0","18,587.0"
"78","57","        Financial","B1143C1","1,422.0","1,642.0","1,847.0","2,055.0","2,269.0","2,522.0","2,854.0","3,247.0","3,600.0","4,011.0","4,572.0","5,272.0","5,763.0","6,494.0","7,024.0","7,579.0","8,105.0","8,659.0","9,285.0","9,978.0","10,829.0","11,662.0","13,108.0","15,822.0"
"79","58","        Nonfinancial","B1144C1","476.0","512.0","526.0","537.0","580.0","634.0","727.0","800.0","803.0","895.0","1,006.0","1,083.0","1,068.0","1,063.0","1,185.0","1,247.0","1,296.0","1,353.0","1,486.0","1,497.0","1,599.0","1,881.0","2,054.0","2,765.0"
"80","59","      Sole proprietorships and partnerships","A2077C1","261.0","275.0","279.0","279.0","287.0","310.0","354.0","367.0","373.0","403.0","437.0","478.0","472.0","603.0","658.0","660.0","653.0","661.0","723.0","719.0","758.0","848.0","888.0","1,144.0"
"81","60","        Farm","B1146C1","71.0","77.0","76.0","72.0","73.0","76.0","85.0","75.0","72.0","73.0","75.0","79.0","81.0","136.0","145.0","147.0","150.0","147.0","165.0","165.0","172.0","195.0","209.0","274.0"
"82","61","        Nonfarm","B1145C1","190.0","198.0","203.0","207.0","214.0","234.0","269.0","292.0","301.0","330.0","362.0","399.0","391.0","467.0","513.0","513.0","503.0","514.0","558.0","554.0","586.0","653.0","679.0","870.0"
"83","62","      Other private business","B2078C1","1.0","1.0","2.0","2.0","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","4.0","5.0","5.0","5.0","6.0","7.0","16.0","20.0"
"84","63","    Households and nonprofit institutions","W314RC1","3,677.0","4,241.0","4,440.0","4,796.0","5,374.0","5,847.0","6,494.0","7,574.0","8,337.0","9,389.0","10,515.0","11,735.0","12,664.0","13,993.0","15,427.0","16,814.0","18,046.0","19,154.0","21,128.0","22,701.0","24,795.0","27,152.0","29,787.0","35,556.0"
"85","64","      Households","W315RC1","3,675.0","4,239.0","4,438.0","4,794.0","5,371.0","5,844.0","6,491.0","7,571.0","8,333.0","9,385.0","10,511.0","11,730.0","12,659.0","13,988.0","15,421.0","16,808.0","18,039.0","19,147.0","21,121.0","22,694.0","24,787.0","27,143.0","29,777.0","35,545.0"
"86","65","        Owner-occupied housing","W316RC1","13.0","14.0","15.0","17.0","18.0","19.0","21.0","24.0","26.0","27.0","29.0","32.0","35.0","39.0","40.0","38.0","36.0","36.0","37.0","40.0","42.0","47.0","52.0","57.0"
"87","66","        Persons","A1147C1","3,662.0","4,225.0","4,423.0","4,777.0","5,353.0","5,825.0","6,470.0","7,547.0","8,307.0","9,358.0","10,482.0","11,698.0","12,624.0","13,949.0","15,381.0","16,770.0","18,003.0","19,111.0","21,084.0","22,654.0","24,745.0","27,096.0","29,725.0","35,488.0"
"88","67","          From banks, credit agencies, and investment companies","B1611C1","987.0","1,055.0","1,071.0","1,086.0","1,185.0","1,244.0","1,340.0","1,764.0","1,947.0","2,285.0","2,551.0","2,571.0","2,547.0","2,782.0","3,075.0","3,249.0","3,360.0","3,219.0","3,807.0","3,993.0","4,373.0","4,910.0","5,226.0","7,169.0"
"89","68","          From life insurance carriers","B1612C1","1,068.0","1,347.0","1,293.0","1,384.0","1,596.0","1,681.0","1,842.0","2,039.0","2,170.0","2,418.0","2,665.0","2,979.0","3,258.0","3,523.0","3,916.0","4,290.0","4,653.0","5,071.0","5,494.0","5,917.0","6,308.0","6,754.0","7,246.0","8,067.0"
"90","69","          From property and casualty insurance companies","W356RC1","34.0","42.0","48.0","51.0","53.0","64.0","77.0","93.0","100.0","106.0","115.0","130.0","146.0","162.0","179.0","193.0","205.0","223.0","244.0","270.0","313.0","353.0","393.0","442.0"
"91","70","          From employee pension plans \6\","Y394RC1","1,573.0","1,781.0","2,011.0","2,256.0","2,519.0","2,836.0","3,211.0","3,651.0","4,090.0","4,549.0","5,151.0","6,018.0","6,673.0","7,482.0","8,211.0","9,038.0","9,785.0","10,598.0","11,539.0","12,475.0","13,751.0","15,079.0","16,860.0","19,811.0"
"92","71","      Nonprofit institutions","W317RC1","2.0","2.0","2.0","2.0","3.0","3.0","3.0","3.0","4.0","4.0","4.0","5.0","5.0","5.0","6.0","6.0","7.0","7.0","7.0","7.0","8.0","9.0","10.0","11.0"
"93","72","    Government","A2079C1","380.0","237.0","293.0","290.0","275.0","286.0","323.0","358.0","394.0","421.0","456.0","503.0","527.0","557.0","640.0","653.0","675.0","764.0","870.0","852.0","843.0","982.0","1,092.0","1,414.0"
"94","73","      Federal","B1148C1","285.0","130.0","174.0","164.0","141.0","143.0","159.0","172.0","196.0","201.0","212.0","245.0","276.0","258.0","303.0","317.0","347.0","423.0","478.0","442.0","387.0","464.0","510.0","624.0"
"95","74","      State and local","B1149C1","95.0","107.0","119.0","126.0","134.0","143.0","164.0","186.0","198.0","220.0","244.0","258.0","251.0","299.0","337.0","336.0","328.0","341.0","392.0","410.0","456.0","518.0","582.0","790.0"
"96","75","    Rest of the world","W357RC1","134.0","113.0","115.0","133.0","147.0","172.0","189.0","185.0","172.0","177.0","182.0","198.0","198.0","208.0","199.0","198.0","206.0","192.0","218.0","223.0","233.0","245.0","275.0","384.0"
"97",NA,"Borrower services:"," ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","76","  Imputed interest paid","W358RC1","-590.0","-814.0","-1,033.0","-1,137.0","-1,304.0","-1,588.0","-1,737.0","-1,915.0","-1,950.0","-2,134.0","-2,467.0","-2,669.0","-2,768.0","-3,054.0","-3,372.0","-3,438.0","-3,706.0","-3,908.0","-4,182.0","-4,789.0","-5,634.0","-5,917.0","-6,978.0","-7,769.0"
"99","77","    Domestic business \1\","W296RC1","-386.0","-540.0","-683.0","-741.0","-839.0","-1,038.0","-1,124.0","-1,214.0","-1,206.0","-1,296.0","-1,515.0","-1,635.0","-1,687.0","-1,863.0","-2,049.0","-2,052.0","-2,187.0","-2,334.0","-2,466.0","-2,827.0","-3,392.0","-3,582.0","-4,255.0","-4,557.0"
"100","78","      Corporate business","W297RC1","-318.0","-445.0","-563.0","-611.0","-692.0","-856.0","-927.0","-1,008.0","-1,003.0","-1,076.0","-1,263.0","-1,369.0","-1,405.0","-1,545.0","-1,700.0","-1,697.0","-1,806.0","-1,929.0","-2,039.0","-2,356.0","-2,835.0","-2,988.0","-3,553.0","-3,821.0"
"101","79","        Financial","W298RC1","-60.0","-85.0","-108.0","-118.0","-134.0","-167.0","-181.0","-214.0","-229.0","-263.0","-286.0","-275.0","-296.0","-335.0","-357.0","-325.0","-352.0","-399.0","-431.0","-471.0","-535.0","-511.0","-591.0","-611.0"
"102","80","        Nonfinancial","W300RC1","-258.0","-360.0","-455.0","-493.0","-558.0","-689.0","-746.0","-794.0","-774.0","-813.0","-977.0","-1,094.0","-1,109.0","-1,210.0","-1,343.0","-1,372.0","-1,454.0","-1,530.0","-1,608.0","-1,885.0","-2,300.0","-2,477.0","-2,962.0","-3,210.0"
"103","81","      Sole proprietorships and partnerships","W301RC1","-47.0","-66.0","-83.0","-90.0","-102.0","-126.0","-136.0","-141.0","-135.0","-146.0","-175.0","-187.0","-201.0","-230.0","-257.0","-264.0","-284.0","-300.0","-315.0","-346.0","-412.0","-446.0","-525.0","-555.0"
